metric	sample_a	sample_b	value
raw_pearson	Heart	Liver	0.998302
raw_pearson	Heart	Lung	0.955769
raw_pearson	Heart	Pancreas	0.951728
raw_pearson	Heart	Prostate	0.567024
raw_pearson	Heart	Spleen	0.733561
raw_pearson	Heart	Stomach	0.996171
raw_pearson	Intestine	Kidney	0.992097
raw_pearson	Intestine	Limb	0.950177
raw_pearson	Intestine	Liver	0.999585
raw_pearson	Intestine	Lung	0.953952
raw_pearson	Intestine	Pancreas	0.953029
raw_pearson	Intestine	Prostate	0.560308
raw_pearson	Intestine	Spleen	0.729153
raw_pearson	Intestine	Stomach	0.997169
raw_pearson	Kidney	Limb	0.978148
raw_pearson	Kidney	Liver	0.990555
raw_pearson	Kidney	Lung	0.976365
raw_pearson	Kidney	Pancreas	0.979806
raw_pearson	Kidney	Prostate	0.618440
raw_pearson	Kidney	Spleen	0.788145
raw_pearson	Kidney	Stomach	0.994322
raw_pearson	Limb	Liver	0.945400
raw_pearson	Limb	Lung	0.991708
raw_pearson	Limb	Pancreas	0.990616
raw_pearson	Limb	Prostate	0.725146
raw_pearson	Limb	Spleen	0.880361
raw_pearson	Limb	Stomach	0.964265
raw_pearson	Liver	Lung	0.948530
raw_pearson	Liver	Pancreas	0.948663
raw_pearson	Liver	Prostate	0.546199
raw_pearson	Liver	Spleen	0.718124
raw_pearson	Liver	Stomach	0.995586
raw_pearson	Lung	Pancreas	0.983726
raw_pearson	Lung	Prostate	0.736830
raw_pearson	Lung	Spleen	0.882071
raw_pearson	Lung	Stomach	0.969009
raw_pearson	Pancreas	Prostate	0.685039
raw_pearson	Pancreas	Spleen	0.852378
raw_pearson	Pancreas	Stomach	0.964172
raw_pearson	Prostate	Spleen	0.867079
raw_pearson	Prostate	Stomach	0.605757
raw_pearson	Spleen	Stomach	0.765701
log1p_pearson	Bladder	Brain	0.902804
log1p_pearson	Bladder	Cloaca	0.809095
log1p_pearson	Bladder	GallBladder	0.709514
log1p_pearson	Bladder	Gill	0.843439
log1p_pearson	Bladder	Heart	0.303682
log1p_pearson	Bladder	Intestine	0.807302
log1p_pearson	Bladder	Kidney	0.916855
log1p_pearson	Bladder	Limb	0.931978
log1p_pearson	Bladder	Liver	0.756655
log1p_pearson	Bladder	Lung	0.870245
log1p_pearson	Bladder	Pancreas	0.806931
log1p_pearson	Bladder	Prostate	0.880075
log1p_pearson	Bladder	Spleen	0.859371
log1p_pearson	Bladder	Stomach	0.768924
log1p_pearson	Brain	Cloaca	0.796967
log1p_pearson	Brain	GallBladder	0.745508
log1p_pearson	Brain	Gill	0.821166
log1p_pearson	Brain	Heart	0.306559
log1p_pearson	Brain	Intestine	0.809234
log1p_pearson	Brain	Kidney	0.905922
log1p_pearson	Brain	Limb	0.912855
log1p_pearson	Brain	Liver	0.775811
log1p_pearson	Brain	Lung	0.837459
log1p_pearson	Brain	Pancreas	0.825141
log1p_pearson	Brain	Prostate	0.856565
log1p_pearson	Brain	Spleen	0.835598
log1p_pearson	Brain	Stomach	0.771430
log1p_pearson	Cloaca	GallBladder	0.745737
log1p_pearson	Cloaca	Gill	0.846371
log1p_pearson	Cloaca	Heart	0.271846
log1p_pearson	Cloaca	Intestine	0.890615
log1p_pearson	Cloaca	Kidney	0.784630
log1p_pearson	Cloaca	Limb	0.816809
log1p_pearson	Cloaca	Liver	0.830265
log1p_pearson	Cloaca	Lung	0.849246
log1p_pearson	Cloaca	Pancreas	0.867647
log1p_pearson	Cloaca	Prostate	0.807527
log1p_pearson	Cloaca	Spleen	0.776549
log1p_pearson	Cloaca	Stomach	0.866673
log1p_pearson	GallBladder	Gill	0.711378
log1p_pearson	GallBladder	Heart	0.210825
log1p_pearson	GallBladder	Intestine	0.800094
log1p_pearson	GallBladder	Kidney	0.747107
log1p_pearson	GallBladder	Limb	0.741273
log1p_pearson	GallBladder	Liver	0.804520
log1p_pearson	GallBladder	Lung	0.722975
log1p_pearson	GallBladder	Pancreas	0.876734
log1p_pearson	GallBladder	Prostate	0.637644
log1p_pearson	GallBladder	Spleen	0.630463
log1p_pearson	GallBladder	Stomach	0.748504
log1p_pearson	Gill	Heart	0.304394
log1p_pearson	Gill	Intestine	0.846625
log1p_pearson	Gill	Kidney	0.818166
log1p_pearson	Gill	Limb	0.875462
log1p_pearson	Gill	Liver	0.796980
log1p_pearson	Gill	Lung	0.928067
log1p_pearson	Gill	Pancreas	0.826999
log1p_pearson	Gill	Prostate	0.837917
log1p_pearson	Gill	Spleen	0.820629
log1p_pearson	Gill	Stomach	0.830473
log1p_pearson	Heart	Intestine	0.276792
log1p_pearson	Heart	Kidney	0.282938
log1p_pearson	Heart	Limb	0.286502
log1p_pearson	Heart	Liver	0.235150
log1p_pearson	Heart	Lung	0.329823
log1p_pearson	Heart	Pancreas	0.265181
log1p_pearson	Heart	Prostate	0.285894
log1p_pearson	Heart	Spleen	0.277101
log1p_pearson	Heart	Stomach	0.244384
log1p_pearson	Intestine	Kidney	0.810516
log1p_pearson	Intestine	Limb	0.830214
log1p_pearson	Intestine	Liver	0.875561
log1p_pearson	Intestine	Lung	0.845557
log1p_pearson	Intestine	Pancreas	0.905623
log1p_pearson	Intestine	Prostate	0.798576
log1p_pearson	Intestine	Spleen	0.779619
log1p_pearson	Intestine	Stomach	0.892433
log1p_pearson	Kidney	Limb	0.921552
log1p_pearson	Kidney	Liver	0.785300
log1p_pearson	Kidney	Lung	0.845965
log1p_pearson	Kidney	Pancreas	0.826235
log1p_pearson	Kidney	Prostate	0.867707
log1p_pearson	Kidney	Spleen	0.846948
log1p_pearson	Kidney	Stomach	0.763365
log1p_pearson	Limb	Liver	0.794881
log1p_pearson	Limb	Lung	0.872040
log1p_pearson	Limb	Pancreas	0.832971
log1p_pearson	Limb	Prostate	0.877659
log1p_pearson	Limb	Spleen	0.879186
log1p_pearson	Limb	Stomach	0.796150
log1p_pearson	Liver	Lung	0.797329
log1p_pearson	Liver	Pancreas	0.889240
log1p_pearson	Liver	Prostate	0.752211
log1p_pearson	Liver	Spleen	0.760441
log1p_pearson	Liver	Stomach	0.852616
log1p_pearson	Lung	Pancreas	0.838128
log1p_pearson	Lung	Prostate	0.834808
log1p_pearson	Lung	Spleen	0.835441
log1p_pearson	Lung	Stomach	0.810173
log1p_pearson	Pancreas	Prostate	0.771928
log1p_pearson	Pancreas	Spleen	0.761540
log1p_pearson	Pancreas	Stomach	0.859086
log1p_pearson	Prostate	Spleen	0.855426
log1p_pearson	Prostate	Stomach	0.789881
log1p_pearson	Spleen	Stomach	0.752940
