## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT SortSam_on_dataset_22__Alignment_sorted_in_coordinate_order --OUTPUT /corral4/main/jobs/079/423/79423323/outputs/dataset_8bc8a931-5888-4a82-b505-e5d25e22a061.dat --METRICS_FILE /corral4/main/jobs/079/423/79423323/outputs/dataset_4be98d59-09a1-481e-ab8d-bbe6a7726be7.dat --REMOVE_DUPLICATES true --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 28 19:27:33 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	272988	55220260	0	900140	178940	38638444	0	0.699606	17291207

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
304.0	0	58	58
305.0	0	74	74
306.0	0	68	68
307.0	0	76	76
308.0	0	69	69
309.0	0	58	58
310.0	0	65	65
311.0	0	59	59
312.0	0	74	74
313.0	0	79	79
314.0	0	57	57
315.0	0	49	49
316.0	0	63	63
317.0	0	56	56
318.0	0	56	56
319.0	0	61	61
320.0	0	66	66
321.0	0	50	50
322.0	0	51	51
323.0	0	78	78
324.0	0	72	72
325.0	0	49	49
326.0	0	57	57
327.0	0	54	54
328.0	0	69	69
329.0	0	51	51
330.0	0	48	48
331.0	0	57	57
332.0	0	61	61
333.0	0	49	49
334.0	0	73	73
335.0	0	52	52
336.0	0	70	70
337.0	0	55	55
338.0	0	53	53
339.0	0	54	54
340.0	0	53	53
341.0	0	45	45
342.0	0	62	62
343.0	0	51	51
344.0	0	51	51
345.0	0	53	53
346.0	0	52	52
347.0	0	38	38
348.0	0	50	50
349.0	0	52	52
350.0	0	52	52
351.0	0	50	50
352.0	0	62	62
353.0	0	42	42
354.0	0	45	45
355.0	0	48	48
356.0	0	58	58
357.0	0	58	58
358.0	0	37	37
359.0	0	34	34
360.0	0	39	39
361.0	0	43	43
362.0	0	41	41
363.0	0	47	47
364.0	0	60	60
365.0	0	47	47
366.0	0	34	34
367.0	0	37	37
368.0	0	43	43
369.0	0	54	54
370.0	0	30	30
371.0	0	50	50
372.0	0	46	46
373.0	0	41	41
374.0	0	48	48
375.0	0	37	37
376.0	0	53	53
377.0	0	42	42
378.0	0	37	37
379.0	0	52	52
380.0	0	40	40
381.0	0	31	31
382.0	0	39	39
383.0	0	47	47
384.0	0	37	37
385.0	0	47	47
386.0	0	42	42
387.0	0	40	40
388.0	0	43	43
389.0	0	33	33
390.0	0	44	44
391.0	0	40	40
392.0	0	43	43
393.0	0	43	43
394.0	0	33	33
395.0	0	40	40
396.0	0	36	36
397.0	0	39	39
398.0	0	35	35
399.0	0	39	39
400.0	0	34	34
401.0	0	41	41
402.0	0	36	36
403.0	0	47	47
404.0	0	37	37
405.0	0	23	23
406.0	0	24	24
407.0	0	32	32
408.0	0	39	39
409.0	0	33	33
410.0	0	49	49
411.0	0	52	52
412.0	0	31	31
413.0	0	34	34
414.0	0	26	26
415.0	0	35	35
416.0	0	36	36
417.0	0	26	26
418.0	0	25	25
419.0	0	33	33
420.0	0	36	36
421.0	0	22	22
422.0	0	30	30
423.0	0	38	38
424.0	0	29	29
425.0	0	36	36
426.0	0	37	37
427.0	0	17	17
428.0	0	31	31
429.0	0	36	36
430.0	0	31	31
431.0	0	25	25
432.0	0	27	27
433.0	0	30	30
434.0	0	33	33
435.0	0	27	27
436.0	0	23	23
437.0	0	23	23
438.0	0	26	26
439.0	0	35	35
440.0	0	33	33
441.0	0	33	33
442.0	0	28	28
443.0	0	32	32
444.0	0	24	24
445.0	0	24	24
446.0	0	35	35
447.0	0	29	29
448.0	0	27	27
449.0	0	27	27
450.0	0	33	33
451.0	0	24	24
452.0	0	19	19
453.0	0	23	23
454.0	0	23	23
455.0	0	29	29
456.0	0	28	28
457.0	0	30	30
458.0	0	28	28
459.0	0	26	26
460.0	0	23	23
461.0	0	34	34
462.0	0	31	31
463.0	0	28	28
464.0	0	27	27
465.0	0	25	25
466.0	0	26	26
467.0	0	19	19
468.0	0	13	13
469.0	0	29	29
470.0	0	24	24
471.0	0	20	20
472.0	0	18	18
473.0	0	30	30
474.0	0	27	27
475.0	0	18	18
476.0	0	22	22
477.0	0	24	24
478.0	0	21	21
479.0	0	22	22
480.0	0	29	29
481.0	0	20	20
482.0	0	20	20
483.0	0	26	26
484.0	0	23	23
485.0	0	25	25
486.0	0	17	17
487.0	0	19	19
488.0	0	22	22
489.0	0	25	25
490.0	0	16	16
491.0	0	18	18
492.0	0	20	20
493.0	0	24	24
494.0	0	17	17
495.0	0	18	18
496.0	0	22	22
497.0	0	25	25
498.0	0	16	16
499.0	0	15	15
500.0	0	27	27
501.0	0	15	15
502.0	0	18	18
503.0	0	16	16
504.0	0	31	31
505.0	0	19	19
506.0	0	19	19
507.0	0	18	18
508.0	0	15	15
509.0	0	19	19
510.0	0	17	17
511.0	0	19	19
512.0	0	11	11
513.0	0	18	18
514.0	0	16	16
515.0	0	18	18
516.0	0	18	18
517.0	0	14	14
518.0	0	20	20
519.0	0	23	23
520.0	0	16	16
521.0	0	18	18
522.0	0	12	12
523.0	0	13	13
524.0	0	15	15
525.0	0	17	17
526.0	0	22	22
527.0	0	19	19
528.0	0	22	22
529.0	0	21	21
530.0	0	16	16
531.0	0	12	12
532.0	0	11	11
533.0	0	15	15
534.0	0	19	19
535.0	0	19	19
536.0	0	17	17
537.0	0	16	16
538.0	0	12	12
539.0	0	16	16
540.0	0	17	17
541.0	0	10	10
542.0	0	13	13
543.0	0	11	11
544.0	0	15	15
545.0	0	16	16
546.0	0	24	24
547.0	0	16	16
548.0	0	18	18
549.0	0	16	16
550.0	0	14	14
551.0	0	21	21
552.0	0	15	15
553.0	0	18	18
554.0	0	11	11
555.0	0	16	16
556.0	0	12	12
557.0	0	21	21
558.0	0	12	12
559.0	0	24	24
560.0	0	12	12
561.0	0	19	19
562.0	0	25	25
563.0	0	18	18
564.0	0	14	14
565.0	0	14	14
566.0	0	13	13
567.0	0	17	17
568.0	0	12	12
569.0	0	18	18
570.0	0	14	14
571.0	0	21	21
572.0	0	22	22
573.0	0	16	16
574.0	0	20	20
575.0	0	19	19
576.0	0	22	22
577.0	0	19	19
578.0	0	16	16
579.0	0	18	18
580.0	0	14	14
581.0	0	15	15
582.0	0	15	15
583.0	0	12	12
584.0	0	15	15
585.0	0	19	19
586.0	0	11	11
587.0	0	14	14
588.0	0	16	16
589.0	0	15	15
590.0	0	13	13
591.0	0	13	13
592.0	0	7	7
593.0	0	16	16
594.0	0	17	17
595.0	0	6	6
596.0	0	12	12
597.0	0	10	10
598.0	0	17	17
599.0	0	7	7
600.0	0	11	11
601.0	0	18	18
602.0	0	10	10
603.0	0	13	13
604.0	0	12	12
605.0	0	13	13
606.0	0	9	9
607.0	0	11	11
608.0	0	14	14
609.0	0	13	13
610.0	0	8	8
611.0	0	9	9
612.0	0	10	10
613.0	0	14	14
614.0	0	8	8
615.0	0	12	12
616.0	0	14	14
617.0	0	15	15
618.0	0	8	8
619.0	0	12	12
620.0	0	13	13
621.0	0	11	11
622.0	0	9	9
623.0	0	13	13
624.0	0	7	7
625.0	0	7	7
626.0	0	13	13
627.0	0	9	9
628.0	0	12	12
629.0	0	14	14
630.0	0	8	8
631.0	0	22	22
632.0	0	12	12
633.0	0	10	10
634.0	0	9	9
635.0	0	15	15
636.0	0	9	9
637.0	0	15	15
638.0	0	9	9
639.0	0	10	10
640.0	0	8	8
641.0	0	6	6
642.0	0	15	15
643.0	0	9	9
644.0	0	12	12
645.0	0	11	11
646.0	0	12	12
647.0	0	5	5
648.0	0	12	12
649.0	0	6	6
650.0	0	10	10
651.0	0	16	16
652.0	0	13	13
653.0	0	9	9
654.0	0	13	13
655.0	0	11	11
656.0	0	11	11
657.0	0	9	9
658.0	0	6	6
659.0	0	7	7
660.0	0	10	10
661.0	0	11	11
662.0	0	9	9
663.0	0	4	4
664.0	0	11	11
665.0	0	9	9
666.0	0	11	11
667.0	0	8	8
668.0	0	11	11
669.0	0	10	10
670.0	0	7	7
671.0	0	15	15
672.0	0	13	13
673.0	0	6	6
674.0	0	7	7
675.0	0	7	7
676.0	0	13	13
677.0	0	18	18
678.0	0	6	6
679.0	0	7	7
680.0	0	6	6
681.0	0	7	7
682.0	0	6	6
683.0	0	7	7
684.0	0	13	13
685.0	0	16	16
686.0	0	5	5
687.0	0	12	12
688.0	0	10	10
689.0	0	6	6
690.0	0	9	9
691.0	0	13	13
692.0	0	12	12
693.0	0	12	12
694.0	0	6	6
695.0	0	14	14
696.0	0	6	6
697.0	0	5	5
698.0	0	11	11
699.0	0	6	6
700.0	0	7	7
701.0	0	4	4
702.0	0	9	9
703.0	0	10	10
704.0	0	7	7
705.0	0	11	11
706.0	0	10	10
707.0	0	14	14
708.0	0	5	5
709.0	0	7	7
710.0	0	6	6
711.0	0	8	8
712.0	0	6	6
713.0	0	6	6
714.0	0	11	11
715.0	0	9	9
716.0	0	9	9
717.0	0	10	10
718.0	0	9	9
719.0	0	9	9
720.0	0	8	8
721.0	0	9	9
722.0	0	4	4
723.0	0	6	6
724.0	0	6	6
725.0	0	14	14
726.0	0	14	14
727.0	0	10	10
728.0	0	8	8
729.0	0	10	10
730.0	0	7	7
731.0	0	9	9
732.0	0	2	2
733.0	0	7	7
734.0	0	4	4
735.0	0	8	8
736.0	0	5	5
737.0	0	2	2
738.0	0	8	8
739.0	0	3	3
740.0	0	10	10
741.0	0	7	7
742.0	0	7	7
743.0	0	3	3
744.0	0	7	7
745.0	0	10	10
746.0	0	7	7
747.0	0	8	8
748.0	0	8	8
749.0	0	6	6
750.0	0	6	6
751.0	0	8	8
752.0	0	3	3
753.0	0	6	6
754.0	0	7	7
755.0	0	5	5
756.0	0	6	6
757.0	0	9	9
758.0	0	12	12
759.0	0	5	5
760.0	0	7	7
761.0	0	6	6
762.0	0	4	4
763.0	0	13	13
764.0	0	5	5
765.0	0	8	8
766.0	0	4	4
767.0	0	7	7
768.0	0	3	3
769.0	0	4	4
770.0	0	4	4
771.0	0	3	3
772.0	0	4	4
773.0	0	4	4
774.0	0	9	9
775.0	0	10	10
776.0	0	6	6
777.0	0	9	9
778.0	0	9	9
779.0	0	6	6
780.0	0	4	4
781.0	0	5	5
782.0	0	4	4
783.0	0	4	4
784.0	0	3	3
785.0	0	1	1
786.0	0	3	3
787.0	0	4	4
788.0	0	9	9
789.0	0	4	4
790.0	0	2	2
791.0	0	5	5
792.0	0	4	4
793.0	0	3	3
794.0	0	7	7
795.0	0	7	7
796.0	0	4	4
797.0	0	4	4
798.0	0	7	7
799.0	0	5	5
800.0	0	5	5
801.0	0	8	8
802.0	0	8	8
803.0	0	3	3
804.0	0	4	4
805.0	0	6	6
806.0	0	4	4
807.0	0	4	4
808.0	0	6	6
809.0	0	3	3
810.0	0	2	2
811.0	0	7	7
812.0	0	5	5
813.0	0	8	8
814.0	0	5	5
815.0	0	2	2
816.0	0	5	5
818.0	0	6	6
819.0	0	6	6
820.0	0	5	5
821.0	0	6	6
822.0	0	7	7
823.0	0	4	4
824.0	0	2	2
825.0	0	7	7
826.0	0	3	3
827.0	0	3	3
828.0	0	4	4
829.0	0	4	4
830.0	0	7	7
831.0	0	3	3
832.0	0	4	4
833.0	0	9	9
834.0	0	3	3
835.0	0	4	4
836.0	0	7	7
837.0	0	5	5
838.0	0	4	4
839.0	0	8	8
840.0	0	4	4
841.0	0	5	5
842.0	0	5	5
843.0	0	4	4
844.0	0	4	4
845.0	0	3	3
846.0	0	7	7
847.0	0	11	11
848.0	0	2	2
849.0	0	7	7
850.0	0	3	3
851.0	0	5	5
852.0	0	3	3
853.0	0	6	6
854.0	0	3	3
855.0	0	11	11
856.0	0	4	4
857.0	0	4	4
858.0	0	3	3
859.0	0	8	8
860.0	0	8	8
861.0	0	4	4
862.0	0	7	7
863.0	0	3	3
864.0	0	3	3
865.0	0	3	3
866.0	0	4	4
867.0	0	5	5
868.0	0	3	3
869.0	0	4	4
870.0	0	2	2
871.0	0	9	9
872.0	0	5	5
873.0	0	4	4
874.0	0	3	3
875.0	0	4	4
876.0	0	3	3
877.0	0	2	2
878.0	0	6	6
879.0	0	5	5
880.0	0	1	1
881.0	0	3	3
882.0	0	2	2
883.0	0	5	5
884.0	0	6	6
885.0	0	4	4
886.0	0	7	7
887.0	0	3	3
888.0	0	8	8
889.0	0	6	6
890.0	0	3	3
891.0	0	8	8
892.0	0	5	5
893.0	0	2	2
894.0	0	5	5
895.0	0	4	4
896.0	0	4	4
897.0	0	3	3
898.0	0	4	4
899.0	0	3	3
900.0	0	1	1
901.0	0	5	5
902.0	0	4	4
903.0	0	6	6
904.0	0	3	3
905.0	0	2	2
906.0	0	1	1
907.0	0	4	4
908.0	0	4	4
909.0	0	4	4
910.0	0	2	2
911.0	0	3	3
912.0	0	6	6
913.0	0	3	3
914.0	0	3	3
915.0	0	6	6
916.0	0	2	2
917.0	0	5	5
918.0	0	4	4
919.0	0	6	6
920.0	0	2	2
921.0	0	6	6
922.0	0	2	2
923.0	0	2	2
924.0	0	3	3
925.0	0	7	7
926.0	0	2	2
927.0	0	1	1
928.0	0	1	1
929.0	0	2	2
930.0	0	4	4
931.0	0	5	5
932.0	0	4	4
933.0	0	5	5
934.0	0	5	5
935.0	0	1	1
937.0	0	4	4
938.0	0	7	7
939.0	0	2	2
940.0	0	4	4
941.0	0	7	7
942.0	0	4	4
944.0	0	5	5
945.0	0	3	3
946.0	0	2	2
947.0	0	3	3
949.0	0	7	7
950.0	0	2	2
951.0	0	3	3
952.0	0	1	1
953.0	0	4	4
954.0	0	4	4
955.0	0	7	7
956.0	0	2	2
957.0	0	2	2
958.0	0	1	1
959.0	0	3	3
960.0	0	5	5
961.0	0	4	4
962.0	0	4	4
963.0	0	4	4
964.0	0	5	5
965.0	0	1	1
966.0	0	2	2
967.0	0	1	1
968.0	0	4	4
969.0	0	5	5
970.0	0	4	4
971.0	0	4	4
972.0	0	1	1
973.0	0	5	5
974.0	0	5	5
975.0	0	2	2
976.0	0	7	7
977.0	0	4	4
978.0	0	2	2
979.0	0	3	3
980.0	0	3	3
981.0	0	2	2
982.0	0	5	5
983.0	0	3	3
984.0	0	2	2
985.0	0	3	3
986.0	0	3	3
987.0	0	3	3
988.0	0	6	6
989.0	0	5	5
990.0	0	3	3
991.0	0	2	2
992.0	0	1	1
993.0	0	1	1
995.0	0	3	3
996.0	0	4	4
997.0	0	5	5
998.0	0	3	3
999.0	0	2	2
1000.0	0	2	2
1001.0	0	3	3
1002.0	0	3	3
1003.0	0	1	1
1004.0	0	1	1
1005.0	0	2	2
1006.0	0	3	3
1007.0	0	5	5
1008.0	0	2	2
1009.0	0	8	8
1010.0	0	2	2
1011.0	0	2	2
1012.0	0	1	1
1013.0	0	2	2
1014.0	0	4	4
1015.0	0	4	4
1016.0	0	7	7
1017.0	0	2	2
1018.0	0	4	4
1019.0	0	7	7
1020.0	0	3	3
1021.0	0	2	2
1022.0	0	4	4
1023.0	0	2	2
1024.0	0	1	1
1025.0	0	2	2
1026.0	0	4	4
1027.0	0	2	2
1028.0	0	2	2
1029.0	0	2	2
1030.0	0	3	3
1031.0	0	2	2
1032.0	0	3	3
1033.0	0	2	2
1035.0	0	3	3
1036.0	0	2	2
1037.0	0	2	2
1038.0	0	2	2
1039.0	0	8	8
1040.0	0	2	2
1041.0	0	1	1
1042.0	0	1	1
1043.0	0	5	5
1044.0	0	4	4
1045.0	0	1	1
1046.0	0	3	3
1047.0	0	5	5
1048.0	0	5	5
1049.0	0	5	5
1050.0	0	4	4
1051.0	0	1	1
1052.0	0	3	3
1053.0	0	2	2
1054.0	0	2	2
1055.0	0	3	3
1056.0	0	2	2
1057.0	0	3	3
1058.0	0	5	5
1059.0	0	3	3
1060.0	0	3	3
1061.0	0	2	2
1062.0	0	5	5
1063.0	0	1	1
1064.0	0	3	3
1065.0	0	2	2
1066.0	0	1	1
1067.0	0	3	3
1068.0	0	2	2
1069.0	0	4	4
1070.0	0	2	2
1071.0	0	3	3
1072.0	0	4	4
1073.0	0	2	2
1074.0	0	4	4
1075.0	0	5	5
1076.0	0	3	3
1077.0	0	3	3
1079.0	0	1	1
1080.0	0	1	1
1081.0	0	6	6
1082.0	0	4	4
1083.0	0	3	3
1084.0	0	4	4
1085.0	0	4	4
1086.0	0	3	3
1087.0	0	1	1
1088.0	0	2	2
1089.0	0	2	2
1090.0	0	2	2
1091.0	0	4	4
1092.0	0	1	1
1093.0	0	2	2
1095.0	0	3	3
1097.0	0	1	1
1098.0	0	2	2
1099.0	0	4	4
1100.0	0	1	1
1101.0	0	2	2
1102.0	0	2	2
1103.0	0	1	1
1104.0	0	5	5
