group	file	pis	total	percentage
animals	1620056at2759.faa.mafft	10	189	5.291
animals	1626636at2759.faa.mafft	0	219	0.0
animals	1633672at2759.faa.mafft	0	102	0.0
animals	1645187at2759.faa.mafft	0	134	0.0
animals	166920at2759.faa.mafft	0	1499	0.0
animals	176625at2759.faa.mafft	0	1183	0.0
animals	179362at2759.faa.mafft	0	1312	0.0
animals	245208at2759.faa.mafft	0	1322	0.0
animals	257318at2759.faa.mafft	0	577	0.0
animals	261328at2759.faa.mafft	0	678	0.0
animals	271586at2759.faa.mafft	0	1076	0.0
animals	290630at2759.faa.mafft	0	940	0.0
animals	293315at2759.faa.mafft	0	1428	0.0
animals	296129at2759.faa.mafft	0	1058	0.0
animals	299766at2759.faa.mafft	0	1027	0.0
animals	306227at2759.faa.mafft	0	799	0.0
animals	320059at2759.faa.mafft	0	553	0.0
animals	324863at2759.faa.mafft	0	969	0.0
animals	325552at2759.faa.mafft	0	609	0.0
animals	330169at2759.faa.mafft	0	504	0.0
animals	331411at2759.faa.mafft	0	748	0.0
animals	341721at2759.faa.mafft	20	837	2.3895
animals	345441at2759.faa.mafft	0	550	0.0
animals	355408at2759.faa.mafft	0	691	0.0
animals	369837at2759.faa.mafft	0	756	0.0
animals	375960at2759.faa.mafft	0	542	0.0
animals	383503at2759.faa.mafft	0	503	0.0
animals	388820at2759.faa.mafft	0	952	0.0
animals	390348at2759.faa.mafft	0	1030	0.0
animals	39650at2759.faa.mafft	0	2306	0.0
animals	396755at2759.faa.mafft	0	1216	0.0
animals	418107at2759.faa.mafft	0	451	0.0
animals	426305at2759.faa.mafft	0	802	0.0
animals	450058at2759.faa.mafft	0	366	0.0
animals	453044at2759.faa.mafft	19	478	3.9749
animals	457861at2759.faa.mafft	0	306	0.0
animals	464990at2759.faa.mafft	0	570	0.0
animals	491869at2759.faa.mafft	0	473	0.0
animals	513979at2759.faa.mafft	0	581	0.0
animals	543764at2759.faa.mafft	0	514	0.0
animals	549762at2759.faa.mafft	0	647	0.0
animals	551907at2759.faa.mafft	0	1081	0.0
animals	570797at2759.faa.mafft	29	903	3.2115
animals	582756at2759.faa.mafft	0	553	0.0
animals	598949at2759.faa.mafft	0	1251	0.0
animals	604979at2759.faa.mafft	0	809	0.0
animals	621827at2759.faa.mafft	0	570	0.0
animals	655400at2759.faa.mafft	0	478	0.0
animals	664730at2759.faa.mafft	11	463	2.3758
animals	671536at2759.faa.mafft	0	496	0.0
animals	673132at2759.faa.mafft	17	415	4.0964
animals	674160at2759.faa.mafft	0	2911	0.0
animals	674169at2759.faa.mafft	0	701	0.0
animals	679771at2759.faa.mafft	0	391	0.0
animals	687505at2759.faa.mafft	0	363	0.0
animals	692986at2759.faa.mafft	0	794	0.0
animals	708105at2759.faa.mafft	0	426	0.0
animals	719531at2759.faa.mafft	0	489	0.0
animals	720340at2759.faa.mafft	0	561	0.0
animals	721605at2759.faa.mafft	18	436	4.1284
animals	734341at2759.faa.mafft	0	269	0.0
animals	734666at2759.faa.mafft	0	517	0.0
animals	736068at2759.faa.mafft	0	451	0.0
animals	751335at2759.faa.mafft	0	470	0.0
animals	759498at2759.faa.mafft	0	732	0.0
animals	761109at2759.faa.mafft	0	678	0.0
animals	768809at2759.faa.mafft	0	376	0.0
animals	777920at2759.faa.mafft	0	598	0.0
animals	779909at2759.faa.mafft	0	326	0.0
animals	801857at2759.faa.mafft	0	436	0.0
animals	814241at2759.faa.mafft	0	435	0.0
animals	817008at2759.faa.mafft	0	417	0.0
animals	834694at2759.faa.mafft	0	728	0.0
animals	836599at2759.faa.mafft	0	545	0.0
animals	83779at2759.faa.mafft	0	652	0.0
animals	844748at2759.faa.mafft	0	482	0.0
animals	855834at2759.faa.mafft	0	700	0.0
animals	858842at2759.faa.mafft	0	485	0.0
animals	865202at2759.faa.mafft	0	305	0.0
animals	866359at2759.faa.mafft	0	327	0.0
animals	869548at2759.faa.mafft	0	269	0.0
animals	878143at2759.faa.mafft	0	442	0.0
animals	87842at2759.faa.mafft	0	1066	0.0
animals	887370at2759.faa.mafft	0	581	0.0
animals	891751at2759.faa.mafft	0	572	0.0
animals	898782at2759.faa.mafft	0	547	0.0
animals	901894at2759.faa.mafft	0	543	0.0
animals	905026at2759.faa.mafft	0	706	0.0
animals	911863at2759.faa.mafft	0	425	0.0
animals	917326at2759.faa.mafft	0	639	0.0
animals	919955at2759.faa.mafft	0	389	0.0
animals	923657at2759.faa.mafft	0	317	0.0
animals	924753at2759.faa.mafft	0	465	0.0
animals	931188at2759.faa.mafft	0	629	0.0
animals	937275at2759.faa.mafft	0	417	0.0
animals	937686at2759.faa.mafft	0	491	0.0
animals	939345at2759.faa.mafft	0	245	0.0
animals	944899at2759.faa.mafft	0	398	0.0
animals	946128at2759.faa.mafft	0	532	0.0
animals	956854at2759.faa.mafft	0	294	0.0
animals	97116at2759.faa.mafft	0	1220	0.0
animals	973442at2759.faa.mafft	0	425	0.0
animals	974865at2759.faa.mafft	10	309	3.2362
animals	975158at2759.faa.mafft	0	459	0.0
animals	975557at2759.faa.mafft	0	755	0.0
animals	976469at2759.faa.mafft	0	386	0.0
animals	981902at2759.faa.mafft	0	391	0.0
animals	996662at2759.faa.mafft	12	453	2.649
fungi	1001705at2759.faa.mafft	20	596	3.3557
fungi	1003258at2759.faa.mafft	21	1071	1.9608
fungi	100698at2759.faa.mafft	34	954	3.5639
fungi	1010730at2759.faa.mafft	23	650	3.5385
fungi	1014314at2759.faa.mafft	17	455	3.7363
fungi	1018517at2759.faa.mafft	24	345	6.9565
fungi	1019762at2759.faa.mafft	25	918	2.7233
fungi	1025450at2759.faa.mafft	27	594	4.5455
fungi	1030907at2759.faa.mafft	9	421	2.1378
fungi	1032689at2759.faa.mafft	21	688	3.0523
fungi	1038775at2759.faa.mafft	0	384	0.0
fungi	1041560at2759.faa.mafft	27	666	4.0541
fungi	1049599at2759.faa.mafft	0	551	0.0
fungi	1051021at2759.faa.mafft	17	891	1.908
fungi	1053181at2759.faa.mafft	0	374	0.0
fungi	1057950at2759.faa.mafft	16	395	4.0506
fungi	1065019at2759.faa.mafft	25	430	5.814
fungi	1076134at2759.faa.mafft	14	345	4.058
fungi	1079130at2759.faa.mafft	33	563	5.8615
fungi	1079827at2759.faa.mafft	21	264	7.9545
fungi	1085752at2759.faa.mafft	0	621	0.0
fungi	1087488at2759.faa.mafft	25	567	4.4092
fungi	1090038at2759.faa.mafft	0	556	0.0
fungi	1094121at2759.faa.mafft	10	251	3.9841
fungi	1096688at2759.faa.mafft	14	481	2.9106
fungi	1106766at2759.faa.mafft	0	745	0.0
fungi	1107630at2759.faa.mafft	17	520	3.2692
fungi	1108845at2759.faa.mafft	0	501	0.0
fungi	1111142at2759.faa.mafft	0	800	0.0
fungi	1112002at2759.faa.mafft	51	1213	4.2045
fungi	1115196at2759.faa.mafft	26	566	4.5936
fungi	1128607at2759.faa.mafft	25	366	6.8306
fungi	1129824at2759.faa.mafft	16	326	4.908
fungi	1138059at2759.faa.mafft	14	317	4.4164
fungi	1157302at2759.faa.mafft	15	247	6.0729
fungi	1161199at2759.faa.mafft	16	358	4.4693
fungi	1173229at2759.faa.mafft	0	597	0.0
fungi	1178688at2759.faa.mafft	12	229	5.2402
fungi	1182451at2759.faa.mafft	19	477	3.9832
fungi	1193442at2759.faa.mafft	29	567	5.1146
fungi	1194691at2759.faa.mafft	27	512	5.2734
fungi	1194797at2759.faa.mafft	47	826	5.6901
fungi	1197019at2759.faa.mafft	15	254	5.9055
fungi	1200489at2759.faa.mafft	7	318	2.2013
fungi	1217666at2759.faa.mafft	20	324	6.1728
fungi	1220881at2759.faa.mafft	16	514	3.1128
fungi	1222562at2759.faa.mafft	12	505	2.3762
fungi	1223488at2759.faa.mafft	13	291	4.4674
fungi	1228942at2759.faa.mafft	24	278	8.6331
fungi	1233814at2759.faa.mafft	9	334	2.6946
fungi	1236198at2759.faa.mafft	5	159	3.1447
fungi	1247641at2759.faa.mafft	28	874	3.2037
fungi	1248958at2759.faa.mafft	52	1013	5.1333
fungi	1249159at2759.faa.mafft	15	248	6.0484
fungi	1251252at2759.faa.mafft	6	448	1.3393
fungi	1257440at2759.faa.mafft	12	230	5.2174
fungi	1258856at2759.faa.mafft	59	1054	5.5977
fungi	1259741at2759.faa.mafft	20	524	3.8168
fungi	1260807at2759.faa.mafft	15	1625	0.9231
fungi	1264469at2759.faa.mafft	20	419	4.7733
fungi	1266231at2759.faa.mafft	0	396	0.0
fungi	1269244at2759.faa.mafft	9	320	2.8125
fungi	1269649at2759.faa.mafft	11	320	3.4375
fungi	1275837at2759.faa.mafft	28	364	7.6923
fungi	1284731at2759.faa.mafft	12	309	3.8835
fungi	1287094at2759.faa.mafft	14	244	5.7377
fungi	1287401at2759.faa.mafft	0	374	0.0
fungi	1291729at2759.faa.mafft	11	233	4.721
fungi	1304061at2759.faa.mafft	9	282	3.1915
fungi	1309031at2759.faa.mafft	34	1053	3.2289
fungi	1312453at2759.faa.mafft	73	2093	3.4878
fungi	1314980at2759.faa.mafft	0	1110	0.0
fungi	1322299at2759.faa.mafft	23	722	3.1856
fungi	1322642at2759.faa.mafft	0	908	0.0
fungi	1323575at2759.faa.mafft	10	236	4.2373
fungi	1324510at2759.faa.mafft	23	660	3.4848
fungi	1338131at2759.faa.mafft	13	203	6.4039
fungi	1339553at2759.faa.mafft	20	559	3.5778
fungi	1342242at2759.faa.mafft	15	549	2.7322
fungi	1346165at2759.faa.mafft	20	614	3.2573
fungi	1346432at2759.faa.mafft	15	365	4.1096
fungi	1348942at2759.faa.mafft	16	482	3.3195
fungi	1355894at2759.faa.mafft	11	214	5.1402
fungi	1358374at2759.faa.mafft	11	401	2.7431
fungi	1364586at2759.faa.mafft	0	364	0.0
fungi	1370285at2759.faa.mafft	34	955	3.5602
fungi	1370304at2759.faa.mafft	29	1125	2.5778
fungi	1377237at2759.faa.mafft	0	626	0.0
fungi	1379600at2759.faa.mafft	33	1086	3.0387
fungi	1380409at2759.faa.mafft	0	220	0.0
fungi	1382842at2759.faa.mafft	0	322	0.0
fungi	1395649at2759.faa.mafft	0	295	0.0
fungi	1398309at2759.faa.mafft	14	186	7.5269
fungi	1404162at2759.faa.mafft	25	926	2.6998
fungi	1405073at2759.faa.mafft	10	184	5.4348
fungi	1405146at2759.faa.mafft	7	266	2.6316
fungi	1407446at2759.faa.mafft	3	209	1.4354
fungi	1421503at2759.faa.mafft	10	300	3.3333
fungi	1423847at2759.faa.mafft	20	459	4.3573
fungi	142542at2759.faa.mafft	0	2034	0.0
fungi	1426075at2759.faa.mafft	6	320	1.875
fungi	1428265at2759.faa.mafft	18	461	3.9046
fungi	1428854at2759.faa.mafft	58	974	5.9548
fungi	1430056at2759.faa.mafft	10	253	3.9526
fungi	1432328at2759.faa.mafft	13	450	2.8889
fungi	1434266at2759.faa.mafft	12	393	3.0534
fungi	1440961at2759.faa.mafft	17	581	2.926
fungi	1441854at2759.faa.mafft	18	390	4.6154
fungi	1442062at2759.faa.mafft	22	784	2.8061
fungi	1445102at2759.faa.mafft	50	303	16.5017
fungi	1450538at2759.faa.mafft	11	573	1.9197
fungi	1454155at2759.faa.mafft	18	455	3.956
fungi	1455730at2759.faa.mafft	0	645	0.0
fungi	1459797at2759.faa.mafft	5	140	3.5714
fungi	1474000at2759.faa.mafft	20	480	4.1667
fungi	1479417at2759.faa.mafft	0	660	0.0
fungi	1488235at2759.faa.mafft	12	234	5.1282
fungi	1488436at2759.faa.mafft	5	163	3.0675
fungi	1490022at2759.faa.mafft	18	236	7.6271
fungi	1504863at2759.faa.mafft	3	230	1.3043
fungi	1513531at2759.faa.mafft	5	370	1.3514
fungi	1525971at2759.faa.mafft	11	190	5.7895
fungi	1526152at2759.faa.mafft	0	184	0.0
fungi	1530008at2759.faa.mafft	14	237	5.9072
fungi	1538526at2759.faa.mafft	10	256	3.9062
fungi	1545004at2759.faa.mafft	0	96	0.0
fungi	1552706at2759.faa.mafft	4	468	0.8547
fungi	1558822at2759.faa.mafft	0	109	0.0
fungi	156083at2759.faa.mafft	0	2440	0.0
fungi	1563319at2759.faa.mafft	0	377	0.0
fungi	1567796at2759.faa.mafft	9	570	1.5789
fungi	1575179at2759.faa.mafft	3	205	1.4634
fungi	1576404at2759.faa.mafft	12	308	3.8961
fungi	1588798at2759.faa.mafft	15	454	3.304
fungi	1593937at2759.faa.mafft	23	542	4.2435
fungi	160593at2759.faa.mafft	162	2968	5.4582
fungi	1617752at2759.faa.mafft	2	120	1.6667
fungi	1620056at2759.faa.mafft	10	160	6.25
fungi	1623701at2759.faa.mafft	12	213	5.6338
fungi	1626636at2759.faa.mafft	0	261	0.0
fungi	1633672at2759.faa.mafft	4	118	3.3898
fungi	1645187at2759.faa.mafft	8	171	4.6784
fungi	166920at2759.faa.mafft	79	1486	5.3163
fungi	176625at2759.faa.mafft	68	1510	4.5033
fungi	179362at2759.faa.mafft	57	1384	4.1185
fungi	245208at2759.faa.mafft	52	1272	4.0881
fungi	257318at2759.faa.mafft	28	833	3.3613
fungi	261328at2759.faa.mafft	0	1549	0.0
fungi	261419at2759.faa.mafft	0	1563	0.0
fungi	270107at2759.faa.mafft	53	1180	4.4915
fungi	271586at2759.faa.mafft	45	1450	3.1034
fungi	290630at2759.faa.mafft	48	960	5.0
fungi	293315at2759.faa.mafft	66	1752	3.7671
fungi	296129at2759.faa.mafft	68	1198	5.6761
fungi	299766at2759.faa.mafft	43	1733	2.4812
fungi	306227at2759.faa.mafft	0	1145	0.0
fungi	320059at2759.faa.mafft	18	589	3.056
fungi	324863at2759.faa.mafft	60	1222	4.91
fungi	325552at2759.faa.mafft	48	658	7.2948
fungi	330169at2759.faa.mafft	36	700	5.1429
fungi	331411at2759.faa.mafft	40	1234	3.2415
fungi	341721at2759.faa.mafft	40	1136	3.5211
fungi	345441at2759.faa.mafft	0	585	0.0
fungi	355408at2759.faa.mafft	46	799	5.7572
fungi	369837at2759.faa.mafft	50	880	5.6818
fungi	375960at2759.faa.mafft	30	904	3.3186
fungi	383503at2759.faa.mafft	28	606	4.6205
fungi	388820at2759.faa.mafft	52	1258	4.1335
fungi	390348at2759.faa.mafft	60	1158	5.1813
fungi	392369at2759.faa.mafft	25	560	4.4643
fungi	39650at2759.faa.mafft	115	2451	4.692
fungi	396755at2759.faa.mafft	59	1563	3.7748
fungi	418107at2759.faa.mafft	32	531	6.0264
fungi	426305at2759.faa.mafft	54	925	5.8378
fungi	450058at2759.faa.mafft	28	1235	2.2672
fungi	453044at2759.faa.mafft	30	565	5.3097
fungi	457861at2759.faa.mafft	14	557	2.5135
fungi	464990at2759.faa.mafft	26	762	3.4121
fungi	491869at2759.faa.mafft	0	1208	0.0
fungi	513979at2759.faa.mafft	35	846	4.1371
fungi	543764at2759.faa.mafft	34	751	4.5273
fungi	549762at2759.faa.mafft	0	772	0.0
fungi	551907at2759.faa.mafft	48	1315	3.6502
fungi	570797at2759.faa.mafft	21	1233	1.7032
fungi	582756at2759.faa.mafft	34	719	4.7288
fungi	598949at2759.faa.mafft	49	1186	4.1315
fungi	604979at2759.faa.mafft	0	668	0.0
fungi	621827at2759.faa.mafft	36	611	5.892
fungi	625387at2759.faa.mafft	0	1557	0.0
fungi	655400at2759.faa.mafft	28	953	2.9381
fungi	664730at2759.faa.mafft	27	539	5.0093
fungi	671536at2759.faa.mafft	26	608	4.2763
fungi	671846at2759.faa.mafft	23	1041	2.2094
fungi	673132at2759.faa.mafft	26	502	5.1793
fungi	674160at2759.faa.mafft	126	3238	3.8913
fungi	674169at2759.faa.mafft	16	1131	1.4147
fungi	679187at2759.faa.mafft	0	1160	0.0
fungi	679771at2759.faa.mafft	0	481	0.0
fungi	687505at2759.faa.mafft	18	477	3.7736
fungi	692986at2759.faa.mafft	32	1047	3.0564
fungi	708105at2759.faa.mafft	21	553	3.7975
fungi	719531at2759.faa.mafft	23	553	4.1591
fungi	720340at2759.faa.mafft	20	508	3.937
fungi	721605at2759.faa.mafft	0	394	0.0
fungi	722805at2759.faa.mafft	49	1701	2.8807
fungi	734341at2759.faa.mafft	12	452	2.6549
fungi	734666at2759.faa.mafft	31	582	5.3265
fungi	736068at2759.faa.mafft	22	613	3.5889
fungi	751335at2759.faa.mafft	24	641	3.7441
fungi	759498at2759.faa.mafft	45	1001	4.4955
fungi	761109at2759.faa.mafft	27	889	3.0371
fungi	768809at2759.faa.mafft	24	581	4.1308
fungi	774318at2759.faa.mafft	18	1250	1.44
fungi	777920at2759.faa.mafft	34	736	4.6196
fungi	779909at2759.faa.mafft	26	408	6.3725
fungi	801857at2759.faa.mafft	25	804	3.1095
fungi	814241at2759.faa.mafft	20	668	2.994
fungi	817008at2759.faa.mafft	20	494	4.0486
fungi	834694at2759.faa.mafft	31	974	3.1828
fungi	836599at2759.faa.mafft	25	645	3.876
fungi	83779at2759.faa.mafft	27	720	3.75
fungi	844748at2759.faa.mafft	0	695	0.0
fungi	855834at2759.faa.mafft	30	868	3.4562
fungi	858842at2759.faa.mafft	0	993	0.0
fungi	865202at2759.faa.mafft	15	374	4.0107
fungi	866359at2759.faa.mafft	19	365	5.2055
fungi	869548at2759.faa.mafft	17	306	5.5556
fungi	878143at2759.faa.mafft	26	527	4.9336
fungi	87842at2759.faa.mafft	44	1367	3.2187
fungi	887370at2759.faa.mafft	23	842	2.7316
fungi	891751at2759.faa.mafft	23	873	2.6346
fungi	898782at2759.faa.mafft	23	753	3.0544
fungi	901894at2759.faa.mafft	16	859	1.8626
fungi	905026at2759.faa.mafft	32	1172	2.7304
fungi	911863at2759.faa.mafft	24	525	4.5714
fungi	917326at2759.faa.mafft	36	808	4.4554
fungi	918816at2759.faa.mafft	24	829	2.8951
fungi	919955at2759.faa.mafft	23	407	5.6511
fungi	923657at2759.faa.mafft	22	456	4.8246
fungi	924753at2759.faa.mafft	30	647	4.6368
fungi	931188at2759.faa.mafft	26	685	3.7956
fungi	937275at2759.faa.mafft	0	613	0.0
fungi	937686at2759.faa.mafft	0	596	0.0
fungi	939345at2759.faa.mafft	11	724	1.5193
fungi	944899at2759.faa.mafft	21	369	5.6911
fungi	946128at2759.faa.mafft	26	840	3.0952
fungi	956854at2759.faa.mafft	0	362	0.0
fungi	97116at2759.faa.mafft	76	1483	5.1247
fungi	973442at2759.faa.mafft	16	748	2.139
fungi	974865at2759.faa.mafft	20	429	4.662
fungi	975158at2759.faa.mafft	25	605	4.1322
fungi	975557at2759.faa.mafft	21	872	2.4083
fungi	976469at2759.faa.mafft	0	415	0.0
fungi	981902at2759.faa.mafft	20	773	2.5873
fungi	996662at2759.faa.mafft	13	341	3.8123
