orthogroup	treeness
392369at2759.faa.mafft.clipkit	0.0489
39650at2759.faa.mafft.clipkit	0.0462
396755at2759.faa.mafft.clipkit	0.0541
418107at2759.faa.mafft.clipkit	0.0771
426305at2759.faa.mafft.clipkit	0.0464
450058at2759.faa.mafft.clipkit	0.076
453044at2759.faa.mafft.clipkit	0.0729
457861at2759.faa.mafft.clipkit	0.0634
464990at2759.faa.mafft.clipkit	0.0378
513979at2759.faa.mafft.clipkit	0.0492
543764at2759.faa.mafft.clipkit	0.0548
549762at2759.faa.mafft.clipkit	0.0
551907at2759.faa.mafft.clipkit	0.0459
570797at2759.faa.mafft.clipkit	0.0588
582756at2759.faa.mafft.clipkit	0.0786
598949at2759.faa.mafft.clipkit	0.0495
604979at2759.faa.mafft.clipkit	0.0
621827at2759.faa.mafft.clipkit	0.0423
625387at2759.faa.mafft.clipkit	0.0
655400at2759.faa.mafft.clipkit	0.0729
664730at2759.faa.mafft.clipkit	0.0436
671536at2759.faa.mafft.clipkit	0.0507
671846at2759.faa.mafft.clipkit	0.0582
673132at2759.faa.mafft.clipkit	0.0488
674160at2759.faa.mafft.clipkit	0.0233
674169at2759.faa.mafft.clipkit	0.0489
679187at2759.faa.mafft.clipkit	0.0
679771at2759.faa.mafft.clipkit	0.0
687505at2759.faa.mafft.clipkit	0.0805
692986at2759.faa.mafft.clipkit	0.0891
708105at2759.faa.mafft.clipkit	0.0685
719531at2759.faa.mafft.clipkit	0.0456
720340at2759.faa.mafft.clipkit	0.0422
722805at2759.faa.mafft.clipkit	0.0446
734341at2759.faa.mafft.clipkit	0.0507
734666at2759.faa.mafft.clipkit	0.0496
736068at2759.faa.mafft.clipkit	0.0296
751335at2759.faa.mafft.clipkit	0.0479
759498at2759.faa.mafft.clipkit	0.0678
761109at2759.faa.mafft.clipkit	0.0382
768809at2759.faa.mafft.clipkit	0.0483
774318at2759.faa.mafft.clipkit	0.0386
777920at2759.faa.mafft.clipkit	0.039
779909at2759.faa.mafft.clipkit	0.123
801857at2759.faa.mafft.clipkit	0.0691
814241at2759.faa.mafft.clipkit	0.0495
817008at2759.faa.mafft.clipkit	0.0381
834694at2759.faa.mafft.clipkit	0.0782
836599at2759.faa.mafft.clipkit	0.0589
83779at2759.faa.mafft.clipkit	0.0534
844748at2759.faa.mafft.clipkit	0.0
855834at2759.faa.mafft.clipkit	0.0505
858842at2759.faa.mafft.clipkit	0.0
865202at2759.faa.mafft.clipkit	0.0263
866359at2759.faa.mafft.clipkit	0.0245
869548at2759.faa.mafft.clipkit	0.0613
878143at2759.faa.mafft.clipkit	0.083
87842at2759.faa.mafft.clipkit	0.0239
887370at2759.faa.mafft.clipkit	0.0413
891751at2759.faa.mafft.clipkit	0.0534
898782at2759.faa.mafft.clipkit	0.0522
901894at2759.faa.mafft.clipkit	0.0348
905026at2759.faa.mafft.clipkit	0.0603
911863at2759.faa.mafft.clipkit	0.0589
917326at2759.faa.mafft.clipkit	0.0169
918816at2759.faa.mafft.clipkit	0.0345
919955at2759.faa.mafft.clipkit	0.0392
923657at2759.faa.mafft.clipkit	0.0869
924753at2759.faa.mafft.clipkit	0.0465
931188at2759.faa.mafft.clipkit	0.0709
937275at2759.faa.mafft.clipkit	0.0
937686at2759.faa.mafft.clipkit	0.0
939345at2759.faa.mafft.clipkit	0.0926
944899at2759.faa.mafft.clipkit	0.0382
946128at2759.faa.mafft.clipkit	0.0377
956854at2759.faa.mafft.clipkit	0.0
97116at2759.faa.mafft.clipkit	0.0288
973442at2759.faa.mafft.clipkit	0.0216
974865at2759.faa.mafft.clipkit	0.0542
975158at2759.faa.mafft.clipkit	0.0612
975557at2759.faa.mafft.clipkit	0.047
976469at2759.faa.mafft.clipkit	0.0
981902at2759.faa.mafft.clipkit	0.117
996662at2759.faa.mafft.clipkit	0.0539
