cluster_number,consensus_annotation
139,Amino-acid acetyltransferase
140,Amino-acid carrier protein AlsT
141,Aminomethyltransferase
142,Aminopeptidase N
143,Ammonia channel
144,Anthranilate phosphoribosyltransferase
145,Anthranilate synthase component 1
146,Anthranilate synthase component 2
147,Arginine biosynthesis bifunctional protein ArgJ
148,Arginine exporter protein ArgO
149,Arginine repressor
150,Arginine--tRNA ligase
151,Argininosuccinate lyase
152,Argininosuccinate synthase
153,Arsenate reductase
154,Aspartate 1-decarboxylase
155,Aspartate aminotransferase
156,Aspartate carbamoyltransferase
157,Aspartate--tRNA(Asp/Asn) ligase
158,Aspartate-semialdehyde dehydrogenase
159,Aspartate/alanine antiporter
160,Aspartokinase
161,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
162,ATP phosphoribosyltransferase
163,ATP synthase epsilon chain
164,ATP synthase gamma chain
165,ATP synthase subunit a
166,ATP synthase subunit alpha
167,ATP synthase subunit b
168,ATP synthase subunit beta
169,ATP synthase subunit c
170,ATP synthase subunit delta
171,ATP-dependent Clp protease adapter protein ClpS
172,ATP-dependent Clp protease ATP-binding subunit ClpC1
173,ATP-dependent Clp protease ATP-binding subunit ClpX
174,ATP-dependent Clp protease proteolytic subunit 1
175,ATP-dependent Clp protease proteolytic subunit 2
176,ATP-dependent DNA helicase RecG
177,ATP-dependent DNA helicase Rep
178,ATP-dependent DNA helicase UvrD1
179,ATP-dependent DNA helicase UvrD2
180,ATP-dependent RNA helicase DeaD
181,ATP-dependent RNA helicase HrpB
182,ATP-dependent RNA helicase RhlB
183,ATP-dependent RNA helicase RhlE
184,ATP-dependent zinc metalloprotease FtsH
185,Beta sliding clamp
186,Bicarbonate transport ATP-binding protein CmpD
187,Bicarbonate transport system permease protein CmpB
188,Bifunctional (p)ppGpp synthase/hydrolase RelA
189,Bifunctional enzyme CysN/CysC
190,Bifunctional enzyme IspD/IspF
191,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
192,Bifunctional ligase/repressor BirA
193,Bifunctional NAD(P)H-hydrate repair enzyme Nnr
194,Bifunctional protein Aas
195,Bifunctional protein FolD protein
196,Bifunctional protein GlmU
197,Bifunctional protein PaaZ
198,Bifunctional protein PyrR
199,Bifunctional purine biosynthesis protein PurH
200,Bifunctional riboflavin kinase/FMN adenylyltransferase
201,Branched-chain amino acid transport system 2 carrier protein
202,Branched-chain-amino-acid aminotransferase
203,C4-dicarboxylic acid transporter DauA
204,Calcium-transporting ATPase CtpE
205,Carbamoyl-phosphate synthase large chain
206,Carbamoyl-phosphate synthase small chain
207,Carbonic anhydrase
208,Carboxymethylenebutenolidase
209,Catalase
210,Catalase C
211,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
212,Cell division protein CrgA
213,Cell division protein FtsL
214,Cell division protein FtsQ
215,Cell division protein FtsZ
216,Cell division protein SepF
217,Cell division protein ZapE
218,Cell wall synthesis protein Wag31
219,Chaperone protein ClpB
220,Chaperone protein DnaJ
221,Chaperone protein DnaJ 2
222,Chaperone protein DnaK
223,Chorismate synthase
224,Chromosomal replication initiator protein DnaA
225,Chromosome partition protein Smc
226,Citrate lyase subunit beta-like protein
227,Citrate synthase 1
228,"CMP-N,N'-diacetyllegionaminic acid synthase"
229,Coenzyme A biosynthesis bifunctional protein CoaBC
230,Competence protein ComM
231,Copper chaperone CopZ
232,Copper-exporting P-type ATPase
233,Copper-exporting P-type ATPase B
234,Copper-sensing transcriptional repressor RicR
235,Crossover junction endodeoxyribonuclease RuvC
236,CRP-like cAMP-activated global transcriptional regulator
237,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
238,Cystathionine gamma-synthase
239,Cysteine desulfurase IscS
240,Cysteine--tRNA ligase
241,Cytidine deaminase
242,Cytochrome b6-f complex iron-sulfur subunit
243,Cytochrome bc1 complex cytochrome b subunit
244,Cytochrome bc1 complex cytochrome c subunit
245,Cytochrome bc1 complex Rieske iron-sulfur subunit
246,Cytochrome bd-I ubiquinol oxidase subunit 2
247,Cytochrome c biogenesis protein Ccs1
248,Cytochrome c biogenesis protein CcsA
249,Cytochrome c oxidase polypeptide 4
250,Cytochrome c oxidase subunit 2
251,"D,L-glycerol 3-phosphate phosphatase"
252,D-3-phosphoglycerate dehydrogenase
253,D-alanine--D-alanine ligase
254,D-alanine--D-alanyl carrier protein ligase
255,D-aminoacyl-tRNA deacylase
256,D-inositol-3-phosphate glycosyltransferase
257,"dCTP deaminase, dUMP-forming"
258,DEAD-box ATP-dependent RNA helicase CshA
259,Deaminated glutathione amidase
260,Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
261,Delta-aminolevulinic acid dehydratase
262,Demethylmenaquinone methyltransferase
263,Deoxyguanosinetriphosphate triphosphohydrolase-like protein
264,Deoxyribose-phosphate aldolase
265,Deoxyuridine 5'-triphosphate nucleotidohydrolase
266,Dephospho-CoA kinase
267,Depupylase
268,Di-/tripeptide transporter
269,Diaminopimelate decarboxylase
270,Diaminopimelate epimerase
271,Dihydrofolate reductase
272,Dihydrolipoyl dehydrogenase
273,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
274,Dihydroneopterin aldolase
275,Dihydroorotate dehydrogenase (quinone)
276,Dihydropteroate synthase
277,Dihydroxy-acid dehydratase
278,Dimethyl-sulfide monooxygenase
279,Dipeptidyl aminopeptidase BI
280,Dipeptidyl carboxypeptidase
281,dITP/XTP pyrophosphatase
282,Divalent metal cation transporter MntH
283,DNA gyrase subunit A
284,DNA gyrase subunit B
285,DNA polymerase I
286,DNA polymerase III subunit alpha
287,DNA polymerase IV 1
288,DNA primase
289,DNA repair protein RadA
290,DNA repair protein RecN
291,DNA replication and repair protein RecF
292,DNA topoisomerase 1
293,DNA-binding protein HB1
294,DNA-binding response regulator MtrA
295,DNA-directed RNA polymerase subunit alpha
296,DNA-directed RNA polymerase subunit beta
297,DNA-directed RNA polymerase subunit beta'
298,DNA-directed RNA polymerase subunit omega
299,DNA-invertase hin
300,"dTDP-glucose 4,6-dehydratase"
301,Dual-specificity RNA methyltransferase RlmN
302,Electron transfer flavoprotein subunit alpha
303,Electron transfer flavoprotein subunit beta
304,Elongation factor 4
305,Elongation factor G
306,Elongation factor P
307,Elongation factor Ts
308,Elongation factor Tu
309,Endolytic murein transglycosylase
310,Endonuclease 8 1
311,Endonuclease NucS
312,Endoribonuclease YbeY
313,Energy-coupling factor transporter transmembrane protein BioN
314,Energy-dependent translational throttle protein EttA
315,Enolase
316,Enterobactin exporter EntS
317,EPTC-inducible aldehyde dehydrogenase
318,Esterase YbfF
319,Exodeoxyribonuclease
320,Exodeoxyribonuclease 7 large subunit
321,Exodeoxyribonuclease 7 small subunit
322,Exodeoxyribonuclease III
323,Exopolyphosphatase 1
324,F420-dependent glucose-6-phosphate dehydrogenase
325,Fatty acid ABC transporter ATP-binding/permease protein
326,Fatty acid oxidation complex subunit alpha
327,Ferredoxin
328,Ferredoxin--NADP reductase
329,Ferrochelatase
330,FK506-binding protein
331,Flavohemoprotein
332,Formaldehyde dismutase
333,Formamidopyrimidine-DNA glycosylase 1
334,Formimidoylglutamase
335,Formyltetrahydrofolate deformylase
336,Fosfomycin resistance protein AbaF
337,"Fructose-1,6-bisphosphatase class 2"
338,"Fructose-1,6-bisphosphatase/inositol-1-monophosphatase"
339,Fructose-bisphosphate aldolase
340,Fumarate hydratase class II
341,G/U mismatch-specific DNA glycosylase
342,Gamma-glutamyl phosphate reductase
343,GDP-mannose-dependent alpha-mannosyltransferase
344,Glc operon transcriptional activator
345,Glucose-1-phosphate adenylyltransferase
346,Glucose-1-phosphate thymidylyltransferase
347,Glucose-6-phosphate 1-dehydrogenase 2
348,Glucose-6-phosphate isomerase
349,Glutamate 5-kinase
350,Glutamate dehydrogenase
351,Glutamate racemase
352,Glutamate synthase [NADPH] large chain
353,Glutamate synthase [NADPH] small chain
354,Glutamate--tRNA ligase
355,Glutamate--tRNA ligase 1
356,"Glutamate-1-semialdehyde 2,1-aminomutase"
357,Glutaminase
358,Glutaminase 1
359,Glutamine synthetase
360,Glutamine transport ATP-binding protein GlnQ
361,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
362,Glutamyl-tRNA reductase
363,Glutamyl-tRNA(Gln) amidotransferase subunit A
364,Glutamyl-tRNA(Gln) amidotransferase subunit C
365,Glutaredoxin-like protein NrdH
366,Glutathione import ATP-binding protein GsiA
367,Glutathione synthetase
368,Glyceraldehyde-3-phosphate dehydrogenase-like protein
369,Glycerol kinase
370,Glycerol-3-phosphate dehydrogenase 2
371,Glycerol-3-phosphate dehydrogenase [NAD(P)+]
372,"Glycerophosphodiester phosphodiesterase, periplasmic"
373,Glycine cleavage system H protein
374,Glycine--tRNA ligase
375,Glycogen operon protein GlgX
376,GMP synthase [glutamine-hydrolyzing]
377,GTP cyclohydrolase 1
378,GTP-binding protein TypA/BipA
379,GTPase Der
380,GTPase Era
381,GTPase HflX
382,GTPase Obg
383,Guanidinobutyrase
384,Guanine/hypoxanthine permease PbuG
385,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"
386,Guanylate kinase
387,Haloalkane dehalogenase
388,Heat shock protein 15
389,Heat-inducible transcription repressor HrcA
390,Heme A synthase
391,Heme oxygenase (mycobilin-producing)
392,Heme-binding protein A
393,Heptaprenyl diphosphate synthase component 2
394,High-affinity proline transporter PutP
395,Histidine ammonia-lyase
396,Histidine--tRNA ligase
397,Histidinol dehydrogenase
398,Histidinol-phosphatase
399,Histidinol-phosphate aminotransferase
400,Holin-like protein CidA
401,Holliday junction ATP-dependent DNA helicase RuvA
402,Holliday junction ATP-dependent DNA helicase RuvB
403,Holo-[acyl-carrier-protein] synthase
404,Homoserine dehydrogenase
405,Homoserine kinase
406,Homoserine O-acetyltransferase
407,HTH-type transcriptional regulator BetI
408,HTH-type transcriptional repressor KstR2
409,HTH-type transcriptional repressor NsrR
410,HTH-type transcriptional repressor RspR
411,Hydroxyacylglutathione hydrolase
412,Hydroxyacylglutathione hydrolase GloC
413,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
414,Hypoxanthine-guanine phosphoribosyltransferase
415,Imidazole glycerol phosphate synthase subunit HisF
416,Imidazole glycerol phosphate synthase subunit HisH
417,Imidazoleglycerol-phosphate dehydratase
418,Imidazolonepropionase
419,Indole-3-glycerol phosphate synthase
420,Inner membrane metabolite transport protein YhjE
421,Inner membrane protein YedI
422,Inner membrane protein YohK
423,Inner membrane transport protein YdhP
424,Inorganic pyrophosphatase
425,Inosine-5'-monophosphate dehydrogenase
426,Inositol-3-phosphate synthase
427,Insertion element IS6110 uncharacterized 12.0 kDa protein
428,Iron-sulfur cluster carrier protein
429,IS3 family transposase IS999
430,IS5 family transposase ISBli8
431,IscS-like cysteine desulfurase
432,Isocitrate dehydrogenase [NADP]
433,Isocitrate lyase
434,Isoleucine--tRNA ligase
435,Isopentenyl-diphosphate Delta-isomerase
436,Ketol-acid reductoisomerase (NADP(+))
437,Ktr system potassium uptake protein A
438,Ktr system potassium uptake protein B
439,L-carnitine/gamma-butyrobetaine antiporter
440,L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
441,L-lactate permease
442,L-threonine ammonia-lyase
443,Lactate utilization protein A
444,Lactate utilization protein B
445,Lactate utilization protein C
446,Large-conductance mechanosensitive channel
447,Leucine--tRNA ligase
448,Leucine-responsive regulatory protein
449,LexA repressor
450,Linearmycin resistance ATP-binding protein LnrL
451,Lipid A export ATP-binding/permease protein MsbA
452,lipid II flippase MurJ
453,lipid kinase YegS
454,Lipoprotein LpqB
455,Lipoprotein signal peptidase
456,Lipoprotein-releasing system ATP-binding protein LolD
457,Lipoyl synthase
458,LL-diaminopimelate aminotransferase
459,Long-chain-fatty-acid--CoA ligase
460,Long-chain-fatty-acid--CoA ligase FadD15
461,Low specificity L-threonine aldolase
462,Lysine--tRNA ligase 1
463,Major cardiolipin synthase ClsA
464,Malate dehydrogenase
465,Malate synthase
466,Malonyl CoA-acyl carrier protein transacylase
467,Maltooligosyl trehalose synthase
468,Manganese transport system membrane protein MntB
469,Manganese-binding lipoprotein MntA
470,Mannose-1-phosphate guanylyltransferase RfbM
471,Mannose-6-phosphate isomerase
472,Membrane lipoprotein TmpC
473,Membrane protein insertase YidC
474,Membrane-bound lytic murein transglycosylase C
475,Menaquinone reductase
476,Mercuric reductase
477,Metal cation efflux system protein CzcD
478,Methenyltetrahydrofolate cyclohydrolase
479,Methionine aminopeptidase 1
480,Methionine aminopeptidase 2
481,Methionine import ATP-binding protein MetN
482,Methionine--tRNA ligase
483,Methionyl-tRNA formyltransferase
484,Methylated-DNA--protein-cysteine methyltransferase
485,Monocarboxylic acid transporter
486,Multidrug resistance protein MdtK
487,Multidrug resistance protein Stp
488,Multifunctional 2-oxoglutarate metabolism enzyme
489,Mycothiol acetyltransferase
490,Mycothiol S-conjugate amidase
491,Mycothione reductase
492,N-acetyl-gamma-glutamyl-phosphate reductase
493,N-acetylcysteine deacetylase
494,N-acetyltransferase Eis
495,N-substituted formamide deformylase
496,N5-carboxyaminoimidazole ribonucleotide synthase
497,Na(+)/H(+) antiporter subunit D
498,Na(+)/H(+) antiporter subunit G
499,NAD kinase
500,NAD(P)H dehydrogenase (quinone)
501,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic"
502,NAD-dependent protein deacetylase
503,NADH pyrophosphatase
504,NADP-specific glutamate dehydrogenase
505,NADPH-ferredoxin reductase FprA
506,Neutral endopeptidase
507,NH(3)-dependent NAD(+) synthetase
508,Nicotinamidase/pyrazinamidase
509,Nicotinate phosphoribosyltransferase pncB1
510,Nitrate import ATP-binding protein NrtD
511,Nitronate monooxygenase
512,Nuclease SbcCD subunit D
513,Nucleoid-associated protein Lsr2
514,Nucleoside diphosphate kinase
515,Nucleoside triphosphate pyrophosphatase
516,Nucleotide-binding protein
517,O-acetyl-ADP-ribose deacetylase
518,O-acetyl-L-homoserine sulfhydrylase
519,o-succinylbenzoate synthase
520,Octanoyltransferase
521,Octanoyltransferase LipM
522,Oligoribonuclease
523,Organic hydroperoxide resistance protein OhrA
524,Ornithine carbamoyltransferase
525,Orotate phosphoribosyltransferase
526,Orotidine 5'-phosphate decarboxylase
527,Pantothenate kinase
528,Pantothenate synthetase
529,Penicillin-binding protein A
530,Penicillin-binding protein PbpB
531,Peptide chain release factor 1
532,Peptide chain release factor 2
533,Peptide deformylase
534,Peptide methionine sulfoxide reductase MsrA/MsrB
535,Peptide methionine sulfoxide reductase MsrB
536,Peptide transporter CstA
537,Peptidyl-prolyl cis-trans isomerase B
538,Peptidyl-tRNA hydrolase
539,Peptidyl-tRNA hydrolase ArfB
540,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
541,Petrobactin import ATP-binding protein FatE
542,Petrobactin import system permease protein FatC
543,Petrobactin import system permease protein FatD
544,Phage shock protein A
545,Phenylacetate-coenzyme A ligase
546,Phenylalanine--tRNA ligase alpha subunit
547,Phenylalanine--tRNA ligase beta subunit
548,PhoH-like protein
549,Phosphate import ATP-binding protein PstB 1
550,Phosphate transport system permease protein PstC 2
551,Phosphate-specific transport system accessory protein PhoU
552,Phosphatidate cytidylyltransferase
553,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
554,Phosphatidylinositol phosphate synthase
555,Phospho-2-dehydro-3-deoxyheptonate aldolase
556,Phosphoadenosine phosphosulfate reductase
557,Phosphoenolpyruvate carboxykinase [GTP]
558,Phosphoglucomutase
559,Phosphoglucosamine mutase
560,Phosphoglycerate kinase
561,Phosphoglycolate phosphatase
562,Phosphomannomutase/phosphoglucomutase
563,Phosphomethylpyrimidine synthase
564,Phosphopantetheine adenylyltransferase
565,Phosphoribosyl-AMP cyclohydrolase
566,Phosphoribosyl-ATP pyrophosphatase
567,Phosphoribosylamine--glycine ligase
568,Phosphoribosylformylglycinamidine cyclo-ligase
569,Phosphoribosylformylglycinamidine synthase subunit PurL
570,Phosphoribosylformylglycinamidine synthase subunit PurQ
571,Phosphoribosylformylglycinamidine synthase subunit PurS
572,Phosphoribosylglycinamide formyltransferase
573,Phosphorylated carbohydrates phosphatase
574,Phosphoserine aminotransferase
575,Phosphoserine phosphatase 1
576,Polyamine aminopropyltransferase
577,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
578,Polyphosphate glucokinase
579,Polyphosphate kinase PPK2B
580,Polyribonucleotide nucleotidyltransferase
581,Porphobilinogen deaminase
582,Potassium transporter KimA
583,Prephenate dehydratase
584,Prokaryotic ubiquitin-like protein Pup
585,Proline iminopeptidase
586,Proline--tRNA ligase
587,Proline-specific permease ProY
588,Proofreading thioesterase EntH
589,Proteasome-associated ATPase
590,Protein
591,Protein adenylyltransferase SelO
592,Protein glycosylation K
593,Protein GrpE
594,protein kinase UbiB
595,Protein NrdI
596,Protein RarD
597,Protein RecA
598,Protein translocase subunit SecA
599,Protein translocase subunit SecD
600,Protein translocase subunit SecE
601,Protein translocase subunit SecF
602,Protein translocase subunit SecY
603,Protein YrdA
604,Protoheme IX farnesyltransferase
605,Proton/glutamate-aspartate symporter
606,Protoporphyrinogen oxidase
607,Pup--protein ligase
608,Purine nucleoside phosphorylase
609,"Putative 1,2-phenylacetyl-CoA epoxidase, subunit D"
610,putative 2-succinylbenzoate--CoA ligase
611,Putative 3-methyladenine DNA glycosylase
612,putative ABC transporter ATP-binding protein
613,putative ABC transporter ATP-binding protein YheS
614,putative ABC transporter ATP-binding protein YknY
615,putative ABC transporter ATP-binding protein YlmA
616,putative acetyl-CoA acetyltransferase
617,Putative acyltransferase
618,putative adenylyltransferase/sulfurtransferase MoeZ
619,Putative agmatine deiminase
620,Putative aliphatic sulfonates transport permease protein SsuC
621,putative aspartate aminotransferase
622,putative ATP-dependent helicase DinG
623,putative cell division protein WhiA
624,putative cold shock protein A
625,Putative cysteine protease YraA
626,putative cytochrome c oxidase subunit 1
627,putative cytosol aminopeptidase
628,putative dolichyl-phosphate-mannose--protein mannosyltransferase
629,putative enoyl-CoA hydratase echA8
630,putative FAD-linked oxidoreductase
631,Putative fluoride ion transporter CrcB
632,putative FMNH2-dependent monooxygenase SfnC
633,putative FtsW-like protein
634,Putative gluconeogenesis factor
635,Putative glutamate--cysteine ligase 2
636,putative glycine dehydrogenase (decarboxylating)
637,putative glycosyl hydrolase
638,putative helicase HelY
639,putative HIT-like protein
640,putative HTH-type transcriptional regulator
641,putative lipoprotein
642,putative M18 family aminopeptidase 2
643,putative malate:quinone oxidoreductase
644,putative membrane protein
645,Putative membrane protein insertion efficiency factor
646,putative membrane transporter protein YfcA
647,putative metal-dependent hydrolase TatD
648,putative methyltransferase
649,Putative multidrug export ATP-binding/permease protein
650,Putative multidrug resistance protein MdtD
651,putative N-acetyltransferase
652,putative N-succinyldiaminopimelate aminotransferase DapC
653,Putative niacin/nicotinamide transporter NaiP
654,putative nicotinate-nucleotide adenylyltransferase
655,putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
656,putative Nudix hydrolase NudL
657,Putative O-methyltransferase
658,putative oxidoreductase
659,putative oxidoreductase YghA
660,putative oxidoreductase/MSMEI_1564
661,putative oxidoreductase/MSMEI_2347
662,putative peptidoglycan glycosyltransferase FtsW
663,Putative peroxiredoxin
664,Putative phenylalanine aminotransferase
665,putative phosphomannomutase
666,Putative pre-16S rRNA nuclease
667,putative primosomal protein N'
668,putative propionyl-CoA carboxylase beta chain 5
669,putative protein YdhK
670,putative protein YihR
671,putative protein YisK
672,putative protein YlbL
673,Putative pyrimidine permease RutG
674,putative RNA pseudouridine synthase
675,putative sensor histidine kinase pdtaS
676,putative siderophore transport system ATP-binding protein YusV
677,putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
678,putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
679,Putative succinyl-diaminopimelate desuccinylase DapE
680,putative SufE-like protein
681,putative sugar epimerase YhfK
682,Putative thiosulfate sulfurtransferase SseA
683,putative trans-aconitate 2-methyltransferase
684,putative transcriptional regulatory protein
685,putative transcriptional regulatory protein pdtaR
686,putative transcriptional regulatory protein TcrX
687,Putative transport protein
688,putative transporter
689,putative tRNA/rRNA methyltransferase
690,putative zinc protease
691,putative zinc-binding alcohol dehydrogenase
692,Pyridoxal 5'-phosphate synthase subunit PdxS
693,Pyridoxal 5'-phosphate synthase subunit PdxT
694,Pyridoxal phosphate homeostasis protein
695,Pyridoxine kinase
696,Pyrimidine-specific ribonucleoside hydrolase RihA
697,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
698,Pyrrolidone-carboxylate peptidase
699,Pyrroline-5-carboxylate reductase
700,Pyruvate carboxylase
701,Pyruvate dehydrogenase [ubiquinone]
702,Pyruvate dehydrogenase E1 component
703,Pyruvate kinase
704,Queuine tRNA-ribosyltransferase
705,queuosine precursor transporter
706,Quinolinate synthase A
707,Recombination protein RecR
708,Regulatory protein RecX
709,Release factor glutamine methyltransferase
710,Replicative DNA helicase
711,Rhomboid protease GlpG
712,Riboflavin biosynthesis protein RibBA
713,Riboflavin/roseoflavin transporter RibM
714,Ribonuclease 3
715,Ribonuclease D
716,Ribonuclease E
717,Ribonuclease HII
718,Ribonuclease J
719,Ribonuclease P protein component
720,Ribonuclease PH
721,Ribonuclease R
722,Ribonucleoside-diphosphate reductase subunit alpha 2
723,Ribonucleoside-diphosphate reductase subunit beta nrdF2
724,Ribose-phosphate pyrophosphokinase
725,Ribosomal RNA large subunit methyltransferase G
726,Ribosomal RNA large subunit methyltransferase H
727,Ribosomal RNA small subunit methyltransferase A
728,Ribosomal RNA small subunit methyltransferase C
729,Ribosomal RNA small subunit methyltransferase D
730,Ribosomal RNA small subunit methyltransferase E
731,Ribosomal RNA small subunit methyltransferase G
732,Ribosomal RNA small subunit methyltransferase H
