gene	variance_log2_tpm	mad_log2_tpm	cluster0_median	cluster1_median	delta_cluster1_minus_cluster0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
LCN2	9.62882	1.42347	7.63947	1.73498	-5.90449	7.30601	1.86835	2.48764	8.16414	1.60162	7.63947	1.19869	6.74067	8.09636
LCE3A	9.59493	0.887289	5.89129	0.132561	-5.75873	6.24462	0.0791665	0.185955	5.89129	0.339608	5.76476	0	6.50742	5.62013
AADACL3	9.14256	2.1766	0.157288	5.17247	5.01518	0.096299	6.06359	8.84204	0.110439	1.79792	0.157288	4.28135	4.25715	3.88699
BTC	8.99772	1.04006	0.941463	6.64368	5.70222	0.870527	6.78331	6.50405	1.07983	6.3363	0.508285	6.9722	0.941463	1.54834
KRT77	8.62392	1.60384	3.62822	8.94973	5.3215	2.59431	8.77698	9.39393	2.33839	7.23462	3.62822	9.12247	3.82813	3.94223
IL36A	8.62362	1.72444	5.29717	0	-5.29717	6.60017	0	0.0959714	5.72223	0	5.29717	0	5.10778	4.87573
GJB2	8.56913	0.922002	12.0616	6.37938	-5.68222	12.0616	6.0925	6.27335	12.0887	6.5102	11.6644	6.48542	11.2977	12.2197
SLC6A14	8.49048	1.27501	9.10805	3.75142	-5.35663	9.42343	4.24747	2.70106	9.55057	4.50867	9.03034	3.25536	8.27555	9.10805
IL36G	8.39397	0.437649	8.92371	3.44069	-5.48302	9.25649	2.95771	3.32349	9.1564	4.43388	8.81884	3.5579	8.92371	8.8998
H19	8.09859	1.75779	1.20884	6.55667	5.34783	1.20884	7.55798	7.15472	0.441488	3.10576	0.620631	5.95862	2.37842	1.26995
KYNU	8.01198	0.85811	6.98054	1.70075	-5.27979	6.98054	1.79989	1.07077	7.08965	1.60162	6.59577	2.07463	6.7069	7.45388
S100A12	8.01132	0.927592	5.45269	0.0479857	-5.40471	5.83765	0	0.0959714	5.79638	0	4.91006	0.14225	4.98997	5.45269
FADS2	7.32037	1.96228	3.21464	7.14344	3.9288	3.21464	8.12458	10.6179	2.66227	4.51427	2.43711	6.1623	6.25916	6.46994
TNIP3	7.20603	2.62033	5.31946	0	-5.31946	5.31946	0	0	5.75235	0	4.36869	0.0728775	2.62033	5.84934
SCARA5	7.20026	2.81014	2.73073	7.14558	4.41485	0.499951	7.11397	6.56086	1.85813	7.55819	2.90477	7.1772	2.73073	3.31009
KRT6B	7.19565	2.10901	11.6601	6.97348	-4.68665	12.559	8.25896	7.82059	11.6601	5.6645	10.2614	6.12637	12.3704	11.5837
RAB3B	7.00273	1.331	0.757327	5.87624	5.11891	0.096299	6.01785	5.78666	0.261701	4.80194	1.4273	5.96582	0.757327	1.06401
KRT79	6.96432	1.49593	2.40046	5.31441	2.91395	2.40046	6.06237	8.57535	0.563001	3.53811	0.91312	4.56644	6.04772	5.56645
C10orf99	6.92568	0.76556	7.65786	2.71958	-4.93827	7.79324	2.23967	1.7687	7.8567	3.54905	7.09114	3.1995	7.45971	7.65786
OASL	6.85752	0.749585	5.73123	0.572858	-5.15838	5.13622	0.358439	0.755185	5.75872	1.0438	5.35381	0.39053	5.73123	5.8858
DEFB4B	6.7702	2.38504	3.60145	0	-3.60145	4.74504	0	0	3.60145	0	2.38504	0	2.42553	7.33106
IGHA1	6.7021	1.98129	2.59737	4.56561	1.96824	7.96049	6.27906	0.69516	2.59737	4.97426	0.343435	4.15697	2.99297	1.38074
NOS2	6.66213	2.72467	5.44182	0.349023	-5.0928	6.0419	0.358439	0.868227	5.95281	0.339608	5.44182	0.208439	3.22814	4.70879
EPGN	6.59876	2.28712	5.23554	0.826267	-4.40927	6.74925	0.839722	0.812813	5.17489	0.844979	4.46213	0.39053	5.23554	5.66095
SEC14L6	6.51464	1.1503	0.690944	4.18415	3.4932	0.427754	4.30212	8.28019	0.563001	2.91588	0.690944	4.06618	4.47247	4.6023
CHI3L2	6.36376	1.64372	7.85347	2.8062	-5.04727	7.85347	2.44789	4.19101	8.32579	2.46258	7.86555	3.14983	6.68206	7.68285
CHAC1	6.34257	0.785874	4.81454	0.148232	-4.66631	5.49091	0.154214	0	4.84825	0.339608	4.71294	0.14225	4.70503	4.81454
CXCL8	6.32503	2.58221	4.82819	0.132277	-4.69591	5.52158	0.0791665	0.185955	4.82819	0.122303	4.28876	0.14225	2.72446	5.74274
KLK6	6.32456	2.26333	5.71599	1.70084	-4.01515	5.71599	2.33952	2.71624	7.41963	0.339608	5.60777	1.06216	5.1563	6.37944
THRSP	6.27895	2.0661	0.206124	3.82103	3.61491	0	4.85408	7.53084	0.162642	1.21851	0.206124	2.78798	3.14613	3.03315
LCE3C	6.27318	0.293524	4.50374	0.0611515	-4.44259	4.91311	0.293524	0	0	0.122303	4.17376	0	5.54024	4.50374
OAS2	6.14509	0.581079	6.80888	2.00664	-4.80224	6.37272	2.16905	1.40645	6.94018	2.6162	6.80888	1.84423	6.3591	6.82049
IFI6	6.13854	1.91613	6.93737	2.28216	-4.65521	6.0419	2.38697	1.85353	6.93737	3.21975	7.02675	2.17736	6.8909	7.95803
PM20D1	6.07061	1.49152	1.45956	3.71327	2.25371	0.351753	5.16883	7.69404	1.45956	1.21851	0.0543571	2.25771	2.7055	3.74923
WIF1	6.01132	0.298797	0.0543571	4.67496	4.6206	0	5.43836	4.92789	0	4.42202	0.0543571	4.00231	0.298797	0.174177
PLAT	5.98692	2.1617	6.41229	2.04507	-4.36721	6.84071	2.05617	2.03398	6.41229	2.09539	7.81405	1.92519	4.08689	6.29944
TNXB	5.89346	1.61291	3.96197	8.46525	4.50328	2.9697	8.42087	7.76738	3.65254	8.78915	4.58261	8.50964	3.96197	4.15981
ELOVL3	5.77159	1.8813	0.779057	3.67293	2.89387	0.351753	4.48404	7.76099	0.779057	0.980523	0.620631	2.86182	3.3471	3.37399
XIST	5.74147	0.0409132	0.0409132	0.839012	0.798099	0.271524	1.67802	7.28451	0	0	0.253361	0	0.0409132	0
ANKRD33B	5.68858	1.94634	1.83448	6.63694	4.80247	1.77229	6.63726	6.63662	1.48028	6.30112	3.42662	6.70694	2.32972	1.83448
HSPD1P3	5.67677	2.94128	3.83605	0	-3.83605	6.0629	0	0	4.81398	0	2.94128	0	3.30573	3.83605
C5orf46	5.67526	2.2231	2.60129	6.56571	3.96441	0.870527	6.45726	6.12768	1.65445	6.67416	2.60129	6.79034	3.09363	2.61655
MFAP5	5.6199	2.57556	1.88274	6.54568	4.66295	1.29253	6.58397	5.39217	1.10673	6.5074	1.88274	6.80646	2.59308	3.8681
SPRR1B	5.48708	1.00059	8.96166	4.33795	-4.62371	9.07174	4.70917	4.34543	9.20835	4.22452	8.20776	4.33047	8.96166	8.58173
KRT25	5.45652	0.122303	0.0562759	0.196478	0.140203	0.18657	0	0.270654	0.0562759	0.122303	0	5.39354	0	5.37453
VNN3	5.4479	1.43542	4.46293	0.0364388	-4.42649	4.46293	0	0	4.97591	0.235043	3.54049	0.0728775	4.31041	4.89141
SPRR2E	5.44185	1.06483	10.5019	6.42168	-4.08024	10.7007	5.54155	5.24555	11.0803	7.35723	10.495	7.30181	10.5019	10.0155
GJB6	5.40368	0.407808	9.96967	5.57244	-4.39723	10.1558	5.76302	5.25077	9.96967	5.38186	9.748	5.98128	9.93454	10.1027
SNTB1	5.16705	0.549534	1.8202	6.05487	4.23467	1.88443	5.92179	6.11199	1.65445	6.31722	2.06588	5.99775	1.8202	1.51634
APOL1	5.15154	1.6789	5.99672	2.04382	-3.9529	6.45788	1.93371	1.07077	7.01751	2.15393	5.99672	2.42015	5.33862	5.37006
CXCL1	5.11539	1.19813	4.69716	0.071125	-4.62604	4.71122	0.154214	0	4.69716	0	3.77707	0.14225	1.19813	4.80795
GJB4	5.06912	1.30775	1.36415	5.3021	3.93795	0.427754	5.36127	5.24293	0.601333	5.57362	1.36415	5.11595	1.7355	1.51634
PAMR1	5.0587	2.25468	1.8778	5.67618	3.79838	0.427754	5.63949	5.15932	0.601333	5.86615	3.38481	5.71287	1.8778	2.00559
TPPP	4.98363	2.33503	1.80829	6.21196	4.40368	1.6507	6.53566	6.14602	1.32859	6.2144	3.66362	6.20953	2.7799	1.80829
MX1	4.96645	0.867105	7.38657	3.09322	-4.29335	6.87844	2.61661	2.77541	7.63125	3.4821	7.38657	3.41104	6.76415	7.51942
RPS4Y1	4.95593	0.131182	7.20138	7.28641	0.0850235	7.10729	7.46293	0.632528	7.23235	7.10988	7.20138	7.63269	7.0702	7.46702
SPRR2C	4.94685	1.37528	4.08842	0	-4.08842	4.77445	0	0	4.72997	0	4.08842	0	3.39916	3.70732
PLA2G4D	4.93413	1.06573	8.99395	4.84048	-4.15346	9.33012	4.25175	4.84745	9.21802	5.19241	8.86341	4.83352	8.26439	8.99395
AWAT2	4.93346	1.3201	0.110439	3.25121	3.14077	0.096299	3.91126	6.74791	0.110439	1.46958	0	2.59116	2.71817	3.40053
TYMP	4.8885	0.692106	7.57584	3.61583	-3.96002	7.44395	3.04903	3.64236	7.45408	3.65417	7.6286	3.58929	7.57584	8.13605
RSAD2	4.88758	1.68979	5.07492	1.14415	-3.93077	4.55477	1.0896	0.921591	6.24456	1.46958	4.87462	1.19869	5.07492	5.55862
WNK2	4.87041	0.900366	1.20506	5.1374	3.93234	0.499951	5.03126	5.20846	0.563001	5.17837	1.20506	5.09642	1.40032	1.23104
IFI44	4.82721	1.57535	6.41949	2.15005	-4.26945	5.2687	1.99624	1.64724	6.49733	2.57395	5.92651	2.30385	6.41949	6.84404
S100P	4.78434	1.0677	6.04643	1.88488	-4.16154	6.04643	2.05617	0.632528	6.58721	2.31649	2.78128	1.71359	3.46076	6.11676
GAL	4.77836	1.46552	0.110439	2.79153	2.68109	0	4.11754	6.35078	0.110439	0.844979	0.10674	1.46552	3.0492	3.03315
UPP1	4.7663	1.67873	5.86054	1.83408	-4.02645	6.67809	1.39825	1.90743	6.16041	1.76074	4.99936	1.94474	5.20211	5.86054
AQP9	4.72125	2.01652	2.09497	6.16327	4.06829	1.74284	6.09845	6.09176	1.37358	6.22808	3.3901	6.23158	2.24471	2.09497
KRT71	4.717	0.0409132	0	0.194629	0.194629	0	0.154214	0	0	0.235043	0	5.25163	0.0409132	4.69456
HSD11B1	4.68218	1.1958	1.02532	5.12305	4.09773	1.02532	5.45515	5.86537	0.638672	4.57444	0.91312	4.79095	1.46187	1.83448
PI16	4.66513	2.20679	1.93739	6.05301	4.11562	1.93739	6.49203	5.72796	1.13313	5.45643	1.78967	6.37807	2.26212	4.14419
HRNR	4.65792	1.92228	5.31299	2.07901	-3.23398	6.67906	1.9757	1.36852	5.2967	2.18232	4.10461	2.71016	7.28207	5.31299
CLDN17	4.65268	0.8834	3.3194	0.110708	-3.20869	5.29684	0.0791665	0	5.01548	0.235043	0.8834	0.14225	2.27932	3.3194
TCHH	4.56008	1.13372	3.0356	1.28452	-1.75108	5.31946	0.64531	1.40645	3.0356	1.16259	1.8056	6.2824	2.29632	5.64254
IL34	4.49886	1.79765	1.80984	5.83648	4.02664	1.16511	6.24298	5.75209	1.80984	5.39405	2.96276	5.92087	1.6718	2.00559
PRSS22	4.42935	0.648334	5.43355	1.44918	-3.98436	5.51941	1.48802	2.5226	5.57831	0.528426	5.29294	1.41034	4.92998	5.43355
IL19	4.41885	2.55121	3.61019	0	-3.61019	3.9666	0	0	3.27376	0	3.61019	0	2.55121	5.31996
DGAT2L6	4.41845	1.22935	0.427754	2.94653	2.51878	0.427754	3.50113	6.38561	0	1.16259	0	2.39194	3.029	3.4437
HYAL4	4.34313	1.91044	4.39795	0.349023	-4.04893	2.86424	0.358439	0.0959714	4.77468	0.339608	4.34162	0.871055	4.68259	4.39795
LCE5A	4.27362	0.31531	1.40656	5.31449	3.90794	1.37163	5.25019	5.50136	1.5007	5.3788	1.40656	5.10514	1.50637	1.19106
HS3ST6	4.25182	0.973868	1.33263	5.357	4.02438	1.33263	5.20899	5.75577	1.13313	5.50502	1.74079	4.88755	2.107	1.14994
ZBTB16	4.23568	1.77923	0.656216	4.77504	4.11882	2.1088	5.14603	4.08974	1.92009	4.40404	0.656216	5.40063	0.458322	0.329573
IGFBP5	4.21469	1.83114	5.19351	8.95766	3.76416	4.87967	8.81379	8.83271	4.6082	9.08262	5.19351	9.49362	5.34782	6.43933
FABP7	4.16774	1.05812	2.4561	4.12772	1.67162	3.10317	7.48217	5.40394	1.79338	2.73599	0.584146	2.8515	2.4561	4.0579
MTCO1P12	4.15226	0.244637	6.41318	4.83652	-1.57666	2.06187	2.65588	3.01522	6.31905	6.65781	6.47269	7.23441	6.41318	6.44146
ELN	4.14061	1.60833	2.01336	5.84769	3.83433	2.01336	6.29883	5.32939	1.48028	5.71883	1.54588	5.97654	2.39429	3.08861
IGKC	4.11971	1.61288	3.39328	3.53896	0.145683	6.60325	5.00616	0.498464	3.39328	3.97954	0.386447	3.09839	3.62112	1.75443
ARSF	4.09828	1.07737	5.55665	1.83635	-3.7203	5.24263	1.54491	2.12778	5.98125	0.914343	5.96957	2.89234	4.90388	5.55665
SPRR1A	4.08043	1.17817	6.72758	2.76628	-3.9613	6.77675	3.55058	3.24192	6.72758	2.29064	5.63478	1.90537	6.81295	6.0693
AKR1B15	4.05496	1.80133	4.19733	0.282624	-3.91471	4.89314	0.293524	0.185955	3.31471	0.339608	3.09181	0.271724	4.19733	4.30267
CACNA1H	4.04015	0.392928	0.354393	3.94291	3.58852	0.568706	4.35875	5.29188	0.354393	3.52708	0.206124	0.911356	0.264661	0.657589
CCL20	4.02656	2.22032	2.95649	0.100735	-2.85575	2.82261	0.0791665	0	2.95649	0.122303	4.70022	0.602291	2.91258	5.08382
FLG2	3.99532	2.03603	10.3065	13.8772	3.57067	10.3065	13.8626	13.3833	9.01957	13.9812	11.3473	13.8918	10.6301	9.67055
DSC2	3.99027	2.03737	9.6761	6.37519	-3.30091	10.9042	6.28429	6.66721	10.2985	5.60281	8.86685	6.4661	9.55694	9.6761
EPHB2	3.97864	1.0733	5.48145	1.5746	-3.90684	4.59241	1.84589	1.8258	5.48145	1.21851	5.48204	1.32341	5.66571	5.15569
JCHAIN	3.9454	1.55867	2.15855	4.16359	2.00503	5.66783	5.56409	0.632528	1.28215	4.50867	0.75799	3.8185	2.1912	2.15855
NES	3.93443	1.91099	6.6049	2.85392	-3.75098	6.60222	2.82619	2.76084	7.27558	2.88165	6.6049	3.01762	4.92862	6.78483
CD274	3.91969	1.40691	4.90452	1.06081	-3.84371	5.24	1.05084	1.07077	5.25823	1.0438	4.90452	1.32341	3.85132	4.72288
PRSS27	3.90793	0.972199	5.31764	1.50926	-3.80838	5.40655	1.33514	1.79753	5.69147	1.68337	4.71927	1.16575	4.81232	5.31764
FABP5	3.90777	0.540992	9.88778	6.13508	-3.75269	9.47919	6.33457	5.53813	9.78517	6.70873	10.0202	5.9356	9.94291	9.88778
KLK13	3.88376	1.77542	6.35816	3.08113	-3.27704	6.87165	3.02923	3.13302	7.64651	3.19209	6.34494	2.65188	5.8711	6.35816
LGALS7	3.88352	1.44244	6.27454	3.4043	-2.87024	6.13411	3.78116	3.02744	7.54508	2.36685	6.75963	6.10264	2.74936	6.27454
UGT3A2	3.84633	0.197691	0.15712	4.0244	3.86728	0.096299	4.35079	3.9871	0.0562759	2.69715	0.206124	4.06171	0.15712	0.253967
CRAT	3.84244	1.88267	1.80116	4.94098	3.13983	1.80116	5.98611	7.34375	1.74283	3.14957	1.72412	3.89586	3.68382	4.46236
MYH14	3.83378	1.99643	5.07835	8.20056	3.1222	3.46061	8.18455	8.21656	3.96335	8.2651	5.45704	8.0007	5.28214	5.07835
KRT17	3.81629	1.49906	11.4691	8.08165	-3.38746	12.0016	8.66174	9.12613	11.2988	7.50156	11.0644	7.48404	12.5635	11.4691
SCGB2A2	3.81317	0.632528	0	2.41514	2.41514	0	3.61177	0.632528	0	1.21851	0	4.27364	0.0409132	4.4497
NPTX1	3.80663	1.02434	0.253361	3.79099	3.53763	0.351753	4.55499	3.8285	0.0562759	3.54905	0.253361	3.75348	3.53066	0.0897157
IGFL1	3.79337	1.65043	2.81316	0.194629	-2.61853	2.03782	0.154214	0.0959714	4.88949	0.235043	2.81316	0.78691	5.11499	1.88547
PGBD5	3.79217	1.5407	4.78304	1.10672	-3.67632	5.47308	1.05084	1.20596	4.78304	1.16259	3.9519	0.98873	3.93238	5.21172
PHYHIP	3.78685	1.87054	1.72673	5.4211	3.69437	0.870527	5.76601	5.70911	3.15638	4.97019	2.8899	5.1331	1.28584	1.72673
MATN4	3.78122	0.690944	0.253967	3.83523	3.58126	0	4.56534	3.45599	0.213021	3.37545	0.690944	4.21447	0.298797	0.253967
TMPRSS4	3.77336	1.21502	5.31954	1.61614	-3.70339	5.01826	1.4288	1.54892	5.84412	1.68337	5.31954	2.37763	4.65978	5.8748
CHRDL1	3.76215	1.06034	2.04802	5.56906	3.52104	1.29253	5.5363	5.15376	1.90485	5.98779	2.35287	5.60181	2.04802	2.15855
DDX3Y	3.75304	0.10424	6.30292	6.3351	0.0321841	6.40716	6.29573	0.498464	6.10146	6.43253	6.13161	6.37447	6.30292	6.35477
PRG4	3.74992	1.05475	0.597682	4.40259	3.80491	0.499951	4.30212	3.16656	0.67507	4.50306	0.10674	4.66991	1.16149	0.597682
TF	3.74198	1.33253	0.428213	2.99019	2.56198	0.096299	3.01923	5.72045	0.308792	1.76074	0.428213	2.96115	4.14199	1.10761
FADS1	3.7406	1.38634	3.20074	5.40646	2.20572	2.82261	6.09964	8.74453	3.20074	3.65417	2.57364	4.71329	4.76579	5.19665
ISG15	3.71196	1.21516	4.4365	1.11623	-3.32028	4.29553	0.970064	0.755185	4.94457	1.60162	4.37137	1.2624	4.4365	5.51069
SERPINA3	3.70684	1.72796	5.98413	2.43321	-3.55092	5.63012	2.61661	2.33865	6.4257	1.64307	6.2264	2.52776	3.90216	5.98413
PRR9	3.70397	1.19206	4.12337	0.644392	-3.47898	5.60375	0.420558	0.868227	4.12337	0.339608	2.72374	3.91581	4.082	4.13894
GBP6	3.69662	1.46647	5.28477	2.20929	-3.07548	6.36065	2.44789	1.88073	5.03662	1.97069	3.3472	2.79876	6.89613	5.28477
PDK4	3.69423	0.725367	1.61983	5.09654	3.47671	1.88443	6.03905	3.90336	1.15907	4.57444	1.61983	5.61864	1.43142	1.8602
IL37	3.69315	2.26057	2.86424	6.17996	3.31572	2.86424	6.35956	6.07272	1.30556	6.00379	3.18002	6.2872	3.56613	2.71852
HERC6	3.68732	0.878611	6.62469	3.12236	-3.50233	6.26289	3.301	2.80411	7.00282	3.16388	6.62469	3.08083	6.40439	7.1415
ALDH1A3	3.67804	1.54956	4.97619	1.4008	-3.57539	5.17257	1.19999	1.16229	5.91145	1.60162	4.61914	1.75846	2.71185	4.97619
DCT	3.65623	0.553436	7.8682	9.09482	1.22661	3.06797	8.79614	9.28838	7.91683	9.27434	8.36186	8.91529	7.8682	7.70653
GSTM1	3.64455	0.358918	3.67068	3.52859	-0.142093	3.99186	3.83347	3.97453	3.67068	0	0	3.2237	4.0296	0
DES	3.63823	1.09418	3.58733	5.12986	1.54253	2.1317	5.04858	5.21114	0	6.03137	3.58733	4.93719	3.7126	5.33838
ZC3H12A	3.6186	0.796509	8.00382	4.27191	-3.73192	8.30649	4.09867	4.41221	8.02345	4.58511	7.53851	4.1316	7.50998	8.00382
C14orf132	3.57289	1.15529	3.83322	7.32419	3.49097	3.83322	7.45877	7.22141	3.02154	6.98042	3.81298	7.42698	4.17683	3.86174
CD24P4	3.57132	0.417383	7.86302	4.15132	-3.7117	7.89213	3.8505	4.07215	7.94411	4.92469	7.81159	4.23049	7.52673	7.86302
C1QTNF7	3.52515	0.625548	0.715107	4.11795	3.40284	0.18657	4.11285	3.68927	0.812118	4.61146	0.790379	4.12305	0.574346	0.715107
PITX1	3.52146	1.68132	3.52132	0.652436	-2.86889	5.06363	0.293524	1.16229	3.38231	0.914343	3.52132	0.39053	4.77945	3.49386
PAPL	3.51204	0.538762	7.57088	3.96545	-3.60543	7.57088	3.27601	4.10712	7.70379	5.16064	7.71524	3.82379	7.3988	7.17647
CXCL9	3.50251	1.92473	3.99608	0.395994	-3.60009	4.53772	0.293524	0.498464	3.99608	0.61431	4.23975	0.0728775	3.42644	2.53904
ADH1B	3.4789	1.88824	1.93739	5.05784	3.12045	1.93739	5.05104	5.06464	3.1628	5.80125	2.06588	4.87995	1.08531	1.14994
HLA-DQB1	3.46359	0.99142	2.94405	2.01246	-0.931592	2.94405	1.51675	1.07077	2.03658	2.50817	5.79899	3.27865	0.941463	5.92746
IGSF10	3.44837	1.70517	1.60516	5.07493	3.46977	2.86424	5.00616	4.80193	1.15907	5.90714	1.52678	5.14371	1.60516	2.09497
GPD1	3.42096	1.16388	0.351753	2.77573	2.42398	0.351753	3.35767	5.95608	0.162642	1.46958	0.206124	2.19379	2.22709	2.45713
PTGIS	3.41204	0.910854	2.26199	5.57065	3.30866	2.26199	5.17785	5.03165	1.56029	5.96345	1.95595	6.01635	2.47115	2.40565
CXCL10	3.40747	1.77907	3.31826	0.386175	-2.93209	4.71881	0.537306	0	3.26185	0.235043	4.33065	0.78691	3.31826	2.93973
LRG1	3.40729	0.935984	6.02975	2.45911	-3.57065	6.02975	2.33952	4.0603	6.65938	2.09539	5.75248	2.5787	5.7234	6.21971
LGR5	3.4036	1.80162	0.271524	3.98298	3.71145	0.271524	2.58983	3.47396	0.162642	4.67279	0.206124	4.49199	0.655624	2.07314
FHL1	3.39442	1.23183	3.01166	6.39838	3.38672	3.06797	6.64297	6.49528	2.34969	6.18663	3.01166	6.30148	2.83909	3.58152
MMP12	3.38152	1.53686	3.61213	0.603918	-3.00821	4.10614	0	0.868227	3.52375	0.339608	4.99763	1.29322	3.46076	3.61213
SERPINA12	3.36415	1.55916	6.13977	8.98555	2.84577	6.13977	9.19878	8.84139	4.29982	8.96214	6.55747	9.00895	7.40297	5.21671
WISP2	3.3562	1.36484	2.07905	5.67763	3.59859	2.17645	5.82606	4.36483	1.59869	5.85516	2.07905	5.52921	1.64552	3.01036
G35484	3.35167	0.343435	3.40701	0.0395832	-3.36742	4.08282	0.0791665	0	1.6361	0.122303	0.343435	0	3.40701	4.09628
IGHA2	3.32681	1.13788	0.770419	3.0863	2.31589	4.70742	4.39788	0.0959714	0.638672	3.68427	0.299101	2.48834	1.23386	0.770419
RORC	3.31135	1.1849	2.08761	5.3483	3.26069	1.93739	5.41947	5.78666	1.30556	5.27713	2.16802	5.04074	2.08761	2.49046
CLEC3A	3.3047	0	2.25669	0	-2.25669	4.36484	0	0	2.25669	0.122303	0	0	0	3.83605
NLRP2	3.27079	1.23389	4.9686	2.47501	-2.49359	3.70164	0.22555	3.73471	4.9686	2.6162	5.93377	2.33382	5.66162	4.48733
RP4-529N6.2	3.26248	1.53976	3.75386	0.398555	-3.3553	4.62506	0.293524	0.350655	3.75386	0.844979	3.0853	0.446455	3.92966	3.69308
UTY	3.25792	0.148149	5.7463	6.16506	0.418762	5.70267	6.12668	0.632528	5.91716	6.62586	5.7463	6.20345	5.76901	5.62389
ADGRF1	3.25607	1.82706	3.09829	0	-3.09829	4.08282	0	0	4.12337	0	3.09829	0.14225	2.29632	2.82685
