tree	mean_patristic_distance
1405146at2759.faa.mafft.clipkit.treefile	median: 2.4156
1407446at2759.faa.mafft.clipkit.treefile	median: 2.5358
1421503at2759.faa.mafft.clipkit.treefile	median: 0.9829
1423847at2759.faa.mafft.clipkit.treefile	median: 1.3844
142542at2759.faa.mafft.clipkit.treefile	median: 1.8975
1426075at2759.faa.mafft.clipkit.treefile	median: 1.3695
1428265at2759.faa.mafft.clipkit.treefile	median: 2.398
1428854at2759.faa.mafft.clipkit.treefile	median: 1.7436
1430056at2759.faa.mafft.clipkit.treefile	median: 1.6748
1432328at2759.faa.mafft.clipkit.treefile	median: 1.6335
1434266at2759.faa.mafft.clipkit.treefile	median: 2.0713
1440961at2759.faa.mafft.clipkit.treefile	median: 2.0558
1441854at2759.faa.mafft.clipkit.treefile	median: 1.3233
1442062at2759.faa.mafft.clipkit.treefile	median: 1.7894
1445102at2759.faa.mafft.clipkit.treefile	median: 2.2073
1450538at2759.faa.mafft.clipkit.treefile	median: 1.5977
1454155at2759.faa.mafft.clipkit.treefile	median: 2.1148
1455730at2759.faa.mafft.clipkit.treefile	median: 0.9724
1459797at2759.faa.mafft.clipkit.treefile	median: 1.7358
1474000at2759.faa.mafft.clipkit.treefile	median: 1.365
1488235at2759.faa.mafft.clipkit.treefile	median: 1.3133
1488436at2759.faa.mafft.clipkit.treefile	median: 1.7913
1490022at2759.faa.mafft.clipkit.treefile	median: 1.4004
1504863at2759.faa.mafft.clipkit.treefile	median: 1.3996
1513531at2759.faa.mafft.clipkit.treefile	median: 2.33
1525971at2759.faa.mafft.clipkit.treefile	median: 2.0165
1530008at2759.faa.mafft.clipkit.treefile	median: 0.6045
1538526at2759.faa.mafft.clipkit.treefile	median: 1.1437
1552706at2759.faa.mafft.clipkit.treefile	median: 1.5981
1558822at2759.faa.mafft.clipkit.treefile	median: 0.8135
156083at2759.faa.mafft.clipkit.treefile	median: 0.6303
1567796at2759.faa.mafft.clipkit.treefile	median: 1.0808
1575179at2759.faa.mafft.clipkit.treefile	median: 2.0511
1576404at2759.faa.mafft.clipkit.treefile	median: 1.3857
1588798at2759.faa.mafft.clipkit.treefile	median: 1.7246
1593937at2759.faa.mafft.clipkit.treefile	median: 2.4515
160593at2759.faa.mafft.clipkit.treefile	median: 1.9775
1617752at2759.faa.mafft.clipkit.treefile	median: 1.8334
1620056at2759.faa.mafft.clipkit.treefile	median: 1.555
1623701at2759.faa.mafft.clipkit.treefile	median: 2.0653
1626636at2759.faa.mafft.clipkit.treefile	median: 1.4953
1633672at2759.faa.mafft.clipkit.treefile	median: 0.7776
1645187at2759.faa.mafft.clipkit.treefile	median: 1.125
166920at2759.faa.mafft.clipkit.treefile	median: 1.5013
176625at2759.faa.mafft.clipkit.treefile	median: 2.0884
179362at2759.faa.mafft.clipkit.treefile	median: 2.6765
245208at2759.faa.mafft.clipkit.treefile	median: 1.0769
257318at2759.faa.mafft.clipkit.treefile	median: 1.9807
261328at2759.faa.mafft.clipkit.treefile	median: 1.75
261419at2759.faa.mafft.clipkit.treefile	median: 2.0743
270107at2759.faa.mafft.clipkit.treefile	median: 1.6195
271586at2759.faa.mafft.clipkit.treefile	median: 2.5795
290630at2759.faa.mafft.clipkit.treefile	median: 0.9899
293315at2759.faa.mafft.clipkit.treefile	median: 1.633
296129at2759.faa.mafft.clipkit.treefile	median: 0.8377
299766at2759.faa.mafft.clipkit.treefile	median: 2.4616
306227at2759.faa.mafft.clipkit.treefile	median: 1.7626
320059at2759.faa.mafft.clipkit.treefile	median: 0.4165
324863at2759.faa.mafft.clipkit.treefile	median: 1.7154
325552at2759.faa.mafft.clipkit.treefile	median: 1.2639
330169at2759.faa.mafft.clipkit.treefile	median: 2.4475
331411at2759.faa.mafft.clipkit.treefile	median: 1.9708
341721at2759.faa.mafft.clipkit.treefile	median: 2.0992
345441at2759.faa.mafft.clipkit.treefile	median: 1.0937
355408at2759.faa.mafft.clipkit.treefile	median: 1.3188
369837at2759.faa.mafft.clipkit.treefile	median: 1.5578
375960at2759.faa.mafft.clipkit.treefile	median: 1.5304
383503at2759.faa.mafft.clipkit.treefile	median: 1.9365
388820at2759.faa.mafft.clipkit.treefile	median: 1.4676
390348at2759.faa.mafft.clipkit.treefile	median: 1.1403
392369at2759.faa.mafft.clipkit.treefile	median: 0.7575
39650at2759.faa.mafft.clipkit.treefile	median: 1.4313
396755at2759.faa.mafft.clipkit.treefile	median: 2.0312
418107at2759.faa.mafft.clipkit.treefile	median: 1.1412
426305at2759.faa.mafft.clipkit.treefile	median: 1.1895
450058at2759.faa.mafft.clipkit.treefile	median: 2.8594
453044at2759.faa.mafft.clipkit.treefile	median: 1.3859
457861at2759.faa.mafft.clipkit.treefile	median: 1.5766
464990at2759.faa.mafft.clipkit.treefile	median: 1.2231
513979at2759.faa.mafft.clipkit.treefile	median: 1.8286
543764at2759.faa.mafft.clipkit.treefile	median: 1.9703
549762at2759.faa.mafft.clipkit.treefile	median: 1.4171
551907at2759.faa.mafft.clipkit.treefile	median: 1.8514
570797at2759.faa.mafft.clipkit.treefile	median: 2.6753
582756at2759.faa.mafft.clipkit.treefile	median: 2.5781
598949at2759.faa.mafft.clipkit.treefile	median: 2.1794
604979at2759.faa.mafft.clipkit.treefile	median: 1.0576
621827at2759.faa.mafft.clipkit.treefile	median: 1.3286
625387at2759.faa.mafft.clipkit.treefile	median: 2.4049
655400at2759.faa.mafft.clipkit.treefile	median: 1.7636
664730at2759.faa.mafft.clipkit.treefile	median: 0.8424
671536at2759.faa.mafft.clipkit.treefile	median: 1.3466
671846at2759.faa.mafft.clipkit.treefile	median: 2.7235
673132at2759.faa.mafft.clipkit.treefile	median: 0.9748
674160at2759.faa.mafft.clipkit.treefile	median: 2.2815
674169at2759.faa.mafft.clipkit.treefile	median: 2.638
679187at2759.faa.mafft.clipkit.treefile	median: 1.7025
679771at2759.faa.mafft.clipkit.treefile	median: 1.6606
687505at2759.faa.mafft.clipkit.treefile	median: 1.346
692986at2759.faa.mafft.clipkit.treefile	median: 2.7774
708105at2759.faa.mafft.clipkit.treefile	median: 2.3722
719531at2759.faa.mafft.clipkit.treefile	median: 1.0981
720340at2759.faa.mafft.clipkit.treefile	median: 1.7038
722805at2759.faa.mafft.clipkit.treefile	median: 2.1563
734341at2759.faa.mafft.clipkit.treefile	median: 1.9255
734666at2759.faa.mafft.clipkit.treefile	median: 0.8649
736068at2759.faa.mafft.clipkit.treefile	median: 2.0386
751335at2759.faa.mafft.clipkit.treefile	median: 2.3488
759498at2759.faa.mafft.clipkit.treefile	median: 1.3845
761109at2759.faa.mafft.clipkit.treefile	median: 1.7625
768809at2759.faa.mafft.clipkit.treefile	median: 1.2316
774318at2759.faa.mafft.clipkit.treefile	median: 2.291
777920at2759.faa.mafft.clipkit.treefile	median: 1.2723
779909at2759.faa.mafft.clipkit.treefile	median: 0.5429
801857at2759.faa.mafft.clipkit.treefile	median: 1.5353
814241at2759.faa.mafft.clipkit.treefile	median: 1.7727
817008at2759.faa.mafft.clipkit.treefile	median: 0.7466
834694at2759.faa.mafft.clipkit.treefile	median: 1.6742
836599at2759.faa.mafft.clipkit.treefile	median: 1.5823
83779at2759.faa.mafft.clipkit.treefile	median: 1.893
844748at2759.faa.mafft.clipkit.treefile	median: 1.3999
855834at2759.faa.mafft.clipkit.treefile	median: 2.6299
858842at2759.faa.mafft.clipkit.treefile	median: 1.9441
865202at2759.faa.mafft.clipkit.treefile	median: 1.7593
866359at2759.faa.mafft.clipkit.treefile	median: 0.834
869548at2759.faa.mafft.clipkit.treefile	median: 1.7098
878143at2759.faa.mafft.clipkit.treefile	median: 1.4798
87842at2759.faa.mafft.clipkit.treefile	median: 1.8892
887370at2759.faa.mafft.clipkit.treefile	median: 1.6961
891751at2759.faa.mafft.clipkit.treefile	median: 2.3379
898782at2759.faa.mafft.clipkit.treefile	median: 2.2127
901894at2759.faa.mafft.clipkit.treefile	median: 1.7404
905026at2759.faa.mafft.clipkit.treefile	median: 1.8384
911863at2759.faa.mafft.clipkit.treefile	median: 2.0932
917326at2759.faa.mafft.clipkit.treefile	median: 1.3487
918816at2759.faa.mafft.clipkit.treefile	median: 1.9135
919955at2759.faa.mafft.clipkit.treefile	median: 1.5461
923657at2759.faa.mafft.clipkit.treefile	median: 2.1444
924753at2759.faa.mafft.clipkit.treefile	median: 1.8838
931188at2759.faa.mafft.clipkit.treefile	median: 2.234
937275at2759.faa.mafft.clipkit.treefile	median: 2.4734
937686at2759.faa.mafft.clipkit.treefile	median: 1.2188
939345at2759.faa.mafft.clipkit.treefile	median: 1.9682
944899at2759.faa.mafft.clipkit.treefile	median: 0.5812
946128at2759.faa.mafft.clipkit.treefile	median: 1.8836
956854at2759.faa.mafft.clipkit.treefile	median: 1.58
97116at2759.faa.mafft.clipkit.treefile	median: 1.4692
973442at2759.faa.mafft.clipkit.treefile	median: 1.7912
974865at2759.faa.mafft.clipkit.treefile	median: 1.1885
975158at2759.faa.mafft.clipkit.treefile	median: 1.5576
975557at2759.faa.mafft.clipkit.treefile	median: 1.9781
976469at2759.faa.mafft.clipkit.treefile	median: 1.2083
981902at2759.faa.mafft.clipkit.treefile	median: 2.6323
996662at2759.faa.mafft.clipkit.treefile	median: 1.3228
