tree	mean_patristic_distance
1626636at2759.faa.mafft.clipkit.treefile	median: 0.7727
1633672at2759.faa.mafft.clipkit.treefile	median: 0.3759
176625at2759.faa.mafft.clipkit.treefile	median: 2.2018
271586at2759.faa.mafft.clipkit.treefile	median: 2.8084
290630at2759.faa.mafft.clipkit.treefile	median: 1.3374
296129at2759.faa.mafft.clipkit.treefile	median: 0.8176
306227at2759.faa.mafft.clipkit.treefile	median: 1.585
320059at2759.faa.mafft.clipkit.treefile	median: 0.3244
324863at2759.faa.mafft.clipkit.treefile	median: 2.0571
331411at2759.faa.mafft.clipkit.treefile	median: 0.8131
341721at2759.faa.mafft.clipkit.treefile	median: 1.4847
355408at2759.faa.mafft.clipkit.treefile	median: 0.1347
390348at2759.faa.mafft.clipkit.treefile	median: 0.2297
39650at2759.faa.mafft.clipkit.treefile	median: 1.3899
396755at2759.faa.mafft.clipkit.treefile	median: 1.3241
418107at2759.faa.mafft.clipkit.treefile	median: 0.9768
453044at2759.faa.mafft.clipkit.treefile	median: 1.0748
491869at2759.faa.mafft.clipkit.treefile	median: 1.579
570797at2759.faa.mafft.clipkit.treefile	median: 1.9977
621827at2759.faa.mafft.clipkit.treefile	median: 1.8875
664730at2759.faa.mafft.clipkit.treefile	median: 0.5542
673132at2759.faa.mafft.clipkit.treefile	median: 0.7955
674160at2759.faa.mafft.clipkit.treefile	median: 2.5719
679771at2759.faa.mafft.clipkit.treefile	median: 2.0658
720340at2759.faa.mafft.clipkit.treefile	median: 1.4105
721605at2759.faa.mafft.clipkit.treefile	median: 1.1552
734666at2759.faa.mafft.clipkit.treefile	median: 0.9626
777920at2759.faa.mafft.clipkit.treefile	median: 1.3506
814241at2759.faa.mafft.clipkit.treefile	median: 0.8821
836599at2759.faa.mafft.clipkit.treefile	median: 0.9448
866359at2759.faa.mafft.clipkit.treefile	median: 0.8738
891751at2759.faa.mafft.clipkit.treefile	median: 2.4208
919955at2759.faa.mafft.clipkit.treefile	median: 1.4837
974865at2759.faa.mafft.clipkit.treefile	median: 0.9554
975158at2759.faa.mafft.clipkit.treefile	median: 0.8997
981902at2759.faa.mafft.clipkit.treefile	median: 1.2505
996662at2759.faa.mafft.clipkit.treefile	median: 1.4955
