mode	upstream	downstream	filter	corr_type	n_genes	genes_with_bins	row_argmax	greedy	corr_matrix_rows_semicolon_sep
promoter	5000	1000	protein_coding	spearman	17499	20379	5;5;5;0;0;0;3;0	5;1;4;0;6;3;7;2	0.578144,0.587326,0.409909,0.527165,0.531528,0.599598,0.536653,0.420976;0.573770,0.585340,0.408139,0.529656,0.527953,0.588641,0.539838,0.421289;0.578810,0.577478,0.432819,0.547068,0.568161,0.583089,0.542711,0.440939;0.593565,0.561239,0.418942,0.543233,0.522851,0.572660,0.538655,0.438437;0.567656,0.556006,0.429607,0.546203,0.508486,0.560919,0.557101,0.451380;0.569219,0.540920,0.428070,0.559143,0.505745,0.547161,0.543495,0.462250;0.533221,0.508408,0.460103,0.538630,0.481341,0.516091,0.527388,0.499940;0.503914,0.479031,0.470160,0.488024,0.441479,0.491185,0.496025,0.461952
promoter	5000	1000	protein_coding	logpearson	17499	20379	5;5;5;0;0;0;3;0	5;1;4;0;6;3;7;2	0.532043,0.542558,0.386045,0.486552,0.495582,0.556783,0.492735,0.392094;0.533983,0.546621,0.386593,0.493179,0.497667,0.552885,0.500329,0.394619;0.534937,0.535683,0.406368,0.506238,0.527923,0.543460,0.500215,0.411997;0.539141,0.514138,0.388279,0.494543,0.482335,0.527422,0.488604,0.402325;0.526480,0.518252,0.403999,0.506304,0.479158,0.525571,0.514145,0.419256;0.520286,0.497762,0.398306,0.510669,0.470386,0.505970,0.495932,0.424418;0.483142,0.464257,0.420997,0.489400,0.445184,0.473735,0.477777,0.453393;0.472580,0.455213,0.448999,0.463089,0.426637,0.469395,0.468278,0.439302
promoter	5000	1000	top2000	spearman	2000	20379	5;1;4;0;0;3;7;2	5;1;4;0;6;3;7;2	0.237451,0.284765,0.124910,0.161739,0.237807,0.303613,0.196271,0.080116;0.223053,0.271266,0.107276,0.158005,0.215952,0.269933,0.192760,0.069499;0.213798,0.222419,0.127809,0.168821,0.280826,0.232370,0.171382,0.087084;0.242156,0.175074,0.106954,0.164039,0.162432,0.192896,0.152571,0.087390;0.220277,0.204149,0.135026,0.195771,0.160918,0.208384,0.213595,0.124815;0.192244,0.124760,0.127239,0.212798,0.111859,0.129178,0.160649,0.155787;0.125200,0.048988,0.179577,0.178927,0.040544,0.059956,0.117065,0.224606;0.121934,0.050353,0.226997,0.124502,0.017106,0.068952,0.109497,0.171287
promoter	5000	1000	top2000	logpearson	2000	20379	5;5;4;0;5;0;7;2	5;1;4;0;6;3;7;2	0.299172,0.358151,0.136707,0.196519,0.286119,0.388063,0.236016,0.097352;0.280235,0.334834,0.113529,0.192345,0.268031,0.346906,0.225345,0.082705;0.272303,0.296533,0.133220,0.200119,0.318179,0.313238,0.206300,0.105980;0.267389,0.229173,0.105839,0.178105,0.207169,0.254897,0.175295,0.096352;0.223376,0.216928,0.117021,0.186747,0.170547,0.229729,0.208765,0.112712;0.182350,0.137623,0.101789,0.181304,0.123996,0.146761,0.151646,0.124832;0.085253,0.031336,0.135992,0.125389,0.029197,0.045329,0.089183,0.167359;0.094565,0.050786,0.201125,0.097098,0.027900,0.074352,0.092605,0.150351
promoter	5000	1000	top5000	spearman	5000	20379	5;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.236411,0.282398,0.130464,0.168647,0.236560,0.299710,0.200202,0.093833;0.223960,0.274195,0.118274,0.165369,0.222421,0.273767,0.198678,0.085153;0.234048,0.250174,0.160942,0.199121,0.299168,0.260554,0.201508,0.120379;0.255634,0.198902,0.124591,0.183070,0.189133,0.217328,0.178954,0.111398;0.232914,0.226394,0.154909,0.213270,0.191087,0.230859,0.235658,0.147560;0.221595,0.169480,0.156938,0.235441,0.161280,0.177202,0.199307,0.178027;0.165234,0.115923,0.215503,0.209117,0.113992,0.128916,0.172260,0.253237;0.133804,0.082680,0.224455,0.124695,0.056490,0.101372,0.129513,0.171837
promoter	5000	1000	top5000	logpearson	5000	20379	5;5;4;0;5;3;7;2	5;1;4;0;6;3;7;2	0.302514,0.353658,0.166782,0.227147,0.295122,0.377183,0.248640,0.143597;0.284639,0.335132,0.145172,0.218558,0.277034,0.342715,0.239836,0.127771;0.287872,0.311866,0.177564,0.241410,0.331651,0.324344,0.236547,0.158175;0.291129,0.260679,0.149626,0.221078,0.240360,0.282323,0.214190,0.145417;0.250855,0.247990,0.158949,0.226544,0.209534,0.257366,0.241304,0.159811;0.230834,0.195579,0.154507,0.233367,0.185113,0.204866,0.205259,0.176038;0.148521,0.111300,0.187774,0.185454,0.112976,0.125074,0.156943,0.216367;0.129371,0.095643,0.222611,0.130811,0.080284,0.116230,0.132426,0.178539
promoter	2000	0	all_nonconstant	spearman	28948	20371	5;5;5;0;0;0;3;6	4;1;5;0;6;3;7;2	0.666617,0.672863,0.595356,0.646691,0.651474,0.677878,0.650055,0.599155;0.671785,0.678683,0.604298,0.655910,0.657858,0.679856,0.659250,0.608884;0.683870,0.685483,0.626085,0.672739,0.684324,0.687572,0.670675,0.628399;0.679805,0.669253,0.610997,0.661751,0.656454,0.673589,0.659333,0.617430;0.667434,0.665030,0.615380,0.662461,0.648467,0.666656,0.666710,0.623639;0.670377,0.661278,0.615721,0.669434,0.650012,0.663345,0.662494,0.628470;0.659061,0.650883,0.636853,0.664861,0.643346,0.653752,0.660556,0.651404;0.632055,0.624518,0.630677,0.630310,0.612941,0.629499,0.633910,0.625084
promoter	2000	0	all_nonconstant	logpearson	28948	20371	5;5;5;5;5;5;5;5	4;5;1;6;0;3;7;2	0.623596,0.633076,0.564709,0.601931,0.612503,0.645301,0.605432,0.561806;0.630164,0.640225,0.571557,0.610774,0.619406,0.648572,0.614440,0.569691;0.629445,0.634157,0.577424,0.614525,0.630319,0.642811,0.613040,0.574514;0.623764,0.618097,0.562945,0.602529,0.604337,0.629081,0.601139,0.562883;0.625197,0.626195,0.577034,0.614294,0.609794,0.634220,0.618264,0.577442;0.617420,0.612000,0.569139,0.610522,0.600673,0.620140,0.605556,0.573260;0.598531,0.593771,0.574748,0.598536,0.585914,0.601537,0.594758,0.580667;0.599901,0.595643,0.593040,0.594629,0.584439,0.605135,0.597222,0.582949
promoter	2000	0	protein_coding	spearman	17499	20371	5;5;5;0;0;0;3;0	5;1;4;0;6;3;7;2	0.590552,0.602364,0.428707,0.544580,0.552132,0.611808,0.551816,0.436898;0.585529,0.599501,0.426214,0.546154,0.547997,0.600498,0.553681,0.436567;0.586497,0.587711,0.445186,0.558270,0.582205,0.591211,0.552327,0.450671;0.604804,0.578638,0.439297,0.561062,0.545018,0.587279,0.555020,0.455123;0.578992,0.571566,0.448132,0.562108,0.528966,0.574216,0.570601,0.465807;0.580378,0.557311,0.447504,0.574678,0.526795,0.561234,0.558070,0.476777;0.545838,0.525116,0.477988,0.554411,0.501228,0.530604,0.542165,0.511542;0.521721,0.501849,0.493426,0.511457,0.467341,0.511282,0.517634,0.481841
promoter	2000	0	protein_coding	logpearson	17499	20371	5;5;5;0;0;0;3;0	5;1;4;0;6;3;7;2	0.544870,0.556909,0.402845,0.501108,0.511612,0.568375,0.506883,0.406757;0.546458,0.560452,0.403043,0.507288,0.513696,0.564245,0.513668,0.409104;0.544269,0.546467,0.418079,0.516422,0.539810,0.551848,0.510018,0.421736;0.551386,0.530242,0.406166,0.509673,0.499810,0.540702,0.503762,0.417605;0.538600,0.532674,0.420315,0.519503,0.495126,0.537535,0.526684,0.432829;0.531958,0.512281,0.414428,0.523023,0.486369,0.518069,0.508664,0.437085;0.495923,0.478966,0.435406,0.501874,0.460402,0.485924,0.490508,0.463306;0.490480,0.475318,0.468150,0.482538,0.447276,0.486505,0.487244,0.456699
promoter	2000	0	top2000	spearman	2000	20371	5;1;4;0;0;3;7;2	5;1;4;0;6;3;7;2	0.239237,0.286214,0.128798,0.167445,0.240103,0.303528,0.205112,0.082873;0.226920,0.273310,0.112858,0.164181,0.219549,0.272829,0.202501,0.070981;0.216924,0.223698,0.131605,0.175392,0.278400,0.234726,0.178633,0.090607;0.247323,0.185582,0.118796,0.176459,0.174245,0.203915,0.168418,0.094892;0.228199,0.212703,0.149593,0.205768,0.172379,0.218055,0.225093,0.131296;0.196588,0.131800,0.139294,0.216311,0.122331,0.138712,0.170843,0.155775;0.127783,0.056558,0.188649,0.177576,0.049473,0.068463,0.124108,0.218090;0.133734,0.069838,0.242578,0.138441,0.036150,0.087300,0.128178,0.180505
promoter	2000	0	top2000	logpearson	2000	20371	5;5;4;0;5;0;7;2	5;1;4;0;6;3;7;2	0.312296,0.370088,0.147381,0.206643,0.295450,0.397945,0.250357,0.106688;0.293955,0.346080,0.124929,0.202353,0.277450,0.357354,0.239244,0.092300;0.279673,0.301572,0.134677,0.203214,0.321733,0.316691,0.211621,0.106795;0.280424,0.243726,0.119709,0.189498,0.218742,0.268343,0.190699,0.107608;0.235673,0.229660,0.131482,0.194976,0.179816,0.242314,0.221212,0.123260;0.194276,0.149858,0.116796,0.188325,0.133157,0.159950,0.163707,0.133731;0.099343,0.046752,0.152219,0.135738,0.039985,0.060555,0.103852,0.176756;0.114121,0.070093,0.221067,0.115320,0.042420,0.091803,0.114588,0.167780
promoter	2000	0	top5000	spearman	5000	20371	5;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.239740,0.286044,0.135684,0.176158,0.240504,0.301846,0.207260,0.098922;0.228917,0.277830,0.124170,0.174182,0.227157,0.276846,0.205451,0.090448;0.234529,0.249801,0.161416,0.201699,0.296369,0.260041,0.203014,0.120801;0.261631,0.212782,0.138208,0.197951,0.201643,0.230572,0.194276,0.121545;0.240277,0.235909,0.165153,0.222871,0.200282,0.240273,0.243058,0.152824;0.228858,0.182151,0.170011,0.243999,0.173151,0.190256,0.210660,0.182935;0.171892,0.126731,0.224628,0.213638,0.121394,0.139721,0.180076,0.250322;0.150652,0.107189,0.242268,0.145825,0.077267,0.124725,0.150994,0.184913
promoter	2000	0	top5000	logpearson	5000	20371	5;5;4;0;5;3;7;2	5;1;4;0;6;3;7;2	0.309586,0.360441,0.173571,0.234832,0.300687,0.381904,0.257715,0.149669;0.290499,0.340239,0.150084,0.224876,0.282102,0.346409,0.246179,0.132198;0.290464,0.313989,0.176759,0.243782,0.332923,0.324361,0.238527,0.157414;0.298878,0.271304,0.159138,0.231300,0.249298,0.290939,0.225652,0.153519;0.257818,0.256363,0.167397,0.233147,0.215510,0.264980,0.249438,0.165685;0.238385,0.205482,0.164919,0.240681,0.192770,0.214373,0.215091,0.182623;0.158782,0.122717,0.198051,0.194408,0.120871,0.135552,0.168063,0.221773;0.148620,0.116255,0.241109,0.151384,0.097423,0.135326,0.154845,0.196147
body	0	0	all_nonconstant	spearman	28948	20394	5;5;5;5;5;5;5;5	4;1;5;0;6;3;7;2	0.613451,0.626152,0.543563,0.592956,0.608272,0.647858,0.591043,0.546369;0.620829,0.633423,0.553774,0.604165,0.616108,0.650121,0.602369,0.557729;0.623253,0.632959,0.568010,0.612724,0.635868,0.651384,0.605962,0.569156;0.625705,0.618816,0.555509,0.605536,0.609507,0.637508,0.597232,0.561707;0.624038,0.624818,0.570164,0.617255,0.612871,0.639795,0.616510,0.578513;0.621801,0.616686,0.565293,0.619274,0.609274,0.632240,0.606978,0.578515;0.610703,0.605569,0.585272,0.614552,0.603466,0.620578,0.604826,0.600751;0.595779,0.586693,0.588014,0.590371,0.581737,0.601776,0.587825,0.584686
body	0	0	all_nonconstant	logpearson	28948	20394	5;5;5;5;5;5;5;5	1;5;4;6;0;3;7;2	0.555699,0.567277,0.509237,0.539109,0.553677,0.590715,0.537692,0.506815;0.562456,0.574364,0.516081,0.547671,0.560497,0.594049,0.546315,0.514557;0.554254,0.563471,0.515559,0.544779,0.565130,0.584124,0.539330,0.512940;0.553484,0.549218,0.503213,0.536034,0.541647,0.570324,0.529247,0.504166;0.563534,0.566390,0.523936,0.555380,0.556619,0.584753,0.554098,0.525441;0.550352,0.548085,0.511184,0.546247,0.542332,0.566417,0.536810,0.516250;0.531781,0.530247,0.513137,0.533362,0.528381,0.548062,0.525028,0.520600;0.547797,0.543397,0.539046,0.541883,0.538147,0.560848,0.538618,0.532487
body	0	0	protein_coding	spearman	17499	20394	5;5;5;5;5;5;5;5	5;1;4;0;6;3;7;2	0.436602,0.462045,0.279373,0.387344,0.412988,0.509803,0.389059,0.286757;0.430024,0.455362,0.273470,0.386373,0.405669,0.493377,0.388370,0.284142;0.406440,0.425587,0.272069,0.377186,0.422380,0.467781,0.366963,0.277128;0.444867,0.423994,0.274575,0.392608,0.391209,0.465943,0.378362,0.293401;0.438805,0.438298,0.304668,0.415161,0.399152,0.473136,0.418177,0.325419;0.427189,0.411847,0.288292,0.413881,0.383022,0.447760,0.390805,0.321969;0.383235,0.370104,0.306335,0.383919,0.351436,0.406534,0.364771,0.345775;0.401834,0.375964,0.355359,0.378618,0.348352,0.409612,0.374927,0.352856
body	0	0	protein_coding	logpearson	17499	20394	5;5;5;5;5;5;5;5	5;1;4;2;0;3;7;6	0.392310,0.423149,0.265400,0.353484,0.384140,0.471462,0.353933,0.262895;0.391472,0.423600,0.262486,0.356694,0.382916,0.463136,0.357450,0.262432;0.367135,0.392758,0.259493,0.346565,0.395134,0.436582,0.335474,0.255679;0.394043,0.383482,0.256632,0.353072,0.359455,0.427955,0.338445,0.264107;0.398448,0.406642,0.289517,0.382455,0.376401,0.443875,0.383516,0.298885;0.378970,0.373870,0.270421,0.373608,0.353993,0.412158,0.351675,0.290482;0.333424,0.331318,0.279982,0.341555,0.320686,0.370867,0.322571,0.306739;0.370014,0.359590,0.344616,0.357747,0.339209,0.397114,0.353048,0.331833
body	0	0	top2000	spearman	2000	20394	5;5;4;0;5;3;7;2	5;1;4;0;6;3;7;2	0.047991,0.129130,-0.023378,-0.009725,0.085038,0.175494,0.040448,-0.093635;0.010659,0.086409,-0.063740,-0.037969,0.038709,0.110442,0.007420,-0.127954;-0.035919,0.005186,-0.085654,-0.061589,0.062906,0.034666,-0.049999,-0.142435;0.025799,-0.025598,-0.076690,-0.034790,-0.027208,0.007428,-0.048755,-0.110207;0.015740,0.022736,-0.028515,0.003452,-0.009480,0.046507,0.030142,-0.061537;-0.030674,-0.073340,-0.063649,-0.001014,-0.078078,-0.056868,-0.048174,-0.049706;-0.092896,-0.148077,-0.013527,-0.038589,-0.150171,-0.129143,-0.093864,0.017014;-0.028624,-0.096289,0.088655,-0.031850,-0.120224,-0.074022,-0.049298,0.013834
body	0	0	top2000	logpearson	2000	20394	5;5;5;5;5;3;7;2	5;1;4;0;6;3;7;2	0.167623,0.251312,0.046389,0.086387,0.187750,0.308241,0.129821,-0.006355;0.126507,0.208338,0.003831,0.058688,0.146236,0.245430,0.095978,-0.041440;0.076209,0.126517,-0.021338,0.025353,0.157058,0.168589,0.033239,-0.060449;0.110410,0.086711,-0.015201,0.039931,0.071627,0.131430,0.032920,-0.036232;0.079970,0.093948,0.011777,0.059507,0.052073,0.127350,0.081918,-0.005354;0.018362,-0.007661,-0.028109,0.032590,-0.020054,0.017970,0.000193,-0.015645;-0.076984,-0.119809,-0.008516,-0.031698,-0.118804,-0.093610,-0.070301,0.016498;-0.012950,-0.056630,0.097678,-0.013555,-0.075186,-0.025133,-0.020860,0.039276
body	0	0	top5000	spearman	5000	20394	5;5;4;0;5;3;7;2	5;1;4;0;6;3;7;2	0.029653,0.097973,-0.037976,-0.018517,0.062764,0.145692,0.013895,-0.088908;0.009169,0.075416,-0.058830,-0.031544,0.038064,0.104095,-0.000151,-0.105478;-0.033356,0.006472,-0.071301,-0.048603,0.061482,0.044545,-0.045975,-0.120211;0.023743,-0.026141,-0.081351,-0.033166,-0.023511,0.011629,-0.048126,-0.099939;0.033207,0.036608,-0.014556,0.023119,0.015061,0.063423,0.043903,-0.031733;-0.008303,-0.046151,-0.050429,0.014351,-0.042301,-0.020151,-0.025357,-0.034009;-0.069716,-0.107833,-0.010467,-0.024868,-0.098665,-0.080698,-0.064939,0.023980;-0.011926,-0.071585,0.074588,-0.023728,-0.088359,-0.048946,-0.031993,0.019686
body	0	0	top5000	logpearson	5000	20394	5;5;5;5;5;3;7;2	5;1;4;0;6;3;7;2	0.139174,0.211811,0.045283,0.087190,0.167771,0.265332,0.109019,0.013451;0.112917,0.185968,0.015860,0.070056,0.140686,0.221955,0.090663,-0.010151;0.065723,0.117515,-0.000198,0.044329,0.151505,0.160853,0.039881,-0.028364;0.105783,0.086169,-0.002645,0.055123,0.078467,0.130612,0.040850,-0.012329;0.096032,0.109675,0.037643,0.090378,0.082546,0.142014,0.102719,0.033056;0.047505,0.031121,0.004405,0.069109,0.028937,0.061220,0.037284,0.020702;-0.039571,-0.063185,0.018014,0.007070,-0.053025,-0.032490,-0.025472,0.044485;0.017781,-0.018023,0.111365,0.021710,-0.027043,0.011760,0.014754,0.067395
body_upstream	2000	0	all_nonconstant	spearman	28948	20396	5;5;5;5;5;5;5;5	4;1;5;0;6;3;7;2	0.614404,0.625774,0.542588,0.593528,0.607489,0.646943,0.591355,0.546920;0.621561,0.632746,0.552696,0.604560,0.615111,0.648858,0.602510,0.558263;0.624830,0.633131,0.568206,0.614223,0.636142,0.650966,0.607172,0.570813;0.626409,0.617779,0.554446,0.605917,0.608367,0.635979,0.597288,0.562391;0.624363,0.623577,0.569001,0.617503,0.611374,0.638022,0.616529,0.579158;0.622368,0.615683,0.564336,0.619885,0.608133,0.630769,0.607145,0.579523;0.611001,0.604513,0.584597,0.615053,0.602320,0.619161,0.605008,0.602036;0.595245,0.584758,0.586486,0.589636,0.579599,0.599478,0.586926,0.584703
body_upstream	2000	0	all_nonconstant	logpearson	28948	20396	5;5;5;5;5;5;5;5	1;5;4;6;0;3;7;2	0.554148,0.565367,0.507883,0.537702,0.551883,0.588355,0.536147,0.506145;0.560899,0.572434,0.514724,0.546239,0.558711,0.591688,0.544749,0.513907;0.553520,0.562401,0.515008,0.544149,0.563977,0.582648,0.538631,0.513050;0.551744,0.547349,0.501833,0.534530,0.539870,0.568019,0.527658,0.503476;0.561641,0.564286,0.522267,0.553560,0.554593,0.582234,0.552145,0.524368;0.548721,0.546298,0.509784,0.544688,0.540643,0.564220,0.535186,0.515463;0.530437,0.528851,0.511837,0.532054,0.527036,0.546274,0.523680,0.519877;0.545737,0.541261,0.536813,0.539851,0.536082,0.558314,0.536512,0.530922
body_upstream	2000	0	protein_coding	spearman	17499	20396	5;5;5;5;5;5;5;5	5;1;4;0;6;3;2;7	0.439439,0.462775,0.278153,0.389389,0.412873,0.509360,0.390380,0.289011;0.432234,0.455473,0.271662,0.387885,0.405066,0.492150,0.389159,0.286063;0.410451,0.427542,0.273281,0.381309,0.424730,0.468399,0.370120,0.281689;0.446947,0.423134,0.272670,0.393884,0.390069,0.463889,0.378696,0.295524;0.440403,0.437422,0.302832,0.416499,0.397765,0.471030,0.418750,0.327732;0.428989,0.411127,0.286770,0.415956,0.382082,0.445868,0.391472,0.325045;0.384617,0.369522,0.305602,0.385956,0.350609,0.404975,0.365752,0.349876;0.401540,0.373455,0.353114,0.377986,0.345323,0.406180,0.373804,0.354195
body_upstream	2000	0	protein_coding	logpearson	17499	20396	5;5;5;5;5;5;5;5	5;1;4;2;0;3;7;6	0.393502,0.423437,0.263968,0.354515,0.384203,0.470931,0.354373,0.263884;0.392306,0.423581,0.260704,0.357461,0.382711,0.462182,0.357642,0.263204;0.369534,0.394338,0.260106,0.349394,0.397031,0.437345,0.337542,0.258623;0.394799,0.382939,0.254814,0.353759,0.358978,0.426629,0.338310,0.265055;0.398517,0.405711,0.287507,0.382782,0.375358,0.442098,0.383335,0.299538;0.379300,0.373096,0.268734,0.374531,0.353424,0.410619,0.351583,0.291846;0.333162,0.330599,0.278891,0.342216,0.320260,0.369558,0.322484,0.308923;0.368706,0.357368,0.342482,0.356618,0.337045,0.394258,0.351498,0.332083
