record	representation	metric	features	target	nearest	nearest_score	runner_up	runner_up_score	hungarian
method	mean_cell_log	gene_scaled_pearson	1000	PABPC1	guide18	0.6109292182794702	guide15	0.2543629426760474	guide18
method	mean_cell_log	gene_scaled_pearson	1000	NUDT21	guide13	0.6731078115586895	guide19	0.5655699748338782	guide13
method	mean_cell_log	gene_scaled_pearson	1000	LEO1	guide11	0.5154773578201918	guide1	0.4542440911916268	guide10
method	mean_cell_log	spearman	1000	PABPC1	guide18	0.5606798366798368	guide15	0.2161817521817521	guide18
method	mean_cell_log	spearman	1000	NUDT21	guide13	0.644797220797221	guide19	0.5516009996009995	guide13
method	mean_cell_log	spearman	1000	LEO1	guide14	0.31951447951447953	guide20	0.1755124995124995	guide10
method	mean_cell_log	pearson	2000	PABPC1	guide18	0.5921129264330429	guide16	0.28309230829938503	guide18
method	mean_cell_log	pearson	2000	NUDT21	guide13	0.6912120318083002	guide19	0.5797971614328596	guide13
method	mean_cell_log	pearson	2000	LEO1	guide14	0.29870135532551084	guide20	0.14485566623681717	guide14
method	mean_cell_log	gene_scaled_pearson	2000	PABPC1	guide18	0.5468363829741684	guide15	0.21199795657671058	guide18
method	mean_cell_log	gene_scaled_pearson	2000	NUDT21	guide13	0.6502314282033543	guide19	0.5124428106752962	guide13
method	mean_cell_log	gene_scaled_pearson	2000	LEO1	guide11	0.446458424680737	guide1	0.41369930570679025	guide10
method	mean_cell_log	spearman	2000	PABPC1	guide18	0.5229347987336997	guide16	0.2416538614134653	guide18
method	mean_cell_log	spearman	2000	NUDT21	guide13	0.6385293336323333	guide19	0.5315217038804259	guide13
method	mean_cell_log	spearman	2000	LEO1	guide14	0.28711559377889845	guide17	0.16612363003090758	guide14
method	mean_cell_log	pearson	4000	PABPC1	guide18	0.5699090987344114	guide16	0.34236429880370584	guide18
method	mean_cell_log	pearson	4000	NUDT21	guide13	0.6661516552234976	guide19	0.5539084247420532	guide13
method	mean_cell_log	pearson	4000	LEO1	guide14	0.2813222793139718	guide17	0.15520556807185143	guide14
method	mean_cell_log	gene_scaled_pearson	4000	PABPC1	guide18	0.42258499414452966	guide15	0.14662316283369028	guide18
method	mean_cell_log	gene_scaled_pearson	4000	NUDT21	guide13	0.5772134196769739	guide19	0.4403191552443558	guide13
method	mean_cell_log	gene_scaled_pearson	4000	LEO1	guide11	0.3898141241949928	guide1	0.36359992418674714	guide10
method	mean_cell_log	spearman	4000	PABPC1	guide18	0.4466104441631529	guide16	0.26891167886948	guide18
method	mean_cell_log	spearman	4000	NUDT21	guide13	0.5979264090579007	guide19	0.48486958886684933	guide13
method	mean_cell_log	spearman	4000	LEO1	guide14	0.26004621219038826	guide17	0.16874819835926244	guide10
method	pseudobulk_logcpm	pearson	250	PABPC1	guide18	0.11219291490773736	guide25	0.09867925426453963	guide16
method	pseudobulk_logcpm	pearson	250	NUDT21	guide13	0.44392836082324316	guide19	0.27114130481927745	guide13
method	pseudobulk_logcpm	pearson	250	LEO1	guide14	0.2915299419529747	guide30	0.2522727165633193	guide14
method	pseudobulk_logcpm	gene_scaled_pearson	250	PABPC1	guide11	0.2954391000253814	guide18	0.2864950026292894	guide18
method	pseudobulk_logcpm	gene_scaled_pearson	250	NUDT21	guide13	0.5205352271385114	guide19	0.37835405894102025	guide13
method	pseudobulk_logcpm	gene_scaled_pearson	250	LEO1	guide11	0.2970920938010177	guide1	0.2823763146050482	guide14
method	pseudobulk_logcpm	spearman	250	PABPC1	guide25	0.1430088801420822	guide18	0.12070964335429366	guide18
method	pseudobulk_logcpm	spearman	250	NUDT21	guide13	0.44376249219987496	guide19	0.3176141698267173	guide13
method	pseudobulk_logcpm	spearman	250	LEO1	guide4	0.2178463015408247	guide25	0.21288187010992174	guide1
method	pseudobulk_logcpm	pearson	500	PABPC1	guide16	0.14666769424011608	guide18	0.13555394846554125	guide16
method	pseudobulk_logcpm	pearson	500	NUDT21	guide13	0.4371079581835859	guide19	0.28058157759954067	guide13
method	pseudobulk_logcpm	pearson	500	LEO1	guide25	0.22977542984476268	guide14	0.22005114096211825	guide32
method	pseudobulk_logcpm	gene_scaled_pearson	500	PABPC1	guide18	0.2768335170421361	guide2	0.25275223576573724	guide18
method	pseudobulk_logcpm	gene_scaled_pearson	500	NUDT21	guide13	0.47184848673255114	guide19	0.33286934852458283	guide13
method	pseudobulk_logcpm	gene_scaled_pearson	500	LEO1	guide1	0.24027642756165185	guide15	0.21758084694828198	guide15
method	pseudobulk_logcpm	spearman	500	PABPC1	guide16	0.14332175728702923	guide18	0.14172056688226747	guide18
method	pseudobulk_logcpm	spearman	500	NUDT21	guide13	0.4189126516506068	guide19	0.30257698630794494	guide13
method	pseudobulk_logcpm	spearman	500	LEO1	guide25	0.20351918207672828	guide5	0.18024196896787575	guide32
method	pseudobulk_logcpm	pearson	1000	PABPC1	guide18	0.13347479607523702	guide16	0.12315720532161101	guide18
method	pseudobulk_logcpm	pearson	1000	NUDT21	guide13	0.43520793494221693	guide19	0.23373605368713646	guide13
method	pseudobulk_logcpm	pearson	1000	LEO1	guide14	0.1800343815671244	guide5	0.15758359175633552	guide27
method	pseudobulk_logcpm	gene_scaled_pearson	1000	PABPC1	guide18	0.24769984497001118	guide11	0.21764761525080983	guide18
method	pseudobulk_logcpm	gene_scaled_pearson	1000	NUDT21	guide13	0.44270391309064866	guide19	0.2461616287747011	guide13
method	pseudobulk_logcpm	gene_scaled_pearson	1000	LEO1	guide11	0.2809215955916157	guide1	0.25601099592994864	guide14
method	pseudobulk_logcpm	spearman	1000	PABPC1	guide18	0.13221675661340695	guide16	0.1286495490354977	guide18
method	pseudobulk_logcpm	spearman	1000	NUDT21	guide13	0.4113122205461572	guide19	0.2650101258051561	guide13
method	pseudobulk_logcpm	spearman	1000	LEO1	guide25	0.15051546651546652	guide14	0.14517956517956518	guide27
method	pseudobulk_logcpm	pearson	2000	PABPC1	guide16	0.09904756201380709	guide18	0.08149589206494201	guide18
method	pseudobulk_logcpm	pearson	2000	NUDT21	guide13	0.386580612763002	guide19	0.22257701951853398	guide13
method	pseudobulk_logcpm	pearson	2000	LEO1	guide14	0.15186870883187711	guide30	0.11975025039346758	guide14
method	pseudobulk_logcpm	gene_scaled_pearson	2000	PABPC1	guide2	0.18049904318370055	guide11	0.17119222532088557	guide18
method	pseudobulk_logcpm	gene_scaled_pearson	2000	NUDT21	guide13	0.38641456747705616	guide19	0.22558223637755287	guide13
method	pseudobulk_logcpm	gene_scaled_pearson	2000	LEO1	guide11	0.22373672142298892	guide1	0.20879031534103693	guide14
method	pseudobulk_logcpm	spearman	2000	PABPC1	guide16	0.11519073934088138	guide18	0.08815688207227936	guide18
method	pseudobulk_logcpm	spearman	2000	NUDT21	guide13	0.3645063792632847	guide19	0.2461719571353037	guide13
method	pseudobulk_logcpm	spearman	2000	LEO1	guide14	0.12887937221984305	guide25	0.11460112815028205	guide27
method	pseudobulk_logcpm	pearson	4000	PABPC1	guide18	0.10362097673277754	guide16	0.0843038099247285	guide18
method	pseudobulk_logcpm	pearson	4000	NUDT21	guide13	0.36684145102674665	guide19	0.1917917729943643	guide13
method	pseudobulk_logcpm	pearson	4000	LEO1	guide14	0.13010339002149085	guide30	0.09967169940271627	guide14
method	pseudobulk_logcpm	gene_scaled_pearson	4000	PABPC1	guide18	0.160458221638318	guide15	0.13463049404323923	guide18
method	pseudobulk_logcpm	gene_scaled_pearson	4000	NUDT21	guide13	0.3511898828852308	guide19	0.17804824075273437	guide13
method	pseudobulk_logcpm	gene_scaled_pearson	4000	LEO1	guide11	0.1583015208994877	guide1	0.15549894009115672	guide14
method	pseudobulk_logcpm	spearman	4000	PABPC1	guide18	0.11154791151345209	guide16	0.09486046287517212	guide18
method	pseudobulk_logcpm	spearman	4000	NUDT21	guide13	0.34888553004044964	guide19	0.19849937994676597	guide13
method	pseudobulk_logcpm	spearman	4000	LEO1	guide14	0.12542461646403855	guide30	0.09825584639559616	guide27
ensemble	all	mean_row_z	all	PABPC1	guide18	2.859942040352578	guide16	1.18638647003925	guide18
ensemble	all	mean_row_z	all	NUDT21	guide13	3.509065982842351	guide19	2.3246051479779912	guide13
ensemble	all	mean_row_z	all	LEO1	guide14	2.202705534875093	guide5	0.7293655380953824	UNASSIGNED
FEATURE_SET_DIFFERENCES
reference_only	CPSF1,CPSF2,CPSF3,CPSF4,CPSF6,CPSF7,CSTF1,CSTF2,CSTF3,CTR9,FIP1L1,LEO1,NUDT21,PABPC1,PABPN1,PAF1,PAPOLA,PCF11,PHF3,RBBP6,RPAP2,RPRD1A,RPRD1B,SCAF1,SCAF11,SCAF4,SCAF8,SF3A1,SRSF3,SYMPK,THOC5
query_only	ADAMTS3,ADCK2,AP004609.3,ASCC1,BAIAP2,DCTN4,DGUOK-AS1,DHRS11,EFCAB11,ENDOV,GPALPP1,HCFC1,HEXD,IFIT3,IFT80,IL10RB,KATNB1,LINC01970,MAP4K2,MBD5,MIER1,PGS1,PUS7L,RFC5,RN7SL832P,SAMD8,SETD1A,SULT1A3,TMEM134,TMEM80,ZDHHC3
METHOD_NEAREST_COUNTS	PABPC1	{'guide18': 23, 'guide11': 1, 'guide25': 1, 'guide16': 4, 'guide2': 1}
BOOTSTRAP_NEAREST_COUNTS	PABPC1	{'guide18': 100}
BOOTSTRAP_HUNGARIAN_COUNTS	PABPC1	{'guide18': 100}
METHOD_NEAREST_COUNTS	NUDT21	{'guide13': 30}
BOOTSTRAP_NEAREST_COUNTS	NUDT21	{'guide13': 100}
BOOTSTRAP_HUNGARIAN_COUNTS	NUDT21	{'guide13': 100}
METHOD_NEAREST_COUNTS	LEO1	{'guide14': 16, 'guide1': 2, 'guide11': 8, 'guide4': 1, 'guide25': 3}
BOOTSTRAP_NEAREST_COUNTS	LEO1	{'guide14': 100}
BOOTSTRAP_HUNGARIAN_COUNTS	LEO1	{'guide14': 38, 'guide10': 39, 'guide15': 4, 'guide8': 5, 'guide31': 2, 'UNASSIGNED': 11, 'guide11': 1}
