section	target	reference_guide	feature_count	query_guide	rank	score	global_assignment
cross_signature	NUDT21	NUDT21-I3	1000	guide19	2	0.5968139692095157	
cross_signature	NUDT21	NUDT21-I3	1000	guide12	3	0.36423057225686445	
cross_signature	NUDT21	NUDT21-I3	1000	guide27	4	0.3602016623568457	
cross_signature	NUDT21	NUDT21-I3	1000	guide16	5	0.34647980019277635	
cross_signature	LEO1	LEO1-I2	1000	guide14	1	0.35209717876671603	guide14
cross_signature	LEO1	LEO1-I2	1000	guide17	2	0.16620484603919006	
cross_signature	LEO1	LEO1-I2	1000	guide20	3	0.16198543042959918	
cross_signature	LEO1	LEO1-I2	1000	guide9	4	0.15719993378077124	
cross_signature	LEO1	LEO1-I2	1000	guide8	5	0.14449663179564096	
cross_signature	PABPC1	PABPC1-I1	2000	guide18	1	0.5974271987833445	guide18
cross_signature	PABPC1	PABPC1-I1	2000	guide16	2	0.282037835425851	
cross_signature	PABPC1	PABPC1-I1	2000	guide15	3	0.23534437316640217	
cross_signature	PABPC1	PABPC1-I1	2000	guide5	4	0.2242711630210997	
cross_signature	PABPC1	PABPC1-I1	2000	guide26	5	0.20773556998541484	
cross_signature	NUDT21	NUDT21-I3	2000	guide13	1	0.691658243711215	guide13
cross_signature	NUDT21	NUDT21-I3	2000	guide19	2	0.5780360405088919	
cross_signature	NUDT21	NUDT21-I3	2000	guide12	3	0.35113578266498685	
cross_signature	NUDT21	NUDT21-I3	2000	guide16	4	0.35052495399341577	
cross_signature	NUDT21	NUDT21-I3	2000	guide27	5	0.3441409325486345	
cross_signature	LEO1	LEO1-I2	2000	guide14	1	0.31731329843278683	guide8
cross_signature	LEO1	LEO1-I2	2000	guide17	2	0.16517880805113885	
cross_signature	LEO1	LEO1-I2	2000	guide20	3	0.15637724340972708	
cross_signature	LEO1	LEO1-I2	2000	guide9	4	0.1505344102926692	
cross_signature	LEO1	LEO1-I2	2000	guide8	5	0.1388093504961712	
cross_signature	PABPC1	PABPC1-I1	4000	guide18	1	0.5800562730932209	guide18
cross_signature	PABPC1	PABPC1-I1	4000	guide16	2	0.3522320108960823	
cross_signature	PABPC1	PABPC1-I1	4000	guide15	3	0.2778906889343489	
cross_signature	PABPC1	PABPC1-I1	4000	guide17	4	0.2600376875639726	
cross_signature	PABPC1	PABPC1-I1	4000	guide5	5	0.25968458755511176	
cross_signature	NUDT21	NUDT21-I3	4000	guide13	1	0.6684475397566757	guide13
cross_signature	NUDT21	NUDT21-I3	4000	guide19	2	0.554652880401958	
cross_signature	NUDT21	NUDT21-I3	4000	guide16	3	0.3588374836713403	
cross_signature	NUDT21	NUDT21-I3	4000	guide12	4	0.3425535197079592	
cross_signature	NUDT21	NUDT21-I3	4000	guide27	5	0.3392734350516457	
cross_signature	LEO1	LEO1-I2	4000	guide14	1	0.29113593022643536	guide14
cross_signature	LEO1	LEO1-I2	4000	guide17	2	0.1622967940578721	
cross_signature	LEO1	LEO1-I2	4000	guide20	3	0.1507467519844274	
cross_signature	LEO1	LEO1-I2	4000	guide9	4	0.14597842239940925	
cross_signature	LEO1	LEO1-I2	4000	guide28	5	0.13208618777997674	
