barcode_integer	human_molecules	mouse_molecules	pig_molecules	total	dominant	dominant_fraction	assignment
397855652	306	154	0	460	human	0.665217	unassigned
641647286	0	456	1	457	mouse	0.997812	mouse
2919835775	271	182	0	453	human	0.598234	unassigned
1312863636	9	6	437	452	pig	0.966814	pig
485147203	1	447	3	451	mouse	0.991131	mouse
1887402423	1	448	1	450	mouse	0.995556	mouse
2967771062	2	445	2	449	mouse	0.991091	mouse
1367906100	1	447	0	448	mouse	0.997768	mouse
1521527799	448	0	0	448	human	1.000000	human
2849014642	278	164	1	443	human	0.627540	unassigned
517400836	2	433	0	435	mouse	0.995402	mouse
2698845252	2	431	1	434	mouse	0.993088	mouse
1191780680	5	5	421	431	pig	0.976798	pig
3781118016	6	5	420	431	pig	0.974478	pig
3215120526	4	4	421	429	pig	0.981352	pig
4253993082	0	428	1	429	mouse	0.997669	mouse
1491633715	0	425	0	425	mouse	1.000000	mouse
3184330481	3	6	413	422	pig	0.978673	pig
1544895340	255	166	0	421	human	0.605701	unassigned
3506996178	418	0	0	418	human	1.000000	human
4139026696	7	8	403	418	pig	0.964115	pig
888444635	413	0	1	414	human	0.997585	human
1524670316	251	162	0	413	human	0.607748	unassigned
180571543	1	410	0	411	mouse	0.997567	mouse
2023298509	251	158	1	410	human	0.612195	unassigned
2086365242	2	404	3	409	mouse	0.987775	mouse
4025414879	0	408	0	408	mouse	1.000000	mouse
1175382301	2	2	403	407	pig	0.990172	pig
2651654721	1	404	2	407	mouse	0.992629	mouse
3606009665	250	156	0	406	human	0.615764	unassigned
1191751550	225	173	0	398	human	0.565327	unassigned
2508263655	4	3	391	398	pig	0.982412	pig
920724612	238	158	0	396	human	0.601010	unassigned
2873023878	396	0	0	396	human	1.000000	human
2153739850	395	0	0	395	human	1.000000	human
2508419500	4	2	384	390	pig	0.984615	pig
2880769937	239	149	2	390	human	0.612821	unassigned
2236273123	9	3	377	389	pig	0.969152	pig
3921187193	388	0	0	388	human	1.000000	human
4221756670	240	147	0	387	human	0.620155	unassigned
3121307794	3	5	378	386	pig	0.979275	pig
589519425	291	93	1	385	human	0.755844	unassigned
897128193	3	3	377	383	pig	0.984334	pig
1764535168	2	379	2	383	mouse	0.989556	mouse
1864596846	1	381	0	382	mouse	0.997382	mouse
2086216531	0	381	0	381	mouse	1.000000	mouse
3545946130	3	6	372	381	pig	0.976378	pig
44338087	1	375	1	377	mouse	0.994695	mouse
1870357218	4	2	370	376	pig	0.984043	pig
84334221	3	369	0	372	mouse	0.991935	mouse
1792240802	1	367	0	368	mouse	0.997283	mouse
3980731555	367	0	0	367	human	1.000000	human
4109291984	7	11	349	367	pig	0.950954	pig
192985630	3	2	361	366	pig	0.986339	pig
3367308874	0	364	0	364	mouse	1.000000	mouse
3709523439	0	363	0	363	mouse	1.000000	mouse
3020341554	360	0	1	361	human	0.997230	human
1361005704	1	358	1	360	mouse	0.994444	mouse
3836808562	4	353	3	360	mouse	0.980556	mouse
1151790181	207	150	0	357	human	0.579832	unassigned
1535713525	6	7	344	357	pig	0.963585	pig
4046151476	3	3	350	356	pig	0.983146	pig
67706465	1	351	3	355	mouse	0.988732	mouse
3928012564	200	153	1	354	human	0.564972	unassigned
1051501682	353	0	0	353	human	1.000000	human
3608113580	352	0	0	352	human	1.000000	human
883882791	351	0	0	351	human	1.000000	human
2947729918	215	135	0	350	human	0.614286	unassigned
4277885830	1	6	341	348	pig	0.979885	pig
1236861859	0	347	0	347	mouse	1.000000	mouse
671948710	2	344	0	346	mouse	0.994220	mouse
2385847525	0	345	1	346	mouse	0.997110	mouse
1190614767	4	3	336	343	pig	0.979592	pig
3054462071	342	0	0	342	human	1.000000	human
3800754461	196	145	0	341	human	0.574780	unassigned
828568357	340	0	0	340	human	1.000000	human
3593914945	0	339	0	339	mouse	1.000000	mouse
2947594532	2	3	330	335	pig	0.985075	pig
3823061451	335	0	0	335	human	1.000000	human
210305772	0	333	1	334	mouse	0.997006	mouse
2995475642	0	331	3	334	mouse	0.991018	mouse
1561402659	150	179	3	332	mouse	0.539157	unassigned
3215005199	2	3	326	331	pig	0.984894	pig
3538087518	1	329	1	331	mouse	0.993958	mouse
3507939874	1	327	0	328	mouse	0.996951	mouse
1692963906	0	322	4	326	mouse	0.987730	mouse
2327014274	1	5	320	326	pig	0.981595	pig
1799917345	0	323	1	324	mouse	0.996914	mouse
989377154	3	4	316	323	pig	0.978328	pig
4046005447	2	312	7	321	mouse	0.971963	mouse
1012844087	320	0	0	320	human	1.000000	human
3018543317	4	4	312	320	pig	0.975000	pig
1799923634	197	118	2	317	human	0.621451	unassigned
1960508690	1	2	314	317	pig	0.990536	pig
1315661102	2	310	3	315	mouse	0.984127	mouse
592517047	1	309	0	310	mouse	0.996774	mouse
3860515358	1	3	306	310	pig	0.987097	pig
142034395	187	121	0	308	human	0.607143	unassigned
2108638635	4	3	300	307	pig	0.977199	pig
3626806679	6	2	299	307	pig	0.973941	pig
4221750800	2	3	302	307	pig	0.983713	pig
642810874	4	288	9	301	mouse	0.956811	mouse
702989288	0	299	1	300	mouse	0.996667	mouse
2368690753	4	5	291	300	pig	0.970000	pig
3714132446	1	5	290	296	pig	0.979730	pig
450544235	207	88	0	295	human	0.701695	unassigned
2662267507	1	291	2	294	mouse	0.989796	mouse
3839326040	4	4	286	294	pig	0.972789	pig
2239577387	175	117	0	292	human	0.599315	unassigned
1846496681	0	291	0	291	mouse	1.000000	mouse
3195468895	6	1	283	290	pig	0.975862	pig
2193845788	6	3	279	288	pig	0.968750	pig
526720739	6	2	277	285	pig	0.971930	pig
1957205013	208	75	2	285	human	0.729825	unassigned
1314842644	209	73	0	282	human	0.741135	unassigned
3999841951	4	2	276	282	pig	0.978723	pig
111334548	1	277	3	281	mouse	0.985765	mouse
902604082	1	278	1	280	mouse	0.992857	mouse
3187977161	185	93	1	279	human	0.663082	unassigned
3022856460	9	4	260	273	pig	0.952381	pig
2822991533	2	4	266	272	pig	0.977941	pig
1125860830	3	4	262	269	pig	0.973978	pig
4071391825	164	103	0	267	human	0.614232	unassigned
542967680	0	264	0	264	mouse	1.000000	mouse
3660771165	117	144	1	262	mouse	0.549618	unassigned
4273918986	3	1	248	252	pig	0.984127	pig
302182285	3	3	243	249	pig	0.975904	pig
3928004474	1	247	1	249	mouse	0.991968	mouse
2228304856	5	241	2	248	mouse	0.971774	mouse
682556751	247	0	0	247	human	1.000000	human
2306531602	0	247	0	247	mouse	1.000000	mouse
877322446	3	1	241	245	pig	0.983673	pig
1254920902	1	1	241	243	pig	0.991770	pig
3921369795	2	0	241	243	pig	0.991770	pig
2492679366	2	4	234	240	pig	0.975000	pig
1029403703	4	2	232	238	pig	0.974790	pig
4018895496	145	88	1	234	human	0.619658	unassigned
525934043	3	5	221	229	pig	0.965066	pig
691846240	2	224	1	227	mouse	0.986784	mouse
4126625490	6	2	219	227	pig	0.964758	pig
3556434738	134	90	1	225	human	0.595556	unassigned
3964179139	136	89	0	225	human	0.604444	unassigned
2421730399	144	75	0	219	human	0.657534	unassigned
2166165226	170	47	1	218	human	0.779817	unassigned
3804195897	2	4	212	218	pig	0.972477	pig
3527458381	217	0	0	217	human	1.000000	human
1360975996	1	200	13	214	mouse	0.934579	mouse
3363494030	0	211	3	214	mouse	0.985981	mouse
3401507873	2	2	210	214	pig	0.981308	pig
1142114220	2	2	209	213	pig	0.981221	pig
1443440406	1	212	0	213	mouse	0.995305	mouse
2103624374	119	90	1	210	human	0.566667	unassigned
2475640018	155	54	1	210	human	0.738095	unassigned
3685294102	128	82	0	210	human	0.609524	unassigned
1967343934	1	206	0	207	mouse	0.995169	mouse
2033634461	2	1	204	207	pig	0.985507	pig
1035779745	5	2	198	205	pig	0.965854	pig
3968294649	120	82	3	205	human	0.585366	unassigned
448082485	1	6	195	202	pig	0.965347	pig
1189793199	0	201	1	202	mouse	0.995050	mouse
3129030377	3	1	195	199	pig	0.979899	pig
2609946326	0	1	195	196	pig	0.994898	pig
3507825910	6	5	184	195	pig	0.943590	pig
3529285403	1	4	190	195	pig	0.974359	pig
4273809103	4	1	189	194	pig	0.974227	pig
2498420691	153	40	0	193	human	0.792746	unassigned
336809562	191	0	0	191	human	1.000000	human
3166360395	191	0	0	191	human	1.000000	human
518182541	3	4	179	186	pig	0.962366	pig
1460103226	4	0	182	186	pig	0.978495	pig
2894640325	75	110	1	186	mouse	0.591398	unassigned
3723184377	1	2	181	184	pig	0.983696	pig
3239618067	123	60	0	183	human	0.672131	unassigned
3160454027	3	1	178	182	pig	0.978022	pig
3201637481	0	180	2	182	mouse	0.989011	mouse
3870253172	135	45	1	181	human	0.745856	unassigned
3590399614	4	0	174	178	pig	0.977528	pig
3259314811	1	173	1	175	mouse	0.988571	mouse
2287429675	121	52	1	174	human	0.695402	unassigned
3539958187	3	2	164	169	pig	0.970414	pig
245183635	121	46	1	168	human	0.720238	unassigned
3184486113	99	69	0	168	human	0.589286	unassigned
556343396	106	61	0	167	human	0.634731	unassigned
4144269667	2	1	164	167	pig	0.982036	pig
2243647292	104	62	0	166	human	0.626506	unassigned
2727132749	166	0	0	166	human	1.000000	human
156046529	118	45	0	163	human	0.723926	unassigned
523545383	3	158	2	163	mouse	0.969325	mouse
2111793990	4	1	158	163	pig	0.969325	pig
3667053309	1	160	1	162	mouse	0.987654	mouse
3704845010	0	159	1	160	mouse	0.993750	mouse
1330427209	3	1	155	159	pig	0.974843	pig
2228270096	0	1	157	158	pig	0.993671	pig
1948472095	0	155	2	157	mouse	0.987261	mouse
3259418812	0	1	156	157	pig	0.993631	pig
2224326571	116	39	0	155	human	0.748387	unassigned
44336718	0	151	1	152	mouse	0.993421	mouse
542939505	4	4	144	152	pig	0.947368	pig
1371312565	109	43	0	152	human	0.717105	unassigned
3246876168	2	1	149	152	pig	0.980263	pig
674312146	2	147	1	150	mouse	0.980000	mouse
1961291103	1	3	146	150	pig	0.973333	pig
2306416513	108	41	0	149	human	0.724832	unassigned
594315285	1	147	0	148	mouse	0.993243	mouse
677568347	84	64	0	148	human	0.567568	unassigned
2327013697	90	57	1	148	human	0.608108	unassigned
3995898233	148	0	0	148	human	1.000000	human
4091841135	0	0	148	148	pig	1.000000	pig
2558570329	98	48	1	147	human	0.666667	unassigned
2109808962	1	0	145	146	pig	0.993151	pig
3555647206	3	4	139	146	pig	0.952055	pig
548444469	1	1	143	145	pig	0.986207	pig
3066256465	0	1	143	144	pig	0.993056	pig
3534044834	105	39	0	144	human	0.729167	unassigned
1659971831	73	69	1	143	human	0.510490	unassigned
1224440228	98	44	0	142	human	0.690141	unassigned
3316307117	3	138	1	142	mouse	0.971831	mouse
3166390295	0	2	139	141	pig	0.985816	pig
1540585409	1	2	137	140	pig	0.978571	pig
734304062	103	36	0	139	human	0.741007	unassigned
3428627414	1	2	134	137	pig	0.978102	pig
1117857092	97	37	0	134	human	0.723881	unassigned
4112185649	7	2	124	133	pig	0.932331	pig
703000076	72	59	1	132	human	0.545455	unassigned
3744241899	105	26	0	131	human	0.801527	human
3022859708	2	0	128	130	pig	0.984615	pig
299938692	1	1	126	128	pig	0.984375	pig
4131203123	2	4	122	128	pig	0.953125	pig
265738158	2	0	125	127	pig	0.984252	pig
2833287709	4	1	122	127	pig	0.960630	pig
1393257489	0	125	1	126	mouse	0.992063	mouse
1491782552	4	0	122	126	pig	0.968254	pig
3181195028	1	120	1	122	mouse	0.983607	mouse
3313574875	1	6	115	122	pig	0.942623	pig
3669678705	59	63	0	122	mouse	0.516393	unassigned
3836025076	1	1	120	122	pig	0.983607	pig
3516855801	5	0	116	121	pig	0.958678	pig
2457410489	1	1	118	120	pig	0.983333	pig
3018508770	120	0	0	120	human	1.000000	human
555556131	2	0	117	119	pig	0.983193	pig
1227281478	3	0	116	119	pig	0.974790	pig
2747193402	76	40	1	117	human	0.649573	unassigned
4203671374	2	115	0	117	mouse	0.982906	mouse
3034762107	116	0	0	116	human	1.000000	human
888479026	3	0	112	115	pig	0.973913	pig
982059937	1	0	114	115	pig	0.991304	pig
2583737182	1	113	1	115	mouse	0.982609	mouse
68615566	0	1	112	113	pig	0.991150	pig
270599852	0	110	3	113	mouse	0.973451	mouse
1142091574	113	0	0	113	human	1.000000	human
1970604154	2	111	0	113	mouse	0.982301	mouse
2824795013	1	2	110	113	pig	0.973451	pig
2583761799	1	2	109	112	pig	0.973214	pig
336665288	2	1	108	111	pig	0.972973	pig
1157853429	2	1	108	111	pig	0.972973	pig
3086152621	75	36	0	111	human	0.675676	unassigned
2224364043	2	0	108	110	pig	0.981818	pig
3402062321	1	99	10	110	mouse	0.900000	mouse
668272653	2	1	106	109	pig	0.972477	pig
4239848898	108	1	0	109	human	0.990826	human
3556288778	0	107	1	108	mouse	0.990741	mouse
3516851248	3	0	104	107	pig	0.971963	pig
3571791035	1	104	2	107	mouse	0.971963	mouse
3672064856	3	2	102	107	pig	0.953271	pig
2917888325	0	106	0	106	mouse	1.000000	mouse
2193698476	2	103	0	105	mouse	0.980952	mouse
3884149544	1	1	103	105	pig	0.980952	pig
1523274505	2	2	99	103	pig	0.961165	pig
3834599843	0	103	0	103	mouse	1.000000	mouse
307826047	0	100	2	102	mouse	0.980392	mouse
324486070	102	0	0	102	human	1.000000	human
1535676299	3	3	96	102	pig	0.941176	pig
1036476808	1	1	99	101	pig	0.980198	pig
791079746	1	99	0	100	mouse	0.990000	mouse
1352217993	3	0	97	100	pig	0.970000	pig
1622967511	3	2	95	100	pig	0.950000	pig
2326836635	2	1	97	100	pig	0.970000	pig
3018360765	0	100	0	100	mouse	1.000000	mouse
3202395576	2	98	0	100	mouse	0.980000	mouse
724089206	0	1	98	99	pig	0.989899	pig
4091991858	1	0	98	99	pig	0.989899	pig
1511190622	0	1	97	98	pig	0.989796	pig
1574211227	56	42	0	98	human	0.571429	unassigned
476237988	1	1	95	97	pig	0.979381	pig
691873477	0	3	94	97	pig	0.969072	pig
1140111339	3	1	93	97	pig	0.958763	pig
1957247919	0	97	0	97	mouse	1.000000	mouse
2269347389	57	39	1	97	human	0.587629	unassigned
1334505444	0	1	95	96	pig	0.989583	pig
2137707262	53	43	0	96	human	0.552083	unassigned
2634244197	1	1	94	96	pig	0.979167	pig
3714097933	80	16	0	96	human	0.833333	human
1621283038	2	0	93	95	pig	0.978947	pig
500762797	2	3	89	94	pig	0.946809	pig
42804943	1	2	90	93	pig	0.967742	pig
1964208402	4	1	87	92	pig	0.945652	pig
1976872313	0	1	91	92	pig	0.989130	pig
3279230085	24	68	0	92	mouse	0.739130	unassigned
3621600075	64	27	1	92	human	0.695652	unassigned
2405474433	2	0	89	91	pig	0.978022	pig
114367176	1	4	85	90	pig	0.944444	pig
1689039995	90	0	0	90	human	1.000000	human
4158874115	2	1	87	90	pig	0.966667	pig
4166449575	0	2	88	90	pig	0.977778	pig
1051641324	0	89	0	89	mouse	1.000000	mouse
1935368987	64	24	1	89	human	0.719101	unassigned
2359256183	44	45	0	89	mouse	0.505618	unassigned
3520810823	0	0	88	88	pig	1.000000	pig
4017129767	46	41	0	87	human	0.528736	unassigned
4139068845	50	37	0	87	human	0.574713	unassigned
71748324	0	1	85	86	pig	0.988372	pig
828445964	2	0	84	86	pig	0.976744	pig
2264063823	0	0	86	86	pig	1.000000	pig
1132918739	0	1	84	85	pig	0.988235	pig
3086178031	2	2	81	85	pig	0.952941	pig
3455799776	2	1	82	85	pig	0.964706	pig
3714123141	0	1	84	85	pig	0.988235	pig
4121919307	1	1	83	85	pig	0.976471	pig
755278668	1	82	1	84	mouse	0.976190	mouse
1157842472	2	0	82	84	pig	0.976190	pig
3184488091	2	2	80	84	pig	0.952381	pig
573012742	0	81	2	83	mouse	0.975904	mouse
3576479033	1	1	81	83	pig	0.975904	pig
3504114407	1	79	2	82	mouse	0.963415	mouse
3804012063	0	1	81	82	pig	0.987805	pig
3813216862	1	1	80	82	pig	0.975610	pig
1280008936	1	0	80	81	pig	0.987654	pig
1364013597	0	0	81	81	pig	1.000000	pig
1901290204	0	1	80	81	pig	0.987654	pig
2894811563	0	1	80	81	pig	0.987654	pig
3146592128	0	81	0	81	mouse	1.000000	mouse
160103041	43	37	0	80	human	0.537500	unassigned
533804257	1	3	76	80	pig	0.950000	pig
555552999	0	0	80	80	pig	1.000000	pig
838262546	1	0	79	80	pig	0.987500	pig
883731484	1	1	78	80	pig	0.975000	pig
1130402259	1	77	2	80	mouse	0.962500	mouse
1411306008	3	0	77	80	pig	0.962500	pig
3071724927	1	79	0	80	mouse	0.987500	mouse
3478165591	0	79	1	80	mouse	0.987500	mouse
2933575405	0	79	0	79	mouse	1.000000	mouse
3059966467	48	31	0	79	human	0.607595	unassigned
4252284227	0	1	78	79	pig	0.987342	pig
278726744	0	77	1	78	mouse	0.987179	mouse
734486939	1	77	0	78	mouse	0.987179	mouse
982060504	1	77	0	78	mouse	0.987179	mouse
3545017618	0	1	77	78	pig	0.987179	pig
4265036306	51	27	0	78	human	0.653846	unassigned
775226121	1	1	75	77	pig	0.974026	pig
1110140424	0	77	0	77	mouse	1.000000	mouse
154473243	2	2	72	76	pig	0.947368	pig
728808809	0	0	76	76	pig	1.000000	pig
2587319132	0	76	0	76	mouse	1.000000	mouse
2662118516	1	0	75	76	pig	0.986842	pig
902758044	0	1	74	75	pig	0.986667	pig
1140278329	2	3	70	75	pig	0.933333	pig
1561513018	2	0	73	75	pig	0.973333	pig
270761049	2	0	72	74	pig	0.972973	pig
2817079334	0	74	0	74	mouse	1.000000	mouse
3246836899	0	1	73	74	pig	0.986486	pig
4158090925	1	1	72	74	pig	0.972973	pig
1932076348	1	71	1	73	mouse	0.972603	mouse
2957280560	1	2	70	73	pig	0.958904	pig
3548944915	0	2	71	73	pig	0.972603	pig
2993724539	0	72	0	72	mouse	1.000000	mouse
1460075266	46	25	0	71	human	0.647887	unassigned
2742102301	1	1	69	71	pig	0.971831	pig
385307051	0	1	69	70	pig	0.985714	pig
878741442	1	2	67	70	pig	0.957143	pig
1311552422	1	1	67	69	pig	0.971014	pig
1425754298	0	69	0	69	mouse	1.000000	mouse
1859979500	35	34	0	69	human	0.507246	unassigned
1898150366	2	1	66	69	pig	0.956522	pig
3041700871	2	0	67	69	pig	0.971014	pig
3816740354	1	1	67	69	pig	0.971014	pig
3981627890	2	0	67	69	pig	0.971014	pig
2137745474	0	1	67	68	pig	0.985294	pig
2989179924	2	0	66	68	pig	0.970588	pig
4147076162	1	67	0	68	mouse	0.985294	mouse
2186584110	1	0	66	67	pig	0.985075	pig
1185746023	2	0	63	65	pig	0.969231	pig
3162840355	2	0	63	65	pig	0.969231	pig
3571145606	1	0	64	65	pig	0.984615	pig
1564510927	1	0	63	64	pig	0.984375	pig
2407345685	0	2	62	64	pig	0.968750	pig
67862077	0	1	62	63	pig	0.984127	pig
737069454	2	61	0	63	mouse	0.968254	mouse
1299115283	0	62	1	63	mouse	0.984127	mouse
1493881932	1	62	0	63	mouse	0.984127	mouse
2339598101	1	1	61	63	pig	0.968254	pig
3961041527	0	0	63	63	pig	1.000000	pig
1320232799	1	2	59	62	pig	0.951613	pig
3676351300	2	0	60	62	pig	0.967742	pig
387224115	1	1	59	61	pig	0.967213	pig
651126668	1	0	60	61	pig	0.983607	pig
748456889	0	0	61	61	pig	1.000000	pig
3020384262	0	0	61	61	pig	1.000000	pig
1012741565	1	0	59	60	pig	0.983333	pig
3868240903	0	0	60	60	pig	1.000000	pig
2993757359	0	3	56	59	pig	0.949153	pig
3734805568	0	0	59	59	pig	1.000000	pig
4015748382	1	1	57	59	pig	0.966102	pig
736960040	1	55	2	58	mouse	0.948276	mouse
4092028380	1	0	57	58	pig	0.982759	pig
452122067	1	54	2	57	mouse	0.947368	mouse
573010837	0	56	1	57	mouse	0.982456	mouse
655547953	29	28	0	57	human	0.508772	unassigned
893195457	0	55	2	57	mouse	0.964912	mouse
3059969396	0	0	57	57	pig	1.000000	pig
674453577	0	56	0	56	mouse	1.000000	mouse
1621290433	14	42	0	56	mouse	0.750000	unassigned
1954241051	0	1	55	56	pig	0.982143	pig
3839138711	0	0	56	56	pig	1.000000	pig
3116061948	1	54	0	55	mouse	0.981818	mouse
3335826599	26	29	0	55	mouse	0.527273	unassigned
4270405004	0	55	0	55	mouse	1.000000	mouse
339818546	2	2	50	54	pig	0.925926	pig
2410448080	0	54	0	54	mouse	1.000000	mouse
3906139985	0	53	1	54	mouse	0.981481	mouse
4242989648	0	53	1	54	mouse	0.981481	mouse
456049640	0	0	53	53	pig	1.000000	pig
1190579949	0	2	51	53	pig	0.962264	pig
1364162017	3	0	50	53	pig	0.943396	pig
1574222198	0	1	52	53	pig	0.981132	pig
2398813713	2	1	49	52	pig	0.942308	pig
3313686043	2	1	49	52	pig	0.942308	pig
3860547922	1	1	50	52	pig	0.961538	pig
575977104	1	1	49	51	pig	0.960784	pig
1859987681	45	6	0	51	human	0.882353	human
1957356783	2	1	48	51	pig	0.941176	pig
2067576008	0	1	50	51	pig	0.980392	pig
2187398527	3	0	48	51	pig	0.941176	pig
2272561528	0	1	50	51	pig	0.980392	pig
2957312333	1	0	50	51	pig	0.980392	pig
642852856	1	49	0	50	mouse	0.980000	mouse
1151637751	1	0	49	50	pig	0.980000	pig
1671730692	1	2	47	50	pig	0.940000	pig
2871047620	1	1	48	50	pig	0.960000	pig
728837621	0	0	49	49	pig	1.000000	pig
1363977522	24	25	0	49	mouse	0.510204	unassigned
1948444336	1	2	46	49	pig	0.938776	pig
2473106572	24	25	0	49	mouse	0.510204	unassigned
3527629447	48	0	1	49	human	0.979592	human
840241977	1	2	45	48	pig	0.937500	pig
920044430	0	0	48	48	pig	1.000000	pig
3320124874	0	0	48	48	pig	1.000000	pig
788079437	0	1	46	47	pig	0.978723	pig
2689930071	24	23	0	47	human	0.510638	unassigned
3066080435	0	0	47	47	pig	1.000000	pig
1012701058	0	1	45	46	pig	0.978261	pig
1056405066	1	0	45	46	pig	0.978261	pig
2027230381	0	0	46	46	pig	1.000000	pig
2966985792	0	0	46	46	pig	1.000000	pig
3621705351	1	2	43	46	pig	0.934783	pig
1175234724	0	0	45	45	pig	1.000000	pig
1906875724	1	0	44	45	pig	0.977778	pig
2027343124	0	0	45	45	pig	1.000000	pig
2105472757	0	44	1	45	mouse	0.977778	mouse
768905063	0	0	44	44	pig	1.000000	pig
1061466767	28	15	1	44	human	0.636364	unassigned
1935363497	1	43	0	44	mouse	0.977273	mouse
1145084132	0	0	43	43	pig	1.000000	pig
3455627197	0	1	42	43	pig	0.976744	pig
1364129845	25	17	0	42	human	0.595238	unassigned
2023413818	1	3	38	42	pig	0.904762	pig
3804198849	0	42	0	42	mouse	1.000000	mouse
4223443920	2	0	40	42	pig	0.952381	pig
2494340654	0	2	39	41	pig	0.951220	pig
3666161998	23	17	1	41	human	0.560976	unassigned
4203671061	22	18	1	41	human	0.536585	unassigned
416513809	0	3	37	40	pig	0.925000	pig
1316406541	0	3	37	40	pig	0.925000	pig
2621520575	0	1	39	40	pig	0.975000	pig
2964812063	0	1	39	40	pig	0.975000	pig
4245871175	0	1	39	40	pig	0.975000	pig
2967160369	1	1	37	39	pig	0.948718	pig
3574666701	0	0	39	39	pig	1.000000	pig
366141877	0	0	38	38	pig	1.000000	pig
668432631	0	37	1	38	mouse	0.973684	mouse
1051653085	0	0	38	38	pig	1.000000	pig
2993729504	1	36	1	38	mouse	0.947368	mouse
3200965700	0	0	38	38	pig	1.000000	pig
485187401	0	1	36	37	pig	0.972973	pig
1654612892	0	1	36	37	pig	0.972973	pig
617659702	0	0	36	36	pig	1.000000	pig
2007984588	0	0	36	36	pig	1.000000	pig
2998733621	1	0	35	36	pig	0.972222	pig
4014781514	3	1	32	36	pig	0.888889	pig
1582082943	14	21	0	35	mouse	0.600000	unassigned
2256055348	20	15	0	35	human	0.571429	unassigned
3360721405	0	0	35	35	pig	1.000000	pig
3793519324	1	2	32	35	pig	0.914286	pig
452120965	0	0	34	34	pig	1.000000	pig
2344543678	1	0	33	34	pig	0.970588	pig
3137820651	19	14	1	34	human	0.558824	unassigned
4014928923	1	0	33	34	pig	0.970588	pig
3160629662	0	0	33	33	pig	1.000000	pig
4040616441	0	0	33	33	pig	1.000000	pig
4055663459	1	1	31	33	pig	0.939394	pig
4155701194	0	0	33	33	pig	1.000000	pig
936446049	0	30	2	32	mouse	0.937500	mouse
1189797612	0	32	0	32	mouse	1.000000	mouse
3162805132	0	32	0	32	mouse	1.000000	mouse
3194557241	0	0	32	32	pig	1.000000	pig
3415258844	0	31	1	32	mouse	0.968750	mouse
339774986	0	0	31	31	pig	1.000000	pig
