miRNA	raw_p_value	t_statistic	bonferroni_adj_p	BY_adj_p	significant_bonferroni	significant_BY
hsa-miR-25	0.0384516719171716	-2.23803768210168	1	0.70286147417076	no	no
hsa-miR-26a	0.0455045270323612	-2.19535129452124	1	0.762466127227924	no	no
hsa-miR-26b	0.281404098129086	-1.117489594398	1	1	no	no
hsa-miR-27a	0.0514342113579487	-2.13172350865276	1	0.793190232930726	no	no
hsa-miR-27b	0.0858944073508371	-1.83595495427952	1	1	no	no
hsa-miR-28-3p	0.0806517326830394	-1.88526480836515	1	0.988819563145073	no	no
hsa-miR-28-5p	0.164479605446299	-1.45095109599489	1	1	no	no
hsa-miR-297	0.401772143647965	-0.862508824972898	1	1	no	no
hsa-miR-29a	0.606967900477651	0.524410896238862	1	1	no	no
hsa-miR-29a*	0.588686274339189	0.555282875851279	1	1	no	no
hsa-miR-29b	0.472564401948436	-0.733769215030248	1	1	no	no
hsa-miR-29b-2*	0.0254467937834951	-2.51635558896087	1	0.522100598178634	no	no
hsa-miR-29c	0.444393183798301	-0.78243253876972	1	1	no	no
hsa-miR-301a	0.022864291890451	-2.67181164315686	1	0.495334905032253	no	no
hsa-miR-30a	0.191174598857965	-1.37134639738183	1	1	no	no
hsa-miR-30b	0.00310173930634169	-3.66809974318656	0.542804378609795	0.240847545799728	no	no
hsa-miR-30c	0.00479131827069584	-3.33038123125076	0.838480697371773	0.240847545799728	no	no
hsa-miR-30d	0.00433741016662127	-3.30682668913024	0.759046779158723	0.240847545799728	no	no
hsa-miR-30e	0.00172480065931515	-3.81380451693766	0.30184011538015	0.202375263235428	no	no
hsa-miR-30e*	0.0403132887783255	-2.28087616843296	1	0.711034337511805	no	no
hsa-miR-32	0.00429362654753285	-3.31663776090971	0.751384645818249	0.240847545799728	no	no
hsa-miR-320a	0.0344446464144301	-2.29531238750997	1	0.664244285271901	no	no
hsa-miR-320b	0.0565158380076114	-2.03845415797638	1	0.819170985161145	no	no
hsa-miR-324-3p	0.56639749077802	-0.584460453143287	1	1	no	no
hsa-miR-324-5p	0.218017719683788	-1.27709023096036	1	1	no	no
hsa-miR-326	0.168263284129415	-1.43875433758018	1	1	no	no
hsa-miR-328	0.0231568557440671	-2.54411389663568	1	0.495334905032253	no	no
hsa-miR-331-3p	0.00683124958321152	-3.08848947766822	1	0.251748421228245	no	no
hsa-miR-335	0.292827437523695	-1.08857390354213	1	1	no	no
hsa-miR-338-3p	0.624596080952358	0.498961411269186	1	1	no	no
hsa-miR-339-3p	0.199662894565373	-1.33148350774429	1	1	no	no
hsa-miR-339-5p	0.386844018225984	-0.886872866244555	1	1	no	no
hsa-miR-33a	0.232801225130213	-1.23709887731049	1	1	no	no
hsa-miR-342-3p	0.250550591407632	-1.20777195245777	1	1	no	no
hsa-miR-346	0.758865506325286	-0.311972774251427	1	1	no	no
hsa-miR-34a	0.00293450541947936	-3.51413337832131	0.513538448408887	0.240847545799728	no	no
hsa-miR-361-3p	0.17966755179157	-1.42316160520218	1	1	no	no
hsa-miR-363	0.0192570573995658	-2.6112950732268	1	0.450234395569115	no	no
hsa-miR-365	0.014416421081373	-2.82463022401176	1	0.379650107616689	no	no
hsa-miR-374a	0.680068248277314	-0.420117986711586	1	1	no	no
hsa-miR-374b	0.896694264112386	0.131894643329596	1	1	no	no
hsa-miR-375	0.359641260262321	0.943460637526698	1	1	no	no
hsa-miR-376a	0.974850252855063	-0.0322848653206995	1	1	no	no
hsa-miR-378	0.482300097495656	-0.718902113577009	1	1	no	no
hsa-miR-382	0.650252675800044	-0.462386123720906	1	1	no	no
hsa-miR-409-3p	0.323274011969146	-1.01561391551594	1	1	no	no
hsa-miR-421	0.00503104158847052	-3.41698045431645	0.880432277982341	0.240855081338907	no	no
hsa-miR-423-3p	0.0153868452844615	-2.78200996753955	1	0.379650107616689	no	no
hsa-miR-423-5p	0.0842884472308446	-1.83121043562124	1	1	no	no
hsa-miR-424	0.789592299761847	-0.27084427273017	1	1	no	no
hsa-miR-425	0.241191724719706	-1.21322550230117	1	1	no	no
hsa-miR-425*	0.0222032405537995	-2.67913857507119	1	0.495334905032253	no	no
hsa-miR-451	0.0480723389451692	-2.12310318763824	1	0.779508336353024	no	no
hsa-miR-484	0.00351826928833625	-3.41100677303541	0.615697125458843	0.240847545799728	no	no
hsa-miR-485-3p	0.187133770301584	-1.37180577997795	1	1	no	no
hsa-miR-486-5p	0.00181168519644117	-3.67306480621639	0.317044909377206	0.202375263235428	no	no
hsa-miR-495	0.0434077816153338	-2.19484131421417	1	0.73966110213185	no	no
hsa-miR-497	0.412121830308269	-0.839791556781482	1	1	no	no
hsa-miR-500a	0.391978362449629	-0.880583197266757	1	1	no	no
hsa-miR-501-3p	0.0253866266664417	-2.56701085558329	1	0.522100598178634	no	no
hsa-miR-502-3p	0.227300987240676	-1.2721628725339	1	1	no	no
hsa-miR-505	0.0616679202646997	-2.02532691781444	1	0.861080999424286	no	no
hsa-miR-532-3p	0.126472027166691	-1.6414343470088	1	1	no	no
hsa-miR-532-5p	0.00105973348166106	-3.89568664471917	0.185453359290685	0.202375263235428	no	no
hsa-miR-543	0.116377415873455	-1.65913459543174	1	1	no	no
hsa-miR-551b	0.218731638466982	-1.28954212011945	1	1	no	no
hsa-miR-574-3p	0.0154828242349894	-2.75687694173778	1	0.379650107616689	no	no
hsa-miR-584	0.330979515145626	-0.999222055772823	1	1	no	no
hsa-miR-590-5p	0.608659416959374	-0.52108759028619	1	1	no	no
hsa-miR-605	0.203158717349673	-1.32066729925575	1	1	no	no
hsa-miR-629	0.309961673286528	-1.04486356866086	1	1	no	no
hsa-miR-652	0.00361386503793809	-3.45325474088417	0.632426381639165	0.240847545799728	no	no
hsa-miR-660	0.154643827327152	-1.48711328045577	1	1	no	no
hsa-miR-720	0.326718117334053	-1.01097715026691	1	1	no	no
hsa-miR-766	0.00588958370307921	-3.41817035127483	1	0.247550331517746	no	no
hsa-miR-885-5p	0.0500362993890401	-2.12790089654221	1	0.785999751783901	no	no
hsa-miR-92a	0.000717637644884998	-4.09076259395181	0.125586587854875	0.202375263235428	no	no
hsa-miR-92b	0.182864790521505	-1.39556696732403	1	1	no	no
hsa-miR-93	0.00470329030410147	-3.2325999626931	0.823075803217758	0.240847545799728	no	no
hsa-miR-93*	0.591231562567118	-0.546802861606227	1	1	no	no
hsa-miR-95	0.616518887190267	-0.512181226894271	1	1	no	no
hsa-miR-99a	0.0494960985025502	-2.10626069043799	1	0.785999751783901	no	no
hsa-miR-99b	0.0520719801418178	-2.13126529890351	1	0.793190232930726	no	no
