group	file	total_tree_length	internal_branch_length	treeness
animals	1445102at2759.faa.mafft.clipkit.iqtree	0.8103	0.0	0.0
animals	1018517at2759.faa.mafft.clipkit.iqtree	1.1306	0.009	0.007960375022112151
animals	1260807at2759.faa.mafft.clipkit.iqtree	1.6031	0.0	0.0
animals	1217666at2759.faa.mafft.clipkit.iqtree	0.7089	0.0	0.0
animals	1338131at2759.faa.mafft.clipkit.iqtree	0.5758	0.0	0.0
animals	176625at2759.faa.mafft.clipkit.iqtree	2.5466	0.0	0.0
animals	1304061at2759.faa.mafft.clipkit.iqtree	0.6317	0.0	0.0
animals	1552706at2759.faa.mafft.clipkit.iqtree	0.9741	0.0	0.0
animals	491869at2759.faa.mafft.clipkit.iqtree	1.973	0.0	0.0
animals	1620056at2759.faa.mafft.clipkit.iqtree	1.8082	0.2036	0.11259816391992036
animals	1488235at2759.faa.mafft.clipkit.iqtree	1.0371	0.0	0.0
animals	664730at2759.faa.mafft.clipkit.iqtree	1.069	0.053	0.04957904583723106
animals	866359at2759.faa.mafft.clipkit.iqtree	0.9158	0.0	0.0
animals	1513531at2759.faa.mafft.clipkit.iqtree	1.4442	0.0	0.0
animals	1269244at2759.faa.mafft.clipkit.iqtree	1.7415	0.0	0.0
animals	1129824at2759.faa.mafft.clipkit.iqtree	1.8884	0.0	0.0
animals	1545004at2759.faa.mafft.clipkit.iqtree	0.6267	0.0	0.0
animals	1488436at2759.faa.mafft.clipkit.iqtree	0.9028	0.0	0.0
animals	1157302at2759.faa.mafft.clipkit.iqtree	0.4958	0.0	0.0
animals	1193442at2759.faa.mafft.clipkit.iqtree	1.6888	0.0618	0.03659403126480341
animals	1003258at2759.faa.mafft.clipkit.iqtree	2.3387	0.0	0.0
animals	621827at2759.faa.mafft.clipkit.iqtree	2.1288	0.0	0.0
animals	1504863at2759.faa.mafft.clipkit.iqtree	1.4111	0.0372	0.026362412302459073
animals	1041560at2759.faa.mafft.clipkit.iqtree	1.2033	0.0	0.0
animals	1526152at2759.faa.mafft.clipkit.iqtree	1.8777	0.0	0.0
animals	341721at2759.faa.mafft.clipkit.iqtree	2.9193	0.0502	0.017195903127462064
animals	1173229at2759.faa.mafft.clipkit.iqtree	2.668	0.0751	0.028148425787106444
animals	1538526at2759.faa.mafft.clipkit.iqtree	1.2617	0.0	0.0
animals	1342242at2759.faa.mafft.clipkit.iqtree	3.3452	0.1518	0.04537845270835824
animals	1096688at2759.faa.mafft.clipkit.iqtree	1.0789	0.0	0.0
animals	1405073at2759.faa.mafft.clipkit.iqtree	0.6776	0.0357	0.052685950413223145
animals	1358374at2759.faa.mafft.clipkit.iqtree	1.3251	0.0	0.0
animals	836599at2759.faa.mafft.clipkit.iqtree	1.017	0.0	0.0
animals	1525971at2759.faa.mafft.clipkit.iqtree	1.7083	0.0434	0.025405373763390506
animals	679771at2759.faa.mafft.clipkit.iqtree	2.1159	0.0	0.0
animals	974865at2759.faa.mafft.clipkit.iqtree	1.9402	0.1073	0.05530357695082982
animals	734666at2759.faa.mafft.clipkit.iqtree	1.0659	0.0	0.0
animals	320059at2759.faa.mafft.clipkit.iqtree	0.3585	0.0	0.0
animals	1094121at2759.faa.mafft.clipkit.iqtree	1.1286	0.0	0.0
animals	1633672at2759.faa.mafft.clipkit.iqtree	0.3857	0.0	0.0
animals	1138059at2759.faa.mafft.clipkit.iqtree	0.924	0.0	0.0
animals	1019762at2759.faa.mafft.clipkit.iqtree	1.8329	0.0	0.0
animals	1355894at2759.faa.mafft.clipkit.iqtree	0.5804	0.0	0.0
animals	156083at2759.faa.mafft.clipkit.iqtree	0.1884	0.0027	0.014331210191082803
animals	673132at2759.faa.mafft.clipkit.iqtree	1.6281	0.087	0.05343652109821263
animals	996662at2759.faa.mafft.clipkit.iqtree	2.9109	0.1221	0.041945789961867465
animals	1346165at2759.faa.mafft.clipkit.iqtree	2.1669	0.0	0.0
animals	814241at2759.faa.mafft.clipkit.iqtree	0.9293	0.0	0.0
animals	1161199at2759.faa.mafft.clipkit.iqtree	1.5342	0.0	0.0
animals	1370285at2759.faa.mafft.clipkit.iqtree	1.9325	0.0	0.0
animals	721605at2759.faa.mafft.clipkit.iqtree	2.372	0.0615	0.025927487352445194
animals	296129at2759.faa.mafft.clipkit.iqtree	0.9444	0.0	0.0
animals	271586at2759.faa.mafft.clipkit.iqtree	2.9647	0.0	0.0
animals	1112002at2759.faa.mafft.clipkit.iqtree	1.6215	0.0	0.0
animals	1291729at2759.faa.mafft.clipkit.iqtree	1.9461	0.0	0.0
animals	1079827at2759.faa.mafft.clipkit.iqtree	0.3702	0.0	0.0
animals	39650at2759.faa.mafft.clipkit.iqtree	1.5605	0.0	0.0
animals	1038775at2759.faa.mafft.clipkit.iqtree	1.2456	0.0	0.0
animals	1364586at2759.faa.mafft.clipkit.iqtree	1.7994	0.0	0.0
animals	1200489at2759.faa.mafft.clipkit.iqtree	1.8951	0.0	0.0
animals	331411at2759.faa.mafft.clipkit.iqtree	0.8276	0.0	0.0
animals	1010730at2759.faa.mafft.clipkit.iqtree	1.9218	0.0	0.0
animals	1421503at2759.faa.mafft.clipkit.iqtree	0.6528	0.0	0.0
animals	1379600at2759.faa.mafft.clipkit.iqtree	1.4372	0.0	0.0
animals	100698at2759.faa.mafft.clipkit.iqtree	0.7056	0.0	0.0
animals	674160at2759.faa.mafft.clipkit.iqtree	2.806	0.0	0.0
animals	1251252at2759.faa.mafft.clipkit.iqtree	1.2312	0.0	0.0
animals	777920at2759.faa.mafft.clipkit.iqtree	1.526	0.0	0.0
animals	891751at2759.faa.mafft.clipkit.iqtree	2.8676	0.0	0.0
animals	1432328at2759.faa.mafft.clipkit.iqtree	0.8689	0.0	0.0
animals	1434266at2759.faa.mafft.clipkit.iqtree	2.1433	0.0	0.0
animals	453044at2759.faa.mafft.clipkit.iqtree	2.0966	0.1085	0.05175045311456644
animals	1428854at2759.faa.mafft.clipkit.iqtree	2.6788	0.0901	0.03363446319247424
fungi	981902at2759.faa.mafft.clipkit.iqtree	5.2349	0.6127	0.11704139525110319
fungi	245208at2759.faa.mafft.clipkit.iqtree	2.0895	0.0642	0.030725053840631726
fungi	1085752at2759.faa.mafft.clipkit.iqtree	4.5684	0.0	0.0
fungi	931188at2759.faa.mafft.clipkit.iqtree	4.1722	0.2957	0.07087387948803989
fungi	761109at2759.faa.mafft.clipkit.iqtree	3.3953	0.1297	0.03819986451859924
fungi	355408at2759.faa.mafft.clipkit.iqtree	2.6164	0.1306	0.04991591499770677
fungi	937686at2759.faa.mafft.clipkit.iqtree	1.8829	0.0	0.0
fungi	1194691at2759.faa.mafft.clipkit.iqtree	2.7833	0.1254	0.04505443178960227
fungi	418107at2759.faa.mafft.clipkit.iqtree	2.2074	0.1702	0.07710428558485095
fungi	1382842at2759.faa.mafft.clipkit.iqtree	2.8343	0.0	0.0
fungi	911863at2759.faa.mafft.clipkit.iqtree	3.9924	0.2353	0.05893698026249875
fungi	1287094at2759.faa.mafft.clipkit.iqtree	3.5656	0.223	0.06254206865604667
fungi	1423847at2759.faa.mafft.clipkit.iqtree	2.7277	0.2135	0.0782710708655644
fungi	1645187at2759.faa.mafft.clipkit.iqtree	2.3385	0.1162	0.049689972204404534
fungi	261419at2759.faa.mafft.clipkit.iqtree	2.8439	0.0	0.0
fungi	257318at2759.faa.mafft.clipkit.iqtree	3.8708	0.1223	0.03159553580655162
fungi	369837at2759.faa.mafft.clipkit.iqtree	2.9742	0.1415	0.047575818707551606
fungi	1370304at2759.faa.mafft.clipkit.iqtree	3.9753	0.2362	0.05941689935350791
fungi	1441854at2759.faa.mafft.clipkit.iqtree	2.6324	0.2029	0.07707795167907612
fungi	1249159at2759.faa.mafft.clipkit.iqtree	3.5316	0.3723	0.10541963982330955
fungi	869548at2759.faa.mafft.clipkit.iqtree	3.5548	0.2179	0.06129740069764825
fungi	1197019at2759.faa.mafft.clipkit.iqtree	2.1212	0.1385	0.06529323024702999
fungi	1065019at2759.faa.mafft.clipkit.iqtree	2.2539	0.1547	0.06863658547406717
fungi	1014314at2759.faa.mafft.clipkit.iqtree	3.8112	0.2134	0.055992863140218306
fungi	719531at2759.faa.mafft.clipkit.iqtree	2.1409	0.0975	0.0455415946564529
fungi	570797at2759.faa.mafft.clipkit.iqtree	5.2926	0.3114	0.05883686656841628
fungi	858842at2759.faa.mafft.clipkit.iqtree	2.784	0.0	0.0
fungi	1454155at2759.faa.mafft.clipkit.iqtree	4.1615	0.2354	0.05656614201609996
fungi	1107630at2759.faa.mafft.clipkit.iqtree	3.2516	0.2448	0.07528601303973428
fungi	1248958at2759.faa.mafft.clipkit.iqtree	3.3875	0.1342	0.03961623616236162
fungi	1626636at2759.faa.mafft.clipkit.iqtree	2.1241	0.0	0.0
fungi	720340at2759.faa.mafft.clipkit.iqtree	3.3572	0.1417	0.0422077922077922
fungi	330169at2759.faa.mafft.clipkit.iqtree	4.8463	0.2969	0.06126323174380455
fungi	956854at2759.faa.mafft.clipkit.iqtree	2.3893	0.0	0.0
fungi	1398309at2759.faa.mafft.clipkit.iqtree	2.567	0.1946	0.07580833657966497
fungi	396755at2759.faa.mafft.clipkit.iqtree	3.9673	0.2145	0.054066997706248586
fungi	383503at2759.faa.mafft.clipkit.iqtree	4.1218	0.2489	0.060386239021786595
fungi	1266231at2759.faa.mafft.clipkit.iqtree	1.3116	0.0	0.0
fungi	674169at2759.faa.mafft.clipkit.iqtree	5.0303	0.2457	0.048844005327714046
fungi	1407446at2759.faa.mafft.clipkit.iqtree	5.0999	0.0283	0.005549128414282633
fungi	1455730at2759.faa.mafft.clipkit.iqtree	1.4069	0.0	0.0
fungi	1346432at2759.faa.mafft.clipkit.iqtree	3.5025	0.4382	0.12511063526052818
fungi	388820at2759.faa.mafft.clipkit.iqtree	3.0776	0.1424	0.04626982063945932
fungi	1269649at2759.faa.mafft.clipkit.iqtree	1.8139	0.1288	0.07100722200782843
fungi	598949at2759.faa.mafft.clipkit.iqtree	4.5858	0.227	0.04950063238693358
fungi	324863at2759.faa.mafft.clipkit.iqtree	3.5688	0.138	0.03866845998655011
fungi	306227at2759.faa.mafft.clipkit.iqtree	2.5664	0.0	0.0
fungi	582756at2759.faa.mafft.clipkit.iqtree	5.2073	0.4092	0.07858199066694832
fungi	1442062at2759.faa.mafft.clipkit.iqtree	3.7406	0.4591	0.12273432069721435
fungi	1428265at2759.faa.mafft.clipkit.iqtree	4.6332	0.8243	0.17791159457826122
fungi	87842at2759.faa.mafft.clipkit.iqtree	3.6902	0.0882	0.02390114356945423
fungi	142542at2759.faa.mafft.clipkit.iqtree	3.0005	0.0	0.0
fungi	801857at2759.faa.mafft.clipkit.iqtree	3.1103	0.2148	0.06906086229624152
fungi	299766at2759.faa.mafft.clipkit.iqtree	4.7687	0.1544	0.03237779688384675
fungi	1287401at2759.faa.mafft.clipkit.iqtree	1.3711	0.0	0.0
fungi	1623701at2759.faa.mafft.clipkit.iqtree	4.1449	0.4995	0.12050954184660669
fungi	1312453at2759.faa.mafft.clipkit.iqtree	4.066	0.2226	0.054746679783571076
fungi	290630at2759.faa.mafft.clipkit.iqtree	1.9316	0.0731	0.03784427417684821
fungi	261328at2759.faa.mafft.clipkit.iqtree	2.6483	0.0	0.0
fungi	671846at2759.faa.mafft.clipkit.iqtree	5.4661	0.3182	0.058213351383984924
fungi	919955at2759.faa.mafft.clipkit.iqtree	2.9756	0.1167	0.03921898104583949
fungi	390348at2759.faa.mafft.clipkit.iqtree	2.3067	0.1305	0.05657432696059305
fungi	1284731at2759.faa.mafft.clipkit.iqtree	3.0694	0.1884	0.06138007428161856
fungi	975158at2759.faa.mafft.clipkit.iqtree	3.2597	0.1994	0.06117127343007025
fungi	937275at2759.faa.mafft.clipkit.iqtree	3.7365	0.0	0.0
fungi	1264469at2759.faa.mafft.clipkit.iqtree	3.4174	0.1902	0.055656346930414935
fungi	759498at2759.faa.mafft.clipkit.iqtree	2.6281	0.1783	0.06784368935733039
fungi	450058at2759.faa.mafft.clipkit.iqtree	6.0895	0.4628	0.07599967156581
fungi	1049599at2759.faa.mafft.clipkit.iqtree	2.5485	0.0	0.0
fungi	345441at2759.faa.mafft.clipkit.iqtree	1.5775	0.0	0.0
fungi	1445102at2759.faa.mafft.clipkit.iqtree	2.867	1.5755	0.5495291245204046
fungi	946128at2759.faa.mafft.clipkit.iqtree	3.6902	0.1392	0.03772153270825429
fungi	1018517at2759.faa.mafft.clipkit.iqtree	1.8064	0.178	0.09853852967227635
fungi	1426075at2759.faa.mafft.clipkit.iqtree	2.6596	0.1436	0.053993081666416004
fungi	1258856at2759.faa.mafft.clipkit.iqtree	4.5913	0.3343	0.07281162198070262
fungi	1440961at2759.faa.mafft.clipkit.iqtree	3.9209	0.1907	0.04863679257313372
fungi	549762at2759.faa.mafft.clipkit.iqtree	2.1687	0.0	0.0
fungi	1223488at2759.faa.mafft.clipkit.iqtree	3.8059	0.3379	0.08878320502377887
fungi	1395649at2759.faa.mafft.clipkit.iqtree	2.7336	0.0	0.0
fungi	878143at2759.faa.mafft.clipkit.iqtree	2.9641	0.2461	0.08302688843156439
fungi	1247641at2759.faa.mafft.clipkit.iqtree	4.7409	0.2196	0.04632031892678605
fungi	722805at2759.faa.mafft.clipkit.iqtree	4.1285	0.1841	0.04459246699769893
fungi	1260807at2759.faa.mafft.clipkit.iqtree	2.502	0.1296	0.051798561151079135
fungi	1001705at2759.faa.mafft.clipkit.iqtree	3.3269	0.2287	0.06874267335958399
fungi	844748at2759.faa.mafft.clipkit.iqtree	2.1842	0.0	0.0
fungi	1217666at2759.faa.mafft.clipkit.iqtree	2.2571	0.1855	0.08218510478047052
fungi	1338131at2759.faa.mafft.clipkit.iqtree	1.7548	0.0712	0.040574424435833145
fungi	768809at2759.faa.mafft.clipkit.iqtree	2.3846	0.1151	0.048268053342279627
fungi	179362at2759.faa.mafft.clipkit.iqtree	5.151	0.2685	0.05212580081537566
fungi	1057950at2759.faa.mafft.clipkit.iqtree	4.2557	0.398	0.09352162981413165
fungi	457861at2759.faa.mafft.clipkit.iqtree	3.3667	0.2135	0.06341521371075534
fungi	1032689at2759.faa.mafft.clipkit.iqtree	3.2558	0.1494	0.04588733951716936
fungi	176625at2759.faa.mafft.clipkit.iqtree	4.1953	0.1172	0.02793602364550807
fungi	751335at2759.faa.mafft.clipkit.iqtree	4.8309	0.2313	0.04787927715332547
fungi	1304061at2759.faa.mafft.clipkit.iqtree	2.0813	0.0561	0.026954307404026327
fungi	924753at2759.faa.mafft.clipkit.iqtree	3.6002	0.1675	0.04652519304483085
fungi	1552706at2759.faa.mafft.clipkit.iqtree	3.2964	0.3338	0.10126198276908141
fungi	1620056at2759.faa.mafft.clipkit.iqtree	3.3006	0.1906	0.05774707628915954
fungi	1488235at2759.faa.mafft.clipkit.iqtree	2.6462	0.24	0.09069609251001436
fungi	1309031at2759.faa.mafft.clipkit.iqtree	3.2278	0.2158	0.06685668257017163
fungi	664730at2759.faa.mafft.clipkit.iqtree	1.6838	0.0735	0.04365126499584274
fungi	817008at2759.faa.mafft.clipkit.iqtree	1.4385	0.0548	0.0380952380952381
fungi	866359at2759.faa.mafft.clipkit.iqtree	1.6962	0.0416	0.024525409739417522
fungi	1513531at2759.faa.mafft.clipkit.iqtree	4.6605	0.0004	8.58277008904624e-05
fungi	1348942at2759.faa.mafft.clipkit.iqtree	3.7713	0.2843	0.07538514570572481
fungi	1076134at2759.faa.mafft.clipkit.iqtree	2.0681	0.1096	0.05299550311880471
fungi	1087488at2759.faa.mafft.clipkit.iqtree	3.6353	0.2633	0.07242868539047671
fungi	1269244at2759.faa.mafft.clipkit.iqtree	5.2447	0.4776	0.09106335920071693
fungi	1129824at2759.faa.mafft.clipkit.iqtree	3.5612	0.3021	0.08483095585757609
fungi	513979at2759.faa.mafft.clipkit.iqtree	3.7967	0.1867	0.04917428292991282
fungi	671536at2759.faa.mafft.clipkit.iqtree	2.6888	0.1364	0.050728949717346025
fungi	1488436at2759.faa.mafft.clipkit.iqtree	3.7242	0.3019	0.08106438966757962
fungi	97116at2759.faa.mafft.clipkit.iqtree	3.0256	0.0872	0.02882072977260709
fungi	1157302at2759.faa.mafft.clipkit.iqtree	0.6982	0.053	0.07590948152391865
fungi	901894at2759.faa.mafft.clipkit.iqtree	3.427	0.1192	0.034782608695652174
fungi	1593937at2759.faa.mafft.clipkit.iqtree	4.797	0.106	0.022097144048363562
fungi	83779at2759.faa.mafft.clipkit.iqtree	3.5944	0.1921	0.053444246605831296
fungi	1193442at2759.faa.mafft.clipkit.iqtree	2.8731	0.1281	0.044585987261146494
fungi	1003258at2759.faa.mafft.clipkit.iqtree	3.3242	0.1726	0.05192226701161182
fungi	1182451at2759.faa.mafft.clipkit.iqtree	3.8749	0.2504	0.06462102247799943
fungi	621827at2759.faa.mafft.clipkit.iqtree	2.7323	0.1155	0.042272078468689384
fungi	1257440at2759.faa.mafft.clipkit.iqtree	2.4078	0.126	0.052329927734861705
fungi	1430056at2759.faa.mafft.clipkit.iqtree	3.0962	0.2534	0.08184225825205091
fungi	392369at2759.faa.mafft.clipkit.iqtree	1.4443	0.0706	0.048881811258048885
fungi	1108845at2759.faa.mafft.clipkit.iqtree	1.7405	0.0	0.0
fungi	625387at2759.faa.mafft.clipkit.iqtree	3.6309	0.0	0.0
fungi	1504863at2759.faa.mafft.clipkit.iqtree	2.7196	0.0795	0.02923224003529931
fungi	1380409at2759.faa.mafft.clipkit.iqtree	2.7568	0.0	0.0
fungi	687505at2759.faa.mafft.clipkit.iqtree	2.7183	0.2189	0.08052827134606187
fungi	774318at2759.faa.mafft.clipkit.iqtree	4.4117	0.1703	0.03860189949452592
fungi	1588798at2759.faa.mafft.clipkit.iqtree	3.4246	0.2359	0.06888395725048181
fungi	1041560at2759.faa.mafft.clipkit.iqtree	2.5046	0.1094	0.04367962948175357
fungi	975557at2759.faa.mafft.clipkit.iqtree	4.1514	0.1952	0.04702028231439997
fungi	341721at2759.faa.mafft.clipkit.iqtree	4.2357	0.2002	0.04726491489010081
fungi	1173229at2759.faa.mafft.clipkit.iqtree	2.9948	0.0	0.0
fungi	1538526at2759.faa.mafft.clipkit.iqtree	2.1139	0.1735	0.08207578409574719
fungi	1342242at2759.faa.mafft.clipkit.iqtree	4.4204	0.226	0.05112659487829156
fungi	692986at2759.faa.mafft.clipkit.iqtree	5.1461	0.4585	0.08909659742329143
fungi	1530008at2759.faa.mafft.clipkit.iqtree	1.2178	0.0744	0.061093775661028075
fungi	918816at2759.faa.mafft.clipkit.iqtree	3.7669	0.1299	0.034484589450211045
fungi	1128607at2759.faa.mafft.clipkit.iqtree	1.7752	0.092	0.051825146462370436
fungi	1405146at2759.faa.mafft.clipkit.iqtree	4.9662	0.4219	0.08495429100720873
fungi	905026at2759.faa.mafft.clipkit.iqtree	3.4677	0.209	0.060270496294373796
fungi	1096688at2759.faa.mafft.clipkit.iqtree	1.9089	0.1607	0.08418460893708418
fungi	1405073at2759.faa.mafft.clipkit.iqtree	1.0934	0.1218	0.11139564660691423
fungi	855834at2759.faa.mafft.clipkit.iqtree	5.0071	0.2527	0.05046833496435062
fungi	1358374at2759.faa.mafft.clipkit.iqtree	2.0416	0.0631	0.03090713166144201
fungi	464990at2759.faa.mafft.clipkit.iqtree	2.4538	0.0927	0.03777814002771212
fungi	887370at2759.faa.mafft.clipkit.iqtree	3.5385	0.1463	0.04134520276953512
fungi	604979at2759.faa.mafft.clipkit.iqtree	1.6786	0.0	0.0
fungi	1324510at2759.faa.mafft.clipkit.iqtree	3.7251	0.2506	0.06727336178894526
fungi	1558822at2759.faa.mafft.clipkit.iqtree	1.1013	0.0	0.0
fungi	1377237at2759.faa.mafft.clipkit.iqtree	2.7935	0.0	0.0
fungi	836599at2759.faa.mafft.clipkit.iqtree	3.2007	0.1884	0.05886212391039461
fungi	1194797at2759.faa.mafft.clipkit.iqtree	2.85	0.1227	0.04305263157894737
fungi	1314980at2759.faa.mafft.clipkit.iqtree	2.6806	0.0	0.0
fungi	1525971at2759.faa.mafft.clipkit.iqtree	3.6397	0.3933	0.10805835645794983
fungi	679771at2759.faa.mafft.clipkit.iqtree	2.4505	0.0	0.0
fungi	974865at2759.faa.mafft.clipkit.iqtree	2.505	0.1357	0.05417165668662675
fungi	734666at2759.faa.mafft.clipkit.iqtree	1.7911	0.0889	0.04963430294232595
fungi	1178688at2759.faa.mafft.clipkit.iqtree	3.4052	0.2056	0.06037824503700224
fungi	166920at2759.faa.mafft.clipkit.iqtree	3.0909	0.1156	0.037400110000323526
fungi	834694at2759.faa.mafft.clipkit.iqtree	3.3762	0.2642	0.07825365795865175
fungi	1115196at2759.faa.mafft.clipkit.iqtree	3.1021	0.2512	0.08097740240482253
fungi	1025450at2759.faa.mafft.clipkit.iqtree	3.0617	0.2461	0.0803801809452265
fungi	1459797at2759.faa.mafft.clipkit.iqtree	3.4726	0.2246	0.06467776305937914
fungi	320059at2759.faa.mafft.clipkit.iqtree	0.8498	0.0344	0.040480112967757116
fungi	1094121at2759.faa.mafft.clipkit.iqtree	4.1812	0.2696	0.06447909690997801
fungi	1030907at2759.faa.mafft.clipkit.iqtree	4.5706	0.1842	0.04030105456614012
fungi	976469at2759.faa.mafft.clipkit.iqtree	1.7864	0.0	0.0
fungi	1322642at2759.faa.mafft.clipkit.iqtree	1.7299	0.0	0.0
fungi	1323575at2759.faa.mafft.clipkit.iqtree	2.7846	0.1619	0.058141205200028724
fungi	917326at2759.faa.mafft.clipkit.iqtree	2.7312	0.0462	0.016915641476274165
fungi	1633672at2759.faa.mafft.clipkit.iqtree	1.437	0.1181	0.08218510786360472
fungi	1138059at2759.faa.mafft.clipkit.iqtree	1.9559	0.1593	0.081445881691293
fungi	1019762at2759.faa.mafft.clipkit.iqtree	4.806	0.1421	0.029567207657095296
fungi	1355894at2759.faa.mafft.clipkit.iqtree	2.8445	0.2603	0.09150993144665143
fungi	156083at2759.faa.mafft.clipkit.iqtree	0.8477	0.0	0.0
fungi	1322299at2759.faa.mafft.clipkit.iqtree	3.4311	0.136	0.03963743405904813
fungi	325552at2759.faa.mafft.clipkit.iqtree	2.6612	0.1334	0.05012776191191943
fungi	736068at2759.faa.mafft.clipkit.iqtree	3.9598	0.1173	0.02962270821758675
fungi	673132at2759.faa.mafft.clipkit.iqtree	1.9218	0.0939	0.048860443334374025
fungi	996662at2759.faa.mafft.clipkit.iqtree	2.5756	0.1387	0.05385152974064295
fungi	1404162at2759.faa.mafft.clipkit.iqtree	4.5209	0.2076	0.04592006016501139
fungi	1259741at2759.faa.mafft.clipkit.iqtree	3.3458	0.2174	0.06497698607209039
fungi	898782at2759.faa.mafft.clipkit.iqtree	4.366	0.2279	0.05219880897847
fungi	1079130at2759.faa.mafft.clipkit.iqtree	1.9602	0.1385	0.07065605550454036
fungi	1346165at2759.faa.mafft.clipkit.iqtree	3.0214	0.1647	0.054511153769775604
fungi	814241at2759.faa.mafft.clipkit.iqtree	3.6122	0.1789	0.04952660428547699
fungi	1220881at2759.faa.mafft.clipkit.iqtree	2.8355	0.1194	0.042108975489331686
fungi	1161199at2759.faa.mafft.clipkit.iqtree	4.4833	0.3852	0.08591885441527446
fungi	1106766at2759.faa.mafft.clipkit.iqtree	1.6319	0.0	0.0
fungi	1370285at2759.faa.mafft.clipkit.iqtree	5.7763	0.2559	0.04430171563111335
fungi	296129at2759.faa.mafft.clipkit.iqtree	1.6858	0.0856	0.05077707913156958
fungi	271586at2759.faa.mafft.clipkit.iqtree	4.9254	0.2337	0.04744792301132903
fungi	1112002at2759.faa.mafft.clipkit.iqtree	2.7029	0.0871	0.032224647600725145
fungi	1111142at2759.faa.mafft.clipkit.iqtree	4.061	0.0	0.0
fungi	1567796at2759.faa.mafft.clipkit.iqtree	2.2585	0.1828	0.08093867611246401
fungi	551907at2759.faa.mafft.clipkit.iqtree	3.7379	0.1717	0.04593488322320019
fungi	1576404at2759.faa.mafft.clipkit.iqtree	2.9553	0.3797	0.12848103407437486
fungi	1291729at2759.faa.mafft.clipkit.iqtree	2.843	0.151	0.0531129088990503
fungi	1228942at2759.faa.mafft.clipkit.iqtree	2.3163	0.176	0.07598324914734705
fungi	1090038at2759.faa.mafft.clipkit.iqtree	2.749	0.0	0.0
fungi	1079827at2759.faa.mafft.clipkit.iqtree	1.1291	0.0914	0.0809494287485608
fungi	1233814at2759.faa.mafft.clipkit.iqtree	2.4572	0.0497	0.020226273807585873
fungi	973442at2759.faa.mafft.clipkit.iqtree	3.6616	0.0791	0.02160257810793096
fungi	39650at2759.faa.mafft.clipkit.iqtree	2.9087	0.1343	0.046171829339567504
fungi	1038775at2759.faa.mafft.clipkit.iqtree	1.6704	0.0	0.0
fungi	1364586at2759.faa.mafft.clipkit.iqtree	2.5233	0.0	0.0
fungi	1200489at2759.faa.mafft.clipkit.iqtree	2.8057	0.1058	0.03770894963823645
fungi	1450538at2759.faa.mafft.clipkit.iqtree	3.2237	0.2188	0.06787232062536837
fungi	865202at2759.faa.mafft.clipkit.iqtree	3.4285	0.09	0.026250546886393465
fungi	1339553at2759.faa.mafft.clipkit.iqtree	7.5683	0.2316	0.030601323943289776
fungi	270107at2759.faa.mafft.clipkit.iqtree	3.3723	0.1334	0.03955757198351273
fungi	734341at2759.faa.mafft.clipkit.iqtree	3.7129	0.1881	0.05066120821998976
fungi	1236198at2759.faa.mafft.clipkit.iqtree	1.752	0.0307	0.01752283105022831
fungi	779909at2759.faa.mafft.clipkit.iqtree	1.1151	0.1372	0.12303829252981795
