cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
NT-I6	rest	2	SSBP1	4.1289883	4.019512	4.6867059387663865e-05	0.17146807192149735
NT-I6	rest	3	SLC25A6	4.0777907	1.6832302	5.768965326654802e-05	0.17146807192149735
NT-I6	rest	4	MPC1	3.8321104	1.14399	0.00015399581393204262	0.2566529837295801
NT-I6	rest	5	SUB1	3.825623	4.302829	0.00015761932548404646	0.2566529837295801
NT-I6	rest	6	LSM5	3.7609572	2.257074	0.00020241187176261183	0.2566529837295801
NT-I6	rest	7	RANBP1	3.74066	6.064331	0.00021849239827443774	0.2566529837295801
NT-I6	rest	8	SF3B5	3.7215464	1.6670047	0.00023536439161573618	0.2566529837295801
NT-I6	rest	9	ESD	3.7024586	1.1770927	0.00025312916858452296	0.2566529837295801
NT-I7	rest	0	NOL7	4.348975	2.1980052	1.8835437212896416e-05	0.22393451302412548
NT-I7	rest	1	TOMM6	3.9701858	4.2843547	9.014283279170037e-05	0.5358540695302628
NT-I7	rest	2	PTMA	3.851598	8.383044	0.00014427752056383236	0.5717718139944676
NT-I7	rest	3	HSP90AA1	3.7743475	10.756162	0.00019371631696975768	0.5757733231133623
NT-I7	rest	4	HSP90AB1	3.541864	8.826413	0.0004611875764375449	0.5996887661100703
NT-I7	rest	5	PTGES3	3.5377078	2.4444695	0.0004679754712782453	0.5996887661100703
NT-I7	rest	6	NPM1	3.5320585	7.427505	0.0004776522985331031	0.5996887661100703
NT-I7	rest	7	DCTPP1	3.5064945	1.1156378	0.0005245773155281045	0.5996887661100703
NT-I7	rest	8	PDAP1	3.4843085	1.3624604	0.0005685968190983891	0.5996887661100703
NT-I7	rest	9	LDHA	3.4642699	2.5351143	0.0006096937160919485	0.5996887661100703
NT-I8	rest	0	BAMBI	3.0540264	1.5358436	0.002721864712303965	0.9995140486598643
NT-I8	rest	1	HMGN5	2.5379252	1.2329527	0.012128421283932626	0.9995140486598643
NT-I8	rest	2	CYBA	2.5241535	1.8203077	0.012561615198509441	0.9995140486598643
NT-I8	rest	3	HDAC9	2.415616	2.0157967	0.017242891815668036	0.9995140486598643
NT-I8	rest	4	MGST1	2.3846858	1.1367053	0.0182652158807603	0.9995140486598643
NT-I8	rest	5	PAAF1	2.3676736	1.108924	0.01921586746477644	0.9995140486598643
NT-I8	rest	6	NABP2	2.2950976	0.9470709	0.02305632694647743	0.9995140486598643
NT-I8	rest	7	RPSA	2.2280319	5.484319	0.027343740509519345	0.9995140486598643
NT-I8	rest	8	MRPL39	2.2150545	0.8451799	0.02816209422951206	0.9995140486598643
NT-I8	rest	9	RBBP4	2.1811879	0.8602509	0.030685960454493334	0.9995140486598643
NT-I9	rest	0	PTGES3	3.0447478	2.532366	0.002632700055949046	0.9995499422773412
NT-I9	rest	1	DNAJC2	3.04049	1.2702965	0.002670397759777354	0.9995499422773412
NT-I9	rest	2	ANP32B	2.9871805	4.102569	0.003157765380157904	0.9995499422773412
NT-I9	rest	3	ENO1	2.8753948	3.1287427	0.0044592150176564534	0.9995499422773412
NT-I9	rest	4	HNRNPC	2.7409294	1.7601027	0.006665296378894762	0.9995499422773412
NT-I9	rest	5	PTMA	2.7381666	7.4489264	0.006720688689851787	0.9995499422773412
NT-I9	rest	6	PSMD7	2.7363656	1.4045342	0.006761697765456841	0.9995499422773412
NT-I9	rest	7	SVBP	2.734331	0.9586928	0.006825073757291506	0.9995499422773412
NT-I9	rest	8	OST4	2.7160182	1.5790676	0.007169222754510344	0.9995499422773412
NT-I9	rest	9	TMA7	2.6377828	1.666628	0.008981997023566243	0.9995499422773412
NT-I10	rest	0	RPS6	5.3323665	8.592256	1.4164538769396287e-07	0.0016840220142935246
NT-I10	rest	1	LDHA	5.0812626	2.8643785	5.159743992606312e-07	0.001979250764413767
NT-I10	rest	2	LDHB	5.0140853	3.0250032	7.197460118265793e-07	0.001979250764413767
NT-I10	rest	3	RPS23	5.005931	16.161636	7.489655449496932e-07	0.001979250764413767
NT-I10	rest	4	HMGB1	4.970811	4.316619	8.911778269546768e-07	0.001979250764413767
NT-I10	rest	5	PRDX1	4.930837	3.7204444	1.0876553345544245e-06	0.001979250764413767
NT-I10	rest	6	RPS2	4.8567085	16.452005	1.558757153724224e-06	0.001979250764413767
NT-I10	rest	7	CACYBP	4.8406415	1.7936344	1.6823692527578086e-06	0.001979250764413767
NT-I10	rest	8	NPM1	4.8369627	7.599517	1.713356765210137e-06	0.001979250764413767
NT-I10	rest	9	C1QBP	4.833681	2.1332388	1.7434501457465566e-06	0.001979250764413767
guide1	rest	0	HSP90AA1	4.0314603	9.703389	6.649835936785599e-05	0.2635329981748133
guide1	rest	1	GPATCH4	3.8457782	1.2593163	0.0001422418894589598	0.4227784559443933
guide1	rest	2	YBX1	3.7192235	4.378397	0.00022871013814393184	0.46948365102423517
guide1	rest	3	GAL	3.6419723	1.4443727	0.00030911756135570674	0.4821819348203151
guide1	rest	4	C19orf53	3.6273992	1.4035047	0.00032445583973105566	0.4821819348203151
guide1	rest	5	PSMB3	3.4244847	1.6962296	0.0006804102217223849	0.8988219028952705
guide1	rest	6	HBA1	3.3678696	9.1199665	0.000833327351617375	0.9272565451490133
guide1	rest	7	HSPE1	3.359097	3.0883942	0.0008579209350356756	0.9272565451490133
guide1	rest	8	HDGF	3.27894	1.0513328	0.0011369956401790552	0.9989832161802307
guide1	rest	9	RPL34	3.230325	6.0259213	0.0013398448032976174	0.9989832161802307
guide2	rest	0	SMIM4	5.950533	1.6371984	6.558981235068172e-09	3.299554968401637e-05
guide2	rest	1	ZNF480	5.9102254	1.6407403	8.325902014639507e-09	3.299554968401637e-05
guide2	rest	2	NME2	5.096628	7.234628	5.360261925587739e-07	0.001593203850832816
guide2	rest	3	OST4	4.9507985	2.086023	1.095226159642435e-06	0.0026042287623977817
guide2	rest	4	UBE2L3	4.8159018	3.477186	2.0883049301575383e-06	0.004137976219107162
guide2	rest	5	MICOS13	4.7438354	1.4864436	2.932906118476906e-06	0.004981331548938848
guide2	rest	6	ATP5PF	4.609987	4.9540167	5.449776078663381e-06	0.008099048474903617
guide2	rest	7	RANBP1	4.578709	6.5669427	6.280992677887346e-06	0.008297191327489184
guide2	rest	8	UFM1	4.5212836	1.2150558	8.177911352588262e-06	0.009189840105064274
guide2	rest	9	TIMM50	4.4961295	1.1657003	9.147170160933491e-06	0.009189840105064274
guide3	rest	0	GABPB1-AS1	3.0122783	2.8269486	0.00488245500037805	0.3236149569986988
guide3	rest	1	LINC01089	2.6274507	2.5540235	0.013114329700969051	0.4431990974076817
guide3	rest	2	NEAT1	2.5463476	6.195191	0.01545261611046762	0.46986228372723665
guide3	rest	3	ACRBP	2.4782982	3.0679114	0.018653581196670297	0.5052651705512269
guide3	rest	4	SERPINB6	2.4592013	2.4505365	0.018911851366413993	0.5052651705512269
guide3	rest	5	APOC1	2.4422622	2.8330255	0.019387278584850107	0.5092673327612843
guide3	rest	6	TCTEX1D2	2.3461983	1.7555381	0.023996577234242165	0.5539714693939904
guide3	rest	7	HIST1H4H	2.2609625	2.410557	0.03023587287922756	0.5905341334908422
guide3	rest	8	LY86-AS1	2.2372897	3.6161697	0.03407583571679939	0.6060937128325388
guide3	rest	9	HIST3H2A	2.2324321	3.0227542	0.034019891945633214	0.6060937128325388
guide4	rest	0	GABPB1-AS1	4.1188807	1.9326302	6.931737547823585e-05	0.0008918985682475607
guide4	rest	1	IER3-AS1	3.0887241	3.1630208	0.002778697061951911	0.019019128635445838
guide4	rest	2	TP53TG1	2.938655	1.9594849	0.004080893482586391	0.026033471610566447
guide4	rest	3	TRAPPC6A	2.9250324	1.5721282	0.0041309111432551665	0.02624927984081276
guide4	rest	4	SPINT1	2.8355572	3.8359497	0.005810686067817911	0.03430151274095687
guide4	rest	5	SPI1	2.8230417	2.8569207	0.005950448386971894	0.03493644128896684
guide4	rest	6	AC108047.1	2.7346723	2.6989222	0.007471050230841017	0.041701087415243594
guide4	rest	7	PPP1R3F	2.6077697	4.7360444	0.011051356119586625	0.057350315541582444
guide4	rest	8	VPS13B-DT	2.5683942	2.1260872	0.011696957740628922	0.060117011053831625
guide4	rest	9	ATP6V0E2	2.5555763	2.168052	0.012239627416072903	0.06210709788719195
guide5	rest	0	PVT1	8.096363	3.1307614	2.7863105169578895e-14	6.625289147222469e-11
guide5	rest	1	MT-CO2	5.0702796	58.141598	6.487040045509044e-07	0.000100161583248126
guide5	rest	2	BLVRB	5.017957	5.4954424	8.489810326931531e-07	0.00012016113687724877
guide5	rest	3	ARL2	3.845584	1.0831487	0.00014407592922367215	0.007479994421573092
guide5	rest	4	HIST1H1C	3.7404356	10.556238	0.0002146328398999022	0.010166413679561503
guide5	rest	5	RHCE	3.4980457	1.1648248	0.0005336896301530482	0.020735411806828724
guide5	rest	6	UROS	3.485429	1.1882408	0.0005666596641512611	0.02159300239453315
guide5	rest	7	GYPC	3.4751108	1.8788745	0.0005768589675036674	0.02170340590079463
guide5	rest	8	PNMT	3.4182012	1.4046351	0.0007200733728669151	0.026021131702172504
guide5	rest	9	STAT3	3.3563657	1.1180115	0.0008915121904714815	0.030847403076991863
guide6	rest	0	TAF9	5.4866	1.9817142	1.0710038717476373e-07	0.001273316503120766
guide6	rest	1	SCG3	5.213536	3.52859	4.3203724146986156e-07	0.002568245381917592
guide6	rest	2	COX20	4.8481126	1.9489973	2.230670502126814e-06	0.008840147199928565
guide6	rest	3	FCGR2A	4.6927733	1.9888046	4.890571004664629e-06	0.014535999668614444
guide6	rest	4	PHF19	4.423394	2.645717	1.4643511102550723e-05	0.03481934069964511
guide6	rest	5	RNASET2	4.3045907	2.2347012	2.4557107528165668e-05	0.04865990856706027
guide6	rest	6	MT-ND2	4.2387204	19.193218	3.2007392079909826e-05	0.054362269205435416
guide6	rest	7	ID1	4.1879992	2.6389823	4.508153686090644e-05	0.06699679896741459
guide6	rest	8	SH3BGRL3	4.0822487	3.2720761	6.124898684733171e-05	0.0756608088488628
guide6	rest	9	SLC30A5	4.0707107	1.2899112	6.363933791644612e-05	0.0756608088488628
guide7	rest	0	SNHG30	4.23182	1.0945375	2.8792130201861115e-05	0.05049680242064028
guide7	rest	1	SNHG4	3.8674057	1.0094824	0.0001285315648158813	0.1528111774096013
guide7	rest	2	DIDO1	3.8028398	1.2484181	0.0001674597488593119	0.1738226135024173
guide7	rest	3	DANCR	3.783337	1.8506416	0.00017758157516012353	0.1738226135024173
guide7	rest	4	C6orf52	3.7716355	1.4235923	0.00019006594125085583	0.1738226135024173
guide7	rest	5	MAT2A	3.7194467	1.091627	0.0002286510986688793	0.19417377943387898
guide7	rest	6	CUTA	3.6995807	1.2285866	0.0002451274726281661	0.19428803480508444
guide7	rest	7	SNHG3	3.5934417	1.2195649	0.0003670864899789413	0.24246062663109072
guide7	rest	8	MICOS10	3.5442178	1.8117212	0.0004386824567088354	0.26077478639056717
guide7	rest	9	STUB1	3.4548123	1.1645082	0.000610530961683433	0.3299364819751971
guide8	rest	0	RPS3	4.3791738	15.982798	1.911863339891113e-05	0.11365071623982721
guide8	rest	1	ZFAS1	4.177621	4.3687105	4.3831759655159396e-05	0.17370526351339668
guide8	rest	2	RPL26	3.7639356	10.521944	0.00021924830232210028	0.41854139964120135
guide8	rest	3	MT-CO3	3.7624016	57.266155	0.00022093768043627624	0.41854139964120135
guide8	rest	4	HIST1H1C	3.7071564	14.106608	0.0002721555389172664	0.41854139964120135
guide8	rest	5	RPL13A	3.6639917	11.642632	0.00031738658761408414	0.41854139964120135
guide8	rest	6	GAS5	3.6520023	2.9245372	0.00033157464199424233	0.41854139964120135
guide8	rest	7	SNHG32	3.6416667	1.3117194	0.0003449031078296025	0.41854139964120135
guide8	rest	8	PGLS	3.6034653	1.411173	0.00041047786686976317	0.41854139964120135
guide8	rest	9	RPS19	3.590386	13.965242	0.000414731254229586	0.41854139964120135
guide9	rest	0	TCF4	2.634414	1.5431334	0.010020254919403731	0.5886922233146402
guide9	rest	1	CYP3A5	2.3450384	1.9258832	0.021448350151908543	0.6992138545679145
guide9	rest	2	HIST3H2A	2.305665	1.4194847	0.023554667425547775	0.7162185192387148
guide9	rest	3	AC080013.1	2.1354437	4.1759586	0.03737192747125758	0.7922105618237368
guide9	rest	4	DOK3	2.09999	2.355594	0.039594686839668054	0.7926285295219518
guide9	rest	5	SERPINB6	2.0715356	1.4157025	0.041551575787073226	0.7991750113432724
guide9	rest	6	COL1A1	2.0386217	4.9538674	0.04685639859993365	0.8090030737724523
guide9	rest	7	HIST1H2AC	1.9874184	1.9654564	0.049787113543154814	0.8090030737724523
guide9	rest	8	FRG1	1.9780027	0.93522996	0.050857579614456715	0.8090030737724523
guide9	rest	9	HELLS	1.929399	1.1608728	0.05703518817003998	0.8202861045144813
guide10	rest	0	ESCO2	2.1201117	2.138317	0.04424498261422566	0.9790845717548319
guide10	rest	1	STX12	1.968069	2.013775	0.05933761419571887	0.9790845717548319
guide10	rest	2	FAM217B	1.7591114	1.8705178	0.09088614764334194	0.9790845717548319
guide10	rest	3	STRN4	1.6877495	1.7532046	0.1031466307142546	0.9790845717548319
guide10	rest	4	ETFB	1.6801084	1.7712859	0.10378950085021203	0.9790845717548319
guide10	rest	5	ENSA	1.6735737	1.5530357	0.10487137301939374	0.9790845717548319
guide10	rest	6	SHB	1.657371	3.2828567	0.11563554613373092	0.9790845717548319
guide10	rest	7	AC090517.2	1.6208782	3.6508133	0.12249682334405096	0.9790845717548319
guide10	rest	8	PEX2	1.6142621	1.6726989	0.1189091107053103	0.9790845717548319
guide10	rest	9	MUS81	1.6138731	1.6467253	0.11823173939082421	0.9790845717548319
guide11	rest	0	DPCD	4.5504827	1.9408478	8.613115407552476e-06	0.034133776360130465
guide11	rest	1	CETN2	3.8518403	1.2592336	0.00014423835330216247	0.18383995650855933
guide11	rest	2	MORN2	3.8178806	1.2504154	0.0001652620817242248	0.18383995650855933
guide11	rest	3	C9orf116	3.2147238	1.9454716	0.0015062641130985654	0.73677440152762
guide11	rest	4	SPA17	3.1814744	1.2237753	0.0016292292294321656	0.73677440152762
guide11	rest	5	UBXN11	3.1721594	2.0202005	0.0017199087347998824	0.73677440152762
guide11	rest	6	CCDC34	3.1592326	1.015973	0.0017511424848494805	0.73677440152762
guide11	rest	7	RPA3	2.6909664	0.95640284	0.007511213568376444	0.9998341745097661
guide11	rest	8	NRAV	2.5644026	1.5798172	0.010888425505256115	0.9998341745097661
guide11	rest	9	DYNC2LI1	2.485611	1.035174	0.01348542050943556	0.9998341745097661
guide12	rest	0	MT-CYB	2.7630372	41.36375	0.00911884147345714	0.4319279134578962
guide12	rest	1	NIBAN1	2.5495386	3.5614378	0.01794833603647289	0.5413337519757808
guide12	rest	2	DLX2	2.175719	4.49029	0.041235915005126036	0.746752880769805
guide12	rest	3	MT-ND3	2.0579193	40.6273	0.047324890056696024	0.7909463101325171
guide12	rest	4	CALB1	2.0406804	3.740331	0.05221008825361351	0.821065792655041
guide12	rest	5	TMSB4X	1.937321	7.3037477	0.060409094404791024	0.8508677265517143
guide12	rest	6	DOCK11	1.9083064	1.8891634	0.06521498966345574	0.862448289331285
guide12	rest	7	TNNI3	1.8715643	2.9915152	0.07004574856245356	0.8925685878340994
guide12	rest	8	FICD	1.8705082	3.5382009	0.07405188173321292	0.9043376706666871
guide12	rest	9	LGALS1	1.8503621	3.7767498	0.07282392815388937	0.9009403556936427
guide13	rest	0	TMBIM6	8.674816	6.1147604	1.414100235709326e-14	1.6812237702348178e-10
guide13	rest	1	CD55	8.265709	5.4316397	7.030697286723407e-13	4.17939800209273e-09
guide13	rest	2	VMA21	7.9304338	6.4229665	3.0490074472881565e-12	1.2083216513602965e-08
guide13	rest	3	IER3IP1	6.936808	3.3515623	1.765618038755275e-10	3.498572143793578e-07
guide13	rest	4	SYPL1	6.7413464	3.6015143	5.313748947446522e-10	7.896895154523963e-07
guide13	rest	5	SPCS3	6.657172	4.93561	1.1978242554794899e-09	1.582325841488406e-06
guide13	rest	6	MAP1LC3B	6.5201144	3.8998606	1.7734699922586351e-09	2.1084784737962914e-06
guide13	rest	7	NDFIP1	6.4005	3.610629	4.0992027130773385e-09	4.430492823252407e-06
guide13	rest	8	LAMP2	6.2929425	2.864641	5.46421044796556e-09	5.413666501321879e-06
guide13	rest	9	ARL8B	6.198705	3.2678108	1.1320496582686967e-08	1.0353029528581949e-05
guide14	rest	0	PVT1	4.669987	3.1373048	1.211418648024319e-05	0.011078889466431638
guide14	rest	1	OAT	4.2395287	2.7047331	5.2741337929060394e-05	0.019787650663634016
guide14	rest	2	SLC25A37	3.0999553	2.9508111	0.0025332884563196794	0.13048316740891053
guide14	rest	3	DHRS4-AS1	3.0062888	2.6589074	0.00361507499896	0.1555367521020242
guide14	rest	4	LY86-AS1	2.931138	2.9515898	0.004530582008590193	0.17545306026100588
guide14	rest	5	HIST1H2BG	2.6715384	1.9466671	0.008946258369097881	0.2382304028726721
guide14	rest	6	TMEM9	2.6709197	1.5411447	0.00905341360579991	0.23972390725914283
guide14	rest	7	AL662890.1	2.6247454	3.4378211	0.010850581201680058	0.2580406816919374
guide14	rest	8	PBX1	2.6123605	2.3354065	0.010835104779741176	0.2580406816919374
guide14	rest	9	PDCD4	2.602219	1.7682029	0.010919672311081338	0.258613514156267
guide15	rest	0	TXNIP	2.3954515	1.8356369	0.01866373362653511	0.41658975309572466
guide15	rest	1	PMS1	2.034418	1.3870989	0.04483415543115194	0.6353970737799189
guide15	rest	2	AC017083.1	1.9585879	2.106626	0.05374112685248447	0.6697361186050188
guide15	rest	3	JUN	1.868676	1.234717	0.06472247339676711	0.7095781119643351
guide15	rest	4	RNF217	1.8590989	1.112532	0.06579617304536443	0.7170033926089255
guide15	rest	5	DNA2	1.8134643	1.3945248	0.07303196152592305	0.7332024897807571
guide15	rest	6	HBQ1	1.7914158	0.8825534	0.07605930872120004	0.7413077213959673
guide15	rest	7	SMARCAL1	1.777302	1.3748853	0.07885410278753975	0.7491935159700074
guide15	rest	8	RPARP-AS1	1.7753692	1.2314557	0.07895865720501466	0.7491935159700074
guide15	rest	9	G0S2	1.7642194	2.2025433	0.08182486002032538	0.7524981622835567
guide16	rest	0	LINC00891	2.490948	2.658382	0.015642211371140153	0.13526978103949297
guide16	rest	1	S100A10	2.3236916	2.1046915	0.02309956660494474	0.17370698758139658
guide16	rest	2	SNHG32	2.254138	1.7678721	0.027855655511148762	0.19446617050619358
guide16	rest	3	GAS5	2.2301102	5.031596	0.02999243692642569	0.20315998882073127
guide16	rest	4	RABAC1	2.1108952	1.3997036	0.038114111157996226	0.23988283089328596
guide16	rest	5	ZNF493	1.9932092	1.7944853	0.05068341760281435	0.2840408143991171
guide16	rest	6	YPEL3	1.9558647	2.4015758	0.055801887427839196	0.29803622624868836
guide16	rest	7	TXNIP	1.9112434	1.3820416	0.05966325839118053	0.311092340239157
guide16	rest	8	EIF1B-AS1	1.7784996	2.8155951	0.08157553387810146	0.3734507209382935
guide16	rest	9	FAM241B	1.7221451	3.1129777	0.09136063843532856	0.39548616864661473
guide17	rest	0	HBZ	3.5183377	159.84763	0.0009112755312897314	0.022155735769946047
guide17	rest	1	NUSAP1	2.172657	1.9717921	0.0349447502107109	0.2234847419339117
guide17	rest	2	LINC01963	2.0768402	4.1077337	0.04682727244299963	0.26307836101479765
guide17	rest	3	AOC2	1.9133191	4.0273976	0.06528234881628957	0.31809092011346995
guide17	rest	4	GUCA1B	1.9016169	3.9445212	0.06678267029028304	0.3223626338129009
guide17	rest	5	YPEL5	1.8538524	1.7284169	0.07061220716020003	0.33271722594402087
guide17	rest	6	SLC7A8	1.8159033	1.5420644	0.07562119817574929	0.3438192891330779
guide17	rest	7	CRYL1	1.7744976	3.2270372	0.08535150945423099	0.36673078998964664
guide17	rest	8	STK11	1.7579271	1.3017137	0.0847944995810142	0.36512923053918067
guide17	rest	9	ZDHHC11	1.6464463	4.215582	0.11030261371967962	0.41639678006869874
guide18	rest	0	MALAT1	4.2155294	126.33798	4.69868891081527e-05	0.01771948081990779
guide18	rest	1	MDK	4.0726686	2.8511949	7.314820592114419e-05	0.023775202335228687
guide18	rest	2	AHNAK	3.8571503	2.1813536	0.00017696003928614583	0.04675284237939973
guide18	rest	3	BTG1	3.6881156	1.9912883	0.000316766487230885	0.07685789319771412
guide18	rest	4	G0S2	3.5685494	3.0039659	0.0005097031246244037	0.11340814129128315
guide18	rest	5	RHOBTB3	3.417878	1.6711001	0.0007924140893484479	0.1449386324348261
guide18	rest	6	UBC	3.363646	2.159908	0.0009561301402865297	0.16474538025893554
guide18	rest	7	NEAT1	3.1946883	3.0620477	0.001651513383373642	0.22663751207487157
guide18	rest	8	NMU	3.0075796	3.9625885	0.0029999603384696094	0.3272158574684879
guide18	rest	9	GDF15	2.9886346	2.4903297	0.003384148844610912	0.3624697803025147
guide19	rest	0	VMA21	4.0420156	4.0350823	0.00019320525588102533	0.026402497553672532
guide19	rest	1	CCND2	3.961351	2.700066	0.00023754860949739965	0.02800220444518678
guide19	rest	2	CD164	3.8674922	3.153526	0.00035131642168728753	0.0354997179899083
guide19	rest	3	TNNI3	3.8478053	7.333454	0.0004295964203194605	0.03990212375920364
guide19	rest	4	NDFIP1	3.8230588	2.658911	0.00035233970248205735	0.0354997179899083
guide19	rest	5	CD46	3.8121374	3.4207647	0.00046158206229361497	0.0422134549123753
guide19	rest	6	SOD2	3.4886553	2.366213	0.0009806623456759434	0.06624485583943915
guide19	rest	7	MAPK1	3.407801	3.6821358	0.0014032545451237292	0.08378890147472155
guide19	rest	8	GOLT1B	3.27888	2.3652942	0.0018987945587582696	0.09730503667705633
guide19	rest	9	CD55	3.2697453	2.5517495	0.0019298955774994478	0.0980535406875681
guide20	rest	0	HBZ	3.106657	139.51352	0.0026826129628421485	0.49471484585678466
guide20	rest	1	AP002387.2	2.1282983	1.4133493	0.03667297505072649	0.8400442193557707
guide20	rest	2	NUP50-DT	2.0947952	2.5120854	0.040401832309016214	0.8400442193557707
guide20	rest	3	SRD5A1	1.7786064	1.3378415	0.07928592621011575	0.8983077242698339
guide20	rest	4	RELT	1.7738303	1.9927517	0.0810414142404539	0.8983077242698339
guide20	rest	5	PCGF1	1.7135829	1.5039226	0.09077335034654298	0.8983077242698339
guide20	rest	6	FEZ1	1.7117022	1.7693019	0.09158837991601766	0.8983077242698339
guide20	rest	7	UBE2D1	1.705977	1.3316002	0.09219348656253239	0.8983077242698339
guide20	rest	8	YPEL3	1.6897217	1.9100385	0.09579106654492316	0.8983077242698339
guide20	rest	9	STK4	1.6887748	1.045092	0.09516083962679005	0.8983077242698339
guide21	rest	0	MT-CO3	4.339105	153.23218	6.0122729094179885e-05	0.4502251976359536
guide21	rest	1	HIST1H4H	3.9940498	3.7732737	0.00022217646471125806	0.5282911977904294
