target_gene	k_features	query_guide	norm_pearson	norm_spearman	norm_cosine	norm_score	raw_score
PABPC1	20	guide24	0.36898974	0.31428571	0.15078577	0.27802041	0.38424170
PABPC1	20	guide31	0.06930482	0.13383459	0.56508010	0.25607317	0.50771132
PABPC1	20	guide20	0.17926752	0.00902256	0.54983341	0.24604116	-0.08750863
PABPC1	20	guide8	0.03037791	0.20451128	0.42588337	0.22025752	-0.28137705
PABPC1	20	guide9	0.11962764	0.15939850	0.37017111	0.21639908	0.01434019
PABPC1	20	guide1	-0.18239128	-0.04210526	0.54175473	0.10575273	-0.31378479
PABPC1	20	guide10	-0.06037327	0.04511278	0.25309036	0.07927662	0.09802192
PABPC1	20	guide7	0.07189679	0.06165414	-0.16430328	-0.01025079	0.04633996
PABPC1	20	guide6	0.09601409	0.04060150	-0.40053382	-0.08797274	-0.26572697
PABPC1	20	guide32	-0.36885714	-0.37593985	-0.10111716	-0.28197138	-0.54087301
PABPC1	20	guide2	-0.22247849	-0.20000000	-0.45967559	-0.29405136	0.29786425
PABPC1	50	guide18	0.82619313	0.55687875	0.92736777	0.77014655	0.68374523
PABPC1	50	guide23	0.45177539	0.18857143	0.76056053	0.46696911	0.84710004
PABPC1	50	guide16	0.46270879	0.09877551	0.82629532	0.46259321	0.85117368
PABPC1	50	guide26	0.37911895	0.16974790	0.79260833	0.44715839	0.41221931
PABPC1	50	guide27	0.33034219	0.15102041	0.70534816	0.39557025	0.86918319
PABPC1	50	guide13	0.39956506	0.09531813	0.64917306	0.38135208	0.74519866
PABPC1	50	guide14	0.22136032	0.17454982	0.73554472	0.37715162	0.55762726
PABPC1	50	guide15	0.36769037	-0.01791116	0.72557419	0.35845113	0.78332921
PABPC1	50	guide19	0.37948783	0.03433373	0.64221193	0.35201117	0.74900338
PABPC1	50	guide12	0.29021277	0.02549820	0.68492577	0.33354558	0.84948191
PABPC1	50	guide3	0.32329181	0.08216086	0.59109894	0.33218387	0.78177221
PABPC1	50	guide25	0.22819937	0.00936375	0.75700984	0.33152432	0.38200927
PABPC1	50	guide5	0.16300070	0.15025210	0.67067967	0.32797749	0.36326410
PABPC1	50	guide11	0.25739878	0.02300120	0.65083722	0.31041240	0.54796366
PABPC1	50	guide28	0.25795835	-0.00878752	0.64055481	0.29657522	0.83822741
PABPC1	50	guide4	0.28732457	-0.06833133	0.60813683	0.27571002	0.63511066
PABPC1	50	guide22	0.24293644	-0.06333733	0.60934512	0.26298141	0.53715828
PABPC1	50	guide29	0.22303170	0.01003601	0.53877902	0.25728224	0.53761247
PABPC1	50	guide17	0.21645026	-0.11711885	0.66102212	0.25345118	0.80266508
PABPC1	50	guide30	0.22922630	-0.01109244	0.52738780	0.24850722	0.68692883
PABPC1	50	guide21	0.08855250	0.05286915	0.53226157	0.22456107	0.48221903
PABPC1	50	guide20	0.11071148	-0.14957983	0.59591523	0.18568230	0.24442777
PABPC1	50	guide31	0.01838548	-0.05008403	0.55425384	0.17418509	0.43974823
PABPC1	50	guide9	0.09010489	0.04220888	0.36485417	0.16572265	0.33921348
PABPC1	50	guide8	0.01227774	-0.05507803	0.46202690	0.13974220	-0.00029727
PABPC1	50	guide1	-0.07736294	-0.02136855	0.51132363	0.13753071	0.01442833
PABPC1	50	guide10	-0.05545882	-0.18953181	0.40434324	0.05311754	0.36669823
PABPC1	50	guide24	0.15526644	-0.14247299	0.13761161	0.05013502	0.63559640
PABPC1	50	guide32	-0.19729702	0.02761104	0.01004303	-0.05321432	-0.28293775
PABPC1	50	guide7	0.02550519	-0.16350540	-0.10138460	-0.07979494	0.34492727
PABPC1	50	guide6	0.02320522	-0.19164466	-0.20040494	-0.12294813	0.02262387
PABPC1	50	guide2	-0.14689165	-0.25896759	-0.16796322	-0.19127415	0.26450859
PABPC1	100	guide18	0.69646671	0.47181518	0.89301689	0.68709959	0.65935201
PABPC1	100	guide16	0.45045192	0.21736574	0.80705733	0.49162500	0.85125467
PABPC1	100	guide23	0.42944114	0.27564356	0.74021022	0.48176497	0.82762529
PABPC1	100	guide15	0.34471387	0.17338134	0.71923106	0.41244209	0.76393799
PABPC1	100	guide27	0.35783313	0.18853885	0.68992397	0.41209865	0.81787263
PABPC1	100	guide26	0.29987427	0.19829583	0.73240695	0.41019235	0.58087817
PABPC1	100	guide19	0.30701786	0.17087309	0.64393384	0.37394160	0.76302668
PABPC1	100	guide12	0.26735261	0.18041404	0.66324618	0.37033761	0.82032055
PABPC1	100	guide28	0.31896540	0.14539454	0.62837017	0.36424337	0.81480703
PABPC1	100	guide5	0.20811037	0.22912691	0.63372838	0.35698855	0.51924766
PABPC1	100	guide14	0.17366756	0.18174617	0.67403956	0.34315110	0.67885919
PABPC1	100	guide25	0.14216323	0.16867687	0.69388247	0.33490752	0.52345868
PABPC1	100	guide17	0.20668651	0.13828983	0.64107207	0.32868280	0.80755776
PABPC1	100	guide13	0.27027625	0.11948395	0.59472692	0.32816237	0.74849466
PABPC1	100	guide3	0.24473679	0.17345335	0.53914157	0.31911057	0.78639020
PABPC1	100	guide4	0.21898790	0.20142814	0.53329275	0.31790293	0.70797353
PABPC1	100	guide30	0.28151431	0.12922892	0.50790673	0.30621665	0.73136520
PABPC1	100	guide22	0.17847851	0.09980198	0.54977764	0.27601938	0.64214083
PABPC1	100	guide20	0.14207356	0.14022202	0.50730624	0.26320061	0.31385670
PABPC1	100	guide31	0.12607223	0.15043504	0.46850875	0.24833868	0.43306971
PABPC1	100	guide11	0.12646565	0.00552055	0.59024954	0.24074525	0.64347136
PABPC1	100	guide29	0.13880032	0.14047405	0.44235056	0.24054164	0.64092069
PABPC1	100	guide21	0.09302281	0.10797480	0.48658545	0.22919435	0.48180280
PABPC1	100	guide9	0.13649641	0.16495650	0.27919889	0.19355060	0.47789217
PABPC1	100	guide8	0.04463392	0.03788779	0.41541588	0.16597920	0.03714438
PABPC1	100	guide1	-0.06946214	-0.04692469	0.46698667	0.11686661	0.24354354
PABPC1	100	guide32	0.08767318	0.08147615	0.07051024	0.07988652	-0.25593216
PABPC1	100	guide10	-0.10208448	0.00728473	0.30951795	0.07157274	0.55466307
PABPC1	100	guide24	0.06002118	-0.06063006	0.21178222	0.07039111	0.63807264
PABPC1	100	guide7	0.12648946	-0.00396040	-0.07816400	0.01478835	0.47556661
PABPC1	100	guide6	-0.02895039	-0.10106211	-0.09929226	-0.07643492	0.17747877
PABPC1	100	guide2	-0.13612550	-0.10123012	-0.16870825	-0.13535462	0.26224725
PABPC1	200	guide18	0.66309568	0.59901898	0.83657434	0.69956300	0.69405967
PABPC1	200	guide16	0.42811643	0.35626191	0.74056402	0.50831412	0.84852949
PABPC1	200	guide15	0.33104144	0.31447986	0.63485540	0.42679223	0.79638406
PABPC1	200	guide27	0.34700206	0.28416110	0.63286439	0.42134252	0.82821768
PABPC1	200	guide26	0.31486025	0.27006525	0.67671285	0.42054612	0.70485614
PABPC1	200	guide14	0.30578886	0.32085952	0.61364596	0.41343145	0.76333582
PABPC1	200	guide12	0.30994213	0.25604140	0.61516952	0.39371768	0.84602227
PABPC1	200	guide23	0.28808144	0.28085802	0.60113913	0.39002620	0.67815054
PABPC1	200	guide13	0.30538002	0.28307358	0.54130959	0.37658773	0.58910838
PABPC1	200	guide19	0.27945992	0.27560489	0.57297646	0.37601376	0.74764390
PABPC1	200	guide25	0.26435908	0.23573089	0.62241148	0.37416715	0.67722458
PABPC1	200	guide28	0.30311919	0.23343284	0.57293795	0.36982999	0.78410967
PABPC1	200	guide5	0.26050774	0.21243531	0.57876057	0.35056787	0.66113716
PABPC1	200	guide17	0.22985001	0.22530263	0.57903767	0.34473010	0.79701386
PABPC1	200	guide4	0.23542789	0.15890947	0.51204305	0.30212680	0.77491031
PABPC1	200	guide3	0.22225700	0.14385660	0.50862695	0.29158018	0.81656113
PABPC1	200	guide22	0.20326887	0.14757519	0.49856342	0.28313583	0.73364373
PABPC1	200	guide30	0.20997731	0.11584790	0.47995232	0.26859251	0.79175481
PABPC1	200	guide11	0.13297101	0.19561839	0.44854802	0.25904581	0.71388347
PABPC1	200	guide31	0.17981696	0.18817670	0.38554567	0.25117978	0.22483765
PABPC1	200	guide21	0.16206399	0.18898822	0.39977131	0.25027451	0.61676618
PABPC1	200	guide20	0.15378031	0.08617865	0.50748628	0.24914842	0.53607153
PABPC1	200	guide8	0.14213816	0.15438986	0.35274720	0.21642507	-0.03861569
PABPC1	200	guide29	0.09231476	0.08459161	0.37150905	0.18280514	0.72560020
PABPC1	200	guide1	0.07366121	0.04446111	0.40978265	0.17596832	0.34472216
PABPC1	200	guide9	0.09228364	0.05116778	0.24846336	0.13063826	0.62741444
PABPC1	200	guide10	0.00099231	0.08736368	0.25381248	0.11405616	0.68629502
PABPC1	200	guide24	0.05717646	0.01013125	0.21388759	0.09373177	0.72393298
PABPC1	200	guide32	0.05668894	0.10415360	-0.00157321	0.05308978	-0.32771758
PABPC1	200	guide6	0.03967885	-0.02111453	-0.03651170	-0.00598246	0.34632403
PABPC1	200	guide7	-0.00769593	-0.09735993	-0.03237787	-0.04581125	0.54529805
PABPC1	200	guide2	-0.11274600	-0.11597540	-0.13071573	-0.11981238	0.16402465
PABPC1	500	guide18	0.71705018	0.67334295	0.79484803	0.72841372	0.73085957
PABPC1	500	guide16	0.44972515	0.42020242	0.62695035	0.49895931	0.84033913
PABPC1	500	guide15	0.36836128	0.34452666	0.54045454	0.41778082	0.80951093
PABPC1	500	guide26	0.33232113	0.30744238	0.54603131	0.39526494	0.75511073
PABPC1	500	guide27	0.33727103	0.29865105	0.52349329	0.38647179	0.81399458
PABPC1	500	guide25	0.32436667	0.30345443	0.52456303	0.38412804	0.71313098
PABPC1	500	guide28	0.33787267	0.30241369	0.50759026	0.38262554	0.77882623
PABPC1	500	guide12	0.33227800	0.29382434	0.51700468	0.38103567	0.83349061
PABPC1	500	guide5	0.31998422	0.29527001	0.48540410	0.36688611	0.64030557
PABPC1	500	guide17	0.31009443	0.25182178	0.52163960	0.36118527	0.80094208
PABPC1	500	guide23	0.29675856	0.26768632	0.50151421	0.35531970	0.66945540
PABPC1	500	guide14	0.30338104	0.25729821	0.49613095	0.35227007	0.77323994
PABPC1	500	guide13	0.29119491	0.27477249	0.46031523	0.34209421	0.54761018
PABPC1	500	guide19	0.27100309	0.28078778	0.46378763	0.33852617	0.75472660
PABPC1	500	guide30	0.29675444	0.25409046	0.44438142	0.33174211	0.79664496
PABPC1	500	guide4	0.28306893	0.22361763	0.46863512	0.32510723	0.78037532
PABPC1	500	guide22	0.22923958	0.18238249	0.43283452	0.28148553	0.75509119
PABPC1	500	guide20	0.20145942	0.17383884	0.42708444	0.26746090	0.62223026
PABPC1	500	guide3	0.21301102	0.15751733	0.42196263	0.26416366	0.77541230
PABPC1	500	guide1	0.19899201	0.21678682	0.35088987	0.25555623	0.42800025
PABPC1	500	guide31	0.20272116	0.15300292	0.33694617	0.23089008	0.35753401
PABPC1	500	guide21	0.19842657	0.14309923	0.34007968	0.22720182	0.51488678
PABPC1	500	guide8	0.15640860	0.11529089	0.29419539	0.18863163	0.00312820
PABPC1	500	guide29	0.13031036	0.06314934	0.33292248	0.17546073	0.75379052
PABPC1	500	guide11	0.07556666	0.08744147	0.28929663	0.15076825	0.73033143
PABPC1	500	guide9	0.10381150	0.04283844	0.25901614	0.13522203	0.69136145
PABPC1	500	guide10	0.04964803	0.04851869	0.16746327	0.08854333	0.71192864
PABPC1	500	guide24	0.04501757	0.04170525	0.16252821	0.08308368	0.71577797
PABPC1	500	guide32	0.07980087	0.03505550	0.06492898	0.05992845	-0.32653890
PABPC1	500	guide6	0.00878467	-0.00666751	0.02897124	0.01036280	0.38797413
PABPC1	500	guide7	-0.02715119	-0.13670320	0.03288023	-0.04365805	0.59967595
PABPC1	500	guide2	-0.08380670	-0.08704048	-0.07583778	-0.08222832	-0.09548131
NUDT21	10	guide13	0.96795758	0.96363636	0.96829551	0.96662982	0.90851400
NUDT21	10	guide19	0.93042381	0.81818182	0.93953090	0.89604551	0.93178421
NUDT21	10	guide6	0.82904278	0.74545455	0.83881182	0.80443638	0.93261814
NUDT21	10	guide27	0.68380235	0.79393939	0.72469817	0.73414664	0.86728996
NUDT21	10	guide30	0.60790083	0.69696970	0.65820992	0.65436015	0.87554559
NUDT21	10	guide2	0.73163908	0.57575758	0.51169098	0.60636254	0.42010025
NUDT21	10	guide18	0.61923347	0.51515152	0.67407904	0.60282134	0.82380999
NUDT21	10	guide26	0.43974723	0.73333333	0.51262541	0.56190199	0.84460445
NUDT21	10	guide12	0.55155720	0.47878788	0.61597930	0.54877479	0.87814709
NUDT21	10	guide28	0.51849592	0.41818182	0.60128975	0.51265583	0.82029463
NUDT21	10	guide24	0.43022457	0.43030303	0.53265373	0.46439378	0.80628369
NUDT21	10	guide15	0.29542318	0.55151515	0.44994919	0.43229584	0.84088996
NUDT21	10	guide23	0.29127925	0.26060606	0.44568132	0.33252221	0.78396050
NUDT21	10	guide3	0.24339516	0.30909091	0.41977434	0.32408680	0.82728875
NUDT21	10	guide16	0.22609851	0.22424242	0.40893390	0.28642494	0.85766035
NUDT21	10	guide11	0.20420061	0.22424242	0.36818865	0.26554390	0.83221617
NUDT21	10	guide25	0.24791264	0.12727273	0.41396251	0.26304929	0.84264408
NUDT21	10	guide29	0.11038049	0.16363636	0.36586365	0.21329350	0.85194568
NUDT21	10	guide21	0.13738934	0.12727273	0.30665288	0.19043832	0.42095659
NUDT21	10	guide4	0.14022489	0.03030303	0.36620415	0.17891069	0.84538375
NUDT21	10	guide14	0.02975786	0.15151515	0.27067654	0.15064985	0.71869288
NUDT21	10	guide22	0.07349913	0.00606061	0.30080176	0.12678716	0.84310551
NUDT21	10	guide10	0.14807287	-0.01818182	0.19767858	0.10918988	0.79209528
NUDT21	10	guide9	-0.11097475	0.13939394	0.25636637	0.09492852	0.86307808
NUDT21	10	guide32	-0.03441028	0.13939394	-0.21866936	-0.03789524	-0.55902285
NUDT21	10	guide5	-0.22090945	-0.10303030	0.07002415	-0.08463853	0.71805765
NUDT21	10	guide31	-0.14412605	-0.22424242	0.06825933	-0.10003638	0.62875678
NUDT21	10	guide8	-0.06942625	-0.27272727	0.02689940	-0.10508471	-0.01799389
NUDT21	10	guide17	-0.36473344	-0.22424242	-0.03040196	-0.20645928	0.79255960
NUDT21	10	guide1	-0.23198213	-0.20000000	-0.29153307	-0.24117173	0.38226623
NUDT21	10	guide20	-0.53787039	-0.52727273	-0.09896685	-0.38803665	0.62833938
NUDT21	10	guide7	-0.88900805	-0.72121212	-0.54872861	-0.71964959	0.41181579
NUDT21	20	guide13	0.95027826	0.92330827	0.94903959	0.94087537	0.96275059
NUDT21	20	guide19	0.89828341	0.89774436	0.88815114	0.89472630	0.96209390
NUDT21	20	guide27	0.64858736	0.75338346	0.59908313	0.66701798	0.91013075
NUDT21	20	guide6	0.57350096	0.73834586	0.56629666	0.62604783	0.92012806
NUDT21	20	guide30	0.62027877	0.64511278	0.53484123	0.60007759	0.86948070
NUDT21	20	guide2	0.56230811	0.57593985	0.55706397	0.56510398	0.75149491
NUDT21	20	guide26	0.59828409	0.60451128	0.43535834	0.54605124	0.85803511
NUDT21	20	guide12	0.59072839	0.52631579	0.51353840	0.54352753	0.89067103
NUDT21	20	guide24	0.53434003	0.53233083	0.46101171	0.50922752	0.85659790
NUDT21	20	guide18	0.46606480	0.47669173	0.41769522	0.45348392	0.83859090
NUDT21	20	guide29	0.51472364	0.37894737	0.38714550	0.42693883	0.87418986
NUDT21	20	guide28	0.45439573	0.40150376	0.39806276	0.41798742	0.82892521
NUDT21	20	guide25	0.45064120	0.36992481	0.38354019	0.40136873	0.87389784
NUDT21	20	guide3	0.45748279	0.33984962	0.34046580	0.37926607	0.86949101
NUDT21	20	guide4	0.48825443	0.29624060	0.34793694	0.37747732	0.87110310
NUDT21	20	guide23	0.43934963	0.31879699	0.35862546	0.37225736	0.82292640
NUDT21	20	guide15	0.40807352	0.31428571	0.32714649	0.34983524	0.84034020
NUDT21	20	guide16	0.42791176	0.26616541	0.31954488	0.33787402	0.86639007
NUDT21	20	guide11	0.33705312	0.30977444	0.29976074	0.31552943	0.88153381
NUDT21	20	guide22	0.39823594	0.17293233	0.31797329	0.29638052	0.85687087
NUDT21	20	guide21	0.26775317	0.18045113	0.24141143	0.22987191	0.72288104
NUDT21	20	guide14	0.24475378	0.14887218	0.22916630	0.20759742	0.80355476
NUDT21	20	guide10	0.13719322	0.03609023	0.14205312	0.10511219	0.85508161
NUDT21	20	guide9	0.07796509	0.07819549	0.08249861	0.07955306	0.85346425
NUDT21	20	guide31	0.02018272	0.06165414	0.03862787	0.04015491	0.75760166
NUDT21	20	guide5	0.03861238	-0.07368421	0.05449108	0.00647308	0.81794729
NUDT21	20	guide17	-0.04706814	-0.05864662	-0.00467309	-0.03679595	0.83744279
NUDT21	20	guide1	-0.00675656	-0.09323308	-0.02008401	-0.04002455	0.71585955
NUDT21	20	guide8	-0.11244644	-0.12781955	-0.08381061	-0.10802553	0.42979031
NUDT21	20	guide20	-0.18137123	-0.29022556	-0.08474529	-0.18544736	0.78451607
NUDT21	20	guide32	-0.33634311	-0.27969925	-0.33796983	-0.31800406	0.07728272
NUDT21	20	guide7	-0.62408118	-0.64210526	-0.52774620	-0.59797755	0.62349492
NUDT21	50	guide13	0.92641851	0.86545018	0.92361158	0.90516009	0.74274853
NUDT21	50	guide19	0.87013848	0.86304922	0.85057969	0.86125580	0.90089739
NUDT21	50	guide27	0.66234909	0.63015606	0.56918053	0.62056189	0.73175750
NUDT21	50	guide12	0.63366476	0.49944778	0.47386585	0.53565946	0.58254635
NUDT21	50	guide30	0.59410052	0.53507803	0.46594007	0.53170621	0.65062363
NUDT21	50	guide26	0.64474833	0.57714286	0.36432068	0.52873729	0.33622016
NUDT21	50	guide6	0.49486039	0.56686675	0.49875487	0.52016067	0.61660251
NUDT21	50	guide25	0.56229594	0.49032413	0.39564775	0.48275594	0.36060059
NUDT21	50	guide29	0.55472903	0.51903962	0.31599946	0.46325603	0.32011843
NUDT21	50	guide2	0.45265055	0.43500600	0.45723896	0.44829851	0.61191745
NUDT21	50	guide28	0.51785825	0.39294118	0.39407502	0.43495815	0.63305238
NUDT21	50	guide4	0.56015344	0.41771909	0.31034603	0.42940619	0.28496044
NUDT21	50	guide16	0.53692070	0.39198079	0.32033484	0.41641211	0.39717426
NUDT21	50	guide18	0.46551523	0.40907563	0.33821309	0.40426798	0.38744179
NUDT21	50	guide23	0.48695188	0.41291717	0.30754487	0.40247131	0.32690662
NUDT21	50	guide3	0.50001609	0.44633854	0.24045712	0.39560392	0.41603793
NUDT21	50	guide24	0.46360698	0.39591837	0.32519770	0.39490768	0.42072838
NUDT21	50	guide15	0.51365432	0.31543818	0.34178627	0.39029292	0.35521303
NUDT21	50	guide22	0.49052542	0.41474190	0.26233630	0.38920121	0.27104687
NUDT21	50	guide21	0.42560060	0.33992797	0.30270263	0.35607707	0.38873285
NUDT21	50	guide14	0.38718999	0.28422569	0.26494139	0.31211902	0.54422530
NUDT21	50	guide11	0.36823549	0.28048019	0.24393991	0.29755186	0.42150712
NUDT21	50	guide5	0.34109984	0.21709484	0.19831104	0.25216857	0.20623688
NUDT21	50	guide31	0.28356844	0.26636255	0.17623883	0.24205661	0.37395336
NUDT21	50	guide17	0.28745227	0.20067227	0.09672398	0.19494951	0.29074320
NUDT21	50	guide1	0.15027356	0.09224490	0.10518877	0.11590241	0.22132547
NUDT21	50	guide20	0.15566964	0.09070828	0.01048711	0.08562168	0.18122678
NUDT21	50	guide9	0.13414556	0.05757503	0.02197605	0.07123221	0.24173018
NUDT21	50	guide10	0.04318732	0.10981993	0.01140087	0.05480271	0.33847872
NUDT21	50	guide8	0.09813278	0.03260504	0.03344231	0.05472671	0.11282076
NUDT21	50	guide32	-0.10726295	-0.20941176	-0.12442398	-0.14703290	0.01020213
NUDT21	50	guide7	-0.26827170	-0.41186074	-0.29219970	-0.32411071	0.00360554
NUDT21	100	guide13	0.88487545	0.84567657	0.88179844	0.87078349	0.75823088
NUDT21	100	guide19	0.81855685	0.79890789	0.80464903	0.80737126	0.72089443
NUDT21	100	guide27	0.65567845	0.61213321	0.58048947	0.61610038	0.74145013
NUDT21	100	guide12	0.61196418	0.54511851	0.51363088	0.55690452	0.61712500
NUDT21	100	guide30	0.55577386	0.50501050	0.47962058	0.51346831	0.60768453
NUDT21	100	guide26	0.55417089	0.49929793	0.41906798	0.49084560	0.39093923
NUDT21	100	guide25	0.52476912	0.46780678	0.44300126	0.47852572	0.45692018
NUDT21	100	guide16	0.54885574	0.45447345	0.41637393	0.47323437	0.42779967
NUDT21	100	guide28	0.50823044	0.42906691	0.44033517	0.45921084	0.50516671
NUDT21	100	guide6	0.43281398	0.49704170	0.43196199	0.45393923	0.57946973
NUDT21	100	guide23	0.50556638	0.42363036	0.38516960	0.43812211	0.35266765
NUDT21	100	guide15	0.49387990	0.41242124	0.39483920	0.43371345	0.40240567
NUDT21	100	guide4	0.48742203	0.41549355	0.39485086	0.43258881	0.38500863
NUDT21	100	guide29	0.45851775	0.45568557	0.35377480	0.42265937	0.37437287
NUDT21	100	guide3	0.44619589	0.38904290	0.34872484	0.39465454	0.54427867
NUDT21	100	guide18	0.43535993	0.35307531	0.37642760	0.38828761	0.38538468
NUDT21	100	guide22	0.41762873	0.39114311	0.33270397	0.38049194	0.36632180
NUDT21	100	guide2	0.36733522	0.38545455	0.36694834	0.37324604	0.23359442
NUDT21	100	guide14	0.41965016	0.33534953	0.35073752	0.36857907	0.55974878
NUDT21	100	guide24	0.39016448	0.33096910	0.34000315	0.35371224	0.47428762
NUDT21	100	guide21	0.37404347	0.33022502	0.33611240	0.34679363	0.53102239
NUDT21	100	guide5	0.37049930	0.28199220	0.30915727	0.32054959	0.27282193
NUDT21	100	guide31	0.33536280	0.33116112	0.28050460	0.31567617	0.42402338
NUDT21	100	guide11	0.29437601	0.29881788	0.25358092	0.28225827	0.37609996
NUDT21	100	guide17	0.31346373	0.25327333	0.21911590	0.26195098	0.33975394
NUDT21	100	guide10	0.18756691	0.16267627	0.17056975	0.17360431	0.42443661
NUDT21	100	guide20	0.16608442	0.11607561	0.11880191	0.13365398	0.24831957
NUDT21	100	guide1	0.11580595	0.10942694	0.10624672	0.11049320	0.22983994
NUDT21	100	guide8	0.10327137	0.09333333	0.09571021	0.09743831	0.23784504
NUDT21	100	guide9	0.09229321	0.08026403	0.07578416	0.08278047	0.28120334
NUDT21	100	guide32	-0.02101434	-0.10012601	-0.02104274	-0.04739436	-0.12919066
NUDT21	100	guide7	-0.24304896	-0.29466547	-0.22695825	-0.25489089	0.06239179
NUDT21	200	guide13	0.86735587	0.81535438	0.86058226	0.84776417	0.77180006
NUDT21	200	guide19	0.79345267	0.75925148	0.77170033	0.77480149	0.76449538
NUDT21	200	guide27	0.64495323	0.61300083	0.56335013	0.60710139	0.76198429
NUDT21	200	guide12	0.56730885	0.56070202	0.48238241	0.53679776	0.66072996
NUDT21	200	guide30	0.57099166	0.51378234	0.48979196	0.52485532	0.68127196
NUDT21	200	guide26	0.55539166	0.52710418	0.43361809	0.50537131	0.53992137
