target_gene	ref_guide	query_guide	norm_rank	norm_pearson	norm_spearman	norm_cosine	norm_score	raw_score
PABPC1	PABPC1-I1	guide16	2	0.44972515	0.42020242	0.62695035	0.49895931	0.84033913
PABPC1	PABPC1-I1	guide15	3	0.36836128	0.34452666	0.54045454	0.41778082	0.80951093
PABPC1	PABPC1-I1	guide26	4	0.33232113	0.30744238	0.54603131	0.39526494	0.75511073
PABPC1	PABPC1-I1	guide27	5	0.33727103	0.29865105	0.52349329	0.38647179	0.81399458
PABPN1	PABPN1-I2	guide24	1	0.62261653	0.58914130	0.64944726	0.62040170	0.12177363
PABPN1	PABPN1-I2	guide25	2	0.43932020	0.42638974	0.52511895	0.46360963	-0.00123131
PABPN1	PABPN1-I2	guide4	3	0.42795427	0.42226969	0.51591451	0.45537949	-0.01435172
PABPN1	PABPN1-I2	guide27	4	0.41268628	0.39350308	0.49465686	0.43361541	-0.00274744
PABPN1	PABPN1-I2	guide16	5	0.40042403	0.38145378	0.50422876	0.42870219	-0.04812655
PAF1	PAF1-I6	guide14	1	0.51166828	0.46790491	0.68736389	0.55564569	0.71774311
PAF1	PAF1-I6	guide30	2	0.37459460	0.39196621	0.56764404	0.44473495	0.54621679
PAF1	PAF1-I6	guide28	3	0.36396271	0.36872067	0.58054578	0.43774306	0.56192197
PAF1	PAF1-I6	guide20	4	0.35991248	0.32572268	0.59876205	0.42813240	0.65177552
PAF1	PAF1-I6	guide25	5	0.35549975	0.33179019	0.58972716	0.42567237	0.50660596
PAPOLA	PAPOLA-I3	guide7	1	0.62542600	0.58432016	0.67235986	0.62736867	0.75756459
PAPOLA	PAPOLA-I3	guide9	2	0.48380735	0.47705845	0.59010015	0.51698865	0.64527694
PAPOLA	PAPOLA-I3	guide20	3	0.42431398	0.42478672	0.56594360	0.47168143	0.59105987
PAPOLA	PAPOLA-I3	guide17	4	0.38334681	0.39520507	0.53847849	0.43901012	0.67011734
PAPOLA	PAPOLA-I3	guide4	5	0.36597962	0.42349744	0.51012667	0.43320124	0.64823899
PCF11	PCF11-I5	guide20	1	0.59773811	0.51315335	0.85567973	0.65552373	0.70550580
PCF11	PCF11-I5	guide17	2	0.44500750	0.40529557	0.79591025	0.54873777	0.82351743
PCF11	PCF11-I5	guide9	3	0.44974315	0.37187774	0.75777467	0.52646519	0.71876411
PCF11	PCF11-I5	guide4	4	0.45117391	0.36867056	0.75916136	0.52633528	0.80117502
PCF11	PCF11-I5	guide22	5	0.41674696	0.37616531	0.75460543	0.51583923	0.77614574
PHF3	PHF3-I5	guide1	1	0.23991624	0.15363306	0.17010342	0.18788424	-0.08360412
PHF3	PHF3-I5	guide2	2	0.10341475	0.06939762	0.08098738	0.08459992	0.07847100
PHF3	PHF3-I5	guide32	3	0.02539326	0.03293284	0.02624614	0.02819074	0.20954403
PHF3	PHF3-I5	guide7	4	0.01612201	-0.00826189	-0.02808650	-0.00674212	-0.44445410
PHF3	PHF3-I5	guide9	5	-0.08408078	-0.06248214	-0.14253608	-0.09636633	-0.40074778
RBBP6	RBBP6-I4	guide9	1	0.67163679	0.61920891	0.78257762	0.69114111	0.66571060
RBBP6	RBBP6-I4	guide20	2	0.62380598	0.57858327	0.76129624	0.65456183	0.63478800
RBBP6	RBBP6-I4	guide29	3	0.49766482	0.47770204	0.66588962	0.54708549	0.70677778
RBBP6	RBBP6-I4	guide17	4	0.46363879	0.47669298	0.66925124	0.53652767	0.76642328
RBBP6	RBBP6-I4	guide4	5	0.48832916	0.44783258	0.66820042	0.53478739	0.75029169
RPAP2	RPAP2-I2	guide16	1	0.48771483	0.47570849	0.60668195	0.52336843	0.78687853
RPAP2	RPAP2-I2	guide4	2	0.44594160	0.44138701	0.56867420	0.48533427	0.71649327
RPAP2	RPAP2-I2	guide28	3	0.45278056	0.43646709	0.56473646	0.48466137	0.76360380
RPAP2	RPAP2-I2	guide3	4	0.44414010	0.42868587	0.56586327	0.47956308	0.77226070
RPAP2	RPAP2-I2	guide25	5	0.41936364	0.43825577	0.55349757	0.47037233	0.62427942
RPRD1A	RPRD1A-I5	guide5	1	0.32508183	0.33834337	0.45046800	0.37129774	-0.25008345
RPRD1A	RPRD1A-I5	guide20	2	0.31261891	0.31604862	0.47710347	0.36859033	0.18528652
RPRD1A	RPRD1A-I5	guide17	3	0.28568905	0.30754971	0.45121300	0.34815059	0.69151605
RPRD1A	RPRD1A-I5	guide9	4	0.28971140	0.29746506	0.40321084	0.33012910	0.56406674
RPRD1A	RPRD1A-I5	guide4	5	0.26213948	0.27039315	0.40928891	0.31394051	0.54587523
RPRD1B	RPRD1B-I1	guide30	1	0.62109100	0.60003994	0.62628520	0.61580538	0.75216465
RPRD1B	RPRD1B-I1	guide5	2	0.60191254	0.63105123	0.61100880	0.61465752	0.82157089
RPRD1B	RPRD1B-I1	guide28	3	0.58227135	0.56925396	0.58978955	0.58043829	0.69581753
RPRD1B	RPRD1B-I1	guide16	4	0.59608223	0.57353145	0.56772002	0.57911123	0.73226778
RPRD1B	RPRD1B-I1	guide19	5	0.55175771	0.53608208	0.56369089	0.55051023	0.72682122
SCAF1	SCAF1-I2	guide27	1	0.38956751	0.31949523	0.73460810	0.48122361	0.29397193
SCAF1	SCAF1-I2	guide16	2	0.31236820	0.28722278	0.77241698	0.45733599	0.28527897
SCAF1	SCAF1-I2	guide13	3	0.36370872	0.33767415	0.66157303	0.45431863	0.38253152
SCAF1	SCAF1-I2	guide25	4	0.38986606	0.22445955	0.72353397	0.44595319	0.48018184
SCAF1	SCAF1-I2	guide19	5	0.30270919	0.30782648	0.69759137	0.43604235	0.30015347
SCAF11	SCAF11-I3	guide11	1	0.28627445	0.19864361	0.31672094	0.26721300	0.60426777
SCAF11	SCAF11-I3	guide18	2	0.22765954	0.19531067	0.26135496	0.22810839	0.62957066
SCAF11	SCAF11-I3	guide16	3	0.15805234	0.13060151	0.22116862	0.16994082	0.58081315
SCAF11	SCAF11-I3	guide19	4	0.12088690	0.13275058	0.16924331	0.14096026	0.50956949
SCAF11	SCAF11-I3	guide15	5	0.12003328	0.11214909	0.17695290	0.13637842	0.57815206
SCAF4	SCAF4-I4	guide6	1	0.42133887	0.37083662	0.53884268	0.44367272	0.42277736
SCAF4	SCAF4-I4	guide16	2	0.29953536	0.26519511	0.55692953	0.37388666	0.43977436
SCAF4	SCAF4-I4	guide25	3	0.32079122	0.25839454	0.53169805	0.37029460	0.54871175
SCAF4	SCAF4-I4	guide26	4	0.27122732	0.25479145	0.52584848	0.35062242	0.40796072
SCAF4	SCAF4-I4	guide4	5	0.28716237	0.26150975	0.49382418	0.34749877	0.53625083
SCAF8	SCAF8-I3	guide30	1	0.31026382	0.26672862	0.17819879	0.25173041	0.57980622
SCAF8	SCAF8-I3	guide28	2	0.25163443	0.15517502	0.12230848	0.17637265	0.56182927
SCAF8	SCAF8-I3	guide16	3	0.25717479	0.19302644	0.03078857	0.16032993	0.55439541
SCAF8	SCAF8-I3	guide5	4	0.19075663	0.21056494	0.07052763	0.15728307	0.54925555
SCAF8	SCAF8-I3	guide13	5	0.17440627	0.14387290	0.11829923	0.14552613	0.26612578
SF3A1	SF3A1-I5	guide30	1	0.47422818	0.40707312	0.60277400	0.49469177	0.81061923
SF3A1	SF3A1-I5	guide28	2	0.44591602	0.36528405	0.58428985	0.46516331	0.80702358
SF3A1	SF3A1-I5	guide16	3	0.40909159	0.35881104	0.59962794	0.45584352	0.78410384
SF3A1	SF3A1-I5	guide20	4	0.35826659	0.34169897	0.55180202	0.41725586	0.60547451
SF3A1	SF3A1-I5	guide25	5	0.32827078	0.31876822	0.52248236	0.38984045	0.61427698
SRSF3	SRSF3-I1	guide30	1	0.54270332	0.52285851	0.51916064	0.52824082	0.31142910
SRSF3	SRSF3-I1	guide13	2	0.43225897	0.42716801	0.42865268	0.42935989	0.45154313
SRSF3	SRSF3-I1	guide28	3	0.42350768	0.42261366	0.40354952	0.41655695	0.32744961
SRSF3	SRSF3-I1	guide26	4	0.43768225	0.42041957	0.37391091	0.41067091	0.21686424
SRSF3	SRSF3-I1	guide16	5	0.39177824	0.36015869	0.33330333	0.36174675	0.20755977
SYMPK	SYMPK-I3	guide4	1	0.60732856	0.50467191	0.79768685	0.63656244	0.75038716
SYMPK	SYMPK-I3	guide3	2	0.62233489	0.44292552	0.78634455	0.61720165	0.81878508
SYMPK	SYMPK-I3	guide25	3	0.53922928	0.43901283	0.76897709	0.58240640	0.74652197
SYMPK	SYMPK-I3	guide21	4	0.54095101	0.38408765	0.67831268	0.53445045	0.39105611
SYMPK	SYMPK-I3	guide16	5	0.43918140	0.40746701	0.75434517	0.53366452	0.63178278
THOC5	THOC5-I1	guide27	1	0.40540767	0.36808726	0.59103414	0.45484303	0.20732559
THOC5	THOC5-I1	guide20	2	0.37088680	0.35277578	0.62548103	0.44971454	0.31093608
THOC5	THOC5-I1	guide16	3	0.33255177	0.33610810	0.60828942	0.42564976	0.06195641
THOC5	THOC5-I1	guide22	4	0.33105977	0.36928890	0.57628431	0.42554433	0.18170866
THOC5	THOC5-I1	guide4	5	0.32793086	0.37001687	0.56221999	0.42005590	0.18226928
