target_gene	ref_guide	query_guide	n_features	norm_pearson	norm_spearman	norm_cosine	norm_score	raw_pearson	raw_spearman	raw_cosine	raw_score	top100_in_query_top300	top100_signed_overlap	norm_rank	raw_rank	consensus
NUDT21	NUDT21-I3	guide5	500	0.37854646	0.38900181	0.36615793	0.37790207	0.48025743	0.60693654	0.55799592	0.54839663	18	16	15	24	0.41416156
NUDT21	NUDT21-I3	guide22	500	0.36625079	0.38856079	0.34266058	0.36582405	0.54599642	0.62233457	0.61859838	0.59564312	18	18	16	19	0.41917052
NUDT21	NUDT21-I3	guide21	500	0.36117603	0.37055428	0.36120673	0.36431235	0.62495605	0.55692165	0.68035944	0.62074571	13	12	17	15	0.42942421
NUDT21	NUDT21-I3	guide6	500	0.35628078	0.36980212	0.36363483	0.36323924	0.62120039	0.51015631	0.64404141	0.59179937	18	15	18	21	0.41200915
NUDT21	NUDT21-I3	guide14	500	0.37375545	0.36593839	0.34826359	0.36265248	0.72214386	0.61084342	0.76395014	0.69897914	21	21	19	6	0.45749935
NUDT21	NUDT21-I3	guide17	500	0.37798798	0.37312652	0.33597645	0.36236365	0.54411550	0.62394324	0.61731558	0.59512477	21	18	20	20	0.41363236
NUDT21	NUDT21-I3	guide18	500	0.33707439	0.31388775	0.34272921	0.33123045	0.51391685	0.54869757	0.58010618	0.54757353	21	19	21	25	0.36536648
NUDT21	NUDT21-I3	guide11	500	0.31797422	0.33369109	0.31533341	0.32233291	0.58047576	0.62623958	0.64444362	0.61705299	11	7	22	16	0.38489086
NUDT21	NUDT21-I3	guide2	500	0.29752885	0.25893627	0.30478830	0.28708447	0.33760225	0.24421815	0.34973134	0.31051725	14	12	23	30	0.27566206
NUDT21	NUDT21-I3	guide24	500	0.25514025	0.27581803	0.26695511	0.26597113	0.62634614	0.53105514	0.68278213	0.61339447	14	12	24	17	0.32598030
NUDT21	NUDT21-I3	guide20	500	0.25328291	0.24811702	0.24480256	0.24873416	0.43515353	0.55838927	0.52703977	0.50686086	21	15	25	26	0.27476329
NUDT21	NUDT21-I3	guide10	500	0.24415025	0.20728902	0.25655357	0.23599761	0.60557638	0.61357335	0.66688711	0.62867895	10	8	26	13	0.30629946
NUDT21	NUDT21-I3	guide31	500	0.21117226	0.23188749	0.22409769	0.22238581	0.33391709	0.46435587	0.42985478	0.40937591	13	10	27	28	0.22979220
NUDT21	NUDT21-I3	guide9	500	0.21431384	0.19002066	0.22562614	0.20998688	0.49389295	0.58706575	0.57597030	0.55230967	13	8	28	23	0.24883333
NUDT21	NUDT21-I3	guide1	500	0.14061500	0.14146876	0.16007151	0.14738509	0.42007383	0.41352939	0.50867503	0.44742608	11	7	29	27	0.16249900
NUDT21	NUDT21-I3	guide8	500	0.10829306	0.09566995	0.12822405	0.11072902	0.13318509	0.25645141	0.22306691	0.20423447	9	6	30	31	0.08136419
NUDT21	NUDT21-I3	guide32	500	-0.08053902	-0.09771937	-0.07769531	-0.08531790	-0.20334926	-0.15011260	-0.21868127	-0.19071438	12	8	31	32	-0.17592506
NUDT21	NUDT21-I3	guide7	500	-0.15640231	-0.18149900	-0.12087387	-0.15292506	0.29972376	0.34206161	0.39787498	0.34655345	16	5	32	29	-0.15694204
LEO1	LEO1-I2	guide14	500	0.48431064	0.40118388	0.65694051	0.51414501	0.39646216	0.57650007	0.53705917	0.50334047	23	23	1	1	0.58964608
LEO1	LEO1-I2	guide17	500	0.14666263	0.19495595	0.47869410	0.27343756	0.35434036	0.51560248	0.46892063	0.44628782	23	20	2	8	0.32638073
LEO1	LEO1-I2	guide9	500	0.19595741	0.20019219	0.40769987	0.26794983	0.36369922	0.47990974	0.46380761	0.43580553	21	17	3	13	0.30932065
LEO1	LEO1-I2	guide4	500	0.15616169	0.16524383	0.41076158	0.24405570	0.36618844	0.51054771	0.47562856	0.45078824	22	20	4	5	0.30367394
LEO1	LEO1-I2	guide21	500	0.17746858	0.19918371	0.34754774	0.24140001	-0.13375454	0.42854695	-0.06007741	0.07823833	18	16	5	29	0.19713576
LEO1	LEO1-I2	guide8	500	0.18629890	0.18949929	0.32930895	0.23503571	-0.19400149	0.17444975	-0.15887967	-0.05947714	19	16	6	31	0.16611414
LEO1	LEO1-I2	guide3	500	0.15019403	0.15537864	0.39389794	0.23315687	0.28927175	0.49369381	0.40641289	0.39645948	27	23	7	23	0.24862579
LEO1	LEO1-I2	guide25	500	0.12634035	0.16004589	0.41021797	0.23220140	0.32581785	0.52499036	0.44263568	0.43114796	18	17	8	16	0.26687360
LEO1	LEO1-I2	guide20	500	0.11877991	0.12121344	0.43564455	0.22521263	0.35449561	0.47414647	0.48532983	0.43799064	19	15	9	10	0.27291123
LEO1	LEO1-I2	guide12	500	0.15299618	0.13728247	0.38202343	0.22410069	0.19748995	0.51517575	0.32420644	0.34562405	25	23	10	25	0.22794430
LEO1	LEO1-I2	guide28	500	0.13901546	0.11132512	0.41459581	0.22164546	0.37320573	0.46087268	0.46875737	0.43427859	23	19	11	14	0.26078725
LEO1	LEO1-I2	guide29	500	0.12666385	0.11949773	0.37708925	0.20775027	0.38776603	0.49290153	0.48723808	0.45596855	16	15	12	3	0.27214556
LEO1	LEO1-I2	guide22	500	0.10679343	0.11821305	0.38478823	0.20326490	0.37795056	0.48024301	0.48757999	0.44859119	17	15	13	7	0.25855358
LEO1	LEO1-I2	guide13	500	0.12577716	0.13961249	0.32654928	0.19731298	0.39528559	0.40931382	0.46293337	0.42251093	20	17	14	19	0.22468962
LEO1	LEO1-I2	guide15	500	0.10677558	0.08860826	0.37700940	0.19079775	0.38734400	0.48746169	0.49043793	0.45508121	18	15	15	4	0.25305993
LEO1	LEO1-I2	guide23	500	0.07047019	0.11665861	0.36954742	0.18555874	0.36252749	0.43336109	0.47767876	0.42452245	20	16	16	17	0.21723711
LEO1	LEO1-I2	guide5	500	0.05772770	0.10705915	0.32645738	0.16374807	0.34433050	0.43311915	0.45712231	0.41152399	12	11	17	21	0.18547667
LEO1	LEO1-I2	guide16	500	0.03007947	0.03596866	0.41266518	0.15957110	0.38296622	0.47122224	0.49269551	0.44896132	16	13	18	6	0.21691530
LEO1	LEO1-I2	guide2	500	0.13583390	0.13746449	0.18487310	0.15272383	0.04667226	0.11688417	0.02988872	0.06448171	12	10	19	30	0.10439609
LEO1	LEO1-I2	guide27	500	0.03826235	0.06150284	0.32848933	0.14275151	0.37601127	0.45455029	0.48232191	0.43762782	14	11	20	11	0.18839568
LEO1	LEO1-I2	guide30	500	0.02987080	0.07673867	0.31811369	0.14157439	0.39013979	0.43501365	0.48233668	0.43583004	20	16	21	12	0.18494889
LEO1	LEO1-I2	guide19	500	0.04499681	0.05087224	0.31211754	0.13599553	0.40401745	0.47988620	0.50285991	0.46225452	16	14	22	2	0.20333371
LEO1	LEO1-I2	guide10	500	0.08496696	0.10136969	0.21561493	0.13398386	0.35900113	0.44583159	0.46434974	0.42306082	10	8	23	18	0.16344298
LEO1	LEO1-I2	guide26	500	-0.00758016	0.03687759	0.36202608	0.13044117	0.35640431	0.50712204	0.46508017	0.44286884	16	12	24	9	0.18087150
LEO1	LEO1-I2	guide1	500	0.03754600	0.05498777	0.24480239	0.11244539	0.24231818	0.24509762	0.39207845	0.29316475	12	9	25	27	0.10442010
LEO1	LEO1-I2	guide24	500	0.05244476	0.08617484	0.18803334	0.10888431	0.39207855	0.42051298	0.48689791	0.43316315	15	12	26	15	0.14585878
LEO1	LEO1-I2	guide6	500	0.09914522	0.05778350	0.15721094	0.10471322	0.36265537	0.33892561	0.41606151	0.37254750	17	13	27	24	0.11459534
LEO1	LEO1-I2	guide18	500	0.03667208	0.02946770	0.24638983	0.10417654	0.34936607	0.46367923	0.44430575	0.41911702	23	19	28	20	0.12904409
LEO1	LEO1-I2	guide7	500	0.01486649	0.05014542	0.15295847	0.07265679	0.27394356	0.37928192	0.37271941	0.34198163	16	11	29	26	0.07395404
LEO1	LEO1-I2	guide11	500	-0.03451487	-0.00185703	0.21216200	0.05859670	0.32032886	0.44866094	0.42954353	0.39951111	15	10	30	22	0.07652337
LEO1	LEO1-I2	guide31	500	-0.01605843	-0.00970458	0.18708885	0.05377528	0.04206772	0.17736567	0.15574689	0.12506009	13	8	31	28	0.01853429
LEO1	LEO1-I2	guide32	500	-0.07463487	-0.07083926	-0.00463242	-0.05003552	-0.11467760	-0.02724852	-0.14244554	-0.09479055	7	4	32	32	-0.12625410
