gene	parsimony_informative_percentage
83779at2759	5.555556
844748at2759	0.000000
855834at2759	6.682028
858842at2759	0.000000
865202at2759	5.614973
866359at2759	5.753425
869548at2759	6.209150
878143at2759	5.882353
87842at2759	4.462326
887370at2759	3.087886
891751at2759	4.009164
898782at2759	6.507304
901894at2759	5.122235
905026at2759	6.143345
911863at2759	7.428571
917326at2759	5.940594
918816at2759	6.151990
919955at2759	5.896806
923657at2759	7.894737
924753at2759	6.336940
931188at2759	5.401460
937275at2759	0.000000
937686at2759	0.000000
939345at2759	5.939227
944899at2759	7.588076
946128at2759	4.761905
956854at2759	0.000000
97116at2759	5.866487
973442at2759	3.475936
974865at2759	6.060606
975158at2759	6.446281
975557at2759	4.472477
976469at2759	0.000000
981902at2759	6.338939
996662at2759	4.105572
