gene	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_B_cell	Control_#2_neutrophil	Control_#3_T_cell	Control_#3_neutrophil	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_platelet	Control_#3_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	SARS_CoV2_pos_Severe_#3_B_cell
AKAP8L	104	44	1	0	3	82	27	9	1	81	1	6	27	0	7	256	0	18	56	3	4	16	52	5	147	36	64	10	72	40	3	172	20	3
SLC25A39	57	21	0	0	2	50	16	4	2	42	0	103	17	0	4	173	2	12	37	148	3	635	46	1	111	18	33	5	1315	19	8	141	25	6
CLK1	382	120	2	0	21	311	77	19	4	186	9	0	66	0	15	489	3	48	104	0	2	5	120	21	483	88	99	45	25	132	6	488	45	8
RNF14	267	82	1	0	9	253	69	18	3	187	2	6	71	0	15	731	7	71	138	9	4	18	166	19	439	75	85	29	76	64	17	318	96	22
CAPN1	64	49	0	11	2	80	28	1	1	61	3	0	40	14	3	168	2	22	57	0	23	0	78	7	137	25	63	14	9	23	113	153	21	8
WAS	132	119	2	0	4	159	95	7	5	111	16	0	92	0	4	455	10	42	221	0	2	1	198	18	268	37	142	164	0	43	3	248	45	9
RALBP1	98	60	0	2	4	120	34	7	3	63	12	3	50	0	6	382	11	30	91	14	7	57	89	10	131	25	84	68	225	38	18	205	45	8
CD74	724	2124	2	0	426	613	2018	806	8	464	7	1	1692	2	736	1313	10	2826	4516	2	3	6	1889	20	1583	3503	1426	39	9	4514	5	873	91	617
SERPINB1	145	278	5	7	5	154	220	8	6	121	45	0	219	6	8	494	17	51	443	0	46	0	534	23	379	34	407	222	10	75	136	454	47	7
RTF2	88	62	0	1	3	91	48	5	5	78	22	3	68	1	8	353	9	32	130	0	10	11	110	13	159	22	90	50	39	41	41	222	34	8
RNF10	277	108	3	4	6	263	78	21	5	185	38	49	79	0	19	570	6	53	111	60	12	295	126	31	524	87	121	144	870	73	59	360	49	9
RB1CC1	325	136	5	0	10	314	123	24	1	207	29	1	109	1	21	513	11	43	177	0	0	36	237	23	436	95	170	184	207	110	9	398	35	11
STRAP	160	50	1	2	1	135	50	7	0	105	4	0	53	2	10	329	1	14	83	2	13	15	70	4	287	55	67	5	47	72	95	335	48	7
UBR2	113	46	1	0	2	129	33	8	2	76	13	7	23	0	7	281	12	19	70	6	3	34	59	17	159	29	29	65	93	36	10	136	18	1
PHF20	343	71	3	0	20	342	89	29	3	206	10	0	73	0	23	690	9	79	147	1	1	0	124	19	436	124	117	72	6	166	5	430	53	9
TYMP	36	615	3	1	5	57	435	11	7	45	34	0	485	0	6	232	18	29	1192	1	5	2	998	37	118	20	1016	133	6	37	38	100	21	7
VIM	1609	3189	7	2	11	1716	2662	53	25	1643	68	2	2626	2	47	5721	24	261	4564	1	5	7	4850	53	4477	288	5674	503	44	632	72	5286	771	51
RNASET2	350	291	8	2	13	291	219	37	10	232	60	0	318	3	42	799	20	125	490	0	10	0	391	41	622	198	578	337	10	248	18	665	120	30
PIAS1	153	115	3	0	6	173	72	11	1	122	11	0	63	0	5	336	13	39	157	0	4	0	143	15	261	49	101	60	6	60	3	243	26	3
MAP2K3	57	99	5	5	3	70	105	2	4	46	36	52	97	8	7	131	6	14	160	85	17	227	180	70	98	34	149	251	968	28	44	110	12	3
TMSB10	9001	4038	2	1	245	8956	3245	485	5	6584	16	3	3683	1	409	22625	41	1814	6499	7	16	11	5468	19	14294	2080	8585	254	156	2832	70	20338	2738	311
GABARAPL2	204	91	0	10	10	181	69	24	1	178	20	98	71	10	14	538	9	62	159	83	46	486	127	24	336	75	140	178	1700	105	147	352	54	8
CUL3	138	76	3	0	11	176	41	19	1	116	8	1	40	1	10	404	6	57	87	2	0	5	114	15	288	97	101	45	18	136	16	300	28	4
BOD1L1	317	183	7	0	20	296	153	61	6	198	38	1	159	1	41	816	19	128	253	0	1	2	282	55	555	236	318	198	9	291	8	523	57	18
PSMA4	140	140	3	0	4	166	102	8	1	158	4	0	98	0	5	482	2	40	243	0	0	2	148	8	479	50	218	32	9	61	8	458	45	7
AP2S1	112	205	0	9	2	116	181	4	1	92	4	8	191	11	13	342	1	23	337	17	38	49	324	3	292	47	372	26	130	49	110	310	34	9
DCUN1D1	61	22	0	0	2	70	23	7	1	34	3	13	22	0	6	138	1	23	63	18	3	58	75	6	127	25	47	21	157	31	22	112	11	3
TPR	424	138	5	0	10	448	116	23	0	340	39	0	108	1	30	1201	16	85	237	0	1	1	175	16	673	106	169	65	12	150	10	726	110	9
RSF1	289	81	0	0	12	285	52	17	2	214	2	0	51	1	13	664	6	72	126	0	1	2	111	13	467	99	93	51	25	129	12	443	54	8
CELF2	642	226	6	0	16	869	200	39	5	577	48	0	172	2	27	1777	23	133	359	4	9	0	378	46	924	154	228	263	8	142	33	957	133	14
ARID1B	451	116	2	0	22	401	98	40	1	372	2	0	91	0	45	1120	6	188	196	0	2	1	187	3	622	228	103	34	11	195	3	523	99	39
CYBA	1078	1264	5	0	68	1195	932	105	13	712	47	2	945	0	64	2751	41	426	1819	0	2	3	1865	57	1971	511	2385	682	25	736	18	2458	320	85
FOXN3	249	123	1	0	5	272	120	18	0	142	14	1	77	2	15	480	1	29	156	0	0	9	129	11	310	70	94	31	15	89	7	283	36	8
THRAP3	183	86	4	1	6	231	61	17	1	150	5	5	67	2	21	744	4	83	183	4	5	14	113	19	451	109	113	77	47	110	4	477	66	11
ARID4B	717	172	8	0	20	766	137	58	10	548	40	0	103	0	46	1629	15	160	254	0	3	14	294	44	1290	288	271	247	56	297	5	1385	95	22
SZRD1	121	55	2	1	4	83	38	9	1	62	5	0	35	1	3	202	2	36	60	1	5	5	87	4	157	49	88	19	10	50	30	182	30	5
TAB2	110	65	1	2	2	116	45	5	2	82	9	1	44	0	12	203	3	12	69	0	4	9	74	15	185	16	63	49	11	22	23	177	26	1
KMT2C	418	292	11	2	17	356	230	39	16	235	52	2	229	2	32	814	29	80	383	1	7	7	400	63	580	155	360	260	40	197	18	519	62	24
PITHD1	124	29	1	1	1	126	20	7	0	84	2	84	20	1	2	276	2	22	29	80	1	174	22	1	199	26	49	11	505	36	17	196	25	5
ATP11B	124	74	4	0	7	170	55	8	1	106	15	1	47	1	12	251	6	24	85	0	2	0	110	16	216	43	70	81	9	51	7	195	16	2
PPP1R12A	250	111	2	2	6	271	66	22	2	229	16	0	84	0	17	753	9	56	158	0	9	3	165	22	527	75	111	126	28	88	53	460	40	9
TARBP1	430	207	2	0	17	425	139	37	6	312	36	0	155	0	24	910	9	94	230	1	1	2	271	46	661	146	166	98	8	109	5	427	79	28
SLC2A3	441	270	6	5	20	283	183	20	11	217	70	0	165	4	12	512	21	22	352	0	12	3	495	99	617	40	287	528	5	95	69	625	98	2
YBX3	62	174	3	8	13	89	223	38	2	103	5	198	162	13	9	194	1	77	212	228	60	858	253	4	157	213	278	18	2798	165	199	284	18	10
WNK1	298	124	1	0	2	305	110	19	4	237	15	36	88	4	13	695	8	41	200	47	9	269	170	24	458	53	119	93	920	93	20	383	65	13
GPBP1	436	103	2	2	13	359	81	30	1	321	12	1	74	0	29	879	3	86	137	2	3	3	129	24	616	173	143	74	32	265	23	749	83	18
VMP1	182	232	5	0	6	155	154	5	10	153	44	3	177	1	4	365	20	23	496	1	0	0	1007	55	624	33	298	247	5	53	3	508	54	5
EIF4B	689	231	1	0	24	665	203	30	3	452	8	0	215	0	35	1609	3	151	313	0	1	6	336	9	946	175	218	38	20	249	10	1148	143	28
RPL18	6561	1296	0	2	231	5874	1152	385	1	5228	5	2	1402	2	546	17449	1	1798	2284	4	4	37	1576	10	10281	2186	1737	68	217	3328	28	13302	1767	412
EPN1	153	84	2	0	4	155	85	8	2	92	9	0	70	0	13	308	5	30	117	4	4	8	138	13	261	59	123	30	15	46	8	154	33	11
TAF2	626	195	1	0	27	699	138	65	3	471	13	0	97	0	47	1283	5	138	189	0	4	2	198	12	805	177	172	60	16	183	2	627	80	11
CNN2	244	84	0	0	7	299	61	17	8	156	32	1	93	2	7	714	11	72	140	0	8	1	171	38	675	50	137	170	2	71	49	514	106	15
GNAI3	130	120	3	0	4	138	99	14	6	125	35	0	109	1	12	365	9	50	167	0	4	4	169	18	258	43	220	191	17	86	18	261	40	9
PKN2	101	81	1	0	2	107	87	8	6	82	29	0	56	1	14	195	13	19	103	1	2	4	81	18	186	49	84	118	24	53	8	175	11	2
PDIA5	173	45	0	0	9	142	41	7	2	118	7	0	34	1	16	305	4	24	69	0	2	0	67	14	224	51	30	19	4	21	1	121	37	6
NDUFB4	291	110	0	2	9	288	96	14	0	235	3	1	116	2	12	869	1	60	190	1	20	11	152	1	568	60	239	22	43	83	102	723	91	11
SPEN	167	95	2	0	6	138	98	12	5	106	13	0	67	1	17	355	7	33	162	0	1	0	137	19	168	69	108	62	8	78	2	213	20	5
ZC3H15	251	123	1	0	9	262	86	22	0	202	1	2	96	0	25	675	7	59	187	5	2	13	196	11	524	149	181	35	76	209	10	603	63	21
SLK	91	65	1	3	5	104	62	4	2	86	8	0	63	0	5	255	3	13	113	0	0	1	110	7	159	17	114	98	6	51	7	146	24	2
CYB5R4	169	105	6	1	7	171	96	16	5	123	29	0	98	1	11	444	13	54	167	0	0	3	193	33	236	60	117	122	5	52	9	209	28	6
FAM107B	497	129	1	1	19	583	89	47	2	442	27	0	83	0	53	1476	8	144	95	0	3	1	194	24	955	138	243	186	20	304	19	1111	141	22
YBX1	1051	665	0	3	47	1126	556	98	3	769	1	56	719	11	87	3017	3	329	1147	94	42	454	1185	7	2480	506	1572	27	900	736	136	2956	363	90
PPP2R5A	73	48	1	1	2	97	29	3	0	58	10	0	41	1	5	238	3	14	58	0	7	4	74	19	143	19	39	45	3	27	15	123	19	1
ELAVL1	256	83	0	0	13	255	77	22	0	198	8	0	77	2	18	648	5	63	176	0	2	2	181	15	415	91	83	27	5	83	8	339	62	16
SP100	310	111	2	0	25	357	94	75	3	230	16	0	97	2	57	1140	13	211	229	14	2	5	246	18	614	231	205	107	32	292	6	564	104	34
KLF6	1474	823	10	1	75	1271	596	167	12	1384	86	0	766	0	100	1858	52	230	1204	18	0	12	1314	186	2557	473	1289	817	84	2130	27	3559	129	119
TRAM1	188	110	1	3	6	239	87	11	1	188	4	0	94	1	7	597	1	34	195	1	9	2	154	4	371	56	153	19	14	65	42	456	69	1
RHOA	447	472	9	13	11	495	411	64	8	317	34	0	433	25	43	1138	15	116	722	3	70	4	799	39	995	218	817	293	36	506	221	1112	111	44
ROCK1	319	214	4	3	9	330	163	26	7	228	31	0	148	1	30	778	16	79	298	2	10	1	351	34	593	152	266	175	11	186	30	536	47	12
MEF2A	51	102	1	0	12	63	63	11	0	40	3	0	59	0	18	188	1	52	155	0	2	0	138	7	89	74	80	25	2	131	15	78	16	7
OTUD5	110	33	2	0	6	101	36	6	0	63	7	0	21	2	7	188	2	26	34	2	2	11	31	11	151	17	35	36	40	43	8	129	15	4
GRIPAP1	266	154	2	3	7	246	76	18	0	164	14	0	99	1	19	547	6	62	169	0	0	2	194	17	407	87	92	50	8	81	5	291	35	8
PRR11	298	84	1	2	14	233	81	16	1	168	11	0	50	0	16	461	7	53	89	0	0	0	112	11	328	64	62	34	7	53	1	213	32	13
KIF2A	315	29	0	60	6	304	27	9	0	229	5	0	25	46	6	1162	1	62	46	0	179	0	62	5	493	45	63	27	11	78	608	542	96	9
RASGRP2	153	59	2	14	7	149	29	21	1	83	7	0	53	8	12	457	1	71	67	0	31	0	111	8	254	72	145	57	4	104	262	241	46	20
PSME4	167	63	2	0	7	130	44	4	1	112	6	2	31	0	6	286	4	34	81	7	1	15	88	9	371	41	71	28	68	47	25	187	19	7
GNB5	522	129	5	3	21	444	131	37	3	359	17	0	77	3	28	1008	3	133	148	0	13	0	177	45	667	149	109	56	9	165	42	485	71	20
RAB27A	282	123	2	0	13	352	115	7	1	181	10	0	67	0	10	889	3	71	224	0	2	2	281	24	591	61	128	152	1	57	5	353	98	20
UFD1	102	45	1	4	0	123	20	3	0	103	4	1	28	3	3	316	2	21	89	3	10	5	84	7	306	26	132	59	31	50	43	351	49	6
DAPP1	62	77	3	21	4	70	84	26	2	50	12	0	97	18	20	260	4	86	181	0	70	0	163	12	160	118	71	65	4	109	158	112	35	18
PABPC1	2592	1240	12	8	71	2240	1145	141	5	1750	34	6	1069	5	110	5189	14	418	1828	13	30	48	1757	53	3995	535	1159	157	300	806	47	4231	575	82
CDC42	1612	749	14	9	43	1506	531	92	12	987	31	8	495	1	58	3367	33	285	997	4	30	18	1104	72	2572	400	1137	314	99	678	59	2459	341	65
MAP4K4	150	135	2	0	7	171	82	23	1	125	25	0	74	1	14	382	7	65	131	5	1	10	112	31	254	96	117	139	16	119	19	198	33	8
MGAT4A	986	219	12	0	20	973	152	35	9	684	56	0	136	1	48	2057	15	128	257	1	0	2	343	65	1356	129	172	196	23	179	3	1286	162	18
RPL31	2968	533	0	0	105	2883	540	155	1	2052	0	4	466	3	200	7401	0	636	945	6	3	42	717	7	4158	753	729	30	171	1198	13	5791	548	113
WDR1	142	85	3	23	4	150	77	5	2	101	8	0	72	19	8	397	5	21	141	0	53	3	163	7	325	22	175	47	6	32	169	321	36	5
FAM50A	108	47	0	1	2	96	42	4	1	72	0	0	43	1	7	212	2	18	73	0	4	3	70	3	151	19	106	8	15	23	20	186	30	6
PRKACA	581	241	5	1	29	402	156	27	5	314	17	0	174	1	21	877	8	89	279	2	3	3	305	27	612	119	212	68	12	91	0	458	81	13
ACTN1	241	113	14	19	4	166	87	4	9	163	71	1	95	24	11	645	19	19	162	0	79	0	224	73	263	27	79	230	12	31	271	231	31	6
PTPN18	71	66	0	18	5	84	69	16	0	57	0	0	61	19	6	176	1	14	112	0	50	1	131	3	160	22	172	14	5	41	158	195	24	4
AFF4	138	104	4	1	9	147	92	21	2	106	6	0	88	0	14	286	6	48	134	0	1	1	140	18	240	84	127	67	7	122	4	260	28	7
CHFR	334	124	1	0	13	274	81	17	1	193	17	0	88	0	16	596	3	38	150	0	0	3	146	27	439	82	102	123	4	97	13	276	58	15
STK10	496	268	7	0	18	457	190	38	5	309	42	1	237	2	36	1116	12	97	268	0	0	1	340	44	635	117	324	152	7	142	2	520	88	25
AP1M1	529	205	3	0	22	372	132	30	1	334	40	1	110	1	15	1173	15	105	239	0	2	6	291	42	724	139	166	116	11	113	2	561	93	30
KDM5A	166	67	1	0	3	194	48	14	2	154	13	1	57	2	17	588	10	56	130	2	0	4	124	20	378	80	80	88	21	76	3	259	33	8
NCBP3	248	104	0	1	6	235	66	16	1	154	13	0	73	1	16	599	5	59	140	0	3	0	164	20	434	68	99	49	5	69	4	289	49	16
MGLL	74	41	1	6	2	74	28	2	0	37	3	0	39	11	7	414	2	38	86	0	40	0	79	9	191	21	60	12	3	20	61	99	64	17
ZZEF1	822	332	9	2	28	808	237	60	6	531	38	2	210	1	25	2098	16	201	396	1	2	5	553	81	1490	275	240	130	14	211	6	895	245	49
ENO1	368	354	1	6	3	380	239	14	0	301	2	0	291	10	15	1082	0	52	452	0	30	1	552	3	867	73	594	41	6	110	115	1163	132	26
EIF4G3	67	55	0	2	7	69	30	6	1	39	6	0	22	3	7	142	3	21	75	0	11	0	80	11	113	49	59	29	2	53	39	127	11	6
MARK3	255	84	0	2	15	277	79	18	1	191	15	3	86	1	11	700	6	70	192	14	4	41	235	18	450	73	142	93	173	58	10	311	56	16
SLC25A3	432	267	2	1	14	390	215	23	3	281	13	0	251	2	23	1305	14	114	481	0	16	3	452	22	990	180	394	54	26	188	47	941	167	37
ACTB	3373	4924	38	329	67	4956	3497	196	75	2635	364	19	3851	307	204	13320	165	868	7115	30	1253	135	8166	321	10075	804	8202	2482	428	1026	4139	9772	1860	375
RAB7A	148	143	2	0	5	149	122	8	3	114	19	0	92	5	7	388	4	36	220	0	6	2	157	24	256	47	208	151	9	52	24	294	41	7
MLH1	309	74	3	0	16	289	65	20	1	239	9	0	62	1	30	576	5	54	99	0	0	1	103	13	474	91	71	40	8	109	1	350	53	16
ANKRD13A	60	48	3	2	8	70	29	6	6	49	16	0	31	1	18	145	12	39	73	1	2	2	78	30	116	37	85	85	7	80	3	119	13	6
ICAM3	340	151	1	0	10	358	92	18	14	252	36	0	106	1	20	857	10	59	237	1	0	1	190	33	601	87	150	144	3	106	2	665	107	24
STXBP2	66	236	2	10	4	65	183	5	2	38	9	3	135	14	4	118	10	17	343	3	36	16	414	23	122	17	541	987	77	15	102	117	8	5
NFKB2	216	62	10	0	11	165	68	18	10	113	40	0	65	1	10	210	5	55	74	2	0	1	107	47	209	115	52	153	3	87	0	218	24	20
USP33	199	52	0	1	9	244	44	17	0	166	1	1	41	1	14	449	2	56	84	0	3	4	86	4	305	72	53	17	22	59	18	231	38	6
CAPZB	396	253	3	15	6	480	186	33	4	299	28	3	223	12	17	1264	7	88	367	0	68	3	383	25	820	87	457	162	15	141	204	807	141	17
ACER3	326	188	7	2	4	297	113	25	7	211	32	0	135	2	21	1004	5	110	322	0	8	2	324	33	574	82	159	89	2	91	48	370	108	22
PIK3C3	155	100	8	0	6	120	78	9	11	96	42	1	73	0	7	373	10	30	91	0	2	1	152	40	208	43	97	183	8	25	8	157	25	3
PPP2R5C	1628	205	10	1	33	1817	141	57	10	1329	17	0	168	1	43	3151	24	132	229	0	4	3	283	37	2655	213	245	157	18	255	8	2299	219	29
GNB1	221	175	3	1	8	266	124	6	4	152	9	0	146	2	11	459	5	42	259	0	12	0	235	21	322	51	265	128	13	97	39	402	28	8
NRDC	108	45	0	2	3	111	42	10	2	78	14	0	41	4	6	300	2	33	87	2	17	13	100	11	204	30	108	79	35	47	86	256	27	4
PCM1	322	88	0	2	6	327	72	19	0	251	3	2	52	0	28	954	2	88	128	4	2	12	131	3	554	109	111	12	69	161	21	575	49	18
MYH7B	201	111	2	1	4	190	97	12	1	124	10	0	52	0	9	566	1	52	118	0	2	2	153	23	362	43	56	58	3	35	0	184	48	9
XRCC5	309	153	0	0	10	311	95	13	3	237	22	0	96	2	15	991	6	73	212	0	8	1	162	6	556	56	176	67	15	113	20	659	120	15
SAR1A	922	413	13	0	28	794	232	54	2	669	72	2	255	0	60	2031	14	208	400	0	2	7	516	71	1379	258	337	172	22	259	13	938	166	30
OPHN1	617	117	3	0	34	594	96	46	5	424	9	0	91	2	41	1125	2	121	148	0	2	4	140	14	670	179	127	18	28	200	8	575	65	14
DNM2	123	76	2	0	3	127	66	6	2	126	2	0	50	1	7	363	6	31	111	3	2	2	120	8	319	40	76	39	9	35	5	222	45	7
RAB21	196	91	3	1	4	175	79	13	3	145	17	1	66	1	6	351	9	31	111	2	5	6	131	47	260	59	135	227	26	101	8	259	20	7
SMARCA2	179	26	0	4	2	204	55	8	0	152	8	0	41	2	9	566	3	59	66	0	2	0	73	5	364	52	51	29	5	42	10	369	22	5
HSP90AA1	3574	558	6	2	175	3461	470	103	4	1614	47	20	448	4	167	3991	14	416	758	22	10	19	692	22	4171	936	1407	187	932	1251	416	4977	383	49
PTPRC	1134	707	23	0	23	1335	540	59	30	879	182	2	601	4	53	3999	66	244	1244	2	0	1	1043	118	2066	250	895	789	24	306	5	1655	379	34
STK17B	730	414	1	0	28	708	320	49	5	579	38	0	339	0	47	1685	34	100	541	0	0	23	454	60	1590	201	501	279	114	350	5	1604	150	37
GSK3B	102	44	1	1	0	114	36	5	0	68	8	0	34	0	6	293	7	29	79	1	3	0	81	12	143	30	65	25	7	41	7	130	14	5
KAT6A	324	93	3	4	8	319	48	11	1	215	29	1	60	1	17	727	9	65	134	0	11	2	137	16	545	104	66	91	10	116	26	507	53	5
TUT7	82	90	3	0	2	88	59	11	1	58	16	0	62	3	14	196	12	29	118	1	2	6	100	30	149	71	90	76	21	49	11	148	19	4
CYLD	599	182	5	0	19	571	138	33	9	398	37	0	129	0	24	1135	19	67	139	0	0	9	167	59	730	176	175	206	23	237	6	976	118	22
RPS5	3802	549	0	0	155	3941	562	281	2	3170	4	1	717	0	395	10841	0	1208	1037	6	4	17	718	3	6430	1797	951	17	148	2480	25	9409	1198	284
CHMP2B	89	82	0	1	6	101	52	17	2	67	14	0	79	0	9	254	13	35	100	0	0	0	128	21	179	50	124	89	8	78	6	223	16	4
SMAP2	297	85	4	0	17	234	124	65	8	206	67	2	108	0	26	970	21	184	260	2	1	1	266	41	494	249	215	382	32	438	26	574	62	30
APLP2	92	795	1	1	3	93	467	13	6	82	23	0	441	0	14	186	12	38	798	0	1	19	1082	34	124	88	897	220	29	66	7	182	12	4
WBP11	163	60	0	2	7	157	62	10	1	112	4	0	54	0	10	370	2	42	89	0	0	0	101	4	320	90	85	26	6	125	9	323	41	13
EIF3I	268	126	1	0	6	274	103	14	1	221	10	0	100	1	32	781	9	68	197	1	0	2	173	14	534	103	182	47	8	122	4	683	93	25
NCOA1	144	90	1	2	1	135	44	7	4	94	21	0	49	0	4	253	4	11	81	2	9	1	90	21	180	21	94	107	14	48	18	155	16	0
CD82	955	408	16	1	47	896	254	79	4	691	69	0	258	2	92	1937	25	274	451	3	9	6	519	115	1279	335	315	307	15	300	16	905	134	35
ATRX	417	128	1	1	14	413	77	37	2	283	11	0	90	1	26	1246	15	120	203	2	1	17	137	16	596	132	120	60	51	207	16	613	79	22
EPS15	172	80	0	0	6	176	66	15	0	166	9	0	74	3	8	349	6	61	92	0	2	0	104	6	318	100	98	35	9	95	19	260	34	14
DNAJA1	598	121	6	0	50	765	87	40	3	365	26	13	63	0	41	675	13	82	180	10	0	26	166	25	493	134	196	114	437	195	14	573	31	6
B4GALT1	130	108	1	1	10	143	51	15	1	70	8	0	55	0	16	288	5	49	100	2	5	0	121	18	160	108	96	108	2	101	10	141	25	11
CHMP5	47	23	1	0	2	69	13	4	0	48	5	3	26	2	4	224	4	26	76	1	3	8	75	4	87	15	59	31	45	26	25	147	23	3
EIF2AK1	97	30	0	20	3	96	22	1	0	68	0	13	30	17	4	222	0	31	52	33	55	190	65	3	195	31	41	9	551	44	203	176	23	4
TMED2	155	75	1	1	4	179	40	9	0	143	5	0	60	0	6	414	3	22	91	0	2	0	102	5	295	37	116	26	6	43	16	354	48	9
ZFAND6	120	102	2	4	17	138	62	19	2	90	10	2	63	2	16	329	5	58	117	0	10	7	159	15	256	86	276	64	39	140	34	274	41	12
