pair_id	set	distance_bp	count_rep1	count_rep2	count_rep3	New Column
BG172	background	441179	3	8	2	4.333333333333333
BG173	background	199589	16	15	13	14.666666666666666
BG174	background	332283	9	5	9	7.666666666666667
BG175	background	1171941	2	1	6	3.0
BG176	background	317345	7	0	9	5.333333333333333
BG177	background	1434007	1	3	1	1.6666666666666667
BG178	background	222436	9	10	13	10.666666666666666
BG179	background	1369519	0	0	2	0.6666666666666666
BG180	background	470184	3	9	7	6.333333333333333
BG181	background	373101	9	7	10	8.666666666666666
BG182	background	566247	4	8	4	5.333333333333333
BG183	background	218566	11	7	17	11.666666666666666
BG184	background	1150642	4	2	5	3.6666666666666665
BG185	background	893580	1	5	5	3.6666666666666665
BG186	background	766142	4	4	6	4.666666666666667
BG187	background	575640	4	1	4	3.0
BG188	background	303632	7	3	3	4.333333333333333
BG189	background	1707430	0	1	4	1.6666666666666667
BG190	background	1372242	1	5	1	2.3333333333333335
BG191	background	541405	7	1	6	4.666666666666667
BG192	background	636817	4	4	2	3.3333333333333335
BG193	background	1103704	0	3	1	1.3333333333333333
BG194	background	1015501	2	5	1	2.6666666666666665
BG195	background	1500249	3	2	5	3.3333333333333335
BG196	background	225646	11	16	4	10.333333333333334
BG197	background	337882	12	7	8	9.0
BG198	background	285271	15	7	5	9.0
BG199	background	828580	4	2	3	3.0
BG200	background	1740220	1	1	2	1.3333333333333333
EP1	candidate	260000	17	19	14	16.666666666666668
EP2	candidate	520000	7	9	11	9.0
EP3	candidate	340000	21	22	15	19.333333333333332
EP4	candidate	1050000	6	12	2	6.666666666666667
EP5	candidate	780000	3	0	2	1.6666666666666667
EP6	candidate	410000	3	6	4	4.333333333333333
EP7	candidate	650000	2	1	4	2.3333333333333335
