gene_id	log2_fold_change	p_value	fdr
YDL075W	0.006038822893	0.9746036493	0.9991078244
YDR415C	0.1234710058	0.8840910865	0.9991078244
YDR339C	0.7679486651	0.3472160856	0.9991078244
YDL213C	-0.8421784429	0.2503197384	0.9991078244
YDL019C	-0.5651120517	0.3440714187	0.9991078244
YDL022W	0.5880439221	0.3489395569	0.9991078244
YDR091C	-0.1803337973	0.6215472399	0.9991078244
YDR240C	-0.6059368008	0.3863530419	0.9991078244
YDL140C	0.009734512867	0.9780158504	0.9991078244
YDR120C	0.2233708303	0.6683947451	0.9991078244
YDL092W	0.3913314578	0.5896000976	0.9991078244
YDL082W	-0.3080999709	0.2437846667	0.9991078244
YDR291W	0.9715769398	0.06545226894	0.9991078244
YDR407C	0.007894461153	0.9888541218	0.9991078244
YDR382W	-0.1545295382	0.4276804451	0.9991078244
YDL188C	0.06545637704	0.9298706499	0.9991078244
YDR443C	0.04813711153	0.9527897358	0.9991078244
YDR144C	-0.1361047477	0.8195665884	0.9991078244
YDL157C	0.7914073986	0.3649400301	0.9991078244
YDL058W	-0.03095302699	0.9376065835	0.9991078244
YDL155W	0.4327532832	0.5581503763	0.9991078244
YDR147W	-0.005985979689	0.993478474	0.9991078244
YDL191W	0.01470407993	0.9525509143	0.9991078244
YDL128W	-0.6298063342	0.3322481125	0.9991078244
YDR127W	0.2787752891	0.4282865612	0.9991078244
YDR497C	-0.215908424	0.4320518772	0.9991078244
YDR363W-A	0.679666403	0.1881530337	0.9991078244
YDR385W	-0.3951158618	0.3207003802	0.9991078244
YDR331W	0.1570011417	0.8144899635	0.9991078244
YDR001C	-0.1321041344	0.8209717406	0.9991078244
YDR025W	0.04899179738	0.8603509186	0.9991078244
YDR046C	0.2011226347	0.6840927879	0.9991078244
YDR408C	0.4027977029	0.4998085966	0.9991078244
YDR019C	0.8720669013	0.1678036627	0.9991078244
YDR477W	0.3222961585	0.6556645154	0.9991078244
YDL100C	-0.08310600864	0.8081312935	0.9991078244
YDL124W	-0.3929753301	0.3531084574	0.9991078244
YDL227C	0.06406256417	0.9194905596	0.9991078244
YDR324C	0.06686554223	0.852294692	0.9991078244
YDR258C	-0.2577241441	0.7531691731	0.9991078244
YDR176W	0.3016779795	0.6331107115	0.9991078244
YDL099W	0.4690970038	0.5662878869	0.9991078244
YDR380W	1.284726504	0.02071678815	0.9991078244
YDR148C	0.07260465856	0.9058783676	0.9991078244
YDR133C	-0.04407539932	0.9333188642	0.9991078244
YDR378C	-0.07004688768	0.9247759293	0.9991078244
YDR165W	0.248164651	0.5901983096	0.9991078244
YDR086C	0.1462636792	0.7568255071	0.9991078244
YDR023W	0.2619957823	0.3214391661	0.9991078244
YDR394W	0.3526630291	0.3732312386	0.9991078244
YDR245W	0.5166941393	0.2451031448	0.9991078244
YDL184C	-0.0290354213	0.9059780599	0.9991078244
YDR434W	-0.03000855643	0.9689181724	0.9991078244
YDR225W	0.1426240972	0.7222881826	0.9991078244
YDR418W	0.006239452754	0.9793624195	0.9991078244
YDR224C	0.2771451742	0.3178102177	0.9991078244
YDR502C	-0.5308333447	0.1596600711	0.9991078244
YDR447C	-0.1396860813	0.5362430214	0.9991078244
YDL039C	-0.06090070217	0.9391465475	0.9991078244
YDL225W	0.9814497254	0.1431246706	0.9991078244
YDR370C	0.6365004272	0.1431090896	0.9991078244
YDR298C	0.3420797717	0.3581324127	0.9991078244
YDR276C	0.1163370482	0.8520416863	0.9991078244
YDL051W	0.1707444141	0.6322244624	0.9991078244
YDR221W	-0.2160421225	0.7071983467	0.9991078244
YDR456W	0.9855509746	0.08457486321	0.9991078244
YDL036C	-0.2656688012	0.7325701861	0.9991078244
snR63	-0.8557761741	0.1968757956	0.9991078244
YDR334W	0.1014688028	0.8249816823	0.9991078244
YDL164C	-0.340676067	0.497735452	0.9991078244
YDR093W	-0.2993065717	0.6107835759	0.9991078244
YDR071C	0.09638007532	0.8316793718	0.9991078244
YDL143W	0.2255684073	0.4127247736	0.9991078244
YDR032C	0.4610036187	0.3849483839	0.9991078244
YDL166C	0.9037050569	0.1981798496	0.9991078244
YDR151C	1.342710361	0.1698232907	0.9991078244
YDR037W	-0.3880602149	0.05800891356	0.9991078244
YDR172W	0.2319462264	0.5143532413	0.9991078244
YDL174C	0.09405884652	0.9058431038	0.9991078244
YDR080W	-0.3861644179	0.6420015185	0.9991078244
YDR047W	-0.7915834801	0.2645746646	0.9991078244
YDR267C	0.227303447	0.728271584	0.9991078244
YDL212W	-0.636362146	0.1483004004	0.9991078244
YDR044W	0.558962392	0.3913183479	0.9991078244
YDR207C	0.9832415299	0.2456660734	0.9991078244
YDL208W	0.3994194509	0.5481834079	0.9991078244
YDR135C	-0.4221538008	0.2088443353	0.9991078244
YDR229W	0.3184409981	0.6450888132	0.9991078244
YDR027C	0.1231415949	0.8767893907	0.9991078244
YDR518W	-0.08160647083	0.8928840953	0.9991078244
YDR055W	0.07424450977	0.9107079489	0.9991078244
YDR177W	-0.05086418517	0.9375929368	0.9991078244
YDL014W	-0.4357143625	0.1131372941	0.9991078244
YDR137W	-0.05277762619	0.9370134793	0.9991078244
YDL153C	0.4757395497	0.2529770084	0.9991078244
YDL219W	0.3623518886	0.6738130422	0.9991078244
YDR033W	-0.3764795878	0.1406061336	0.9991078244
YDR035W	-0.01220845511	0.9768715705	0.9991078244
YDR510W	0.03692437211	0.9279237485	0.9991078244
YDL055C	0.02365661461	0.866063417	0.9991078244
YDL103C	-0.1088978874	0.8500195445	0.9991078244
YDR087C	0.4242098995	0.5649210887	0.9991078244
YDL236W	-0.1031408691	0.8479026181	0.9991078244
YDR012W	0.1564655241	0.7630971852	0.9991078244
YDL121C	-0.009705634941	0.9804186331	0.9991078244
tG(GCC)D2	0.08674632602	0.9091054917	0.9991078244
YDL190C	0.1702910286	0.7631206335	0.9991078244
YDL047W	0.8916977239	0.2263017712	0.9991078244
YDR099W	-0.03792406042	0.9090526571	0.9991078244
YDR164C	0.2580688129	0.6494429502	0.9991078244
YDL020C	-0.2068878671	0.7367789613	0.9991078244
YDR152W	-0.005707242418	0.9952940484	0.9991078244
YDL148C	0.1424204038	0.7050749505	0.9991078244
YDR507C	0.352699761	0.5634941986	0.9991078244
YDL003W	0.8711458014	0.2877060258	0.9991078244
YDR524C-B	-0.005127643343	0.9880204232	0.9991078244
YDR371W	1.101404369	0.5627721867	0.9991078244
YDR335W	-0.07686438545	0.7950561611	0.9991078244
YDR351W	0.845386498	0.3081171667	0.9991078244
YDL150W	1.16233256	0.203378569	0.9991078244
YDR364C	0.3591600116	0.6390118594	0.9991078244
YDR309C	0.3009223434	0.6722983405	0.9991078244
YDR300C	0.3497981571	0.5216453896	0.9991078244
YDL168W	0.1907977348	0.6943316185	0.9991078244
YDR321W	-0.359515461	0.4578185673	0.9991078244
YDL030W	0.9265821775	0.3089245634	0.9991078244
YDR468C	-0.2707018405	0.7353803288	0.9991078244
YDL084W	-0.04974762221	0.8203908183	0.9991078244
YDL229W	-0.9342717193	5.582667465e-08	4.700606006e-05
YDR329C	-0.5722096754	0.5550748401	0.9991078244
YDR034C	-0.2427671086	0.7521561702	0.9991078244
YDR312W	-0.3709089158	0.5634626187	0.9991078244
YDL061C	-0.01791632923	0.9693207289	0.9991078244
YDL040C	0.08652781878	0.783150036	0.9991078244
YDR145W	0.5898823012	0.4919665181	0.9991078244
YDL231C	-0.4039609641	0.5429586873	0.9991078244
YDR190C	0.2949116432	0.5323083403	0.9991078244
YDR449C	0.2592018832	0.6615962365	0.9991078244
YDR074W	0.3388522968	0.604355938	0.9991078244
YDR450W	-0.04542434478	0.8005410602	0.9991078244
YDR376W	-0.001701443259	0.9978032999	0.9993858587
YDR161W	0.2314308116	0.6736552266	0.9991078244
YDR189W	0.05656881016	0.9302439561	0.9991078244
YDL237W	-0.06383406168	0.8810853046	0.9991078244
YDR188W	-0.115309881	0.6518199121	0.9991078244
YDL133C-A	0.1239364777	0.6191492031	0.9991078244
YDR531W	0.2121329369	0.7871404699	0.9991078244
YDR226W	0.625020773	0.09580013625	0.9991078244
YDL205C	-0.3774295599	0.5286113812	0.9991078244
YDR496C	0.3269506902	0.3145749039	0.9991078244
YDL147W	0.01277392173	0.9657929894	0.9991078244
YDL081C	-0.1490088684	0.3699623106	0.9991078244
YDR283C	0.5521285422	0.4075593511	0.9991078244
YDR261C	-0.04052728658	0.9575102502	0.9991078244
YDL074C	-0.09656918436	0.8213019219	0.9991078244
YDR346C	-0.1230032705	0.6627171868	0.9991078244
YDL122W	-0.3817813678	0.4959610952	0.9991078244
YDR390C	0.4835715978	0.4186765917	0.9991078244
YDR481C	-1.101894175	0.004465677365	0.5868992474
YDL141W	-0.8286941906	0.3572857917	0.9991078244
YDL178W	-0.2107204439	0.7007971578	0.9991078244
YDL192W	-0.2524050757	0.1990089424	0.9991078244
YDR146C	0.6557340307	0.3835604417	0.9991078244
YDL185W	-0.1726477632	0.3839361445	0.9991078244
YDR251W	0.1109800259	0.8503302316	0.9991078244
YDR368W	-0.3542355413	0.4695075256	0.9991078244
YDR399W	0.1265905798	0.6911293963	0.9991078244
YDR138W	0.1810685593	0.825285578	0.9991078244
YDL060W	-0.2113330744	0.6415714382	0.9991078244
YDL126C	-0.2220578024	0.3298583176	0.9991078244
YDR345C	0.1098505032	0.7453383541	0.9991078244
YDR292C	0.1691938595	0.733558049	0.9991078244
YDR170C	0.1211567888	0.6898964618	0.9991078244
YDR174W	-0.07406809253	0.852980104	0.9991078244
YDR500C	0.1701292461	0.5990352678	0.9991078244
YDR301W	-0.2347512819	0.7511556578	0.9991078244
YDR412W	0.8440883739	0.1487609134	0.9991078244
YDR234W	0.6376865002	0.2271432603	0.9991078244
YDR519W	0.1642429623	0.7843339175	0.9991078244
YDR465C	0.2785944797	0.6089122363	0.9991078244
YDR454C	-0.09250763571	0.7271924252	0.9991078244
YDL095W	-0.3205803763	0.3557222827	0.9991078244
YDL130W	0.2612206159	0.2082928097	0.9991078244
YDL117W	0.1782404749	0.8106768904	0.9991078244
YDR381W	-0.1610323551	0.6941188591	0.9991078244
YDR062W	0.1971390414	0.5833372615	0.9991078244
YDL167C	-0.4035038126	0.4483717236	0.9991078244
YDR517W	-0.5977837015	0.2635631217	0.9991078244
YDL226C	0.3254695812	0.5897981625	0.9991078244
YDL134C	0.7093372984	0.217258112	0.9991078244
YDR117C	-0.8725889709	0.1815726929	0.9991078244
YDR303C	-0.2174220851	0.7048114949	0.9991078244
YDL078C	-0.04517516745	0.9470522863	0.9991078244
YDR529C	1.192625154	0.1461016268	0.9991078244
snR47	0.2327697556	0.5670033951	0.9991078244
YDR452W	-0.535402929	0.1405941379	0.9991078244
YDR347W	-0.2674731924	0.7501883845	0.9991078244
YDR516C	0.5731436177	0.335229997	0.9991078244
YDL193W	-0.2767653296	0.6546391296	0.9991078244
YDL137W	0.04749873839	0.8957469611	0.9991078244
YDR233C	0.2771351219	0.3918680815	0.9991078244
YDR388W	0.4115143393	0.4020965688	0.9991078244
YDR049W	0.05062571576	0.9367133653	0.9991078244
YDR021W	0.6307592295	0.465458332	0.9991078244
YDR353W	0.07607687867	0.845963325	0.9991078244
YDR141C	-0.2258284957	0.6408648796	0.9991078244
YDR194C	-0.6408453967	0.1802818197	0.9991078244
YDL240W	-0.08455987169	0.9100868494	0.9991078244
YDR056C	0.5774893611	0.3684159576	0.9991078244
YDR328C	0.3479731578	0.414599378	0.9991078244
YDR280W	-0.4421266166	0.5573498058	0.9991078244
YDR098C	0.1628026475	0.5928258433	0.9991078244
YDR017C	-0.0782691896	0.887673516	0.9991078244
YDR341C	-0.03114069444	0.9111566428	0.9991078244
YDR154C	0.0807245254	0.9061540061	0.9991078244
YDR395W	0.2842556819	0.525448339	0.9991078244
YDR372C	0.293745968	0.6329442091	0.9991078244
YDR325W	0.05188310892	0.9370596876	0.9991078244
YDR006C	1.424875285	0.1330948099	0.9991078244
YDL102W	-0.1152476029	0.8549144464	0.9991078244
YDR527W	-0.1773037523	0.7362483657	0.9991078244
YDR333C	0.5385474194	0.3790963318	0.9991078244
YDL063C	0.0718658029	0.876885354	0.9991078244
YDL132W	-0.4578058831	0.3978304102	0.9991078244
YDR211W	0.08530514232	0.7659196401	0.9991078244
YDR110W	0.4317100852	0.5105139906	0.9991078244
YDR167W	0.02624450358	0.9645938386	0.9991078244
YDL215C	0.5778218501	0.2848440126	0.9991078244
YDR297W	-0.3383632002	0.4290240226	0.9991078244
YDR007W	0.3630652381	0.6037344918	0.9991078244
YDL195W	-0.2314062352	0.635417611	0.9991078244
YDR429C	-0.1224543979	0.7058133696	0.9991078244
YDL198C	-0.03148865803	0.96150392	0.9991078244
YDL120W	0.2556431768	0.7132418946	0.9991078244
YDR379W	-0.7267066167	0.3893788086	0.9991078244
YDL029W	-0.03138545958	0.9297747656	0.9991078244
YDR369C	0.723440396	0.3874204744	0.9991078244
YDR430C	0.2193158291	0.752889704	0.9991078244
YDR293C	-0.1410010346	0.7358660145	0.9991078244
YDR217C	0.6705958797	0.3592960507	0.9991078244
YDR052C	0.4586020576	0.4844097191	0.9991078244
YDL136W	-0.2816092941	0.3420900415	0.9991078244
YDR068W	0.6730731101	0.4075782955	0.9991078244
YDL046W	-0.1329457195	0.827418916	0.9991078244
YDR337W	0.7030669344	0.3476961981	0.9991078244
YDR356W	-0.0544496229	0.9398290106	0.9991078244
YOL144W	0.158387673	0.8191364654	0.9991078244
YOR206W	0.07009150922	0.8711280444	0.9991078244
YOR341W	-0.2031057952	0.3590542115	0.9991078244
YOL088C	0.5445171124	0.2689857122	0.9991078244
YOR160W	-0.7925496802	0.2895897485	0.9991078244
YOR039W	-0.0120695416	0.9786383441	0.9991078244
YOR281C	-0.009914225457	0.9891543263	0.9991078244
YOR230W	0.008748425776	0.9779281287	0.9991078244
YOL081W	0.05947965791	0.8857767281	0.9991078244
YOL052C	1.039813138	0.2215735411	0.9991078244
YOR285W	1.82325546	0.0846237965	0.9991078244
YOR270C	0.09204879606	0.6805618958	0.9991078244
YOR115C	-0.3497963379	0.6156514446	0.9991078244
YOL103W	0.04910134003	0.930236386	0.9991078244
YOL063C	-0.4732710286	0.5372334192	0.9991078244
YOR231W	-0.1125293547	0.893511325	0.9991078244
YOR021C	0.4111772526	0.265289614	0.9991078244
YOL038W	-0.679930775	0.1752770919	0.9991078244
YOL124C	-0.3879619635	0.6029353229	0.9991078244
YOR212W	-0.1868740378	0.7415031639	0.9991078244
YOL120C	-0.166093362	0.1736219014	0.9991078244
YOR335C	-0.04088252622	0.8741851836	0.9991078244
snR58	-0.1668495803	0.7823683991	0.9991078244
YOL122C	0.6382043927	0.3547961028	0.9991078244
YOR157C	-0.1722753844	0.7350003253	0.9991078244
YOR093C	-0.2399017254	0.7430504142	0.9991078244
YOL065C	-0.8647448351	0.281063499	0.9991078244
YOR207C	-0.1723819951	0.6374829028	0.9991078244
YOL005C	0.436882146	0.5070275751	0.9991078244
YOL020W	-0.03863163845	0.9478689176	0.9991078244
YOR038C	0.003064234473	0.9969043131	0.9993030297
YOR303W	0.04310116701	0.9362279308	0.9991078244
YOR052C	1.005017936	0.1965631051	0.9991078244
YOL039W	-0.076367432	0.7692754141	0.9991078244
YOL090W	0.07390080505	0.8882651179	0.9991078244
YOR271C	0.04460699502	0.921601259	0.9991078244
YOR108W	-0.7311860203	0.07494461513	0.9991078244
snR9	-0.02744851247	0.9727514054	0.9991078244
YOR216C	0.4254428385	0.4270818956	0.9991078244
YOR099W	-0.226453881	0.3741281435	0.9991078244
YOR001W	0.1275586539	0.84636617	0.9991078244
YOR204W	-0.7085428866	0.02421519986	0.9991078244
YOR209C	-0.06921693754	0.8429736513	0.9991078244
YOR048C	-0.2394978273	0.578835434	0.9991078244
YOR227W	-0.3356326041	0.5665275874	0.9991078244
YOR112W	1.774896421	0.04416338999	0.9991078244
YOR251C	-0.6131988179	0.4207423937	0.9991078244
YOR119C	0.6135479864	0.3461522731	0.9991078244
YOL151W	-0.08849768618	0.8893188355	0.9991078244
YOR330C	-0.3995942965	0.5313639246	0.9991078244
YOR142W	-0.05532504826	0.9290666648	0.9991078244
YOR002W	-0.5292398513	0.3031896238	0.9991078244
YOR194C	0.249965159	0.7370947441	0.9991078244
YOR298C-A	-0.4018683357	0.4343732512	0.9991078244
YOR014W	-0.4508594477	0.3426960309	0.9991078244
YOR346W	-0.01067491358	0.9816713184	0.9991078244
YOR336W	-1.355290684	0.02891819125	0.9991078244
YOR122C	0.0623305738	0.8909118356	0.9991078244
YOR256C	-0.2512510815	0.6291243761	0.9991078244
YOR196C	-0.7670954767	0.3050557232	0.9991078244
YOR369C	-0.15069954	0.2641679233	0.9991078244
YOR296W	0.7290950842	0.2904927881	0.9991078244
YOR260W	-0.4089671213	0.4126533505	0.9991078244
YOR316C	-0.6302305924	0.4335657798	0.9991078244
YOR326W	0.4788151218	0.09009432061	0.9991078244
YOL036W	-0.2499012415	0.7239603332	0.9991078244
YOR332W	-0.213040021	0.546331921	0.9991078244
YOL002C	0.1737403942	0.8095408272	0.9991078244
YOR243C	-0.276796656	0.3779235424	0.9991078244
YOL056W	0.28855489	0.6846781894	0.9991078244
YOR098C	-1.14234318	0.08597211922	0.9991078244
YOL076W	-0.4130483252	0.4411475195	0.9991078244
YOR188W	-0.06489089737	0.9147585875	0.9991078244
YOR069W	-0.4529977283	0.6004651618	0.9991078244
YOR124C	-0.2177952784	0.653310876	0.9991078244
YOR057W	0.9359771964	0.2701546485	0.9991078244
YOL127W	0.08582864759	0.6136931022	0.9991078244
YOR239W	-0.223523728	0.6851429191	0.9991078244
YOR317W	0.8050300176	0.1295299787	0.9991078244
YOR370C	0.4144554751	0.5248870036	0.9991078244
YOR211C	0.7914073986	0.3649400301	0.9991078244
YOR191W	0.1150241687	0.8562139053	0.9991078244
YOL064C	-0.3153293668	0.6512834684	0.9991078244
YOL049W	-0.2530964193	0.595049142	0.9991078244
YOR043W	-0.1188638196	0.8476303368	0.9991078244
YOL059W	0.01831164488	0.9741660276	0.9991078244
YOR375C	-1.288220077	1.616472412e-05	0.004536899237
snR35	0.2349186684	0.7005148154	0.9991078244
YOL013C	-0.7680326824	0.2922748321	0.9991078244
YOR272W	0.1305516295	0.7786015231	0.9991078244
YOL016C	-0.2070282521	0.7561990496	0.9991078244
YOR007C	-0.2259814095	0.3470873407	0.9991078244
YOR361C	-0.3054367149	0.1429634285	0.9991078244
YOL158C	-0.2841685995	0.6226403303	0.9991078244
YOR315W	-0.1476344825	0.8165371998	0.9991078244
YOR234C	0.2334982661	0.4811749617	0.9991078244
YOR283W	0.2036005956	0.6904191928	0.9991078244
YOL045W	0.54001342	0.5142728452	0.9991078244
YOR360C	-0.4761915392	0.5316352697	0.9991078244
YOL097C	0.07903669345	0.8263000787	0.9991078244
YOR164C	0.1171629633	0.7941872894	0.9991078244
YOR175C	0.4310978196	0.2851619985	0.9991078244
YOR086C	-0.1967775443	0.5801844102	0.9991078244
YOR155C	0.05485018733	0.9299645531	0.9991078244
YOL030W	-0.6998548868	0.1119935111	0.9991078244
YOR323C	-0.3037503597	0.4447215605	0.9991078244
YOL010W	0.009344915001	0.9902000346	0.9991078244
YOR118W	0.2084907809	0.7719747876	0.9991078244
YOR128C	-0.406500157	0.2830679748	0.9991078244
YOL125W	0.4558531261	0.5064880667	0.9991078244
YOL004W	-0.4286347073	0.3543105719	0.9991078244
YOR033C	-0.1598341657	0.8377960693	0.9991078244
YOL070C	-0.08011400731	0.9095772315	0.9991078244
YOR116C	-0.1014792196	0.7714717345	0.9991078244
YOR145C	-0.1200264553	0.7858711184	0.9991078244
YOL109W	0.446767639	0.1445195425	0.9991078244
YOR078W	0.3110314751	0.5986243758	0.9991078244
YOR131C	0.3321790706	0.6398359469	0.9991078244
YOR168W	-0.08132866908	0.7409460893	0.9991078244
YOR241W	-0.2030933676	0.7758623067	0.9991078244
YOR153W	-0.2707537387	0.3780019818	0.9991078244
YOL145C	0.08492522839	0.8544689372	0.9991078244
YOR322C	-0.5847449096	0.3727720654	0.9991078244
YOL031C	0.3995949684	0.6121037152	0.9991078244
YOR261C	-0.2143348274	0.291588528	0.9991078244
YOR293W	-0.1503258318	0.5643088814	0.9991078244
YOR067C	-0.4012718694	0.547289776	0.9991078244
YOR312C	-0.1311668894	0.4117387059	0.9991078244
YOR094W	0.3421953882	0.6898423315	0.9991078244
YOL105C	0.2881555835	0.712151951	0.9991078244
YOR197W	-0.3596080334	0.5262005616	0.9991078244
YOR262W	0.5915453309	0.5217867912	0.9991078244
YOR167C	-0.133014486	0.4138370272	0.9991078244
YOR127W	-0.7825431853	0.1905528673	0.9991078244
YOR184W	-0.1498934637	0.741682285	0.9991078244
YOR150W	1.143897257	0.2006605931	0.9991078244
YOR340C	-0.2996788656	0.5989463635	0.9991078244
YOR354C	0.8659217448	0.2464561456	0.9991078244
YOR217W	0.08752980475	0.871211113	0.9991078244
YOL006C	0.2766887758	0.6162597953	0.9991078244
YOR259C	-0.005964610824	0.9882742815	0.9991078244
YOR222W	0.8574453845	0.2564961378	0.9991078244
YOL051W	-0.1345558604	0.8655715256	0.9991078244
YOR091W	0.3045516513	0.6467658207	0.9991078244
YOL022C	-0.1518676708	0.7748846142	0.9991078244
YOL078W	0.3112283219	0.6516379653	0.9991078244
YOL098C	0.5055941576	0.1381754605	0.9991078244
YOR171C	0.08956990627	0.8979963726	0.9991078244
YOL089C	0.05200143302	0.9502841876	0.9991078244
YOR095C	-0.02382571429	0.9564340577	0.9991078244
YOR046C	-0.04268679331	0.9322098014	0.9991078244
YOL112W	0.2923408875	0.6745620192	0.9991078244
YOR141C	0.1231317097	0.831219747	0.9991078244
YOL143C	-0.2130765514	0.675810622	0.9991078244
YOR172W	-0.9206305335	0.2371013207	0.9991078244
YOR101W	0.2052579845	0.7546636431	0.9991078244
YOR056C	-0.03576469548	0.9546581169	0.9991078244
YOR246C	-0.7315536773	0.09997634595	0.9991078244
YOR042W	0.1106980884	0.8622023605	0.9991078244
YOR176W	-0.3191409023	0.6141419165	0.9991078244
YOR310C	-0.3516902687	0.09770232678	0.9991078244
YOR063W	-0.1056617832	0.2881985623	0.9991078244
YOL129W	0.4808612653	0.4603520197	0.9991078244
YOL092W	0.1677477699	0.8036292579	0.9991078244
YOL061W	-0.1481807965	0.7780447592	0.9991078244
YOR232W	-0.3059008986	0.4046308868	0.9991078244
YOR219C	0.4027990272	0.6086521825	0.9991078244
YOR182C	0.5996656684	0.2789472578	0.9991078244
YOR110W	-0.1910424843	0.7979787222	0.9991078244
YOL130W	-0.4240236834	0.4736689032	0.9991078244
YOL021C	-0.2411113088	0.6003158708	0.9991078244
YOL077W-A	0.2049700689	0.81190758	0.9991078244
YOR291W	-0.2517059958	0.6991668712	0.9991078244
YOL077C	0.1817353637	0.6529450188	0.9991078244
YOR123C	1.233232175	0.06306089991	0.9991078244
YOR362C	-0.006437526434	0.9902098781	0.9991078244
YOL057W	0.1977738955	0.6609651396	0.9991078244
YOR321W	-0.9764923884	0.2373424475	0.9991078244
YOL139C	0.01436743485	0.9555075165	0.9991078244
YOR287C	1.95493241	0.08155808693	0.9991078244
YOR198C	0.02790236807	0.9425571945	0.9991078244
