method	rank	mapping_rna_to_atac	mean_pattern_score	second_minus_best	usable_feature_pairs
promoter_pm10kb_log_z	2	1;5;4;0;6;3;7;2	0.329668036709	0.0153680689754	20290
promoter_pm10kb_log_z	3	5;1;4;0;3;6;7;2	0.306967669687	0.0153680689754	20290
promoter_pm10kb_log_z	4	1;5;4;0;3;6;7;2	0.291599600712	0.0153680689754	20290
promoter_pm10kb_log_z	5	5;6;4;0;1;3;7;2	0.291401676536	0.0153680689754	20290
promoter_pm10kb_log_z	6	5;1;4;3;6;0;7;2	0.289727329151	0.0153680689754	20290
promoter_pm10kb_log_z	7	5;1;4;0;6;3;2;7	0.288257388052	0.0153680689754	20290
promoter_pm10kb_log_z	8	5;4;1;0;6;3;7;2	0.281127890199	0.0153680689754	20290
promoter_pm10kb_log_z	9	6;5;4;0;1;3;7;2	0.277132180849	0.0153680689754	20290
promoter_pm10kb_log_z	10	5;0;4;1;6;3;7;2	0.275855538649	0.0153680689754	20290
promoter_pm10kb_rank	1	5;1;4;0;6;3;7;2	0.31607469867	0.0158975141464	20290
promoter_pm10kb_rank	2	1;5;4;0;6;3;7;2	0.300177184523	0.0158975141464	20290
promoter_pm10kb_rank	3	5;1;4;0;6;3;2;7	0.278206845384	0.0158975141464	20290
promoter_pm10kb_rank	4	5;1;4;0;3;6;7;2	0.275781237746	0.0158975141464	20290
promoter_pm10kb_rank	5	5;1;4;3;6;0;7;2	0.264428538593	0.0158975141464	20290
promoter_pm10kb_rank	6	5;4;1;0;6;3;7;2	0.262702745157	0.0158975141464	20290
promoter_pm10kb_rank	7	1;5;4;0;6;3;2;7	0.262309331238	0.0158975141464	20290
promoter_pm10kb_rank	8	1;5;4;0;3;6;7;2	0.259883723599	0.0158975141464	20290
promoter_pm10kb_rank	9	5;6;4;0;1;3;7;2	0.257352968591	0.0158975141464	20290
promoter_pm10kb_rank	10	5;1;4;0;6;7;3;2	0.254565036533	0.0158975141464	20290
promoter_pm20kb_log_z	1	5;1;4;0;6;3;7;2	0.347169891356	0.0214377300035	20291
promoter_pm20kb_log_z	2	1;5;4;0;6;3;7;2	0.325732161352	0.0214377300035	20291
promoter_pm20kb_log_z	3	5;1;4;0;3;6;7;2	0.309209546256	0.0214377300035	20291
promoter_pm20kb_log_z	4	5;1;4;0;6;3;2;7	0.296711234883	0.0214377300035	20291
promoter_pm20kb_log_z	5	5;6;4;0;1;3;7;2	0.291680249816	0.0214377300035	20291
promoter_pm20kb_log_z	6	5;1;4;3;6;0;7;2	0.289623406399	0.0214377300035	20291
promoter_pm20kb_log_z	7	1;5;4;0;3;6;7;2	0.287771816252	0.0214377300035	20291
promoter_pm20kb_log_z	8	5;4;1;0;6;3;7;2	0.282460966892	0.0214377300035	20291
promoter_pm20kb_log_z	9	5;1;4;0;6;7;3;2	0.278047799301	0.0214377300035	20291
promoter_pm20kb_log_z	10	5;0;4;1;6;3;7;2	0.276915032771	0.0214377300035	20291
promoter_pm20kb_rank	1	5;1;4;0;6;3;7;2	0.319141088796	0.023838031138	20291
promoter_pm20kb_rank	2	1;5;4;0;6;3;7;2	0.295303057658	0.023838031138	20291
promoter_pm20kb_rank	3	5;1;4;0;6;3;2;7	0.285700208931	0.023838031138	20291
promoter_pm20kb_rank	4	5;1;4;0;3;6;7;2	0.278587076787	0.023838031138	20291
promoter_pm20kb_rank	5	5;1;4;3;6;0;7;2	0.267702640491	0.023838031138	20291
promoter_pm20kb_rank	6	5;4;1;0;6;3;7;2	0.265902195982	0.023838031138	20291
promoter_pm20kb_rank	7	1;5;4;0;6;3;2;7	0.261862177793	0.023838031138	20291
promoter_pm20kb_rank	8	5;6;4;0;1;3;7;2	0.258055015659	0.023838031138	20291
promoter_pm20kb_rank	9	5;1;4;0;6;7;3;2	0.258036212557	0.023838031138	20291
promoter_pm20kb_rank	10	1;5;4;0;3;6;7;2	0.254749045649	0.023838031138	20291
