rank	mapping_rna_to_atac	graph_raw_mae	graph_log1p_mae	graph_mean_mae	distribution_fingerprint_mse
46	7;6;2;0;3;5;1;4	0.04930852866	0.09484625484	0.07207739175	2.189988775
47	0;4;5;1;3;6;2;7	0.05073881134	0.09349537554	0.07211709344	1.178683475
48	0;4;5;1;3;6;7;2	0.05073881134	0.09349537554	0.07211709344	1.31481342
49	2;6;7;0;3;4;1;5	0.0487895608	0.09546257283	0.07212606681	2.400143295
50	2;7;3;4;6;1;5;0	0.04981603317	0.0945533738	0.07218470348	1.507256041
51	2;6;3;4;7;1;5;0	0.04988967423	0.0945533738	0.07222152402	1.515121472
52	2;7;5;1;6;4;3;0	0.05095806871	0.09349537554	0.07222672213	1.35633073
53	0;4;6;3;1;5;7;2	0.05190904826	0.0925793979	0.07224422308	1.810837898
54	7;6;2;0;3;1;5;4	0.04885838784	0.09573420722	0.07229629753	2.202197649
55	0;3;4;5;6;1;2;7	0.05062387952	0.0939690396	0.07229645956	0.9758281131
56	0;3;4;6;1;5;2;7	0.05143243628	0.093174346	0.07230339114	1.398032871
57	2;6;3;0;7;4;1;5	0.04919575161	0.09546257283	0.07232916222	2.311732156
58	0;3;4;1;5;6;7;2	0.05092716129	0.0937416628	0.07233441204	1.410819224
59	0;1;4;3;5;6;7;2	0.05136625211	0.09331837989	0.072342316	1.480687929
60	0;4;1;5;6;3;2;7	0.05123905681	0.09349537554	0.07236721618	1.196346877
61	0;4;1;5;6;3;7;2	0.05123905681	0.09349537554	0.07236721618	1.332476822
62	7;6;2;5;3;1;4;0	0.05137085154	0.0933740915	0.07237247152	1.595189653
63	0;6;4;3;1;5;7;2	0.05219074736	0.0925793979	0.07238507263	1.64779437
64	0;3;4;5;1;6;7;2	0.05103367878	0.0937416628	0.07238767079	1.138817691
65	2;3;7;0;6;1;5;4	0.04794324411	0.09685068421	0.07239696416	2.056147645
66	7;3;2;0;6;1;5;4	0.04804414116	0.09685068421	0.07244741269	2.039051411
67	0;3;5;1;6;4;2;7	0.0508114479	0.09409032364	0.07245088577	1.245574846
68	0;3;6;4;1;5;2;7	0.0517776929	0.093174346	0.07247601945	1.387382163
69	2;7;3;0;6;4;5;1	0.04860656531	0.09635052521	0.07247854526	2.098471567
70	5;1;0;3;4;6;7;2	0.05251579264	0.09246542601	0.07249060932	1.376138816
71	0;3;1;5;6;4;2;7	0.05093037301	0.09409032364	0.07251034833	1.221770693
72	0;4;3;6;1;5;7;2	0.05245465901	0.0925793979	0.07251702846	1.893584274
73	0;3;5;1;4;6;2;7	0.05095212062	0.09409032364	0.07252122213	1.206301618
74	0;1;4;6;5;3;2;7	0.05173246551	0.09331837989	0.0725254227	1.435540222
75	0;1;4;6;5;3;7;2	0.05173246551	0.09331837989	0.0725254227	1.571670167
76	0;3;4;6;5;1;2;7	0.0519022387	0.093174346	0.07253829235	1.506928204
77	7;6;2;0;3;4;1;5	0.04965012902	0.09546257283	0.07255635093	2.383047061
78	2;6;7;4;5;3;1;0	0.04943766867	0.09571381048	0.07257573957	1.768546257
79	2;3;7;0;4;6;1;5	0.04957485904	0.09560772183	0.07259129043	2.197723828
80	2;6;7;3;4;1;5;0	0.05151090053	0.09368198902	0.07259644477	1.918476544
81	0;6;1;5;4;3;2;7	0.0517250253	0.09349537554	0.07261020042	1.387111258
82	0;6;1;5;4;3;7;2	0.0517250253	0.09349537554	0.07261020042	1.523241202
83	2;7;3;6;4;5;1;0	0.05068373177	0.0945533738	0.07261855278	1.859505783
84	2;7;3;6;4;1;5;0	0.05068373177	0.0945533738	0.07261855278	1.871714657
85	0;6;4;3;5;1;7;2	0.05266054977	0.0925793979	0.07261997384	1.756689703
86	0;1;4;5;3;6;2;7	0.05161127937	0.09365662955	0.07263395446	0.8629725773
87	0;1;4;5;3;6;7;2	0.05161127937	0.09365662955	0.07263395446	0.9991025222
88	2;7;6;3;4;1;5;0	0.05164244488	0.09368198902	0.07266221695	1.788968281
89	7;2;6;4;3;1;5;0	0.05164262367	0.09368198902	0.07266230634	1.559062327
90	0;5;4;6;1;3;2;7	0.05202337377	0.09331837989	0.07267087683	1.285427465
91	0;5;4;3;1;6;7;2	0.05202337377	0.09331837989	0.07267087683	1.330575172
92	0;5;4;6;1;3;7;2	0.05202337377	0.09331837989	0.07267087683	1.42155741
93	5;1;0;6;4;3;2;7	0.05288200604	0.09246542601	0.07267371602	1.330991109
94	5;1;0;6;4;3;7;2	0.05288200604	0.09246542601	0.07267371602	1.467121054
95	2;6;7;1;3;5;4;0	0.05143272133	0.09394773455	0.07269022794	1.775392088
96	0;4;6;3;5;1;7;2	0.05281456631	0.0925793979	0.07269698211	1.919733231
97	2;7;3;6;0;4;1;5	0.049962924	0.09546257283	0.07271274841	2.232549007
98	1;5;4;0;6;3;2;7	0.05299903802	0.09246542601	0.07273223202	1.025845724
99	1;5;4;0;6;3;7;2	0.05299903802	0.09246542601	0.07273223202	1.161975668
100	5;1;4;3;6;0;2;7	0.05300445134	0.09246542601	0.07273493867	0.8648495112

# Rows and columns in corr.tsv are feature-population columns; header labels were: RNA=gene,ATAC=peak; n_features RNA=29165, ATAC=295420
