# preliminary marker scan; raw counts/cell and detection fraction
# rows=36601 eye1_cells=8646 eye1_nnz=13757991 eye2_cells=9355 eye2_nnz=13643402
# mean_library_eye1=3288.011 mean_library_eye2=2849.443
gene	count_per_cell_eye1	count_per_cell_eye2	count_delta_eye2_minus_eye1	detect_eye1	detect_eye2	detect_delta
C1QC	0.001735	0.001390	-0.000345	0.001735	0.001390	-0.000345
VCAM1	0.000463	0.000107	-0.000356	0.000463	0.000107	-0.000356
S100B	0.006130	0.005665	-0.000465	0.006014	0.005452	-0.000563
ISG15	0.006593	0.006093	-0.000500	0.006246	0.005452	-0.000794
PECAM1	0.001157	0.000641	-0.000515	0.001157	0.000641	-0.000515
LUM	0.002313	0.001710	-0.000603	0.002082	0.001603	-0.000478
B2M	0.090099	0.089471	-0.000629	0.072403	0.074933	0.002530
COL1A1	0.001851	0.001176	-0.000675	0.001735	0.001176	-0.000559
RGS5	0.017927	0.017210	-0.000717	0.014111	0.014538	0.000427
AIF1	0.001504	0.000748	-0.000755	0.001504	0.000748	-0.000755
EMCN	0.001966	0.001069	-0.000897	0.000810	0.001069	0.000259
COL1A2	0.008328	0.007376	-0.000952	0.006477	0.006093	-0.000384
HLA-DPA1	0.005436	0.004276	-0.001160	0.005205	0.004062	-0.001143
VWF	0.001735	0.000534	-0.001200	0.001735	0.000534	-0.001200
PLP1	0.003123	0.001817	-0.001306	0.002892	0.001710	-0.001181
PMEL	0.004164	0.002565	-0.001598	0.004048	0.002565	-0.001483
IFIT2	0.006246	0.004383	-0.001863	0.005783	0.004276	-0.001507
SOX10	0.005667	0.003634	-0.002033	0.005320	0.003634	-0.001686
SOX9	0.013879	0.011652	-0.002228	0.012491	0.010689	-0.001802
MPZ	0.006246	0.003848	-0.002397	0.006130	0.003741	-0.002389
HLA-DPB1	0.015383	0.012934	-0.002449	0.014920	0.011972	-0.002948
TYR	0.007171	0.004703	-0.002468	0.006014	0.004169	-0.001845
MX1	0.006014	0.002779	-0.003235	0.004742	0.002672	-0.002070
KCNJ10	0.009368	0.005024	-0.004344	0.008328	0.004917	-0.003410
STAT1	0.130812	0.126029	-0.004783	0.108489	0.108391	-0.000098
CXCL8	0.005320	0.000107	-0.005213	0.004973	0.000107	-0.004867
IFIT3	0.011103	0.005559	-0.005545	0.009253	0.005131	-0.004122
PDGFRB	0.029609	0.022982	-0.006627	0.020472	0.016248	-0.004224
GNAT2	0.031460	0.022982	-0.008477	0.022901	0.018065	-0.004836
THY1	0.032385	0.023731	-0.008654	0.021975	0.017745	-0.004231
HLA-DMA	0.034004	0.024265	-0.009739	0.030534	0.022448	-0.008086
TNFAIP3	0.050312	0.040513	-0.009799	0.046495	0.038696	-0.007800
IFIT1	0.032154	0.021913	-0.010240	0.028452	0.020417	-0.008036
P2RY12	0.034120	0.022020	-0.012100	0.025098	0.018172	-0.006926
AQP4	0.028915	0.016141	-0.012774	0.021282	0.014110	-0.007171
RBPMS	0.032385	0.018172	-0.014213	0.027180	0.016462	-0.010718
CCL2	0.016308	0.001390	-0.014918	0.013301	0.001390	-0.011911
CTSD	0.082582	0.064992	-0.017590	0.061878	0.050882	-0.010996
IL6	0.019778	0.000214	-0.019564	0.015845	0.000214	-0.015632
IL1B	0.020819	0.000107	-0.020712	0.016655	0.000107	-0.016548
GRM6	0.177423	0.156601	-0.020822	0.070437	0.059540	-0.010897
IRF1	0.036086	0.015072	-0.021014	0.030766	0.014431	-0.016335
IRF7	0.034351	0.012827	-0.021524	0.027643	0.012400	-0.015243
CXCL10	0.024636	0.000107	-0.024529	0.019200	0.000107	-0.019093
VSX2	0.113116	0.086799	-0.026317	0.069396	0.057723	-0.011673
CALB1	0.092181	0.057296	-0.034886	0.043488	0.034955	-0.008534
KDR	0.086283	0.048316	-0.037966	0.037474	0.027579	-0.009895
RLBP1	0.158570	0.117370	-0.041200	0.077492	0.065954	-0.011538
RHO	2.237451	2.189738	-0.047713	0.696276	0.707322	0.011047
ARR3	0.373699	0.318332	-0.055366	0.074717	0.085730	0.011013
BEST1	0.075758	0.019241	-0.056517	0.051006	0.018493	-0.032513
ICAM1	0.061878	0.005345	-0.056534	0.036896	0.004703	-0.032192
NFKBIA	0.081194	0.023838	-0.057356	0.054013	0.022341	-0.031672
PROX1	0.202753	0.144094	-0.058659	0.093569	0.073544	-0.020026
SLC1A3	0.307194	0.207910	-0.099284	0.067661	0.058578	-0.009083
CCL5	0.136248	0.001390	-0.134858	0.049271	0.001390	-0.047882
GLUL	0.784178	0.581400	-0.202777	0.282443	0.250775	-0.031668
PRKCA	1.096692	0.853554	-0.243138	0.298867	0.282416	-0.016451
GNAT1	1.785797	1.417851	-0.367945	0.604441	0.564190	-0.040251
SAG	5.626764	4.269054	-1.357710	0.767291	0.757990	-0.009301
PDE6A	22.068471	17.176483	-4.891988	0.815869	0.817958	0.002090
