# CCL5/immune coexpression diagnostic; log1p(CP10K) values
# gene	mean_eye1	mean_eye2	delta_eye2_minus_eye1	detect_eye1	detect_eye2
eye1	426	TYROBP	0.007042	0.005121
eye1	426	LYZ	0.004695	0.004904
eye1	426	FCER1G	0.000000	0.000000
eye1	426	CTSD	0.084507	0.085397
eye1	426	CTSS	0.021127	0.016909
eye1	426	MS4A7	0.000000	0.000000
eye1	426	CD68	0.000000	0.000000
eye1	426	C1QA	0.007042	0.005262
eye1	426	C1QB	0.009390	0.007258
eye1	426	C1QC	0.004695	0.005090
eye1	426	P2RY12	0.241784	0.283596
eye1	426	TMEM119	0.000000	0.000000
eye1	426	CSF1R	0.009390	0.009190
eye1	426	LGALS3	0.532864	0.930824
eye1	426	SPP1	0.570423	0.946161
eye1	426	GFAP	0.178404	0.211807
eye1	426	ALDH1L1	0.239437	0.287111
eye1	426	GJA1	0.000000	0.000000
eye1	426	CLDN10	0.046948	0.051717
eye1	426	ATP1A2	0.143192	0.161268
eye1	426	AGT	0.032864	0.027928
eye1	426	AQP4	0.258216	0.313182
eye1	426	SLC1A3	0.835681	1.922977
eye1	426	RLBP1	0.753521	1.297077
eye1	426	GLUL	0.936620	2.442557
eye1	426	KCNJ10	0.079812	0.094337
eye1	426	SOX9	0.100939	0.106626
eye1	426	VIM	0.617371	1.079428
eye1	426	CLDN11	0.007042	0.009286
eye1	426	RAX	0.206573	0.245664
eye1	426	DIO2	0.180751	0.209289
eye1	426	RGS5	0.039906	0.046128
eye1	426	CSPG4	0.000000	0.000000
eye1	426	PDGFRB	0.298122	0.370275
eye1	426	MCAM	0.284038	0.369503
eye1	426	COL4A1	0.053991	0.067646
eye1	426	COL4A2	0.206573	0.234448
eye1	426	ACTA2	0.079812	0.098878
eye1	426	DES	0.000000	0.000000
eye1	426	NOTCH3	0.004695	0.003837
eye1	426	ABCC9	0.046948	0.046810
eye1	426	RPE65	0.002347	0.002421
eye1	426	BEST1	0.535211	0.731208
eye1	426	PMEL	0.007042	0.007965
eye1	426	TYR	0.004695	0.004243
eye1	426	MITF	0.051643	0.056192
eye1	426	MERTK	0.185446	0.224357
eye1	426	LRAT	0.072770	0.076979
eye1	426	RDH5	0.058685	0.059043
eye1	426	SERPINF1	0.028169	0.025960
eye1	426	CFH	0.004695	0.006115
eye1	426	RGR	0.671362	1.199080
eye1	426	HLA-DRA	0.018779	0.021714
eye1	426	HLA-DRB1	0.004695	0.003942
eye1	426	HLA-DPA1	0.004695	0.004354
eye1	426	HLA-DPB1	0.035211	0.033909
eye1	426	CD74	0.032864	0.034031
eye1	426	ISG15	0.075117	0.083135
eye1	426	IFIT1	0.058685	0.063649
eye1	426	IFIT2	0.014085	0.016779
eye1	426	IFIT3	0.014085	0.017257
eye1	426	IFITM3	0.633803	1.004997
eye1	426	MX1	0.021127	0.017969
eye1	426	IRF7	0.345070	0.399837
eye1	426	IRF1	0.312207	0.347413
eye1	426	IL1B	0.305164	0.335780
eye1	426	TNF	0.000000	0.000000
eye1	426	CCL2	0.237089	0.260013
eye1	426	CXCL10	0.342723	0.386754
eye1	426	IL6	0.281690	0.314290
eye1	426	CXCL8	0.082160	0.090819
eye1	426	PTGS2	0.000000	0.000000
eye1	426	ICAM1	0.598592	0.817219
eye1	426	NFKBIA	0.561033	0.785545
eye1	426	TNFAIP3	0.021127	0.016969
eye2	13	TRAC	0.000000	0.000000
eye2	13	CD3D	0.000000	0.000000
eye2	13	CD3E	0.000000	0.000000
eye2	13	CD3G	0.000000	0.000000
eye2	13	TRBC1	0.000000	0.000000
eye2	13	TRBC2	0.000000	0.000000
eye2	13	CD247	0.000000	0.000000
eye2	13	CD2	0.000000	0.000000
eye2	13	LTB	0.000000	0.000000
eye2	13	IL7R	0.000000	0.000000
eye2	13	CCL5	1.000000	1.381726
eye2	13	IL32	0.000000	0.000000
eye2	13	NKG7	0.000000	0.000000
eye2	13	CD8A	0.000000	0.000000
eye2	13	CD8B	0.000000	0.000000
eye2	13	GZMK	0.000000	0.000000
eye2	13	GZMB	0.000000	0.000000
eye2	13	GNLY	0.000000	0.000000
eye2	13	PTPRC	0.000000	0.000000
eye2	13	LST1	0.076923	0.029440
eye2	13	AIF1	0.000000	0.000000
eye2	13	TYROBP	0.000000	0.000000
eye2	13	LYZ	0.000000	0.000000
eye2	13	FCER1G	0.000000	0.000000
eye2	13	CTSD	0.230769	0.139416
eye2	13	CTSS	0.000000	0.000000
eye2	13	MS4A7	0.000000	0.000000
eye2	13	CD68	0.000000	0.000000
eye2	13	C1QA	0.000000	0.000000
eye2	13	C1QB	0.000000	0.000000
eye2	13	C1QC	0.000000	0.000000
eye2	13	P2RY12	0.076923	0.029440
eye2	13	TMEM119	0.000000	0.000000
eye2	13	CSF1R	0.000000	0.000000
eye2	13	LGALS3	0.000000	0.000000
eye2	13	SPP1	0.076923	0.067305
eye2	13	GFAP	0.000000	0.000000
eye2	13	ALDH1L1	0.076923	0.050679
eye2	13	GJA1	0.000000	0.000000
eye2	13	CLDN10	0.000000	0.000000
eye2	13	ATP1A2	0.076923	0.029440
eye2	13	AGT	0.000000	0.000000
eye2	13	AQP4	0.076923	0.029440
eye2	13	SLC1A3	0.076923	0.168387
eye2	13	RLBP1	0.230769	0.250586
eye2	13	GLUL	0.307692	0.545371
eye2	13	KCNJ10	0.000000	0.000000
eye2	13	SOX9	0.000000	0.000000
eye2	13	VIM	0.461538	0.686495
eye2	13	CLDN11	0.000000	0.000000
eye2	13	RAX	0.076923	0.106956
eye2	13	DIO2	0.153846	0.168630
eye2	13	RGS5	0.076923	0.067305
eye2	13	CSPG4	0.000000	0.000000
eye2	13	PDGFRB	0.153846	0.188292
eye2	13	MCAM	0.000000	0.000000
eye2	13	COL4A1	0.000000	0.000000
eye2	13	COL4A2	0.000000	0.000000
eye2	13	ACTA2	0.000000	0.000000
eye2	13	DES	0.000000	0.000000
eye2	13	NOTCH3	0.000000	0.000000
eye2	13	ABCC9	0.000000	0.000000
eye2	13	RPE65	0.000000	0.000000
eye2	13	BEST1	0.000000	0.000000
eye2	13	PMEL	0.000000	0.000000
eye2	13	TYR	0.000000	0.000000
eye2	13	MITF	0.076923	0.080968
eye2	13	MERTK	0.230769	0.279580
eye2	13	LRAT	0.000000	0.000000
eye2	13	RDH5	0.076923	0.029440
eye2	13	SERPINF1	0.000000	0.000000
eye2	13	CFH	0.000000	0.000000
eye2	13	RGR	0.153846	0.082389
eye2	13	HLA-DRA	0.000000	0.000000
eye2	13	HLA-DRB1	0.000000	0.000000
eye2	13	HLA-DPA1	0.000000	0.000000
eye2	13	HLA-DPB1	0.000000	0.000000
eye2	13	CD74	0.000000	0.000000
eye2	13	ISG15	0.000000	0.000000
eye2	13	IFIT1	0.000000	0.000000
eye2	13	IFIT2	0.000000	0.000000
eye2	13	IFIT3	0.000000	0.000000
eye2	13	IFITM3	0.230769	0.274257
eye2	13	MX1	0.000000	0.000000
eye2	13	IRF7	0.076923	0.029440
eye2	13	IRF1	0.000000	0.000000
eye2	13	IL1B	0.000000	0.000000
eye2	13	TNF	0.000000	0.000000
eye2	13	CCL2	0.000000	0.000000
eye2	13	CXCL10	0.000000	0.000000
eye2	13	IL6	0.000000	0.000000
eye2	13	CXCL8	0.000000	0.000000
eye2	13	PTGS2	0.000000	0.000000
eye2	13	ICAM1	0.000000	0.000000
eye2	13	NFKBIA	0.076923	0.031710
eye2	13	TNFAIP3	0.000000	0.000000

# Cells meeting >=2 identity anchors, and the subset also CCL5-positive
# cell_type	eye	anchor_positive	CCL5_positive_and_anchor_positive	fraction_CCL5_within_anchor
astrocyte	eye1	83	64	0.771084
astrocyte	eye2	59	1	0.016949
muller glia cell	eye1	1359	368	0.270787
muller glia cell	eye2	1251	4	0.003197
microglial cell	eye1	12	7	0.583333
microglial cell	eye2	16	1	0.062500
macrophage	eye1	357	167	0.467787
macrophage	eye2	327	1	0.003058
Pericyte	eye1	166	112	0.674699
Pericyte	eye2	168	1	0.005952
RPE cell	eye1	770	224	0.290909
RPE cell	eye2	664	1	0.001506
