Chromosome	StartPosition
5	53239791
5	5343964
5	548270
5	55125298
5	55466755
5	5549560
5	56961184
5	571920
5	59362240
5	595408
5	6001978
5	60608508
5	61186335
5	64212806
5	64310051
5	64310057
5	66639457
5	66763149
5	66775684
5	67132266
5	67961871
5	68299247
5	68555869
5	69726513
5	71340827
5	72278095
5	72586377
5	75964353
5	75968377
5	76039330
5	76041201
5	76049127
5	76049364
5	76050299
6	115479
6	115487
6	12036333
6	12881112
6	133115
6	140319
6	140341
6	15379849
6	15634834
6	15697366
6	17893220
6	21459405
6	22622295
6	24592292
6	24960161
6	25494379
6	25585596
6	28662071
6	29029832
6	29116077
6	29466107
6	29840323
6	29979189
6	30126329
6	30440542
6	30895254
6	31957419
6	32084493
6	32467554
6	32751618
6	33623118
6	34056280
6	36238375
6	38865506
6	40790473
6	40904632
6	4106676
6	42512722
6	44118093
6	4718513
6	47665223
6	47830308
6	50184447
6	51541340
6	53614389
6	55463337
6	55847376
6	56434464
6	57801184
6	58083599
6	58188546
6	62119135
6	62302531
6	64007534
6	64144244
6	64145599
6	64145645
6	64145704
6	64576074
6	6505070
6	65779441
6	65984346
6	8350190
7	10244902
7	122167
7	14028878
7	150396
7	15507558
7	17106556
7	17237248
7	18774913
7	21648270
7	22481547
7	23060995
7	2608965
7	26631195
7	28236105
7	30412246
7	32103117
7	32165171
7	32895005
7	34808073
7	35632033
7	35735289
7	36750927
7	37453550
7	3915041
7	40709557
7	40799308
7	40799357
7	40819997
7	40878868
7	5562913
7	5949936
7	5970924
7	5991664
7	6760831
7	7259405
7	7721209
7	8257383
8	10142518
8	12616074
8	14988177
8	16449812
8	16679359
8	17941154
8	18272269
8	22155970
8	22795827
8	22930763
8	23521728
8	238871
8	238880
8	238881
8	254227
8	26612335
8	27351321
8	29667560
8	29968336
8	30450820
8	32259856
8	32333620
8	3433809
8	35201959
8	362424
8	5110935
8	7742646
8	9171564
9	10091917
9	13194779
9	13216317
9	13395340
9	13490540
9	15231259
9	17658530
9	19904493
9	19961857
9	20022281
9	21813423
9	21983514
9	24103982
9	24390160
9	26345560
9	26590608
9	27163033
9	33368766
9	3379807
9	5010992
9	6402132
9	6402177
9	8719468
W	1015484
W	1023710
W	1049116
W	1085272
W	1190688
W	1190696
W	1225816
W	142316
W	1466065
W	1474675
W	1488323
W	1514978
W	1515940
W	1542304
W	1552027
W	1624187
W	1796801
W	1807578
W	1807768
W	1923789
W	1937468
W	2028346
W	2033592
W	2033609
W	2115420
W	2200748
W	2219685
W	2220841
W	2390548
W	2390566
W	2394387
W	2398691
W	2428757
W	2430931
W	2504052
W	2553299
W	2559667
W	2601343
W	2727787
W	2734655
W	2745192
W	2745277
W	2790601
W	2792144
W	2899201
W	29422
W	2970335
W	304102
W	304110
W	3093310
W	3108787
W	3113727
W	3128354
W	3275881
W	329044
W	3321274
W	3328955
W	3357418
W	3357585
W	3363615
W	338616
W	3390185
W	3425053
W	3441700
W	3444349
W	3473550
W	3514672
W	3686663
W	3709892
W	3809296
W	3810152
W	3823824
W	3829878
W	3884465
W	3919299
W	3919386
W	3949653
W	4011002
W	4014645
W	4046402
W	4046410
W	4046418
W	4046420
W	4046421
W	4046423
W	4046431
W	4046438
W	4046446
W	4046465
W	4078963
W	4079673
W	4122754
W	4136307
W	426148
W	4263936
W	4264002
W	4274325
W	4274387
W	4274468
W	4274563
W	4469651
W	4532922
W	4561200
W	4603049
W	4618274
W	4643055
W	4646685
W	4681052
W	4683371
W	4709583
W	4710368
W	4857809
W	4860360
W	4869364
W	4962666
W	4975182
W	5138322
W	5183987
W	5302941
W	5362284
W	5396715
W	5501875
W	5542732
W	5558338
W	5559845
W	5582305
W	5583385
W	5773031
W	5824733
W	5864352
W	5889785
W	5890947
W	5901228
W	5907077
W	5910734
W	5910738
W	5912079
W	5912111
W	5912840
W	5933144
W	5997431
W	6055031
W	605577
W	617108
W	6208472
W	6222788
W	6332836
W	6332990
W	6337354
W	6338144
W	6338201
W	6343120
W	6343121
W	6344831
W	6351102
W	6362067
W	6465203
W	6465544
W	6515126
W	6557806
W	6558706
W	6571435
W	6581000
W	6582396
W	6582781
W	6582969
W	6586524
W	6598250
W	6611131
W	6624171
W	6664450
W	6703896
W	6703923
W	6703985
W	6738426
W	724600
W	758424
W	758510
W	76283
W	90335
W	96330
W	96895
W	96969
W	98381
Z	20566623
Z	21008996
Z	21856644
Z	24814008
Z	25320720
Z	2619297
Z	26974244
Z	27167728
Z	27169604
Z	27169679
Z	28216558
Z	30278069
Z	37465196
Z	3801005
Z	44460705
Z	44462205
Z	44462259
Z	44465174
Z	45919841
Z	45920511
Z	48560242
Z	49553867
Z	51931174
Z	58406842
Z	60539982
Z	60983727
Z	63696839
Z	69564852
Z	69661877
Z	69831025
Z	69834321
Z	69838865
Z	70316253
Z	73389971
Z	73415363
Z	73799435
Z	74528956
Z	75974597
Z	75975270
Z	75975872
Z	76010127
Z	77792569
