id	miRNA
hsa-miR-199a-5p	hsa-miR-199a-5p
hsa-miR-19a	hsa-miR-19a
hsa-miR-19b	hsa-miR-19b
hsa-miR-200c	hsa-miR-200c
hsa-miR-205	hsa-miR-205
hsa-miR-20a	hsa-miR-20a
hsa-miR-20a*	hsa-miR-20a*
hsa-miR-20b	hsa-miR-20b
hsa-miR-21	hsa-miR-21
hsa-miR-210	hsa-miR-210
hsa-miR-2110	hsa-miR-2110
hsa-miR-215	hsa-miR-215
hsa-miR-22	hsa-miR-22
hsa-miR-22*	hsa-miR-22*
hsa-miR-221	hsa-miR-221
hsa-miR-222	hsa-miR-222
hsa-miR-223	hsa-miR-223
hsa-miR-223*	hsa-miR-223*
hsa-miR-23a	hsa-miR-23a
hsa-miR-23b	hsa-miR-23b
hsa-miR-24	hsa-miR-24
hsa-miR-25	hsa-miR-25
hsa-miR-26a	hsa-miR-26a
hsa-miR-26b	hsa-miR-26b
hsa-miR-27a	hsa-miR-27a
hsa-miR-27b	hsa-miR-27b
hsa-miR-28-3p	hsa-miR-28-3p
hsa-miR-28-5p	hsa-miR-28-5p
hsa-miR-297	hsa-miR-297
hsa-miR-29a	hsa-miR-29a
hsa-miR-29a*	hsa-miR-29a*
hsa-miR-29b	hsa-miR-29b
hsa-miR-29b-2*	hsa-miR-29b-2*
hsa-miR-29c	hsa-miR-29c
hsa-miR-301a	hsa-miR-301a
hsa-miR-30a	hsa-miR-30a
hsa-miR-30b	hsa-miR-30b
hsa-miR-30c	hsa-miR-30c
hsa-miR-30d	hsa-miR-30d
hsa-miR-30e	hsa-miR-30e
hsa-miR-30e*	hsa-miR-30e*
hsa-miR-32	hsa-miR-32
hsa-miR-320a	hsa-miR-320a
hsa-miR-320b	hsa-miR-320b
hsa-miR-324-3p	hsa-miR-324-3p
hsa-miR-324-5p	hsa-miR-324-5p
hsa-miR-326	hsa-miR-326
hsa-miR-328	hsa-miR-328
hsa-miR-331-3p	hsa-miR-331-3p
hsa-miR-335	hsa-miR-335
hsa-miR-338-3p	hsa-miR-338-3p
hsa-miR-339-3p	hsa-miR-339-3p
hsa-miR-339-5p	hsa-miR-339-5p
hsa-miR-33a	hsa-miR-33a
hsa-miR-342-3p	hsa-miR-342-3p
hsa-miR-346	hsa-miR-346
hsa-miR-34a	hsa-miR-34a
hsa-miR-361-3p	hsa-miR-361-3p
hsa-miR-363	hsa-miR-363
hsa-miR-365	hsa-miR-365
hsa-miR-374a	hsa-miR-374a
hsa-miR-374b	hsa-miR-374b
hsa-miR-375	hsa-miR-375
hsa-miR-376a	hsa-miR-376a
hsa-miR-378	hsa-miR-378
hsa-miR-382	hsa-miR-382
hsa-miR-409-3p	hsa-miR-409-3p
hsa-miR-421	hsa-miR-421
hsa-miR-423-3p	hsa-miR-423-3p
hsa-miR-423-5p	hsa-miR-423-5p
hsa-miR-424	hsa-miR-424
hsa-miR-425	hsa-miR-425
hsa-miR-425*	hsa-miR-425*
hsa-miR-451	hsa-miR-451
hsa-miR-484	hsa-miR-484
hsa-miR-485-3p	hsa-miR-485-3p
hsa-miR-486-5p	hsa-miR-486-5p
hsa-miR-495	hsa-miR-495
hsa-miR-497	hsa-miR-497
hsa-miR-500a	hsa-miR-500a
hsa-miR-501-3p	hsa-miR-501-3p
hsa-miR-502-3p	hsa-miR-502-3p
hsa-miR-505	hsa-miR-505
hsa-miR-532-3p	hsa-miR-532-3p
hsa-miR-532-5p	hsa-miR-532-5p
hsa-miR-543	hsa-miR-543
hsa-miR-551b	hsa-miR-551b
hsa-miR-574-3p	hsa-miR-574-3p
hsa-miR-584	hsa-miR-584
hsa-miR-590-5p	hsa-miR-590-5p
hsa-miR-605	hsa-miR-605
hsa-miR-629	hsa-miR-629
hsa-miR-652	hsa-miR-652
hsa-miR-660	hsa-miR-660
hsa-miR-720	hsa-miR-720
hsa-miR-766	hsa-miR-766
hsa-miR-885-5p	hsa-miR-885-5p
hsa-miR-92a	hsa-miR-92a
hsa-miR-92b	hsa-miR-92b
hsa-miR-93	hsa-miR-93
hsa-miR-93*	hsa-miR-93*
hsa-miR-95	hsa-miR-95
hsa-miR-99a	hsa-miR-99a
hsa-miR-99b	hsa-miR-99b
