section	field1	field2	value
corr	tailbud_neural	putative_neuro_endo	nan
corr	tailbud_neural	somite	nan
corr	tailbud_neural	tailbud	nan
corr	tailbud_neural	tailbud_neural	nan
swap_rank	endoderm	endostyle_csg	nan
swap_rank	endoderm	epidermal_neural	nan
swap_rank	endoderm	epidermis	nan
swap_rank	endoderm	mesodermal_notochord	nan
swap_rank	endoderm	muscular_somites	nan
swap_rank	endoderm	neural	nan
swap_rank	endoderm	neural_like	nan
swap_rank	endoderm	putative_neuro_endo	nan
swap_rank	endoderm	somite	nan
swap_rank	endoderm	tailbud	nan
