celltype	cytokine	direction	query_n	reference_n	overlap_n	query_coverage	jaccard	rank_correlation	exact_ordered_match	exact_prefix_n	overlap_genes
cDC1	IL-1β	up	112	294	38	0.3392857142857143	0.10326086956521739	0.45790324065579735	False	0	Ifitm1,Tspo,Lgmn,Ifitm2,Fabp5,Cdk2ap2,Tgfbi,Ptpn1,Mt1,Wfdc17,Id2,Timm10b,Socs3,Srgn,Tspan13,Bcl3,Fkbp5,Spint1,Fyn,Cdkn2d,Cd53,Casp6,Gpr171,Gpr146,Ms4a6d,Cd38,Mrpl20,Eps8,Ccnd3,Scimp,Mrps7,Eif5a,Orai1,Eif6,Xbp1,Lmnb1,Cbl,Prkcd
cDC2	OSM	up	112	111	37	0.33035714285714285	0.1989247311827957	0.4988222410430369	False	1	Ifitm1,Tspo,Ifitm2,Fabp5,Cdk2ap2,Tgfbi,Clec4n,Ptpn1,Mt1,Wfdc17,Id2,Timm10b,Rnh1,Socs3,Smdt1,Srgn,Tspan13,Bcl3,Fkbp5,Nr4a3,Spint1,Fyn,Olfm1,Cdkn2d,Lyn,Gpr35,Cd53,Casp6,Gpr171,Gpr146,Sept3,Ms4a6d,Ikzf1,Mrpl52,Rab3il1,Scimp,Xbp1
cDC2	IL-1α	up	112	493	37	0.33035714285714285	0.06514084507042253	0.49379362500156	False	0	Ifitm1,Lgmn,Ifitm2,Fabp5,Cdk2ap2,Clec4n,Ptpn1,Mt1,Id2,Socs3,Srgn,Tspan13,Bcl3,Fkbp5,Dok2,Nr4a3,Spint1,Fyn,Cd53,Gpr171,Gpr146,Ms4a6d,Il4ra,Mrpl20,Lsm12,Mvp,Scimp,Bzw2,Eif5a,Orai1,Eif6,Cfl1,Xbp1,Lmnb1,Il21r,Zfand3,Prkcd
Monocyte	IL-1β	up	112	217	33	0.29464285714285715	0.11148648648648649	0.4063470775079314	False	0	Ifitm1,Lgmn,Mafb,Ifitm2,Fabp5,Tgfbi,Clec4n,Ptpn1,Mt1,Id2,Rnh1,Socs3,Srgn,Fkbp5,Dok2,Olfm1,Manf,Calr,Cd53,Casp6,Ms4a6d,Il4ra,Mrpl52,Pdia6,Atp5g1,Eps8,Ldha,Ninj1,Rab3il1,Scimp,Eif5a,Cfl1,Xbp1
cDC2	IL-33	up	112	207	32	0.2857142857142857	0.11149825783972125	0.19663653855444496	False	0	Tspo,Lgmn,Fabp5,Clec4n,Ptpn1,Wfdc17,Socs3,Ly6a,Dok2,Nr4a3,Fyn,Olfm1,Sdc3,Manf,Calr,Cd53,Casp6,Cst7,Cyp7b1,Gpr171,Sept3,Ms4a6d,Pdia6,Eps8,Creld2,Rab3il1,Scimp,Dnajb11,Eif5a,Orai1,Xbp1,Prkcd
cDC2	GM-CSF	up	112	393	31	0.2767857142857143	0.06540084388185655	0.4588790940948759	False	0	Fabp5,Clec4n,Ptpn1,Id2,Socs3,Smdt1,Dok2,Nr4a3,Spint1,Olfm1,Psmb5,Ms4a6d,Mrpl20,Pdia6,Atp5g1,Eps8,Psmb8,Ldha,Rab3il1,Mvp,Scimp,Eif5a,Orai1,Prelid1,Cfl1,Xbp1,Ddx39,Eif4g1,Zfand3,Myadm,Prkcd
cDC2	CT-1	up	112	65	29	0.25892857142857145	0.19594594594594594	0.5917199017070003	False	0	Ifitm1,Tspo,Ifitm2,Fabp5,Cdk2ap2,Tgfbi,Ptpn1,Rnh1,Socs3,Smdt1,Srgn,Ly6a,Tspan13,Bcl3,Spint1,Fyn,Olfm1,Lyn,Gpr35,Calr,Cd53,Casp6,Cyp7b1,Gpr146,Ms4a6d,Atp5g1,Ccnd3,Ldha,Scimp
Monocyte	IL-36α	up	112	270	29	0.25892857142857145	0.0821529745042493	0.42139148948992194	False	0	Ifitm1,Tspo,Mafb,Ifitm2,Fabp5,Tgfbi,Clec4n,Mt1,Socs3,Srgn,Dok2,Manf,Calr,Cd53,Casp6,Ms4a6d,Il4ra,Mrpl52,Pdia6,Atp5g1,Eps8,Ssr2,Ldha,Creld2,Ninj1,Scimp,Dnajb11,Eif5a,Cfl1
NK cell	IL-15	up	112	810	29	0.25892857142857145	0.032474804031354984	0.2778703274127143	False	0	Socs3,Ly6a,Bcl3,Manf,Calr,Psmb5,Cd53,Gpr171,Dad1,Mrpl52,Mrpl20,Pdia6,Atp5g1,Ssr2,Ldha,Creld2,Lsm12,Bzw2,Mrps7,Dnajb11,Eif5a,Orai1,Eif6,Vars,Cfl1,Xbp1,Mrps24,Ddx39,Eif4g1
cDC2	LIF	down	112	29	28	0.25	0.24778761061946902	-0.9207895142304309	False	0	Ddx5,Pabpc1,H2-DMa,Ncf1,Nr4a2,Cox7a2l,Trappc5,Ier5,Myadm,Foxp1,Cbl,Il6ra,Cd180,Pmaip1,Zeb2,Dnajc7,Ccrl2,Mcemp1,Zfp36,Prkcd,Nr4a1,Neat1,Txnip,Klf2,Cybb,Btg2,Hspa1a,Fos
pDC	IL-3	up	112	421	28	0.25	0.055445544554455446	0.0176121283278832	False	0	Fabp5,Ptpn1,Timm10b,Smdt1,Srgn,Ly6a,Sdc3,Manf,Calr,Psmb5,Cyp7b1,Dad1,Pdia6,Atp5g1,Psmb8,Ssr2,Ccnd3,Ldha,Lsm12,Mvp,Dnajb11,Eif5a,Eif6,Cfl1,Mrps24,Ddx39,Eif4g1,H2-DMa
cDC2	IFN-α1	up	112	649	28	0.25	0.03819918144611187	0.21066918975579532	False	0	Tspo,Wfdc17,Id2,Rnh1,Socs3,Ly6a,Bcl3,Fyn,Lyn,Sdc3,Manf,Cd53,Ms4a6d,Tmem106a,Il4ra,Ikzf1,Pdia6,Psmb8,Lamp2,Mvp,Scimp,Dnajb11,Eif6,Vav1,Il21r,Ncf1,Dnajc7,Prkcd
CD8+ T cell	IL-2	up	112	667	28	0.25	0.037283621837549935	0.05419489268545614	False	0	Fabp5,Socs3,Ly6a,Bcl3,Fyn,Manf,Calr,Psmb5,Dad1,Mrpl52,Mrpl20,Pdia6,Atp5g1,Psmb8,Ssr2,Ldha,Lsm12,Bzw2,Dnajb11,Eif5a,Prelid1,Eif6,Vars,Cfl1,Xbp1,Pabpc1,Ddx39,Eif4g1
cDC1	IL-36α	up	112	276	27	0.24107142857142858	0.07479224376731301	0.4955561579811476	False	0	Tspo,Lgmn,Ifitm2,Fabp5,Cdk2ap2,Ptpn1,Mt1,Wfdc17,Timm10b,Socs3,Srgn,Ly6a,Bcl3,Cd53,Ms4a6d,Cd38,Il4ra,Ccnd3,Ldha,Lamp2,Mvp,Scimp,Eif5a,Orai1,Eif6,Lmnb1,Zfand3
cDC2	IL-13	up	112	302	27	0.24107142857142858	0.06976744186046512	0.26559731598726555	False	0	Fabp5,Timm10b,Smdt1,Dok2,Fyn,Manf,Calr,Psmb5,Casp6,Cst7,Sept3,Dad1,Pdia6,Atp5g1,Psmb8,Ssr2,Ccnd3,Ldha,Creld2,Lsm12,Rab3il1,Bzw2,Eif5a,Prelid1,Mrps24,Ddx39,Eif4g1
