section	marker_set	gene_or_sample	value
sample_marker_rank	Limb	4:Gill	log1p_cpm=2.738844;cpm=14.469096
sample_marker_rank	Limb	5:Lung	log1p_cpm=2.719183;cpm=14.167923
sample_marker_rank	Limb	6:Intestine	log1p_cpm=2.657030;cpm=13.253892
sample_marker_rank	Limb	7:Pancreas	log1p_cpm=2.576409;cpm=12.149833
sample_marker_rank	Limb	8:Brain	log1p_cpm=2.572246;cpm=12.095206
sample_marker_rank	Limb	9:Bladder	log1p_cpm=2.516181;cpm=11.381223
sample_marker_rank	Limb	10:Limb	log1p_cpm=2.494790;cpm=11.119183
sample_marker_rank	Limb	11:Kidney	log1p_cpm=2.448761;cpm=10.573993
sample_marker_rank	Limb	12:GallBladder	log1p_cpm=2.381059;cpm=9.816347
sample_marker_rank	Limb	13:Spleen	log1p_cpm=2.377175;cpm=9.774424
sample_marker_rank	Limb	14:Liver	log1p_cpm=2.354236;cpm=9.530077
sample_marker_rank	Limb	15:Heart	log1p_cpm=2.196278;cpm=7.991485
marker_found	Spleen_immune	PTPRC	FOUND
marker_found	Spleen_immune	CD79A	FOUND
marker_found	Spleen_immune	MS4A1	MISSING
marker_found	Spleen_immune	CD3D	MISSING
marker_found	Spleen_immune	LCK	FOUND
marker_found	Spleen_immune	SPI1	FOUND
hit_bins	Spleen_immune		44
sample_marker_rank	Spleen_immune	1:Spleen	log1p_cpm=3.557629;cpm=34.079918
sample_marker_rank	Spleen_immune	2:Liver	log1p_cpm=3.208618;cpm=23.744855
sample_marker_rank	Spleen_immune	3:Heart	log1p_cpm=3.095401;cpm=21.096092
sample_marker_rank	Spleen_immune	4:Stomach	log1p_cpm=3.067275;cpm=20.483272
sample_marker_rank	Spleen_immune	5:Limb	log1p_cpm=3.054859;cpm=20.218200
sample_marker_rank	Spleen_immune	6:Lung	log1p_cpm=3.012955;cpm=19.347447
sample_marker_rank	Spleen_immune	7:Gill	log1p_cpm=3.010998;cpm=19.307665
sample_marker_rank	Spleen_immune	8:GallBladder	log1p_cpm=3.003397;cpm=19.153892
sample_marker_rank	Spleen_immune	9:Pancreas	log1p_cpm=2.992246;cpm=18.930403
sample_marker_rank	Spleen_immune	10:Prostate	log1p_cpm=2.979267;cpm=18.673384
sample_marker_rank	Spleen_immune	11:Bladder	log1p_cpm=2.965955;cpm=18.413234
sample_marker_rank	Spleen_immune	12:Intestine	log1p_cpm=2.924054;cpm=17.616602
sample_marker_rank	Spleen_immune	13:Brain	log1p_cpm=2.922774;cpm=17.592793
sample_marker_rank	Spleen_immune	14:Kidney	log1p_cpm=2.880770;cpm=16.827992
sample_marker_rank	Spleen_immune	15:Cloaca	log1p_cpm=2.837094;cpm=16.066099
marker_found	Kidney	SLC34A1	FOUND
marker_found	Kidney	UMOD	FOUND
marker_found	Kidney	AQP2	MISSING
marker_found	Kidney	PAX2	FOUND
marker_found	Kidney	SLC12A1	FOUND
hit_bins	Kidney		44
sample_marker_rank	Kidney	1:Kidney	log1p_cpm=3.034506;cpm=19.790695
sample_marker_rank	Kidney	2:Stomach	log1p_cpm=2.984708;cpm=18.780721
sample_marker_rank	Kidney	3:GallBladder	log1p_cpm=2.964152;cpm=18.378266
sample_marker_rank	Kidney	4:Pancreas	log1p_cpm=2.897735;cpm=17.133023
sample_marker_rank	Kidney	5:Bladder	log1p_cpm=2.842719;cpm=16.162363
sample_marker_rank	Kidney	6:Heart	log1p_cpm=2.837283;cpm=16.069320
sample_marker_rank	Kidney	7:Prostate	log1p_cpm=2.833241;cpm=16.000477
sample_marker_rank	Kidney	8:Cloaca	log1p_cpm=2.784015;cpm=15.183868
sample_marker_rank	Kidney	9:Limb	log1p_cpm=2.750520;cpm=14.650769
sample_marker_rank	Kidney	10:Brain	log1p_cpm=2.731844;cpm=14.361184
sample_marker_rank	Kidney	11:Intestine	log1p_cpm=2.709847;cpm=14.026976
sample_marker_rank	Kidney	12:Lung	log1p_cpm=2.682461;cpm=13.621031
sample_marker_rank	Kidney	13:Gill	log1p_cpm=2.647921;cpm=13.124642
sample_marker_rank	Kidney	14:Liver	log1p_cpm=2.642256;cpm=13.044858
sample_marker_rank	Kidney	15:Spleen	log1p_cpm=2.501816;cpm=11.204632
