section	a	b	value
pairwise_corr	Brain	Stomach	0.776577
pairwise_corr	Cloaca	GallBladder	0.616337
pairwise_corr	Cloaca	Gill	0.853833
pairwise_corr	Cloaca	Heart	0.703697
pairwise_corr	Cloaca	Intestine	0.891708
pairwise_corr	Cloaca	Kidney	0.787156
pairwise_corr	Cloaca	Limb	0.831904
pairwise_corr	Cloaca	Liver	0.826053
pairwise_corr	Cloaca	Lung	0.876339
pairwise_corr	Cloaca	Pancreas	0.822899
pairwise_corr	Cloaca	Prostate	0.824557
pairwise_corr	Cloaca	Spleen	0.790706
pairwise_corr	Cloaca	Stomach	0.878998
pairwise_corr	GallBladder	Gill	0.642768
pairwise_corr	GallBladder	Heart	0.537376
pairwise_corr	GallBladder	Intestine	0.695417
pairwise_corr	GallBladder	Kidney	0.753344
pairwise_corr	GallBladder	Limb	0.736686
pairwise_corr	GallBladder	Liver	0.717305
pairwise_corr	GallBladder	Lung	0.668081
pairwise_corr	GallBladder	Pancreas	0.825001
pairwise_corr	GallBladder	Prostate	0.582923
pairwise_corr	GallBladder	Spleen	0.587656
pairwise_corr	GallBladder	Stomach	0.629135
pairwise_corr	Gill	Heart	0.727320
pairwise_corr	Gill	Intestine	0.854244
pairwise_corr	Gill	Kidney	0.821077
pairwise_corr	Gill	Limb	0.902609
pairwise_corr	Gill	Liver	0.808416
pairwise_corr	Gill	Lung	0.906126
pairwise_corr	Gill	Pancreas	0.820331
pairwise_corr	Gill	Prostate	0.846394
pairwise_corr	Gill	Spleen	0.827926
pairwise_corr	Gill	Stomach	0.852708
pairwise_corr	Heart	Intestine	0.709153
pairwise_corr	Heart	Kidney	0.716539
pairwise_corr	Heart	Limb	0.741809
pairwise_corr	Heart	Liver	0.669513
pairwise_corr	Heart	Lung	0.786173
pairwise_corr	Heart	Pancreas	0.695161
pairwise_corr	Heart	Prostate	0.693138
pairwise_corr	Heart	Spleen	0.700829
pairwise_corr	Heart	Stomach	0.671056
pairwise_corr	Intestine	Kidney	0.834353
pairwise_corr	Intestine	Limb	0.860703
pairwise_corr	Intestine	Liver	0.872087
pairwise_corr	Intestine	Lung	0.874684
pairwise_corr	Intestine	Pancreas	0.869651
pairwise_corr	Intestine	Prostate	0.816042
pairwise_corr	Intestine	Spleen	0.804620
pairwise_corr	Intestine	Stomach	0.895478
pairwise_corr	Kidney	Limb	0.909443
pairwise_corr	Kidney	Liver	0.819487
pairwise_corr	Kidney	Lung	0.870977
pairwise_corr	Kidney	Pancreas	0.870077
pairwise_corr	Kidney	Prostate	0.834111
pairwise_corr	Kidney	Spleen	0.819764
pairwise_corr	Kidney	Stomach	0.773096
pairwise_corr	Limb	Liver	0.837476
pairwise_corr	Limb	Lung	0.908746
pairwise_corr	Limb	Pancreas	0.875070
pairwise_corr	Limb	Prostate	0.847448
pairwise_corr	Limb	Spleen	0.865492
pairwise_corr	Limb	Stomach	0.822207
pairwise_corr	Liver	Lung	0.837549
pairwise_corr	Liver	Pancreas	0.865676
pairwise_corr	Liver	Prostate	0.774013
pairwise_corr	Liver	Spleen	0.806642
pairwise_corr	Liver	Stomach	0.843941
pairwise_corr	Lung	Pancreas	0.853496
pairwise_corr	Lung	Prostate	0.852153
pairwise_corr	Lung	Spleen	0.866978
pairwise_corr	Lung	Stomach	0.845558
pairwise_corr	Pancreas	Prostate	0.784715
pairwise_corr	Pancreas	Spleen	0.782547
pairwise_corr	Pancreas	Stomach	0.814421
pairwise_corr	Prostate	Spleen	0.822793
pairwise_corr	Prostate	Stomach	0.814854
pairwise_corr	Spleen	Stomach	0.775855
