section	marker_set	gene_or_sample	value
sample_marker_rank	Pancreas_acinar	5:Prostate	log1p_cpm=1.767117;cpm=4.853950
sample_marker_rank	Pancreas_acinar	6:Lung	log1p_cpm=1.746618;cpm=4.735174
sample_marker_rank	Pancreas_acinar	7:Gill	log1p_cpm=1.746320;cpm=4.733463
sample_marker_rank	Pancreas_acinar	8:Bladder	log1p_cpm=1.698566;cpm=4.466104
sample_marker_rank	Pancreas_acinar	9:Kidney	log1p_cpm=1.661846;cpm=4.269028
sample_marker_rank	Pancreas_acinar	10:Limb	log1p_cpm=1.652623;cpm=4.220655
sample_marker_rank	Pancreas_acinar	11:Intestine	log1p_cpm=1.639788;cpm=4.154077
sample_marker_rank	Pancreas_acinar	12:GallBladder	log1p_cpm=1.628347;cpm=4.095445
sample_marker_rank	Pancreas_acinar	13:Liver	log1p_cpm=1.618300;cpm=4.044508
sample_marker_rank	Pancreas_acinar	14:Stomach	log1p_cpm=1.600558;cpm=3.955799
sample_marker_rank	Pancreas_acinar	15:Spleen	log1p_cpm=1.599620;cpm=3.951149
marker_found	Pancreas_endocrine	INS	FOUND
source_top	Pancreas_endocrine	INS	Endocrine cell=0.9343;Lymphatic endothelial cell=0.3105;Hepatic stellate cell=0.2083;Hepatocyte=0.1865
marker_found	Pancreas_endocrine	GCG	FOUND
source_top	Pancreas_endocrine	GCG	Endocrine cell=0.7166;Hepatocyte=0.2518;Enterocyte=0.1078;Cardiac muscle=0.1051
hit_bins	Pancreas_endocrine		25
sample_marker_rank	Pancreas_endocrine	1:Pancreas	log1p_cpm=2.659322;cpm=13.286600
sample_marker_rank	Pancreas_endocrine	2:Intestine	log1p_cpm=2.367970;cpm=9.675699
sample_marker_rank	Pancreas_endocrine	3:Liver	log1p_cpm=2.353282;cpm=9.520035
sample_marker_rank	Pancreas_endocrine	4:Cloaca	log1p_cpm=2.304236;cpm=9.016520
sample_marker_rank	Pancreas_endocrine	5:Heart	log1p_cpm=2.298091;cpm=8.955160
sample_marker_rank	Pancreas_endocrine	6:Stomach	log1p_cpm=2.295522;cpm=8.929619
sample_marker_rank	Pancreas_endocrine	7:GallBladder	log1p_cpm=2.259450;cpm=8.577820
sample_marker_rank	Pancreas_endocrine	8:Gill	log1p_cpm=2.244916;cpm=8.439620
sample_marker_rank	Pancreas_endocrine	9:Lung	log1p_cpm=2.236146;cpm=8.357195
sample_marker_rank	Pancreas_endocrine	10:Brain	log1p_cpm=2.184764;cpm=7.888550
sample_marker_rank	Pancreas_endocrine	11:Spleen	log1p_cpm=2.169930;cpm=7.757671
sample_marker_rank	Pancreas_endocrine	12:Bladder	log1p_cpm=2.162241;cpm=7.690594
sample_marker_rank	Pancreas_endocrine	13:Kidney	log1p_cpm=2.162067;cpm=7.689079
sample_marker_rank	Pancreas_endocrine	14:Prostate	log1p_cpm=2.133418;cpm=7.443682
sample_marker_rank	Pancreas_endocrine	15:Limb	log1p_cpm=2.108262;cpm=7.233915
marker_found	Hepatocyte_control	ALB	FOUND
source_top	Hepatocyte_control	ALB	Hepatocyte=2.6586;Cholangiocyte=0.1407;Hepatic stellate cell=0.1262;Osteoblast=0.1066
marker_found	Hepatocyte_control	APOA1	FOUND
source_top	Hepatocyte_control	APOA1	Hepatocyte=0.8251;Enterocyte=0.4065;Cholangiocyte=0.1316;Pancreatic ductal cell=0.1166
marker_found	Hepatocyte_control	APOB	FOUND
source_top	Hepatocyte_control	APOB	Hepatocyte=1.1473;Enterocyte=0.817;Proximal tubule=0.4765;Cholangiocyte=0.2023
marker_found	Hepatocyte_control	HNF4A	FOUND
source_top	Hepatocyte_control	HNF4A	Hepatocyte=0.4349;Proximal tubule=0.4305;Enterocyte=0.4045;Goblet cell=0.3628
hit_bins	Hepatocyte_control		46
sample_marker_rank	Hepatocyte_control	1:Intestine	log1p_cpm=4.017958;cpm=54.587459
sample_marker_rank	Hepatocyte_control	2:Liver	log1p_cpm=3.825509;cpm=44.856135
sample_marker_rank	Hepatocyte_control	3:Kidney	log1p_cpm=3.392104;cpm=28.728428
sample_marker_rank	Hepatocyte_control	4:GallBladder	log1p_cpm=3.227610;cpm=24.219311
sample_marker_rank	Hepatocyte_control	5:Stomach	log1p_cpm=3.187961;cpm=23.238948
sample_marker_rank	Hepatocyte_control	6:Pancreas	log1p_cpm=3.113734;cpm=21.504932
sample_marker_rank	Hepatocyte_control	7:Cloaca	log1p_cpm=3.097501;cpm=21.142540
sample_marker_rank	Hepatocyte_control	8:Heart	log1p_cpm=3.051625;cpm=20.149686
sample_marker_rank	Hepatocyte_control	9:Gill	log1p_cpm=2.974749;cpm=18.584713
sample_marker_rank	Hepatocyte_control	10:Spleen	log1p_cpm=2.970430;cpm=18.500297
sample_marker_rank	Hepatocyte_control	11:Limb	log1p_cpm=2.959877;cpm=18.295603
sample_marker_rank	Hepatocyte_control	12:Brain	log1p_cpm=2.954138;cpm=18.185183
sample_marker_rank	Hepatocyte_control	13:Lung	log1p_cpm=2.931562;cpm=17.756902
sample_marker_rank	Hepatocyte_control	14:Bladder	log1p_cpm=2.921051;cpm=17.560782
sample_marker_rank	Hepatocyte_control	15:Prostate	log1p_cpm=2.912299;cpm=17.399055
marker_found	Ductal_biliary	SOX9	FOUND
source_top	Ductal_biliary	SOX9	Pancreatic ductal cell=0.7858;Parietal cell=0.6485;Chondrocyte=0.5257;Oligodendrocyte=0.4547
marker_found	Ductal_biliary	CFTR	FOUND
source_top	Ductal_biliary	CFTR	Pancreatic ductal cell=0.1404;Enterocyte=0.0583;Cholangiocyte=0.0424;Oligodendrocyte progenitor=0.0413
marker_found	Ductal_biliary	HNF1B[hs]	MISSING
source_top	Ductal_biliary	HNF1B[hs]	Cloaca epithelial cell=0.325;Proximal tubule=0.2621;Goblet cell=0.2498;Pancreatic ductal cell=0.2441
marker_found	Ductal_biliary	LOC108787112[nr]-KRT19[hs]	MISSING
source_top	Ductal_biliary	LOC108787112[nr]-KRT19[hs]	Myofibroblast=0.1037;Cholangiocyte=0.0667;Neuron_NR4A1=0.0644;Respiratory epithelial cell=0.0525
marker_found	Ductal_biliary	EPCAM	MISSING
source_top	Ductal_biliary	EPCAM	Respiratory epithelial cell=0.7666;Cloaca epithelial cell=0.3829;Oligodendrocyte progenitor=0.3797;Goblet cell=0.3391
hit_bins	Ductal_biliary		17
sample_marker_rank	Ductal_biliary	1:Cloaca	log1p_cpm=2.925446;cpm=17.642544
sample_marker_rank	Ductal_biliary	2:Prostate	log1p_cpm=2.708061;cpm=14.000160
sample_marker_rank	Ductal_biliary	3:Intestine	log1p_cpm=2.692098;cpm=13.762613
sample_marker_rank	Ductal_biliary	4:Stomach	log1p_cpm=2.655806;cpm=13.236459
sample_marker_rank	Ductal_biliary	5:Lung	log1p_cpm=2.577816;cpm=12.168349
sample_marker_rank	Ductal_biliary	6:Gill	log1p_cpm=2.575266;cpm=12.134810
sample_marker_rank	Ductal_biliary	7:Pancreas	log1p_cpm=2.436963;cpm=10.438246
sample_marker_rank	Ductal_biliary	8:Heart	log1p_cpm=2.392596;cpm=9.941863
sample_marker_rank	Ductal_biliary	9:Limb	log1p_cpm=2.345359;cpm=9.437019
sample_marker_rank	Ductal_biliary	10:Bladder	log1p_cpm=2.339039;cpm=9.371263
sample_marker_rank	Ductal_biliary	11:Brain	log1p_cpm=2.308531;cpm=9.059634
sample_marker_rank	Ductal_biliary	12:Kidney	log1p_cpm=2.297553;cpm=8.949804
sample_marker_rank	Ductal_biliary	13:Liver	log1p_cpm=2.188668;cpm=7.923320
sample_marker_rank	Ductal_biliary	14:GallBladder	log1p_cpm=2.141943;cpm=7.515972
sample_marker_rank	Ductal_biliary	15:Spleen	log1p_cpm=2.030873;cpm=6.620736
