	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	pct_counts_in_top_50_genes	pct_counts_in_top_100_genes	pct_counts_in_top_200_genes	pct_counts_in_top_500_genes
4715	877	6.777646593635117	9823.0	9.192584	48.46788150259595	65.31609487936475	76.23943805354779	92.5277410159829
4728	873	6.773080375655535	9751.0	9.185227	48.49758999077018	65.23433494000615	75.63326838272998	92.28797046456774
4729	868	6.767343125265392	9892.0	9.199583	48.412858875859285	65.31540638900123	75.72786089769511	92.37767893247069
4763	872	6.771935555839602	9826.0	9.192889	48.47343781803379	65.63199674333401	76.01261958070425	92.36718909016895
4791	869	6.76849321164863	9768.0	9.18697	48.730548730548726	65.54054054054053	76.21826371826373	92.39352989352989
4796	864	6.762729506931879	9784.0	9.188606	47.628781684382666	65.1676206050695	76.12428454619787	92.69215044971382
4812	876	6.776506992372183	9760.0	9.186151	48.86270491803278	65.98360655737704	76.23975409836066	92.47950819672131
4839	872	6.771935555839602	9681.0	9.178023	48.13552318975313	65.41679578555934	76.06652205350687	92.53176324759839
4844	877	6.777646593635117	9678.0	9.177713	49.1010539367638	66.55300681959082	76.90638561686299	92.51911551973548
4850	872	6.771935555839602	9800.0	9.19024	48.44897959183673	65.40816326530611	75.95918367346938	92.61224489795919
4857	875	6.775366090936392	9831.0	9.1933975	48.601363035296515	66.41236903672058	76.46221137219001	92.31003967043027
4863	877	6.777646593635117	9704.0	9.180396	48.753091508656226	65.92126957955482	76.34995877988459	92.4361088211047
4924	874	6.774223886357614	9777.0	9.18789	48.57318195765572	64.88697964610822	75.40145238825816	92.36984760151375
4930	867	6.7661917146603505	9714.0	9.181426	48.69260860613547	65.92546839612929	76.47724933086268	92.74243360098826
4961	877	6.777646593635117	9837.0	9.194008	48.592050421876586	65.44678255565721	76.01911151773915	92.59936972654265
