	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	pct_counts_in_top_50_genes	pct_counts_in_top_100_genes	pct_counts_in_top_200_genes	pct_counts_in_top_500_genes
298	894	6.796823718274855	9495.0	9.158626	47.02474986835176	64.00210637177462	74.71300684570826	91.55344918378093
302	891	6.79346613258001	9463.0	9.155251	47.352847934058964	63.74299904892741	74.77544119201099	91.79964070590721
310	894	6.796823718274855	9478.0	9.156834	47.11964549483013	63.38890061194344	74.80481114159106	91.84427094323698
313	896	6.799055862058796	9476.0	9.156623	47.646686365555084	63.834951456310684	74.58843393837063	91.74757281553399
317	883	6.784457062637643	9424.0	9.151121	46.6044142614601	63.14728353140917	74.55432937181664	91.87181663837012
330	899	6.802394763324311	9481.0	9.15715	46.566817846218754	63.67471785676616	74.7178567661639	91.82575677671132
333	898	6.80128303447162	9427.0	9.15144	46.25013259785722	63.487854036278776	74.78519147130582	91.73650153813514
342	896	6.799055862058796	9482.0	9.157256	46.319341910989245	62.85593756591437	74.00337481543978	91.33094283906348
349	896	6.799055862058796	9489.0	9.157994	46.78048266413742	63.294340815681316	74.29655390452102	91.39003056170303
356	894	6.796823718274855	9468.0	9.155779	47.48626953950148	63.91001267427123	74.68314321926489	91.8673426277989
363	899	6.802394763324311	9440.0	9.152817	46.55720338983051	63.20974576271187	74.27966101694915	91.61016949152543
364	882	6.78332520060396	9494.0	9.158521	46.787444701917	63.54539709290078	74.76300821571519	91.81588371603118
365	899	6.802394763324311	9462.0	9.155145	46.11075882477277	63.295286408793075	74.56140350877193	91.48171633904037
371	898	6.80128303447162	9422.0	9.150908	46.98577796646147	63.4366376565485	74.5807684143494	91.8064105285502
382	885	6.786716950605081	9456.0	9.1545105	46.795685279187815	63.63155668358714	74.84137055837563	91.85702199661591
384	893	6.795705775173515	9447.0	9.153559	47.496559754419394	63.57573832962845	74.47867047740023	91.72223986450724
391	893	6.795705775173515	9445.0	9.153347	46.71254632080466	63.10217046056115	74.34621492853361	91.56167284277396
400	901	6.804614520062624	9462.0	9.155145	46.64975692242655	63.82371591629676	74.8995983935743	91.77763686324244
402	902	6.805722553416985	9473.0	9.156306	46.71170695661353	63.72849150216404	74.62261163306239	91.77662831204476
405	889	6.7912214627261855	9441.0	9.152924	46.933587543692404	63.74324753733715	74.51541150301875	91.98178159093317
423	896	6.799055862058796	9494.0	9.158521	46.323994101537814	63.57699599747208	74.63661259742995	91.75268590688856
442	906	6.810142450115136	9476.0	9.156623	47.44617982271001	64.03545799915577	74.66230476994512	91.58927817644576
471	900	6.803505257608338	9499.0	9.159047	47.0891672807664	63.75407937677651	74.80787451310664	91.88335614275186
478	911	6.815639990074331	9484.0	9.157467	46.69970476592155	63.08519611978068	74.0932096161957	91.05862505272037
489	904	6.807934943699926	9482.0	9.157256	46.57245306897279	63.63636363636363	74.86817127188357	91.92153554102511
495	895	6.79794041297493	9406.0	9.149209	47.15075483733787	63.682755687858815	74.48437167765256	91.59047416542633
507	901	6.804614520062624	9492.0	9.15831	46.30214917825538	63.305941845764856	74.70501474926253	91.677201854193
522	893	6.795705775173515	9455.0	9.154405	46.6737176097303	63.56425171866738	74.89159175039661	91.8667371760973
525	895	6.79794041297493	9401.0	9.148678	46.05892990107435	62.73800659504308	73.70492500797788	91.10732900755238
542	900	6.803505257608338	9499.0	9.159047	47.28918833561428	63.596168017686075	74.58679861038004	91.69386251184335
543	889	6.7912214627261855	9469.0	9.155884	47.80863871580948	64.39961981201816	74.59076988066322	91.59362129052698
559	895	6.79794041297493	9474.0	9.156412	47.213426219126035	64.38674266413342	75.04749841671943	91.85138273168673
560	899	6.802394763324311	9445.0	9.153347	46.617257808364215	63.05982001058761	74.2403388035998	91.64637374272102
589	893	6.795705775173515	9454.0	9.154299	47.48254707002327	64.02580918129892	74.81489316691348	91.58028347789295
591	895	6.79794041297493	9496.0	9.158731	46.04043807919124	62.88963774220725	74.09435551811289	91.41743892165121
592	881	6.782192056006791	9417.0	9.150378	47.60539449930976	64.20303706063503	75.06636933205904	91.99320378039715
608	900	6.803505257608338	9491.0	9.158205	47.40280265514698	63.259930460436195	74.22821620482563	91.360236013065
641	883	6.784457062637643	9429.0	9.151651	46.97210732845477	63.99406087602079	74.59963941032983	91.88673242125358
642	896	6.799055862058796	9456.0	9.1545105	46.06598984771574	62.92301184433165	73.9424703891709	91.41285956006769
663	884	6.785587645007929	9445.0	9.153347	47.75013234515617	64.4679724722075	75.28851244044468	91.92165166754897
665	893	6.795705775173515	9394.0	9.147933	47.69001490312966	64.84990419416648	75.62273791781988	92.0055354481584
683	880	6.78105762593618	9497.0	9.158836	46.89902074339265	63.746446246183005	74.86574707802464	91.99747288617458
684	890	6.792344427470809	9486.0	9.157678	47.33291165928737	64.09445498629559	75.14231499051233	91.91440016866962
687	896	6.799055862058796	9415.0	9.150166	46.563993627190655	63.22889006903877	74.25385023898035	91.41795007966012
702	898	6.80128303447162	9452.0	9.154087	46.857807871349976	63.28819297503174	74.01608125264494	91.25052898857385
723	899	6.802394763324311	9451.0	9.153981	47.13786900857052	63.495926356999256	74.41540577716643	91.55644905301025
736	894	6.796823718274855	9494.0	9.158521	46.59785127448915	63.966715820518225	74.93153570676216	91.65788919317464
742	900	6.803505257608338	9455.0	9.154405	45.658381808566894	62.43257535695399	73.79164463246958	91.26388154415653
743	896	6.799055862058796	9379.0	9.146335	46.678750399829404	63.40761275189253	74.56018765326795	91.83281799765433
748	896	6.799055862058796	9470.0	9.15599	46.979936642027454	63.37909186906019	74.36114044350582	91.63674762407604
749	890	6.792344427470809	9378.0	9.146229	46.822350181275326	64.26743442098528	75.25058647899338	91.93857965451056
756	893	6.795705775173515	9410.0	9.149634	47.44952178533475	64.34643995749202	75.36663124335813	91.74282678002126
758	894	6.796823718274855	9430.0	9.151757	47.211028632025446	63.97667020148462	74.68716861081654	91.58006362672322
763	903	6.806829360392176	9471.0	9.1560955	46.605427093231974	63.47798542920494	74.36384753457924	91.52148664343787
877	888	6.790097235513905	9387.0	9.147187	47.437946095664216	63.81165441568126	74.64578672632364	91.77586023223607
890	891	6.79346613258001	9475.0	9.156518	46.6490765171504	63.081794195250666	74.12137203166228	91.34564643799472
891	894	6.796823718274855	9482.0	9.157256	47.20523096393166	64.03712296983758	75.38493988609997	91.73170217253744
894	892	6.794586580876499	9487.0	9.1577835	47.096026141035104	63.83472119742806	74.66006113629177	91.71497839148309
919	890	6.792344427470809	9473.0	9.156306	46.52169323340019	63.432914599387736	74.5592737253246	91.88219149160773
924	893	6.795705775173515	9436.0	9.152393	47.064434082238236	64.04196693514201	74.92581602373886	91.64900381517592
926	889	6.7912214627261855	9405.0	9.149103	47.198298777246144	64.04040404040404	74.896331738437	91.99362041467305
941	891	6.79346613258001	9491.0	9.158205	47.055104836160574	63.53387419660731	74.31250658518597	91.61310715414604
949	883	6.784457062637643	9470.0	9.15599	47.12777191129884	63.59028511087645	74.63569165786696	91.81626187961986
968	901	6.804614520062624	9473.0	9.156306	46.17333474084239	63.35902037369365	74.44315422780534	91.6605088145255
983	887	6.78897174299217	9466.0	9.155567	46.95753222057891	64.19818297063173	75.04753855905345	91.99239383055145
1022	891	6.79346613258001	9494.0	9.158521	46.81904360648831	63.998314725089536	74.80514008847693	91.77375184326944
1023	884	6.785587645007929	9497.0	9.158836	46.49889438770138	63.072549226071395	74.29714646730547	91.73423186269348
1027	897	6.8001700683022	9449.0	9.15377	46.428193459625355	63.033125198433694	74.1348290824426	91.50174621653086
1038	886	6.787844982309579	9498.0	9.158942	46.97831122341545	63.708149084017684	74.84733628132238	91.99831543482838
1079	897	6.8001700683022	9470.0	9.15599	47.44456177402323	63.917634635691655	74.68848996832101	91.38331573389652
1086	890	6.792344427470809	9454.0	9.154299	48.233551935688595	64.75565898032579	75.01586629997884	91.96107467738524
1093	893	6.795705775173515	9457.0	9.154616	46.66384688590462	63.85746008247859	74.47393465158085	91.99534736174263
1094	890	6.792344427470809	9328.0	9.140883	46.09777015437393	63.078902229845625	74.12092624356775	91.65951972555746
1101	891	6.79346613258001	9445.0	9.153347	47.43250397035468	63.737427210164114	74.91794600317628	91.91106405505558
1111	884	6.785587645007929	9484.0	9.157467	47.12146773513285	63.90763390974272	74.77857444116407	91.97595951075496
1140	897	6.8001700683022	9438.0	9.152605	46.429328247510064	63.20194956558593	74.30599703326976	91.58720067810977
1144	904	6.807934943699926	9432.0	9.15197	46.96776929601357	63.65564037319763	74.38507209499576	91.26378286683631
1152	886	6.787844982309579	9484.0	9.157467	46.62589624630957	62.811050189793335	74.05103331927457	91.49093209616196
1161	899	6.802394763324311	9490.0	9.158099	47.060063224446786	63.68809272918862	74.61538461538461	91.54899894625922
1166	896	6.799055862058796	9493.0	9.158415	47.12946381544295	64.06826082376487	75.06583798588433	92.04677130517224
1185	888	6.790097235513905	9438.0	9.152605	46.32337359610087	63.86946386946387	74.77219749947022	91.78851451578724
1192	894	6.796823718274855	9480.0	9.157045	46.99367088607595	63.59704641350211	74.5675105485232	91.47679324894514
1197	882	6.78332520060396	9496.0	9.158731	47.73588879528222	64.8167649536647	75.57919123841617	92.10193765796124
1217	887	6.78897174299217	9486.0	9.157678	46.3314358001265	63.050811722538484	73.94054395951929	91.47164242040903
1226	905	6.80903930604298	9471.0	9.1560955	47.22838137472284	63.815858937810155	74.5855770246014	91.48981100200612
1236	906	6.810142450115136	9357.0	9.143987	46.66025435502832	63.129208079512665	74.15838409746713	91.63193331195896
1259	890	6.792344427470809	9458.0	9.154722	46.532036371325866	63.55466271939099	74.69866779445972	91.83759780080355
1262	895	6.79794041297493	9490.0	9.158099	46.71232876712329	63.40358271865121	74.64699683877765	91.64383561643835
1263	887	6.78897174299217	9488.0	9.157888	47.24915682967959	63.84907251264755	74.96838111298483	91.59991568296796
1270	908	6.812345094177479	9485.0	9.157573	46.69478123352662	63.900896151818664	74.72851871375856	91.57617290458619
1271	896	6.799055862058796	9393.0	9.147826	47.64186096028958	64.02640264026402	75.10912381560738	91.84499095070797
1291	896	6.799055862058796	9470.0	9.15599	45.54382259767687	62.946145723336855	74.29778247096093	91.9324181626188
1303	906	6.810142450115136	9458.0	9.154722	46.68005920913512	64.09388877141045	74.71981391414675	91.38295622753225
1328	882	6.78332520060396	9478.0	9.156834	46.31778856298797	62.93521840050643	74.25617218822536	91.65435745937963
1406	910	6.814542897259958	9487.0	9.1577835	47.802255718351425	64.06661747654685	74.55465373669232	91.39875619268473
1414	893	6.795705775173515	9352.0	9.143453	46.40718562874252	63.75106928999145	75.01069289991446	91.86270316509837
1417	894	6.796823718274855	9443.0	9.153135	47.4319601821455	64.21688022874086	75.0397119559462	91.7081435984327
1435	906	6.810142450115136	9458.0	9.154722	46.51089025163883	63.47007824064285	74.52949883696341	91.42524846690633
1441	914	6.818924065275521	9496.0	9.158731	46.92502106149958	63.932181971356364	74.6524852569503	91.28053917438922
1447	895	6.79794041297493	9489.0	9.157994	46.8437137738434	63.71588154705449	74.49678575192328	91.72726314680156
1448	910	6.814542897259958	9438.0	9.152605	46.50349650349651	63.29730875185421	74.29540156812884	91.54481881754609
1454	893	6.795705775173515	9382.0	9.146655	46.28011085056491	63.27009166489022	74.68556810914518	91.9206992112556
1458	889	6.7912214627261855	9482.0	9.157256	46.604091963720734	63.44653026787598	74.5939675174014	91.86880404977853
1478	888	6.790097235513905	9462.0	9.155145	46.8716973155781	63.71803001479602	74.55083491862186	91.61910801099134
1488	898	6.80128303447162	9484.0	9.157467	47.11092366090257	63.78110501897933	74.58878110501898	91.46984394770139
1520	890	6.792344427470809	9469.0	9.155884	46.14003590664273	63.24849508923857	74.273946562467	91.72035061780547
1540	886	6.787844982309579	9496.0	9.158731	47.17775905644482	63.3424599831508	74.47346251053075	91.79654591406909
1555	903	6.806829360392176	9434.0	9.152182	47.04261182955268	63.22874708501166	74.07250370998516	91.49883400466398
1577	882	6.78332520060396	9330.0	9.141097	45.734190782422296	62.840300107181136	74.2443729903537	91.86495176848875
1612	892	6.794586580876499	9321.0	9.140133	47.22669241497693	63.70561098594572	74.8202982512606	91.81418302757216
1613	889	6.7912214627261855	9493.0	9.158415	46.5500895396608	63.25713683766986	74.31791846623828	91.79395343937638
1655	898	6.80128303447162	9402.0	9.148784	46.30929589449053	62.9865985960434	74.2501595405233	91.52308019570305
1666	890	6.792344427470809	9474.0	9.156412	45.93624656955879	62.634578847371756	73.58032510027444	91.26029132362254
1674	897	6.8001700683022	9494.0	9.158521	46.15546661049083	63.42953444280598	74.7946071202865	91.97387823888772
1693	880	6.78105762593618	9304.0	9.138308	47.055030094582975	63.961736887360274	74.98925193465176	92.16466036113499
1736	896	6.799055862058796	9499.0	9.159047	47.21549636803874	64.03831982313928	74.80787451310664	91.7359722076008
1748	904	6.807934943699926	9443.0	9.153135	47.13544424441385	64.05803240495605	74.85968442232341	91.57047548448585
1751	884	6.785587645007929	9392.0	9.14772	45.858177172061325	62.617120954003404	74.0736797274276	91.7057069846678
1762	902	6.805722553416985	9434.0	9.152182	46.67161331354674	63.62094551621793	74.32690269238923	91.17023531905872
1774	872	6.771935555839602	9491.0	9.158205	46.68633442208408	63.407438626066806	74.49162364345169	91.73954272468654
1775	900	6.803505257608338	9499.0	9.159047	46.67859774713128	63.03821454889989	74.04989998947258	91.24118328245079
1782	885	6.786716950605081	9472.0	9.156201	47.04391891891892	63.53462837837838	74.72550675675676	91.8602195945946
1809	894	6.796823718274855	9445.0	9.153347	46.11964002117522	63.10217046056115	74.02858655373214	91.40285865537321
1834	902	6.805722553416985	9495.0	9.158626	46.89836756187467	63.39125855713533	73.82833070036861	91.12164296998421
1850	902	6.805722553416985	9497.0	9.158836	47.33073602190166	63.44108665894493	74.37085395388017	91.56575760766557
1855	904	6.807934943699926	9391.0	9.147614	47.87562559897774	64.4233840911511	75.34873815355128	91.68352678096049
1879	894	6.796823718274855	9461.0	9.155039	46.59126942183702	63.61906775182328	74.74896945354614	91.5653736391502
1884	897	6.8001700683022	9474.0	9.156412	47.56174794173528	63.932868904369855	74.91028076841883	91.73527549081697
1892	910	6.814542897259958	9499.0	9.159047	46.14169912622381	62.85924834193073	74.11306453310875	91.23065585851143
1905	891	6.79346613258001	9480.0	9.157045	46.04430379746836	63.22784810126583	74.5675105485232	91.80379746835443
1932	887	6.78897174299217	9497.0	9.158836	47.05696535748131	63.262082762977776	74.4235021585764	91.5446983257871
1936	902	6.805722553416985	9436.0	9.152393	46.57693938109369	63.49088596863077	74.16278083933871	91.22509537939804
1953	903	6.806829360392176	9489.0	9.157994	45.63178417114554	62.640952682052905	74.13847613025608	91.47433870797765
1958	898	6.80128303447162	9486.0	9.157678	45.90976175416403	63.156230234029096	74.61522243305924	91.61922833649588
1972	893	6.795705775173515	9443.0	9.153135	47.24134279360373	63.94154400084718	75.01853224610822	91.90935084189347
1984	885	6.786716950605081	9483.0	9.157361	47.14752715385426	64.31509016134135	75.0079088895919	92.10165559422124
1986	904	6.807934943699926	9456.0	9.1545105	46.489001692047374	63.060490693739425	74.15397631133672	91.35998307952623
2002	900	6.803505257608338	9478.0	9.156834	46.148976577336995	63.38890061194344	74.37223042836041	91.53829921924456
2025	883	6.784457062637643	9404.0	9.148996	47.00127605274351	63.69629944704381	75.0106337728626	91.70565716716291
2045	899	6.802394763324311	9428.0	9.151546	46.92405600339414	63.86296139159949	74.83029274501484	91.86465846414934
2050	902	6.805722553416985	9430.0	9.151757	46.48992576882291	63.41463414634146	74.41145281018028	91.36797454931072
2056	890	6.792344427470809	9428.0	9.151546	47.01951633432329	63.96902842596521	75.49851506151887	91.97072549851507
2070	882	6.78332520060396	9496.0	9.158731	47.40943555181129	64.14279696714405	74.94734625105308	92.09140690817186
2073	894	6.796823718274855	9375.0	9.145908	45.58933333333333	62.74133333333334	74.03733333333334	91.41333333333334
2080	896	6.799055862058796	9497.0	9.158836	46.993787511845845	63.65167947772981	75.01316205117405	91.8816468358429
2083	899	6.802394763324311	9494.0	9.158521	46.492521592584794	63.91405097956604	74.83673899304824	91.85801558879292
2096	903	6.806829360392176	9460.0	9.154933	47.81183932346723	64.4186046511628	75.03171247357294	91.71247357293869
2097	886	6.787844982309579	9422.0	9.150908	46.60369348333687	63.330503077902776	74.44279346210996	91.53046062407132
2124	885	6.786716950605081	9465.0	9.155461	47.00475435816165	63.845747490755414	74.8864236661384	92.18172213417856
2134	887	6.78897174299217	9424.0	9.151121	47.68675721561969	64.84507640067912	75.32894736842105	91.93548387096774
2140	895	6.79794041297493	9459.0	9.154828	48.01776086267047	64.18226028121366	75.08193255100963	91.83846072523522
2150	902	6.805722553416985	9375.0	9.145908	46.76266666666667	63.47733333333333	74.32533333333333	91.47733333333333
2153	892	6.794586580876499	9455.0	9.154405	46.92755156002115	63.28926493918562	74.83870967741936	91.98307773664727
2186	889	6.7912214627261855	9490.0	9.158099	46.775553213909376	63.540569020021074	74.64699683877765	91.72813487881982
2203	891	6.79346613258001	9426.0	9.151333	47.093146615743684	63.92955654572459	74.89921493740718	91.89475917674518
2210	893	6.795705775173515	9477.0	9.156729	47.20903239421758	63.82821568006754	74.98153424079351	91.9383771235623
2221	900	6.803505257608338	9451.0	9.153981	46.91567029943921	63.54883081155434	74.69050894085282	91.70458152576447
2232	898	6.80128303447162	9452.0	9.154087	47.270418958950486	63.83834109183242	74.91536182818452	91.68429961912823
2244	900	6.803505257608338	9470.0	9.15599	47.4973600844773	63.12565997888068	73.97043294614572	91.31995776135163
2288	898	6.80128303447162	9499.0	9.159047	47.62606590167386	64.17517633435098	75.49215706916517	91.88335614275186
2291	892	6.794586580876499	9491.0	9.158205	47.12885891897587	64.14497945421978	74.72342218944263	91.99241386576756
2292	894	6.796823718274855	9358.0	9.1440935	46.36674503098953	63.539217781577264	74.94122675785424	91.91066467193845
2302	903	6.806829360392176	9480.0	9.157045	46.77215189873418	63.438818565400844	74.28270042194093	91.27637130801688
2339	889	6.7912214627261855	9477.0	9.156729	46.048327529809015	62.667510815658964	73.96855545003693	91.49519890260632
2351	889	6.7912214627261855	9355.0	9.143773	46.809192944949224	63.39925173703902	74.48423303046499	91.83324425440941
2370	888	6.790097235513905	9309.0	9.1388445	47.244601998066386	64.582661940058	75.32495434525728	91.83585777204856
2407	902	6.805722553416985	9485.0	9.157573	46.97944122298366	63.5108065366368	74.5282024248814	91.74486030574592
2412	905	6.80903930604298	9497.0	9.158836	46.267242287038016	63.167315994524586	74.0444350847636	91.37622407075918
2418	893	6.795705775173515	9381.0	9.146548	47.20179085385353	63.809828376505706	74.54429165334187	91.57872295064492
2440	902	6.805722553416985	9433.0	9.152076	46.750768578395	63.500477048658965	74.2711756599173	91.4555284639033
2469	892	6.794586580876499	9474.0	9.156412	46.580113996200126	63.42621912602914	74.48807261980156	91.64027865737808
2470	894	6.796823718274855	9412.0	9.149847	47.68380790480238	64.09902252443689	75.57373565660859	91.99957501062474
2475	893	6.795705775173515	9417.0	9.150378	47.50982266114474	64.03313157056387	74.55665286184559	91.69586917277265
