MODE	full
MACS3	macs3 3.0.4
FINAL_CANDIDATE	TF4
WIN_COUNTS
tf	closed_count_wins	closed_fraction_wins	closed_signal_wins	total_wins
TF1	0	0	0	0
TF2	0	0	0	0
TF3	0	0	0	0
TF4	24	24	24	72
TF5	0	0	0	0
TF6	0	0	0	0
LIBRARY_TOTALS
tf	rep1	rep2	control_for_rep1	control_for_rep2
TF1	30191795	34128746	36843392	44772042
TF2	9499030	18579374	26741226	26542856
TF3	15265068	17149104	23107844	13127937
TF4	26197761	19460461	28074467	23582552
TF5	16109471	14715235	16378371	16378371
TF6	8143679	5291122	16709615	16709615
METRICS
tf	dnase	qlog_cutoff	buffer_bp	total_peaks	closed_peaks	closed_fraction	closed_signal_sum	replicate_supported_peaks	supported_closed_peaks	supported_closed_fraction	supported_closed_signal_sum	median_min_log2fc
TF3	ENCODE2020_union	3.0	500	31048	8071	0.259952	46354.109	25938	6573	0.253412	40498.029	1.6783
TF3	ENCODE2020_union	3.0	1000	31048	7174	0.231062	41627.024	25938	5850	0.225538	36408.048	1.6886
TF3	ENCODE2020_union	5.0	0	26878	9646	0.358881	60277.292	23582	8414	0.356798	55054.119	1.7275
TF3	ENCODE2020_union	5.0	250	26878	7116	0.264752	44421.958	23582	6172	0.261725	40361.508	1.7201
TF3	ENCODE2020_union	5.0	500	26878	6504	0.241982	40963.915	23582	5635	0.238953	37202.977	1.7275
TF3	ENCODE2020_union	5.0	1000	26878	5800	0.215790	36862.569	23582	5027	0.213171	33492.275	1.7309
TF3	ENCODE2018_union	2.0	0	33235	14584	0.438815	79818.197	27023	11413	0.422344	68541.152	1.6120
TF3	ENCODE2018_union	2.0	250	33235	8765	0.263728	46035.068	27023	6773	0.250638	38772.557	1.5964
TF3	ENCODE2018_union	2.0	500	33235	7713	0.232075	41167.632	27023	5994	0.221811	34805.834	1.6018
TF3	ENCODE2018_union	2.0	1000	33235	6769	0.203671	36537.326	27023	5299	0.196092	31026.883	1.6064
TF3	ENCODE2018_union	3.0	0	31048	12960	0.417418	75015.992	25938	10566	0.407356	65982.719	1.6838
TF3	ENCODE2018_union	3.0	250	31048	7662	0.246779	42680.261	25938	6179	0.238222	36933.735	1.6634
TF3	ENCODE2018_union	3.0	500	31048	6752	0.217470	38212.537	25938	5469	0.210849	33162.990	1.6701
TF3	ENCODE2018_union	3.0	1000	31048	5909	0.190318	33868.664	25938	4810	0.185442	29489.054	1.6783
TF3	ENCODE2018_union	5.0	0	26878	10300	0.383213	66148.538	23582	8976	0.380629	60566.771	1.7531
TF3	ENCODE2018_union	5.0	250	26878	6030	0.224347	37091.845	23582	5206	0.220762	33526.580	1.7155
TF3	ENCODE2018_union	5.0	500	26878	5378	0.200089	33458.695	23582	4643	0.196887	30245.338	1.7201
TF3	ENCODE2018_union	5.0	1000	26878	4722	0.175683	29721.372	23582	4090	0.173437	26920.359	1.7201
TF4	ENCODE2020_union	2.0	0	364967	343900	0.942277	1287401.814	285602	267558	0.936821	1082241.225	1.5739
TF4	ENCODE2020_union	2.0	250	364967	323741	0.887042	1207073.687	285602	250587	0.877399	1010401.150	1.5647
TF4	ENCODE2020_union	2.0	500	364967	312510	0.856269	1165386.928	285602	241933	0.847098	975490.171	1.5647
TF4	ENCODE2020_union	2.0	1000	364967	293757	0.804886	1095625.161	285602	227402	0.796220	916934.080	1.5623
TF4	ENCODE2020_union	3.0	0	330664	310754	0.939788	1211821.882	274103	256521	0.935856	1056326.177	1.5967
TF4	ENCODE2020_union	3.0	250	330664	292088	0.883338	1134875.722	274103	240127	0.876047	985828.407	1.5958
TF4	ENCODE2020_union	3.0	500	330664	281990	0.852799	1095737.015	274103	231815	0.845722	951708.825	1.5958
TF4	ENCODE2020_union	3.0	1000	330664	265101	0.801723	1030156.047	274103	217894	0.794935	894555.974	1.5938
TF4	ENCODE2020_union	5.0	0	261254	244089	0.934298	1034424.383	236802	220825	0.932530	959202.535	1.6677
TF4	ENCODE2020_union	5.0	250	261254	228574	0.874911	965798.095	236802	206305	0.871213	893752.337	1.6592
TF4	ENCODE2020_union	5.0	500	261254	220655	0.844600	932371.793	236802	199125	0.840892	862670.004	1.6587
TF4	ENCODE2020_union	5.0	1000	261254	207323	0.793569	876122.059	236802	187071	0.789989	810518.163	1.6587
TF4	ENCODE2018_union	2.0	0	364967	345896	0.947746	1296451.781	285602	269433	0.943386	1090946.852	1.5749
TF4	ENCODE2018_union	2.0	250	364967	320528	0.878238	1194789.176	285602	247989	0.868303	999762.066	1.5647
TF4	ENCODE2018_union	2.0	500	364967	307672	0.843013	1146812.694	285602	237959	0.833184	959201.859	1.5623
TF4	ENCODE2018_union	2.0	1000	364967	286683	0.785504	1068915.518	285602	221757	0.776455	893998.465	1.5623
TF4	ENCODE2018_union	3.0	0	330664	312701	0.945676	1220765.770	274103	258360	0.942565	1064951.528	1.5967
TF4	ENCODE2018_union	3.0	250	330664	289158	0.874477	1123231.178	274103	237617	0.866889	975391.803	1.5958
TF4	ENCODE2018_union	3.0	500	330664	277582	0.839468	1078136.729	274103	227998	0.831797	935783.819	1.5938
TF4	ENCODE2018_union	3.0	1000	330664	258675	0.782290	1004912.323	274103	212452	0.775081	872091.973	1.5937
TF4	ENCODE2018_union	5.0	0	261254	245876	0.941138	1042960.294	236802	222552	0.939823	967537.583	1.6701
TF4	ENCODE2018_union	5.0	250	261254	226195	0.865805	955613.839	236802	204132	0.862037	884226.493	1.6587
TF4	ENCODE2018_union	5.0	500	261254	217075	0.830896	916966.647	236802	195814	0.826910	848116.948	1.6587
TF4	ENCODE2018_union	5.0	1000	261254	202200	0.773959	854321.823	236802	182363	0.770108	790041.725	1.6587
TF5	ENCODE2020_union	2.0	0	120211	81083	0.674506	529199.745	69540	45709	0.657305	361583.465	1.8825
TF5	ENCODE2020_union	2.0	250	120211	65704	0.546572	416937.527	69540	36140	0.519701	276788.645	1.8381
TF5	ENCODE2020_union	2.0	500	120211	58623	0.487668	370648.422	69540	32083	0.461360	244612.372	1.8381
TF5	ENCODE2020_union	2.0	1000	120211	50892	0.423356	320471.734	69540	27885	0.400992	211384.887	1.8381
TF5	ENCODE2020_union	3.0	0	113682	75699	0.665884	512631.292	67742	44167	0.651988	356722.896	1.8825
TF5	ENCODE2020_union	3.0	250	113682	61144	0.537851	402893.127	67742	34788	0.513537	272522.600	1.8825
TF5	ENCODE2020_union	3.0	500	113682	54485	0.479276	357898.463	67742	30830	0.455109	240658.104	1.8381
TF5	ENCODE2020_union	3.0	1000	113682	47245	0.415589	309232.003	67742	26745	0.394807	207789.229	1.8381
TF5	ENCODE2020_union	5.0	0	93845	59833	0.637573	454105.136	61341	38795	0.632448	336500.244	1.8825
TF5	ENCODE2020_union	5.0	250	93845	47801	0.509361	353649.213	61341	30185	0.492085	255201.922	1.8825
TF5	ENCODE2020_union	5.0	500	93845	42550	0.453407	313875.945	61341	26666	0.434717	224994.259	1.8825
TF5	ENCODE2020_union	5.0	1000	93845	36788	0.392008	270700.284	61341	23032	0.375475	193830.113	1.8825
TF5	ENCODE2018_union	2.0	0	120211	81043	0.674173	536511.385	69540	46205	0.664438	371571.425	1.8825
TF5	ENCODE2018_union	2.0	250	120211	60701	0.504954	381134.175	69540	33338	0.479408	252067.337	1.8381
TF5	ENCODE2018_union	2.0	500	120211	52898	0.440043	330828.796	69540	28870	0.415157	217168.959	1.8381
TF5	ENCODE2018_union	2.0	1000	120211	44859	0.373169	279384.787	69540	24580	0.353466	183587.347	1.8381
TF5	ENCODE2018_union	3.0	0	113682	75696	0.665857	520055.888	67742	44672	0.659443	366738.690	1.8825
TF5	ENCODE2018_union	3.0	250	113682	56394	0.496068	367858.657	67742	32046	0.473060	247989.061	1.8381
TF5	ENCODE2018_union	3.0	500	113682	49076	0.431695	319034.902	67742	27689	0.408742	213441.054	1.8381
TF5	ENCODE2018_union	3.0	1000	113682	41572	0.365687	269242.391	67742	23515	0.347126	180227.733	1.8381
TF5	ENCODE2018_union	5.0	0	93845	60004	0.639395	462208.531	61341	39359	0.641643	346743.890	1.8825
TF5	ENCODE2018_union	5.0	250	93845	43788	0.466599	321338.452	61341	27663	0.450971	231501.077	1.8825
TF5	ENCODE2018_union	5.0	500	93845	38026	0.405200	278269.319	61341	23788	0.387799	198771.379	1.8825
TF5	ENCODE2018_union	5.0	1000	93845	32142	0.342501	234490.889	61341	20105	0.327758	167415.749	1.8825
TF6	ENCODE2020_union	2.0	0	36160	25369	0.701576	202823.982	26604	17774	0.668095	165703.472	2.0149
TF6	ENCODE2020_union	2.0	250	36160	20027	0.553844	154268.975	26604	13734	0.516238	123292.637	2.0122
TF6	ENCODE2020_union	2.0	500	36160	18157	0.502129	140082.354	26604	12457	0.468238	111843.227	2.0183
TF6	ENCODE2020_union	2.0	1000	36160	16088	0.444912	124371.155	26604	11025	0.414411	99222.900	2.0220
TF6	ENCODE2020_union	3.0	0	33553	23211	0.691771	195319.039	25895	17227	0.665264	163832.610	2.0366
TF6	ENCODE2020_union	3.0	250	33553	18201	0.542455	147859.492	25895	13294	0.513381	121771.700	2.0245
TF6	ENCODE2020_union	3.0	500	33553	16495	0.491610	134215.504	25895	12059	0.465688	110459.114	2.0286
TF6	ENCODE2020_union	3.0	1000	33553	14585	0.434685	119044.776	25895	10661	0.411701	97954.969	2.0366
TF6	ENCODE2020_union	5.0	0	28889	19455	0.673440	179916.024	23937	15689	0.655429	157561.003	2.0902
TF6	ENCODE2020_union	5.0	250	28889	15104	0.522829	135033.849	23937	12029	0.502527	116572.955	2.0902
TF6	ENCODE2020_union	5.0	500	28889	13687	0.473779	122526.303	23937	10914	0.455947	105733.393	2.0902
TF6	ENCODE2020_union	5.0	1000	28889	12080	0.418152	108571.929	23937	9655	0.403350	93787.135	2.0996
TF6	ENCODE2018_union	2.0	0	36160	26391	0.729840	214116.528	26604	18656	0.701248	176414.256	2.0149
TF6	ENCODE2018_union	2.0	250	36160	18735	0.518114	141507.773	26604	12772	0.480078	112205.190	1.9894
TF6	ENCODE2018_union	2.0	500	36160	16674	0.461117	125917.149	26604	11366	0.427229	99683.271	2.0149
TF6	ENCODE2018_union	2.0	1000	36160	14450	0.399613	109434.288	26604	9847	0.370132	86566.001	2.0183
TF6	ENCODE2018_union	3.0	0	33553	24160	0.720055	206380.158	25895	18076	0.698050	174432.965	2.0366
TF6	ENCODE2018_union	3.0	250	33553	16979	0.506035	135334.275	25895	12343	0.476656	110722.096	2.0220
TF6	ENCODE2018_union	3.0	500	33553	15093	0.449826	120325.804	25895	10982	0.424097	98346.967	2.0263
TF6	ENCODE2018_union	3.0	1000	33553	13054	0.389056	104473.622	25895	9502	0.366943	85361.291	2.0366
TF6	ENCODE2018_union	5.0	0	28889	20314	0.703174	190657.046	23937	16475	0.688265	167921.524	2.0902
TF6	ENCODE2018_union	5.0	250	28889	14006	0.484821	123010.793	23937	11117	0.464427	105679.411	2.0589
TF6	ENCODE2018_union	5.0	500	28889	12444	0.430752	109281.123	23937	9889	0.413126	93828.464	2.0902
TF6	ENCODE2018_union	5.0	1000	28889	10752	0.372183	94823.159	23937	8565	0.357814	81469.833	2.0902
