ENSEMBL	SYMBOL
ENSG00000266962	HSD17B1-AS1
ENSG00000184254	ALDH1A3
ENSG00000188690	UROS
ENSG00000232187	NA
ENSG00000186567	CEACAM19
ENSG00000114812	VIPR1
ENSG00000128165	ADM2
ENSG00000169242	EFNA1
ENSG00000087842	PIR
ENSG00000071242	RPS6KA2
ENSG00000106351	AGFG2
ENSG00000181982	CCDC149
ENSG00000260804	LINC01963
ENSG00000180035	ZNF48
ENSG00000203306	NA
ENSG00000053747	LAMA3
ENSG00000224051	CPTP
ENSG00000145476	CYP4V2
ENSG00000081692	JMJD4
ENSG00000142686	C1orf216
ENSG00000182319	NA
ENSG00000261490	NA
ENSG00000196584	XRCC2
ENSG00000010072	SPRTN
ENSG00000253540	NA
ENSG00000135111	TBX3
ENSG00000179886	TIGD5
ENSG00000167754	KLK5
ENSG00000161048	NAPEPLD
ENSG00000197296	FITM2
ENSG00000225339	NA
ENSG00000242960	NA
ENSG00000101665	SMAD7
ENSG00000136870	ZNF189
ENSG00000272216	NA
ENSG00000083812	ZNF324
ENSG00000205220	PSMB10
ENSG00000271303	SRXN1
ENSG00000158483	FAM86C1P
ENSG00000166979	EVA1C
ENSG00000170439	TMT1B
ENSG00000115844	DLX2
ENSG00000198246	SLC29A3
ENSG00000164023	SGMS2
ENSG00000149591	TAGLN
ENSG00000250645	NA
ENSG00000186212	SOWAHB
ENSG00000206712	RNU6-26P
ENSG00000175283	DOLK
ENSG00000250588	NA
ENSG00000229619	MBNL1-AS1
ENSG00000180535	BHLHA15
ENSG00000171522	PTGER4
ENSG00000125459	MSTO1
ENSG00000233493	TMEM238
ENSG00000115998	C2orf42
ENSG00000270127	NA
ENSG00000108932	SLC16A6
ENSG00000137834	SMAD6
ENSG00000013392	RWDD2A
ENSG00000177764	NA
ENSG00000153037	SRP19
ENSG00000176396	EID2
ENSG00000133624	NA
ENSG00000271533	NA
ENSG00000154065	ANKRD29
ENSG00000221963	APOL6
ENSG00000105519	CAPS
ENSG00000128000	ZNF780B
ENSG00000137878	GCOM1
ENSG00000250562	NA
ENSG00000168890	TMEM150A
ENSG00000188051	TMEM221
ENSG00000146070	PLA2G7
ENSG00000179965	ZNF771
ENSG00000204947	ZNF425
ENSG00000268006	PTOV1-AS1
ENSG00000136867	SLC31A2
ENSG00000180626	ZNF594
ENSG00000260565	NA
ENSG00000127220	ABHD8
ENSG00000140853	NLRC5
ENSG00000131848	ZSCAN5A
ENSG00000103044	HAS3
ENSG00000186017	ZNF566
ENSG00000182057	NA
ENSG00000169715	MT1E
ENSG00000265688	MILIP
ENSG00000235609	NA
ENSG00000268223	ARL14EPL
ENSG00000223361	FTH1P10
ENSG00000068079	IFI35
ENSG00000132561	MATN2
ENSG00000249348	UGDH-AS1
ENSG00000143816	WNT9A
ENSG00000169991	IFFO2
ENSG00000136052	SLC41A2
ENSG00000267278	NA
ENSG00000106003	LFNG
ENSG00000113578	FGF1
ENSG00000167996	FTH1
ENSG00000114019	AMOTL2
ENSG00000181019	NQO1
ENSG00000183682	BMP8A
ENSG00000160712	IL6R
ENSG00000146072	TNFRSF21
ENSG00000198890	PRMT6
ENSG00000130349	MTRES1
ENSG00000260852	FBXL19-AS1
ENSG00000169084	DHRSX
ENSG00000160606	TLCD1
ENSG00000170425	ADORA2B
ENSG00000196275	GTF2IRD2
ENSG00000251161	NA
ENSG00000230606	NA
ENSG00000204876	LOC389602
ENSG00000198520	ARMH1
ENSG00000108448	NA
ENSG00000169087	HSPBAP1
ENSG00000262769	NA
ENSG00000108846	ABCC3
ENSG00000261428	NA
ENSG00000115902	SLC1A4
ENSG00000103150	MLYCD
ENSG00000070190	DAPP1
ENSG00000236333	NA
ENSG00000255455	NA
ENSG00000231187	LOC102724593
ENSG00000125148	MT2A
ENSG00000213366	GSTM2
ENSG00000164690	SHH
ENSG00000162840	NA
ENSG00000260259	NA
ENSG00000239763	NA
ENSG00000233589	NA
ENSG00000109680	TBC1D19
ENSG00000230487	PSMG3-AS1
ENSG00000251669	NA
ENSG00000237172	B3GNT9
ENSG00000187624	LIAT1
ENSG00000263563	NA
ENSG00000259205	NA
ENSG00000129910	CDH15
ENSG00000152763	DNAI4
ENSG00000138100	TRIM54
ENSG00000110315	RNF141
ENSG00000135407	AVIL
ENSG00000114850	SSR3
ENSG00000138347	MYPN
ENSG00000129167	TPH1
ENSG00000181315	ZNF322
ENSG00000183760	ACP7
ENSG00000156755	IGKV1OR-2
ENSG00000267858	MZF1-AS1
ENSG00000237264	NA
ENSG00000138623	SEMA7A
ENSG00000272720	NA
ENSG00000169359	SLC33A1
ENSG00000168874	ATOH8
ENSG00000259426	KIF23-AS1
ENSG00000175806	MSRA
ENSG00000167767	KRT80
ENSG00000062370	ZNF112
ENSG00000050405	LIMA1
ENSG00000255983	NA
ENSG00000245205	EEF1A1P4
ENSG00000074527	NTN4
ENSG00000117228	GBP1
ENSG00000197261	C6orf141
ENSG00000139438	FAM222A
ENSG00000273382	NA
ENSG00000207975	MIR181B1
ENSG00000227479	NA
ENSG00000127415	IDUA
ENSG00000176473	WDR25
ENSG00000259439	LINC01833
ENSG00000137868	STRA6
ENSG00000179148	ALOXE3
ENSG00000213742	ZNF337-AS1
ENSG00000262768	NA
ENSG00000175505	CLCF1
