SAMPLE_109  SAMPLE_109  SAMPLE_155  SAMPLE_155 UN    NA  0.0027  0.9503  0.0470  0.5221  -1  0.851070  1.0000 604.1429      79  148772  351149  7.0000 4229.0000
SAMPLE_067  SAMPLE_067  SAMPLE_161  SAMPLE_161 UN    NA  0.7981  0.0000  0.2019  0.2019  -1  0.794383  0.2672  1.9606   24362  156893  318745 1472.0000 2886.0000
SAMPLE_202  SAMPLE_202  SAMPLE_117  SAMPLE_117 UN    NA  0.7987  0.0000  0.2013  0.2013  -1  0.793345  0.5086  2.0014   24812  157031  318157 1453.0000 2908.0000
SAMPLE_085  SAMPLE_085  SAMPLE_161  SAMPLE_161 UN    NA  0.7988  0.0000  0.2012  0.2012  -1  0.791676  0.1091  1.9229   25615  157094  317291 1492.0000 2869.0000
SAMPLE_167  SAMPLE_167  SAMPLE_031  SAMPLE_031 UN    NA  0.7994  0.0000  0.2006  0.2006  -1  0.795060  0.9537  2.1121   23895  157150  318955 1401.0000 2959.0000
SAMPLE_202  SAMPLE_202  SAMPLE_050  SAMPLE_050 UN    NA  0.7997  0.0000  0.2003  0.2003  -1  0.790989  0.2017  1.9472   25857  157297  316846 1478.0000 2878.0000
SAMPLE_167  SAMPLE_167  SAMPLE_142  SAMPLE_142 UN    NA  0.7998  0.0000  0.2002  0.2002  -1  0.792528  0.5340  2.0055   25094  157284  317622 1464.0000 2936.0000
SAMPLE_088  SAMPLE_088  SAMPLE_050  SAMPLE_050 UN    NA  0.7999  0.0000  0.2001  0.2001  -1  0.792282  0.2372  1.9549   25201  157316  317483 1484.0000 2901.0000
SAMPLE_167  SAMPLE_167  SAMPLE_064  SAMPLE_064 UN    NA  0.8000  0.0000  0.2000  0.2000  -1  0.791580  0.3865  1.9816   25531  157358  317111 1469.0000 2911.0000
SAMPLE_202  SAMPLE_202  SAMPLE_085  SAMPLE_085 UN    NA  0.8000  0.0000  0.2000  0.2000  -1  0.792821  0.3988  1.9837   24929  157321  317750 1468.0000 2912.0000
SAMPLE_183  SAMPLE_183  SAMPLE_064  SAMPLE_064 UN    NA  0.8003  0.0000  0.1997  0.1997  -1  0.791287  0.1601  1.9375   25650  157413  316937 1489.0000 2885.0000
SAMPLE_088  SAMPLE_088  SAMPLE_117  SAMPLE_117 UN    NA  0.8016  0.0000  0.1984  0.1984  -1  0.791144  0.0186  1.8721   25577  157702  316721 1525.0000 2855.0000
SAMPLE_178  SAMPLE_178  SAMPLE_161  SAMPLE_161 UN    NA  0.8021  0.0000  0.1979  0.1979  -1  0.789082  0.0002  1.7856   26524  157870  315606 1572.0000 2807.0000
SAMPLE_183  SAMPLE_183  SAMPLE_050  SAMPLE_050 UN    NA  0.8025  0.0000  0.1975  0.1975  -1  0.792021  0.0979  1.9192   25064  157851  317085 1498.0000 2875.0000
SAMPLE_176  SAMPLE_176  SAMPLE_031  SAMPLE_031 UN    NA  0.7993  0.0076  0.1931  0.1969  -1  0.795601  0.9799  2.1375   23069  158261  318670 1396.0000 2984.0000
SAMPLE_088  SAMPLE_088  SAMPLE_064  SAMPLE_064 UN    NA  0.8034  0.0000  0.1966  0.1966  -1  0.793236  0.3378  1.9733   24390  157984  317626 1459.0000 2879.0000
SAMPLE_088  SAMPLE_088  SAMPLE_085  SAMPLE_085 UN    NA  0.8034  0.0000  0.1966  0.1966  -1  0.792108  0.7764  2.0496   24929  158034  317037 1431.0000 2933.0000
SAMPLE_202  SAMPLE_202  SAMPLE_094  SAMPLE_094 UN    NA  0.8034  0.0000  0.1966  0.1966  -1  0.792706  0.1815  1.9427   24642  158010  317348 1483.0000 2881.0000
SAMPLE_031  SAMPLE_031  SAMPLE_064  SAMPLE_064 UN    NA  0.8036  0.0000  0.1964  0.1964  -1  0.793046  0.7108  2.0361   24463  158028  317509 1442.0000 2936.0000
SAMPLE_183  SAMPLE_183  SAMPLE_085  SAMPLE_085 UN    NA  0.8041  0.0000  0.1959  0.1959  -1  0.790865  0.5509  2.0082   25460  158215  316325 1462.0000 2936.0000
SAMPLE_176  SAMPLE_176  SAMPLE_167  SAMPLE_167 UN    NA  0.8042  0.0000  0.1958  0.1958  -1  0.793599  0.5762  2.0124   24141  158119  317740 1456.0000 2930.0000
SAMPLE_008  SAMPLE_008  SAMPLE_161  SAMPLE_161 UN    NA  0.8047  0.0000  0.1953  0.1953  -1  0.789810  0.0050  1.8434   25897  158396  315707 1539.0000 2837.0000
SAMPLE_088  SAMPLE_088  SAMPLE_094  SAMPLE_094 UN    NA  0.8047  0.0000  0.1953  0.1953  -1  0.791747  0.4236  1.9877   24971  158311  316718 1460.0000 2902.0000
SAMPLE_007  SAMPLE_007  SAMPLE_064  SAMPLE_064 UN    NA  0.8048  0.0000  0.1952  0.1952  -1  0.790073  0.6658  2.0278   25758  158411  315831 1441.0000 2922.0000
SAMPLE_176  SAMPLE_176  SAMPLE_202  SAMPLE_202 UN    NA  0.8049  0.0000  0.1951  0.1951  -1  0.793132  0.5972  2.0159   24288  158292  317420 1450.0000 2923.0000
SAMPLE_202  SAMPLE_202  SAMPLE_064  SAMPLE_064 UN    NA  0.8052  0.0000  0.1948  0.1948  -1  0.790817  0.0448  1.8945   25367  158449  316184 1497.0000 2836.0000
SAMPLE_097  SAMPLE_097  SAMPLE_161  SAMPLE_161 UN    NA  0.8053  0.0000  0.1947  0.1947  -1  0.791682  0.1137  1.9246   24942  158434  316624 1498.0000 2883.0000
SAMPLE_161  SAMPLE_161  SAMPLE_149  SAMPLE_149 UN    NA  0.8053  0.0000  0.1947  0.1947  -1  0.786953  0.0001  1.7719   27194  158659  314147 1587.0000 2812.0000
SAMPLE_167  SAMPLE_167  SAMPLE_050  SAMPLE_050 UN    NA  0.8053  0.0000  0.1947  0.1947  -1  0.792196  0.2893  1.9648   24701  158402  316897 1478.0000 2904.0000
SAMPLE_183  SAMPLE_183  SAMPLE_094  SAMPLE_094 UN    NA  0.8059  0.0000  0.1941  0.1941  -1  0.791716  0.6616  2.0270   24866  158552  316582 1446.0000 2931.0000
