names	scores	logfoldchanges	pvals	pvals_adj
CDK17	30.866507	3.9924362	3.364023037956481e-209	2.3678193694662532e-206
FGFR1	30.662905	6.372283	1.7785139145425501e-206	1.2282148638900355e-203
RLBP1	30.59217	4.433373	1.5556274953221256e-205	1.0543985547460207e-202
ZSWIM6	30.52792	3.9063478	1.1106223813199691e-204	7.390889050671307e-202
RCAN2	30.42554	4.245384	2.5240867816561354e-203	1.649716076703504e-200
PTEN	30.329708	3.3207293	4.653391080598974e-202	2.988048542824615e-199
ADGRL3	30.276121	4.1441875	2.3645995469622264e-201	1.4921846210062836e-198
ZNF536	30.192266	3.3071404	2.9923189081817196e-200	1.8563027857349005e-197
AKAP13	30.170938	3.8439782	5.700281096554423e-200	3.47726647358314e-197
DACH1	29.97662	4.004457	1.9799409388574806e-197	1.1688357790826233e-194
SORCS1	29.968773	4.5970488	2.5056315787702833e-197	1.455692403405891e-194
DGKD	29.958488	3.727058	3.411072561605758e-197	1.950760419177068e-194
SLC1A3	29.89442	5.29422	2.3254057613086605e-196	1.3094180964562812e-193
SH3PXD2B	29.884176	6.727646	3.1595761957323153e-196	1.7521764899999767e-193
IGF1R	29.524384	2.6628065	1.4007092234875902e-191	7.65184452072676e-189
CGNL1	29.494879	6.107763	3.3490381818602293e-191	1.8026198013862684e-188
SORBS1	29.472334	4.3622575	6.515143629432731e-191	3.45595321711402e-188
TRDN	29.457722	4.98175	1.0025724883389276e-190	5.2421650922418696e-188
CTNNB1	29.455286	3.8894496	1.0772572543971441e-190	5.553337009604207e-188
RHOQ	29.266676	4.0477514	2.7550971572642688e-188	1.4005459868476319e-185
RAPGEF1	29.131506	3.9477756	1.4328968496323139e-186	7.184309259368811e-184
HES1	29.036127	4.628333	2.3033671695002854e-185	1.1392640779848643e-182
MIR99AHG	28.879314	3.746889	2.1718092957494463e-183	1.0459262109700723e-180
NAV3	28.77853	4.0821323	3.982654560185395e-182	1.8931057085369564e-179
DKK3	28.775963	4.080596	4.288464739585686e-182	2.012334588891996e-179
CDK18	28.725134	5.7211313	1.8523521008660546e-181	8.582017625797273e-179
COLEC12	28.704626	3.9021823	3.340346324866538e-181	1.5282501979555022e-178
RGR	28.57385	4.547061	1.4201477706126212e-179	6.338881530755189e-177
ERBIN	28.551123	3.7249436	2.7202768715440553e-179	1.1995765515106501e-176
GPX3	28.373026	3.4537742	4.352777464970707e-177	1.8966191428022956e-174
HIF1A-AS3	28.360529	3.0987375	6.2074679078762425e-177	2.67293568113151e-174
ELOVL5	28.300388	4.746654	3.418134959899665e-176	1.454734391480089e-173
USP47	28.280233	2.9046159	6.049477047200049e-176	2.545021947178954e-173
SASH1	28.109177	3.8408175	7.566714211406514e-174	3.147151214223748e-171
BCL2	28.072998	5.998183	2.093267367716523e-173	8.60850325008904e-171
ZNF331	28.056162	4.9858074	3.3597610378633066e-173	1.3663401527426098e-170
HES4	27.90256	5.599583	2.483981744268076e-171	9.990792947467675e-169
SRGAP1	27.859118	4.467765	8.35265642246303e-171	3.3229954099844503e-168
LPP	27.855913	3.987073	9.133684693787724e-171	3.5946450911540266e-168
LITAF	27.76609	6.199665	1.1141577836749154e-169	4.338222238328253e-167
CASC15	27.762157	4.3915653	1.24290813440221e-169	4.788597960763714e-167
ARHGAP29	27.729052	3.2374275	3.117841271538694e-169	1.1887094622873722e-166
CRYAB	27.68634	3.9742196	1.019729534041924e-168	3.8477443995328304e-166
NR4A1	27.654419	6.489715	2.469428385650298e-168	9.2228110554272e-166
BTG2	27.581728	6.1120534	1.8433543348296155e-167	6.81501131405038e-165
PRMT9	27.54825	5.028841	4.644269714639237e-167	1.699849158255107e-164
PARD3B	27.52024	4.3811235	1.0052632036546563e-166	3.642934506630106e-164
ARRDC3	27.421284	3.358222	1.5291483232894028e-165	5.48709390007014e-163
MSI2	27.34766	1.6841396	1.151336319669735e-164	4.091268022935143e-162
CALD1	27.275686	4.70362	8.242385183905152e-164	2.900764808808774e-161
ATP1B3	27.182928	4.7032433	1.0338355581133027e-162	3.603753834524285e-160
CEBPD	27.091784	5.19915	1.2305112090186195e-161	4.248862335970801e-159
UBE2D2	27.016434	3.7803733	9.47566491422052e-161	3.2412973039755632e-158
DCLK1	26.948893	4.236254	5.877252762819987e-160	1.991790077518281e-157
ANKRD28	26.941263	2.8463037	7.220944174759378e-160	2.424713557251083e-157
DUSP1	26.94079	4.5992026	7.3136434992424e-160	2.433515142870646e-157
SORCS2	26.902077	3.556159	2.07671031896284e-159	6.847718413005307e-157
COL5A1	26.859425	5.6010785	6.546316622932669e-159	2.1393012028210593e-156
AOPEP	26.834358	3.101689	1.2842807342401718e-158	4.1598193941526127e-156
USP36	26.803125	4.069022	2.9712425069173688e-158	9.539512894358123e-156
TRIO	26.752605	3.190089	1.1515303551713375e-157	3.664970654750098e-155
NKAIN2	26.741343	4.133854	1.5569780860098697e-157	4.912668528107521e-155
TNIK	26.651598	2.517674	1.7149390977836273e-156	5.364827856237482e-154
EFNB2	26.547276	6.089872	2.7611433373222173e-155	8.492488007506762e-153
AFDN	26.525013	2.7820141	4.988983724068747e-155	1.521681610705335e-152
MAST4	26.443254	4.109761	4.3624974852456514e-154	1.3196014087394719e-151
FRZB	26.34058	3.506454	6.580619253536471e-153	1.9742397155630193e-150
PCSK5	26.287445	4.087239	2.6690287362278855e-152	7.942204941030637e-150
NCAM1	26.277096	2.1144364	3.5047456127274334e-152	1.0344935013825547e-149
SERINC5	26.212444	4.6779337	1.9170129927984317e-151	5.613167403953232e-149
BMPR1B	26.144627	3.4758644	1.1344248606396713e-150	3.2953241527200485e-148
NR4A3	26.120375	8.056369	2.140018397565887e-150	6.167465619630633e-148
SLC37A1	26.079351	4.8612604	6.253261588909303e-150	1.7880908391849174e-147
FLT1	26.075325	4.2577777	6.94646728348185e-150	1.9709120080830944e-147
C9orf72	26.063412	3.219118	9.480537778539707e-150	2.669208947941014e-147
PAK1	25.99622	3.741818	5.464455695900199e-149	1.526752236073612e-146
NPAS3	25.995707	3.50582	5.537814710226167e-149	1.5355269409771814e-146
GLIS3	25.969091	5.2391095	1.1069237424796345e-148	3.046204202894519e-146
CHSY3	25.925598	6.032788	3.427357581793867e-148	9.361545884420697e-146
FAM160A1	25.915537	2.8608913	4.450222253526611e-148	1.2065376644542778e-145
DUSP16	25.9075	4.115725	5.4823849681595286e-148	1.4754468545559332e-145
MXI1	25.889906	2.6958554	8.652540511245004e-148	2.3116177755626157e-145
ZNF141	25.842085	3.9451046	2.9863312373316267e-147	7.920486204172092e-145
ERO1A	25.793982	3.5115857	1.0358781358458703e-146	2.727638535978036e-144
CLCN3	25.635796	2.7823744	6.089270355765405e-145	1.5919527449383543e-142
MED12L	25.555725	3.576991	4.7424323788426954e-144	1.2310479964398687e-141
TRIB2	25.547062	3.5334308	5.919257099845399e-144	1.5257093599397284e-141
CD44	25.529549	6.738771	9.264382042835494e-144	2.3712283017470066e-141
SIK3	25.374166	2.0755348	4.863928420881192e-142	1.236282250921337e-139
FRMD5	25.277	2.9897904	5.719341737357014e-141	1.4436801857172696e-138
DPYSL2	25.270882	2.9669557	6.677761303975887e-141	1.674059873197407e-138
PTGDS	25.24814	3.0623736	1.18712524698616e-140	2.9557803513564925e-138
SLC2A3	25.216448	3.6433935	2.644433378595701e-140	6.539790952025761e-138
NFIB	25.164719	3.3301153	9.752934862305894e-140	2.379781125968387e-137
NEDD4L	25.071821	3.3864307	1.0095353692060401e-138	2.430921318967781e-136
AC092691.1	25.019043	3.2590773	3.7941582835927653e-138	9.076469760639137e-136
MYO1E	24.92245	5.771787	4.2493101747640644e-137	1.0099285825099969e-134
COL18A1	24.913439	5.172746	5.32081114627431e-137	1.2564323146115227e-134
GULP1	24.889168	4.5142055	9.747319681548533e-137	2.2869336388740886e-134
PAG1	24.766193	3.768464	2.074890105025529e-135	4.837137116817795e-133
DTNA	24.752422	3.0828557	2.9195305607081014e-135	6.763147978004887e-133
NEDD9	24.711819	4.3368144	7.982693717244899e-135	1.8375759292130854e-132
WNT5B	24.669304	4.6789775	2.284437643059049e-134	5.225793885850266e-132
TBL1X	24.41325	2.671256	1.2369525473408239e-131	2.8120310674050618e-129
SLC2A1	24.35556	3.967493	5.062047836878846e-131	1.1436790918370533e-128
CHST9	24.355244	5.0065017	5.101125594178092e-131	1.1454374102608119e-128
EGFR	24.168959	4.8174715	4.719170865334332e-129	1.0532095905006213e-126
HIF1A	24.134449	2.3100965	1.0875602803427282e-128	2.412472352777224e-126
SEMA6A	24.08276	3.6513984	3.7894436613416425e-128	8.355266713781051e-126
RIN2	24.025673	3.6091611	1.4995724064798719e-127	3.286577823327532e-125
MALAT1	23.947079	0.56680524	9.910811443006784e-127	2.159200057294591e-124
LGALS3	23.907822	5.6268525	2.539604116722014e-126	5.500121318114936e-124
SLC15A4	23.884293	3.4811156	4.4604645455626134e-126	9.603380166596307e-124
SOX6	23.86316	3.45526	7.39385187979272e-126	1.5825869745748152e-123
GADD45B	23.77635	5.8288665	5.867729052416787e-125	1.2486322735320165e-122
EPAS1	23.70766	2.6680627	3.006037202200488e-124	6.359766915476304e-122
ABI3BP	23.634104	3.9284863	1.7199435640147823e-123	3.5972373935145743e-121
CHD1	23.56536	2.863449	8.736572519163275e-123	1.816859606669858e-120
TMEM178B	23.55101	3.4056976	1.2257752866556193e-122	2.53472323541708e-120
FAM13A	23.547346	2.8168426	1.3364566481143764e-122	2.7480702122266456e-120
UST	23.474867	4.7955904	7.368228013316249e-122	1.5066173939407154e-119
RAPGEF2	23.466736	2.2945538	8.920380841935061e-122	1.8138603288648063e-119
AC018682.1	23.450306	4.3258924	1.3124421364817811e-121	2.6539610296889317e-119
NEK1	23.421057	2.841634	2.6080763045535863e-121	5.244956089173945e-119
TENM4	23.386232	3.4967263	5.901003262773367e-121	1.1802328984741421e-118
AC078923.1	23.362564	4.9360175	1.0271199318636214e-120	2.0431313383771963e-118
PCNX4	23.294931	2.836201	4.990081046015155e-120	9.872538181902741e-118
RARB	23.19598	3.0817335	4.999215998531392e-119	9.837435739905778e-117
CPNE8	23.194206	4.6370773	5.209501802390444e-119	1.0196415800496934e-116
AQP4-AS1	23.17354	4.49273	8.419059565600974e-119	1.6390744636200067e-116
PYGL	22.886312	3.5136478	6.359768809771899e-116	1.2251257800340067e-113
BTAF1	22.791098	2.5158815	5.618950180046909e-115	1.0767497148685702e-112
CAST	22.7851	3.5952163	6.443274222870301e-115	1.2219185483485795e-112
BNIP3L	22.749226	2.5079298	1.4605381398394898e-114	2.755523528673462e-112
NFIA	22.728626	2.8393598	2.3353097631837126e-114	4.383316545758311e-112
WRN	22.695837	2.8694801	4.924852716360823e-114	9.196659911812372e-112
SULF1	22.612278	4.499885	3.2815695709375425e-113	6.096889739385025e-111
PLCB1	22.597528	3.542289	4.583130382622745e-113	8.472078542140156e-111
SYAP1	22.54188	4.472667	1.6132142724088172e-112	2.952262779221756e-110
AC108519.1	22.528563	3.3381886	2.179157737575453e-112	3.968126982736276e-110
REV3L	22.473825	2.0320327	7.485628978988948e-112	1.3563440903959134e-109
HSPA9	22.47099	3.4996042	7.979404018224721e-112	1.4386904752268128e-109
HNRNPLL	22.456707	3.2638092	1.1005037226127802e-111	1.9744870956544297e-109
RASD1	22.404137	5.6185007	3.586737416158985e-111	6.403813471650488e-109
SMTN	22.376207	3.4463947	6.711553131468477e-111	1.1924735736159114e-108
STOX2	22.343899	3.6856194	1.3842098371774783e-110	2.447510350267289e-108
SSBP2	22.287376	1.7505318	4.898748925604514e-110	8.620149491637059e-108
AL139807.1	22.258507	3.9169095	9.330210989182697e-110	1.6273582375168225e-107
SLC7A5	22.258474	2.6249473	9.337046252248101e-110	1.6273582375168225e-107
LONP2	22.240107	2.284873	1.4062121058866754e-109	2.439278165287119e-107
KSR1	22.083727	2.6577034	4.5313532905105365e-108	7.78648177398949e-106
SPIDR	21.915928	2.203338	1.831280527237062e-106	3.1320887185702666e-104
CDH20	21.880558	2.7586987	3.979520833712225e-106	6.774625210916332e-104
STAT3	21.828356	2.3746612	1.2482976768926803e-105	2.1152288551828236e-103
KLF9	21.777567	4.3805723	3.786546889384321e-105	6.386700585177674e-103
ARHGEF28	21.771984	3.7667072	4.277015377613305e-105	7.180873386973605e-103
PPP1R3C	21.753328	4.604725	6.424581479000049e-105	1.0737265146706887e-102
FYN	21.668653	2.73612	4.0544099515693634e-104	6.745248119881376e-102
SLC35F1	21.574469	2.816067	3.120396135249875e-103	5.1678560609176777e-101
AGFG1	21.555912	2.5061934	4.660071785529915e-103	7.683030964963083e-101
ABL1	21.5325	2.7718596	7.725230698051812e-103	1.267942460894145e-100
TTC19	21.498154	2.3864238	1.6200361575014993e-102	2.6470956875318023e-100
CCNH	21.447214	2.1136522	4.848325226438302e-102	7.851927062516296e-100
CADPS2	21.431965	4.3872776	6.727909831316937e-102	1.0847939547842783e-99
CYSTM1	21.389523	3.5410542	1.6725990010466057e-101	2.6733098706247517e-99
MEG3	21.352978	2.7134254	3.6586743487307475e-101	5.822223471212787e-99
FOSL2	21.32034	7.240904	7.352270850415952e-101	1.1649370796366851e-98
BHLHE40	21.314089	3.576241	8.402857066239285e-101	1.3256593598337246e-98
DAB2IP	21.309576	4.011062	9.252848475117972e-101	1.4534914465141327e-98
PER1	21.271193	3.3589919	2.098774377978793e-100	3.2827880772821285e-98
RBMS1	21.260448	4.4883943	2.6388102596376934e-100	4.109918906936137e-98
CRB1	21.250008	2.0771391	3.2961471148041347e-100	5.1119610402095816e-98
NPAS2	21.240564	4.046111	4.0302293108759304e-100	6.224068481323626e-98
OSBPL10	21.23535	3.9024608	4.503282479109425e-100	6.925405126801852e-98
CLK1	21.22213	2.476412	5.965882580360093e-100	9.136287377563171e-98
MAT2A	21.189316	3.3947575	1.1982766223404144e-99	1.8274217772617293e-97
NFIL3	21.180838	4.4460926	1.434605251604784e-99	2.1787546395845102e-97
ACTN4	21.175373	3.3704221	1.6110050963521877e-99	2.4365453525448937e-97
GNG7	21.170567	3.361574	1.7840100213933082e-99	2.6871008556796906e-97
ANKRD37	21.155062	2.9475117	2.4786540805236263e-99	3.7180827049690676e-97
COL11A1	21.152967	3.8692849	2.591221139848042e-99	3.871072854676661e-97
TIPARP	21.091454	4.95806	9.528814941601445e-99	1.4177404702339613e-96
IL1R1	21.015684	6.4744477	4.714049158148799e-98	6.9853811027289145e-96
NCKAP5	20.916574	2.3748174	3.7833222431397647e-97	5.5836039282725215e-95
JOSD1	20.81836	4.489825	2.951229680517905e-96	4.338070583800636e-94
ATP2B4	20.801277	3.6056647	4.214312479181529e-96	6.169922042020925e-94
MOB3B	20.784014	3.7257025	6.039313953791314e-96	8.806570917239676e-94
TCF4	20.77394	1.9229121	7.449118488285946e-96	1.0819253404355313e-93
F3	20.73218	4.1272535	1.7756235587048788e-95	2.5687588091761766e-93
NTRK2	20.592724	3.0760794	3.1893044727873935e-94	4.577715019940839e-92
CSNK1A1	20.575222	1.9725441	4.576297128014688e-94	6.542853561815063e-92
NOTCH2	20.449156	2.8271115	6.112432814625019e-93	8.671362536747688e-91
HDAC4	20.446712	2.4095113	6.426284247447864e-93	9.081406553700359e-91
MAP4K4	20.443876	2.5285153	6.810984808595114e-93	9.588032883822684e-91
RANBP2	20.41288	2.7861469	1.2848787331130004e-92	1.8018331996424876e-90
SCARB1	20.388346	3.483304	2.1220359947888616e-92	2.964451887223936e-90
LINC01170	20.368834	4.04866	3.161119692370073e-92	4.399244937659203e-90
ABCB11	20.32173	5.036243	8.261419514801562e-92	1.145364453262318e-89
CHMP1B	20.320587	4.434088	8.455968390696849e-92	1.1679128266713033e-89
TRIM2	20.315931	2.489392	9.297098810205224e-92	1.279259825384667e-89
FGF9	20.308254	4.362136	1.0870044466254775e-91	1.490091750971502e-89
JARID2	20.185398	1.7072543	1.3156235502727252e-90	1.7900794633283277e-88
MAP3K5	20.164562	2.9851108	2.005164764307425e-90	2.718186501422817e-88
EGR1	20.120865	6.4545474	4.845532167689002e-90	6.544329257180265e-88
WDR1	20.108387	3.8974993	6.231708058046683e-90	8.385542155609068e-88
L3MBTL4	20.101	4.1373334	7.2322271155687295e-90	9.696217753001138e-88
LUCAT1	20.082888	3.4002945	1.0416018581661626e-89	1.3913748033116685e-87
PAM	20.021809	3.0894387	3.5558031922391295e-89	4.732580095968887e-87
GAB1	19.976778	3.702114	8.770445000379537e-89	1.1630690487640993e-86
PCGF5	19.9674	2.0826573	1.0581915440102595e-88	1.3982263069429426e-86
LARP4B	19.964682	2.3294785	1.1173717353704748e-88	1.4711123340393794e-86
LINC01473	19.941225	1.8168821	1.7863808897844106e-88	2.3434884210393984e-86
P3H2	19.939024	3.4465318	1.8666934543716733e-88	2.440101682980629e-86
GABRB1	19.934086	4.094987	2.060336774648101e-88	2.683643640174204e-86
ACOT11	19.865704	4.040001	8.061390023213591e-88	1.0425969478432532e-85
AF117829.1	19.85829	3.4940798	9.343837454255633e-88	1.204203502335248e-85
PDLIM3	19.852024	4.0114655	1.058483010536175e-87	1.3593521638117382e-85
STX17-AS1	19.848984	5.8761125	1.1245073309394388e-87	1.4390941545354683e-85
TMEM184C	19.846193	3.784286	1.1887222907749175e-87	1.5159729813467858e-85
PALLD	19.84029	3.5949416	1.3368608220162166e-87	1.6989737134241507e-85
SIPA1L1	19.819834	2.0902321	2.0077168917785701e-87	2.5427143929407418e-85
PITPNC1	19.808342	2.2715209	2.5225836270506503e-87	3.1837614942648565e-85
FLRT2	19.751024	3.825784	7.860685940484351e-87	9.886906051809887e-85
MYRIP	19.747734	2.497183	8.389797384544367e-87	1.0516266235332479e-84
PRKD1	19.714294	2.1938648	1.6256467884599115e-86	2.0307268977618163e-84
MICAL3	19.696991	2.6339974	2.2882025496134698e-86	2.848656514231381e-84
LMCD1	19.682531	5.2558336	3.044149638671049e-86	3.7769125737287823e-84
SLC38A1	19.628498	2.2418337	8.828700849861652e-86	1.0880110431171257e-83
CD9	19.628202	4.546239	8.88019327556399e-86	1.0906844096607973e-83
SLC8A1	19.62241	2.334143	9.95214897696733e-86	1.2182562030300377e-83
PHLPP1	19.613104	2.0446737	1.195096663355919e-85	1.4571598479608349e-83
ZNF10	19.612967	3.2317796	1.1983418874790615e-85	1.4571598479608349e-83
CYCS	19.60772	2.9132178	1.3285672415351926e-85	1.610161907530781e-83
SH3RF1	19.59995	4.335338	1.547735335343362e-85	1.869592772571036e-83
TIAM1	19.58748	3.1843112	1.9773822178913812e-85	2.3807291630606068e-83
CHI3L1	19.574675	7.453674	2.5425633693881335e-85	3.051159405999183e-83
CMIP	19.533821	3.090332	5.663864992166723e-85	6.774611848963864e-83
SRSF7	19.527096	2.7391508	6.460997182628766e-85	7.67788824290245e-83
MLLT3	19.50289	2.770798	1.037497423081238e-84	1.2249497800708513e-82
MGAT5	19.469997	2.6283023	1.9728506709108982e-84	2.3218105275244303e-82
AL390957.1	19.446362	3.7337828	3.1285653533442136e-84	3.670148092876652e-82
BIN3	19.383686	3.3433104	1.0597632112848656e-83	1.2392457922120562e-81
SPON1	19.38284	2.8964343	1.0773554280008743e-83	1.2558052872694266e-81
GRIA4	19.355848	2.2433164	1.8197170132673437e-83	2.114395631828509e-81
MAGI2	19.223282	1.4746928	2.363421577489711e-82	2.7374554796740792e-80
VIM	19.220825	2.345127	2.4779904637617776e-82	2.86110186006766e-80
B3GALNT2	19.134718	3.4463162	1.2977847270498676e-81	1.4890350719358058e-79
C1orf61	19.099356	2.9156713	2.5562457753733728e-81	2.923785988263776e-79
CASP9	19.090136	4.272792	3.0497959857608916e-81	3.477432488312598e-79
EML6	19.039839	1.8938884	7.9773247798255785e-81	9.067641747403604e-79
GEM	18.981129	3.3819644	2.44287347188103e-80	2.7681613605051885e-78
AC114971.1	18.960535	3.8975549	3.6144578692142624e-80	4.0705468452649606e-78
RRH	18.959957	3.939237	3.654390183390712e-80	4.1028937147939713e-78
ZBTB21	18.937551	3.903728	5.5939309535673236e-80	6.261268098823169e-78
PDE7B	18.9238	3.616055	7.262512831339434e-80	8.10412293109313e-78
AGO2	18.923063	2.5514758	7.364585697335984e-80	8.193045626388886e-78
RPS6KA2	18.867414	2.5002606	2.1138748310510073e-79	2.3445434148878155e-77
PRICKLE2	18.865307	2.4127557	2.1998830359993747e-79	2.4325655287194295e-77
MALT1	18.821932	2.1964734	4.99299301105867e-79	5.487944059992744e-77
CCNL1	18.798561	2.0478017	7.759385186926073e-79	8.50303165349345e-77
RAB11FIP3	18.788454	2.938332	9.387476219908569e-79	1.0256448272384283e-76
AGPAT5	18.723513	2.962485	3.184410909229618e-78	3.4688280859736085e-76
CACNA1C	18.708658	2.2369213	4.2083704011084405e-78	4.570639912491692e-76
GALNT18	18.619577	4.509241	2.22968506896219e-77	2.4144586748250033e-75
NR2E1	18.593006	5.7942705	3.6606865041740706e-77	3.9523535911290605e-75
MIR31HG	18.56058	4.7988825	6.697882491394931e-77	7.210270501986643e-75
CLU	18.48787	2.4008996	2.58571314020511e-76	2.767242299551089e-74
ACTB	18.48693	2.4490087	2.6311289337455436e-76	2.807637029271739e-74
PSME4	18.481998	2.2118225	2.883025395573767e-76	3.067488735563821e-74
MTHFD1L	18.424852	2.7035668	8.301686133876712e-76	8.781792317515073e-74
NHSL1	18.416952	4.222615	9.606230869360915e-76	1.0132497292492187e-73
RAB1A	18.391079	2.157699	1.548690051685685e-75	1.6288392121191883e-73
ARHGEF26	18.324692	2.8953762	5.257769475639957e-75	5.5140292429197153e-73
ATF6	18.323017	2.2983923	5.422096631331737e-75	5.670118822953511e-73
QSOX1	18.311157	4.360807	6.742068980918572e-75	7.030383668678081e-73
AFF4	18.251444	1.7693249	2.0151085268713977e-74	2.0953121361369325e-72
MCAM	18.229404	6.0207253	3.0158206141233615e-74	3.118137014054496e-72
STK35	18.167734	1.6681768	9.295761473131724e-74	9.584061005016739e-72
PRPSAP1	18.162462	2.8723123	1.023319747514676e-73	1.0520934291793442e-71
ADGRL2	18.158876	1.8897305	1.0923865403674773e-73	1.119956295910085e-71
MAPT	18.126009	2.041462	1.9866863550521634e-73	2.0311370748956487e-71
CFI	18.114923	4.2068734	2.4301261750675832e-73	2.4775779424414653e-71
PFKP	18.10305	1.5813762	3.01501632554369e-73	3.0653503480895724e-71
LINC00461	18.057009	1.8885355	6.948757972414103e-73	7.025731783102999e-71
PGAP1	18.02003	2.2509627	1.3567029858341218e-72	1.3679527819425533e-70
PKHD1	18.017029	4.697369	1.4323246486821636e-72	1.4402339139125238e-70
NAMPT	17.997478	2.578866	2.0389168946829037e-72	2.0389726027947804e-70
BMP2K	17.995338	2.5724103	2.1192545874708713e-72	2.113537797166795e-70
SPHK1	17.992928	5.6094604	2.2134778819944677e-72	2.201508259752161e-70
MYO6	17.97196	1.6858932	3.2309860725484815e-72	3.20480545369504e-70
AC009041.2	17.963022	4.077984	3.795702508402664e-72	3.754770473244484e-70
IRF2BP2	17.960606	3.6280649	3.964622862742417e-72	3.911298150922782e-70
NCALD	17.944727	3.3125029	5.277012745219025e-72	5.1920414916064935e-70
RDH10	17.78337	3.8289557	9.50913724212697e-71	9.33093652008282e-69
EPHA2	17.769972	5.556741	1.207515833598651e-70	1.1817189044263163e-68
ZNF708	17.766241	2.9841456	1.2905259403688327e-70	1.2595877318250573e-68
MROH7	17.744228	3.9630694	1.9100325827636632e-70	1.8592846425992774e-68
FRMD4A	17.735357	2.0668304	2.2367075974666506e-70	2.171504901190368e-68
ELL2	17.724113	6.9979706	2.7318121535582062e-70	2.6451602283699446e-68
HOPX	17.72217	5.766864	2.8278733610296545e-70	2.730949680397002e-68
SFMBT2	17.696625	1.6122181	4.452011013780079e-70	4.288106713562228e-68
CERS6	17.651602	2.7620943	9.891093582284443e-70	9.501940057879078e-68
NBEAL1	17.632505	1.9857954	1.386846508839545e-69	1.3287950018334078e-67
LRMDA	17.583797	2.5404916	3.278639767187307e-69	3.1331982798648204e-67
