source_experiments=699
afgr_atac_experiments=100
afgr_atac_filtered_bams=100
igsr_unique_samples=3202
intersection_samples=83
nonmatching_afgr_atac_samples=17
output_sorted=True
output_unique=True
output_file_md5=1127bd47e06e7c19e8f0d5b5458a244a
nonmatch	GM21360	NA21360	/experiments/ENCSR105SCQ/
nonmatch	GM21367	NA21367	/experiments/ENCSR509JPT/
nonmatch	GM21381	NA21381	/experiments/ENCSR512YXO/
nonmatch	GM21390	NA21390	/experiments/ENCSR024WOD/
nonmatch	GM21423	NA21423	/experiments/ENCSR902CFR/
nonmatch	GM21447	NA21447	/experiments/ENCSR424KQH/
nonmatch	GM21515	NA21515	/experiments/ENCSR960KGO/
nonmatch	GM21526	NA21526	/experiments/ENCSR408IVU/
nonmatch	GM21528	NA21528	/experiments/ENCSR939EVW/
nonmatch	GM21529	NA21529	/experiments/ENCSR954BDA/
nonmatch	GM21576	NA21576	/experiments/ENCSR122NDR/
nonmatch	GM21619	NA21619	/experiments/ENCSR214EIV/
nonmatch	GM21717	NA21717	/experiments/ENCSR422RPD/
nonmatch	GM21723	NA21723	/experiments/ENCSR233HSC/
nonmatch	GM21737	NA21737	/experiments/ENCSR315QWI/
nonmatch	GM21786	NA21786	/experiments/ENCSR275LCF/
nonmatch	GM21825	NA21825	/experiments/ENCSR641KNU/
selected	NA18499	/experiments/ENCSR700HPA/	ENCFF617WPF	afe244ce86f8c504a3239d88ad687bbc
selected	NA18502	/experiments/ENCSR241VGH/	ENCFF854BZA	aa380634252dbacddda3c21ffd78f1e3
selected	NA18505	/experiments/ENCSR084FHK/	ENCFF204XQS	32950e9b2e0d0f218d71c5fd2a2fbd39
selected	NA18508	/experiments/ENCSR357WQH/	ENCFF932BSQ	91a668c8d93a5be0cca6ce8aab7e6647
selected	NA18511	/experiments/ENCSR253QLW/	ENCFF686SWP	24c07b77753deaac172a5582619dfc5e
selected	NA18517	/experiments/ENCSR442OAV/	ENCFF697VLB	e1230fa9e4aa86d97f1f75eec38d4a0e
selected	NA18519	/experiments/ENCSR312UCH/	ENCFF603MOL	95519f4b652c60947be8060a030e295d
selected	NA18520	/experiments/ENCSR762YFD/	ENCFF988EGP	58978b027f5c6179f0dacca0412803a3
selected	NA18858	/experiments/ENCSR011NJP/	ENCFF283UHH	58b2103ecaedd5c3b80c125cca3a5d4f
selected	NA18861	/experiments/ENCSR628PLS/	ENCFF419NNO	e21b43e2f908796c2f99d70431041424
selected	NA18867	/experiments/ENCSR492FJO/	ENCFF500EBK	109938df3e43584eb79c541abb7b668c
selected	NA18868	/experiments/ENCSR580JBA/	ENCFF138ZQZ	bcb8429eec182ef72fdd817adf931875
selected	NA18870	/experiments/ENCSR684KUG/	ENCFF475WIM	f63172bd240ef0e01f5df9a350daac18
selected	NA18873	/experiments/ENCSR304ZDQ/	ENCFF589DFL	448d37aff0a92a77e7650a9463f9e2fb
selected	NA18907	/experiments/ENCSR487QSB/	ENCFF292BTS	8774f9c6fb0ce5b7431659317b725269
selected	NA18909	/experiments/ENCSR917WJS/	ENCFF572IWC	ea9fa1b8e95dcf7be3543af93120e557
selected	NA19023	/experiments/ENCSR512FHU/	ENCFF949CVL	63a27c8571cb80395f11fec5709b976f
selected	NA19025	/experiments/ENCSR419UYY/	ENCFF462RHM	623a2a1a2cdb41565b8f2e3d81501acf
selected	NA19035	/experiments/ENCSR637MUF/	ENCFF237APZ	42a4544e66bb7b7fab851d4b9d8c4ec7
selected	NA19043	/experiments/ENCSR409YCK/	ENCFF795UPB	e819bcc97f4366407fc09e7dbae5dcc3
selected	NA19324	/experiments/ENCSR425WQW/	ENCFF668HHR	ac2262710ccb04a22855dd7b1a1be7bf
selected	NA19328	/experiments/ENCSR383RDZ/	ENCFF413LGS	a361413efd00cc5ab5b923aa36c9a046
selected	NA19351	/experiments/ENCSR231BZU/	ENCFF342KIA	04124dcb69f15d6653a433194c78db2b
selected	NA19372	/experiments/ENCSR335JVB/	ENCFF301DFZ	67325ceba10b19f26573823859d5bd93
selected	NA19395	/experiments/ENCSR372IGW/	ENCFF668FJU	ff6a5b50ee18e209238a714caee6897d
selected	NA19397	/experiments/ENCSR839IAD/	ENCFF593SBD	1da56b9d2456ce4625b67836980a9e31
selected	NA19438	/experiments/ENCSR134OSR/	ENCFF183OZW	ce56cc29b385fe189ae5dfd75594bdd0
selected	NA19452	/experiments/ENCSR454UTH/	ENCFF955TYL	904317b255b6288158ade0fca5c7eafa
selected	NA19455	/experiments/ENCSR706GDQ/	ENCFF772BMP	390fdb6ec2ff732c411fd470d4bd0c3b
selected	NA19463	/experiments/ENCSR712ZRY/	ENCFF575DFU	cb27f91a6d81f8426f74b67ee5df09f0
selected	NA19467	/experiments/ENCSR635CAC/	ENCFF152BRZ	d2e0bd5f7cfefcab0e800ae8a0532e08
selected	NA19468	/experiments/ENCSR635AIF/	ENCFF362ACE	f69468f5afd408a0aab79c25723464f1
