graph_count	1398
record_57	accession=ENCFF214FUX | dataset=/experiments/ENCSR661DLG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF214FUX | @id=/files/ENCFF214FUX/
record_58	accession=ENCFF589QIC | dataset=/experiments/ENCSR661DLG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF589QIC | @id=/files/ENCFF589QIC/
record_59	accession=ENCFF057YWZ | dataset=/experiments/ENCSR297TFS/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF057YWZ | @id=/files/ENCFF057YWZ/
record_60	accession=ENCFF586XSF | dataset=/experiments/ENCSR297TFS/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF586XSF | @id=/files/ENCFF586XSF/
record_61	accession=ENCFF641GNB | dataset=/experiments/ENCSR477REX/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF641GNB | @id=/files/ENCFF641GNB/
record_62	accession=ENCFF220FTW | dataset=/experiments/ENCSR080ZWV/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF220FTW | @id=/files/ENCFF220FTW/
record_63	accession=ENCFF824WYN | dataset=/experiments/ENCSR997LSS/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF824WYN | @id=/files/ENCFF824WYN/
record_64	accession=ENCFF958SNU | dataset=/experiments/ENCSR689XHD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF958SNU | @id=/files/ENCFF958SNU/
record_65	accession=ENCFF896UQE | dataset=/experiments/ENCSR835EWA/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF896UQE | @id=/files/ENCFF896UQE/
record_66	accession=ENCFF258PJO | dataset=/experiments/ENCSR578QTT/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF258PJO | @id=/files/ENCFF258PJO/
record_67	accession=ENCFF939KWY | dataset=/experiments/ENCSR079VGX/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF939KWY | @id=/files/ENCFF939KWY/
record_68	accession=ENCFF490OQU | dataset=/experiments/ENCSR734TIT/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF490OQU | @id=/files/ENCFF490OQU/
record_69	accession=ENCFF907CGF | dataset=/experiments/ENCSR676MJV/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF907CGF | @id=/files/ENCFF907CGF/
record_70	accession=ENCFF577NQV | dataset=/experiments/ENCSR196SAS/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF577NQV | @id=/files/ENCFF577NQV/
record_71	accession=ENCFF109MKC | dataset=/experiments/ENCSR356LOW/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF109MKC | @id=/files/ENCFF109MKC/
record_72	accession=ENCFF362BAB | dataset=/experiments/ENCSR443MSV/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF362BAB | @id=/files/ENCFF362BAB/
record_73	accession=ENCFF047BIQ | dataset=/experiments/ENCSR763ULK/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF047BIQ | @id=/files/ENCFF047BIQ/
record_74	accession=ENCFF313BTA | dataset=/experiments/ENCSR662FDP/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF313BTA | @id=/files/ENCFF313BTA/
record_75	accession=ENCFF298AJK | dataset=/experiments/ENCSR221NQI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF298AJK | @id=/files/ENCFF298AJK/
record_76	accession=ENCFF013NWJ | dataset=/experiments/ENCSR221NQI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF013NWJ | @id=/files/ENCFF013NWJ/
record_77	accession=ENCFF843OQB | dataset=/experiments/ENCSR660NVC/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF843OQB | @id=/files/ENCFF843OQB/
record_78	accession=ENCFF248ZEB | dataset=/experiments/ENCSR398IOH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF248ZEB | @id=/files/ENCFF248ZEB/
record_79	accession=ENCFF511ISA | dataset=/experiments/ENCSR636IKH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF511ISA | @id=/files/ENCFF511ISA/
record_80	accession=ENCFF342QEM | dataset=/experiments/ENCSR482YTN/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF342QEM | @id=/files/ENCFF342QEM/
record_81	accession=ENCFF010JHK | dataset=/experiments/ENCSR978HDN/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF010JHK | @id=/files/ENCFF010JHK/
record_82	accession=ENCFF605KRR | dataset=/experiments/ENCSR978HDN/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF605KRR | @id=/files/ENCFF605KRR/
record_83	accession=ENCFF456ANB | dataset=/experiments/ENCSR208KSN/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF456ANB | @id=/files/ENCFF456ANB/
record_84	accession=ENCFF634EBY | dataset=/experiments/ENCSR756TOK/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF634EBY | @id=/files/ENCFF634EBY/
record_85	accession=ENCFF463DHI | dataset=/experiments/ENCSR223TPI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF463DHI | @id=/files/ENCFF463DHI/
record_86	accession=ENCFF316FUK | dataset=/experiments/ENCSR608WYC/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF316FUK | @id=/files/ENCFF316FUK/
record_87	accession=ENCFF482MKE | dataset=/experiments/ENCSR543HAT/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF482MKE | @id=/files/ENCFF482MKE/
record_88	accession=ENCFF129QRI | dataset=/experiments/ENCSR108RIM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF129QRI | @id=/files/ENCFF129QRI/
record_89	accession=ENCFF897QEI | dataset=/experiments/ENCSR108RIM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF897QEI | @id=/files/ENCFF897QEI/
record_90	accession=ENCFF552TSX | dataset=/experiments/ENCSR195DEV/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF552TSX | @id=/files/ENCFF552TSX/
record_91	accession=ENCFF597ITA | dataset=/experiments/ENCSR006WEQ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF597ITA | @id=/files/ENCFF597ITA/
record_92	accession=ENCFF840BZU | dataset=/experiments/ENCSR006WEQ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF840BZU | @id=/files/ENCFF840BZU/
record_93	accession=ENCFF634IRA | dataset=/experiments/ENCSR754MPP/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF634IRA | @id=/files/ENCFF634IRA/
record_94	accession=ENCFF079RCP | dataset=/experiments/ENCSR073YWU/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF079RCP | @id=/files/ENCFF079RCP/
record_95	accession=ENCFF160CGA | dataset=/experiments/ENCSR966FVT/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF160CGA | @id=/files/ENCFF160CGA/
record_96	accession=ENCFF228UYR | dataset=/experiments/ENCSR604JSF/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF228UYR | @id=/files/ENCFF228UYR/
record_97	accession=ENCFF515HQB | dataset=/experiments/ENCSR802PYO/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF515HQB | @id=/files/ENCFF515HQB/
record_98	accession=ENCFF647ECM | dataset=/experiments/ENCSR272DJF/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF647ECM | @id=/files/ENCFF647ECM/
record_99	accession=ENCFF033LVU | dataset=/experiments/ENCSR329BWL/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF033LVU | @id=/files/ENCFF033LVU/
record_100	accession=ENCFF467CWQ | dataset=/experiments/ENCSR096XEJ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF467CWQ | @id=/files/ENCFF467CWQ/
record_101	accession=ENCFF791IXF | dataset=/experiments/ENCSR121IJT/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF791IXF | @id=/files/ENCFF791IXF/
record_102	accession=ENCFF955BSS | dataset=/experiments/ENCSR488HDA/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF955BSS | @id=/files/ENCFF955BSS/
record_103	accession=ENCFF651LAI | dataset=/experiments/ENCSR398WEL/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF651LAI | @id=/files/ENCFF651LAI/
record_104	accession=ENCFF246GIF | dataset=/experiments/ENCSR398WEL/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF246GIF | @id=/files/ENCFF246GIF/
record_105	accession=ENCFF669QCJ | dataset=/experiments/ENCSR064ABZ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF669QCJ | @id=/files/ENCFF669QCJ/
record_106	accession=ENCFF926JPL | dataset=/experiments/ENCSR506DRH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF926JPL | @id=/files/ENCFF926JPL/
record_107	accession=ENCFF748LPJ | dataset=/experiments/ENCSR506DRH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF748LPJ | @id=/files/ENCFF748LPJ/
record_108	accession=ENCFF221ZMZ | dataset=/experiments/ENCSR884LIM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF221ZMZ | @id=/files/ENCFF221ZMZ/
record_109	accession=ENCFF623RGP | dataset=/experiments/ENCSR884LIM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF623RGP | @id=/files/ENCFF623RGP/
record_110	accession=ENCFF170EUY | dataset=/experiments/ENCSR374DLH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF170EUY | @id=/files/ENCFF170EUY/
record_111	accession=ENCFF953UZX | dataset=/experiments/ENCSR374DLH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF953UZX | @id=/files/ENCFF953UZX/
record_112	accession=ENCFF718YZE | dataset=/experiments/ENCSR022BLY/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF718YZE | @id=/files/ENCFF718YZE/
record_113	accession=ENCFF962JPI | dataset=/experiments/ENCSR022BLY/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF962JPI | @id=/files/ENCFF962JPI/
record_114	accession=ENCFF093JHE | dataset=/experiments/ENCSR836GCO/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF093JHE | @id=/files/ENCFF093JHE/
record_115	accession=ENCFF511XLN | dataset=/experiments/ENCSR913TLO/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF511XLN | @id=/files/ENCFF511XLN/
record_116	accession=ENCFF311AYA | dataset=/experiments/ENCSR913TLO/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF311AYA | @id=/files/ENCFF311AYA/
record_117	accession=ENCFF602BOL | dataset=/experiments/ENCSR339YKD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF602BOL | @id=/files/ENCFF602BOL/
record_118	accession=ENCFF323IQC | dataset=/experiments/ENCSR691EYW/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF323IQC | @id=/files/ENCFF323IQC/
record_119	accession=ENCFF228KZH | dataset=/experiments/ENCSR691EYW/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF228KZH | @id=/files/ENCFF228KZH/
record_120	accession=ENCFF873QNT | dataset=/experiments/ENCSR736GHI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF873QNT | @id=/files/ENCFF873QNT/
record_121	accession=ENCFF245CMT | dataset=/experiments/ENCSR736GHI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF245CMT | @id=/files/ENCFF245CMT/
record_122	accession=ENCFF958DDP | dataset=/experiments/ENCSR335GZY/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF958DDP | @id=/files/ENCFF958DDP/
record_123	accession=ENCFF333PYL | dataset=/experiments/ENCSR380MGB/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF333PYL | @id=/files/ENCFF333PYL/
record_124	accession=ENCFF861DRJ | dataset=/experiments/ENCSR291JPP/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF861DRJ | @id=/files/ENCFF861DRJ/
record_125	accession=ENCFF374HET | dataset=/experiments/ENCSR282JJL/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF374HET | @id=/files/ENCFF374HET/
