field	value
variable	node=219;name=seqnn/trunk/downres/downres_block_0/conv_block/conv1_d/w;shape=5x768x768;trainable=true;parameters=2949120
variable	node=220;name=seqnn/trunk/downres/downres_block_0/conv_block/conv1_d/b;shape=768;trainable=true;parameters=768
variable	node=223;name=seqnn/trunk/downres/downres_block_0/pooling/softmax_pooling/linear/w;shape=768x768;trainable=true;parameters=589824
variable	node=225;name=seqnn/trunk/downres/downres_block_1/conv_block/conv1_d/w;shape=5x768x896;trainable=true;parameters=3440640
variable	node=226;name=seqnn/trunk/downres/downres_block_1/conv_block/conv1_d/b;shape=896;trainable=true;parameters=896
variable	node=229;name=seqnn/trunk/downres/downres_block_1/pooling/softmax_pooling/linear/w;shape=896x896;trainable=true;parameters=802816
variable	node=231;name=seqnn/trunk/downres/downres_block_2/conv_block/conv1_d/w;shape=5x896x1024;trainable=true;parameters=4587520
variable	node=232;name=seqnn/trunk/downres/downres_block_2/conv_block/conv1_d/b;shape=1024;trainable=true;parameters=1024
variable	node=235;name=seqnn/trunk/downres/downres_block_2/pooling/softmax_pooling/linear/w;shape=1024x1024;trainable=true;parameters=1048576
variable	node=237;name=seqnn/trunk/downres/downres_block_3/conv_block/conv1_d/w;shape=5x1024x1152;trainable=true;parameters=5898240
variable	node=238;name=seqnn/trunk/downres/downres_block_3/conv_block/conv1_d/b;shape=1152;trainable=true;parameters=1152
variable	node=241;name=seqnn/trunk/downres/downres_block_3/pooling/softmax_pooling/linear/w;shape=1152x1152;trainable=true;parameters=1327104
variable	node=243;name=seqnn/trunk/downres/downres_block_4/conv_block/conv1_d/w;shape=5x1152x1280;trainable=true;parameters=7372800
variable	node=244;name=seqnn/trunk/downres/downres_block_4/conv_block/conv1_d/b;shape=1280;trainable=true;parameters=1280
variable	node=247;name=seqnn/trunk/downres/downres_block_4/pooling/softmax_pooling/linear/w;shape=1280x1280;trainable=true;parameters=1638400
variable	node=249;name=seqnn/trunk/downres/downres_block_5/conv_block/conv1_d/w;shape=5x1280x1536;trainable=true;parameters=9830400
variable	node=250;name=seqnn/trunk/downres/downres_block_5/conv_block/conv1_d/b;shape=1536;trainable=true;parameters=1536
variable	node=253;name=seqnn/trunk/downres/downres_block_5/pooling/softmax_pooling/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=342;name=seqnn/trunk/final_pointwise/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=343;name=seqnn/trunk/final_pointwise/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1536;trainable=false;parameters=1536
variable	node=344;name=seqnn/trunk/final_pointwise/conv_block/normalization/exponential_moving_average/average;shape=1x1x1536;trainable=false;parameters=1536
variable	node=345;name=seqnn/trunk/final_pointwise/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=346;name=seqnn/trunk/final_pointwise/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1536;trainable=false;parameters=1536
variable	node=347;name=seqnn/trunk/final_pointwise/conv_block/normalization/exponential_moving_average/average;shape=1x1x1536;trainable=false;parameters=1536
variable	node=348;name=seqnn/trunk/stem/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=349;name=seqnn/trunk/stem/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=350;name=seqnn/trunk/stem/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=351;name=seqnn/trunk/stem/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=352;name=seqnn/trunk/stem/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=353;name=seqnn/trunk/stem/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=356;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/cross_replica_batch_norm/scale;shape=768;trainable=true;parameters=768
variable	node=357;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/cross_replica_batch_norm/offset;shape=768;trainable=true;parameters=768
variable	node=359;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/conv1_d/w;shape=1x768x768;trainable=true;parameters=589824
variable	node=360;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/conv1_d/b;shape=768;trainable=true;parameters=768
variable	node=363;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/cross_replica_batch_norm/scale;shape=768;trainable=true;parameters=768
variable	node=364;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/cross_replica_batch_norm/offset;shape=768;trainable=true;parameters=768
variable	node=366;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/conv1_d/w;shape=1x896x896;trainable=true;parameters=802816
variable	node=367;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/conv1_d/b;shape=896;trainable=true;parameters=896
variable	node=370;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/cross_replica_batch_norm/scale;shape=896;trainable=true;parameters=896
variable	node=371;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/cross_replica_batch_norm/offset;shape=896;trainable=true;parameters=896
variable	node=373;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/conv1_d/w;shape=1x1024x1024;trainable=true;parameters=1048576
variable	node=374;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/conv1_d/b;shape=1024;trainable=true;parameters=1024
variable	node=377;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/cross_replica_batch_norm/scale;shape=1024;trainable=true;parameters=1024
variable	node=378;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/cross_replica_batch_norm/offset;shape=1024;trainable=true;parameters=1024
variable	node=380;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/conv1_d/w;shape=1x1152x1152;trainable=true;parameters=1327104
variable	node=381;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/conv1_d/b;shape=1152;trainable=true;parameters=1152
variable	node=384;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/cross_replica_batch_norm/scale;shape=1152;trainable=true;parameters=1152
variable	node=385;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/cross_replica_batch_norm/offset;shape=1152;trainable=true;parameters=1152
variable	node=387;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/conv1_d/w;shape=1x1280x1280;trainable=true;parameters=1638400
variable	node=388;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/conv1_d/b;shape=1280;trainable=true;parameters=1280
variable	node=391;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/cross_replica_batch_norm/scale;shape=1280;trainable=true;parameters=1280
variable	node=392;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/cross_replica_batch_norm/offset;shape=1280;trainable=true;parameters=1280
variable	node=394;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/conv1_d/w;shape=1x1536x1536;trainable=true;parameters=2359296
variable	node=395;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/conv1_d/b;shape=1536;trainable=true;parameters=1536
variable	node=398;name=seqnn/trunk/transformer/transformer_block_0/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=399;name=seqnn/trunk/transformer/transformer_block_0/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=400;name=seqnn/trunk/transformer/transformer_block_0/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=401;name=seqnn/trunk/transformer/transformer_block_0/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=402;name=seqnn/trunk/transformer/transformer_block_0/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=403;name=seqnn/trunk/transformer/transformer_block_0/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=406;name=seqnn/trunk/transformer/transformer_block_1/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=407;name=seqnn/trunk/transformer/transformer_block_1/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=408;name=seqnn/trunk/transformer/transformer_block_1/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=409;name=seqnn/trunk/transformer/transformer_block_1/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=410;name=seqnn/trunk/transformer/transformer_block_1/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=411;name=seqnn/trunk/transformer/transformer_block_1/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=414;name=seqnn/trunk/transformer/transformer_block_2/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=415;name=seqnn/trunk/transformer/transformer_block_2/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=416;name=seqnn/trunk/transformer/transformer_block_2/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=417;name=seqnn/trunk/transformer/transformer_block_2/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=418;name=seqnn/trunk/transformer/transformer_block_2/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=419;name=seqnn/trunk/transformer/transformer_block_2/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=422;name=seqnn/trunk/transformer/transformer_block_3/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=423;name=seqnn/trunk/transformer/transformer_block_3/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=424;name=seqnn/trunk/transformer/transformer_block_3/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=425;name=seqnn/trunk/transformer/transformer_block_3/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=426;name=seqnn/trunk/transformer/transformer_block_3/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=427;name=seqnn/trunk/transformer/transformer_block_3/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=430;name=seqnn/trunk/transformer/transformer_block_4/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=431;name=seqnn/trunk/transformer/transformer_block_4/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=432;name=seqnn/trunk/transformer/transformer_block_4/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=433;name=seqnn/trunk/transformer/transformer_block_4/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=434;name=seqnn/trunk/transformer/transformer_block_4/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=435;name=seqnn/trunk/transformer/transformer_block_4/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=438;name=seqnn/trunk/transformer/transformer_block_5/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=439;name=seqnn/trunk/transformer/transformer_block_5/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=440;name=seqnn/trunk/transformer/transformer_block_5/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=441;name=seqnn/trunk/transformer/transformer_block_5/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=442;name=seqnn/trunk/transformer/transformer_block_5/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=443;name=seqnn/trunk/transformer/transformer_block_5/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=446;name=seqnn/trunk/transformer/transformer_block_6/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=447;name=seqnn/trunk/transformer/transformer_block_6/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=448;name=seqnn/trunk/transformer/transformer_block_6/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=449;name=seqnn/trunk/transformer/transformer_block_6/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=450;name=seqnn/trunk/transformer/transformer_block_6/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=451;name=seqnn/trunk/transformer/transformer_block_6/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=454;name=seqnn/trunk/transformer/transformer_block_7/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=455;name=seqnn/trunk/transformer/transformer_block_7/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=456;name=seqnn/trunk/transformer/transformer_block_7/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=457;name=seqnn/trunk/transformer/transformer_block_7/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=458;name=seqnn/trunk/transformer/transformer_block_7/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=459;name=seqnn/trunk/transformer/transformer_block_7/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=462;name=seqnn/trunk/transformer/transformer_block_8/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=463;name=seqnn/trunk/transformer/transformer_block_8/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=464;name=seqnn/trunk/transformer/transformer_block_8/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=465;name=seqnn/trunk/transformer/transformer_block_8/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=466;name=seqnn/trunk/transformer/transformer_block_8/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=467;name=seqnn/trunk/transformer/transformer_block_8/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=470;name=seqnn/trunk/transformer/transformer_block_9/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=471;name=seqnn/trunk/transformer/transformer_block_9/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=472;name=seqnn/trunk/transformer/transformer_block_9/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=473;name=seqnn/trunk/transformer/transformer_block_9/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=474;name=seqnn/trunk/transformer/transformer_block_9/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=475;name=seqnn/trunk/transformer/transformer_block_9/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=478;name=seqnn/trunk/transformer/transformer_block_10/mlp/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=479;name=seqnn/trunk/transformer/transformer_block_10/mlp/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=480;name=seqnn/trunk/transformer/transformer_block_10/mlp/linear/w;shape=1536x3072;trainable=true;parameters=4718592
variable	node=481;name=seqnn/trunk/transformer/transformer_block_10/mlp/linear/b;shape=3072;trainable=true;parameters=3072
variable	node=482;name=seqnn/trunk/transformer/transformer_block_10/mlp/linear/w;shape=3072x1536;trainable=true;parameters=4718592
variable	node=483;name=seqnn/trunk/transformer/transformer_block_10/mlp/linear/b;shape=1536;trainable=true;parameters=1536
variable	node=484;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=485;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=486;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=487;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=488;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=489;name=seqnn/trunk/downres/downres_block_0/conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=492;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=768;trainable=true;parameters=768
variable	node=493;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=768;trainable=true;parameters=768
variable	node=494;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=495;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=496;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=497;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=498;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=499;name=seqnn/trunk/downres/downres_block_1/conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=502;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=896;trainable=true;parameters=896
variable	node=503;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=896;trainable=true;parameters=896
variable	node=504;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=505;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x896;trainable=false;parameters=896
variable	node=506;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/exponential_moving_average/average;shape=1x1x896;trainable=false;parameters=896
variable	node=507;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=508;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x896;trainable=false;parameters=896
variable	node=509;name=seqnn/trunk/downres/downres_block_2/conv_block/normalization/exponential_moving_average/average;shape=1x1x896;trainable=false;parameters=896
variable	node=512;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=1024;trainable=true;parameters=1024
variable	node=513;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=1024;trainable=true;parameters=1024
variable	node=514;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=515;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1024;trainable=false;parameters=1024
variable	node=516;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/exponential_moving_average/average;shape=1x1x1024;trainable=false;parameters=1024
variable	node=517;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=518;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1024;trainable=false;parameters=1024
variable	node=519;name=seqnn/trunk/downres/downres_block_3/conv_block/normalization/exponential_moving_average/average;shape=1x1x1024;trainable=false;parameters=1024
variable	node=522;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=1152;trainable=true;parameters=1152
variable	node=523;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=1152;trainable=true;parameters=1152
variable	node=524;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=525;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1152;trainable=false;parameters=1152
variable	node=526;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/exponential_moving_average/average;shape=1x1x1152;trainable=false;parameters=1152
variable	node=527;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=528;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1152;trainable=false;parameters=1152
variable	node=529;name=seqnn/trunk/downres/downres_block_4/conv_block/normalization/exponential_moving_average/average;shape=1x1x1152;trainable=false;parameters=1152
variable	node=532;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=1280;trainable=true;parameters=1280
variable	node=533;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=1280;trainable=true;parameters=1280
variable	node=534;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=535;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1280;trainable=false;parameters=1280
variable	node=536;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/exponential_moving_average/average;shape=1x1x1280;trainable=false;parameters=1280
variable	node=537;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=538;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1280;trainable=false;parameters=1280
variable	node=539;name=seqnn/trunk/downres/downres_block_5/conv_block/normalization/exponential_moving_average/average;shape=1x1x1280;trainable=false;parameters=1280
variable	node=542;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=543;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=544;name=seqnn/trunk/transformer/transformer_block_0/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=545;name=seqnn/trunk/transformer/transformer_block_0/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=552;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=553;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=554;name=seqnn/trunk/transformer/transformer_block_1/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=555;name=seqnn/trunk/transformer/transformer_block_1/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=562;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=563;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=564;name=seqnn/trunk/transformer/transformer_block_2/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=565;name=seqnn/trunk/transformer/transformer_block_2/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=572;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=573;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=574;name=seqnn/trunk/transformer/transformer_block_3/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=575;name=seqnn/trunk/transformer/transformer_block_3/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=582;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=583;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=584;name=seqnn/trunk/transformer/transformer_block_4/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=585;name=seqnn/trunk/transformer/transformer_block_4/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=592;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=593;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=594;name=seqnn/trunk/transformer/transformer_block_5/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=595;name=seqnn/trunk/transformer/transformer_block_5/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=602;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=603;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=604;name=seqnn/trunk/transformer/transformer_block_6/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
