	G3R1_Cortex_3xTgAD	G3R3_Cortex_3xTgAD	G3R4_Cortex_3xTgAD	G3R10_Cortex_WT	G3R7_Cortex_WT	G3R9_Cortex_WT
ENSMUSG00000000690	0	0	0	0	0	2
ENSMUSG00000000693	435	432	453	416	481	360
ENSMUSG00000000701	0	0	0	0	0	0
ENSMUSG00000000706	1	7	5	6	2	7
ENSMUSG00000000708	675	849	830	1012	712	1096
ENSMUSG00000000711	3942	4230	4248	4487	4270	4113
ENSMUSG00000000724	0	0	0	2	1	1
ENSMUSG00000000730	8	10	14	10	11	9
ENSMUSG00000000731	34	24	25	20	32	14
ENSMUSG00000000732	264	289	235	176	258	254
ENSMUSG00000000738	2064	2687	2322	2445	2444	2283
ENSMUSG00000000739	54	8	37	36	83	39
ENSMUSG00000000740	5502	5751	5675	5753	7122	5775
ENSMUSG00000000743	2618	2877	2583	2850	3228	2473
ENSMUSG00000000751	1416	1280	1317	1463	1337	1333
ENSMUSG00000000753	201	274	361	238	270	239
ENSMUSG00000000759	1502	1595	1655	1706	1535	1537
ENSMUSG00000000766	2959	3877	3475	4441	2161	3993
ENSMUSG00000000776	341	421	416	408	422	401
ENSMUSG00000000782	122	136	160	193	129	156
ENSMUSG00000000787	5987	6466	6368	7592	5643	7293
ENSMUSG00000000791	43	69	68	33	20	49
ENSMUSG00000000792	215	289	230	577	856	547
ENSMUSG00000000794	462	394	244	641	548	466
ENSMUSG00000000804	3926	4364	4049	5700	3400	5510
ENSMUSG00000000805	1702	2231	1949	1858	1830	1958
ENSMUSG00000000811	86	100	113	99	127	90
ENSMUSG00000000817	5	4	3	9	10	5
ENSMUSG00000000823	3876	4146	3537	4034	4407	3202
ENSMUSG00000000826	9775	10309	10258	11225	9661	10796
ENSMUSG00000000827	1441	1786	1717	1706	1606	1660
ENSMUSG00000000838	2365	2285	2486	2979	2102	2691
ENSMUSG00000000861	2898	3252	2998	3270	2455	3454
ENSMUSG00000000869	918	986	977	1053	1233	910
ENSMUSG00000000876	521	639	577	545	575	526
ENSMUSG00000000881	5293	5421	5442	6139	5629	5548
ENSMUSG00000000884	298	261	296	311	403	297
ENSMUSG00000000889	13	7	10	8	20	4
ENSMUSG00000000901	79	65	96	98	87	82
ENSMUSG00000000902	1532	1728	1679	1698	1763	1476
ENSMUSG00000000903	3	11	4	9	7	10
ENSMUSG00000000915	2678	3696	3185	3013	2479	2953
ENSMUSG00000000916	737	993	863	824	980	842
ENSMUSG00000000934	516	466	453	473	682	470
ENSMUSG00000000938	0	0	0	0	0	0
ENSMUSG00000000942	0	0	0	0	0	0
ENSMUSG00000000948	16924	19710	18730	19089	18402	20247
ENSMUSG00000000957	157	200	206	261	298	175
ENSMUSG00000000958	53	66	62	75	86	72
ENSMUSG00000000959	1002	1200	1155	1193	1140	1053
ENSMUSG00000000976	1005	1198	1006	1194	1149	1078
ENSMUSG00000000982	4	2	1	1	0	3
ENSMUSG00000000983	4	9	5	1	2	4
ENSMUSG00000001014	32	31	35	39	49	50
ENSMUSG00000001016	1877	2282	2237	2176	2070	2145
ENSMUSG00000001017	3465	3766	3762	3963	3681	3736
ENSMUSG00000001018	1162	1343	1332	1330	1274	1260
ENSMUSG00000001020	25	32	41	41	50	28
ENSMUSG00000001021	8	11	6	14	10	6
ENSMUSG00000001023	0	0	0	0	0	0
ENSMUSG00000001025	209	267	269	273	277	224
ENSMUSG00000001027	1	2	2	5	0	1
ENSMUSG00000001029	53	84	62	47	76	63
ENSMUSG00000001034	767	734	696	763	881	627
ENSMUSG00000001036	4183	4336	4382	5048	4844	5048
ENSMUSG00000001039	663	630	609	810	849	700
ENSMUSG00000001052	2776	3108	3031	3552	2944	3391
ENSMUSG00000001053	216	361	293	340	347	383
ENSMUSG00000001054	1572	1866	1589	1655	1717	1649
ENSMUSG00000001056	438	529	467	549	572	534
ENSMUSG00000001062	2069	2441	2276	2421	2572	2096
ENSMUSG00000001065	908	1153	1158	1081	1012	1131
ENSMUSG00000001076	0	1	2	0	2	0
ENSMUSG00000001082	723	835	685	749	976	617
ENSMUSG00000001089	3054	3354	3709	5133	2766	5410
ENSMUSG00000001095	2	1	1	1	2	2
ENSMUSG00000001098	1579	1784	1720	1599	1929	1572
ENSMUSG00000001100	2248	2613	2501	2687	2476	2374
ENSMUSG00000001103	39	53	59	62	25	77
ENSMUSG00000001105	1214	1315	1381	1270	1279	1209
ENSMUSG00000001119	3361	3681	2370	3371	4568	2413
ENSMUSG00000001120	1521	1719	1504	1666	1872	1520
ENSMUSG00000001123	123	142	157	155	182	121
ENSMUSG00000001127	4359	4387	4521	4580	4728	4352
ENSMUSG00000001128	782	921	1091	843	1126	914
ENSMUSG00000001131	494	610	527	667	383	456
ENSMUSG00000001134	301	362	353	430	299	289
ENSMUSG00000001138	1263	1674	1332	1517	1489	1366
ENSMUSG00000001143	1928	1586	1611	1837	2280	1698
ENSMUSG00000001150	2483	2655	2446	2864	2465	2685
ENSMUSG00000001151	1666	2159	1640	1985	1625	1929
ENSMUSG00000001155	2	1	3	5	1	2
ENSMUSG00000001156	756	952	899	842	744	1015
ENSMUSG00000001157	1240	1376	1259	1575	1293	1482
ENSMUSG00000001158	573	608	626	746	638	693
ENSMUSG00000001166	48	54	58	57	34	65
ENSMUSG00000001168	0	1	1	0	2	1
ENSMUSG00000001173	2728	2732	2476	3679	2863	3318
ENSMUSG00000001175	68633	73288	73719	83009	73439	74729
ENSMUSG00000001211	7034	8558	7749	8655	7246	8600
ENSMUSG00000001225	10	6	6	8	4	9
ENSMUSG00000001227	3121	3426	2737	3466	4097	3102
ENSMUSG00000001228	28	36	26	30	39	26
ENSMUSG00000001229	2544	2689	2722	2919	2853	2639
ENSMUSG00000001240	1195	1157	1158	1131	1353	1037
ENSMUSG00000001247	329	492	371	433	431	345
ENSMUSG00000001248	3945	4326	4350	4168	5205	3752
ENSMUSG00000001249	75	124	168	95	123	142
ENSMUSG00000001260	673	635	584	625	1142	557
ENSMUSG00000001270	22122	31948	28351	30365	23608	33630
ENSMUSG00000001280	847	941	937	1189	790	1183
ENSMUSG00000001281	16	26	9	12	11	14
ENSMUSG00000001285	627	696	707	841	987	869
ENSMUSG00000001288	439	599	528	507	539	565
ENSMUSG00000001289	1966	2532	2613	2448	2859	2425
ENSMUSG00000001300	1498	1546	1488	1670	1889	1249
ENSMUSG00000001305	345	405	335	420	456	343
ENSMUSG00000001313	1907	2100	1832	2549	3435	2245
ENSMUSG00000001323	3132	2974	3082	3573	2942	3333
ENSMUSG00000001333	128	150	139	174	146	136
ENSMUSG00000001334	951	1302	1442	1621	948	1650
ENSMUSG00000001348	14	5	5	8	20	15
ENSMUSG00000001349	9	12	13	15	19	8
ENSMUSG00000001366	2374	2738	2669	2852	2471	2854
ENSMUSG00000001376	2452	2472	2447	3001	2086	2612
ENSMUSG00000001380	1967	2109	2093	1917	2021	2004
ENSMUSG00000001383	3231	3684	3369	3536	3823	3420
ENSMUSG00000001403	15	10	17	13	14	12
ENSMUSG00000001415	3148	3592	3291	3862	3325	3615
ENSMUSG00000001416	2332	2228	2435	2432	2675	2379
ENSMUSG00000001418	748	883	864	735	823	900
ENSMUSG00000001419	7170	8963	8644	8368	8979	8397
ENSMUSG00000001420	125	104	93	112	113	95
ENSMUSG00000001424	5703	6150	6121	7242	5545	6542
ENSMUSG00000001435	179	175	206	159	390	161
ENSMUSG00000001436	789	890	817	878	950	803
ENSMUSG00000001440	4818	4741	4903	5542	4898	4894
ENSMUSG00000001441	4983	5046	4967	5666	5247	4914
ENSMUSG00000001444	2	4	6	3	6	2
ENSMUSG00000001445	1323	1418	1305	1294	1501	1321
ENSMUSG00000001467	1609	1581	1877	1715	2145	1748
ENSMUSG00000001472	16244	20313	18678	19304	16967	18477
ENSMUSG00000001473	209	252	246	61	71	65
ENSMUSG00000001482	1350	1564	1487	1530	1551	1534
ENSMUSG00000001493	45	81	69	49	50	57
ENSMUSG00000001494	1	5	2	0	3	2
ENSMUSG00000001496	12	8	4	15	43	8
ENSMUSG00000001497	0	0	0	0	1	0
ENSMUSG00000001504	1	0	1	1	5	3
ENSMUSG00000001506	211	226	304	230	430	178
ENSMUSG00000001507	678	935	786	816	925	739
ENSMUSG00000001508	18	22	26	11	16	12
ENSMUSG00000001510	0	2	1	0	0	2
ENSMUSG00000001517	51	76	74	98	105	75
ENSMUSG00000001518	511	677	590	602	582	618
ENSMUSG00000001520	574	653	592	623	736	615
ENSMUSG00000001521	1037	1039	1014	1073	1198	941
ENSMUSG00000001524	255	302	301	338	315	296
ENSMUSG00000001525	10408	9480	10109	11132	12549	9387
ENSMUSG00000001542	887	1116	1183	1344	638	1339
ENSMUSG00000001552	865	1448	1216	1321	1009	1339
ENSMUSG00000001555	129	190	146	120	169	129
ENSMUSG00000001558	55	116	73	87	69	90
ENSMUSG00000001566	0	0	0	1	0	0
ENSMUSG00000001569	766	853	815	868	766	806
ENSMUSG00000001576	2866	3011	3051	3515	3102	3281
ENSMUSG00000001583	7	11	10	12	13	9
ENSMUSG00000001588	14	8	4	5	9	11
ENSMUSG00000001604	1	1	5	2	8	3
ENSMUSG00000001622	0	0	0	0	0	0
ENSMUSG00000001627	1221	1677	1605	1392	1288	1478
ENSMUSG00000001630	1007	1303	1314	1373	1082	1335
ENSMUSG00000001632	1092	1414	1232	1398	1271	1373
ENSMUSG00000001642	924	913	1007	967	863	979
ENSMUSG00000001655	0	0	0	0	0	0
ENSMUSG00000001656	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	0	0	0
ENSMUSG00000001661	0	2	0	0	0	0
ENSMUSG00000001663	393	575	434	508	398	458
ENSMUSG00000001665	47	78	72	92	73	97
ENSMUSG00000001666	413	515	528	508	486	504
ENSMUSG00000001670	2	5	1	1	8	0
ENSMUSG00000001672	20	24	11	15	48	10
ENSMUSG00000001674	526	566	614	611	558	587
ENSMUSG00000001687	2994	3564	3621	4263	3006	4089
ENSMUSG00000001700	566	574	743	466	482	485
ENSMUSG00000001707	451	360	461	472	463	457
ENSMUSG00000001729	3514	4202	4076	4448	4164	4057
ENSMUSG00000001739	13	28	45	20	15	39
ENSMUSG00000001741	281	101	253	219	214	394
ENSMUSG00000001750	507	568	614	531	647	515
ENSMUSG00000001751	242	291	240	262	295	216
ENSMUSG00000001755	652	581	629	615	664	592
ENSMUSG00000001761	422	373	422	378	553	380
ENSMUSG00000001763	929	847	729	897	1103	892
ENSMUSG00000001767	440	443	479	537	461	576
ENSMUSG00000001768	910	1252	1178	1269	1156	1476
ENSMUSG00000001773	226	273	214	409	606	460
ENSMUSG00000001774	1835	1719	1817	2369	1937	2249
ENSMUSG00000001783	2212	2469	2454	2735	2458	2517
ENSMUSG00000001785	564	534	577	546	600	603
ENSMUSG00000001786	1363	1857	1744	1816	1439	1695
ENSMUSG00000001794	2919	2779	2890	2917	3746	2708
ENSMUSG00000001802	3332	3959	3850	3891	3857	3776
ENSMUSG00000001804	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	1	0
ENSMUSG00000001819	0	0	0	0	0	0
ENSMUSG00000001823	0	0	0	0	0	0
ENSMUSG00000001827	5	3	7	3	5	6
ENSMUSG00000001829	1063	1095	1093	1214	1144	1284
ENSMUSG00000001833	10524	11875	12058	13161	9058	12856
ENSMUSG00000001844	926	1072	995	944	1111	1009
ENSMUSG00000001847	7733	8290	8472	8382	8098	7895
ENSMUSG00000001855	1681	2026	1771	1961	1832	1862
ENSMUSG00000001864	184	167	255	272	201	280
ENSMUSG00000001865	0	1	0	5	1	1
ENSMUSG00000001870	224	310	299	312	157	262
ENSMUSG00000001891	1886	1604	2214	2288	2081	2070
ENSMUSG00000001901	281	366	302	250	334	225
ENSMUSG00000001909	2539	3069	2833	2733	2983	2580
ENSMUSG00000001910	3100	3518	3410	3909	3541	3392
ENSMUSG00000001911	5773	7424	7168	6974	4370	6859
ENSMUSG00000001918	108	141	166	164	130	158
ENSMUSG00000001924	9509	9787	9935	9727	10060	10560
ENSMUSG00000001930	994	2395	1696	1373	1485	1082
ENSMUSG00000001942	515	706	717	805	436	828
ENSMUSG00000001943	525	779	771	792	489	799
ENSMUSG00000001946	495	797	674	736	610	646
ENSMUSG00000001948	49	59	63	97	76	105
ENSMUSG00000001962	721	792	810	750	903	731
ENSMUSG00000001964	685	742	801	709	733	755
ENSMUSG00000001983	283	295	318	274	246	326
ENSMUSG00000001985	2878	3684	3224	3833	3265	3335
ENSMUSG00000001986	10347	12966	10697	15214	10057	12993
ENSMUSG00000001988	537	665	581	626	620	538
ENSMUSG00000001995	1472	1506	1638	1806	1538	2047
ENSMUSG00000001998	692	765	638	906	615	828
ENSMUSG00000001999	417	488	473	574	436	551
ENSMUSG00000002006	4609	4876	4294	4813	6266	4193
ENSMUSG00000002007	294	458	374	325	374	285
ENSMUSG00000002010	3108	3756	3635	3377	3293	3311
ENSMUSG00000002012	3088	2389	2112	1962	3725	1589
ENSMUSG00000002014	929	1018	882	887	1127	818
ENSMUSG00000002015	1281	1440	1463	1336	1464	1404
ENSMUSG00000002017	1230	1345	1402	1906	1625	1817
ENSMUSG00000002020	35	46	35	52	56	46
ENSMUSG00000002028	5292	6030	5883	8811	5728	10054
ENSMUSG00000002031	1124	1334	1156	1181	1181	1055
ENSMUSG00000002032	1805	2273	2103	2211	1917	2411
ENSMUSG00000002033	1	1	1	1	1	0
ENSMUSG00000002043	236	246	199	247	295	205
ENSMUSG00000002052	5631	5916	5675	5979	5410	6187
ENSMUSG00000002055	665	1387	1310	1147	622	1145
ENSMUSG00000002057	0	2	2	1	1	2
ENSMUSG00000002058	520	554	515	600	774	495
ENSMUSG00000002059	544	672	592	614	617	569
ENSMUSG00000002064	1343	1329	1257	1372	1436	1218
ENSMUSG00000002068	281	290	318	435	453	380
ENSMUSG00000002076	11	8	9	16	15	9
ENSMUSG00000002083	149	180	139	140	158	170
ENSMUSG00000002100	19	27	11	14	6	30
ENSMUSG00000002102	3357	3745	3708	3738	3455	3632
ENSMUSG00000002103	2311	2525	2447	2702	2470	2635
ENSMUSG00000002104	30	32	26	23	26	28
ENSMUSG00000002105	728	949	859	802	892	761
ENSMUSG00000002107	14790	15207	13349	20126	14206	16641
ENSMUSG00000002108	139	179	212	174	215	202
ENSMUSG00000002109	1811	2211	1975	2198	1894	2081
ENSMUSG00000002111	117	118	114	111	131	106
ENSMUSG00000002129	1964	2152	2120	2258	2114	1857
ENSMUSG00000002147	414	533	609	631	414	665
ENSMUSG00000002190	333	422	390	638	465	567
ENSMUSG00000002204	118	114	96	125	128	106
ENSMUSG00000002205	621	719	731	711	728	758
ENSMUSG00000002210	919	1151	1093	1033	902	893
ENSMUSG00000002221	1741	1936	1759	1856	1821	1605
ENSMUSG00000002222	3785	4511	4708	5557	3328	5556
ENSMUSG00000002227	1031	1036	905	903	1304	803
ENSMUSG00000002228	9	39	9	12	14	11
ENSMUSG00000002233	210	365	261	242	324	233
ENSMUSG00000002240	0	0	0	1	1	0
ENSMUSG00000002249	92	85	128	102	128	89
ENSMUSG00000002250	807	1098	1173	1081	906	1172
ENSMUSG00000002257	49	75	73	69	63	50
ENSMUSG00000002265	9180	12213	10809	18415	10385	20258
ENSMUSG00000002266	58	31	31	91	154	90
ENSMUSG00000002274	854	788	992	991	1002	903
ENSMUSG00000002279	1035	1287	1234	1163	1369	1113
ENSMUSG00000002280	1189	1366	1276	1418	1391	1247
ENSMUSG00000002289	43	49	35	21	63	25
ENSMUSG00000002297	58	86	57	78	85	81
ENSMUSG00000002307	584	657	612	664	665	599
ENSMUSG00000002308	295	302	329	341	388	323
ENSMUSG00000002319	3277	3327	3223	3093	3623	2792
ENSMUSG00000002320	1014	1052	1067	1021	1081	906
ENSMUSG00000002324	3	0	3	180	402	172
ENSMUSG00000002325	382	440	581	432	619	524
ENSMUSG00000002326	617	673	677	703	764	671
ENSMUSG00000002329	867	837	840	913	923	861
ENSMUSG00000002332	1380	1434	1422	1495	1541	1476
ENSMUSG00000002341	4357	4737	4927	5694	7241	5454
ENSMUSG00000002342	876	972	937	949	1033	873
ENSMUSG00000002343	859	901	892	911	965	894
ENSMUSG00000002345	619	714	715	1488	1612	1457
ENSMUSG00000002346	1361	1495	1622	1433	1782	1674
ENSMUSG00000002365	390	453	459	717	527	915
ENSMUSG00000002372	2516	3106	2606	2852	2937	2678
ENSMUSG00000002379	1173	1349	1174	1408	1351	1328
ENSMUSG00000002384	244	244	189	226	314	240
ENSMUSG00000002393	741	810	881	1224	1383	1168
ENSMUSG00000002395	914	1142	1087	1244	1370	1162
ENSMUSG00000002396	846	890	981	1259	1404	1107
ENSMUSG00000002409	679	929	667	831	822	811
ENSMUSG00000002413	3770	3865	3749	5614	3544	5266
ENSMUSG00000002416	1376	1449	1592	1512	1572	1539
ENSMUSG00000002428	893	872	883	1168	801	987
ENSMUSG00000002455	2399	2920	2634	2786	2601	2742
ENSMUSG00000002458	518	481	424	471	692	425
ENSMUSG00000002459	799	926	939	848	922	731
ENSMUSG00000002475	1757	1890	1962	1708	2590	2095
ENSMUSG00000002477	735	639	791	719	795	718
ENSMUSG00000002486	474	567	506	504	548	462
ENSMUSG00000002489	4148	3446	3238	3926	5633	3408
ENSMUSG00000002496	4806	5240	4985	5799	6299	5449
ENSMUSG00000002500	14	22	16	20	25	14
ENSMUSG00000002504	977	1291	1108	1185	1337	1023
ENSMUSG00000002524	3123	3596	3264	3165	3465	3321
ENSMUSG00000002546	3933	4573	4201	4461	4107	4219
ENSMUSG00000002550	1024	1126	1169	1097	1267	1099
ENSMUSG00000002565	12	2	9	7	10	10
ENSMUSG00000002578	611	632	513	624	867	549
ENSMUSG00000002580	712	642	834	867	926	813
ENSMUSG00000002588	0	3	0	0	1	1
ENSMUSG00000002602	1614	1780	1985	1773	1997	1678
ENSMUSG00000002603	99	186	147	133	162	98
ENSMUSG00000002608	1202	1330	1270	1359	1406	1286
ENSMUSG00000002617	442	385	394	1045	903	845
ENSMUSG00000002625	8216	8869	8848	9219	9456	7856
ENSMUSG00000002633	59	94	50	92	81	99
ENSMUSG00000002635	466	605	524	611	483	594
ENSMUSG00000002658	1485	1843	1738	1749	1675	1671
ENSMUSG00000002660	930	1062	1006	940	1203	953
ENSMUSG00000002661	199	207	220	189	232	216
ENSMUSG00000002664	10	11	9	4	5	9
ENSMUSG00000002668	95	108	99	86	117	76
ENSMUSG00000002679	555	652	568	540	656	605
ENSMUSG00000002688	356	415	438	555	447	439
ENSMUSG00000002699	97	101	83	78	158	56
ENSMUSG00000002718	2025	1939	2154	2518	1716	2443
ENSMUSG00000002728	1202	1246	1270	1465	1278	1356
ENSMUSG00000002731	443	437	494	507	552	480
ENSMUSG00000002732	93	134	123	147	86	178
ENSMUSG00000002733	946	996	1058	1168	1045	1224
ENSMUSG00000002741	2494	2977	2746	3044	2760	2765
ENSMUSG00000002748	4893	5634	5239	6294	4832	6170
ENSMUSG00000002763	1995	2047	2050	2187	2250	1797
ENSMUSG00000002767	614	688	618	704	607	722
ENSMUSG00000002768	898	1065	896	1156	1467	1094
ENSMUSG00000002769	60	90	85	88	79	94
ENSMUSG00000002771	731	750	668	824	1280	727
ENSMUSG00000002778	1011	1115	1095	1338	1367	1103
ENSMUSG00000002781	686	799	626	744	666	661
ENSMUSG00000002791	9	18	14	18	16	28
ENSMUSG00000002797	334	266	297	363	360	376
ENSMUSG00000002799	1931	2694	1904	1888	2372	1710
ENSMUSG00000002803	1209	1499	1398	1472	1412	1383
ENSMUSG00000002804	172	179	161	151	201	148
ENSMUSG00000002808	2540	2851	2988	3336	2634	3589
ENSMUSG00000002812	1881	2237	2440	1920	2247	2120
ENSMUSG00000002814	255	300	247	237	197	241
ENSMUSG00000002820	965	1275	1124	1169	1248	1233
ENSMUSG00000002825	627	757	721	705	845	632
ENSMUSG00000002831	268	1114	705	1032	528	1436
ENSMUSG00000002833	2552	2915	2555	2696	3045	2327
ENSMUSG00000002835	164	161	184	201	177	151
ENSMUSG00000002844	1491	1607	1541	1965	1783	1727
ENSMUSG00000002845	369	508	473	628	496	594
ENSMUSG00000002846	360	457	413	557	619	603
ENSMUSG00000002847	50	72	54	44	52	65
ENSMUSG00000002870	109	125	125	123	122	126
ENSMUSG00000002871	1001	1305	1157	1039	1172	962
ENSMUSG00000002881	839	921	983	1087	999	972
ENSMUSG00000002885	381	533	481	403	454	374
ENSMUSG00000002897	604	996	868	794	537	880
ENSMUSG00000002900	671	513	492	622	915	563
ENSMUSG00000002908	353	502	451	488	391	495
ENSMUSG00000002910	255	443	355	365	324	609
ENSMUSG00000002930	9	5	7	5	36	25
ENSMUSG00000002944	45	14	11	13	86	8
ENSMUSG00000002948	3105	3938	3527	2727	2455	2474
ENSMUSG00000002949	2458	2864	2429	1868	1841	1615
ENSMUSG00000002957	6365	6089	5484	6203	7092	5495
ENSMUSG00000002963	814	906	877	754	938	616
ENSMUSG00000002968	2148	2727	2279	2611	2338	2186
ENSMUSG00000002980	392	421	427	449	536	422
ENSMUSG00000002981	3580	3843	3721	3951	4106	3695
ENSMUSG00000002983	169	154	156	155	203	146
ENSMUSG00000002984	1505	1756	1694	1648	1831	1574
ENSMUSG00000002985	28801	32620	31215	33905	44011	34354
ENSMUSG00000002992	1	1	3	0	2	0
ENSMUSG00000002996	1619	1856	2013	2017	1813	2229
ENSMUSG00000002997	1902	1826	1926	1952	1780	1562
ENSMUSG00000003031	1099	1373	1372	1362	1024	1561
ENSMUSG00000003032	132	275	241	121	195	93
ENSMUSG00000003033	2026	2182	2185	2386	2824	2183
