metric	value
tensorflow_version	2.5.0
sonnet_version	2.0.0
source_enformer_bytes	11916
source_attention_bytes	20736
trainable_variable_tensors	245
trunk_trainable_parameters	229845504
human_head_trainable_parameters	16326849
mouse_head_trainable_parameters	5048939
both_heads_trainable_parameters	21375788
total_trainable_parameters	251221292

group	variable	shape	parameters
trunk	enformer/trunk/conv_tower/conv_tower_block_5/conv_block/conv1_d/b:0	1536	1536
trunk	enformer/trunk/conv_tower/conv_tower_block_5/conv_block/conv1_d/w:0	5x1280x1536	9830400
trunk	enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/cross_replica_batch_norm/offset:0	1536	1536
trunk	enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/cross_replica_batch_norm/scale:0	1536	1536
trunk	enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/conv1_d/b:0	1536	1536
trunk	enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/conv1_d/w:0	1x1536x1536	2359296
trunk	enformer/trunk/conv_tower/conv_tower_block_5/softmax_pooling/linear/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_0/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_0/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_0/mha/attention_0/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_0/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_0/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_0/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_0/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_0/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_0/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_1/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_1/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_1/mha/attention_1/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_1/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_1/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_1/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_1/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_1/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_1/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_2/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_2/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_2/mha/attention_2/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_2/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_2/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_2/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_2/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_2/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_2/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_3/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_3/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_3/mha/attention_3/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_3/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_3/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_3/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_3/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_3/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_3/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_4/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_4/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_4/mha/attention_4/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_4/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_4/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_4/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_4/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_4/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_4/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_5/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_5/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_5/mha/attention_5/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_5/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_5/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_5/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_5/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_5/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_5/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_6/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_6/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_6/mha/attention_6/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_6/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_6/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_6/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_6/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_6/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_6/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_7/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_7/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_7/mha/attention_7/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_7/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_7/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_7/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_7/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_7/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_7/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_8/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_8/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_8/mha/attention_8/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_8/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_8/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_8/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_8/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_8/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_8/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_9/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_9/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_9/mha/attention_9/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_9/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_9/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_9/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_9/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_9/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_9/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/transformer/transformer_block_10/mha/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_10/mha/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/r_r_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/r_w_bias:0	1x8x1x64	512
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/embedding_layer/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/embedding_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/k_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/q_layer/w:0	1536x512	786432
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/r_k_layer/w:0	192x512	98304
trunk	enformer/trunk/transformer/transformer_block_10/mha/attention_10/v_layer/w:0	1536x1536	2359296
trunk	enformer/trunk/transformer/transformer_block_10/mlp/layer_norm/offset:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_10/mlp/layer_norm/scale:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_10/mlp/linear/b:0	3072	3072
trunk	enformer/trunk/transformer/transformer_block_10/mlp/linear/w:0	1536x3072	4718592
trunk	enformer/trunk/transformer/transformer_block_10/mlp/linear/b:0	1536	1536
trunk	enformer/trunk/transformer/transformer_block_10/mlp/linear/w:0	3072x1536	4718592
trunk	enformer/trunk/final_pointwise/conv_block/cross_replica_batch_norm/offset:0	1536	1536
trunk	enformer/trunk/final_pointwise/conv_block/cross_replica_batch_norm/scale:0	1536	1536
trunk	enformer/trunk/final_pointwise/conv_block/conv1_d/b:0	3072	3072
trunk	enformer/trunk/final_pointwise/conv_block/conv1_d/w:0	1x1536x3072	4718592
human_head	enformer/heads/head_human/linear/b:0	5313	5313
human_head	enformer/heads/head_human/linear/w:0	3072x5313	16321536
mouse_head	enformer/heads/head_mouse/linear/b:0	1643	1643
mouse_head	enformer/heads/head_mouse/linear/w:0	3072x1643	5047296
