direction	gene	group_A_mean_log2TPM1	group_B_mean_log2TPM1	A_minus_B	Welch_like_t	detected_samples
B_higher	RTN4RL1	2.063481	4.226999	-2.163518	-23.496601	9
B_higher	GHc-857G6.7	0.263468	1.092055	-0.828586	-23.320607	9
B_higher	HUNK	2.043451	4.113888	-2.070438	-22.905696	9
B_higher	G25746	0.580798	6.583623	-6.002825	-22.376361	9
B_higher	MAB21L1	0.064383	1.335235	-1.270852	-22.225292	7
B_higher	NFIX	5.826581	7.702420	-1.875839	-21.846146	9
B_higher	WNK2	0.979875	5.128630	-4.148754	-21.761052	9
B_higher	LEPR	3.038958	5.580359	-2.541400	-21.144766	9
B_higher	BOC	4.617230	6.647010	-2.029780	-21.068038	9
B_higher	TTC21B	3.781063	5.284517	-1.503454	-20.885159	9
B_higher	CADM3	0.588555	3.191726	-2.603171	-20.745740	9
B_higher	LINC01091	0.692389	3.145278	-2.452889	-20.610925	9
B_higher	C5orf49	0.119299	1.302180	-1.182881	-20.594843	8
B_higher	ADSSL1	1.363940	2.904803	-1.540862	-20.510612	9
B_higher	CACNA2D1	3.160516	5.784405	-2.623890	-20.453707	9
B_higher	SLC45A4	2.777508	4.908139	-2.130631	-20.065649	9
B_higher	SMAD4	5.940954	7.005382	-1.064429	-19.655634	9
B_higher	AADAC	1.941558	4.325484	-2.383926	-19.513491	9
B_higher	BGN	2.685323	5.260586	-2.575264	-19.335724	9
B_higher	PLXNA4	1.879843	4.749930	-2.870087	-19.147441	9
B_higher	WDTC1	5.005729	6.099253	-1.093524	-18.939722	9
B_higher	ZDHHC9	4.742466	6.321340	-1.578875	-18.879724	9
B_higher	SERINC3	7.722446	8.327498	-0.605052	-18.713313	9
B_higher	CNTN4	0.307802	2.070464	-1.762663	-18.696029	9
B_higher	DZIP1L	1.960199	4.285246	-2.325047	-18.654550	9
B_higher	PTPRF	8.118518	9.452153	-1.333635	-18.559571	9
B_higher	ADGRA2	2.890204	5.437489	-2.547286	-18.358037	9
B_higher	H6PD	6.583954	8.030403	-1.446449	-18.334892	9
B_higher	ANKH	5.634479	6.966763	-1.332284	-18.329784	9
B_higher	RP11-600F24.7	1.328853	2.815574	-1.486720	-18.148958	9
B_higher	MTMR3	3.388384	4.306333	-0.917949	-17.954299	9
B_higher	MEGF9	6.700369	7.896012	-1.195643	-17.878025	9
B_higher	MIR99AHG	2.476960	4.171195	-1.694235	-17.864530	9
B_higher	CEP68	4.640388	6.053651	-1.413263	-17.804503	9
