strain	direction	pathway_id	pathway_name	universe_size	foreground_size	pathway_size	overlap	pvalue	padj	genes
97	up	pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	56	0	1	1	
97	up	pau00261	Monobactam biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau00270	Cysteine and methionine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	41	0	1	1	
97	up	pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	45	0	1	1	
97	up	pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	17	0	1	1	
97	up	pau00300	Lysine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	16	0	1	1	
97	up	pau00310	Lysine degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	22	0	1	1	
97	up	pau00330	Arginine and proline metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	48	0	1	1	
97	up	pau00332	Carbapenem biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00340	Histidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	25	0	1	1	
97	up	pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	27	0	1	1	
97	up	pau00360	Phenylalanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	21	0	1	1	
97	up	pau00361	Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	5	0	1	1	
97	up	pau00362	Benzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	34	0	1	1	
97	up	pau00364	Fluorobenzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	7	0	1	1	
97	up	pau00380	Tryptophan metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	26	0	1	1	
97	up	pau00401	Novobiocin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	6	0	1	1	
97	up	pau00410	beta-Alanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	19	0	1	1	
97	up	pau00430	Taurine and hypotaurine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	7	0	1	1	
97	up	pau00440	Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau00450	Selenocompound metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau00460	Cyanoamino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	11	0	1	1	
97	up	pau00470	D-Amino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	23	0	1	1	
97	up	pau00480	Glutathione metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	36	0	1	1	
97	up	pau00500	Starch and sucrose metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	16	0	1	1	
97	up	pau00520	Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	27	0	1	1	
97	up	pau00521	Streptomycin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	8	0	1	1	
97	up	pau00523	Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	5	0	1	1	
97	up	pau00525	Acarbose and validamycin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00540	Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	21	0	1	1	
97	up	pau00541	Biosynthesis of various nucleotide sugars - Pseudomonas aeruginosa UCBPP-PA14	2041	13	30	0	1	1	
97	up	pau00543	Exopolysaccharide biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	11	0	1	1	
97	up	pau00550	Peptidoglycan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	22	0	1	1	
97	up	pau00552	Teichoic acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00561	Glycerolipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	15	0	1	1	
97	up	pau00562	Inositol phosphate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	7	0	1	1	
97	up	pau00564	Glycerophospholipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	27	0	1	1	
97	up	pau00565	Ether lipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	3	0	1	1	
97	up	pau00592	alpha-Linolenic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	3	0	1	1	
97	up	pau00600	Sphingolipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	63	0	1	1	
97	up	pau00622	Xylene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	6	0	1	1	
97	up	pau00623	Toluene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00625	Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	7	0	1	1	
97	up	pau00626	Naphthalene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00627	Aminobenzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	15	0	1	1	
97	up	pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	63	0	1	1	
97	up	pau00633	Nitrotoluene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	43	0	1	1	
97	up	pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	11	0	1	1	
97	up	pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	38	0	1	1	
97	up	pau00660	C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	13	0	1	1	
97	up	pau00670	One carbon pool by folate - Pseudomonas aeruginosa UCBPP-PA14	2041	13	31	0	1	1	
97	up	pau00680	Methane metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	26	0	1	1	
97	up	pau00710	Carbon fixation by Calvin cycle - Pseudomonas aeruginosa UCBPP-PA14	2041	13	13	0	1	1	
97	up	pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	2041	13	35	0	1	1	
97	up	pau00730	Thiamine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	13	0	1	1	
97	up	pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	14	0	1	1	
97	up	pau00750	Vitamin B6 metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau00770	Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	26	0	1	1	
97	up	pau00780	Biotin metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	20	0	1	1	
97	up	pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	24	0	1	1	
97	up	pau00790	Folate biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	33	0	1	1	
97	up	pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	52	0	1	1	
97	up	pau00900	Terpenoid backbone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	16	0	1	1	
97	up	pau00907	Pinene, camphor and geraniol degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	15	0	1	1	
97	up	pau00910	Nitrogen metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	34	0	1	1	
97	up	pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	58	0	1	1	
97	up	pau00930	Caprolactam degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	7	0	1	1	
97	up	pau00946	Degradation of flavonoids - Pseudomonas aeruginosa UCBPP-PA14	2041	13	1	0	1	1	
97	up	pau00984	Steroid degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	4	0	1	1	
97	up	pau00997	Biosynthesis of various other secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	2041	13	4	0	1	1	
97	up	pau00999	Biosynthesis of various plant secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	2041	13	3	0	1	1	
97	up	pau01040	Biosynthesis of unsaturated fatty acids - Pseudomonas aeruginosa UCBPP-PA14	2041	13	6	0	1	1	
97	up	pau01053	Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	2041	13	323	0	1	1	
97	up	pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	129	0	1	1	
97	up	pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	47	0	1	1	
97	up	pau01212	Fatty acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	51	0	1	1	
97	up	pau01220	Degradation of aromatic compounds - Pseudomonas aeruginosa UCBPP-PA14	2041	13	29	0	1	1	
97	up	pau01232	Nucleotide metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	50	0	1	1	
97	up	pau01250	Biosynthesis of nucleotide sugars - Pseudomonas aeruginosa UCBPP-PA14	2041	13	43	0	1	1	
97	up	pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	2041	13	12	0	1	1	
97	up	pau01320	Sulfur cycle - Pseudomonas aeruginosa UCBPP-PA14	2041	13	10	0	1	1	
97	up	pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	2041	13	34	0	1	1	
97	up	pau01502	Vancomycin resistance - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau01503	Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas aeruginosa UCBPP-PA14	2041	13	31	0	1	1	
97	up	pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	2041	13	202	0	1	1	
97	up	pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	2041	13	265	0	1	1	
97	up	pau02030	Bacterial chemotaxis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	49	0	1	1	
97	up	pau02040	Flagellar assembly - Pseudomonas aeruginosa UCBPP-PA14	2041	13	46	0	1	1	
97	up	pau02060	Phosphotransferase system (PTS) - Pseudomonas aeruginosa UCBPP-PA14	2041	13	8	0	1	1	
97	up	pau03008	Ribosome biogenesis in eukaryotes - Pseudomonas aeruginosa UCBPP-PA14	2041	13	3	0	1	1	
97	up	pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	2041	13	67	0	1	1	
97	up	pau03018	RNA degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	19	0	1	1	
97	up	pau03020	RNA polymerase - Pseudomonas aeruginosa UCBPP-PA14	2041	13	4	0	1	1	
97	up	pau03030	DNA replication - Pseudomonas aeruginosa UCBPP-PA14	2041	13	17	0	1	1	
97	up	pau03060	Protein export - Pseudomonas aeruginosa UCBPP-PA14	2041	13	17	0	1	1	
97	up	pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	2041	13	95	0	1	1	
97	up	pau03250	Viral life cycle - HIV-1 - Pseudomonas aeruginosa UCBPP-PA14	2041	13	1	0	1	1	
97	up	pau03410	Base excision repair - Pseudomonas aeruginosa UCBPP-PA14	2041	13	13	0	1	1	
97	up	pau03420	Nucleotide excision repair - Pseudomonas aeruginosa UCBPP-PA14	2041	13	9	0	1	1	
97	up	pau03430	Mismatch repair - Pseudomonas aeruginosa UCBPP-PA14	2041	13	20	0	1	1	
97	up	pau03440	Homologous recombination - Pseudomonas aeruginosa UCBPP-PA14	2041	13	24	0	1	1	
97	up	pau03450	Non-homologous end-joining - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau04122	Sulfur relay system - Pseudomonas aeruginosa UCBPP-PA14	2041	13	22	0	1	1	
97	up	pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	2041	13	14	0	1	1	
97	up	pau04148	Efferocytosis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau04156	Integrated stress response (ISR) signaling pathway - Pseudomonas aeruginosa UCBPP-PA14	2041	13	8	0	1	1	
97	up	pau04980	Cobalamin transport and metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau04981	Folate transport and metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	7	0	1	1	
97	down	pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	24	14	2.82915885158593e-15	3.87594762667273e-13	PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09470,PA14_09480,PA14_09490,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
97	down	pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	2041	74	111	24	7.26510761359324e-14	4.97659871531137e-12	PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09520,PA14_09530,PA14_16250,PA14_19100,PA14_19110,PA14_19130,PA14_20610,PA14_31290,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40260,PA14_49760
97	down	pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	2041	74	12	4	0.000632521347286416	0.0288851415260796	PA14_06750,PA14_06810,PA14_06830,PA14_20200
97	down	pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	2041	74	444	28	0.000986644519133481	0.0337925747803217	PA14_00640,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_09150,PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09490,PA14_20940,PA14_35150,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40310,PA14_58030,PA14_61040
97	down	pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	2041	74	14	3	0.0124893334583693	0.342207736759319	PA14_09150,PA14_58000,PA14_61040
97	down	pau00910	Nitrogen metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	34	4	0.0324148841766161	0.737606172143638	PA14_06750,PA14_06810,PA14_06830,PA14_20200
97	down	pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	52	5	0.0376879066058793	0.737606172143638	PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710
97	down	pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	74	11	2	0.057722588064981	0.988499320612799	PA14_02760,PA14_02770
97	down	pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	2041	74	265	14	0.0895055654429652	1	PA14_06740,PA14_10330,PA14_10500,PA14_19130,PA14_28970,PA14_55750,PA14_55850,PA14_55860,PA14_55880,PA14_55890,PA14_55900,PA14_55920,PA14_55930,PA14_55940
97	down	pau02025	Biofilm formation - Pseudomonas aeruginosa - Pseudomonas aeruginosa UCBPP-PA14	2041	74	108	7	0.0925131076515002	1	PA14_19100,PA14_19110,PA14_19130,PA14_31290,PA14_43070,PA14_49760,PA14_69560
97	down	pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	2041	74	1049	44	0.0973543373827488	1	PA14_00640,PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06740,PA14_06750,PA14_06810,PA14_06830,PA14_09150,PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09490,PA14_10500,PA14_19130,PA14_20200,PA14_20940,PA14_20950,PA14_34870,PA14_35150,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40310,PA14_52990,PA14_53070,PA14_53290,PA14_58030,PA14_61040
97	down	pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	32	3	0.10721041362441	1	PA14_09460,PA14_39945,PA14_52990
97	down	pau00362	Benzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	74	34	3	0.122984049154412	1	PA14_01900,PA14_01910,PA14_02790
97	down	pau00360	Phenylalanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	21	2	0.175250647819806	1	PA14_52990,PA14_53070
97	down	pau00380	Tryptophan metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	26	2	0.24249779728851	1	PA14_09150,PA14_61040
97	down	pau01220	Degradation of aromatic compounds - Pseudomonas aeruginosa UCBPP-PA14	2041	74	29	2	0.283506408142839	1	PA14_01900,PA14_01910
97	down	pau01503	Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas aeruginosa UCBPP-PA14	2041	74	31	2	0.310784858780329	1	PA14_10330,PA14_16250
97	down	pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	2041	74	323	13	0.386717689133605	1	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_02790,PA14_06660,PA14_06750,PA14_06810,PA14_06830,PA14_20200,PA14_31350,PA14_35150,PA14_58030
97	down	pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	38	2	0.404012846220029	1	PA14_02760,PA14_02770
97	down	pau00561	Glycerolipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	15	1	0.42644415377694	1	PA14_35150
97	down	pau00130	Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	21	1	0.541334764725839	1	PA14_53070
97	down	pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	2041	74	57	2	0.620768358017291	1	PA14_06740,PA14_10500
97	down	pau00061	Fatty acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	27	1	0.6334596747943	1	PA14_20950
97	down	pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	27	1	0.6334596747943	1	PA14_53070
97	down	pau00520	Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	27	1	0.6334596747943	1	PA14_34870
97	down	pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	2041	74	29	1	0.659906713681509	1	PA14_58030
97	down	pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	2041	74	29	1	0.659906713681509	1	PA14_53290
97	down	pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	2041	74	184	6	0.670660296839878	1	PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_53070
97	down	pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	63	2	0.675607793617655	1	PA14_35150,PA14_58030
97	down	pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	63	2	0.675607793617655	1	PA14_09150,PA14_61040
97	down	pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	2041	74	95	3	0.680244931340476	1	PA14_10330,PA14_43070,PA14_69560
97	down	pau00790	Folate biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	33	1	0.707280446957041	1	PA14_52990
97	down	pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	2041	74	34	1	0.718067920525357	1	PA14_10330
97	down	pau00010	Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	35	1	0.728463024601652	1	PA14_35150
97	down	pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	2041	74	35	1	0.728463024601652	1	PA14_58030
97	down	pau00250	Alanine, aspartate and glutamate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	36	1	0.73847984223848	1	PA14_00640
97	down	pau00270	Cysteine and methionine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	41	1	0.783348590421522	1	PA14_19130
97	down	pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	2041	74	146	4	0.789453067838956	1	PA14_00640,PA14_09460,PA14_39945,PA14_52990
97	down	pau02030	Bacterial chemotaxis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	49	1	0.83984606602983	1	PA14_55750
97	down	pau01212	Fatty acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	51	1	0.851526914956379	1	PA14_20950
97	down	pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	129	3	0.859035346999143	1	PA14_09150,PA14_58030,PA14_61040
97	down	pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	58	1	0.886167222791855	1	PA14_31350
97	down	pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	2041	74	202	4	0.946039030123199	1	PA14_10340,PA14_20170,PA14_20180,PA14_40240
97	down	pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	86	1	0.961045494925413	1	PA14_68150
97	down	pau00040	Pentose and glucuronate interconversions - Pseudomonas aeruginosa UCBPP-PA14	2041	74	8	0	1	1	
97	down	pau00051	Fructose and mannose metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	18	0	1	1	
97	down	pau00052	Galactose metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	4	0	1	1	
97	down	pau00053	Ascorbate and aldarate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	6	0	1	1	
97	down	pau00071	Fatty acid degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	74	31	0	1	1	
97	down	pau00074	Mycolic acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	2	0	1	1	
97	down	pau00220	Arginine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	33	0	1	1	
97	down	pau00230	Purine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	67	0	1	1	
97	down	pau00240	Pyrimidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	36	0	1	1	
97	down	pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	56	0	1	1	
97	down	pau00261	Monobactam biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	9	0	1	1	
97	down	pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	74	45	0	1	1	
97	down	pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	17	0	1	1	
97	down	pau00300	Lysine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	16	0	1	1	
97	down	pau00310	Lysine degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	74	22	0	1	1	
97	down	pau00330	Arginine and proline metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	74	48	0	1	1	
97	down	pau00332	Carbapenem biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	74	2	0	1	1	
