group	alignment	raw_pis	total_sites	percent_pis	n_sequences
animals	1434266at2759.faa.mafft	0	230	0	3
animals	1440961at2759.faa.mafft	0	267	0	1
animals	1441854at2759.faa.mafft	0	308	0	3
animals	1442062at2759.faa.mafft	0	521	0	2
animals	1445102at2759.faa.mafft	0	261	0	3
animals	1450538at2759.faa.mafft	0	312	0	1
animals	1454155at2759.faa.mafft	0	314	0	2
animals	1455730at2759.faa.mafft	0	551	0	3
animals	1459797at2759.faa.mafft	0	135	0	2
animals	1474000at2759.faa.mafft	0	405	0	2
animals	1488235at2759.faa.mafft	0	182	0	3
animals	1488436at2759.faa.mafft	0	138	0	3
animals	1490022at2759.faa.mafft	0	192	0	1
animals	1504863at2759.faa.mafft	6	228	2.631578947	4
animals	1513531at2759.faa.mafft	0	289	0	3
animals	1525971at2759.faa.mafft	2	153	1.307189542	4
animals	1526152at2759.faa.mafft	0	189	0	3
animals	1530008at2759.faa.mafft	0	244	0	1
animals	1538526at2759.faa.mafft	0	163	0	3
animals	1545004at2759.faa.mafft	0	98	0	3
animals	1552706at2759.faa.mafft	0	145	0	3
animals	1558822at2759.faa.mafft	0	91	0	2
animals	156083at2759.faa.mafft	5	2341	0.2135839385	4
animals	1563319at2759.faa.mafft	0	340	0	1
animals	1567796at2759.faa.mafft	0	199	0	2
animals	1575179at2759.faa.mafft	0	110	0	2
animals	1576404at2759.faa.mafft	0	230	0	1
animals	1588798at2759.faa.mafft	0	320	0	2
animals	1593937at2759.faa.mafft	0	375	0	1
animals	160593at2759.faa.mafft	0	2731	0	2
animals	1617752at2759.faa.mafft	0	121	0	2
animals	1620056at2759.faa.mafft	10	189	5.291005291	4
animals	1626636at2759.faa.mafft	0	219	0	3
animals	1633672at2759.faa.mafft	0	102	0	3
animals	1645187at2759.faa.mafft	0	134	0	2
animals	166920at2759.faa.mafft	0	1499	0	1
animals	176625at2759.faa.mafft	0	1183	0	3
animals	179362at2759.faa.mafft	0	1312	0	1
animals	245208at2759.faa.mafft	0	1322	0	1
animals	257318at2759.faa.mafft	0	577	0	1
animals	261328at2759.faa.mafft	0	678	0	1
animals	271586at2759.faa.mafft	0	1076	0	3
animals	290630at2759.faa.mafft	0	940	0	3
animals	293315at2759.faa.mafft	0	1428	0	1
animals	296129at2759.faa.mafft	0	1058	0	3
animals	299766at2759.faa.mafft	0	1027	0	1
animals	306227at2759.faa.mafft	0	799	0	3
animals	320059at2759.faa.mafft	0	553	0	3
animals	324863at2759.faa.mafft	0	969	0	3
animals	325552at2759.faa.mafft	0	609	0	1
animals	330169at2759.faa.mafft	0	504	0	2
animals	331411at2759.faa.mafft	0	748	0	3
animals	341721at2759.faa.mafft	20	837	2.38948626	4
animals	345441at2759.faa.mafft	0	550	0	1
animals	355408at2759.faa.mafft	0	691	0	3
animals	369837at2759.faa.mafft	0	756	0	2
animals	375960at2759.faa.mafft	0	542	0	2
animals	383503at2759.faa.mafft	0	503	0	2
animals	388820at2759.faa.mafft	0	952	0	2
animals	390348at2759.faa.mafft	0	1030	0	3
animals	39650at2759.faa.mafft	0	2306	0	3
animals	396755at2759.faa.mafft	0	1216	0	3
animals	418107at2759.faa.mafft	0	451	0	3
animals	426305at2759.faa.mafft	0	802	0	2
animals	450058at2759.faa.mafft	0	366	0	1
animals	453044at2759.faa.mafft	19	478	3.974895397	4
animals	457861at2759.faa.mafft	0	306	0	1
animals	464990at2759.faa.mafft	0	570	0	1
animals	491869at2759.faa.mafft	0	473	0	3
animals	513979at2759.faa.mafft	0	581	0	1
animals	543764at2759.faa.mafft	0	514	0	2
animals	549762at2759.faa.mafft	0	647	0	1
animals	551907at2759.faa.mafft	0	1081	0	2
animals	570797at2759.faa.mafft	29	903	3.211517165	4
animals	582756at2759.faa.mafft	0	553	0	2
animals	598949at2759.faa.mafft	0	1251	0	1
animals	604979at2759.faa.mafft	0	809	0	1
animals	621827at2759.faa.mafft	0	570	0	3
animals	655400at2759.faa.mafft	0	478	0	2
animals	664730at2759.faa.mafft	11	463	2.375809935	4
animals	671536at2759.faa.mafft	0	496	0	1
animals	673132at2759.faa.mafft	17	415	4.096385542	4
animals	674160at2759.faa.mafft	0	2911	0	3
animals	674169at2759.faa.mafft	0	701	0	2
animals	679771at2759.faa.mafft	0	391	0	3
animals	687505at2759.faa.mafft	0	363	0	2
animals	692986at2759.faa.mafft	0	794	0	1
animals	708105at2759.faa.mafft	0	426	0	2
animals	719531at2759.faa.mafft	0	489	0	2
animals	720340at2759.faa.mafft	0	561	0	3
animals	721605at2759.faa.mafft	18	436	4.128440367	4
animals	734341at2759.faa.mafft	0	269	0	1
animals	734666at2759.faa.mafft	0	517	0	3
animals	736068at2759.faa.mafft	0	451	0	1
animals	751335at2759.faa.mafft	0	470	0	1
animals	759498at2759.faa.mafft	0	732	0	2
animals	761109at2759.faa.mafft	0	678	0	2
animals	768809at2759.faa.mafft	0	376	0	1
animals	777920at2759.faa.mafft	0	598	0	3
animals	779909at2759.faa.mafft	0	326	0	1
animals	801857at2759.faa.mafft	0	436	0	1
animals	814241at2759.faa.mafft	0	435	0	3
animals	817008at2759.faa.mafft	0	417	0	1
animals	834694at2759.faa.mafft	0	728	0	1
animals	836599at2759.faa.mafft	0	545	0	3
animals	83779at2759.faa.mafft	0	652	0	2
animals	844748at2759.faa.mafft	0	482	0	2
animals	855834at2759.faa.mafft	0	700	0	2
animals	858842at2759.faa.mafft	0	485	0	1
animals	865202at2759.faa.mafft	0	305	0	2
animals	866359at2759.faa.mafft	0	327	0	3
animals	869548at2759.faa.mafft	0	269	0	2
animals	878143at2759.faa.mafft	0	442	0	1
animals	87842at2759.faa.mafft	0	1066	0	2
animals	887370at2759.faa.mafft	0	581	0	2
animals	891751at2759.faa.mafft	0	572	0	3
animals	898782at2759.faa.mafft	0	547	0	2
animals	901894at2759.faa.mafft	0	543	0	2
animals	905026at2759.faa.mafft	0	706	0	2
animals	911863at2759.faa.mafft	0	425	0	2
animals	917326at2759.faa.mafft	0	639	0	1
animals	919955at2759.faa.mafft	0	389	0	3
animals	923657at2759.faa.mafft	0	317	0	2
animals	924753at2759.faa.mafft	0	465	0	2
animals	931188at2759.faa.mafft	0	629	0	2
animals	937275at2759.faa.mafft	0	417	0	1
animals	937686at2759.faa.mafft	0	491	0	2
animals	939345at2759.faa.mafft	0	245	0	1
animals	944899at2759.faa.mafft	0	398	0	2
animals	946128at2759.faa.mafft	0	532	0	1
animals	956854at2759.faa.mafft	0	294	0	1
animals	97116at2759.faa.mafft	0	1220	0	1
animals	973442at2759.faa.mafft	0	425	0	2
animals	974865at2759.faa.mafft	10	309	3.236245955	4
animals	975158at2759.faa.mafft	0	459	0	3
animals	975557at2759.faa.mafft	0	755	0	1
animals	976469at2759.faa.mafft	0	386	0	2
animals	981902at2759.faa.mafft	0	391	0	3
animals	996662at2759.faa.mafft	12	453	2.649006623	4
fungi	1001705at2759.faa.mafft	20	596	3.355704698	4
fungi	1003258at2759.faa.mafft	21	1071	1.960784314	4
fungi	100698at2759.faa.mafft	34	954	3.5639413	4
fungi	1010730at2759.faa.mafft	23	650	3.538461538	4
fungi	1014314at2759.faa.mafft	17	455	3.736263736	4
fungi	1018517at2759.faa.mafft	24	345	6.956521739	4
fungi	1019762at2759.faa.mafft	25	918	2.723311547	4
fungi	1025450at2759.faa.mafft	27	594	4.545454545	4
fungi	1030907at2759.faa.mafft	9	421	2.137767221	4
fungi	1032689at2759.faa.mafft	21	688	3.052325581	4
fungi	1038775at2759.faa.mafft	0	384	0	3
fungi	1041560at2759.faa.mafft	27	666	4.054054054	4
fungi	1049599at2759.faa.mafft	0	551	0	3
fungi	1051021at2759.faa.mafft	17	891	1.907968575	4
fungi	1053181at2759.faa.mafft	0	374	0	3
fungi	1057950at2759.faa.mafft	16	395	4.050632911	4
fungi	1065019at2759.faa.mafft	25	430	5.813953488	4
fungi	1076134at2759.faa.mafft	14	345	4.057971014	4
fungi	1079130at2759.faa.mafft	33	563	5.861456483	4
fungi	1079827at2759.faa.mafft	21	264	7.954545455	4
fungi	1085752at2759.faa.mafft	0	621	0	3
fungi	1087488at2759.faa.mafft	25	567	4.409171076	4
fungi	1090038at2759.faa.mafft	0	556	0	3
fungi	1094121at2759.faa.mafft	10	251	3.984063745	4
fungi	1096688at2759.faa.mafft	14	481	2.910602911	4
fungi	1106766at2759.faa.mafft	0	745	0	3
fungi	1107630at2759.faa.mafft	17	520	3.269230769	4
fungi	1108845at2759.faa.mafft	0	501	0	3
fungi	1111142at2759.faa.mafft	0	800	0	3
fungi	1112002at2759.faa.mafft	51	1213	4.204451772	4
fungi	1115196at2759.faa.mafft	26	566	4.593639576	4
fungi	1128607at2759.faa.mafft	25	366	6.830601093	4
fungi	1129824at2759.faa.mafft	16	326	4.90797546	4
fungi	1138059at2759.faa.mafft	14	317	4.416403785	4
fungi	1157302at2759.faa.mafft	15	247	6.072874494	4
fungi	1161199at2759.faa.mafft	16	358	4.469273743	4
fungi	1173229at2759.faa.mafft	0	597	0	3
fungi	1178688at2759.faa.mafft	12	229	5.240174672	4
fungi	1182451at2759.faa.mafft	19	477	3.983228512	4
fungi	1193442at2759.faa.mafft	29	567	5.114638448	4
fungi	1194691at2759.faa.mafft	27	512	5.2734375	4
fungi	1194797at2759.faa.mafft	47	826	5.690072639	4
fungi	1197019at2759.faa.mafft	15	254	5.905511811	4
fungi	1200489at2759.faa.mafft	7	318	2.201257862	4
fungi	1217666at2759.faa.mafft	20	324	6.172839506	4
fungi	1220881at2759.faa.mafft	16	514	3.112840467	4
fungi	1222562at2759.faa.mafft	12	505	2.376237624	4
fungi	1223488at2759.faa.mafft	13	291	4.467353952	4
fungi	1228942at2759.faa.mafft	24	278	8.633093525	4
fungi	1233814at2759.faa.mafft	9	334	2.694610778	4
fungi	1236198at2759.faa.mafft	5	159	3.144654088	4
fungi	1247641at2759.faa.mafft	28	874	3.203661327	4
fungi	1248958at2759.faa.mafft	52	1013	5.133267522	4
fungi	1249159at2759.faa.mafft	15	248	6.048387097	4
fungi	1251252at2759.faa.mafft	6	448	1.339285714	4
fungi	1257440at2759.faa.mafft	12	230	5.217391304	4
fungi	1258856at2759.faa.mafft	59	1054	5.59772296	4
fungi	1259741at2759.faa.mafft	20	524	3.816793893	4
fungi	1260807at2759.faa.mafft	15	1625	0.9230769231	4
fungi	1264469at2759.faa.mafft	20	419	4.77326969	4
fungi	1266231at2759.faa.mafft	0	396	0	3
fungi	1269244at2759.faa.mafft	9	320	2.8125	4
fungi	1269649at2759.faa.mafft	11	320	3.4375	4
fungi	1275837at2759.faa.mafft	28	364	7.692307692	4
fungi	1284731at2759.faa.mafft	12	309	3.883495146	4
fungi	1287094at2759.faa.mafft	14	244	5.737704918	4
fungi	1287401at2759.faa.mafft	0	374	0	3
fungi	1291729at2759.faa.mafft	11	233	4.721030043	4
fungi	1304061at2759.faa.mafft	9	282	3.191489362	4
fungi	1309031at2759.faa.mafft	34	1053	3.228869896	4
fungi	1312453at2759.faa.mafft	73	2093	3.487816531	4
fungi	1314980at2759.faa.mafft	0	1110	0	3
fungi	1322299at2759.faa.mafft	23	722	3.185595568	4
fungi	1322642at2759.faa.mafft	0	908	0	3
fungi	1323575at2759.faa.mafft	10	236	4.237288136	4
fungi	1324510at2759.faa.mafft	23	660	3.484848485	4
fungi	1338131at2759.faa.mafft	13	203	6.403940887	4
fungi	1339553at2759.faa.mafft	20	559	3.577817531	4
fungi	1342242at2759.faa.mafft	15	549	2.732240437	4
fungi	1346165at2759.faa.mafft	20	614	3.25732899	4
fungi	1346432at2759.faa.mafft	15	365	4.109589041	4
fungi	1348942at2759.faa.mafft	16	482	3.319502075	4
fungi	1355894at2759.faa.mafft	11	214	5.140186916	4
fungi	1358374at2759.faa.mafft	11	401	2.743142145	4
fungi	1364586at2759.faa.mafft	0	364	0	3
fungi	1370285at2759.faa.mafft	34	955	3.560209424	4
fungi	1370304at2759.faa.mafft	29	1125	2.577777778	4
fungi	1377237at2759.faa.mafft	0	626	0	3
fungi	1379600at2759.faa.mafft	33	1086	3.038674033	4
fungi	1380409at2759.faa.mafft	0	220	0	3
fungi	1382842at2759.faa.mafft	0	322	0	3
fungi	1395649at2759.faa.mafft	0	295	0	3
fungi	1398309at2759.faa.mafft	14	186	7.52688172	4
fungi	1404162at2759.faa.mafft	25	926	2.699784017	4
fungi	1405073at2759.faa.mafft	10	184	5.434782609	4
fungi	1405146at2759.faa.mafft	7	266	2.631578947	4
fungi	1407446at2759.faa.mafft	3	209	1.435406699	4
fungi	1421503at2759.faa.mafft	10	300	3.333333333	4
fungi	1423847at2759.faa.mafft	20	459	4.357298475	4
fungi	142542at2759.faa.mafft	0	2034	0	3
fungi	1426075at2759.faa.mafft	6	320	1.875	4
fungi	1428265at2759.faa.mafft	18	461	3.904555315	4
fungi	1428854at2759.faa.mafft	58	974	5.954825462	4
fungi	1430056at2759.faa.mafft	10	253	3.95256917	4
fungi	1432328at2759.faa.mafft	13	450	2.888888889	4
fungi	1434266at2759.faa.mafft	12	393	3.053435115	4
fungi	1440961at2759.faa.mafft	17	581	2.925989673	4
fungi	1441854at2759.faa.mafft	18	390	4.615384615	4
fungi	1442062at2759.faa.mafft	22	784	2.806122449	4
fungi	1445102at2759.faa.mafft	50	303	16.50165017	4
fungi	1450538at2759.faa.mafft	11	573	1.919720768	4
fungi	1454155at2759.faa.mafft	18	455	3.956043956	4
fungi	1455730at2759.faa.mafft	0	645	0	3
fungi	1459797at2759.faa.mafft	5	140	3.571428571	4
fungi	1474000at2759.faa.mafft	20	480	4.166666667	4
fungi	1479417at2759.faa.mafft	0	660	0	2
fungi	1488235at2759.faa.mafft	12	234	5.128205128	4
fungi	1488436at2759.faa.mafft	5	163	3.067484663	4
fungi	1490022at2759.faa.mafft	18	236	7.627118644	4
fungi	1504863at2759.faa.mafft	3	230	1.304347826	4
fungi	1513531at2759.faa.mafft	5	370	1.351351351	4
fungi	1525971at2759.faa.mafft	11	190	5.789473684	4
fungi	1526152at2759.faa.mafft	0	184	0	2
fungi	1530008at2759.faa.mafft	14	237	5.907172996	4
fungi	1538526at2759.faa.mafft	10	256	3.90625	4
fungi	1545004at2759.faa.mafft	0	96	0	2
fungi	1552706at2759.faa.mafft	4	468	0.8547008547	4
fungi	1558822at2759.faa.mafft	0	109	0	3
fungi	156083at2759.faa.mafft	0	2440	0	3
fungi	1563319at2759.faa.mafft	0	377	0	2
fungi	1567796at2759.faa.mafft	9	570	1.578947368	4
fungi	1575179at2759.faa.mafft	3	205	1.463414634	4
fungi	1576404at2759.faa.mafft	12	308	3.896103896	4
fungi	1588798at2759.faa.mafft	15	454	3.303964758	4
fungi	1593937at2759.faa.mafft	23	542	4.243542435	4
fungi	160593at2759.faa.mafft	162	2968	5.458221024	4
fungi	1617752at2759.faa.mafft	2	120	1.666666667	4
fungi	1620056at2759.faa.mafft	10	160	6.25	4
fungi	1623701at2759.faa.mafft	12	213	5.633802817	4
fungi	1626636at2759.faa.mafft	0	261	0	3
fungi	1633672at2759.faa.mafft	4	118	3.389830508	4
fungi	1645187at2759.faa.mafft	8	171	4.678362573	4
fungi	166920at2759.faa.mafft	79	1486	5.31628533	4
fungi	176625at2759.faa.mafft	68	1510	4.503311258	4
fungi	179362at2759.faa.mafft	57	1384	4.11849711	4
fungi	245208at2759.faa.mafft	52	1272	4.088050314	4
fungi	257318at2759.faa.mafft	28	833	3.361344538	4
fungi	261328at2759.faa.mafft	0	1549	0	3
fungi	261419at2759.faa.mafft	0	1563	0	3
fungi	270107at2759.faa.mafft	53	1180	4.491525424	4
fungi	271586at2759.faa.mafft	45	1450	3.103448276	4
fungi	290630at2759.faa.mafft	48	960	5	4
fungi	293315at2759.faa.mafft	66	1752	3.767123288	4
fungi	296129at2759.faa.mafft	68	1198	5.676126878	4
fungi	299766at2759.faa.mafft	43	1733	2.481246394	4
fungi	306227at2759.faa.mafft	0	1145	0	3
fungi	320059at2759.faa.mafft	18	589	3.056027165	4
fungi	324863at2759.faa.mafft	60	1222	4.909983633	4
fungi	325552at2759.faa.mafft	48	658	7.294832827	4
fungi	330169at2759.faa.mafft	36	700	5.142857143	4
fungi	331411at2759.faa.mafft	40	1234	3.241491086	4
fungi	341721at2759.faa.mafft	40	1136	3.521126761	4
fungi	345441at2759.faa.mafft	0	585	0	3
fungi	355408at2759.faa.mafft	46	799	5.757196496	4
fungi	369837at2759.faa.mafft	50	880	5.681818182	4
fungi	375960at2759.faa.mafft	30	904	3.318584071	4
fungi	383503at2759.faa.mafft	28	606	4.620462046	4
fungi	388820at2759.faa.mafft	52	1258	4.13354531	4
fungi	390348at2759.faa.mafft	60	1158	5.18134715	4
fungi	392369at2759.faa.mafft	25	560	4.464285714	4
fungi	39650at2759.faa.mafft	115	2451	4.691962464	4
fungi	396755at2759.faa.mafft	59	1563	3.774792067	4
fungi	418107at2759.faa.mafft	32	531	6.026365348	4
fungi	426305at2759.faa.mafft	54	925	5.837837838	4
fungi	450058at2759.faa.mafft	28	1235	2.267206478	4
fungi	453044at2759.faa.mafft	30	565	5.309734513	4
fungi	457861at2759.faa.mafft	14	557	2.513464991	4
fungi	464990at2759.faa.mafft	26	762	3.412073491	4
fungi	491869at2759.faa.mafft	0	1208	0	2
fungi	513979at2759.faa.mafft	35	846	4.137115839	4
fungi	543764at2759.faa.mafft	34	751	4.527296937	4
fungi	549762at2759.faa.mafft	0	772	0	3
fungi	551907at2759.faa.mafft	48	1315	3.650190114	4
fungi	570797at2759.faa.mafft	21	1233	1.703163017	4
fungi	582756at2759.faa.mafft	34	719	4.728789986	4
fungi	598949at2759.faa.mafft	49	1186	4.13153457	4
fungi	604979at2759.faa.mafft	0	668	0	3
fungi	621827at2759.faa.mafft	36	611	5.89198036	4
fungi	625387at2759.faa.mafft	0	1557	0	3
fungi	655400at2759.faa.mafft	28	953	2.938090241	4
fungi	664730at2759.faa.mafft	27	539	5.009276438	4
fungi	671536at2759.faa.mafft	26	608	4.276315789	4
fungi	671846at2759.faa.mafft	23	1041	2.209414025	4
fungi	673132at2759.faa.mafft	26	502	5.179282869	4
fungi	674160at2759.faa.mafft	126	3238	3.89129092	4
fungi	674169at2759.faa.mafft	16	1131	1.414677277	4
fungi	679187at2759.faa.mafft	0	1160	0	3
fungi	679771at2759.faa.mafft	0	481	0	3
fungi	687505at2759.faa.mafft	18	477	3.773584906	4
fungi	692986at2759.faa.mafft	32	1047	3.05635148	4
fungi	708105at2759.faa.mafft	21	553	3.797468354	4
fungi	719531at2759.faa.mafft	23	553	4.159132007	4
fungi	720340at2759.faa.mafft	20	508	3.937007874	4
fungi	721605at2759.faa.mafft	0	394	0	2
fungi	722805at2759.faa.mafft	49	1701	2.880658436	4
fungi	734341at2759.faa.mafft	12	452	2.654867257	4
fungi	734666at2759.faa.mafft	31	582	5.326460481	4
fungi	736068at2759.faa.mafft	22	613	3.588907015	4
fungi	751335at2759.faa.mafft	24	641	3.744149766	4
fungi	759498at2759.faa.mafft	45	1001	4.495504496	4
fungi	761109at2759.faa.mafft	27	889	3.03712036	4
fungi	768809at2759.faa.mafft	24	581	4.13080895	4
fungi	774318at2759.faa.mafft	18	1250	1.44	4
fungi	777920at2759.faa.mafft	34	736	4.619565217	4
fungi	779909at2759.faa.mafft	26	408	6.37254902	4
fungi	801857at2759.faa.mafft	25	804	3.109452736	4
fungi	814241at2759.faa.mafft	20	668	2.994011976	4
fungi	817008at2759.faa.mafft	20	494	4.048582996	4
fungi	834694at2759.faa.mafft	31	974	3.18275154	4
fungi	836599at2759.faa.mafft	25	645	3.875968992	4
fungi	83779at2759.faa.mafft	27	720	3.75	4
fungi	844748at2759.faa.mafft	0	695	0	3
fungi	855834at2759.faa.mafft	30	868	3.456221198	4
fungi	858842at2759.faa.mafft	0	993	0	3
fungi	865202at2759.faa.mafft	15	374	4.010695187	4
fungi	866359at2759.faa.mafft	19	365	5.205479452	4
fungi	869548at2759.faa.mafft	17	306	5.555555556	4
fungi	878143at2759.faa.mafft	26	527	4.933586338	4
fungi	87842at2759.faa.mafft	44	1367	3.21872714	4
fungi	887370at2759.faa.mafft	23	842	2.731591449	4
fungi	891751at2759.faa.mafft	23	873	2.634593356	4
fungi	898782at2759.faa.mafft	23	753	3.054448871	4
fungi	901894at2759.faa.mafft	16	859	1.862630966	4
fungi	905026at2759.faa.mafft	32	1172	2.730375427	4
fungi	911863at2759.faa.mafft	24	525	4.571428571	4
fungi	917326at2759.faa.mafft	36	808	4.455445545	4
fungi	918816at2759.faa.mafft	24	829	2.895054282	4
fungi	919955at2759.faa.mafft	23	407	5.651105651	4
fungi	923657at2759.faa.mafft	22	456	4.824561404	4
fungi	924753at2759.faa.mafft	30	647	4.636785162	4
fungi	931188at2759.faa.mafft	26	685	3.795620438	4
fungi	937275at2759.faa.mafft	0	613	0	3
fungi	937686at2759.faa.mafft	0	596	0	3
fungi	939345at2759.faa.mafft	11	724	1.519337017	4
fungi	944899at2759.faa.mafft	21	369	5.691056911	4
fungi	946128at2759.faa.mafft	26	840	3.095238095	4
fungi	956854at2759.faa.mafft	0	362	0	3
fungi	97116at2759.faa.mafft	76	1483	5.124747134	4
fungi	973442at2759.faa.mafft	16	748	2.139037433	4
fungi	974865at2759.faa.mafft	20	429	4.662004662	4
fungi	975158at2759.faa.mafft	25	605	4.132231405	4
fungi	975557at2759.faa.mafft	21	872	2.408256881	4
fungi	976469at2759.faa.mafft	0	415	0	3
fungi	981902at2759.faa.mafft	20	773	2.587322122	4
fungi	996662at2759.faa.mafft	13	341	3.812316716	4
