geneID	WL3
ENSMUSG00000001768	3533
ENSMUSG00000001773	0
ENSMUSG00000001774	1039
ENSMUSG00000001783	1399
ENSMUSG00000001785	677
ENSMUSG00000001786	547
ENSMUSG00000001794	5674
ENSMUSG00000001802	0
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	0
ENSMUSG00000001823	0
ENSMUSG00000001827	3
ENSMUSG00000001829	165
ENSMUSG00000001833	3722
ENSMUSG00000001844	254
ENSMUSG00000001847	6857
ENSMUSG00000001855	889
ENSMUSG00000001864	2
ENSMUSG00000001865	32
ENSMUSG00000001870	53
ENSMUSG00000001891	1400
ENSMUSG00000001901	0
ENSMUSG00000001909	224
ENSMUSG00000001910	2335
ENSMUSG00000001911	572
ENSMUSG00000001918	261
ENSMUSG00000001924	8359
ENSMUSG00000001930	968
ENSMUSG00000001942	221
ENSMUSG00000001943	0
ENSMUSG00000001946	2
ENSMUSG00000001948	24
ENSMUSG00000001962	340
ENSMUSG00000001964	845
ENSMUSG00000001983	77
ENSMUSG00000001985	0
ENSMUSG00000001986	3
ENSMUSG00000001988	2
ENSMUSG00000001995	158
ENSMUSG00000001998	275
ENSMUSG00000001999	421
ENSMUSG00000002006	24
ENSMUSG00000002007	0
ENSMUSG00000002010	636
ENSMUSG00000002012	0
ENSMUSG00000002014	986
ENSMUSG00000002015	1635
ENSMUSG00000002017	247
ENSMUSG00000002020	11
ENSMUSG00000002028	1587
ENSMUSG00000002031	196
ENSMUSG00000002032	1
ENSMUSG00000002033	1
ENSMUSG00000002043	175
ENSMUSG00000002052	3495
ENSMUSG00000002055	112
ENSMUSG00000002057	0
ENSMUSG00000002058	208
ENSMUSG00000002059	29
ENSMUSG00000002064	653
ENSMUSG00000002068	277
ENSMUSG00000002076	6
ENSMUSG00000002083	341
ENSMUSG00000002100	101
ENSMUSG00000002102	1707
ENSMUSG00000002103	7629
ENSMUSG00000002104	2
ENSMUSG00000002105	366
ENSMUSG00000002107	1268
ENSMUSG00000002108	1221
ENSMUSG00000002109	28
ENSMUSG00000002111	9226
ENSMUSG00000002129	590
ENSMUSG00000002147	3408
ENSMUSG00000002190	0
ENSMUSG00000002204	1697
ENSMUSG00000002205	437
ENSMUSG00000002210	669
ENSMUSG00000002221	233
ENSMUSG00000002222	648
ENSMUSG00000002227	5387
ENSMUSG00000002228	16
ENSMUSG00000002233	2432
ENSMUSG00000002240	0
ENSMUSG00000002249	1
ENSMUSG00000002250	1482
ENSMUSG00000002257	284
ENSMUSG00000002265	0
ENSMUSG00000002266	0
ENSMUSG00000002274	9
ENSMUSG00000002279	184
ENSMUSG00000002280	310
ENSMUSG00000002289	2
ENSMUSG00000002297	242
ENSMUSG00000002307	6763
ENSMUSG00000002308	62
ENSMUSG00000002319	110
ENSMUSG00000002320	479
ENSMUSG00000002324	0
ENSMUSG00000002325	2120
ENSMUSG00000002326	506
ENSMUSG00000002329	68
ENSMUSG00000002332	310
ENSMUSG00000002341	0
ENSMUSG00000002342	192
ENSMUSG00000002343	48
ENSMUSG00000002345	118
ENSMUSG00000002346	35
ENSMUSG00000002365	744
ENSMUSG00000002372	843
ENSMUSG00000002379	545
ENSMUSG00000002384	0
ENSMUSG00000002393	203
ENSMUSG00000002395	453
ENSMUSG00000002396	127
ENSMUSG00000002409	171
ENSMUSG00000002413	1211
ENSMUSG00000002416	11
ENSMUSG00000002428	534
ENSMUSG00000002455	678
ENSMUSG00000002458	776
ENSMUSG00000002459	2
ENSMUSG00000002475	47
ENSMUSG00000002477	538
ENSMUSG00000002486	46
ENSMUSG00000002489	328
ENSMUSG00000002496	713
ENSMUSG00000002500	3
ENSMUSG00000002504	7
ENSMUSG00000002524	1050
ENSMUSG00000002546	1425
ENSMUSG00000002550	265
ENSMUSG00000002565	163
ENSMUSG00000002578	61
ENSMUSG00000002580	421
ENSMUSG00000002588	3
ENSMUSG00000002602	34063
ENSMUSG00000002603	4732
ENSMUSG00000002608	714
ENSMUSG00000002617	80
ENSMUSG00000002625	211
ENSMUSG00000002633	0
ENSMUSG00000002635	196
ENSMUSG00000002658	2488
ENSMUSG00000002660	120
ENSMUSG00000002661	55
ENSMUSG00000002664	0
ENSMUSG00000002668	469
ENSMUSG00000002679	277
ENSMUSG00000002688	0
ENSMUSG00000002699	4632
ENSMUSG00000002718	814
ENSMUSG00000002728	1250
ENSMUSG00000002731	145
ENSMUSG00000002732	10
ENSMUSG00000002733	555
ENSMUSG00000002741	1612
ENSMUSG00000002748	3048
ENSMUSG00000002763	278
ENSMUSG00000002767	219
ENSMUSG00000002768	711
ENSMUSG00000002769	3
ENSMUSG00000002771	11
ENSMUSG00000002778	861
ENSMUSG00000002781	105
ENSMUSG00000002797	323
ENSMUSG00000002799	3
ENSMUSG00000002803	55
ENSMUSG00000002804	49
ENSMUSG00000002808	2
ENSMUSG00000002812	5916
ENSMUSG00000002814	367
ENSMUSG00000002820	290
ENSMUSG00000002825	77
ENSMUSG00000002831	0
ENSMUSG00000002833	342
ENSMUSG00000002835	275
ENSMUSG00000002844	2239
ENSMUSG00000002845	992
ENSMUSG00000002846	159
ENSMUSG00000002847	632
ENSMUSG00000002870	295
ENSMUSG00000002871	406
ENSMUSG00000002881	1213
ENSMUSG00000002885	371
ENSMUSG00000002897	2052
ENSMUSG00000002900	2
ENSMUSG00000002908	0
ENSMUSG00000002910	115
ENSMUSG00000002930	0
ENSMUSG00000002944	16139
ENSMUSG00000002948	483
ENSMUSG00000002949	536
ENSMUSG00000002957	1220
ENSMUSG00000002963	256
ENSMUSG00000002968	424
ENSMUSG00000002980	161
ENSMUSG00000002981	2056
ENSMUSG00000002983	1853
ENSMUSG00000002984	341
ENSMUSG00000002985	13736
ENSMUSG00000002992	0
ENSMUSG00000002996	3442
ENSMUSG00000002997	285
ENSMUSG00000003031	557
ENSMUSG00000003032	201
ENSMUSG00000003033	1047
ENSMUSG00000003037	2503
ENSMUSG00000003038	1338
ENSMUSG00000003039	1309
ENSMUSG00000003051	0
ENSMUSG00000003053	0
ENSMUSG00000003062	603
ENSMUSG00000003068	1138
ENSMUSG00000003070	88
ENSMUSG00000003072	1892
ENSMUSG00000003099	751
ENSMUSG00000003119	1122
ENSMUSG00000003123	744
ENSMUSG00000003131	1643
ENSMUSG00000003134	1085
ENSMUSG00000003135	305
ENSMUSG00000003153	37
ENSMUSG00000003154	528
ENSMUSG00000003161	2202
ENSMUSG00000003166	241
ENSMUSG00000003184	343
ENSMUSG00000003190	49
ENSMUSG00000003198	85
ENSMUSG00000003199	498
ENSMUSG00000003200	584
ENSMUSG00000003206	2884
ENSMUSG00000003208	271
ENSMUSG00000003226	6364
ENSMUSG00000003227	0
ENSMUSG00000003228	116
ENSMUSG00000003233	465
ENSMUSG00000003234	391
ENSMUSG00000003235	494
ENSMUSG00000003269	738
ENSMUSG00000003271	3
ENSMUSG00000003273	0
ENSMUSG00000003279	0
ENSMUSG00000003282	58
ENSMUSG00000003283	9379
ENSMUSG00000003299	562
ENSMUSG00000003308	2902
ENSMUSG00000003309	1
ENSMUSG00000003316	1615
ENSMUSG00000003341	0
ENSMUSG00000003344	231
ENSMUSG00000003345	856
ENSMUSG00000003346	309
ENSMUSG00000003348	1693
ENSMUSG00000003352	1922
ENSMUSG00000003354	0
ENSMUSG00000003355	33
ENSMUSG00000003360	968
ENSMUSG00000003363	8626
ENSMUSG00000003378	3
ENSMUSG00000003379	0
ENSMUSG00000003380	678
ENSMUSG00000003382	9345
ENSMUSG00000003402	1569
ENSMUSG00000003410	0
ENSMUSG00000003411	0
ENSMUSG00000003418	43
ENSMUSG00000003420	97
ENSMUSG00000003421	546
ENSMUSG00000003423	271
ENSMUSG00000003429	3312
ENSMUSG00000003435	1532
ENSMUSG00000003436	0
ENSMUSG00000003437	807
ENSMUSG00000003438	273
ENSMUSG00000003444	195
ENSMUSG00000003452	2
ENSMUSG00000003458	4545
ENSMUSG00000003464	633
ENSMUSG00000003469	0
ENSMUSG00000003476	0
ENSMUSG00000003477	0
ENSMUSG00000003484	456
ENSMUSG00000003500	97
ENSMUSG00000003505	0
ENSMUSG00000003518	1157
ENSMUSG00000003526	14
ENSMUSG00000003527	261
ENSMUSG00000003528	1247
ENSMUSG00000003531	100
ENSMUSG00000003534	7
ENSMUSG00000003541	1397
ENSMUSG00000003545	17
ENSMUSG00000003546	141
ENSMUSG00000003549	154
ENSMUSG00000003555	0
ENSMUSG00000003559	41
ENSMUSG00000003573	277
ENSMUSG00000003575	238
ENSMUSG00000003581	237
ENSMUSG00000003585	10
ENSMUSG00000003604	224
ENSMUSG00000003617	611
ENSMUSG00000003623	291
ENSMUSG00000003644	1089
ENSMUSG00000003657	0
ENSMUSG00000003660	1988
ENSMUSG00000003662	384
ENSMUSG00000003665	20
ENSMUSG00000003680	208
ENSMUSG00000003721	240
ENSMUSG00000003731	1991
ENSMUSG00000003746	390
ENSMUSG00000003752	102
ENSMUSG00000003762	184
ENSMUSG00000003778	454
ENSMUSG00000003779	131
ENSMUSG00000003808	545
ENSMUSG00000003809	56
ENSMUSG00000003810	760
ENSMUSG00000003812	545
ENSMUSG00000003813	986
ENSMUSG00000003814	16209
ENSMUSG00000003824	58
ENSMUSG00000003847	1950
ENSMUSG00000003848	124
ENSMUSG00000003849	228
ENSMUSG00000003863	1356
ENSMUSG00000003865	256
ENSMUSG00000003868	254
ENSMUSG00000003872	0
ENSMUSG00000003873	743
ENSMUSG00000003882	6204
ENSMUSG00000003923	274
ENSMUSG00000003929	95
ENSMUSG00000003934	3
ENSMUSG00000003948	55
ENSMUSG00000003949	0
ENSMUSG00000003955	105
ENSMUSG00000003970	4200
ENSMUSG00000003974	0
ENSMUSG00000003992	34
ENSMUSG00000004018	65
ENSMUSG00000004031	0
ENSMUSG00000004032	20
ENSMUSG00000004035	1
ENSMUSG00000004038	0
ENSMUSG00000004040	7635
ENSMUSG00000004043	3499
ENSMUSG00000004044	66
ENSMUSG00000004054	1183
ENSMUSG00000004056	1688
ENSMUSG00000004069	471
ENSMUSG00000004070	2265
ENSMUSG00000004071	223
ENSMUSG00000004085	206
ENSMUSG00000004096	2070
ENSMUSG00000004098	250
ENSMUSG00000004099	1267
ENSMUSG00000004100	118
ENSMUSG00000004105	60
ENSMUSG00000004110	0
ENSMUSG00000004113	33
ENSMUSG00000004127	54
ENSMUSG00000004151	21
ENSMUSG00000004187	2
ENSMUSG00000004207	152407
ENSMUSG00000004221	1889
ENSMUSG00000004231	1
ENSMUSG00000004233	106
ENSMUSG00000004263	80
ENSMUSG00000004264	1159
ENSMUSG00000004266	8123
ENSMUSG00000004267	82
ENSMUSG00000004268	299
ENSMUSG00000004270	926
ENSMUSG00000004285	1699
ENSMUSG00000004296	72760
ENSMUSG00000004317	716
ENSMUSG00000004319	463
ENSMUSG00000004328	1
ENSMUSG00000004341	0
ENSMUSG00000004344	0
ENSMUSG00000004347	0
ENSMUSG00000004356	275
ENSMUSG00000004359	1408
ENSMUSG00000004360	0
ENSMUSG00000004364	1582
ENSMUSG00000004366	0
ENSMUSG00000004371	2
ENSMUSG00000004383	212
ENSMUSG00000004393	242
ENSMUSG00000004394	724
ENSMUSG00000004415	0
ENSMUSG00000004446	765
ENSMUSG00000004451	1382
ENSMUSG00000004455	596
ENSMUSG00000004460	3468
ENSMUSG00000004462	168
ENSMUSG00000004473	1
ENSMUSG00000004500	378
ENSMUSG00000004508	1904
ENSMUSG00000004530	2155
ENSMUSG00000004535	7544
ENSMUSG00000004540	0
ENSMUSG00000004542	0
ENSMUSG00000004552	19
ENSMUSG00000004558	3
ENSMUSG00000004561	89
ENSMUSG00000004562	144
ENSMUSG00000004565	303
ENSMUSG00000004567	814
ENSMUSG00000004568	41
ENSMUSG00000004591	1033
ENSMUSG00000004609	2023
ENSMUSG00000004610	12
ENSMUSG00000004612	0
ENSMUSG00000004626	1795
ENSMUSG00000004630	0
ENSMUSG00000004631	0
ENSMUSG00000004633	12
ENSMUSG00000004637	71
ENSMUSG00000004642	442
ENSMUSG00000004651	0
ENSMUSG00000004654	0
ENSMUSG00000004655	0
ENSMUSG00000004661	271
ENSMUSG00000004665	1953
ENSMUSG00000004667	485
ENSMUSG00000004668	92
ENSMUSG00000004677	3758
ENSMUSG00000004698	88
ENSMUSG00000004707	2607
ENSMUSG00000004709	102
ENSMUSG00000004730	5628
ENSMUSG00000004748	0
ENSMUSG00000004768	75
ENSMUSG00000004771	1242
ENSMUSG00000004788	559
ENSMUSG00000004789	1854
ENSMUSG00000004791	23
ENSMUSG00000004798	373
ENSMUSG00000004814	124
ENSMUSG00000004815	220
ENSMUSG00000004821	0
ENSMUSG00000004837	917
ENSMUSG00000004842	3
ENSMUSG00000004843	1070
ENSMUSG00000004846	2239
ENSMUSG00000004849	1391
ENSMUSG00000004864	18
ENSMUSG00000004865	680
ENSMUSG00000004872	0
ENSMUSG00000004880	63
ENSMUSG00000004885	3
ENSMUSG00000004891	907
ENSMUSG00000004892	0
ENSMUSG00000004894	0
ENSMUSG00000004895	510
ENSMUSG00000004896	123
ENSMUSG00000004897	2009
ENSMUSG00000004902	0
ENSMUSG00000004929	132
ENSMUSG00000004931	263
ENSMUSG00000004933	11
ENSMUSG00000004934	588
ENSMUSG00000004936	4146
ENSMUSG00000004937	1228
ENSMUSG00000004939	0
ENSMUSG00000004945	277
ENSMUSG00000004947	1845
ENSMUSG00000004948	1
ENSMUSG00000004951	5
ENSMUSG00000004952	8244
ENSMUSG00000004961	1
ENSMUSG00000004980	5715
ENSMUSG00000004988	0
ENSMUSG00000004994	230
ENSMUSG00000004996	42
ENSMUSG00000005034	850
ENSMUSG00000005043	40
ENSMUSG00000005045	15
ENSMUSG00000005054	9332
ENSMUSG00000005057	281
ENSMUSG00000005069	314
ENSMUSG00000005078	211
ENSMUSG00000005087	8953
ENSMUSG00000005089	1486
ENSMUSG00000005102	713
ENSMUSG00000005103	10496
ENSMUSG00000005107	78
ENSMUSG00000005124	2
ENSMUSG00000005125	452
ENSMUSG00000005131	0
ENSMUSG00000005142	6651
ENSMUSG00000005148	6
ENSMUSG00000005150	73
ENSMUSG00000005161	3189
ENSMUSG00000005198	2659
ENSMUSG00000005202	0
ENSMUSG00000005204	911
ENSMUSG00000005220	0
ENSMUSG00000005225	149
ENSMUSG00000005232	0
ENSMUSG00000005233	73
ENSMUSG00000005237	317
ENSMUSG00000005251	0
ENSMUSG00000005262	562
ENSMUSG00000005267	186
ENSMUSG00000005268	0
ENSMUSG00000005299	543
ENSMUSG00000005312	2038
ENSMUSG00000005320	0
ENSMUSG00000005338	0
ENSMUSG00000005339	7
ENSMUSG00000005354	875
ENSMUSG00000005355	0
ENSMUSG00000005357	0
ENSMUSG00000005360	13
ENSMUSG00000005362	1781
ENSMUSG00000005364	1
ENSMUSG00000005370	135
ENSMUSG00000005371	1022
ENSMUSG00000005373	0
ENSMUSG00000005374	97
ENSMUSG00000005378	227
ENSMUSG00000005397	19
ENSMUSG00000005410	644
ENSMUSG00000005413	41284
ENSMUSG00000005417	672
ENSMUSG00000005442	2536
ENSMUSG00000005447	141
ENSMUSG00000005465	37
ENSMUSG00000005469	649
ENSMUSG00000005470	169
ENSMUSG00000005474	1
ENSMUSG00000005481	574
ENSMUSG00000005483	898
ENSMUSG00000005493	0
ENSMUSG00000005501	650
ENSMUSG00000005503	0
ENSMUSG00000005505	224
ENSMUSG00000005506	1895
ENSMUSG00000005510	606
ENSMUSG00000005514	1722
ENSMUSG00000005533	42
ENSMUSG00000005534	198
ENSMUSG00000005540	2
ENSMUSG00000005547	0
ENSMUSG00000005553	1
ENSMUSG00000005566	949
ENSMUSG00000005575	2782
ENSMUSG00000005580	66
ENSMUSG00000005583	57
ENSMUSG00000005609	420
ENSMUSG00000005610	17072
ENSMUSG00000005611	8
ENSMUSG00000005615	1453
ENSMUSG00000005621	798
ENSMUSG00000005625	1580
ENSMUSG00000005628	0
ENSMUSG00000005640	15
ENSMUSG00000005649	0
ENSMUSG00000005656	1269
ENSMUSG00000005667	1871
ENSMUSG00000005672	17
ENSMUSG00000005674	168
ENSMUSG00000005677	0
ENSMUSG00000005681	1
ENSMUSG00000005682	239
ENSMUSG00000005683	4199
ENSMUSG00000005686	786
ENSMUSG00000005687	350
ENSMUSG00000005696	0
ENSMUSG00000005698	930
ENSMUSG00000005699	46
ENSMUSG00000005705	0
ENSMUSG00000005716	0
ENSMUSG00000005718	3
ENSMUSG00000005732	641
ENSMUSG00000005763	439
ENSMUSG00000005774	612
ENSMUSG00000005779	1647
ENSMUSG00000005800	878
ENSMUSG00000005802	670
ENSMUSG00000005803	1039
ENSMUSG00000005804	1503
ENSMUSG00000005813	1090
ENSMUSG00000005823	1174
ENSMUSG00000005824	12
ENSMUSG00000005836	3
ENSMUSG00000005846	636
ENSMUSG00000005864	0
ENSMUSG00000005871	1042
ENSMUSG00000005873	2072
ENSMUSG00000005881	878
ENSMUSG00000005882	235
ENSMUSG00000005883	0
ENSMUSG00000005886	895
ENSMUSG00000005891	0
ENSMUSG00000005892	0
ENSMUSG00000005893	595
ENSMUSG00000005897	167
ENSMUSG00000005899	270
ENSMUSG00000005907	140
ENSMUSG00000005917	0
ENSMUSG00000005936	842
ENSMUSG00000005947	13
ENSMUSG00000005949	235
ENSMUSG00000005950	344
ENSMUSG00000005951	26
ENSMUSG00000005952	0
ENSMUSG00000005958	0
ENSMUSG00000005968	23
ENSMUSG00000005973	275
ENSMUSG00000005980	0
ENSMUSG00000005981	923
ENSMUSG00000005982	608
ENSMUSG00000005983	33
ENSMUSG00000005986	24
ENSMUSG00000005994	0
ENSMUSG00000006005	10009
ENSMUSG00000006007	0
ENSMUSG00000006010	601
ENSMUSG00000006014	22
ENSMUSG00000006019	351
ENSMUSG00000006021	51
ENSMUSG00000006024	1716
ENSMUSG00000006050	480
ENSMUSG00000006056	0
ENSMUSG00000006057	607
ENSMUSG00000006058	649
ENSMUSG00000006095	880
ENSMUSG00000006127	1352
ENSMUSG00000006134	1001
ENSMUSG00000006143	0
ENSMUSG00000006154	46
ENSMUSG00000006169	2077
ENSMUSG00000006179	2
ENSMUSG00000006191	96
ENSMUSG00000006200	0
ENSMUSG00000006204	0
ENSMUSG00000006205	29
ENSMUSG00000006215	441
ENSMUSG00000006216	4
ENSMUSG00000006218	1
ENSMUSG00000006219	786
ENSMUSG00000006221	8
ENSMUSG00000006235	2
ENSMUSG00000006241	6
ENSMUSG00000006262	1284
ENSMUSG00000006269	0
ENSMUSG00000006270	0
ENSMUSG00000006273	11316
ENSMUSG00000006276	823
ENSMUSG00000006281	1873
ENSMUSG00000006288	194
ENSMUSG00000006289	214
ENSMUSG00000006299	1779
ENSMUSG00000006301	1840
ENSMUSG00000006304	15558
ENSMUSG00000006307	1066
ENSMUSG00000006310	17
ENSMUSG00000006311	0
ENSMUSG00000006313	1
ENSMUSG00000006315	126
ENSMUSG00000006333	7329
ENSMUSG00000006335	132
ENSMUSG00000006342	419
ENSMUSG00000006344	1
ENSMUSG00000006345	4
ENSMUSG00000006356	7
