barcode	column_index	rank	gene	raw_count	total_counts	detected_genes
Cell_11249_MCI	1007	38	Fau	4	1167	664
Cell_11249_MCI	1007	39	Cfh	3	1167	664
Cell_11249_MCI	1007	40	Fmo2	3	1167	664
Cell_11249_MCI	1007	41	Fkbp7	3	1167	664
Cell_11249_MCI	1007	42	Nop10	3	1167	664
Cell_11249_MCI	1007	43	B2m	3	1167	664
Cell_11249_MCI	1007	44	Gpm6b	3	1167	664
Cell_11249_MCI	1007	45	S100a6	3	1167	664
Cell_11249_MCI	1007	46	Selenbp1	3	1167	664
Cell_11249_MCI	1007	47	Nfib	3	1167	664
Cell_11249_MCI	1007	48	Rps6	3	1167	664
Cell_11249_MCI	1007	49	Rsrp1	3	1167	664
Cell_11249_MCI	1007	50	Rpl9	3	1167	664
Cell_11249_MCI	1007	51	Smim14	3	1167	664
Cell_11249_MCI	1007	52	Limch1	3	1167	664
Cell_11249_MCI	1007	53	Akr1b3	3	1167	664
Cell_11249_MCI	1007	54	Rps5	3	1167	664
Cell_11249_MCI	1007	55	Rps19	3	1167	664
Cell_11249_MCI	1007	56	Ppp1r14a	3	1167	664
Cell_11249_MCI	1007	57	Rps3	3	1167	664
Cell_11249_MCI	1007	58	Nupr1	3	1167	664
Cell_11249_MCI	1007	59	Col6a1	3	1167	664
Cell_11249_MCI	1007	60	Sec61g	3	1167	664
Cell_11249_MCI	1007	61	Rpl26	3	1167	664
Cell_11249_MCI	1007	62	Rpl23a	3	1167	664
Cell_11249_MCI	1007	63	Sept4	3	1167	664
Cell_11249_MCI	1007	64	Rpl19	3	1167	664
Cell_11249_MCI	1007	65	Rpl38	3	1167	664
Cell_11249_MCI	1007	66	Igfbp6	3	1167	664
Cell_11249_MCI	1007	67	Rpl24	3	1167	664
Cell_11249_MCI	1007	68	Rps28	3	1167	664
Cell_11249_MCI	1007	69	Rps18	3	1167	664
Cell_11249_MCI	1007	70	Cox7a2l	3	1167	664
Cell_11249_MCI	1007	71	Rab18	3	1167	664
Cell_11249_MCI	1007	72	Csrp1	2	1167	664
Cell_11249_MCI	1007	73	Itga8	2	1167	664
Cell_11249_MCI	1007	74	Plxdc2	2	1167	664
Cell_11249_MCI	1007	75	Mllt10	2	1167	664
Cell_10369_WXV	4	1	Malat1	87	2117	1205
Cell_10369_WXV	4	2	Cxcl12	64	2117	1205
Cell_10369_WXV	4	3	Fos	30	2117	1205
Cell_10369_WXV	4	4	Tmsb4x	20	2117	1205
Cell_10369_WXV	4	5	Cxcl14	19	2117	1205
Cell_10369_WXV	4	6	Jun	18	2117	1205
Cell_10369_WXV	4	7	Socs3	17	2117	1205
Cell_10369_WXV	4	8	B2m	15	2117	1205
Cell_10369_WXV	4	9	Zfp36l1	15	2117	1205
Cell_10369_WXV	4	10	Egr1	14	2117	1205
Cell_10369_WXV	4	11	Junb	13	2117	1205
Cell_10369_WXV	4	12	Klf6	13	2117	1205
Cell_10369_WXV	4	13	Btg2	12	2117	1205
Cell_10369_WXV	4	14	Gas6	12	2117	1205
Cell_10369_WXV	4	15	Klf2	12	2117	1205
Cell_10369_WXV	4	16	Igfbp4	12	2117	1205
Cell_10369_WXV	4	17	Ubc	11	2117	1205
Cell_10369_WXV	4	18	Zfp36	11	2117	1205
Cell_10369_WXV	4	19	Fosb	10	2117	1205
Cell_10369_WXV	4	20	Neat1	10	2117	1205
Cell_10369_WXV	4	21	Serpina3g	9	2117	1205
Cell_10369_WXV	4	22	Atf3	8	2117	1205
Cell_10369_WXV	4	23	Adamts1	8	2117	1205
Cell_10369_WXV	4	24	Csf1	7	2117	1205
Cell_10369_WXV	4	25	Pappa	7	2117	1205
Cell_10369_WXV	4	26	Id3	7	2117	1205
Cell_10369_WXV	4	27	Igfbp7	7	2117	1205
Cell_10369_WXV	4	28	Col1a2	7	2117	1205
Cell_10369_WXV	4	29	Btg1	7	2117	1205
Cell_10369_WXV	4	30	Gpx3	7	2117	1205
Cell_10369_WXV	4	31	Sparc	7	2117	1205
Cell_10369_WXV	4	32	Serpine2	6	2117	1205
Cell_10369_WXV	4	33	Rbm39	6	2117	1205
Cell_10369_WXV	4	34	Bgn	6	2117	1205
Cell_10369_WXV	4	35	Amotl2	6	2117	1205
Cell_10369_WXV	4	36	Col1a1	6	2117	1205
Cell_10369_WXV	4	37	Gadd45g	6	2117	1205
Cell_10369_WXV	4	38	Fstl1	6	2117	1205
Cell_10369_WXV	4	39	Rbms1	5	2117	1205
Cell_10369_WXV	4	40	Serf2	5	2117	1205
Cell_10369_WXV	4	41	Cebpb	5	2117	1205
Cell_10369_WXV	4	42	Rpl39	5	2117	1205
Cell_10369_WXV	4	43	Mgp	5	2117	1205
Cell_10369_WXV	4	44	Ftl1	5	2117	1205
Cell_10369_WXV	4	45	Ebf3	5	2117	1205
Cell_10369_WXV	4	46	Cited2	5	2117	1205
Cell_10369_WXV	4	47	Marcks	5	2117	1205
Cell_10369_WXV	4	48	Gja1	5	2117	1205
Cell_10369_WXV	4	49	Rpl18a	5	2117	1205
Cell_10369_WXV	4	50	Mt1	5	2117	1205
Cell_10369_WXV	4	51	Itm2b	5	2117	1205
Cell_10369_WXV	4	52	Tns3	5	2117	1205
Cell_10369_WXV	4	53	Rhob	5	2117	1205
Cell_10369_WXV	4	54	Son	5	2117	1205
Cell_10369_WXV	4	55	Pim1	5	2117	1205
Cell_10369_WXV	4	56	H2-D1	5	2117	1205
Cell_10369_WXV	4	57	Ptma	4	2117	1205
Cell_10369_WXV	4	58	Rrbp1	4	2117	1205
Cell_10369_WXV	4	59	Sh3glb1	4	2117	1205
Cell_10369_WXV	4	60	Lepr	4	2117	1205
Cell_10369_WXV	4	61	Actb	4	2117	1205
Cell_10369_WXV	4	62	Rps11	4	2117	1205
Cell_10369_WXV	4	63	Rps17	4	2117	1205
Cell_10369_WXV	4	64	Fus	4	2117	1205
Cell_10369_WXV	4	65	Ifitm3	4	2117	1205
Cell_10369_WXV	4	66	Oaz1	4	2117	1205
Cell_10369_WXV	4	67	Kitl	4	2117	1205
Cell_10369_WXV	4	68	Rpl41	4	2117	1205
Cell_10369_WXV	4	69	Lpl	4	2117	1205
Cell_10369_WXV	4	70	Jund	4	2117	1205
Cell_10369_WXV	4	71	Ier2	4	2117	1205
Cell_10369_WXV	4	72	Hp	4	2117	1205
Cell_10369_WXV	4	73	Hspa8	4	2117	1205
Cell_10369_WXV	4	74	Tpm1	4	2117	1205
Cell_10369_WXV	4	75	Eef1a1	4	2117	1205
