barcode	tissue	rank	gene	raw_count
Cell_11249_MCI	Spleen	5	Wt1os	0
Cell_11249_MCI	Spleen	6	Coch	0
Cell_11249_MCI	Spleen	7	Mapk13	0
Cell_11249_MCI	Spleen	8	Hand2	0
Cell_11249_MCI	Spleen	9	Col4a6	0
Cell_11249_MCI	Spleen	10	Nkain4	0
Cell_11249_MCI	Spleen	11	Rspo1	0
Cell_11249_MCI	Spleen	12	Bst1	0
Cell_11249_MCI	Spleen	13	Barx1	0
Cell_11249_MCI	Spleen	14	Ackr4	0
Cell_11249_MCI	Spleen	15	Col6a5	0
Cell_10369_WXV	Bone	1	Col1a2	7
Cell_10369_WXV	Bone	2	Sparc	7
Cell_10369_WXV	Bone	3	Col1a1	6
Cell_10369_WXV	Bone	4	Gja1	5
Cell_10369_WXV	Bone	5	Tpm1	4
Cell_10369_WXV	Bone	6	Runx1	4
Cell_10369_WXV	Bone	7	Cfh	3
Cell_10369_WXV	Bone	8	Spp1	3
Cell_10369_WXV	Bone	9	S100a9	3
Cell_10369_WXV	Bone	10	Stk17b	2
Cell_10369_WXV	Bone	11	Col5a2	2
Cell_10369_WXV	Bone	12	Cdh11	2
Cell_10369_WXV	Bone	13	Lmo7	2
Cell_10369_WXV	Bone	14	Lox	2
Cell_10369_WXV	Bone	15	Fgfr2	2
Cell_10369_WXV	Brown adipose	1	Fgl2	1
Cell_10369_WXV	Brown adipose	2	Sfrp2	1
Cell_10369_WXV	Brown adipose	3	Adh7	1
Cell_10369_WXV	Brown adipose	4	Tbx15	1
Cell_10369_WXV	Brown adipose	5	Mme	1
Cell_10369_WXV	Brown adipose	6	Ptx3	1
Cell_10369_WXV	Brown adipose	7	Srd5a1	0
Cell_10369_WXV	Brown adipose	8	Il18	0
Cell_10369_WXV	Brown adipose	9	Procr	0
Cell_10369_WXV	Brown adipose	10	Stmn4	0
Cell_10369_WXV	Brown adipose	11	Prg4	0
Cell_10369_WXV	Brown adipose	12	Mmp27	0
Cell_10369_WXV	Brown adipose	13	Il1r2	0
Cell_10369_WXV	Brown adipose	14	Tnmd	0
Cell_10369_WXV	Brown adipose	15	Kcnk5	0
Cell_10369_WXV	Epididymal adipose	1	Hp	4
Cell_10369_WXV	Epididymal adipose	2	Hoxc8	1
Cell_10369_WXV	Epididymal adipose	3	Adgrf5	1
Cell_10369_WXV	Epididymal adipose	4	Trf	0
Cell_10369_WXV	Epididymal adipose	5	Ugt1a7c	0
Cell_10369_WXV	Epididymal adipose	6	Wt1	0
Cell_10369_WXV	Epididymal adipose	7	Col6a5	0
Cell_10369_WXV	Epididymal adipose	8	Ampd3	0
Cell_10369_WXV	Epididymal adipose	9	Anxa9	0
Cell_10369_WXV	Epididymal adipose	10	Mmd2	0
Cell_10369_WXV	Epididymal adipose	11	Wt1os	0
Cell_10369_WXV	Epididymal adipose	12	Aspa	0
Cell_10369_WXV	Epididymal adipose	13	Ugt1a6b	0
Cell_10369_WXV	Epididymal adipose	14	Krt14	0
Cell_10369_WXV	Epididymal adipose	15	Nt5e	0
Cell_10369_WXV	Inguinal adipose	1	Cxcl14	19
Cell_10369_WXV	Inguinal adipose	2	Adh7	1
Cell_10369_WXV	Inguinal adipose	3	Igfbp5	1
Cell_10369_WXV	Inguinal adipose	4	Col5a3	1
Cell_10369_WXV	Inguinal adipose	5	Sfrp2	1
Cell_10369_WXV	Inguinal adipose	6	Tbx15	1
Cell_10369_WXV	Inguinal adipose	7	Mme	1
Cell_10369_WXV	Inguinal adipose	8	Hoxc8	1
Cell_10369_WXV	Inguinal adipose	9	Ptx3	1
Cell_10369_WXV	Inguinal adipose	10	Nrep	0
Cell_10369_WXV	Inguinal adipose	11	Mmp27	0
Cell_10369_WXV	Inguinal adipose	12	Esr1	0
Cell_10369_WXV	Inguinal adipose	13	Il1r2	0
Cell_10369_WXV	Inguinal adipose	14	Srd5a1	0
Cell_10369_WXV	Inguinal adipose	15	Il18	0
Cell_10369_WXV	Lymph node	1	Cxcl12	64
Cell_10369_WXV	Lymph node	2	Serpina3g	9
Cell_10369_WXV	Lymph node	3	Ebf3	5
Cell_10369_WXV	Lymph node	4	Lepr	4
Cell_10369_WXV	Lymph node	5	S1pr3	4
Cell_10369_WXV	Lymph node	6	Tmem176b	3
Cell_10369_WXV	Lymph node	7	Tmem176a	3
Cell_10369_WXV	Lymph node	8	Apoe	3
Cell_10369_WXV	Lymph node	9	Tifa	3
Cell_10369_WXV	Lymph node	10	Nudt4	2
Cell_10369_WXV	Lymph node	11	Chrdl1	2
Cell_10369_WXV	Lymph node	12	C4b	2
Cell_10369_WXV	Lymph node	13	Epas1	2
Cell_10369_WXV	Lymph node	14	Wdr86	2
Cell_10369_WXV	Lymph node	15	Vcam1	2
Cell_10369_WXV	Liver	1	Gas6	12
Cell_10369_WXV	Liver	2	Pappa	7
Cell_10369_WXV	Liver	3	Tns3	5
Cell_10369_WXV	Liver	4	Synpo	3
Cell_10369_WXV	Liver	5	Tmem176a	3
Cell_10369_WXV	Liver	6	Apoe	3
Cell_10369_WXV	Liver	7	Bmp4	2
Cell_10369_WXV	Liver	8	Thsd4	2
Cell_10369_WXV	Liver	9	Fgfr2	2
Cell_10369_WXV	Liver	10	Smoc1	2
Cell_10369_WXV	Liver	11	Tnc	2
Cell_10369_WXV	Liver	12	Ncam1	1
Cell_10369_WXV	Liver	13	Ninl	1
Cell_10369_WXV	Liver	14	Tnfrsf19	1
Cell_10369_WXV	Liver	15	Cdh2	1
Cell_10369_WXV	Lung	1	Cxcl14	19
Cell_10369_WXV	Lung	2	Mgp	5
Cell_10369_WXV	Lung	3	Tns3	5
Cell_10369_WXV	Lung	4	Cebpb	5
Cell_10369_WXV	Lung	5	Lepr	4
Cell_10369_WXV	Lung	6	Tmem176a	3
Cell_10369_WXV	Lung	7	Tmem176b	3
Cell_10369_WXV	Lung	8	Cst3	3
Cell_10369_WXV	Lung	9	Cfh	3
Cell_10369_WXV	Lung	10	Cdh11	2
Cell_10369_WXV	Lung	11	Skil	2
Cell_10369_WXV	Lung	12	Vcam1	2
Cell_10369_WXV	Lung	13	Pde5a	2
Cell_10369_WXV	Lung	14	Sh3bgrl	1
Cell_10369_WXV	Lung	15	Tnfrsf19	1
Cell_10369_WXV	Mesentery	1	Hoxc8	1
Cell_10369_WXV	Mesentery	2	Wt1	0
Cell_10369_WXV	Mesentery	3	Hand2	0
Cell_10369_WXV	Mesentery	4	Ackr4	0
Cell_10369_WXV	Mesentery	5	A730020M07Rik	0
Cell_10369_WXV	Mesentery	6	Nkx2-3	0
Cell_10369_WXV	Mesentery	7	Wnt2b	0
Cell_10369_WXV	Mesentery	8	Krt14	0
Cell_10369_WXV	Mesentery	9	C1qtnf3	0
Cell_10369_WXV	Mesentery	10	Enpp3	0
Cell_10369_WXV	Mesentery	11	Vit	0
Cell_10369_WXV	Mesentery	12	Insrr	0
Cell_10369_WXV	Mesentery	13	Agr2	0
Cell_10369_WXV	Mesentery	14	Sycn	0
Cell_10369_WXV	Mesentery	15	Piezo2	0
Cell_10369_WXV	Omentum	1	Serpina3g	9
Cell_10369_WXV	Omentum	2	Hp	4
Cell_10369_WXV	Omentum	3	Ier5	3
Cell_10369_WXV	Omentum	4	Gdpd2	2
Cell_10369_WXV	Omentum	5	Syne1	2
Cell_10369_WXV	Omentum	6	Ier3	2
Cell_10369_WXV	Omentum	7	Fgfr2	2
Cell_10369_WXV	Omentum	8	Cstf3	1
Cell_10369_WXV	Omentum	9	Fosl2	1
Cell_10369_WXV	Omentum	10	Tiparp	1
Cell_10369_WXV	Omentum	11	Sbno2	1
Cell_10369_WXV	Omentum	12	H2-Q7	1
Cell_10369_WXV	Omentum	13	Mt2	1
Cell_10369_WXV	Omentum	14	Ifi44	1
Cell_10369_WXV	Omentum	15	Dusp5	1
Cell_10369_WXV	Pancreas	1	Cxcl14	19
Cell_10369_WXV	Pancreas	2	Spp1	3
Cell_10369_WXV	Pancreas	3	Tnfrsf19	1
Cell_10369_WXV	Pancreas	4	Cpa1	0
Cell_10369_WXV	Pancreas	5	Try4	0
Cell_10369_WXV	Pancreas	6	Amy2a4	0
Cell_10369_WXV	Pancreas	7	Hand2	0
Cell_10369_WXV	Pancreas	8	Cela1	0
Cell_10369_WXV	Pancreas	9	Sycn	0
Cell_10369_WXV	Pancreas	10	Cela2a	0
Cell_10369_WXV	Pancreas	11	Prss2	0
Cell_10369_WXV	Pancreas	12	Try5	0
Cell_10369_WXV	Pancreas	13	2210010C04Rik	0
Cell_10369_WXV	Pancreas	14	Ctrb1	0
Cell_10369_WXV	Pancreas	15	Clps	0
Cell_10369_WXV	Spleen	1	Gdpd2	2
Cell_10369_WXV	Spleen	2	Ugt1a7c	0
Cell_10369_WXV	Spleen	3	Wt1	0
Cell_10369_WXV	Spleen	4	Prlr	0
Cell_10369_WXV	Spleen	5	Wt1os	0
Cell_10369_WXV	Spleen	6	Coch	0
Cell_10369_WXV	Spleen	7	Mapk13	0
Cell_10369_WXV	Spleen	8	Hand2	0
Cell_10369_WXV	Spleen	9	Col4a6	0
Cell_10369_WXV	Spleen	10	Nkain4	0
Cell_10369_WXV	Spleen	11	Rspo1	0
Cell_10369_WXV	Spleen	12	Bst1	0
Cell_10369_WXV	Spleen	13	Barx1	0
Cell_10369_WXV	Spleen	14	Ackr4	0
Cell_10369_WXV	Spleen	15	Col6a5	0
