>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Slc17a9	5.38352360977968	1.54307378237168e-38	2.43922285284324e-36
Smox	4.16036341393888	2.40579162919213e-38	3.73777534892028e-36
Atp2a1	8.54418210487034	3.54012205220365e-38	5.46888514075938e-36
St3gal6	2.64666008991448	1.12652680051513e-37	1.70161873217811e-35
Slc20a2	2.82805809580856	1.3612856718539e-37	2.04486166475335e-35
Fxyd6	2.18861380302148	1.61394062500215e-36	2.28549123193663e-34
Gpcpd1	2.30597019369648	1.78636450775642e-36	2.51655257002017e-34
Col12a1	4.67301135738026	1.01746344630507e-35	1.40425449957303e-33
Ptn	3.70106992545425	1.54457660065758e-35	2.12098450481207e-33
Hapln1	7.31027459943311	2.363777421793e-35	3.19744996622537e-33
Anxa8	4.74428771005374	2.75625428752041e-35	3.70989098135606e-33
Myo1d	3.82548793063536	2.95166183927251e-35	3.95333663783155e-33
Sorbs2	5.25040391549413	3.31985278691249e-35	4.40309645967628e-33
Mybpc2	8.79850923603204	7.22978138262735e-35	9.40528832594522e-33
Matn4	5.1378742955288	9.16273616390934e-35	1.18631254076443e-32
Hspb6	4.38185624620153	1.30373411303328e-34	1.64870822322148e-32
Car3	6.93193848103531	2.85069076956209e-34	3.58830700618628e-32
Rom1	2.58102645932658	4.14426939244504e-34	5.16874039042147e-32
Myo1e	3.01416905254598	5.36979699077224e-34	6.6363368355503e-32
Lmo7	5.79046519075595	6.74165462509819e-34	8.29406550234365e-32
Fibin	2.54344096185319	2.39047394942583e-33	2.90154447370263e-31
Ppfia2	7.32088146881484	3.86032591594913e-33	4.64417704994429e-31
Slc8a3	7.5844602410014	4.46221185504403e-33	5.3446289923697e-31
Bcar3	4.50413102972266	1.32262321030076e-32	1.53024691339861e-30
Bglap	18.7600801303405	1.54627109791712e-32	1.78142224073172e-30
Magi2	3.31251227747575	3.1785802056791e-32	3.58599241544436e-30
Ano1	3.82851560368832	3.52282928317779e-32	3.95794237108764e-30
Gm10123	19.0491662035326	6.98971679827548e-32	7.72534187106959e-30
Vdr	5.72152551091061	1.35974858424923e-31	1.48474715892178e-29
Cyfip2	7.67984968767926	1.66501599106376e-31	1.80359042952321e-29
Chn1	6.63633138319142	1.85195961818735e-31	1.99023438967967e-29
Mamdc2	2.71659968897297	2.08318120396753e-31	2.22990605333359e-29
Cpz	3.38988467721782	2.34207181759477e-31	2.48744494721032e-29
Npnt	4.8329020078823	2.34110650508827e-31	2.48744494721032e-29
Ptprk	2.41119365796566	4.77456370128419e-31	4.95479436924488e-29
Trpv4	3.4546073465829	9.26900213877786e-31	9.54601890724361e-29
Lipc	13.1035242782458	1.9387686204949e-30	1.97427640534217e-28
Gtf2ird1	2.74020498773168	2.11164753829732e-30	2.14229794473007e-28
Nrbp2	2.17206719573569	3.33184080907976e-30	3.33049337345844e-28
Tdrp	4.25010445891194	4.61402858821426e-30	4.54531968423759e-28
Phex	4.97251826835255	7.57374293325043e-30	7.40728405079662e-28
Gnai1	2.08864221453051	1.10672846270773e-29	1.06705106994896e-27
Mthfd2	3.08468254712495	4.30055488723972e-29	3.96365379081901e-27
Ddx59	2.45602891843559	1.43897207869849e-28	1.2998077025825e-26
Arhgef19	4.69312155418602	1.67373041120396e-28	1.50685616391471e-26
Col8a2	4.11465947004162	3.54088711716488e-28	3.15649769929822e-26
Kalrn	3.58775523842447	4.14351062736732e-28	3.68163106037549e-26
Etl4	3.96668518224969	4.33173886182139e-28	3.83634032293361e-26
Lox	2.52164561258077	4.67052975779596e-28	4.12295563586735e-26
Nedd9	2.45052494739211	6.24943599370647e-28	5.46353425186126e-26
Mical3	2.26311057804932	7.31358318347719e-28	6.37336580690901e-26
Dync1i1	6.79142102823023	9.93462412276457e-28	8.57499984996336e-26
Enpp6	7.39378555806906	1.05149200810022e-27	9.04715702792307e-26
Daam2	2.73133256158068	1.46141916760117e-27	1.24170392962213e-25
Comp	9.87324442722266	1.53502400742387e-27	1.30017968030678e-25
Igf2	5.0176023638131	1.70232218640938e-27	1.437404904543e-25
Mertk	2.42890298801425	2.04768017314612e-27	1.71834494529845e-25
Ptprs	2.64057672262221	2.57582239746681e-27	2.15489338968385e-25
Mpzl2	4.90179499767494	4.1568538362182e-27	3.44575301685783e-25
Hid1	3.94758829321773	4.62919256561188e-27	3.82562664639579e-25
Efna1	2.59552562562006	5.90449168107806e-27	4.83545856375998e-25
Dusp14	2.43150443443578	9.02016374060331e-27	7.29908428402569e-25
Ptprz1	7.7428222815555	1.33662760419931e-26	1.07202265281932e-24
Satb2	8.96667075543118	1.55326062719406e-26	1.23846343673839e-24
Ldb3	5.7534606190143	1.60414679912323e-26	1.27529670530297e-24
Tiam2	4.25467458427741	2.5310018010838e-26	1.98315296742557e-24
Chad	14.4912346762305	7.05185839530131e-26	5.37067165013578e-24
Hoxc10	7.44634850331565	7.10192340800135e-26	5.39369261285331e-24
Fgfr2	3.12988746788856	8.72865252380912e-26	6.61067781253053e-24
Rab27b	5.58854470376354	9.54078928735304e-26	7.20568110927338e-24
Acan	11.2519253935824	1.50124975057706e-25	1.12755468144861e-23
Lmcd1	4.59034219647042	2.8672937730213e-25	2.11844702159446e-23
Spata13	4.58836878721172	3.5993142094993e-25	2.63778312781877e-23
Mipep	2.8522733661501	5.69188782570716e-25	4.14897421161265e-23
Nkd2	2.35154934662471	8.09846429329356e-25	5.82510967381901e-23
Me1	2.18974512294835	1.02590349576253e-24	7.35970716260885e-23
Ehd3	2.5293587271932	1.30018689622361e-24	9.30283724247992e-23
Rnf144b	5.54380836355219	2.45906477249693e-24	1.74113312758904e-22
Cybrd1	4.45315506611353	2.54619884387697e-24	1.79348705611842e-22
Lratd1	4.14227913469245	2.62804743247578e-24	1.84635611476961e-22
Sema4d	6.98512740853114	3.39761321025006e-24	2.36865911726894e-22
Nupr1	2.08256813927906	3.73300616396325e-24	2.58920164775502e-22
Myo10	2.99870871615146	4.42419843718047e-24	3.0453045900886e-22
Myo1b	3.51755124629316	4.8821360698634e-24	3.35203024251303e-22
Creb3l3	3.73904460033966	1.05473492697998e-23	7.08078714312563e-22
Fam234b	2.35034716783219	1.07705955053324e-23	7.21285027572619e-22
Flvcr2	3.41277292413488	1.14480455439099e-23	7.6476882135962e-22
Bambi	3.95351868644541	4.52649966327458e-23	2.96556624927163e-21
Cfh	2.432439815375	1.49597741191436e-22	9.59295515390085e-21
Kifc3	2.82368040960977	3.56385596486306e-22	2.22242384928123e-20
Gal	6.66053887073279	4.72750885532288e-22	2.9346173120405e-20
Rhbdl2	5.27473977048151	4.8007498450107e-22	2.96653608036355e-20
Cacnb3	2.1545833660956	5.71235977928105e-22	3.50594469613708e-20
Bcl2l11	2.69656864784656	5.82360080489002e-22	3.56616851991339e-20
Zfp385b	3.33584760952314	6.42966011446881e-22	3.91964190251777e-20
Tsc22d1	2.29175883186218	7.51932921443423e-22	4.57366984365218e-20
Nt5dc2	2.67586486489957	1.34003780875945e-21	8.06068318193818e-20
Impdh1	2.52651053026666	1.87963162988011e-21	1.11827799529126e-19
Col8a1	5.13001056192976	2.54896477089461e-21	1.5066044164316e-19
Ddit4l	4.47922783527169	3.23325705824319e-21	1.90279277395182e-19
Shc2	3.88227758847049	3.43736461678429e-21	2.01854225843948e-19
Hspb7	3.79666425785134	5.51408886313531e-21	3.21722236265635e-19
Pth1r	3.82128054271713	5.97616104255937e-21	3.4719197133792e-19
Prr5l	2.34340260505117	1.45760208874088e-20	8.25640483141163e-19
Pla2g5	8.90512707327983	2.52740376002315e-20	1.41578754488244e-18
Rflnb	3.28155557131161	3.56055048387601e-20	1.97970975677106e-18
Sox6	2.46193019059039	8.09169047018925e-20	4.40891727843638e-18
Phtf2	2.20690668345885	9.61673947356028e-20	5.17376520662325e-18
Serpinf1	2.14295225892878	1.00621274155169e-19	5.39603909862899e-18
Tnni2	6.86230273153081	1.06201606963364e-19	5.68408561363561e-18
Map2k6	2.44521560653333	1.3765718396417e-19	7.29583075010103e-18
Camk4	3.85760826589327	1.48690760567645e-19	7.83479280828236e-18
Angptl7	3.8102421697177	1.80520116535747e-19	9.42065537138276e-18
Chil1	7.72262201030215	2.25837416449946e-19	1.16735618172197e-17
Cgref1	6.65152233596818	3.46846695552076e-19	1.76269435614306e-17
Zbed5	2.54206294501345	3.50186502304718e-19	1.77634716626175e-17
Nuak1	2.49663457264854	3.58943565227715e-19	1.81737739198815e-17
Fat3	6.83235429231539	3.85902141222555e-19	1.94662213686457e-17
Inhba	3.26439370721055	4.15596473843249e-19	2.08866035625214e-17
Ranbp3l	9.95575840972745	5.78937990596701e-19	2.88292033449335e-17
Rap1gap	4.15030018160201	7.39190078373425e-19	3.65415255289001e-17
Gars	2.00928365374561	7.43644649293758e-19	3.66950170048058e-17
Chsy1	2.18848658257793	9.49406812335026e-19	4.65106699469856e-17
Pdgfa	2.72249197798186	1.13720269920807e-18	5.5411118617864e-17
Grb14	3.24358108758052	1.37904979038118e-18	6.69553299119179e-17
Fam167a	4.52867126885428	1.45323699629068e-18	7.04314807346653e-17
Entpd3	12.971249717389	1.72178341601492e-18	8.28558748637695e-17
Kcnma1	6.08922645706346	1.75368733444429e-18	8.42420581911763e-17
Fkbp11	2.19635498765093	2.03939723384249e-18	9.71088815953478e-17
Mtss1	2.31450290070448	2.24490076247674e-18	1.05599665797543e-16
Emid1	4.75157907485391	2.46416385860122e-18	1.15713559847165e-16
Cdkn1a	2.37778436651729	2.53809589764431e-18	1.18979809243191e-16
Bmi1	2.02255944903558	3.3979557721666e-18	1.58740583315185e-16
Cpxm2	2.38710452965721	3.63743824184815e-18	1.69346418420564e-16
Clec11a	2.33368992242627	3.91698682992074e-18	1.82049495587547e-16
Mcub	2.10271147913761	3.9400961884245e-18	1.82811049943812e-16
Zfp185	3.16052980161043	6.14756164500597e-18	2.80917737085828e-16
Col24a1	9.16024631375319	7.27359547255827e-18	3.29054554581342e-16
Ccn2	2.58336035919479	9.24679649495239e-18	4.11694979801955e-16
Ica1	4.42182367224749	9.47078501245163e-18	4.20753551803182e-16
Actn3	3.332010774505	9.87542834324684e-18	4.38014716516376e-16
2010300C02Rik	5.76125844728107	1.07988203031334e-17	4.77413211742917e-16
Arl4c	2.82537990057726	1.1206363489279e-17	4.94626326152608e-16
Klf12	2.5039860673468	1.34569648900745e-17	5.89181028013263e-16
Megf6	4.62538724058087	1.60078195724747e-17	6.95266144338683e-16
Loxl4	2.56214553429395	1.72970130992263e-17	7.47676453346364e-16
C1qtnf3	2.38398886280339	1.95368877366948e-17	8.40488039039549e-16
Gm15663	2.35740616686717	2.68037269555973e-17	1.13869770655584e-15
Chst11	4.05632526700166	2.77746565981277e-17	1.1762696857422e-15
Sdc1	2.21132686776733	3.45562089592864e-17	1.45216192487487e-15
Nrm	2.06421805723773	4.01672473380805e-17	1.68275391043924e-15
Cd109	4.15845158979237	5.48187102906329e-17	2.26316680263216e-15
Tnnc2	14.0480935704159	5.50197295340043e-17	2.26316680263216e-15
Col13a1	5.92769215362842	5.65541707765585e-17	2.32273617710551e-15
Rai14	2.22830186127177	7.59066239335173e-17	3.08955867983294e-15
Zbtb7c	2.86470025354448	7.82830973109193e-17	3.181523367394e-15
C130050O18Rik	7.57575357208483	8.41192575028077e-17	3.40852234313538e-15
Myoc	4.55017756693611	1.05625414355916e-16	4.2420227340074e-15
Slc35g1	3.10681285369809	1.09451237676218e-16	4.38918834982109e-15
Elmo1	3.29509377287522	1.58328520608958e-16	6.27521012658447e-15
Rassf4	5.92219815706192	1.67346083570831e-16	6.6229587572159e-15
Mlf1	4.30299631883522	2.0354294859782e-16	7.99729657431522e-15
Chodl	6.28699491385582	3.55453819412901e-16	1.37278890568428e-14
S100a8	12.6633022124885	3.68892434378936e-16	1.41664073422724e-14
Lrrc15	8.4665924512287	3.87652775293414e-16	1.48658551586074e-14
Cspg4	4.60150713632219	3.97719760809903e-16	1.52090050304648e-14
Hbegf	3.30788827861586	4.36127786805104e-16	1.66076728227507e-14
1700066M21Rik	3.74691272557482	4.89615185097064e-16	1.8592384451961e-14
Timp1	2.41598655077661	6.55842654198693e-16	2.46634936722106e-14
Lrrfip2	2.01639438809544	7.38291145425507e-16	2.76384282730036e-14
Tnc	5.39087859618183	8.79022616743542e-16	3.26053832559893e-14
Sp7	12.0076289532744	1.19955995500525e-15	4.4133742377047e-14
Cd276	2.19070480362076	1.2595752099633e-15	4.62791761941785e-14
Atp1b3	2.14306948254044	1.27263760083583e-15	4.66330778020557e-14
Dapk2	3.51444491878401	1.35002744762644e-15	4.92696594275373e-14
Plxnb1	3.60849055277229	1.7231440952538e-15	6.23842407534696e-14
Proser2	4.93729982550886	2.03795012787066e-15	7.31730709100143e-14
Abra	5.85364756442211	2.08023967343193e-15	7.45186251395793e-14
Gcnt1	5.23841558614855	2.44251498025818e-15	8.71516270318107e-14
Trib2	3.12714167945842	3.37005459179458e-15	1.18536111638167e-13
P2ry10b	2.98614661083275	3.37922389121022e-15	1.18705062504024e-13
Tpm2	2.17081481610157	3.72721819898557e-15	1.30089005920692e-13
Net1	2.21632242900214	3.8194559199685e-15	1.33137419241056e-13
Pkp4	2.46193792678574	4.32131178315998e-15	1.50053826401452e-13
Sh3bgr	2.69650961897033	4.36851973857e-15	1.51499595882627e-13
Kcnk1	10.5107777135323	4.8216996618053e-15	1.66578388951492e-13
Chn2	2.86954026167689	6.04774132562936e-15	2.04528283601755e-13
Eya4	3.2853809601456	6.387957040038e-15	2.14953173219794e-13
Pwwp3b	2.86816267359752	6.84530250319811e-15	2.30058009591413e-13
Fap	3.66005175025056	7.97364797159621e-15	2.67318760418902e-13
Thbs2	2.42673095762955	8.10872666901069e-15	2.71512523896221e-13
Sncaip	2.4407091433627	8.36700839540274e-15	2.79129559831417e-13
Lrp4	2.66876919063514	8.8040460515477e-15	2.92632283735367e-13
Slc12a7	3.20722775902657	8.96697889454207e-15	2.97320962394761e-13
Adamts17	2.86745049471993	1.12097252880579e-14	3.68093261904598e-13
Tob1	2.21337239953367	1.40324925212381e-14	4.55829676415701e-13
Fgfr3	4.2966605385541	1.69488184030816e-14	5.4406307386232e-13
Larp1b	2.00804339091642	1.77572409166025e-14	5.68001909742947e-13
Ptpn4	2.25318743512253	1.94737574507675e-14	6.22176253030456e-13
Ackr4	2.17592266705582	2.31638005782882e-14	7.33178782215457e-13
Emb	3.9856741520924	3.14065542542812e-14	9.83770511082547e-13
Slc22a23	4.1352073518149	3.4173203793523e-14	1.0655220618602e-12
Ankrd23	3.60697933299738	3.91807796320468e-14	1.21331004261471e-12
Prph	3.95830391060024	4.22859275590665e-14	1.30352361775069e-12
Pde4d	2.4540007501281	5.49162725941129e-14	1.66828886654898e-12
Myo19	2.27927292137171	5.89549975244152e-14	1.7869870988755e-12
Fbn2	2.31548423805162	6.49737396731521e-14	1.965040053363e-12
Aldh1l2	3.86776014865787	6.54450663189943e-14	1.97709545349682e-12
Gm38391	2.28025938860182	6.79316080786912e-14	2.04766351668684e-12
Hipk2	2.66855241063066	7.47427147099755e-14	2.23562119939441e-12
Ngp	13.9233199156786	7.77150218716749e-14	2.32197113150436e-12
Edn2	5.93554747109828	8.53895544261074e-14	2.54288783712096e-12
Thbs4	6.30477174901765	1.03385204495706e-13	3.05205247017779e-12
Pde7b	2.71281210110299	1.12179312020676e-13	3.30091267806295e-12
Spp1	9.95612017028416	1.34087544520136e-13	3.9285627671961e-12
Atp1a1	2.19792131824348	1.90201428535683e-13	5.49562873587321e-12
Palmd	4.11556598770071	2.54825842366546e-13	7.2397699353229e-12
Bhlhe40	2.08858476644997	3.03531915755611e-13	8.57872064187038e-12
Lgals2	3.73946128604188	3.40719927705701e-13	9.57997323101375e-12
Eps8l2	3.86519509991475	3.57273970357028e-13	1.00143525567394e-11
Gm15387	14.1855582627789	4.18250628964896e-13	1.16395254359535e-11
Gm765	4.44089267074968	4.61055628349963e-13	1.27654190215959e-11
Satb1	2.90039737071231	8.06740894566508e-13	2.1912565616752e-11
Pak1	3.66130527066779	9.52038075294813e-13	2.570502803296e-11
Tent5a	2.02676095340798	1.1147794456833e-12	2.98912606988988e-11
Rgcc	4.29541643863576	1.19612783606542e-12	3.1977895511094e-11
Capn6	2.08968619811204	1.33241505629211e-12	3.54471946825109e-11
Tmem56	3.03099332092142	1.33699570728205e-12	3.55342876689068e-11
Tnfrsf23	2.04465673476007	1.51252472659526e-12	3.99262473702899e-11
Ccdc68	2.45567976755825	1.66852807776129e-12	4.38738973948275e-11
Pygm	2.06998969367234	2.0810626708812e-12	5.44057816909509e-11
Kera	9.17828394545715	2.15076728273012e-12	5.60126548373077e-11
Mob3b	2.04225824044813	2.44364134838002e-12	6.32161414092334e-11
Smpd3	2.3499140589285	2.50936257882677e-12	6.48546189693167e-11
Sdc3	4.20255900032811	3.43471745370815e-12	8.70331154229924e-11
Rapgef4	4.35876236666953	3.62020259679938e-12	9.13942593577892e-11
Car2	5.4185720785997	4.13377423562918e-12	1.03683752483876e-10
Bglap2	20.0138630110134	4.92517235117071e-12	1.22741073378534e-10
Enpp1	2.85477664866624	5.0239468274681e-12	1.24973550129945e-10
Fzd5	2.19013724317706	6.14413935914658e-12	1.51728433275056e-10
Mab21l2	7.68898358725958	6.71122235386995e-12	1.64536902235681e-10
Slc39a14	2.10179170444794	6.96099225958275e-12	1.7004709662695e-10
Fmnl3	3.45401063416977	8.26618128831228e-12	2.00489922433472e-10
Espn	3.50257995555784	1.26490437591086e-11	3.02189675604358e-10
Hoxa10	7.54838784736924	1.26855871030706e-11	3.02551252408234e-10
Ramp1	2.22521669183061	1.55476555808632e-11	3.67267773751598e-10
Ndnf	2.53793460298876	1.65079999044706e-11	3.89276677712619e-10
Col9a1	9.72850873531744	1.68022380572659e-11	3.95871794227906e-10
Mmp13	17.4616506971155	1.91609095374864e-11	4.49884256834817e-10
Ddah1	3.50847049927041	3.22305719434198e-11	7.40758259145934e-10
Tceal3	3.10142774401828	3.31104559664433e-11	7.60337996006441e-10
Nt5e	2.34548963993417	3.48242378283448e-11	7.99017892248832e-10
Olfml2a	2.09528466126082	3.66073754266047e-11	8.37105071887262e-10
Mest	2.01225333504933	4.77217219473694e-11	1.07766270600251e-09
Bmp5	2.87558009753081	4.7989808230723e-11	1.08273189462979e-09
S100b	2.84774410595549	4.8025843720752e-11	1.08273189462979e-09
Ltf	13.3716638514068	4.99957418945676e-11	1.12156289304571e-09
Ngef	2.16561372099917	5.61019414711432e-11	1.25337361270248e-09
Fetub	3.27824427649549	7.3397169145749e-11	1.61717636296902e-09
Spns2	2.9299282217413	7.43386161948117e-11	1.63394715903051e-09
S1pr1	3.98324002912508	1.04662692124286e-10	2.26566396191658e-09
Pthlh	2.02328116969319	1.21708223645026e-10	2.6200513797978e-09
Shox2	6.58973150900099	1.61147758112458e-10	3.40968591075456e-09
Galnt5	5.37811859167833	1.9943428501243e-10	4.17430236736179e-09
Lcn2	2.92092276717665	2.23006578313005e-10	4.62496251544797e-09
Lrrn1	5.17471791783179	2.69270425100259e-10	5.49639158262082e-09
Car12	9.01616866139963	2.73629193389006e-10	5.57698960948553e-09
Tuba8	4.90334444461933	2.97630583707785e-10	6.04804031422345e-09
AU021092	4.13158416920426	3.07485843142927e-10	6.21116834265457e-09
Frzb	4.78572111853825	3.21505429694074e-10	6.4703265195797e-09
Crispld1	2.8598278779941	3.57804054083222e-10	7.1322099900797e-09
Sesn2	2.04133381090924	4.36152541141991e-10	8.64956341437607e-09
Zdbf2	2.20591565210229	4.98668365161281e-10	9.81063254730106e-09
Angptl1	3.19267487576059	6.95214848044883e-10	1.34343969463343e-08
Nfkbid	3.67309105213553	6.97408337826067e-10	1.34672125690007e-08
Smpdl3b	2.7836207832196598	9.7014400288792e-10	1.84456260800837e-08
Chchd10	3.97816755984582	9.81400556764636e-10	1.86466105785281e-08
Ier3	2.1708329171821	1.02980432131006e-09	1.95253484603202e-08
Sla2	7.28871830212912	1.05161843041089e-09	1.9925054706928e-08
Aldoc	4.95169062013562	1.09662723785169e-09	2.07200819805071e-08
Musk	2.21558924539286	1.14789627894206e-09	2.16136786206064e-08
Tbx15	4.52071033575101	1.17903356060265e-09	2.21233564383889e-08
Mlip	12.9441157593788	1.24656123252903e-09	2.32142146241313e-08
Evi2a	2.91022967668796	1.69502375249973e-09	3.10343439775859e-08
Slurp1	6.3100438694365	1.85769112948232e-09	3.38530590613236e-08
Shisal1	3.00670416715435	2.04747962178161e-09	3.69855799124584e-08
Marcksl1	2.03947627014741	2.09757505767276e-09	3.78440399754908e-08
Cd24a	2.998218164428	2.30273644356954e-09	4.1082087378092e-08
Pde4b	2.13709935704444	2.47362633754374e-09	4.37575969365496e-08
Gfra1	4.46218355633112	2.71394637512578e-09	4.78220920241703e-08
Intu	2.66799793544721	2.8122217575445e-09	4.94256608699918e-08
Slc38a1	2.79598238761545	2.87730577703276e-09	5.04716559817702e-08
Ndufa4l2	2.12453815951289	2.88168903739203e-09	5.05013530222842e-08
Lpcat2	2.46238051057196	3.07366140894995e-09	5.35360538423704e-08
Robo2	3.88894105633181	3.41914460608331e-09	5.93634244538946e-08
