DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-05-11	27918534	Chu AY	2016-12-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27918534	Multiethnic genome-wide meta-analysis of ectopic fat depots identifies loci associated with adipocyte development and differentiation.	Pericardial adipose tissue adjusted for height and weight	3,684 European ancestry women, 3,640 European ancestry men, 1,284 African American women, 877 African American men, 746 Hispanic Ancestry women, 699 Hispanic ancestry men, 390 Asian ancestry women, 378 Asian ancestry men,  294 Old Order Amish (founder/genetic isolate) women, 248 Old Order Amish (founder/genetic isolate) men.	NA	Affymetrix, Illumina [~ 2600000] (imputed)	5	pericardial adipose tissue measurement, body weight, body height	http://www.ebi.ac.uk/efo/EFO_0007890, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004339	GCST003968	Genome-wide genotyping array
2018-11-09	27918534	Chu AY	2016-12-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27918534	Multiethnic genome-wide meta-analysis of ectopic fat depots identifies loci associated with adipocyte development and differentiation.	Pericardial adipose tissue adjusted for height and weight	3,640 European ancestry men, 877 African American men, 699 Hispanic ancestry men, 378 Asian ancestry men, 248 Old Order Amish (founder/genetic isolate) men.	NA	Affymetrix, Illumina [~ 2600000] (imputed)	1	pericardial adipose tissue measurement, body weight, body height	http://www.ebi.ac.uk/efo/EFO_0007890, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004339	GCST006543	Genome-wide genotyping array
2018-11-09	27918534	Chu AY	2016-12-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27918534	Multiethnic genome-wide meta-analysis of ectopic fat depots identifies loci associated with adipocyte development and differentiation.	Pericardial adipose tissue adjusted for height and weight	3,684 European ancestry women, 1,284 African American women, 746 Hispanic Ancestry women, 390 Asian ancestry women, 294 Old Order Amish (founder/genetic isolate) women	NA	Affymetrix, Illumina [~ 2600000] (imputed)	3	pericardial adipose tissue measurement, body weight, body height	http://www.ebi.ac.uk/efo/EFO_0007890, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004339	GCST006544	Genome-wide genotyping array
2017-06-21	28270201	Nagy R	2017-03-07	Genome Med	www.ncbi.nlm.nih.gov/pubmed/28270201	Exploration of haplotype research consortium imputation for genome-wide association studies in 20,032 Generation Scotland participants.	Height	19,965 British ancestry individuals from 6863 families.	NA	Illumina [24111857] (imputed)	32	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST004212	Genome-wide genotyping array
2017-08-17	28548082	Southam L	2017-05-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28548082	Whole genome sequencing and imputation in isolated populations identify genetic associations with medically-relevant complex traits.	Height	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	Illumina [at least 13541454] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST004534	Genome-wide genotyping array
2019-12-02	31453325	Wang H	2019-08-14	Sci Adv	www.ncbi.nlm.nih.gov/pubmed/31453325	Genotype-by-environment interactions inferred from genetic effects on phenotypic variability in the UK Biobank.	Height	347,086 European ancestry individuals	NA	NR [5554549] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST009142	Genome-wide genotyping array
2019-11-27	31453325	Wang H	2019-08-14	Sci Adv	www.ncbi.nlm.nih.gov/pubmed/31453325	Genotype-by-environment interactions inferred from genetic effects on phenotypic variability in the UK Biobank.	Height variance	347,086 European ancestry individuals	NA	NR [5554549] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST009111	Genome-wide genotyping array
2021-06-01	31596850	Turchin MC	2019-10-09	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/31596850	Bayesian multivariate reanalysis of large genetic studies identifies many new associations.	Body morphological traits (multivariate analysis)	up to 224,459 individuals	NA	NR [up to 2363881]	0	BMI-adjusted waist-hip ratio, body mass index, body height	http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004339	GCST011764	Genome-wide genotyping array
2019-10-23	31564439	Fang H	2019-09-26	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/31564439	Harmonizing Genetic Ancestry and Self-identified Race/Ethnicity in Genome-wide Association Studies.	Height	up to 248,507 non-Hispanic white individuals, up to 68,155 non-Hispanic black individuals, up to 25,847 Hispanic individuals, up to 3,054 Asian ancestry individuals	NA	Affymetrix [723305]	39	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008904	Genome-wide genotyping array
2019-01-14	30124842	Yengo L	2018-08-16	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30124842	Meta-analysis of genome-wide association studies for height and body mass index in ∼700000 individuals of European ancestry.	Body mass index	456,426 European ancestry individuals, 224,849 individuals	NA	NR [~ 2400000] (imputed)	0	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST006900	Genome-wide genotyping array
2019-01-14	30124842	Yengo L	2018-08-16	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30124842	Meta-analysis of genome-wide association studies for height and body mass index in ∼700000 individuals of European ancestry.	Height	456,426 European ancestry individuals, 237,103 individuals	NA	NR [~ 2400000] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST006901	Genome-wide genotyping array
2019-02-07	30108283	Granot-Hershkovitz E	2018-08-14	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30108283	A study of Kibbutzim in Israel reveals risk factors for cardiometabolic traits and subtle population structure.	Height	733 Ashkenazi Jewish ancestry individuals (founder/population isolate), 168 Sephardi Jewish, North African Jewish, Middle Eastern, Caucasian and Yemenite Jewish individuals	1,620 individuals	Illumina [212505] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST007057	Genome-wide genotyping array
2020-02-06	31840077	Couto Alves A	2019-09-04	Sci Adv	www.ncbi.nlm.nih.gov/pubmed/31840077	GWAS on longitudinal growth traits reveals different genetic factors influencing infant, child, and adult BMI.	Peak height velocity	6,933 European ancestry children	NA	Affymetrix, Illumina [up to 2543888] (imputed)	0	growth rate measurement	http://www.ebi.ac.uk/efo/EFO_0010572	GCST009551	Genome-wide genotyping array
2019-10-16	31562340	Akiyama M	2019-09-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31562340	Characterizing rare and low-frequency height-associated variants in the Japanese population.	Height	159,095 Japanese ancestry individuals	32,692 Japanese ancestry individuals	Illumina [27896057] (imputed)	608	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008839	Genome-wide genotyping array
2020-06-11	31902109	Li D	2020-01-04	Genes Genomics	www.ncbi.nlm.nih.gov/pubmed/31902109	Progressive effects of single-nucleotide polymorphisms on 16 phenotypic traits based on longitudinal data.	Physiological traits	up to 6,835 Korean ancestry individuals	NA	Affymetrix [305158]	5	waist circumference, body weight, body mass index, body height	http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004339	GCST010063	Genome-wide genotyping array
2020-06-11	31902109	Li D	2020-01-04	Genes Genomics	www.ncbi.nlm.nih.gov/pubmed/31902109	Progressive effects of single-nucleotide polymorphisms on 16 phenotypic traits based on longitudinal data.	Physiological traits	up to 6,835 Korean ancestry individuals	NA	Affymetrix [305158]	10	waist circumference, longitudinal BMI measurement, body weight, body height	http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0005937, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004339	GCST010059	Genome-wide genotyping array
2020-01-27	31681408	Yang XL	2019-10-11	Front Genet	www.ncbi.nlm.nih.gov/pubmed/31681408	Three Novel Loci for Infant Head Circumference Identified by a Joint Association Analysis.	Birth length (MTAG)	up to 182,902 European ancestry individuals	NA	NR [1977400] (imputed)	27	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST009499	Genome-wide genotyping array
2021-02-11	32652002	Dauber A	2020-07-11	J Clin Endocrinol Metab	www.ncbi.nlm.nih.gov/pubmed/32652002	A Genomewide Pharmacogenetic Study of Growth Hormone Responsiveness.	First year height change in growth hormone-treated short stature	504 European ancestry individuals, 88 individuals	113 Brazilian individuals	Illumina [~ 2000000] (imputed)	2	response to growth hormone, height growth measurement	http://www.ebi.ac.uk/efo/EFO_0010969, http://www.ebi.ac.uk/efo/EFO_0005201	GCST011107	Genome-wide genotyping array
2019-09-16	31367044	Locke AE	2019-07-31	Nature	www.ncbi.nlm.nih.gov/pubmed/31367044	Exome sequencing of Finnish isolates enhances rare-variant association power.	Cardiometabolic traits	up to 19,292 Finnish ancestry individuals	24,776 Finnish ancestry individuals	NR [at least 1318781]	0	ketone body measurement, alcohol consumption measurement, body mass index, linoleic acid measurement, glycerophospholipid measurement, fatty acid measurement, glomerular filtration rate, insulin measurement, BMI-adjusted fasting blood glucose measurement, body fat percentage, glutamine measurement, lipoprotein measurement, glycine measurement, 3-hydroxybutyric acid measurement, body height, pulse pressure measurement, leucine measurement, hip circumference, serum albumin measurement, valine measurement, waist circumference, omega-3 polyunsaturated fatty acid measurement, sphingomyelin measurement, total cholesterol measurement, C-reactive protein measurement, adiponectin measurement, high density lipoprotein cholesterol measurement, phenylalanine measurement, creatinine measurement, systolic blood pressure, histidine measurement, body weight, glucose measurement, vitamin D measurement, docosahexaenoic acid measurement, acetoacetate measurement, tyrosine measurement, isoleucine measurement, omega-6 polyunsaturated fatty acid measurement, acetate measurement, pyruvate measurement, waist-hip ratio, citrate measurement, alanine measurement, diastolic blood pressure, triglyceride measurement, very low density lipoprotein cholesterol measurement, glycoprotein measurement, low density lipoprotein cholesterol measurement, apolipoprotein A 1 measurement, fasting blood insulin measurement, intermediate density lipoprotein measurement, apolipoprotein B measurement	http://www.ebi.ac.uk/efo/EFO_0010110, http://www.ebi.ac.uk/efo/EFO_0007878, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0006807, http://www.ebi.ac.uk/efo/EFO_0007630, http://www.ebi.ac.uk/efo/EFO_0005110, http://www.ebi.ac.uk/efo/EFO_0005208, http://www.ebi.ac.uk/efo/EFO_0004467, http://www.ebi.ac.uk/efo/EFO_0008036, http://www.ebi.ac.uk/efo/EFO_0007800, http://www.ebi.ac.uk/efo/EFO_0009768, http://www.ebi.ac.uk/efo/EFO_0004732, http://www.ebi.ac.uk/efo/EFO_0009767, http://www.ebi.ac.uk/efo/EFO_0010113, http://www.ebi.ac.uk/efo/EFO_0004339, http://www.ebi.ac.uk/efo/EFO_0005763, http://www.ebi.ac.uk/efo/EFO_0009770, http://www.ebi.ac.uk/efo/EFO_0005093, http://www.ebi.ac.uk/efo/EFO_0004535, http://www.ebi.ac.uk/efo/EFO_0009792, http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0010119, http://www.ebi.ac.uk/efo/EFO_0010118, http://www.ebi.ac.uk/efo/EFO_0004574, http://www.ebi.ac.uk/efo/EFO_0004458, http://www.ebi.ac.uk/efo/EFO_0004502, http://www.ebi.ac.uk/efo/EFO_0004612, http://www.ebi.ac.uk/efo/EFO_0005001, http://www.ebi.ac.uk/efo/EFO_0004518, http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0009769, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004468, http://www.ebi.ac.uk/efo/EFO_0004631, http://www.ebi.ac.uk/efo/EFO_0007761, http://www.ebi.ac.uk/efo/EFO_0010111, http://www.ebi.ac.uk/efo/EFO_0005058, http://www.ebi.ac.uk/efo/EFO_0009793, http://www.ebi.ac.uk/efo/EFO_0005680, http://www.ebi.ac.uk/efo/EFO_0010112, http://www.ebi.ac.uk/efo/EFO_0010117, http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0010114, http://www.ebi.ac.uk/efo/EFO_0009765, http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0008317, http://www.ebi.ac.uk/efo/EFO_0004555, http://www.ebi.ac.uk/efo/EFO_0004611, http://www.ebi.ac.uk/efo/EFO_0004614, http://www.ebi.ac.uk/efo/EFO_0004466, http://www.ebi.ac.uk/efo/EFO_0008595, http://www.ebi.ac.uk/efo/EFO_0004615	GCST008673	Exome-wide sequencing
2021-08-25	33547071	Bonfante B	2021-02-05	Sci Adv	www.ncbi.nlm.nih.gov/pubmed/33547071	A GWAS in Latin Americans identifies novel face shape loci, implicating VPS13B and a Denisovan introgressed region in facial variation.	Facial morphology (nose height)	6,169 Latin American individuals	NA	Illumina [8703729] (imputed)	1	nose morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007843	GCST90026551	Genome-wide genotyping array
2021-05-18	32902719	Hebbar P	2020-09-09	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/32902719	Genome-wide landscape establishes novel association signals for metabolic traits in the Arab population.	Height	2,732 Kuwaiti ancestry individuals	NA	Illumina [up to 1520000] (imputed)	4	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST011692	Genome-wide genotyping array, Targeted genotyping array
2019-07-02	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	Height	17,286 African American individuals, 22,192 Hispanic/Latino individuals, 4,680 Asian ancestry individuals, 3,939 Native Hawaiian ancestry individuals, 647 Native American ancestry individuals, 1,052 individuals	NA	Illumina [34656550] (imputed)	214	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008053	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	Height	303,288 European ancestry individuals	NA	Illumina [~ 2500000] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008040	Genome-wide genotyping array
2019-07-01	31217584	Wojcik GL	2019-06-19	Nature	www.ncbi.nlm.nih.gov/pubmed/31217584	Genetic analyses of diverse populations improves discovery for complex traits.	Height	253,288 European ancestry individuals, 17,286 African American individuals, 22,192 Hispanic/Latino individuals, 4,680 Asian ancestry individuals, 3,939 Native Hawaiian ancestry individuals, 647 Native American ancestry individuals, 1,052 individuals	NA	Illumina [~ 2500000] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008041	Genome-wide genotyping array
2020-07-23	32499652	Asgari S	2020-05-13	Nature	www.ncbi.nlm.nih.gov/pubmed/32499652	A positively selected FBN1 missense variant reduces height in Peruvian individuals.	Height	598 Peruvian individuals	NA	Illumina [NR]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST010311	Genome-wide genotyping array
2020-07-23	32499652	Asgari S	2020-05-13	Nature	www.ncbi.nlm.nih.gov/pubmed/32499652	A positively selected FBN1 missense variant reduces height in Peruvian individuals.	Height	3,134 Peruvian individuals	598 Peruvian individuals	Affymetrix [7756401] (imputed)	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90002224	Genome-wide genotyping array
2019-05-21	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Height	approximately 458,000 European ancestry individuals	NA	NR [~ 8900000] (imputed)	2451	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST007841	Genome-wide genotyping array
2010-09-10	20668459	Kim HN	2010-07-29	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20668459	Genetic variants that affect length/height in infancy/early childhood in Vietnamese-Korean families.	Height	518 Vietnamese-Korean ancestry individuals from 165 families	NA	Illumina [269888]	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000744	Genome-wide genotyping array
2008-09-17	18391952	Weedon MN	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391952	Genome-wide association analysis identifies 20 loci that influence adult height.	Height	13,665 European ancestry individuals	16,482 European ancestry individuals	Affymetrix [402951]	20	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000174	Genome-wide genotyping array
2009-07-24	19570815	Estrada K	2009-07-01	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/19570815	A genome-wide association study of northwestern Europeans involves the C-type natriuretic peptide signaling pathway in the etiology of human height variation.	Height	10,074 European ancestry individuals	6,912 European ancestry individuals	Affymetrix, Illumina, Perlegen [2228850] (imputed)	5	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000431	Genome-wide genotyping array
2013-05-31	23449627	Cousminer DL	2013-02-27	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/23449627	Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity.	Pubertal anthropometrics	up to 5,043 European ancestry males, up to 5,756 European ancestry females	NA	Affymetrix, Illumina [~ 2500000] (imputed)	14	puberty, height growth measurement	http://www.ebi.ac.uk/efo/EFO_0001382, http://www.ebi.ac.uk/efo/EFO_0005201	GCST001876	Genome-wide genotyping array
2013-05-31	23449627	Cousminer DL	2013-02-27	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/23449627	Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity.	Pubertal anthropometrics	7,161 European ancestry males, 6,879 European ancestry females	5,133 European ancestry males, 4,577 European ancestry females	Affymetrix, Illumina [~ 2500000] (imputed)	11	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST001875	Genome-wide genotyping array
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Height	8,097 European ancestry tall individuals, 8,099 European ancestry short individuals	4,872 European ancestry tall individuals, 4,831 European ancestry short individuals	Affymetrix, Illumina [~ 2800000] (imputed)	86	anthropometric measurement	http://www.ebi.ac.uk/efo/EFO_0004302	GCST001956	Genome-wide genotyping array
2009-09-28	19729412	Tonjes A	2009-09-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/19729412	Genetic variation in GPR133 is associated with height: genome wide association study in the self-contained population of Sorbs.	Height	929 Sorbian (founder/genetic isolate) individuals	5,758 European ancestry individuals	Affymetrix [390619]	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000475	Genome-wide genotyping array
2009-09-28	17767157	Weedon MN	2007-09-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17767157	A common variant of HMGA2 is associated with adult and childhood height in the general population.	Height	4,921 European ancestry individuals	19,064 European ancestry adult individuals, 6,827 European ancestry children	Affymetrix [364301]	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000068	Genome-wide genotyping array
2009-09-28	18193045	Sanna S	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193045	Common variants in the GDF5-UQCC region are associated with variation in human height.	Height	1,084 European ancestry cases, 1,287 European ancestry controls, 4,298 European individuals	23,684 European ancestry individuals, 3,860 African American individuals	Affymetrix, Illumina [~ 2261000] (imputed)	5	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000136	Genome-wide genotyping array
2010-05-11	20397748	Liu JZ	2010-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20397748	Genome-wide association study of height and body mass index in Australian twin families.	Body mass index	11,536 European ancestry individuals	NA	Illumina [559712] (imputed)	2	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST000642	Genome-wide genotyping array
2010-05-11	20397748	Liu JZ	2010-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20397748	Genome-wide association study of height and body mass index in Australian twin families.	Height	11,536 European ancestry individuals	NA	Illumina [559712] (imputed)	8	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000644	Genome-wide genotyping array
2009-12-04	19893584	Kim JJ	2009-11-06	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19893584	Identification of 15 loci influencing height in a Korean population.	Height	8,842 Korean ancestry individuals	NA	Affymetrix [334546]	15	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000522	Genome-wide genotyping array
2009-04-22	19343178	Soranzo N	2009-04-03	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19343178	Meta-analysis of genome-wide scans for human adult stature identifies novel Loci and associations with measures of skeletal frame size.	Height	12,611 European ancestry individuals	7,187 European ancestry individuals	Illumina [229216]	20	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000372	Genome-wide genotyping array
2009-10-15	19197348	Lowe JK	2009-02-06	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19197348	Genome-wide association studies in an isolated founder population from the Pacific Island of Kosrae.	Quantitative traits	2,906 Kosraen individuals	NA	Affymetrix [408775]	33	waist circumference, total cholesterol measurement, body fat distribution, C-reactive protein measurement, body mass index, high density lipoprotein cholesterol measurement, body height, diastolic blood pressure, triglyceride measurement, systolic blood pressure, low density lipoprotein cholesterol measurement, body weight, thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0004574, http://www.ebi.ac.uk/efo/EFO_0004341, http://www.ebi.ac.uk/efo/EFO_0004458, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004612, http://www.ebi.ac.uk/efo/EFO_0004339, http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0004611, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004748	GCST000337	Genome-wide genotyping array
2009-05-05	19396169	Cho YS	2009-04-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19396169	A large-scale genome-wide association study of Asian populations uncovers genetic factors influencing eight quantitative traits.	Height	8,842 Korean ancestry individuals	7,861 Korean ancestry individuals	Affymetrix [2156535] (imputed)	5	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000380	Genome-wide genotyping array
