GroupBy(field-2)	GroupBy(field-21)	GroupBy(field-23)	count(field-1)
1489388	n	n	2
1489739	n	n	1
1489872	n	n	7
1489904	n	n	1
1489907	n	n	1
1489922	n	n	2
1519186	Nguyenibacter	n	1
154827	Xyrauchen	Xyrauchen texanus	2
1574408	Cervus	Cervus canadensis	6
1582122	Centrocardita	Centrocardita aculeata	1
1582485	Saccostomus	Saccostomus umbriventer	1
158456	Betta	Betta splendens	1
159077	Nerophis	Nerophis ophidion	1
159646	Elgaria	Elgaria multicarinata	2
160734	Plectropomus	Plectropomus leopardus	1
161590	Syngnathus	Syngnathus scovelli	1
1620838	Sundasciurus	Sundasciurus steerii	1
162266	n	n	1
1660251	n	Acidobacteria bacterium Mor1	1
168172	Puccinia	Puccinia striiformis	1
169417	n	n	2
170555	Timema	Timema monikensis	2
1706337	Neophocaena	Neophocaena asiaeorientalis	2
170820	Hemiscyllium	Hemiscyllium ocellatum	2
173311	Selaroides	Selaroides leptolepis	1
173327	Alepes	Alepes djedaba	2
175124	Melanocharis	Melanocharis nigra	1
175245	n	uncultured fungus	1
175797	Silurus	Silurus meridionalis	1
175836	Buceros	Buceros rhinoceros	1
1763	Mycobacterium	n	1
176946	Python	Python bivittatus	4
181119	Pseudopodoces	Pseudopodoces humilis	1
182642	Rhabdosargus	Rhabdosargus sarba	1
182852	Raja	Raja asterias	1
184440	Centropristis	Centropristis striata	2
185453	Chrysochloris	Chrysochloris asiatica	3
186622	n	n	1
186623	n	n	1
186625	n	n	4
1868482	Carlito	Carlito syrichta	35
186990	Hipposideros	Hipposideros armiger	6
1871048	Devosia	Devosia sp.	1
1871763	Pireneitega	Pireneitega burqinensis	1
188132	Poeciliopsis	Poeciliopsis prolifica	1
1883	Streptomyces	n	2
1884717	Pteronotus	Pteronotus mesoamericanus	11
1904441	n	Paracoccaceae bacterium	1
1913961	n	Rhizobiaceae bacterium	1
1914294	Colletotrichum	Colletotrichum paranaense	1
1916347	Boletus	Boletus sp.	1
192404	Sturnira	Sturnira hondurensis	7
1934379	Dichotomopilus	Dichotomopilus funicola	1
194408	Rhinatrema	Rhinatrema bivittatum	1
195615	Hippoglossus	Hippoglossus stenolepis	1
195883	Laodelphax	Laodelphax striatellus	1
197043	Homalodisca	Homalodisca vitripennis	1
197562	n	n	2
1979941	Medioppia	Medioppia subpectinata	1
2	n	n	1
2026714	n	Candidatus Bathyarchaeota archaeon	1
202946	Apteryx	Apteryx mantelli	19
203118	Tor	Tor khudree	1
205130	Mastacembelus	Mastacembelus armatus	1
2057741	Bradyrhizobium	Bradyrhizobium sp. SK17	1
206145	Mene	Mene maculata	1
2069713	Pseudopucrolia	Pseudopucrolia discrepans	1
207598	n	n	4722
208091	Papio	Papio kindae	1
210409	Portunus	Portunus trituberculatus	1
210642	Atilax	Atilax paludinosus	1
210647	Helogale	Helogale parvula	1
214504	n	n	1
214514	Perognathus	Perognathus longimembris	11
214687	Musa	Musa acuminata	1
215243	Exophiala	Exophiala oligosperma	1
215402	Channa	Channa argus	1
2161677	Kordiimonas	Kordiimonas pumila	1
216307	n	n	1
22	Shewanella	n	2
225400	Myotis	Myotis davidii	2
2290929	Trichomycterus	Trichomycterus rosablanca	1
2315601	Friunavirus	Friunavirus Aci08	1
232080	Fusarium	n	1
238834	Clostridium	Clostridium estertheticum	1
241271	Cheilinus	Cheilinus undulatus	1
241299	Halichoeres	Halichoeres radiatus	1
244455	Pleuronichthys	Pleuronichthys cornutus	2
246437	Tupaia	Tupaia chinensis	14
249018	Saccopteryx	Saccopteryx leptura	1
2529329	Sirthenea	Sirthenea atra	2
2529337	Sirthenea	Sirthenea obscura	1
253017	Impatiens	Impatiens glandulifera	1
2546036	Lampris	Lampris incognitus	1
2559380	Geokichla	Geokichla sibirica	1
257877	Macaca	Macaca thibetana	9
2587831	Terrapene	Terrapene triunguis	2
2593676	Streptomyces	n	1
260574	n	Arthropoda environmental sample	3
260645	Pangshura	Pangshura tentoria	1
260995	Geotrypetes	Geotrypetes seraphini	2
261503	Rhineura	Rhineura floridana	1
2617518	Micromonospora	n	1
2624327	Trachelomonas	n	1
2652245	Boiga	Boiga flaviviridis	1
2652724	Exaiptasia	Exaiptasia diaphana	1
2657486	Devosia	Devosia beringensis	1
2694929	Pontibacter	Pontibacter russatus	2
269649	Chionomys	Chionomys nivalis	3
2715852	Cebus	Cebus imitator	27
27405	Penaeus	Penaeus japonicus	1
2743705	n	n	1
274613	Schistocerca	Schistocerca piceifrons	1
2746895	Balaenoptera	Balaenoptera ricei	4
2750025	Streptomyces	Streptomyces sp. CB00271	1
2759	n	n	284
27606	Eubalaena	Eubalaena glacialis	1
27610	Lagenorhynchus	Lagenorhynchus albirostris	1
27615	Kogia	Kogia breviceps	1
27622	Molossus	Molossus molossus	3
27675	Choloepus	Choloepus didactylus	9
27720	Hoplias	Hoplias malabaricus	1
27794	Dermochelys	Dermochelys coriacea	1
278164	Alosa	Alosa alosa	1
28105	Sinorhizobium	n	1
28377	Anolis	Anolis carolinensis	1
2841284	n	Cirratulidae sp. B ZW-2021	1
286	Pseudomonas	n	1
28612	Rhagoletis	Rhagoletis zephyria	1
2871826	Symbiopectobacterium	Symbiopectobacterium purcellii	1
28737	Elephantulus	Elephantulus edwardii	5
2895475	Pseudomonas	Pseudomonas sp. B21-019	1
2897299	Xenia	Xenia sp. Carnegie-2017	1
2903747	Streptomyces	Streptomyces sp. NBC_01089	1
2903833	Streptomyces	Streptomyces sp. NBC_01351	1
2903893	Streptomyces	Streptomyces sp. NBC_01525	1
29078	Eptesicus	Eptesicus fuscus	1
29088	Neomonachus	Neomonachus schauinslandi	1
291302	Miniopterus	Miniopterus natalensis	7
29139	Vombatus	Vombatus ursinus	1
2920391	Phrynoderma	Phrynoderma kerala	1
2920935	Aestuariibaculum	Aestuariibaculum lutulentum	1
29278	n	n	4
2930961	Sclomina	Sclomina xingrensis	1
2934340	Halocatena	Halocatena salina	1
2936362	Laeocathaica	Laeocathaica amdoana	1
29382	Staphylococcus	Staphylococcus cohnii	15
2962336	Mesoceration	Mesoceration languidum	1
296876	Eurya	Eurya acuminatissima	1
2975139	n	Hypsibiidae sp.	1
29760	Vitis	Vitis vinifera	3
29780	Mangifera	Mangifera indica	1
299321	Denticeps	Denticeps clupeoides	1
2995304	Nannocystis	Nannocystis poenicansa	1
301838	Lygodactylus	Lygodactylus madagascariensis	1
301848	Lygodactylus	Lygodactylus miops	1
3024416	n	Desulfatiglandales bacterium	1
3026424	Bremerella	Bremerella sp. P1	1
3036374	Nocardioides	Nocardioides sp. BP30	5
30427	Haemorhous	Haemorhous mexicanus	1
305	Ralstonia	Ralstonia solanacearum	1
30532	Dama	Dama dama	5
30538	Vicugna	Vicugna pacos	10
30560	n	n	12
30591	Aotus	Aotus azarai	1
3060593	n	Candidatus Cloacimonadales bacterium	1
30608	Microcebus	Microcebus murinus	9
30611	Otolemur	Otolemur garnettii	17
30640	Sciurus	Sciurus carolinensis	9
30657	n	n	5
3068	Volvox	Volvox carteri	1
3072905	n	n	1
30799	Labrus	n	1
310915	Pangasianodon	Pangasianodon hypophthalmus	1
3111325	Thermococcus	Thermococcus sp. SY098	1
3111921	Micromonospora	Micromonospora sp. CCTCC AA 2012012	1
311790	n	n	5
3119969	Bubalus	Bubalus kerabau	1
3136022	n	n	2
314145	n	n	93
314146	n	n	601
314147	n	n	6
314293	n	n	1379
314295	n	n	2383
32443	n	n	1
32523	n	n	42
32524	n	n	284
32525	n	n	90
325434	Malaya	Malaya genurostris	1
32561	n	n	6
32630	n	synthetic construct	27
327061	Annulohypoxylon	Annulohypoxylon truncatum	8
328815	Manacus	Manacus vitellinus	1
33154	n	n	52
33208	n	n	5
33213	n	n	186
33317	n	n	4
33386	n	n	1
33392	n	n	1
33511	n	n	2
33528	Gambusia	Gambusia affinis	1
33548	Colobus	Colobus guereza	1
33550	n	n	3
33554	n	n	3
33562	Dromiciops	Dromiciops gliroides	2
335738	Angaria	n	1
336983	Colobus	Colobus angolensis	27
337677	n	n	4
337687	n	n	12
337730	n	n	8
337963	n	n	2
338152	n	n	2
34098	Blattabacterium	n	1
341122	Triplophysa	n	1
341733	Paraplagusia	Paraplagusia japonica	1
3451	Aquilegia	Aquilegia vulgaris	1
3469	Papaver	Papaver somniferum	1
34772	Alosa	n	1
34839	Chinchilla	Chinchilla lanigera	5
34880	Nyctereutes	Nyctereutes procyonoides	5
34884	Callorhinus	Callorhinus ursinus	1
34886	Eumetopias	Eumetopias jubatus	2
35500	n	n	6
356302	Chitinimonas	Chitinimonas koreensis	1
35658	Mastomys	Mastomys coucha	5
360545	Phascolosoma	Phascolosoma turnerae	1
36100	Haliotis	Haliotis rubra	1
36270	n	n	1
364024	Prosopis	Prosopis cineraria	1
366907	Crossorhombus	Crossorhombus azureus	1
367110	Neurospora	Neurospora crassa	1
36723	Mustela	Mustela erminea	1
36922	Diaporthe	n	1
37029	Prionailurus	Prionailurus bengalensis	1
37032	Suricata	Suricata suricatta	5
37181	Budorcas	Budorcas taxicolor	2
37293	Aotus	Aotus nancymaae	26
373261	Ammothella	Ammothella spinifera	1
373272	Austrodecus	Austrodecus glaciale	1
37572	n	n	1
375764	Sphaeramia	Sphaeramia orbicularis	1
37613	Vidua	n	1
376911	n	n	3
376913	n	n	52
376915	n	n	6
376917	n	n	5
379532	Propithecus	Propithecus coquereli	7
379583	n	n	1
379584	n	n	7
38070	n	n	28
3817	Arachis	n	2
3827	Cicer	Cicer arietinum	1
384384	Pemphigus	Pemphigus matsumurai	1
38609	n	n	1
38626	Phascolarctos	Phascolarctos cinereus	2
386614	Amblyraja	Amblyraja radiata	1
38674	Onychomys	Onychomys torridus	2
38727	Panicum	Panicum virgatum	1
38775	Antechinus	Antechinus flavipes	1
390379	Thalassophryne	Thalassophryne amazonica	1
39087	n	n	5
39107	n	n	8
391180	Enhydra	Enhydra lutris	3
392815	Chlorocebus	n	2
39432	Saimiri	Saimiri boliviensis	36
39638	Agelaius	Agelaius phoeniceus	1
399045	Notodromas	Notodromas monacha	1
400727	Pomacea	Pomacea canaliculata	3
400783	n	n	1
40151	Monodon	Monodon monoceros	2
40234	n	n	1
40323	Stenotrophomonas	n	1
406334	Hylaeus	n	1
406427	n	n	2
40674	n	n	30
4081	Solanum	Solanum lycopersicum	1
40931	Rhopalosiphum	n	1
41139	Coccinella	Coccinella septempunctata	1
41426	Phacochoerus	Phacochoerus africanus	3
41665	n	n	1
417921	Etheostoma	Etheostoma cragini	1
41829	n	n	1
41871	Acipenser	Acipenser fulvescens	1
41898	Anolis	Anolis marmoratus	1
419612	Camelus	Camelus ferus	1
420385	Chamaeleo	Chamaeleo arabicus	1
42100	Phocoena	Phocoena sinus	4
42254	Sorex	Sorex araneus	4
42410	Peromyscus	Peromyscus eremicus	4
424356	Scinax	Scinax proboscideus	1
42636	Brienomyrus	Brienomyrus brachyistius	2
43151	Anopheles	Anopheles darlingi	1
43179	Ictidomys	Ictidomys tridecemlineatus	1
43346	Bison	Bison bison	1
435155	Harpadon	Harpadon nehereus	1
435999	Trachinotus	Trachinotus blochii	1
436308	Nitrosopumilus	Nitrosopumilus maritimus	1
438	Acetobacter	Acetobacter pasteurianus	1
441366	Gouania	Gouania willdenowi	1
447135	Myodes	Myodes glareolus	1
450312	n	uncultured Inocybe	1
452646	Neogale	Neogale vison	3
4564	Triticum	n	1
45954	Dreissena	Dreissena polymorpha	1
460621	Euleptes	Euleptes europaea	1
46359	Gorilla	Gorilla beringei	1
465817	Erwinia	Erwinia tasmaniensis	1
46767	Blastocystis	Blastocystis sp.	1
46842	Leopardus	Leopardus tigrinus	1
4751	n	n	1
48139	Psammomys	Psammomys obesus	1
48155	Sylvia	Sylvia atricapilla	1
48193	Mugil	Mugil cephalus	1
482537	Galeopterus	Galeopterus variegatus	5
48708	Mesoplodon	Mesoplodon densirostris	2
48723	Pontoporia	Pontoporia blainvillei	1
48736	Ralstonia	n	1
489037	Micropterus	Micropterus salmoides	1
491861	Grammomys	Grammomys surdaster	3
49442	Rhinolophus	n	5
494514	Vulpes	Vulpes lagopus	3
495146	Pseudophryne	Pseudophryne corroboree	2
499056	Ahaetulla	Ahaetulla prasina	1
50954	Talpa	Talpa occidentalis	5
51062	Porites	Porites lutea	2
51298	Myotis	Myotis myotis	5
513121	Dynastor	Dynastor darius	1
51337	Jaculus	Jaculus jaculus	8
51338	Castor	Castor canadensis	11
5140	Neurospora	n	1
51549	Pseudorasbora	Pseudorasbora parva	1
52344	Helicoverpa	Helicoverpa assulta	1
5268	n	n	1
54180	Trachypithecus	Trachypithecus francoisi	38
542827	Rhinopithecus	n	10
54318	Etheostoma	n	1
54380	Cariama	Cariama cristata	1
55145	Dryomys	Dryomys nitedula	1
55153	n	n	3
55577	Dioscorea	Dioscorea cayenensis	1
56313	Tyto	Tyto alba	1
564181	Peromyscus	Peromyscus californicus	3
56560	Centropomus	Centropomus nigrescens	1
57060	Eleutherodactylus	Eleutherodactylus coqui	3
57078	Dicrocoelium	Dicrocoelium dendriticum	1
57397	Apaloderma	Apaloderma vittatum	1
57412	Colius	Colius striatus	1
575201	Hippopotamus	Hippopotamus amphibius	7
5759	Entamoeba	Entamoeba histolytica	1
58024	n	n	1
5865	Babesia	Babesia bovis	1
5871	Babesia	Babesia caballi	1
591936	Piliocolobus	Piliocolobus tephrosceles	46
59472	Pipistrellus	Pipistrellus kuhlii	3
59479	Rhinolophus	Rhinolophus ferrumequinum	3
59481	Saccopteryx	n	2
59482	Saccopteryx	Saccopteryx bilineata	1
59515	Addax	Addax nasomaculatus	1
59534	Oryx	Oryx dammah	2
60711	Chlorocebus	Chlorocebus sabaeus	24
6072	n	n	32
6073	n	n	6
60746	Acomys	Acomys russatus	4
6083	Hydra	n	19
6086	Hydra	Hydra sp.	3
6087	Hydra	Hydra vulgaris	8754
6096	Podocoryna	Podocoryna carnea	1
61156	Arvicanthis	Arvicanthis niloticus	4
61383	Lynx	Lynx canadensis	1
61384	Lynx	Lynx rufus	1
61471	Timema	n	6
61472	Timema	Timema bartmani	1
61476	Timema	Timema cristinae	2
61621	Rhinopithecus	Rhinopithecus bieti	12
61622	Rhinopithecus	Rhinopithecus roxellana	10
61853	Nomascus	Nomascus leucogenys	41
62283	Sorex	Sorex fumeus	3
6236	n	n	1
6238	Caenorhabditis	Caenorhabditis briggsae	1
629358	Timema	Timema genevievae	1
629360	Timema	Timema shepardi	3
63221	Homo	Homo sapiens	1
6340	n	n	1
63433	Leptopilina	Leptopilina boulardi	1
642437	Stathmonotus	Stathmonotus stahli	13
6447	n	n	1
6448	n	n	1
6548	Mytilus	n	1
65590	Sphaerozoum	Sphaerozoum punctatum	1
6573	Mizuhopecten	Mizuhopecten yessoensis	1
6588	n	n	1
66513	Meria	Meria laricis	1
6656	n	n	7
6660	Artemia	n	29
6661	Artemia	Artemia franciscana	16
67003	Trypanosoma	Trypanosoma theileri	1
6706	Homarus	Homarus americanus	2
681109	Hymenoplia	Hymenoplia galaica	1
6821	n	n	1
68408	Moschus	Moschus berezovskii	8
685565	Pseudanabaena	Pseudanabaena sp. ABRG5-3	1
69291	n	n	1
6941	Rhipicephalus	Rhipicephalus microplus	2
7008	Schistocerca	n	1
7009	Schistocerca	Schistocerca americana	1
7010	Schistocerca	Schistocerca gregaria	1
703264	Hippodamia	Hippodamia variegata	16
70543	Myxocyprinus	Myxocyprinus asiaticus	1
7113	Helicoverpa	Helicoverpa zea	1
71275	n	n	4
71610	Hedychium	Hedychium coronarium	1
716546	n	n	1
72004	Bos	Bos mutus	2
72105	Sebastes	Sebastes umbrosus	1
7234	Drosophila	Drosophila persimilis	1
72407	Klebsiella	Klebsiella pneumoniae	1
7245	Drosophila	Drosophila yakuba	1
7274	Drosophila	Drosophila serrata	1
72917	Erigeron	Erigeron canadensis	1
73337	Ceratotherium	Ceratotherium simum	4
74068	Macrosteles	Macrosteles quadrilineatus	1
7461	Apis	Apis cerana	1
74926	Mauremys	Mauremys mutica	1
74940	Oncorhynchus	Oncorhynchus tshawytscha	1
75329	Misgurnus	Misgurnus anguillicaudatus	1
75369	Spinibarbus	Spinibarbus denticulatus	1
75485	Rissa	Rissa tridactyla	1
75659	Duganella	Duganella zoogloeoides	1
763407	Phycomyces	Phycomyces blakesleeanus	1
7654	Lytechinus	Lytechinus variegatus	1
765910	Marichromatium	Marichromatium purpuratum	1
76717	Lontra	Lontra canadensis	1
76857	Fusobacterium	Fusobacterium polymorphum	1
77133	n	uncultured bacterium	1
77173	Dendroctonus	Dendroctonus valens	1
7737	Branchiostoma	n	1
7742	n	n	2
7776	n	n	47
7778	n	n	1
77932	Diceros	Diceros bicornis	4
78454	Saguinus	Saguinus labiatus	1
7868	Callorhinchus	Callorhinchus milii	1
7888	Protopterus	Protopterus annectens	7
7897	Latimeria	Latimeria chalumnae	1
7918	Lepisosteus	Lepisosteus oculatus	1
7924	Amia	Amia calva	1
7938	Anguilla	Anguilla rostrata	2
7952	n	n	1
7955	Danio	Danio rerio	3
7956	Carassius	n	1
79690	Hypanus	Hypanus sabinus	1
7988	Megaleporinus	Megaleporinus elongatus	5
8005	Electrophorus	Electrophorus electricus	1
8013	Osmerus	n	1
8040	Salvelinus	Salvelinus namaycush	1
80427	Lacerta	Lacerta agilis	1
8090	Oryzias	Oryzias latipes	6
81077	n	n	2
8128	Oreochromis	Oreochromis niloticus	2
81572	Hylobates	Hylobates moloch	26
8169	n	n	1
8187	Lates	Lates calcarifer	2
82655	Conger	Conger conger	2
8266	Hippoglossus	n	1
8287	n	n	2
8292	n	n	10
8342	n	n	3
8355	Xenopus	Xenopus laevis	2
8383	Bufo	n	1
8445	n	n	1
8459	n	n	1
84595	Gordonia	Gordonia polyisoprenivorans	1
84834	Molothrus	Molothrus ater	1
8492	n	n	1
8524	Zootoca	Zootoca vivipara	1
85589	Oophaga	Oophaga granulifera	1
85692	Triticum	Triticum dicoccoides	1
857342	Amorphotheca	Amorphotheca resinae	1
862507	Mus	n	3
863367	Hydra	Hydra canadensis	1
864828	Pseudoduganella	Pseudoduganella umbonata	1
865974	Sirthenea	n	1
8782	n	n	1
8795	Rhea	Rhea pennata	1
88082	Crotalus	Crotalus tigris	3
8825	n	n	4
8830	n	n	2
884348	Hemicordylus	Hemicordylus capensis	1
885580	Fukomys	Fukomys damarensis	4
89248	Equus	Equus quagga	2
8932	Columba	Columba livia	1
89399	Rhinolophus	Rhinolophus sinicus	2
89673	Phyllostomus	Phyllostomus discolor	2
8996	Numida	Numida meleagris	1
90069	Solea	Solea solea	1
90247	Lagenorhynchus	Lagenorhynchus obliquidens	1
907741	Philantomba	Philantomba maxwellii	1
9117	Grus	Grus americana	1
9126	n	n	3
91561	n	n	10
9158	n	n	1
91835	n	n	1
9244	Calypte	Calypte anna	1
9255	n	n	1
9261	Tachyglossus	Tachyglossus aculeatus	2
9263	n	n	6
9305	Sarcophilus	Sarcophilus harrisii	1
9337	Trichosurus	Trichosurus vulpecula	1
9344	Perameles	Perameles nasuta	1
9347	n	n	887
9348	n	n	1
9361	Dasypus	Dasypus novemcinctus	11
9362	n	n	2
9365	Erinaceus	Erinaceus europaeus	6
9371	Echinops	Echinops telfairi	7
9379	Sorex	n	3
9397	n	n	6
9398	n	n	3
9401	Pteropus	n	4
9402	Pteropus	Pteropus alecto	1
9407	Rousettus	Rousettus aegyptiacus	5
9415	n	n	3
9417	Artibeus	Artibeus jamaicensis	5
9422	Phyllostomus	n	4
94231	Epinephelus	n	1
9430	Desmodus	Desmodus rotundus	9
9431	n	n	5
9434	Myotis	n	2
9443	n	n	209
9447	Lemur	Lemur catta	9
9470	Nycticebus	Nycticebus coucang	18
9479	n	n	36
9483	Callithrix	Callithrix jacchus	61
9490	Saguinus	Saguinus oedipus	1
9498	n	n	31
9515	Sapajus	Sapajus apella	22
9526	n	n	2473
9527	n	n	93
9528	n	n	79
9531	Cercocebus	Cercocebus atys	17
9538	Erythrocebus	Erythrocebus patas	1
9539	Macaca	n	14
9541	Macaca	Macaca fascicularis	15
9544	Macaca	Macaca mulatta	32
9545	Macaca	Macaca nemestrina	12
9555	Papio	Papio anubis	42
95602	Eriocheir	Eriocheir sinensis	3
9565	Theropithecus	Theropithecus gelada	28
9568	Mandrillus	Mandrillus leucophaeus	8
9569	n	n	37
9577	n	n	62
9578	Hylobates	n	2
9590	Symphalangus	Symphalangus syndactylus	37
95912	Hyaena	Hyaena hyaena	8
9593	Gorilla	Gorilla gorilla	1
9595	Gorilla	Gorilla gorilla	77
9596	Pan	n	36
9597	Pan	Pan paniscus	22
9598	Pan	Pan troglodytes	50
9599	Pongo	n	64
9600	Pongo	Pongo pygmaeus	14
9601	Pongo	Pongo abelii	29
9604	n	n	1411
9605	Homo	n	6
9606	Homo	Homo sapiens	7285
9608	n	n	4
9612	Canis	Canis lupus	1
9615	Canis	Canis lupus	2
9627	Vulpes	Vulpes vulpes	3
9632	n	n	1
9639	Ursus	n	1
9643	Ursus	Ursus americanus	2
9644	Ursus	Ursus arctos	2
9646	Ailuropoda	Ailuropoda melanoleuca	6
9655	n	n	6
9657	Lutra	Lutra lutra	10
9662	Meles	Meles meles	5
9666	Mustela	Mustela lutreola	4
9669	Mustela	Mustela putorius	1
9681	n	n	6
9685	Felis	Felis catus	1
9702	n	n	2
9704	Zalophus	Zalophus californianus	5
9708	Odobenus	Odobenus rosmarus	3
9709	n	n	1
9711	Halichoerus	Halichoerus grypus	5
9713	Leptonychotes	Leptonychotes weddellii	1
9714	Mirounga	n	1
9715	Mirounga	Mirounga leonina	1
9716	Mirounga	Mirounga angustirostris	1
97188	Conus	Conus ammiralis	1
9721	n	n	9
9722	n	n	2
9726	n	n	3
9728	Delphinus	Delphinus delphis	4
9731	Globicephala	Globicephala melas	1
9733	Orcinus	Orcinus orca	2
9739	Tursiops	Tursiops truncatus	1
9755	Physeter	Physeter catodon	2
976	n	n	1
9761	n	n	4
9767	Balaenoptera	Balaenoptera acutorostrata	2
9780	n	n	6
9785	Loxodonta	Loxodonta africana	4
9787	n	n	1
9789	Equus	n	13
9793	Equus	Equus asinus	2
9796	Equus	Equus caballus	13
9803	n	n	8
9821	n	n	3
9823	Sus	Sus scrofa	14
9835	n	n	3
9836	Camelus	n	2
9837	Camelus	Camelus bactrianus	1
9838	Camelus	Camelus dromedarius	2
9850	n	n	3
9859	Cervus	n	3
9860	Cervus	Cervus elaphus	1
9880	Odocoileus	Odocoileus virginianus	4
9886	Muntiacus	Muntiacus reevesi	2
98922	Myotis	Myotis daubentonii	2
9895	n	n	4
9903	Bos	n	4
9906	Bos	Bos javanicus	2
9913	Bos	Bos taurus	3
9915	Bos	Bos indicus	3
9918	Bubalus	n	2
9922	Capra	n	1
9925	Capra	Capra hircus	2
9940	Ovis	Ovis aries	3
99487	Elephas	Elephas maximus	2
9973	Manis	n	6
9974	Manis	Manis javanica	1
9975	n	n	2
9977	Ochotona	n	8
9978	Ochotona	Ochotona princeps	6
9979	n	n	9
99802	Spirometra	Spirometra erinaceieuropaei	6
9981	Lepus	Lepus capensis	1
9983	Lepus	Lepus europaeus	7
9986	Oryctolagus	Oryctolagus cuniculus	3
99883	Tetraodon	Tetraodon nigroviridis	5
9989	n	n	23
9992	Marmota	n	2
9994	Marmota	Marmota marmota	4
9999	Urocitellus	Urocitellus parryii	2
