cluster	assigned_cell_type	n_eye1	n_eye2	score	score_margin	top_enriched_genes	marker_support
14	bipolar cell	70	107	1.706244839757614	1.4174050680672055	NRXN3,ROBO2,CA10,ADARB2,NRG3,ADGRL2,PTPRG,SLC4A10,COL19A1,LRRTM4,CACNA2D1,DOK6,CADPS,GRM7,CSMD3	VSX2:0.602/0.339,GRM6:1.868/0.819,TRPM1:2.362/0.898,CABP5:0.517/0.282,OTX2:1.240/0.605,PRKCA:2.287/0.904
15	bipolar cell	85	86	1.7780309805373908	1.3848116289949983	ROBO2,NRXN3,ADGRL2,KIRREL3,CA10,SAMSN1,PDE4B,ZNF804B,KCNH7,SNTG1,ADGRB3,NRG3,NFIA,DOK6,ADARB2	VSX2:0.283/0.181,GRM6:2.170/0.877,TRPM1:2.080/0.877,CABP5:1.537/0.743,OTX2:1.434/0.749,PRKCA:1.255/0.632
16	endothelial cell	96	73	1.0731947845153815	0.28953921682732053	RBFOX1,CNTNAP2,ZNF804A,GRIK2,NFIA,CNTN4,PLCL1,GRIA4,LSAMP,ADGRB3,SDK1,ANKS1B,FAM155A,NRG3,KCNMA1	PECAM1:0.002/0.006,VWF:0.013/0.012,EMCN:0.022/0.012,KDR:0.054/0.071,CLDN5:0.000/0.000,RAMP2:0.000/0.000
17	bipolar cell	72	96	0.17024366261068022	0.021174729407939907	FAM155A,NRXN3,GRID2,MDGA2,PCDH9,GRIK1,NETO1,DOK6,CA10,NTNG1,CADPS,TENM2,PDZRN4,GALNT13,KHDRBS2	VSX2:0.492/0.268,GRM6:0.123/0.065,TRPM1:0.824/0.381,CABP5:0.195/0.113,OTX2:1.137/0.571,PRKCA:0.071/0.048
18	B cell	85	71	1.8790236479145381	1.1238264767631023	ROBO2,ZNF804B,CA10,NRXN3,DLG2,TRPM1,NRG3,ADGRB3,DOK6,ADGRL2,LRRTM4,NCKAP5,KCNMA1,NRG1,CADPS	CD37:0.025/0.019,CD74:0.019/0.013
19	horizontal cell	73	79	0.4094176758019011	0.07888955982522222	ERBB4,GRIK1,SLIT2,MDGA2,KCNH7,FGF14,CNTNAP5,NRXN3,NETO1,REPS2,LSAMP,KCNB2,PCDH7,ADGRB3,CA10	LHX1:0.000/0.000,ONECUT1:0.000/0.000,CALB1:1.616/0.763,PROX1:0.397/0.237,PCP4:0.242/0.184
20	Schwann cell	66	77	0.540885808647567	0.21867287299234067	NRXN1,GRIK2,CDH18,NRXN3,CNTNAP2,ADGRB3,ZNF804A,FAM155A,RBFOX1,TMTC2,ANKS1B,HS6ST3,LSAMP,ZFPM2,CACNA2D3	MPZ:0.035/0.021,PMP22:0.000/0.000,SOX10:0.000/0.000,S100B:0.026/0.014,PLP1:0.000/0.000
21	T cells	63	67	1.194881026278211	0.22981337148701453	FAM155A,NRXN3,LSAMP,NRXN1,NRG3,ADGRB3,CNTNAP2,DLGAP1,ZNF804A,SOX5,GRIK2,ZFPM2,GRIA4,ANKS1B,IL1RAPL1	TRAC:0.016/0.023,TRBC2:0.009/0.015,IL7R:0.000/0.000
22	B cell	45	60	0.8242556948804809	0.10795371115106034	GRIK2,NRXN1,CDH18,ROBO2,TENM2,ZNF804A,CACNA2D3,GRID2,ADGRB3,NRXN3,DSCAM,FAM155A,CNTN4,SLC24A3,LSAMP	CD37:0.000/0.000,CD74:0.048/0.029
23	RPE cell	41	49	0.8523977361801581	0.5045252332191568	ROBO2,NRXN3,SOX5,NRG3,TMTC2,DLGAP1,ADARB2,MDGA2,CSMD1,PTPRG,KCNMA1,RYR2,LSAMP,UNC13C,TRPM1	RPE65:0.000/0.000,BEST1:0.026/0.022,RLBP1:0.048/0.033,MITF:0.033/0.022,PMEL:0.014/0.011,TYR:0.081/0.056,RGR:0.036/0.022
24	RGC	33	29	2.3109117899365623	0.8303036348626942	RBFOX1,ERBB4,CSMD3,SGCZ,AC109466.1,CACNA2D3,FAM155A,NRXN1,PTPRT,IL1RAPL1,CACNA2D1,GRM8,CDK14,LSAMP,NXPH1	RBPMS:0.028/0.032,SNCG:0.142/0.129,THY1:0.433/0.371,NEFL:0.379/0.306,NEFM:0.250/0.177
25	bipolar cell	28	29	1.3537842996179268	1.0545663910247636	ROBO2,ROBO1,LRP1B,NRXN3,DOK6,CADPS,NTNG1,PCDH9,GRID2,MDGA2,PTPRM,TRPM1,SPOCK3,B4GALT6,CTNNA2	VSX2:0.812/0.456,GRM6:1.944/0.912,TRPM1:3.074/0.982,CABP5:0.212/0.158,OTX2:1.325/0.667,PRKCA:0.179/0.123
26	cone cell	17	23	2.8510927928120604	2.4487845008018128	AC112206.2,KCNB2,NRG1,PEX5L,GALNT13,AC023905.1,CSMD1,CNGB3,NRXN3,OPN1SW,NEDD4L,PDE6H,SLC12A1,TTR,GPC5	ARR3:2.302/1.000,GNAT2:0.465/0.425,OPN1LW:0.055/0.050,OPN1MW:0.075/0.025,PDE6H:2.952/1.000,CNGB3:2.800/1.000
27	horizontal cell	23	16	1.5852429028982593	1.1187716374912418	NRG1,GRIA4,LSAMP,FAM135A,SYNPR,FMN2,NRXN3,NEBL,PDE3A,NEAT1,SNTG2,FBXL7,CDH13,RALYL,FAM155A	LHX1:0.000/0.000,ONECUT1:1.643/0.795,CALB1:1.956/0.872,PROX1:1.049/0.590,PCP4:0.265/0.179
28	RGC	11	9	0.3558010398879048	0.010439283881047035	NFIA,ERBB4,PRKG1,FAM155A,SPOCK3,LRRTM4,SNTG1,RALYL,DLGAP1,KCNB2,PDE3A,PTPRM,LRRC4C,GRID2,LSAMP	RBPMS:0.000/0.000,SNCG:0.215/0.200,THY1:0.666/0.500,NEFL:0.000/0.000,NEFM:0.000/0.000
