HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N0.HOG0000068	OG0000033	n0	KBS0714_02274, KBS0714_00037, KBS0714_00568		AS2_00464	KD33716_00289, KD33716_00427
N0.HOG0000069	OG0000034	n1	KBS0714_00038		AS2_00211	
N0.HOG0000070	OG0000034	n2	KBS0714_01620	SA211_01648	AS2_00900	KD33716_00838
N0.HOG0000071	OG0000035	n0	KBS0714_00134	SA211_02148	AS2_00251	KD33716_00187, KD33716_02180, KD33716_00186
N0.HOG0000072	OG0000036	n0	KBS0714_01073, KBS0714_00161	SA211_00347, SA211_00792, SA211_00336	AS2_00724	
N0.HOG0000073	OG0000037	n0	KBS0714_01072, KBS0714_00162	SA211_00335, SA211_00348, SA211_00791	AS2_00725	
N0.HOG0000074	OG0000038	n0	KBS0714_00169	SA211_00360	AS2_00171, AS2_00191, AS2_02217, AS2_02334	
N0.HOG0000075	OG0000039	n1	KBS0714_01408	SA211_01138	AS2_01488	KD33716_01399
N0.HOG0000076	OG0000039	n4	KBS0714_00172			KD33716_02230
N0.HOG0000077	OG0000040	n2		SA211_02026		KD33716_01777
N0.HOG0000078	OG0000040	n3	KBS0714_00198	SA211_02194		KD33716_00149
N0.HOG0000079	OG0000041	n0	KBS0714_00245	SA211_00096, SA211_00100, SA211_02257	AS2_00124	KD33716_00093
N0.HOG0000080	OG0000042	n0	KBS0714_00246	SA211_02258	AS2_00815, AS2_00123	KD33716_01774, KD33716_00092
N0.HOG0000081	OG0000043	n0	KBS0714_00260	SA211_02273	AS2_00590, AS2_00109	KD33716_00524, KD33716_00077
N0.HOG0000082	OG0000044	n0	KBS0714_00650, KBS0714_00841, KBS0714_00408	SA211_00387	AS2_02313	KD33716_02170
N0.HOG0000083	OG0000045	n0	KBS0714_00509	SA211_00229	AS2_01218, AS2_02441	KD33716_02325, KD33716_02315
N0.HOG0000084	OG0000046	n2		SA211_00256	AS2_02417	
N0.HOG0000085	OG0000046	n3	KBS0714_00524	SA211_00245	AS2_01211	
N0.HOG0000086	OG0000047	n0	KBS0714_00610	SA211_01770	AS2_02642, AS2_02662, AS2_00399	KD33716_02202
N0.HOG0000087	OG0000048	n0	KBS0714_00627	SA211_00372	AS2_00410, AS2_00389, AS2_00393	KD33716_02189
N0.HOG0000088	OG0000049	n0	KBS0714_00631		AS2_00403, AS2_01253, AS2_01330	KD33716_02198, KD33716_00451
N0.HOG0000089	OG0000050	n1	KBS0714_01289	SA211_01008		KD33716_00711
N0.HOG0000090	OG0000050	n3	KBS0714_00633		AS2_00405	KD33716_02196
N0.HOG0000091	OG0000051	n0	KBS0714_00644	SA211_00381	AS2_02319	KD33716_00584, KD33716_00053, KD33716_02178
N0.HOG0000092	OG0000052	n0	KBS0714_01778, KBS0714_00837, KBS0714_00836	SA211_01485	AS2_01099	KD33716_01023
N0.HOG0000093	OG0000053	n0	KBS0714_00884, KBS0714_00894	SA211_00606, SA211_00616	AS2_02045	KD33716_01944
N0.HOG0000094	OG0000054	n0	KBS0714_00886	SA211_00608	AS2_02052, AS2_02050	KD33716_01946, KD33716_02314
N0.HOG0000095	OG0000055	n0	KBS0714_01181	SA211_00900	AS2_01707, AS2_01708	KD33716_01606, KD33716_00314
N0.HOG0000096	OG0000056	n0	KBS0714_01397	SA211_01130	AS2_00412	KD33716_00648, KD33716_02216, KD33716_00325
N0.HOG0000097	OG0000057	n0	KBS0714_01401	SA211_01131	AS2_00413	KD33716_02217, KD33716_00649, KD33716_00326
N0.HOG0000098	OG0000058	n0	KBS0714_01590	SA211_01302		KD33716_01828, KD33716_00714, KD33716_00643, KD33716_01240
N0.HOG0000099	OG0000059	n0	KBS0714_01806	SA211_01503	AS2_01068, AS2_00397, AS2_02641	KD33716_01003
N0.HOG0000100	OG0000060	n0	KBS0714_01808	SA211_01505	AS2_01066, AS2_02643, AS2_00398	KD33716_01001
N0.HOG0000101	OG0000061	n0	KBS0714_01999	SA211_01693	AS2_00858	KD33716_00402, KD33716_00715, KD33716_00794
N0.HOG0000102	OG0000062	n0	KBS0714_02014	SA211_01724	AS2_00129, AS2_00826	KD33716_00147, KD33716_00765
N0.HOG0000103	OG0000063	n0	KBS0714_02089	SA211_01794	AS2_01308, AS2_00694	KD33716_02237, KD33716_00662
N0.HOG0000104	OG0000064	n1		SA211_01800	AS2_00685	KD33716_00601
N0.HOG0000105	OG0000064	n3	KBS0714_02093	SA211_01801		KD33716_00555
N0.HOG0000106	OG0000065	n0	KBS0714_02163	SA211_01877	AS2_00594	KD33716_00870, KD33716_00943, KD33716_00517
N0.HOG0000107	OG0000066	n0	KBS0714_02265	SA211_01960	AS2_00482, AS2_00641, AS2_00469	KD33716_00419
N0.HOG0000108	OG0000067	n0			AS2_00195, AS2_00093, AS2_00092	KD33716_00146, KD33716_00132, KD33716_00133
N0.HOG0000109	OG0000068	n0	KBS0714_00025	SA211_02043	AS2_00371, AS2_00370	KD33716_00353
N0.HOG0000110	OG0000069	n0	KBS0714_00049	SA211_02062	AS2_00354, AS2_01608	KD33716_01503
N0.HOG0000111	OG0000070	n0	KBS0714_00053	SA211_02066	AS2_00346	KD33716_00293, KD33716_00284
N0.HOG0000112	OG0000071	n0	KBS0714_00063	SA211_02076	AS2_00332, AS2_00201	KD33716_00273
N0.HOG0000113	OG0000072	n0	KBS0714_00076	SA211_02089	AS2_00317, AS2_02338	KD33716_00258
N0.HOG0000114	OG0000073	n0	KBS0714_00099	SA211_02112	AS2_00292	KD33716_00670, KD33716_00617
N0.HOG0000115	OG0000074	n0	KBS0714_00105	SA211_02118	AS2_00038, AS2_00285	KD33716_00231
N0.HOG0000116	OG0000075	n0	KBS0714_00119	SA211_02135	AS2_00265, AS2_00088	KD33716_00137
N0.HOG0000117	OG0000076	n0	KBS0714_00854, KBS0714_00175	SA211_00576	AS2_02080	KD33716_01975
N0.HOG0000118	OG0000077	n0	KBS0714_00200		AS2_01466, AS2_00189	KD33716_00125, KD33716_00145
N0.HOG0000119	OG0000078	n0	KBS0714_00201	SA211_02196	AS2_00205, AS2_00104	KD33716_00074
N0.HOG0000120	OG0000079	n0	KBS0714_00216	SA211_02209	AS2_00167, AS2_02206	KD33716_00321
N0.HOG0000121	OG0000080	n0	KBS0714_00221	SA211_02234	AS2_00159, AS2_00086	KD33716_00117
N0.HOG0000122	OG0000081	n0	KBS0714_00236	SA211_02249, SA211_00102	AS2_00135	KD33716_00100
N0.HOG0000123	OG0000082	n0	KBS0714_00250	SA211_02262	AS2_00120	KD33716_00088, KD33716_02472
N0.HOG0000124	OG0000083	n0	KBS0714_00258	SA211_02272	AS2_00111	KD33716_00526, KD33716_00079
N0.HOG0000125	OG0000084	n0	KBS0714_00269	SA211_02282	AS2_00444	KD33716_00397, KD33716_00629
N0.HOG0000126	OG0000085	n0	KBS0714_00279	SA211_00203, SA211_02294	AS2_00074	KD33716_02346
N0.HOG0000127	OG0000086	n0	KBS0714_00286	SA211_02308	AS2_00068, AS2_00343	KD33716_00477
N0.HOG0000128	OG0000087	n0	KBS0714_00287, KBS0714_01958	SA211_02309	AS2_00067	KD33716_00046
N0.HOG0000129	OG0000088	n0	KBS0714_00297	SA211_00005	AS2_00057	KD33716_00035, KD33716_01222
N0.HOG0000130	OG0000089	n0	KBS0714_00310	SA211_00025	AS2_00027	KD33716_00654, KD33716_00023
N0.HOG0000131	OG0000090	n0	KBS0714_00318	SA211_00033	AS2_00019	KD33716_00687, KD33716_00015
N0.HOG0000132	OG0000091	n0	KBS0714_00347	SA211_00063	AS2_02622, AS2_01326	KD33716_02474
N0.HOG0000133	OG0000092	n0	KBS0714_00359	SA211_00075	AS2_02602, AS2_01252	KD33716_02461
N0.HOG0000134	OG0000093	n0	KBS0714_00366	SA211_00082	AS2_02595, AS2_00193	KD33716_02454
N0.HOG0000135	OG0000094	n0	KBS0714_00377		AS2_02586, AS2_00588, AS2_00011	KD33716_01180
N0.HOG0000136	OG0000095	n0	KBS0714_00384	SA211_00108	AS2_02571	KD33716_00215, KD33716_01754
N0.HOG0000137	OG0000096	n0	KBS0714_00386	SA211_00110	AS2_02569	KD33716_02444, KD33716_01756
N0.HOG0000138	OG0000097	n0	KBS0714_01544, KBS0714_00402	SA211_01254	AS2_01381	KD33716_01272
N0.HOG0000139	OG0000098	n0	KBS0714_00418	SA211_00139	AS2_02542, AS2_02541	KD33716_02410
N0.HOG0000140	OG0000099	n0	KBS0714_00423	SA211_00144	AS2_02534, AS2_02535	KD33716_02405
N0.HOG0000141	OG0000100	n0	KBS0714_00448	SA211_00169	AS2_02509	KD33716_00683, KD33716_02380
N0.HOG0000142	OG0000101	n0	KBS0714_00495	SA211_00216	AS2_02452, AS2_01221	KD33716_02336
N0.HOG0000143	OG0000102	n0	KBS0714_00525	SA211_00246, SA211_00257	AS2_02416	KD33716_02298
N0.HOG0000144	OG0000103	n0	KBS0714_00547	SA211_00272	AS2_02400, AS2_02399	KD33716_02283
N0.HOG0000145	OG0000104	n0	KBS0714_00563	SA211_00288	AS2_02380, AS2_00713	KD33716_02264
N0.HOG0000146	OG0000105	n0	KBS0714_00575	SA211_00307	AS2_02358	KD33716_02249, KD33716_01224
N0.HOG0000147	OG0000106	n0	KBS0714_00604, KBS0714_02174	SA211_01888	AS2_00578	KD33716_00505
N0.HOG0000148	OG0000107	n0	KBS0714_00608	SA211_01768	AS2_00728, AS2_02365, AS2_00729	
N0.HOG0000149	OG0000108	n0	KBS0714_00611	SA211_00327, SA211_01771	AS2_02344	KD33716_01190
N0.HOG0000150	OG0000109	n0	KBS0714_00614	SA211_00326, SA211_01774		KD33716_00544, KD33716_00702
N0.HOG0000151	OG0000110	n0	KBS0714_00642	SA211_00379	AS2_02320	KD33716_02183, KD33716_01865
N0.HOG0000152	OG0000111	n0	KBS0714_00649	SA211_00386	AS2_02314	KD33716_02171, KD33716_01912
N0.HOG0000153	OG0000112	n0	KBS0714_00656	SA211_00393	AS2_02307, AS2_00162	KD33716_02164
N0.HOG0000154	OG0000113	n0	KBS0714_00686	SA211_00423	AS2_02271, AS2_00359	KD33716_02138
N0.HOG0000155	OG0000114	n0	KBS0714_00692	SA211_00429	AS2_02262, AS2_02263	KD33716_02443
N0.HOG0000156	OG0000115	n0	KBS0714_00731	SA211_00462	AS2_02222	KD33716_02098, KD33716_00342
N0.HOG0000157	OG0000116	n0	KBS0714_00747, KBS0714_00748	SA211_00478	AS2_02182	KD33716_02077
N0.HOG0000158	OG0000117	n0	KBS0714_00805	SA211_00536	AS2_02125	KD33716_02176, KD33716_02018
N0.HOG0000159	OG0000118	n0	KBS0714_00819	SA211_00551	AS2_02647, AS2_02111	KD33716_02002
N0.HOG0000160	OG0000119	n0	KBS0714_01065, KBS0714_00838	SA211_00784	AS2_01822	KD33716_01711
N0.HOG0000161	OG0000120	n0	KBS0714_00965	SA211_00678	AS2_01922	KD33716_01871, KD33716_00709
N0.HOG0000162	OG0000121	n0	KBS0714_00993	SA211_00707	AS2_01896, AS2_01817	KD33716_01843
N0.HOG0000163	OG0000122	n0	KBS0714_01012	SA211_00726	AS2_01877, AS2_01876	KD33716_01764
N0.HOG0000164	OG0000123	n0	KBS0714_01015	SA211_00729	AS2_01873, AS2_00822	KD33716_02256
N0.HOG0000165	OG0000124	n0	KBS0714_01028	SA211_00743	AS2_00185, AS2_01852	KD33716_01744
N0.HOG0000166	OG0000125	n0	KBS0714_01029	SA211_00744	AS2_01854, AS2_00187	KD33716_01743
N0.HOG0000167	OG0000126	n0	KBS0714_01030	SA211_00745	AS2_01853, AS2_00186	KD33716_01742
N0.HOG0000168	OG0000127	n0	KBS0714_01042	SA211_00755	AS2_00544, AS2_00331	KD33716_01735
N0.HOG0000169	OG0000128	n0	KBS0714_01102	SA211_00821	AS2_01792, AS2_01793	KD33716_01683
N0.HOG0000170	OG0000129	n0	KBS0714_01106	SA211_00825	AS2_01787, AS2_01788	KD33716_01679
N0.HOG0000171	OG0000130	n0	KBS0714_01117	SA211_00836, SA211_00373	AS2_01776	KD33716_01669
N0.HOG0000172	OG0000131	n0	KBS0714_01118	SA211_00837	AS2_01775, AS2_00163	KD33716_01668
N0.HOG0000173	OG0000132	n0	KBS0714_01233	SA211_00952	AS2_01655	KD33716_00228, KD33716_01552
N0.HOG0000174	OG0000133	n0	KBS0714_01285	SA211_01004	AS2_01600	KD33716_02080, KD33716_01496
N0.HOG0000175	OG0000134	n0	KBS0714_01627, KBS0714_01288	SA211_01007	AS2_00620	KD33716_00712
N0.HOG0000176	OG0000135	n0	KBS0714_01334	SA211_01055	AS2_01557	KD33716_00131, KD33716_01453
N0.HOG0000177	OG0000136	n0	KBS0714_01341	SA211_01061	AS2_01551	KD33716_01447, KD33716_01415
N0.HOG0000178	OG0000137	n0	KBS0714_01369, KBS0714_01953	SA211_01089	AS2_01524	KD33716_01419
N0.HOG0000179	OG0000138	n0	KBS0714_01440	SA211_01172	AS2_01458	KD33716_02442, KD33716_01366
N0.HOG0000180	OG0000139	n0	KBS0714_01450	SA211_01182	AS2_01449	KD33716_01353, KD33716_01775
N0.HOG0000181	OG0000140	n0	KBS0714_01452	SA211_01184	AS2_01447	KD33716_01351, KD33716_00545
N0.HOG0000182	OG0000141	n0	KBS0714_01471	SA211_01203	AS2_01429	KD33716_01331, KD33716_01060
N0.HOG0000183	OG0000142	n0	KBS0714_01482	SA211_01214	AS2_01420, AS2_00180	KD33716_01320
N0.HOG0000184	OG0000143	n0	KBS0714_01539	SA211_01249	AS2_01386	KD33716_00286, KD33716_01277
N0.HOG0000185	OG0000144	n0	KBS0714_01549	SA211_01259	AS2_01376	KD33716_01296, KD33716_01267
N0.HOG0000186	OG0000145	n0	KBS0714_01563	SA211_01273	AS2_01363, AS2_02268	KD33716_01254
N0.HOG0000187	OG0000146	n0	KBS0714_01569	SA211_01279	AS2_01355, AS2_02577	KD33716_01248
N0.HOG0000188	OG0000147	n0	KBS0714_01581	SA211_01291	AS2_01342	KD33716_01235, KD33716_01767
N0.HOG0000189	OG0000148	n0	KBS0714_01582	SA211_01293, SA211_01292	AS2_01340	KD33716_01234
N0.HOG0000190	OG0000149	n0	KBS0714_01584, KBS0714_02249	SA211_01295	AS2_01338	KD33716_00458
N0.HOG0000191	OG0000150	n0	KBS0714_01585, KBS0714_02251	SA211_01296	AS2_01337	KD33716_00456
N0.HOG0000192	OG0000151	n0	KBS0714_01601	SA211_01313		KD33716_01824, KD33716_00271, KD33716_01201
N0.HOG0000193	OG0000152	n0	KBS0714_01604	SA211_01316	AS2_01290, AS2_01275	KD33716_01198
N0.HOG0000194	OG0000153	n0	KBS0714_01624	SA211_01330	AS2_01273	KD33716_01182, KD33716_00781
N0.HOG0000195	OG0000154	n0	KBS0714_01679		AS2_02578, AS2_01199	KD33716_02117, KD33716_01217
N0.HOG0000196	OG0000155	n0	KBS0714_01681	SA211_01385	AS2_01197, AS2_01209	KD33716_01126
N0.HOG0000197	OG0000156	n0	KBS0714_01687	SA211_01391	AS2_01191	KD33716_01121, KD33716_00038
N0.HOG0000198	OG0000157	n0	KBS0714_01737	SA211_01444	AS2_01141, AS2_00085	KD33716_01070
N0.HOG0000199	OG0000158	n0	KBS0714_01779	SA211_01486	AS2_01098	KD33716_01022, KD33716_01806
N0.HOG0000200	OG0000159	n0	KBS0714_02051, KBS0714_01790	SA211_01757	AS2_01086	KD33716_00729
N0.HOG0000201	OG0000160	n0	KBS0714_01791, KBS0714_02047	SA211_01753	AS2_01085	KD33716_00733
N0.HOG0000202	OG0000161	n0	KBS0714_02050, KBS0714_01795	SA211_01756	AS2_01081	KD33716_00730
N0.HOG0000203	OG0000162	n0	KBS0714_01809	SA211_01506	AS2_01065, AS2_02644	KD33716_01000
N0.HOG0000204	OG0000163	n0	KBS0714_01830	SA211_01527	AS2_01038, AS2_02335, AS2_00744	
N0.HOG0000205	OG0000164	n0	KBS0714_01844	SA211_01541	AS2_01331, AS2_01024	KD33716_00965
N0.HOG0000206	OG0000165	n0	KBS0714_01849	SA211_01545	AS2_01019, AS2_02580	KD33716_00961
N0.HOG0000207	OG0000166	n0	KBS0714_01852	SA211_01548	AS2_01016, AS2_01058	KD33716_00958
N0.HOG0000208	OG0000167	n0	KBS0714_01921	SA211_01617	AS2_00939, AS2_00786	KD33716_00874
N0.HOG0000209	OG0000168	n0	KBS0714_01939	SA211_01635	AS2_00920	KD33716_02134, KD33716_00854
N0.HOG0000210	OG0000169	n0	KBS0714_01951		AS2_00906	KD33716_00292, KD33716_01885, KD33716_00845
N0.HOG0000211	OG0000170	n0	KBS0714_01976, KBS0714_01975	SA211_01669	AS2_00882	KD33716_00817
N0.HOG0000212	OG0000171	n0	KBS0714_01977	SA211_01671, SA211_01670	AS2_00881	KD33716_00816
N0.HOG0000213	OG0000172	n0	KBS0714_01983	SA211_01677	AS2_00875	KD33716_00810, KD33716_00823
N0.HOG0000214	OG0000173	n0	KBS0714_01985	SA211_01679	AS2_00872	KD33716_00808, KD33716_00818
N0.HOG0000215	OG0000174	n0	KBS0714_02018	SA211_01727, SA211_00095	AS2_00803	KD33716_00762
N0.HOG0000216	OG0000175	n0	KBS0714_02029, KBS0714_02031	SA211_01738	AS2_00789	KD33716_00750
N0.HOG0000217	OG0000176	n1	KBS0714_02045	SA211_01751		KD33716_00735
N0.HOG0000218	OG0000176	n3		SA211_01749		KD33716_00741
N0.HOG0000219	OG0000177	n0	KBS0714_02070	SA211_01107	AS2_00560, AS2_00743	KD33716_00486
N0.HOG0000220	OG0000178	n0	KBS0714_02079	SA211_01783	AS2_00705	KD33716_00615, KD33716_00619
N0.HOG0000221	OG0000179	n0	KBS0714_02092		AS2_00686	KD33716_00413, KD33716_00937, KD33716_00602
N0.HOG0000222	OG0000180	n0	KBS0714_02096		AS2_00196	KD33716_00596, KD33716_00597, KD33716_00148
N0.HOG0000223	OG0000181	n0	KBS0714_02098	SA211_01805	AS2_00681, AS2_01500	KD33716_00595
N0.HOG0000224	OG0000182	n0	KBS0714_02122	SA211_01830	AS2_00658	KD33716_00575, KD33716_00718
N0.HOG0000225	OG0000183	n0	KBS0714_02144	SA211_01851	AS2_00628	KD33716_00528, KD33716_00552
N0.HOG0000226	OG0000184	n0	KBS0714_02160	SA211_01873	AS2_00598, AS2_00589	KD33716_00520
N0.HOG0000227	OG0000185	n0	KBS0714_02162	SA211_01875, SA211_01876	AS2_00595	KD33716_00518
N0.HOG0000228	OG0000186	n0	KBS0714_02206	SA211_01919, SA211_02305	AS2_00539	KD33716_00469
N0.HOG0000229	OG0000187	n0	KBS0714_02288, KBS0714_02218	SA211_01980, SA211_01931		KD33716_00473
N0.HOG0000230	OG0000188	n0	KBS0714_02252, KBS0714_02276	SA211_01951	AS2_00489	KD33716_00435
N0.HOG0000231	OG0000189	n0	KBS0714_02303	SA211_01996	AS2_00434, AS2_00739	KD33716_00386
N0.HOG0000232	OG0000190	n0	KBS0714_02305	SA211_01998	AS2_00432, AS2_01948	KD33716_00384
N0.HOG0000233	OG0000191	n1		SA211_02232	AS2_02198, AS2_02196	
N0.HOG0000234	OG0000191	n3		SA211_00303	AS2_02372	
N0.HOG0000235	OG0000192	n0		SA211_00329, SA211_01967, SA211_00368, SA211_01110, SA211_02017		
N0.HOG0000236	OG0000193	n0		SA211_02019	AS2_01501	KD33716_00347, KD33716_00694, KD33716_00288
N0.HOG0000237	OG0000194	n0			AS2_00149, AS2_01863	KD33716_01759, KD33716_01752, KD33716_01765
