species	tissue	marker_gene	umi_count
mouse	spleen	CD79A	0
mouse	spleen	CD8A	0
mouse	spleen	HLA-DRA	0
mouse	spleen	LST1	0
mouse	spleen	MS4A1	1
mouse	spleen	NKG7	0
mouse	spleen	TYROBP	0
mouse	cortex	AQP4	3
mouse	cortex	BCL11B	1
mouse	cortex	CAMK2A	1
mouse	cortex	CUX2	5
mouse	cortex	GAD1	10
mouse	cortex	GAD2	1
mouse	cortex	GFAP	0
mouse	cortex	RBFOX3	0
mouse	cortex	SATB2	1
mouse	cortex	SLC17A7	0
mouse	cortex	SYN1	3
mouse	cortex	TBR1	0
mouse	retina	ABCA4	0
mouse	retina	ARR3	0
mouse	retina	CRX	0
mouse	retina	GNAT1	1
mouse	retina	NRL	2
mouse	retina	OPN1LW	0
mouse	retina	OPN1MW	0
mouse	retina	OPN1SW	0
mouse	retina	PAX6	0
mouse	retina	RHO	1
mouse	retina	RLBP1	0
mouse	retina	RPE65	0
mouse	retina	VSX2	0
mouse	lung	AGER	71
mouse	lung	EPCAM	363
mouse	lung	FOXJ1	7
mouse	lung	KRT18	1093
mouse	lung	KRT19	16
mouse	lung	KRT8	721
mouse	lung	MSLN	9
mouse	lung	MUC1	25
mouse	lung	SCGB1A1	19149
mouse	lung	SFTPA1	340
mouse	lung	SFTPB	99
mouse	lung	SFTPC	1258
mouse	skin	COL1A1	67
mouse	skin	COL3A1	98
mouse	skin	DCN	122
mouse	skin	DSG1	0
mouse	skin	FLG	0
mouse	skin	KRT1	0
mouse	skin	KRT10	9
mouse	skin	KRT14	3
mouse	skin	KRT16	47
mouse	skin	KRT17	4
mouse	skin	KRT2	0
mouse	skin	KRT5	2
mouse	skin	LOR	0
pig	liver	ALB	0
pig	liver	APOA1	327
pig	liver	APOB	0
pig	liver	APOC3	0
pig	liver	CYP3A4	0
pig	liver	FGA	0
pig	liver	FGB	6
pig	liver	FGG	0
pig	liver	HP	0
pig	liver	SERPINA1	2
pig	liver	TF	0
pig	liver	TTR	0
pig	heart	ACTC1	0
pig	heart	DES	4
pig	heart	MYH6	0
pig	heart	MYH7	0
pig	heart	MYL2	5
pig	heart	MYL7	0
pig	heart	NPPA	0
pig	heart	NPPB	0
pig	heart	PLN	0
pig	heart	RYR2	1
pig	heart	TNNT2	2
pig	heart	TTN	0
pig	testis	AKAP4	20
pig	testis	DAZL	0
pig	testis	DDX4	51
pig	testis	HORMAD1	4
pig	testis	PIWIL1	11
pig	testis	PRM1	643
pig	testis	PRM2	150
pig	testis	SPO11	68
pig	testis	SYCP3	15
pig	testis	TEX101	9
pig	testis	TNP1	299
pig	testis	TNP2	195
pig	kidney	AQP1	0
pig	kidney	AQP2	0
pig	kidney	CUBN	0
pig	kidney	EPCAM	32
pig	kidney	KCNJ1	0
pig	kidney	LRP2	0
pig	kidney	NPHS1	2
pig	kidney	NPHS2	0
pig	kidney	PODXL	0
pig	kidney	SLC12A1	0
pig	kidney	SLC34A1	0
pig	kidney	UMOD	0
pig	bone_marrow	CD3D	2
pig	bone_marrow	CD74	49
pig	bone_marrow	CTSS	3
pig	bone_marrow	FCER1G	0
pig	bone_marrow	HBA1	0
pig	bone_marrow	HBA2	0
pig	bone_marrow	HBB	0
pig	bone_marrow	LST1	0
pig	bone_marrow	MS4A1	0
pig	bone_marrow	S100A8	0
pig	bone_marrow	S100A9	0
pig	bone_marrow	TYROBP	5
pig	spleen	CCL5	23
pig	spleen	CD3D	2
pig	spleen	CD3E	14
pig	spleen	CD74	49
pig	spleen	CD79A	1
pig	spleen	CD8A	2
pig	spleen	HLA-DRA	21
pig	spleen	LST1	0
pig	spleen	MS4A1	0
pig	spleen	NKG7	7
pig	spleen	TYROBP	5
pig	cortex	AQP4	0
pig	cortex	BCL11B	0
pig	cortex	CAMK2A	0
pig	cortex	CUX2	3
pig	cortex	GAD1	0
pig	cortex	GAD2	0
pig	cortex	GFAP	0
pig	cortex	RBFOX3	0
pig	cortex	SATB2	1
pig	cortex	SLC17A7	0
pig	cortex	SYN1	0
pig	cortex	TBR1	1
pig	retina	ABCA4	2
pig	retina	ARR3	0
pig	retina	CRX	0
pig	retina	GNAT1	0
pig	retina	NRL	0
pig	retina	OPN1LW	0
pig	retina	OPN1MW	0
pig	retina	OPN1SW	0
pig	retina	PAX6	0
pig	retina	RHO	0
pig	retina	RLBP1	0
pig	retina	RPE65	0
pig	retina	VSX2	0
pig	lung	AGER	0
pig	lung	EPCAM	32
pig	lung	FOXJ1	2
pig	lung	KRT18	1
pig	lung	KRT19	3
pig	lung	KRT8	4
pig	lung	MSLN	0
pig	lung	MUC1	0
pig	lung	SCGB1A1	0
pig	lung	SFTPA1	0
pig	lung	SFTPB	0
pig	lung	SFTPC	6
pig	skin	COL1A1	115
pig	skin	COL3A1	82
pig	skin	DCN	125
pig	skin	DSG1	0
pig	skin	FLG	0
pig	skin	KRT1	0
pig	skin	KRT10	15
pig	skin	KRT14	0
pig	skin	KRT16	0
pig	skin	KRT17	7
pig	skin	KRT2	0
pig	skin	KRT5	0
pig	skin	LOR	0
