HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N2.HOG0000032	OG0000015	n4			AS2_02366, AS2_00727	
N2.HOG0000033	OG0000017	n1			AS2_00706, AS2_02496	KD33716_01887
N2.HOG0000034	OG0000017	n4			AS2_02276, AS2_02495, AS2_02636, AS2_02615	
N2.HOG0000035	OG0000018	n1			AS2_00291	KD33716_00237
N2.HOG0000036	OG0000018	n4			AS2_00998	KD33716_00945
N2.HOG0000037	OG0000019	n0			AS2_00726, AS2_01270	KD33716_00708
N2.HOG0000038	OG0000020	n1			AS2_01036	KD33716_00976
N2.HOG0000039	OG0000020	n4			AS2_00190	KD33716_00144
N2.HOG0000040	OG0000021	n1			AS2_01238	KD33716_01149
N2.HOG0000041	OG0000021	n4			AS2_02606	KD33716_02465
N2.HOG0000042	OG0000022	n1			AS2_01519	KD33716_01414
N2.HOG0000043	OG0000022	n4			AS2_02462	KD33716_02345
N2.HOG0000044	OG0000023	n1			AS2_02161	KD33716_02057
N2.HOG0000045	OG0000023	n4			AS2_00806, AS2_01872	
N2.HOG0000046	OG0000024	n1			AS2_01106	KD33716_01032
N2.HOG0000047	OG0000024	n4			AS2_01897	KD33716_01844
N2.HOG0000048	OG0000025	n1			AS2_00771	KD33716_00440
N2.HOG0000049	OG0000025	n3			AS2_01745	KD33716_00650, KD33716_01639
N2.HOG0000050	OG0000026	n1			AS2_00488	KD33716_00434
N2.HOG0000051	OG0000026	n4			AS2_00493	
N2.HOG0000052	OG0000027	n1			AS2_02330	KD33716_02211
N2.HOG0000053	OG0000027	n3			AS2_01310	KD33716_00689
N2.HOG0000054	OG0000028	n1				KD33716_00880
N2.HOG0000055	OG0000028	n3			AS2_02407	KD33716_02288
N2.HOG0000056	OG0000029	n0			AS2_00730, AS2_00718	KD33716_02214
N2.HOG0000057	OG0000030	n1			AS2_00411	KD33716_00330, KD33716_01209
N2.HOG0000058	OG0000030	n4			AS2_00392	KD33716_02188
N2.HOG0000059	OG0000031	n1			AS2_00439	KD33716_00392
N2.HOG0000060	OG0000031	n4			AS2_01839	KD33716_02437
N2.HOG0000061	OG0000032	n0			AS2_01282	KD33716_00641, KD33716_01832, KD33716_01361, KD33716_00227, KD33716_01820, KD33716_00652
N2.HOG0000062	OG0000033	n0			AS2_00464	KD33716_00289, KD33716_00427
N2.HOG0000063	OG0000034	n1			AS2_00211	
N2.HOG0000064	OG0000034	n2			AS2_00900	KD33716_00838
N2.HOG0000065	OG0000035	n0			AS2_00251	KD33716_00187, KD33716_02180, KD33716_00186
N2.HOG0000066	OG0000036	n0			AS2_00724	
N2.HOG0000067	OG0000037	n0			AS2_00725	
N2.HOG0000068	OG0000038	n0			AS2_00171, AS2_00191, AS2_02217, AS2_02334	
N2.HOG0000069	OG0000039	n1			AS2_01488	KD33716_01399
N2.HOG0000070	OG0000039	n4				KD33716_02230
N2.HOG0000071	OG0000040	n2				KD33716_01777
N2.HOG0000072	OG0000040	n3				KD33716_00149
N2.HOG0000073	OG0000041	n0			AS2_00124	KD33716_00093
N2.HOG0000074	OG0000042	n2			AS2_00815	KD33716_01774
N2.HOG0000075	OG0000042	n3			AS2_00123	KD33716_00092
N2.HOG0000076	OG0000043	n3			AS2_00590	KD33716_00524
N2.HOG0000077	OG0000043	n4			AS2_00109	KD33716_00077
N2.HOG0000078	OG0000044	n0			AS2_02313	KD33716_02170
N2.HOG0000079	OG0000045	n0			AS2_01218, AS2_02441	KD33716_02325, KD33716_02315
N2.HOG0000080	OG0000046	n2			AS2_02417	
N2.HOG0000081	OG0000046	n3			AS2_01211	
N2.HOG0000082	OG0000047	n0			AS2_02642, AS2_02662, AS2_00399	KD33716_02202
N2.HOG0000083	OG0000048	n0			AS2_00410, AS2_00389, AS2_00393	KD33716_02189
N2.HOG0000084	OG0000049	n2			AS2_00403	KD33716_02198
N2.HOG0000085	OG0000049	n3			AS2_01253, AS2_01330	KD33716_00451
N2.HOG0000086	OG0000050	n1				KD33716_00711
N2.HOG0000087	OG0000050	n3			AS2_00405	KD33716_02196
N2.HOG0000088	OG0000051	n0			AS2_02319	KD33716_00584, KD33716_00053, KD33716_02178
N2.HOG0000089	OG0000052	n0			AS2_01099	KD33716_01023
N2.HOG0000090	OG0000053	n0			AS2_02045	KD33716_01944
N2.HOG0000091	OG0000054	n2			AS2_02052	KD33716_01946
N2.HOG0000092	OG0000054	n3			AS2_02050	KD33716_02314
N2.HOG0000093	OG0000055	n0			AS2_01707, AS2_01708	KD33716_01606, KD33716_00314
N2.HOG0000094	OG0000056	n0			AS2_00412	KD33716_00648, KD33716_02216, KD33716_00325
N2.HOG0000095	OG0000057	n0			AS2_00413	KD33716_02217, KD33716_00649, KD33716_00326
N2.HOG0000096	OG0000058	n0				KD33716_01828, KD33716_00714, KD33716_00643, KD33716_01240
N2.HOG0000097	OG0000059	n0			AS2_01068, AS2_00397, AS2_02641	KD33716_01003
N2.HOG0000098	OG0000060	n0			AS2_01066, AS2_02643, AS2_00398	KD33716_01001
N2.HOG0000099	OG0000061	n0			AS2_00858	KD33716_00402, KD33716_00715, KD33716_00794
N2.HOG0000100	OG0000062	n3			AS2_00129	KD33716_00147
N2.HOG0000101	OG0000062	n4			AS2_00826	KD33716_00765
N2.HOG0000102	OG0000063	n2			AS2_01308	KD33716_02237
N2.HOG0000103	OG0000063	n3			AS2_00694	KD33716_00662
N2.HOG0000104	OG0000064	n1			AS2_00685	KD33716_00601
N2.HOG0000105	OG0000064	n3				KD33716_00555
N2.HOG0000106	OG0000065	n0			AS2_00594	KD33716_00870, KD33716_00943, KD33716_00517
N2.HOG0000107	OG0000066	n0			AS2_00482, AS2_00641, AS2_00469	KD33716_00419
N2.HOG0000108	OG0000067	n1			AS2_00195	KD33716_00146
N2.HOG0000109	OG0000067	n2			AS2_00093, AS2_00092	KD33716_00132, KD33716_00133
N2.HOG0000110	OG0000068	n0			AS2_00371, AS2_00370	KD33716_00353
N2.HOG0000111	OG0000069	n0			AS2_00354, AS2_01608	KD33716_01503
N2.HOG0000112	OG0000070	n0			AS2_00346	KD33716_00293, KD33716_00284
N2.HOG0000113	OG0000071	n0			AS2_00332, AS2_00201	KD33716_00273
N2.HOG0000114	OG0000072	n0			AS2_00317, AS2_02338	KD33716_00258
N2.HOG0000115	OG0000073	n0			AS2_00292	KD33716_00670, KD33716_00617
N2.HOG0000116	OG0000074	n0			AS2_00038, AS2_00285	KD33716_00231
N2.HOG0000117	OG0000075	n0			AS2_00265, AS2_00088	KD33716_00137
N2.HOG0000118	OG0000076	n0			AS2_02080	KD33716_01975
N2.HOG0000119	OG0000077	n2			AS2_01466	KD33716_00125
N2.HOG0000120	OG0000077	n3			AS2_00189	KD33716_00145
N2.HOG0000121	OG0000078	n0			AS2_00205, AS2_00104	KD33716_00074
N2.HOG0000122	OG0000079	n0			AS2_00167, AS2_02206	KD33716_00321
N2.HOG0000123	OG0000080	n0			AS2_00159, AS2_00086	KD33716_00117
N2.HOG0000124	OG0000081	n0			AS2_00135	KD33716_00100
N2.HOG0000125	OG0000082	n0			AS2_00120	KD33716_00088, KD33716_02472
N2.HOG0000126	OG0000083	n0			AS2_00111	KD33716_00526, KD33716_00079
N2.HOG0000127	OG0000084	n0			AS2_00444	KD33716_00397, KD33716_00629
N2.HOG0000128	OG0000085	n0			AS2_00074	KD33716_02346
N2.HOG0000129	OG0000086	n0			AS2_00068, AS2_00343	KD33716_00477
N2.HOG0000130	OG0000087	n0			AS2_00067	KD33716_00046
N2.HOG0000131	OG0000088	n0			AS2_00057	KD33716_00035, KD33716_01222
N2.HOG0000132	OG0000089	n0			AS2_00027	KD33716_00654, KD33716_00023
N2.HOG0000133	OG0000090	n0			AS2_00019	KD33716_00687, KD33716_00015
N2.HOG0000134	OG0000091	n0			AS2_02622, AS2_01326	KD33716_02474
N2.HOG0000135	OG0000092	n0			AS2_02602, AS2_01252	KD33716_02461
N2.HOG0000136	OG0000093	n0			AS2_02595, AS2_00193	KD33716_02454
N2.HOG0000137	OG0000094	n0			AS2_02586, AS2_00588, AS2_00011	KD33716_01180
N2.HOG0000138	OG0000095	n0			AS2_02571	KD33716_00215, KD33716_01754
N2.HOG0000139	OG0000096	n0			AS2_02569	KD33716_02444, KD33716_01756
N2.HOG0000140	OG0000097	n0			AS2_01381	KD33716_01272
N2.HOG0000141	OG0000098	n0			AS2_02542, AS2_02541	KD33716_02410
N2.HOG0000142	OG0000099	n0			AS2_02534, AS2_02535	KD33716_02405
N2.HOG0000143	OG0000100	n0			AS2_02509	KD33716_00683, KD33716_02380
N2.HOG0000144	OG0000101	n0			AS2_02452, AS2_01221	KD33716_02336
N2.HOG0000145	OG0000102	n0			AS2_02416	KD33716_02298
N2.HOG0000146	OG0000103	n0			AS2_02400, AS2_02399	KD33716_02283
N2.HOG0000147	OG0000104	n0			AS2_02380, AS2_00713	KD33716_02264
N2.HOG0000148	OG0000105	n0			AS2_02358	KD33716_02249, KD33716_01224
N2.HOG0000149	OG0000106	n0			AS2_00578	KD33716_00505
N2.HOG0000150	OG0000107	n0			AS2_00728, AS2_02365, AS2_00729	
N2.HOG0000151	OG0000108	n0			AS2_02344	KD33716_01190
N2.HOG0000152	OG0000109	n0				KD33716_00544, KD33716_00702
N2.HOG0000153	OG0000110	n0			AS2_02320	KD33716_02183, KD33716_01865
N2.HOG0000154	OG0000111	n0			AS2_02314	KD33716_02171, KD33716_01912
N2.HOG0000155	OG0000112	n0			AS2_02307, AS2_00162	KD33716_02164
N2.HOG0000156	OG0000113	n0			AS2_02271, AS2_00359	KD33716_02138
N2.HOG0000157	OG0000114	n0			AS2_02262, AS2_02263	KD33716_02443
N2.HOG0000158	OG0000115	n0			AS2_02222	KD33716_02098, KD33716_00342
N2.HOG0000159	OG0000116	n0			AS2_02182	KD33716_02077
N2.HOG0000160	OG0000117	n0			AS2_02125	KD33716_02176, KD33716_02018
N2.HOG0000161	OG0000118	n0			AS2_02647, AS2_02111	KD33716_02002
N2.HOG0000162	OG0000119	n0			AS2_01822	KD33716_01711
N2.HOG0000163	OG0000120	n0			AS2_01922	KD33716_01871, KD33716_00709
N2.HOG0000164	OG0000121	n0			AS2_01896, AS2_01817	KD33716_01843
N2.HOG0000165	OG0000122	n0			AS2_01877, AS2_01876	KD33716_01764
N2.HOG0000166	OG0000123	n0			AS2_01873, AS2_00822	KD33716_02256
N2.HOG0000167	OG0000124	n0			AS2_00185, AS2_01852	KD33716_01744
N2.HOG0000168	OG0000125	n0			AS2_01854, AS2_00187	KD33716_01743
N2.HOG0000169	OG0000126	n0			AS2_01853, AS2_00186	KD33716_01742
N2.HOG0000170	OG0000127	n0			AS2_00544, AS2_00331	KD33716_01735
N2.HOG0000171	OG0000128	n0			AS2_01792, AS2_01793	KD33716_01683
N2.HOG0000172	OG0000129	n0			AS2_01787, AS2_01788	KD33716_01679
N2.HOG0000173	OG0000130	n0			AS2_01776	KD33716_01669
N2.HOG0000174	OG0000131	n0			AS2_01775, AS2_00163	KD33716_01668
N2.HOG0000175	OG0000132	n0			AS2_01655	KD33716_00228, KD33716_01552
N2.HOG0000176	OG0000133	n0			AS2_01600	KD33716_02080, KD33716_01496
N2.HOG0000177	OG0000134	n0			AS2_00620	KD33716_00712
N2.HOG0000178	OG0000135	n0			AS2_01557	KD33716_00131, KD33716_01453
N2.HOG0000179	OG0000136	n0			AS2_01551	KD33716_01447, KD33716_01415
N2.HOG0000180	OG0000137	n0			AS2_01524	KD33716_01419
N2.HOG0000181	OG0000138	n0			AS2_01458	KD33716_02442, KD33716_01366
N2.HOG0000182	OG0000139	n0			AS2_01449	KD33716_01353, KD33716_01775
N2.HOG0000183	OG0000140	n0			AS2_01447	KD33716_01351, KD33716_00545
N2.HOG0000184	OG0000141	n0			AS2_01429	KD33716_01331, KD33716_01060
N2.HOG0000185	OG0000142	n0			AS2_01420, AS2_00180	KD33716_01320
N2.HOG0000186	OG0000143	n0			AS2_01386	KD33716_00286, KD33716_01277
N2.HOG0000187	OG0000144	n0			AS2_01376	KD33716_01296, KD33716_01267
N2.HOG0000188	OG0000145	n0			AS2_01363, AS2_02268	KD33716_01254
N2.HOG0000189	OG0000146	n0			AS2_01355, AS2_02577	KD33716_01248
N2.HOG0000190	OG0000147	n0			AS2_01342	KD33716_01235, KD33716_01767
N2.HOG0000191	OG0000148	n0			AS2_01340	KD33716_01234
N2.HOG0000192	OG0000149	n0			AS2_01338	KD33716_00458
N2.HOG0000193	OG0000150	n0			AS2_01337	KD33716_00456
N2.HOG0000194	OG0000151	n0				KD33716_01824, KD33716_00271, KD33716_01201
N2.HOG0000195	OG0000152	n0			AS2_01290, AS2_01275	KD33716_01198
N2.HOG0000196	OG0000153	n0			AS2_01273	KD33716_01182, KD33716_00781
N2.HOG0000197	OG0000154	n2			AS2_02578	KD33716_02117
N2.HOG0000198	OG0000154	n3			AS2_01199	KD33716_01217
N2.HOG0000199	OG0000155	n0			AS2_01197, AS2_01209	KD33716_01126
N2.HOG0000200	OG0000156	n0			AS2_01191	KD33716_01121, KD33716_00038
N2.HOG0000201	OG0000157	n0			AS2_01141, AS2_00085	KD33716_01070
N2.HOG0000202	OG0000158	n0			AS2_01098	KD33716_01022, KD33716_01806
N2.HOG0000203	OG0000159	n0			AS2_01086	KD33716_00729
N2.HOG0000204	OG0000160	n0			AS2_01085	KD33716_00733
N2.HOG0000205	OG0000161	n0			AS2_01081	KD33716_00730
N2.HOG0000206	OG0000162	n0			AS2_01065, AS2_02644	KD33716_01000
N2.HOG0000207	OG0000163	n0			AS2_01038, AS2_02335, AS2_00744	
N2.HOG0000208	OG0000164	n0			AS2_01331, AS2_01024	KD33716_00965
N2.HOG0000209	OG0000165	n0			AS2_01019, AS2_02580	KD33716_00961
N2.HOG0000210	OG0000166	n0			AS2_01016, AS2_01058	KD33716_00958
N2.HOG0000211	OG0000167	n0			AS2_00939, AS2_00786	KD33716_00874
N2.HOG0000212	OG0000168	n0			AS2_00920	KD33716_02134, KD33716_00854
N2.HOG0000213	OG0000169	n0			AS2_00906	KD33716_00292, KD33716_01885, KD33716_00845
N2.HOG0000214	OG0000170	n0			AS2_00882	KD33716_00817
N2.HOG0000215	OG0000171	n0			AS2_00881	KD33716_00816
N2.HOG0000216	OG0000172	n0			AS2_00875	KD33716_00810, KD33716_00823
N2.HOG0000217	OG0000173	n0			AS2_00872	KD33716_00808, KD33716_00818
N2.HOG0000218	OG0000174	n0			AS2_00803	KD33716_00762
N2.HOG0000219	OG0000175	n0			AS2_00789	KD33716_00750
N2.HOG0000220	OG0000176	n1				KD33716_00735
N2.HOG0000221	OG0000176	n3				KD33716_00741
N2.HOG0000222	OG0000177	n0			AS2_00560, AS2_00743	KD33716_00486
N2.HOG0000223	OG0000178	n0			AS2_00705	KD33716_00615, KD33716_00619
N2.HOG0000224	OG0000179	n0			AS2_00686	KD33716_00413, KD33716_00937, KD33716_00602
N2.HOG0000225	OG0000180	n0			AS2_00196	KD33716_00596, KD33716_00597, KD33716_00148
N2.HOG0000226	OG0000181	n0			AS2_00681, AS2_01500	KD33716_00595
N2.HOG0000227	OG0000182	n0			AS2_00658	KD33716_00575, KD33716_00718
N2.HOG0000228	OG0000183	n0			AS2_00628	KD33716_00528, KD33716_00552
N2.HOG0000229	OG0000184	n0			AS2_00598, AS2_00589	KD33716_00520
N2.HOG0000230	OG0000185	n0			AS2_00595	KD33716_00518
N2.HOG0000231	OG0000186	n0			AS2_00539	KD33716_00469
N2.HOG0000232	OG0000187	n0				KD33716_00473
N2.HOG0000233	OG0000188	n0			AS2_00489	KD33716_00435
N2.HOG0000234	OG0000189	n0			AS2_00434, AS2_00739	KD33716_00386
N2.HOG0000235	OG0000190	n0			AS2_00432, AS2_01948	KD33716_00384
N2.HOG0000236	OG0000191	n1			AS2_02198, AS2_02196	
N2.HOG0000237	OG0000191	n3			AS2_02372	
N2.HOG0000238	OG0000193	n0			AS2_01501	KD33716_00347, KD33716_00694, KD33716_00288
N2.HOG0000239	OG0000194	n1			AS2_00149	KD33716_01759
N2.HOG0000240	OG0000194	n2			AS2_01863	KD33716_01752, KD33716_01765
N2.HOG0000241	OG0000195	n0			AS2_00946, AS2_00811, AS2_02387, AS2_00518	KD33716_00886
N2.HOG0000242	OG0000196	n0				KD33716_01834, KD33716_00423, KD33716_00644, KD33716_01822, KD33716_01784
N2.HOG0000243	OG0000197	n0			AS2_00423	KD33716_00376
N2.HOG0000244	OG0000198	n0			AS2_00422	KD33716_00375
N2.HOG0000245	OG0000199	n0			AS2_00421	KD33716_00374
N2.HOG0000246	OG0000200	n0			AS2_00420	KD33716_00373
N2.HOG0000247	OG0000201	n0			AS2_00419	KD33716_00371
N2.HOG0000248	OG0000202	n0			AS2_00418	KD33716_00370
N2.HOG0000249	OG0000203	n0			AS2_00417	KD33716_00369
N2.HOG0000250	OG0000204	n0			AS2_00415	KD33716_00367
N2.HOG0000251	OG0000205	n0			AS2_00386	KD33716_02181
N2.HOG0000252	OG0000206	n0			AS2_00383	KD33716_00364
N2.HOG0000253	OG0000207	n0			AS2_00382	KD33716_00363
N2.HOG0000254	OG0000208	n0			AS2_00381	KD33716_00362
N2.HOG0000255	OG0000209	n0			AS2_00380	KD33716_00361
N2.HOG0000256	OG0000210	n0			AS2_00379	KD33716_00360
N2.HOG0000257	OG0000211	n0			AS2_00377	KD33716_00359
N2.HOG0000258	OG0000212	n0			AS2_00376	KD33716_00358
N2.HOG0000259	OG0000213	n0			AS2_00375	KD33716_00357
N2.HOG0000260	OG0000214	n0			AS2_00374	KD33716_00356
N2.HOG0000261	OG0000215	n0			AS2_00373	KD33716_00355
N2.HOG0000262	OG0000216	n0			AS2_00372	KD33716_00354
N2.HOG0000263	OG0000217	n0			AS2_00366	KD33716_00304
N2.HOG0000264	OG0000218	n0			AS2_00365	KD33716_00463
N2.HOG0000265	OG0000219	n0			AS2_00362	KD33716_00303
N2.HOG0000266	OG0000220	n0			AS2_00209	
N2.HOG0000267	OG0000221	n0			AS2_00901	KD33716_00840
N2.HOG0000268	OG0000222	n0			AS2_00361	KD33716_00302
N2.HOG0000269	OG0000223	n0			AS2_00360	KD33716_00301
N2.HOG0000270	OG0000224	n0			AS2_00358	KD33716_00300
N2.HOG0000271	OG0000225	n0			AS2_00357	KD33716_00299
N2.HOG0000272	OG0000226	n0			AS2_00356	KD33716_00298
N2.HOG0000273	OG0000227	n0			AS2_00355	KD33716_00297
N2.HOG0000274	OG0000228	n0			AS2_00349	KD33716_00294
N2.HOG0000275	OG0000229	n0			AS2_00348	KD33716_00295
N2.HOG0000276	OG0000230	n0			AS2_00353	KD33716_01218
N2.HOG0000277	OG0000231	n0			AS2_00344	KD33716_00282
N2.HOG0000278	OG0000232	n0			AS2_00342	KD33716_00281
N2.HOG0000279	OG0000233	n0			AS2_00339	KD33716_00279
N2.HOG0000280	OG0000234	n0			AS2_00338	KD33716_00278
N2.HOG0000281	OG0000235	n0			AS2_00337	KD33716_00277
N2.HOG0000282	OG0000236	n0			AS2_00335	KD33716_00276
N2.HOG0000283	OG0000237	n0			AS2_00334	KD33716_00275
N2.HOG0000284	OG0000238	n0			AS2_00333	KD33716_00274
N2.HOG0000285	OG0000239	n0			AS2_00330	KD33716_00272
N2.HOG0000286	OG0000240	n0			AS2_00329	KD33716_00268
N2.HOG0000287	OG0000241	n0			AS2_00327	KD33716_00267
N2.HOG0000288	OG0000242	n0			AS2_00326	KD33716_00266
N2.HOG0000289	OG0000243	n0			AS2_00323	KD33716_00265
N2.HOG0000290	OG0000244	n0			AS2_00322	KD33716_00264
N2.HOG0000291	OG0000245	n0			AS2_00321	KD33716_00263
N2.HOG0000292	OG0000246	n0			AS2_00320	KD33716_00262
N2.HOG0000293	OG0000247	n0			AS2_00319	KD33716_00260
N2.HOG0000294	OG0000248	n0			AS2_00318	KD33716_00259
N2.HOG0000295	OG0000249	n0			AS2_00316	KD33716_00257
N2.HOG0000296	OG0000250	n0			AS2_00315	KD33716_00256
N2.HOG0000297	OG0000251	n0			AS2_00314	KD33716_00255
N2.HOG0000298	OG0000252	n0			AS2_00313	KD33716_00254
N2.HOG0000299	OG0000253	n0			AS2_00312	KD33716_00253
N2.HOG0000300	OG0000254	n0			AS2_00311	KD33716_00252
N2.HOG0000301	OG0000255	n0			AS2_00307	KD33716_00251
N2.HOG0000302	OG0000256	n0			AS2_00305	KD33716_00250
N2.HOG0000303	OG0000257	n0			AS2_00304	KD33716_00249
N2.HOG0000304	OG0000258	n0			AS2_00303	KD33716_00248
N2.HOG0000305	OG0000259	n0			AS2_00302	KD33716_00247
N2.HOG0000306	OG0000260	n0			AS2_00301	KD33716_00246
N2.HOG0000307	OG0000261	n0			AS2_00300	KD33716_00245
N2.HOG0000308	OG0000262	n0			AS2_00299	KD33716_00244
N2.HOG0000309	OG0000263	n0			AS2_00298	KD33716_00243
N2.HOG0000310	OG0000264	n0			AS2_00297	KD33716_00242
N2.HOG0000311	OG0000265	n0			AS2_00296	KD33716_00241
N2.HOG0000312	OG0000266	n0			AS2_00295	KD33716_00240
N2.HOG0000313	OG0000267	n0			AS2_00294	KD33716_00239
N2.HOG0000314	OG0000268	n0			AS2_00293	KD33716_00238
N2.HOG0000315	OG0000269	n0			AS2_00289	KD33716_00235
N2.HOG0000316	OG0000270	n0			AS2_00288	KD33716_00234
N2.HOG0000317	OG0000271	n0			AS2_00287	KD33716_00233
N2.HOG0000318	OG0000272	n0			AS2_00286	KD33716_00232
N2.HOG0000319	OG0000273	n0			AS2_00284	KD33716_00225
N2.HOG0000320	OG0000274	n0			AS2_00283	KD33716_00224
N2.HOG0000321	OG0000275	n0			AS2_00282	KD33716_00223
N2.HOG0000322	OG0000276	n0			AS2_00281	KD33716_00222
N2.HOG0000323	OG0000277	n0			AS2_00280	KD33716_00221
N2.HOG0000324	OG0000278	n0			AS2_00279	KD33716_00220
N2.HOG0000325	OG0000279	n0			AS2_00278	KD33716_00219
N2.HOG0000326	OG0000280	n0			AS2_00277	KD33716_00218
N2.HOG0000327	OG0000281	n0			AS2_00272	KD33716_00204
N2.HOG0000328	OG0000282	n0			AS2_00271	KD33716_00203
N2.HOG0000329	OG0000283	n0			AS2_00270	KD33716_00201
N2.HOG0000330	OG0000284	n0			AS2_00263	KD33716_00197
N2.HOG0000331	OG0000285	n0			AS2_00262	KD33716_00196
N2.HOG0000332	OG0000286	n0			AS2_00261	KD33716_00195
N2.HOG0000333	OG0000287	n0			AS2_00260	KD33716_00194
N2.HOG0000334	OG0000288	n0			AS2_00259	KD33716_00193
N2.HOG0000335	OG0000289	n0			AS2_00258	KD33716_00192
N2.HOG0000336	OG0000290	n0			AS2_00254	KD33716_00651
N2.HOG0000337	OG0000291	n0			AS2_00252	KD33716_00188
N2.HOG0000338	OG0000292	n0			AS2_00250	KD33716_00185
N2.HOG0000339	OG0000293	n0			AS2_00248	KD33716_00182
N2.HOG0000340	OG0000294	n0			AS2_00247	KD33716_00181
N2.HOG0000341	OG0000295	n0			AS2_00246	KD33716_00180
N2.HOG0000342	OG0000296	n0			AS2_00245	KD33716_00179
N2.HOG0000343	OG0000297	n0			AS2_00244	KD33716_00178
N2.HOG0000344	OG0000298	n0			AS2_00243	KD33716_00177
N2.HOG0000345	OG0000299	n0			AS2_00242	KD33716_00176
N2.HOG0000346	OG0000300	n0			AS2_00241	KD33716_00175
N2.HOG0000347	OG0000301	n0			AS2_00240	KD33716_00174
N2.HOG0000348	OG0000302	n0			AS2_00238	KD33716_00173
N2.HOG0000349	OG0000303	n0			AS2_00236	KD33716_00821
N2.HOG0000350	OG0000304	n0			AS2_00235	KD33716_00820
N2.HOG0000351	OG0000305	n0			AS2_00234	KD33716_00819
N2.HOG0000352	OG0000306	n0			AS2_00233	KD33716_00172
N2.HOG0000353	OG0000307	n0			AS2_00232	KD33716_00171
N2.HOG0000354	OG0000308	n0			AS2_00231	KD33716_00170
N2.HOG0000355	OG0000309	n0			AS2_00470	KD33716_00420
N2.HOG0000356	OG0000310	n0			AS2_02333	KD33716_00676
N2.HOG0000357	OG0000311	n0			AS2_00223	KD33716_00169
N2.HOG0000358	OG0000312	n0			AS2_00222	KD33716_00168
N2.HOG0000359	OG0000313	n0			AS2_00221	KD33716_00166
N2.HOG0000360	OG0000314	n0			AS2_00220	KD33716_00165
N2.HOG0000361	OG0000315	n0			AS2_00219	KD33716_00164
N2.HOG0000362	OG0000316	n0			AS2_00218	KD33716_00163
N2.HOG0000363	OG0000317	n0			AS2_00217	KD33716_00162
N2.HOG0000364	OG0000318	n0			AS2_00216	KD33716_00161
N2.HOG0000365	OG0000319	n0			AS2_00215	KD33716_00160
N2.HOG0000366	OG0000320	n0			AS2_00214	KD33716_00159
N2.HOG0000367	OG0000321	n0			AS2_00212	KD33716_00320
N2.HOG0000368	OG0000322	n0			AS2_00208	KD33716_00155
N2.HOG0000369	OG0000323	n0			AS2_00207	KD33716_00154
