HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N1.HOG0000107	OG0000056	n0	KBS0714_01397	SA211_01130		
N1.HOG0000108	OG0000057	n0	KBS0714_01401	SA211_01131		
N1.HOG0000109	OG0000058	n0	KBS0714_01590	SA211_01302		
N1.HOG0000110	OG0000059	n0	KBS0714_01806	SA211_01503		
N1.HOG0000111	OG0000060	n0	KBS0714_01808	SA211_01505		
N1.HOG0000112	OG0000061	n0	KBS0714_01999	SA211_01693		
N1.HOG0000113	OG0000062	n0	KBS0714_02014	SA211_01724		
N1.HOG0000114	OG0000063	n0	KBS0714_02089	SA211_01794		
N1.HOG0000115	OG0000064	n1		SA211_01800		
N1.HOG0000116	OG0000064	n3	KBS0714_02093	SA211_01801		
N1.HOG0000117	OG0000065	n0	KBS0714_02163	SA211_01877		
N1.HOG0000118	OG0000066	n0	KBS0714_02265	SA211_01960		
N1.HOG0000119	OG0000068	n0	KBS0714_00025	SA211_02043		
N1.HOG0000120	OG0000069	n0	KBS0714_00049	SA211_02062		
N1.HOG0000121	OG0000070	n0	KBS0714_00053	SA211_02066		
N1.HOG0000122	OG0000071	n0	KBS0714_00063	SA211_02076		
N1.HOG0000123	OG0000072	n0	KBS0714_00076	SA211_02089		
N1.HOG0000124	OG0000073	n0	KBS0714_00099	SA211_02112		
N1.HOG0000125	OG0000074	n0	KBS0714_00105	SA211_02118		
N1.HOG0000126	OG0000075	n0	KBS0714_00119	SA211_02135		
N1.HOG0000127	OG0000076	n0	KBS0714_00854, KBS0714_00175	SA211_00576		
N1.HOG0000128	OG0000077	n0	KBS0714_00200			
N1.HOG0000129	OG0000078	n0	KBS0714_00201	SA211_02196		
N1.HOG0000130	OG0000079	n0	KBS0714_00216	SA211_02209		
N1.HOG0000131	OG0000080	n0	KBS0714_00221	SA211_02234		
N1.HOG0000132	OG0000081	n0	KBS0714_00236	SA211_02249, SA211_00102		
N1.HOG0000133	OG0000082	n0	KBS0714_00250	SA211_02262		
N1.HOG0000134	OG0000083	n0	KBS0714_00258	SA211_02272		
N1.HOG0000135	OG0000084	n0	KBS0714_00269	SA211_02282		
N1.HOG0000136	OG0000085	n0	KBS0714_00279	SA211_00203, SA211_02294		
N1.HOG0000137	OG0000086	n0	KBS0714_00286	SA211_02308		
N1.HOG0000138	OG0000087	n0	KBS0714_00287, KBS0714_01958	SA211_02309		
N1.HOG0000139	OG0000088	n0	KBS0714_00297	SA211_00005		
N1.HOG0000140	OG0000089	n0	KBS0714_00310	SA211_00025		
N1.HOG0000141	OG0000090	n0	KBS0714_00318	SA211_00033		
N1.HOG0000142	OG0000091	n0	KBS0714_00347	SA211_00063		
N1.HOG0000143	OG0000092	n0	KBS0714_00359	SA211_00075		
N1.HOG0000144	OG0000093	n0	KBS0714_00366	SA211_00082		
N1.HOG0000145	OG0000094	n0	KBS0714_00377			
N1.HOG0000146	OG0000095	n0	KBS0714_00384	SA211_00108		
N1.HOG0000147	OG0000096	n0	KBS0714_00386	SA211_00110		
N1.HOG0000148	OG0000097	n0	KBS0714_01544, KBS0714_00402	SA211_01254		
N1.HOG0000149	OG0000098	n0	KBS0714_00418	SA211_00139		
N1.HOG0000150	OG0000099	n0	KBS0714_00423	SA211_00144		
N1.HOG0000151	OG0000100	n0	KBS0714_00448	SA211_00169		
N1.HOG0000152	OG0000101	n0	KBS0714_00495	SA211_00216		
N1.HOG0000153	OG0000102	n0	KBS0714_00525	SA211_00246, SA211_00257		
N1.HOG0000154	OG0000103	n0	KBS0714_00547	SA211_00272		
N1.HOG0000155	OG0000104	n0	KBS0714_00563	SA211_00288		
N1.HOG0000156	OG0000105	n0	KBS0714_00575	SA211_00307		
N1.HOG0000157	OG0000106	n0	KBS0714_00604, KBS0714_02174	SA211_01888		
N1.HOG0000158	OG0000107	n0	KBS0714_00608	SA211_01768		
N1.HOG0000159	OG0000108	n0	KBS0714_00611	SA211_00327, SA211_01771		
N1.HOG0000160	OG0000109	n0	KBS0714_00614	SA211_00326, SA211_01774		
N1.HOG0000161	OG0000110	n0	KBS0714_00642	SA211_00379		
N1.HOG0000162	OG0000111	n0	KBS0714_00649	SA211_00386		
N1.HOG0000163	OG0000112	n0	KBS0714_00656	SA211_00393		
N1.HOG0000164	OG0000113	n0	KBS0714_00686	SA211_00423		
N1.HOG0000165	OG0000114	n0	KBS0714_00692	SA211_00429		
N1.HOG0000166	OG0000115	n0	KBS0714_00731	SA211_00462		
N1.HOG0000167	OG0000116	n0	KBS0714_00747, KBS0714_00748	SA211_00478		
N1.HOG0000168	OG0000117	n0	KBS0714_00805	SA211_00536		
N1.HOG0000169	OG0000118	n0	KBS0714_00819	SA211_00551		
N1.HOG0000170	OG0000119	n0	KBS0714_01065, KBS0714_00838	SA211_00784		
N1.HOG0000171	OG0000120	n0	KBS0714_00965	SA211_00678		
N1.HOG0000172	OG0000121	n0	KBS0714_00993	SA211_00707		
N1.HOG0000173	OG0000122	n0	KBS0714_01012	SA211_00726		
N1.HOG0000174	OG0000123	n0	KBS0714_01015	SA211_00729		
N1.HOG0000175	OG0000124	n0	KBS0714_01028	SA211_00743		
N1.HOG0000176	OG0000125	n0	KBS0714_01029	SA211_00744		
N1.HOG0000177	OG0000126	n0	KBS0714_01030	SA211_00745		
N1.HOG0000178	OG0000127	n0	KBS0714_01042	SA211_00755		
N1.HOG0000179	OG0000128	n0	KBS0714_01102	SA211_00821		
N1.HOG0000180	OG0000129	n0	KBS0714_01106	SA211_00825		
N1.HOG0000181	OG0000130	n0	KBS0714_01117	SA211_00836, SA211_00373		
N1.HOG0000182	OG0000131	n0	KBS0714_01118	SA211_00837		
N1.HOG0000183	OG0000132	n0	KBS0714_01233	SA211_00952		
N1.HOG0000184	OG0000133	n0	KBS0714_01285	SA211_01004		
N1.HOG0000185	OG0000134	n0	KBS0714_01627, KBS0714_01288	SA211_01007		
N1.HOG0000186	OG0000135	n0	KBS0714_01334	SA211_01055		
N1.HOG0000187	OG0000136	n0	KBS0714_01341	SA211_01061		
N1.HOG0000188	OG0000137	n0	KBS0714_01369, KBS0714_01953	SA211_01089		
N1.HOG0000189	OG0000138	n0	KBS0714_01440	SA211_01172		
N1.HOG0000190	OG0000139	n0	KBS0714_01450	SA211_01182		
N1.HOG0000191	OG0000140	n0	KBS0714_01452	SA211_01184		
N1.HOG0000192	OG0000141	n0	KBS0714_01471	SA211_01203		
N1.HOG0000193	OG0000142	n0	KBS0714_01482	SA211_01214		
N1.HOG0000194	OG0000143	n0	KBS0714_01539	SA211_01249		
N1.HOG0000195	OG0000144	n0	KBS0714_01549	SA211_01259		
N1.HOG0000196	OG0000145	n0	KBS0714_01563	SA211_01273		
N1.HOG0000197	OG0000146	n0	KBS0714_01569	SA211_01279		
N1.HOG0000198	OG0000147	n0	KBS0714_01581	SA211_01291		
N1.HOG0000199	OG0000148	n0	KBS0714_01582	SA211_01293, SA211_01292		
N1.HOG0000200	OG0000149	n0	KBS0714_01584, KBS0714_02249	SA211_01295		
N1.HOG0000201	OG0000150	n0	KBS0714_01585, KBS0714_02251	SA211_01296		
N1.HOG0000202	OG0000151	n0	KBS0714_01601	SA211_01313		
N1.HOG0000203	OG0000152	n0	KBS0714_01604	SA211_01316		
N1.HOG0000204	OG0000153	n0	KBS0714_01624	SA211_01330		
N1.HOG0000205	OG0000154	n0	KBS0714_01679			
N1.HOG0000206	OG0000155	n0	KBS0714_01681	SA211_01385		
N1.HOG0000207	OG0000156	n0	KBS0714_01687	SA211_01391		
N1.HOG0000208	OG0000157	n0	KBS0714_01737	SA211_01444		
N1.HOG0000209	OG0000158	n0	KBS0714_01779	SA211_01486		
N1.HOG0000210	OG0000159	n0	KBS0714_02051, KBS0714_01790	SA211_01757		
N1.HOG0000211	OG0000160	n0	KBS0714_01791, KBS0714_02047	SA211_01753		
N1.HOG0000212	OG0000161	n0	KBS0714_02050, KBS0714_01795	SA211_01756		
N1.HOG0000213	OG0000162	n0	KBS0714_01809	SA211_01506		
N1.HOG0000214	OG0000163	n0	KBS0714_01830	SA211_01527		
N1.HOG0000215	OG0000164	n0	KBS0714_01844	SA211_01541		
N1.HOG0000216	OG0000165	n0	KBS0714_01849	SA211_01545		
N1.HOG0000217	OG0000166	n0	KBS0714_01852	SA211_01548		
N1.HOG0000218	OG0000167	n0	KBS0714_01921	SA211_01617		
N1.HOG0000219	OG0000168	n0	KBS0714_01939	SA211_01635		
N1.HOG0000220	OG0000169	n0	KBS0714_01951			
N1.HOG0000221	OG0000170	n0	KBS0714_01976, KBS0714_01975	SA211_01669		
N1.HOG0000222	OG0000171	n0	KBS0714_01977	SA211_01671, SA211_01670		
N1.HOG0000223	OG0000172	n0	KBS0714_01983	SA211_01677		
N1.HOG0000224	OG0000173	n0	KBS0714_01985	SA211_01679		
N1.HOG0000225	OG0000174	n0	KBS0714_02018	SA211_01727, SA211_00095		
N1.HOG0000226	OG0000175	n0	KBS0714_02029, KBS0714_02031	SA211_01738		
N1.HOG0000227	OG0000176	n1	KBS0714_02045	SA211_01751		
N1.HOG0000228	OG0000176	n3		SA211_01749		
N1.HOG0000229	OG0000177	n0	KBS0714_02070	SA211_01107		
N1.HOG0000230	OG0000178	n0	KBS0714_02079	SA211_01783		
N1.HOG0000231	OG0000179	n0	KBS0714_02092			
N1.HOG0000232	OG0000180	n0	KBS0714_02096			
N1.HOG0000233	OG0000181	n0	KBS0714_02098	SA211_01805		
N1.HOG0000234	OG0000182	n0	KBS0714_02122	SA211_01830		
N1.HOG0000235	OG0000183	n0	KBS0714_02144	SA211_01851		
N1.HOG0000236	OG0000184	n0	KBS0714_02160	SA211_01873		
N1.HOG0000237	OG0000185	n0	KBS0714_02162	SA211_01875, SA211_01876		
N1.HOG0000238	OG0000186	n0	KBS0714_02206	SA211_01919, SA211_02305		
N1.HOG0000239	OG0000187	n2	KBS0714_02288	SA211_01980		
N1.HOG0000240	OG0000187	n3	KBS0714_02218	SA211_01931		
N1.HOG0000241	OG0000188	n0	KBS0714_02252, KBS0714_02276	SA211_01951		
N1.HOG0000242	OG0000189	n0	KBS0714_02303	SA211_01996		
N1.HOG0000243	OG0000190	n0	KBS0714_02305	SA211_01998		
N1.HOG0000244	OG0000191	n1		SA211_02232		
N1.HOG0000245	OG0000191	n3		SA211_00303		
N1.HOG0000246	OG0000192	n0		SA211_00329, SA211_01967, SA211_00368, SA211_01110, SA211_02017		
N1.HOG0000247	OG0000193	n0		SA211_02019		
N1.HOG0000248	OG0000197	n0	KBS0714_00001	SA211_02006		
N1.HOG0000249	OG0000198	n0	KBS0714_00002	SA211_02007		
N1.HOG0000250	OG0000199	n0	KBS0714_00003	SA211_02008		
N1.HOG0000251	OG0000200	n0	KBS0714_00004	SA211_02009		
N1.HOG0000252	OG0000201	n0	KBS0714_00005	SA211_02010		
N1.HOG0000253	OG0000202	n0	KBS0714_00006	SA211_02011		
N1.HOG0000254	OG0000203	n0	KBS0714_00007	SA211_02012		
N1.HOG0000255	OG0000204	n0	KBS0714_00009	SA211_02014		
N1.HOG0000256	OG0000205	n0	KBS0714_00011	SA211_02029		
N1.HOG0000257	OG0000206	n0	KBS0714_00014	SA211_02032		
N1.HOG0000258	OG0000207	n0	KBS0714_00015	SA211_02033		
N1.HOG0000259	OG0000208	n0	KBS0714_00016	SA211_02034		
N1.HOG0000260	OG0000209	n0	KBS0714_00017	SA211_02035		
N1.HOG0000261	OG0000210	n0	KBS0714_00018	SA211_02036		
N1.HOG0000262	OG0000211	n0	KBS0714_00019	SA211_02037		
N1.HOG0000263	OG0000212	n0	KBS0714_00020	SA211_02038		
N1.HOG0000264	OG0000213	n0	KBS0714_00021	SA211_02039		
N1.HOG0000265	OG0000214	n0	KBS0714_00022	SA211_02040		
N1.HOG0000266	OG0000215	n0	KBS0714_00023	SA211_02041		
N1.HOG0000267	OG0000216	n0	KBS0714_00024	SA211_02042		
N1.HOG0000268	OG0000217	n0	KBS0714_00032	SA211_02049		
N1.HOG0000269	OG0000218	n0	KBS0714_00033	SA211_02050		
N1.HOG0000270	OG0000219	n0	KBS0714_00034	SA211_02051		
N1.HOG0000271	OG0000220	n0	KBS0714_00190, KBS0714_00035	SA211_02020		
N1.HOG0000272	OG0000221	n0	KBS0714_00036	SA211_01647		
N1.HOG0000273	OG0000222	n0	KBS0714_00039	SA211_02052		
N1.HOG0000274	OG0000223	n0	KBS0714_00040	SA211_02053		
N1.HOG0000275	OG0000224	n0	KBS0714_00042	SA211_02055		
N1.HOG0000276	OG0000225	n0	KBS0714_00043	SA211_02056		
N1.HOG0000277	OG0000226	n0	KBS0714_00044	SA211_02057		
N1.HOG0000278	OG0000227	n0	KBS0714_00045	SA211_02058		
N1.HOG0000279	OG0000228	n0	KBS0714_00046	SA211_02059		
N1.HOG0000280	OG0000229	n0	KBS0714_00047	SA211_02060		
N1.HOG0000281	OG0000230	n0	KBS0714_00050	SA211_02063		
N1.HOG0000282	OG0000231	n0	KBS0714_00054	SA211_02067		
N1.HOG0000283	OG0000232	n0	KBS0714_00055	SA211_02068		
N1.HOG0000284	OG0000233	n0	KBS0714_00056	SA211_02069		
N1.HOG0000285	OG0000234	n0	KBS0714_00057	SA211_02070		
N1.HOG0000286	OG0000235	n0	KBS0714_00058	SA211_02071		
N1.HOG0000287	OG0000236	n0	KBS0714_00060	SA211_02073		
N1.HOG0000288	OG0000237	n0	KBS0714_00061	SA211_02074		
N1.HOG0000289	OG0000238	n0	KBS0714_00062	SA211_02075		
N1.HOG0000290	OG0000239	n0	KBS0714_00065	SA211_02078		
N1.HOG0000291	OG0000240	n0	KBS0714_00066	SA211_02079		
N1.HOG0000292	OG0000241	n0	KBS0714_00067	SA211_02080		
N1.HOG0000293	OG0000242	n0	KBS0714_00068	SA211_02081		
N1.HOG0000294	OG0000243	n0	KBS0714_00069	SA211_02082		
N1.HOG0000295	OG0000244	n0	KBS0714_00070	SA211_02083		
N1.HOG0000296	OG0000245	n0	KBS0714_00071	SA211_02084		
N1.HOG0000297	OG0000246	n0	KBS0714_00072	SA211_02085		
N1.HOG0000298	OG0000247	n0	KBS0714_00074	SA211_02087		
N1.HOG0000299	OG0000248	n0	KBS0714_00075	SA211_02088		
N1.HOG0000300	OG0000249	n0	KBS0714_00077	SA211_02090		
N1.HOG0000301	OG0000250	n0	KBS0714_00078	SA211_02091		
N1.HOG0000302	OG0000251	n0	KBS0714_00079	SA211_02092		
N1.HOG0000303	OG0000252	n0	KBS0714_00080	SA211_02093		
N1.HOG0000304	OG0000253	n0	KBS0714_00081	SA211_02094		
N1.HOG0000305	OG0000254	n0	KBS0714_00082	SA211_02095		
N1.HOG0000306	OG0000255	n0	KBS0714_00084	SA211_02097		
N1.HOG0000307	OG0000256	n0	KBS0714_00086	SA211_02099		
N1.HOG0000308	OG0000257	n0	KBS0714_00087	SA211_02100		
N1.HOG0000309	OG0000258	n0	KBS0714_00088	SA211_02101		
N1.HOG0000310	OG0000259	n0	KBS0714_00089	SA211_02102		
N1.HOG0000311	OG0000260	n0	KBS0714_00090	SA211_02103		
N1.HOG0000312	OG0000261	n0	KBS0714_00091	SA211_02104		
N1.HOG0000313	OG0000262	n0	KBS0714_00092	SA211_02105		
N1.HOG0000314	OG0000263	n0	KBS0714_00093	SA211_02106		
N1.HOG0000315	OG0000264	n0	KBS0714_00094	SA211_02107		
N1.HOG0000316	OG0000265	n0	KBS0714_00095	SA211_02108		
N1.HOG0000317	OG0000266	n0	KBS0714_00096	SA211_02109		
N1.HOG0000318	OG0000267	n0	KBS0714_00097	SA211_02110		
N1.HOG0000319	OG0000268	n0	KBS0714_00098	SA211_02111		
N1.HOG0000320	OG0000269	n0	KBS0714_00101	SA211_02114		
N1.HOG0000321	OG0000270	n0	KBS0714_00102	SA211_02115		
N1.HOG0000322	OG0000271	n0	KBS0714_00103	SA211_02116		
N1.HOG0000323	OG0000272	n0	KBS0714_00104	SA211_02117		
N1.HOG0000324	OG0000273	n0	KBS0714_00106	SA211_02119		
N1.HOG0000325	OG0000274	n0	KBS0714_00107	SA211_02120		
N1.HOG0000326	OG0000275	n0	KBS0714_00108	SA211_02121		
N1.HOG0000327	OG0000276	n0	KBS0714_00109	SA211_02122		
N1.HOG0000328	OG0000277	n0	KBS0714_00110	SA211_02123		
N1.HOG0000329	OG0000278	n0	KBS0714_00111	SA211_02124		
N1.HOG0000330	OG0000279	n0	KBS0714_00112	SA211_02125		
N1.HOG0000331	OG0000280	n0	KBS0714_00113	SA211_02126		
N1.HOG0000332	OG0000281	n0	KBS0714_00115	SA211_02128		
N1.HOG0000333	OG0000282	n0	KBS0714_00116	SA211_02129		
N1.HOG0000334	OG0000283	n0	KBS0714_00117	SA211_02130		
N1.HOG0000335	OG0000284	n0	KBS0714_00122	SA211_02136		
N1.HOG0000336	OG0000285	n0	KBS0714_00123	SA211_02137		
N1.HOG0000337	OG0000286	n0	KBS0714_00124	SA211_02138		
N1.HOG0000338	OG0000287	n0	KBS0714_00125	SA211_02139		
N1.HOG0000339	OG0000288	n0	KBS0714_00126	SA211_02140		
N1.HOG0000340	OG0000289	n0	KBS0714_00127	SA211_02141		
N1.HOG0000341	OG0000290	n0	KBS0714_00131	SA211_02145		
N1.HOG0000342	OG0000291	n0	KBS0714_00133	SA211_02147		
N1.HOG0000343	OG0000292	n0	KBS0714_00135	SA211_02149		
N1.HOG0000344	OG0000293	n0	KBS0714_00136	SA211_02150		
N1.HOG0000345	OG0000294	n0	KBS0714_00137	SA211_02151		
N1.HOG0000346	OG0000295	n0	KBS0714_00138	SA211_02152		
N1.HOG0000347	OG0000296	n0	KBS0714_00139	SA211_02153		
N1.HOG0000348	OG0000297	n0	KBS0714_00140	SA211_02154		
N1.HOG0000349	OG0000298	n0	KBS0714_00141	SA211_02155		
N1.HOG0000350	OG0000299	n0	KBS0714_00142	SA211_02156		
N1.HOG0000351	OG0000300	n0	KBS0714_00143	SA211_02157		
N1.HOG0000352	OG0000301	n0	KBS0714_00144	SA211_02158		
N1.HOG0000353	OG0000302	n0	KBS0714_00146	SA211_02160		
N1.HOG0000354	OG0000303	n0	KBS0714_00147	SA211_02161		
N1.HOG0000355	OG0000304	n0	KBS0714_00148	SA211_02162		
N1.HOG0000356	OG0000305	n0	KBS0714_00149	SA211_02163		
N1.HOG0000357	OG0000306	n0	KBS0714_00150	SA211_02164		
N1.HOG0000358	OG0000307	n0	KBS0714_00151	SA211_02165		
N1.HOG0000359	OG0000308	n0	KBS0714_00152	SA211_02166		
N1.HOG0000360	OG0000309	n0	KBS0714_00154	SA211_02168		
N1.HOG0000361	OG0000310	n0	KBS0714_00168	SA211_00359		
N1.HOG0000362	OG0000311	n0	KBS0714_00178	SA211_02174		
N1.HOG0000363	OG0000312	n0	KBS0714_00179	SA211_02175		
N1.HOG0000364	OG0000313	n0	KBS0714_00180	SA211_02176		
N1.HOG0000365	OG0000314	n0	KBS0714_00181	SA211_02177		
N1.HOG0000366	OG0000315	n0	KBS0714_00182	SA211_02178		
N1.HOG0000367	OG0000316	n0	KBS0714_00183	SA211_02179		
N1.HOG0000368	OG0000317	n0	KBS0714_00184	SA211_02180		
N1.HOG0000369	OG0000318	n0	KBS0714_00185	SA211_02181		
N1.HOG0000370	OG0000319	n0	KBS0714_00186	SA211_02182		
