scog_id	pis_count	total_sites	pis_percentage
1455730at2759	0	645	0.00
1459797at2759	5	140	3.57
1474000at2759	20	480	4.17
1479417at2759	0	660	0.00
1488235at2759	12	234	5.13
1488436at2759	5	163	3.07
1490022at2759	18	236	7.63
1504863at2759	3	230	1.30
1513531at2759	5	370	1.35
1525971at2759	11	190	5.79
1526152at2759	0	184	0.00
1530008at2759	14	237	5.91
1538526at2759	10	256	3.91
1545004at2759	0	96	0.00
1552706at2759	4	468	0.85
1558822at2759	0	109	0.00
156083at2759	0	2440	0.00
1563319at2759	0	377	0.00
1567796at2759	9	570	1.58
1575179at2759	3	205	1.46
1576404at2759	12	308	3.90
1588798at2759	15	454	3.30
1593937at2759	23	542	4.24
160593at2759	162	2968	5.46
1617752at2759	2	120	1.67
1620056at2759	10	160	6.25
1623701at2759	12	213	5.63
1626636at2759	0	261	0.00
1633672at2759	4	118	3.39
1645187at2759	8	171	4.68
166920at2759	79	1486	5.32
176625at2759	68	1510	4.50
179362at2759	57	1384	4.12
245208at2759	52	1272	4.09
257318at2759	28	833	3.36
261328at2759	0	1549	0.00
261419at2759	0	1563	0.00
270107at2759	53	1180	4.49
271586at2759	45	1450	3.10
290630at2759	48	960	5.00
293315at2759	66	1752	3.77
296129at2759	68	1198	5.68
299766at2759	43	1733	2.48
306227at2759	0	1145	0.00
320059at2759	18	589	3.06
324863at2759	60	1222	4.91
325552at2759	48	658	7.29
330169at2759	36	700	5.14
331411at2759	40	1234	3.24
341721at2759	40	1136	3.52
345441at2759	0	585	0.00
355408at2759	46	799	5.76
369837at2759	50	880	5.68
375960at2759	30	904	3.32
383503at2759	28	606	4.62
388820at2759	52	1258	4.13
390348at2759	60	1158	5.18
392369at2759	25	560	4.46
39650at2759	115	2451	4.69
396755at2759	59	1563	3.77
418107at2759	32	531	6.03
426305at2759	54	925	5.84
450058at2759	28	1235	2.27
453044at2759	30	565	5.31
457861at2759	14	557	2.51
464990at2759	26	762	3.41
491869at2759	0	1208	0.00
513979at2759	35	846	4.14
543764at2759	34	751	4.53
549762at2759	0	772	0.00
551907at2759	48	1315	3.65
570797at2759	21	1233	1.70
582756at2759	34	719	4.73
598949at2759	49	1186	4.13
604979at2759	0	668	0.00
621827at2759	36	611	5.89
625387at2759	0	1557	0.00
655400at2759	28	953	2.94
664730at2759	27	539	5.01
671536at2759	26	608	4.28
671846at2759	23	1041	2.21
673132at2759	26	502	5.18
674160at2759	126	3238	3.89
674169at2759	16	1131	1.41
679187at2759	0	1160	0.00
679771at2759	0	481	0.00
687505at2759	18	477	3.77
692986at2759	32	1047	3.06
708105at2759	21	553	3.80
719531at2759	23	553	4.16
720340at2759	20	508	3.94
721605at2759	0	394	0.00
722805at2759	49	1701	2.88
734341at2759	12	452	2.65
734666at2759	31	582	5.33
736068at2759	22	613	3.59
751335at2759	24	641	3.74
759498at2759	45	1001	4.50
761109at2759	27	889	3.04
768809at2759	24	581	4.13
774318at2759	18	1250	1.44
777920at2759	34	736	4.62
779909at2759	26	408	6.37
801857at2759	25	804	3.11
814241at2759	20	668	2.99
817008at2759	20	494	4.05
834694at2759	31	974	3.18
836599at2759	25	645	3.88
83779at2759	27	720	3.75
844748at2759	0	695	0.00
855834at2759	30	868	3.46
858842at2759	0	993	0.00
865202at2759	15	374	4.01
866359at2759	19	365	5.21
869548at2759	17	306	5.56
878143at2759	26	527	4.93
87842at2759	44	1367	3.22
887370at2759	23	842	2.73
891751at2759	23	873	2.63
898782at2759	23	753	3.05
901894at2759	16	859	1.86
905026at2759	32	1172	2.73
911863at2759	24	525	4.57
917326at2759	36	808	4.46
918816at2759	24	829	2.90
919955at2759	23	407	5.65
923657at2759	22	456	4.82
924753at2759	30	647	4.64
931188at2759	26	685	3.80
937275at2759	0	613	0.00
937686at2759	0	596	0.00
939345at2759	11	724	1.52
944899at2759	21	369	5.69
946128at2759	26	840	3.10
956854at2759	0	362	0.00
97116at2759	76	1483	5.12
973442at2759	16	748	2.14
974865at2759	20	429	4.66
975158at2759	25	605	4.13
975557at2759	21	872	2.41
976469at2759	0	415	0.00
981902at2759	20	773	2.59
996662at2759	13	341	3.81
