rank	feature_id	gene_symbol	total_counts	cells_expressed
124	ENSMUSG00000021270	Hsp90aa1	74841	10701
125	ENSMUSG00000058064	Gm10036	74561	9881
126	ENSMUSG00000031818	Cox4i1	74148	10673
127	ENSMUSG00000058600	Rpl30	70646	9489
128	ENSMUSG00000020372	Gnb2l1	69146	8874
129	ENSMUSG00000020849	Ywhae	68291	9800
130	ENSMUSG00000057098	Ebf1	67917	7779
131	ENSMUSG00000035242	Oaz1	64919	8204
132	ENSMUSG00000024661	Fth1	64400	8422
133	ENSMUSG00000070493	Chchd2	64395	9663
134	ENSMUSG00000001175	Calm1	63827	9425
135	ENSMUSG00000017778	Cox7c	63615	10672
136	ENSMUSG00000005161	Prdx2	63146	10167
137	ENSMUSG00000021546	Hnrnpk	62366	9989
138	ENSMUSG00000074884	Serf2	62169	9043
139	ENSMUSG00000025967	Eef1b2	61082	8404
140	ENSMUSG00000076432	Ywhaq	61030	8773
141	ENSMUSG00000045991	Onecut2	60413	8116
142	ENSMUSG00000047139	Cd24a	60229	8225
143	ENSMUSG00000074516	Gm10709	59945	7275
144	ENSMUSG00000028936	Rpl22	58447	9081
145	ENSMUSG00000006728	Cdk4	58239	7378
146	ENSMUSG00000009013	Dynll1	57579	9781
147	ENSMUSG00000064360	mt-Nd3	55213	9482
148	ENSMUSG00000020737	Hn1	55125	8798
149	ENSMUSG00000058558	Rpl5	54936	9167
150	ENSMUSG00000021131	Erh	54257	8974
151	ENSMUSG00000027620	Rbm39	53420	7169
152	ENSMUSG00000020719	Ddx5	53383	9230
153	ENSMUSG00000054428	Atpif1	52475	10137
154	ENSMUSG00000078812	Eif5a	52365	7636
155	ENSMUSG00000039221	Rpl22l1	52042	7942
156	ENSMUSG00000029430	Ran	51530	7832
157	ENSMUSG00000022205	Sub1	51021	9209
158	ENSMUSG00000021660	Btf3	49956	8036
159	ENSMUSG00000005610	Eif4g2	49698	8344
160	ENSMUSG00000062683	Atp5g2	49484	7977
161	ENSMUSG00000031167	Rbm3	49196	8073
162	ENSMUSG00000071172	Srsf3	48616	8102
163	ENSMUSG00000014313	Cox6c	48500	9359
164	ENSMUSG00000103034	Gm8797	48359	9649
165	ENSMUSG00000001270	Ckb	48224	8047
166	ENSMUSG00000032959	Pebp1	47949	8155
167	ENSMUSG00000039105	Atp6v1g1	47701	8037
168	ENSMUSG00000025393	Atp5b	46982	8040
169	ENSMUSG00000040785	Ttc3	46882	6917
170	ENSMUSG00000023004	Tuba1b	46804	7036
171	ENSMUSG00000054717	Hmgb2	46671	6864
172	ENSMUSG00000027533	Fabp5	46582	9921
173	ENSMUSG00000004980	Hnrnpa2b1	46557	9058
174	ENSMUSG00000027239	Mdk	46510	6226
175	ENSMUSG00000066551	Hmgb1	46438	8080
176	ENSMUSG00000046432	Ngfrap1	46157	7762
177	ENSMUSG00000031633	Slc25a4	45716	7926
178	ENSMUSG00000022055	Nefl	45453	7731
179	ENSMUSG00000062270	Morf4l1	45094	8279
180	ENSMUSG00000031029	Eif3f	44967	6587
181	ENSMUSG00000022283	Pabpc1	44596	6157
182	ENSMUSG00000033307	Mif	44407	7129
183	ENSMUSG00000027967	Neurog2	44245	6474
184	ENSMUSG00000036781	Rps27l	44219	7273
185	ENSMUSG00000032291	Crabp1	44138	7997
186	ENSMUSG00000023495	Pcbp4	44104	7458
187	ENSMUSG00000028691	Prdx1	43712	8141
188	ENSMUSG00000068523	Gng5	43299	7322
189	ENSMUSG00000036371	Serbp1	43125	7335
190	ENSMUSG00000078974	Sec61g	42960	8274
191	ENSMUSG00000035885	Cox8a	42719	7892
192	ENSMUSG00000018293	Pfn1	42466	7774
193	ENSMUSG00000024248	Cox7a2l	42401	6735
194	ENSMUSG00000036751	Cox6b1	41816	8696
195	ENSMUSG00000044349	Snhg11	41590	6039
196	ENSMUSG00000055839	Tceb2	41186	8111
197	ENSMUSG00000032966	Fkbp1a	41185	7305
198	ENSMUSG00000076431	Sox4	40914	6600
199	ENSMUSG00000015217	Hmgb3	40886	7155
200	ENSMUSG00000005732	Ranbp1	40792	7599
201	ENSMUSG00000034336	Ina	40033	6600
202	ENSMUSG00000029632	Ndufa4	39355	8081
203	ENSMUSG00000091537	Tma7	39279	7308
204	ENSMUSG00000029581	Fscn1	38569	6339
205	ENSMUSG00000041126	H2afv	38187	6620
206	ENSMUSG00000042541	Shfm1	37919	8272
207	ENSMUSG00000057278	Snrpg	37676	7534
208	ENSMUSG00000053192	Mllt11	36713	6346
209	ENSMUSG00000056851	Pcbp2	36617	6395
210	ENSMUSG00000049751	Rpl36al	36545	7914
211	ENSMUSG00000069662	Marcks	36538	7064
212	ENSMUSG00000031827	Cotl1	36368	6575
213	ENSMUSG00000003410	Elavl3	35997	5676
214	ENSMUSG00000063882	Uqcrh	35885	7445
215	ENSMUSG00000016252	Atp5e	35791	7803
216	ENSMUSG00000038690	Atp5j2	35458	8358
217	ENSMUSG00000032294	Pkm	35282	6327
218	ENSMUSG00000061518	Cox5b	35245	7945
219	ENSMUSG00000032330	Cox7a2	35226	7805
220	ENSMUSG00000074656	Eif2s2	35223	8002
221	ENSMUSG00000029223	Uchl1	35186	8563
222	ENSMUSG00000029623	Pdap1	35021	7074
223	ENSMUSG00000027581	Stmn3	34887	7857
224	ENSMUSG00000027566	Psma7	34667	8030
225	ENSMUSG00000016319	Slc25a5	34562	6297
226	ENSMUSG00000074748	Atxn7l3b	34480	6361
227	ENSMUSG00000075706	Gpx4	34233	7128
228	ENSMUSG00000028410	Dnaja1	34179	7841
229	ENSMUSG00000041697	Cox6a1	34175	7540
230	ENSMUSG00000037601	Nme1	34077	7253
231	ENSMUSG00000032216	Nedd4	34009	6355
232	ENSMUSG00000058799	Nap1l1	33562	6481
233	ENSMUSG00000022312	Eif3h	33034	6420
234	ENSMUSG00000090553	Snrpe	33009	7545
235	ENSMUSG00000032562	Gnai2	32975	5351
236	ENSMUSG00000022400	Rbx1	32703	7630
237	ENSMUSG00000078578	Ube2d3	32476	6576
238	ENSMUSG00000024758	Rtn3	32345	6099
239	ENSMUSG00000018567	Gabarap	32247	6850
240	ENSMUSG00000045763	Basp1	32039	5846
241	ENSMUSG00000034566	Atp5h	31774	7629
242	ENSMUSG00000047261	Gap43	31760	6841
243	ENSMUSG00000042750	Bex2	31460	7549
244	ENSMUSG00000020267	Hint1	31283	7306
245	ENSMUSG00000022336	Eif3e	31282	6769
246	ENSMUSG00000000088	Cox5a	31263	7288
247	ENSMUSG00000090841	Myl6	31198	8185
248	ENSMUSG00000093904	Tomm20	31173	6034
249	ENSMUSG00000021290	2010107E04Rik	30788	7014
250	ENSMUSG00000014769	Psmb1	30601	7181
251	ENSMUSG00000025428	Atp5a1	30595	6464
252	ENSMUSG00000038717	Atp5l	30430	7496
253	ENSMUSG00000032383	Ppib	29931	6614
254	ENSMUSG00000007039	Ddah2	29926	7404
255	ENSMUSG00000000563	Atp5f1	29905	6724
256	ENSMUSG00000022890	Atp5j	29733	7316
257	ENSMUSG00000053931	Cnn3	29722	6190
258	ENSMUSG00000041571	Sepw1	29493	6406
259	ENSMUSG00000029713	Gnb2	29388	6942
260	ENSMUSG00000028546	Elavl4	29210	5822
261	ENSMUSG00000034675	Dbn1	28977	6337
262	ENSMUSG00000026021	Sumo1	28930	6544
263	ENSMUSG00000068735	Trp53i11	28929	5662
264	ENSMUSG00000024501	Dpysl3	28924	6391
265	ENSMUSG00000042043	Tbca	28762	7368
266	ENSMUSG00000020358	Hnrnpab	28565	5848
267	ENSMUSG00000042682	Selk	28547	6634
268	ENSMUSG00000039218	Srrm2	28438	6010
269	ENSMUSG00000053565	Eif3k	27986	6473
270	ENSMUSG00000060860	Ube2s	27891	5425
271	ENSMUSG00000048540	Nhlh2	27869	5711
272	ENSMUSG00000001289	Pfdn5	27749	6982
273	ENSMUSG00000018286	Psmb6	27642	7139
274	ENSMUSG00000021520	Uqcrb	27606	7353
275	ENSMUSG00000010376	Nedd8	27589	6608
276	ENSMUSG00000027404	Snrpb	27463	6054
277	ENSMUSG00000015932	Dstn	27453	6190
278	ENSMUSG00000022658	Tagln3	27355	6629
279	ENSMUSG00000006699	Cdc42	27341	7144
280	ENSMUSG00000014294	Ndufa2	27337	6788
281	ENSMUSG00000061904	Slc25a3	27276	6281
282	ENSMUSG00000031812	Map1lc3b	27222	6318
283	ENSMUSG00000022961	Son	27196	6574
284	ENSMUSG00000041881	Ndufa7	27112	6634
285	ENSMUSG00000022285	Ywhaz	26990	5669
286	ENSMUSG00000040385	Ppp1ca	26950	6196
287	ENSMUSG00000044627	Swi5	26933	7028
288	ENSMUSG00000022812	Gsk3b	26838	5372
289	ENSMUSG00000026234	Ncl	26825	6384
290	ENSMUSG00000019370	Calm3	26793	7104
291	ENSMUSG00000068220	Lgals1	26792	5491
292	ENSMUSG00000071528	Usmg5	26759	7130
293	ENSMUSG00000045690	Wdr89	26532	6813
294	ENSMUSG00000031311	Nono	26388	6427
295	ENSMUSG00000073676	Hspe1	25944	6081
296	ENSMUSG00000021807	2700060E02Rik	25914	5924
297	ENSMUSG00000071658	Gng3	25889	5903
298	ENSMUSG00000006057	Atp5g1	25566	6368
299	ENSMUSG00000023175	Bsg	25291	5790
300	ENSMUSG00000037058	Paip2	25185	6399
301	ENSMUSG00000050856	Atp5k	25147	7463
302	ENSMUSG00000028692	Akr1a1	25123	5795
303	ENSMUSG00000040824	Snrpd2	25104	6366
304	ENSMUSG00000022452	Smdt1	25062	6516
305	ENSMUSG00000109324	Prmt1	25051	6635
306	ENSMUSG00000009549	Srp14	24822	6371
307	ENSMUSG00000068039	Tcp1	24694	6072
308	ENSMUSG00000042712	Wbp5	24290	5608
309	ENSMUSG00000029836	Cbx3	24137	5632
310	ENSMUSG00000021242	Npc2	24086	5466
311	ENSMUSG00000060073	Psma3	24080	6377
312	ENSMUSG00000022048	Dpysl2	24054	6100
313	ENSMUSG00000055302	Mrfap1	23907	5692
314	ENSMUSG00000029121	Crmp1	23890	5695
315	ENSMUSG00000025204	Ndufb8	23880	6437
316	ENSMUSG00000003873	Bax	23870	6134
317	ENSMUSG00000029838	Ptn	23772	4512
318	ENSMUSG00000053317	Sec61b	23743	6125
319	ENSMUSG00000030057	Cnbp	23724	5544
320	ENSMUSG00000102252	Snrpn	23621	5522
321	ENSMUSG00000007041	Clic1	23401	6167
322	ENSMUSG00000029922	Mkrn1	23328	5348
323	ENSMUSG00000029328	Hnrnpdl	23247	5928
324	ENSMUSG00000048076	Arf1	23188	5947
325	ENSMUSG00000019923	Zwint	23122	6032
326	ENSMUSG00000020163	Uqcr11	23099	6514
327	ENSMUSG00000063870	Chd4	23090	5726
328	ENSMUSG00000054766	Set	23039	5226
329	ENSMUSG00000042079	Hnrnpf	22807	5772
330	ENSMUSG00000070544	Top1	22721	6072
331	ENSMUSG00000021134	Srsf5	22453	5980
332	ENSMUSG00000020018	Snrpf	22361	6299
333	ENSMUSG00000028367	Txn1	22345	6284
334	ENSMUSG00000020949	Fkbp3	22299	6318
335	ENSMUSG00000051234	Rnf7	22289	5508
336	ENSMUSG00000084786	Ubl5	22288	6167
337	ENSMUSG00000022354	Ndufb9	22167	6007
338	ENSMUSG00000007739	Cct4	22046	5702
339	ENSMUSG00000044894	Uqcrq	22015	6305
340	ENSMUSG00000031708	Tecr	21892	5715
341	ENSMUSG00000016921	Srsf6	21874	5561
342	ENSMUSG00000059005	Hnrnpa3	21828	6203
343	ENSMUSG00000063229	Ldha	21798	5108
344	ENSMUSG00000028034	Fubp1	21760	5600
345	ENSMUSG00000076437	2700094K13Rik	21632	5272
346	ENSMUSG00000028478	Clta	21627	6292
347	ENSMUSG00000022234	Cct5	21619	5914
348	ENSMUSG00000028639	Ybx1	21612	5290
349	ENSMUSG00000027012	Dync1i2	21555	6056
350	ENSMUSG00000024576	Csnk1a1	21522	5521
351	ENSMUSG00000031068	Glrx3	21425	5675
352	ENSMUSG00000030007	Cct7	21423	6251
353	ENSMUSG00000091896	Ube2d2a	21264	5666
354	ENSMUSG00000070858	Gm1673	21222	6147
355	ENSMUSG00000063694	Cycs	21201	6123
356	ENSMUSG00000015120	Ube2i	21186	5345
357	ENSMUSG00000060143	Gm10076	21096	5428
358	ENSMUSG00000025959	Klf7	21068	4473
359	ENSMUSG00000032076	Cadm1	20997	4996
360	ENSMUSG00000067038	Rps12-ps3	20964	5139
361	ENSMUSG00000022010	Tsc22d1	20895	5562
362	ENSMUSG00000031839	Hsbp1	20871	5988
363	ENSMUSG00000028452	Vcp	20858	6095
364	ENSMUSG00000022956	Atp5o	20827	6563
365	ENSMUSG00000021282	Eif5	20812	5669
366	ENSMUSG00000018326	Ywhab	20806	5423
367	ENSMUSG00000022193	Psmb5	20798	6549
368	ENSMUSG00000022054	Nefm	20784	4572
369	ENSMUSG00000031231	Cox7b	20743	6262
370	ENSMUSG00000026728	Vim	20594	4672
371	ENSMUSG00000060373	Hnrnpc	20591	5666
372	ENSMUSG00000030357	Fkbp4	20547	5566
373	ENSMUSG00000022858	Tra2b	20514	5546
374	ENSMUSG00000032324	Tspan3	20402	5090
375	ENSMUSG00000096210	H1f0	20393	4757
376	ENSMUSG00000024097	Srsf7	20292	5635
377	ENSMUSG00000003038	Hmgn2	20255	4483
378	ENSMUSG00000030120	Mlf2	20253	5136
379	ENSMUSG00000055436	Srsf11	20111	5489
380	ENSMUSG00000058672	Tubb2a	20031	5589
381	ENSMUSG00000027673	Ndufb5	20022	5647
382	ENSMUSG00000047459	Dynlrb1	19958	6169
383	ENSMUSG00000019179	Mdh2	19935	6027
384	ENSMUSG00000003814	Calr	19877	5293
385	ENSMUSG00000039542	Ncam1	19874	4539
386	ENSMUSG00000028964	Park7	19741	5820
387	ENSMUSG00000039630	Hnrnpu	19740	6061
388	ENSMUSG00000034024	Cct2	19691	5783
389	ENSMUSG00000008393	Carhsp1	19684	5247
390	ENSMUSG00000037152	Ndufc1	19660	6219
391	ENSMUSG00000074781	Ube2n	19651	5453
392	ENSMUSG00000068882	Ssb	19629	6433
393	ENSMUSG00000027523	Gnas	19615	5657
394	ENSMUSG00000045193	Cirbp	19574	5511
395	ENSMUSG00000022841	Ap2m1	19454	5284
396	ENSMUSG00000002477	Snrpd1	19433	5966
397	ENSMUSG00000028648	Ndufs5	19425	6196
398	ENSMUSG00000027593	Raly	19336	5083
399	ENSMUSG00000021877	Arf4	19271	5715
400	ENSMUSG00000042834	Nrep	19263	5595
401	ENSMUSG00000030663	1110004F10Rik	19242	5373
402	ENSMUSG00000061613	U2af1	19195	6010
403	ENSMUSG00000046997	Spsb4	19151	4740
404	ENSMUSG00000029131	Dnajb6	19115	5815
405	ENSMUSG00000030795	Fus	19050	6104
406	ENSMUSG00000006412	Pfdn2	19049	6303
407	ENSMUSG00000008892	Vdac3	19046	5756
408	ENSMUSG00000073616	Myeov2	19041	5972
409	ENSMUSG00000018770	Atp5g3	19021	6046
410	ENSMUSG00000031285	Dcx	18994	4745
411	ENSMUSG00000020483	Dynll2	18978	5524
412	ENSMUSG00000063480	Nhp2l1	18912	5169
413	ENSMUSG00000030654	Arl6ip1	18885	4993
414	ENSMUSG00000093930	Hmgcs1	18882	6158
415	ENSMUSG00000006304	Arpc2	18822	5146
416	ENSMUSG00000069744	Psmb3	18764	6278
417	ENSMUSG00000025781	Atp5c1	18706	5303
418	ENSMUSG00000028837	Psmb2	18704	5973
419	ENSMUSG00000050608	Minos1	18687	6054
420	ENSMUSG00000029649	Pomp	18650	5876
421	ENSMUSG00000026764	Kif5c	18545	4376
422	ENSMUSG00000021771	Vdac2	18519	5352
423	ENSMUSG00000002379	Ndufa11	18504	5729
424	ENSMUSG00000073155	1810058I24Rik	18499	5102
425	ENSMUSG00000064367	mt-Nd5	18488	6260
426	ENSMUSG00000071708	Sms	18463	4934
427	ENSMUSG00000029126	Nsg1	18374	5020
428	ENSMUSG00000048001	Hes5	18359	3540
429	ENSMUSG00000004264	Phb2	18314	5155
430	ENSMUSG00000027479	Mapre1	18268	5328
431	ENSMUSG00000031422	Morf4l2	18267	5320
432	ENSMUSG00000028998	Tomm7	18257	5605
433	ENSMUSG00000101609	Kcnq1ot1	18206	4582
434	ENSMUSG00000050621	Rps27rt	18170	5605
435	ENSMUSG00000018666	Cbx1	18111	4937
436	ENSMUSG00000015671	Psma2	18064	5992
437	ENSMUSG00000027447	Cst3	18034	5457
438	ENSMUSG00000025132	Arhgdia	17939	5272
439	ENSMUSG00000007850	Hnrnph1	17921	6156
440	ENSMUSG00000059534	Uqcr10	17809	5643
441	ENSMUSG00000021288	Klc1	17790	5328
442	ENSMUSG00000029472	Anapc5	17782	4868
443	ENSMUSG00000067847	Romo1	17758	6046
444	ENSMUSG00000020390	Ube2b	17686	5703
445	ENSMUSG00000026374	Tsn	17660	5110
446	ENSMUSG00000015937	H2afy	17656	4642
447	ENSMUSG00000037072	Sep15	17618	4936
448	ENSMUSG00000022884	Eif4a2	17530	5565
449	ENSMUSG00000018451	6330403K07Rik	17515	4953
450	ENSMUSG00000015092	Edf1	17485	5456
451	ENSMUSG00000068923	Syt11	17482	3988
452	ENSMUSG00000004455	Ppp1cc	17481	4643
453	ENSMUSG00000008475	Arpc5	17478	5080
454	ENSMUSG00000020219	Timm13	17469	5662
455	ENSMUSG00000021218	Gdi2	17445	5435
456	ENSMUSG00000036478	Btg1	17424	4756
457	ENSMUSG00000067071	Hes6	17391	4579
458	ENSMUSG00000003039	Fam32a	17382	5276
459	ENSMUSG00000022892	App	17377	4928
460	ENSMUSG00000026083	Eif5b	17357	5327
461	ENSMUSG00000051223	Bzw1	17314	5683
462	ENSMUSG00000036199	Ndufa13	17265	5603
463	ENSMUSG00000027184	Caprin1	17262	5673
464	ENSMUSG00000003072	Atp5d	17261	5489
465	ENSMUSG00000022450	Ndufa6	17238	5804
466	ENSMUSG00000011752	Pgam1	17228	5044
467	ENSMUSG00000098178	Gm42418	17158	8777
468	ENSMUSG00000030695	Aldoa	17079	4823
469	ENSMUSG00000032301	Psma4	16973	5569
470	ENSMUSG00000033938	Ndufb7	16960	5585
471	ENSMUSG00000018169	Mfng	16865	4722
472	ENSMUSG00000090000	Ier3ip1	16856	5212
473	ENSMUSG00000018583	G3bp1	16828	4831
474	ENSMUSG00000021910	Nisch	16806	5168
475	ENSMUSG00000049932	H2afx	16701	3871
476	ENSMUSG00000024853	Sf3b2	16652	5031
477	ENSMUSG00000041203	2310036O22Rik	16605	5045
478	ENSMUSG00000027011	Ube2e3	16600	5262
479	ENSMUSG00000009079	Ewsr1	16595	5320
480	ENSMUSG00000028790	Khdrbs1	16520	5193
481	ENSMUSG00000015222	Map2	16513	5042
482	ENSMUSG00000037706	Cd81	16478	5080
483	ENSMUSG00000026750	Psmb7	16359	5797
484	ENSMUSG00000090137	Uba52	16353	5133
485	ENSMUSG00000031754	Nudt21	16340	4971
486	ENSMUSG00000029291	Rufy3	16314	5058
487	ENSMUSG00000056895	Hist3h2ba	16232	5082
488	ENSMUSG00000068823	Csde1	16202	5226
489	ENSMUSG00000026878	Rab14	16187	4874
490	ENSMUSG00000006932	Ctnnb1	16186	5465
491	ENSMUSG00000035027	Map2k2	16154	4797
492	ENSMUSG00000028797	Tmem234	16150	4863
493	ENSMUSG00000025982	Sf3b1	16125	5179
494	ENSMUSG00000022338	Eny2	16062	5374
495	ENSMUSG00000059208	Hnrnpm	16062	5272
496	ENSMUSG00000062929	Cfl2	16058	5324
497	ENSMUSG00000024208	Uqcc2	15996	5329
498	ENSMUSG00000029642	Polr1d	15974	4857
499	ENSMUSG00000020402	Vdac1	15943	5112
500	ENSMUSG00000091625	Lsm5	15910	5327
501	ENSMUSG00000051391	Ywhag	15905	5244
502	ENSMUSG00000023150	Ivns1abp	15887	4924
503	ENSMUSG00000030869	Ndufab1	15885	5462
504	ENSMUSG00000025326	Ube3a	15785	4914
505	ENSMUSG00000036112	Metap2	15753	5001
506	ENSMUSG00000021377	Dek	15752	4037
507	ENSMUSG00000029621	Arpc1a	15715	5205
508	ENSMUSG00000035227	Spcs2	15696	5019
509	ENSMUSG00000044424	Gm9493	15686	4733
510	ENSMUSG00000038374	Rbm8a	15684	5467
511	ENSMUSG00000025950	Idh1	15641	5399
512	ENSMUSG00000033379	Atp6v0b	15595	5085
513	ENSMUSG00000095041	PISD	15557	5050
514	ENSMUSG00000031059	Ndufb11	15552	5283
515	ENSMUSG00000028333	Anp32b	15505	4568
516	ENSMUSG00000028843	Sh3bgrl3	15477	5007
517	ENSMUSG00000037935	Smarce1	15448	4744
518	ENSMUSG00000074274	D930028M14Rik	15414	3747
519	ENSMUSG00000025151	Maged1	15391	5487
520	ENSMUSG00000047187	Rab2a	15340	4809
521	ENSMUSG00000041560	Gltscr2	15291	4735
522	ENSMUSG00000030796	Tead2	15278	3927
523	ENSMUSG00000036427	Gpi1	15221	5006
524	ENSMUSG00000015291	Gdi1	15216	4618
525	ENSMUSG00000010608	Rbm25	15211	4841
526	ENSMUSG00000031246	Sh3bgrl	15210	5057
527	ENSMUSG00000016344	Ppdpf	15189	4622
528	ENSMUSG00000025066	Sfr1	15162	4873
529	ENSMUSG00000031950	Gabarapl2	15158	5077
530	ENSMUSG00000029616	Erp29	15121	5118
531	ENSMUSG00000018965	Ywhah	15101	4870
532	ENSMUSG00000028745	Capzb	15095	5069
533	ENSMUSG00000001016	Ilf2	15070	5160
