target_gene	n_guides	n_cells	median_mean_specific_score_diff	worst_bootstrap_ci_high	median_mean_raw_signature_diff	median_mean_core_signature_diff	median_hallmark_log2fc	median_specific_log2fc	median_fraction_hallmark_down	fraction_guides_ci_below_zero	median_target_gene_log2fc	rank_median_mean_specific_score_diff	rank_median_mean_raw_signature_diff	rank_median_mean_core_signature_diff	rank_median_specific_log2fc	consensus_rank_mean
CD103	1	50	-0.0040496469	0.061907529	0.028609552	-0.015291701	0.016036939	0.019267531	0.4137931	0	0.088284418	16	35	11	28	22.5
ZNF209	1	50	0.016244855	0.083944596	-0.0036563521	0.0062239039	0.00047333424	0.023271625	0.44827586	0	0.055510658	24	18	19	32	23.25
CD92	1	50	0.010949288	0.068925818	0.0064179484	0.025419698	0.0088629648	0.017915897	0.48275862	0	0.036296053	22	24	26	26	24.5
CCL8	1	50	0.027142501	0.10721724	0.032676374	-0.0082993448	0.011545156	0.019123477	0.37931034	0	-0.059752829	29	37	13	27	26.5
ZNF361	1	50	0.034548747	0.087992836	0.027277471	0.016707541	0.0069939438	0.0022795322	0.48275862	0	-0.08450347	32	34	22	19	26.75
ZNF359	1	50	0.04581391	0.11610894	-0.0018950717	0.0086067623	0.0081779189	0.026324868	0.44827586	0	-0.1011116	36	19	21	34	27.5
ZNF122	1	50	0.023348761	0.092313385	0.016093718	0.048457677	0.0016033681	0.0066132348	0.44827586	0	0.024867989	28	29	33	21	27.75
RPL27	1	50	0.0053628875	0.066902913	0.019186997	0.061498707	0.018674571	0.0080175382	0.34482759	0	-0.36345097	21	31	39	22	28.25
ZNF20	1	50	0.038689772	0.089863007	0.0094509119	0.047909802	-0.0072953002	0.010119331	0.51724138	0	0.055587001	34	26	31	23	28.5
ZNF329	1	50	0.01616412	0.065897273	0.017999634	0.053329257	0.012613785	0.014749626	0.44827586	0	-0.068274407	23	30	37	25	28.75
ATP9	1	50	0.0282098	0.094114895	0.008091284	0.049717259	0.0013400535	0.021125723	0.48275862	0	-0.057619629	31	25	35	31	30.5
CD69	1	50	0.03864469	0.1011686	0.020550869	0.03933757	0.018194031	0.024879693	0.42857143	0	0.073552059	33	32	30	33	32
ZNF205	1	50	0.049966641	0.1098709	0.032326534	0.03404451	0.012614161	0.020220352	0.44827586	0	0.059064528	37	36	27	29	32.25
CD83	1	50	0.038884217	0.090400518	0.0038974814	0.05302244	-0.0012145779	0.040976107	0.51724138	0	0.059192506	35	22	36	38	32.75
TRIM20	1	50	0.027867281	0.10228075	0.010486757	0.049609158	0.029043925	0.049787007	0.44827586	0	0.063361438	30	28	34	40	33
IL6	1	50	0.07507057	0.13868041	0.049342258	0.025319592	0.020541409	0.032447414	0.42857143	0	-0.11694577	39	39	25	36	34.75
ZNF324	1	50	0.055708687	0.12086991	0.041261343	0.072499737	0.03509866	0.040128701	0.4137931	0	0.047889567	38	38	40	37	38.25
ZNF90	1	50	0.083420755	0.14748302	0.067954318	0.060475175	0.040779569	0.045754367	0.34482759	0	0.08185964	40	40	38	39	39.25
