guide_id	guide_name	target_gene	n_cells	mean_specific_score_diff	median_specific_score_diff	bootstrap_ci_low	bootstrap_ci_high	mean_raw_signature_diff	mean_core_signature_diff	hallmark_median_log2fc	hallmark_fraction_down	background_median_log2fc	specific_median_log2fc	median_library_log2fc	target_gene_log2fc
guide_021	sgCD92_21	CD92	50	0.010949288	0.051083865	-0.056364742	0.068925818	0.0064179484	0.025419698	0.0088629648	0.48275862	-0.0090529319	0.017915897	0.0068751797	0.036296053
guide_031	sgZNF329_31	ZNF329	50	0.01616412	-0.0052816881	-0.039500919	0.065897273	0.017999634	0.053329257	0.012613785	0.44827586	-0.0021358414	0.014749626	-0.00050435066	-0.068274407
guide_039	sgZNF209_39	ZNF209	50	0.016244855	0.035453161	-0.050406201	0.083944596	-0.0036563521	0.0062239039	0.00047333424	0.44827586	-0.022798291	0.023271625	0.0063732272	0.055510658
guide_050	sgZNF101_50	ZNF101	50	0.017153481	-0.013332244	-0.040342377	0.081537613	0.00012431414	-0.021286197	0.01071646	0.4137931	-0.0097197153	0.020436175	0.001176133	0.20852461
guide_027	sgMAPK2_27	MAPK2	50	0.017555527	0.048747716	-0.047367316	0.078812684	-0.0083411779	-0.0032482426	-0.010057731	0.55172414	-0.0020848237	-0.0079729073	-0.00084068241	0.26119599
guide_045	sgCD149_45	CD149	50	0.019536877	-0.0067600837	-0.039730268	0.07722128	-0.016345604	-0.015237717	-0.011494582	0.55172414	0.0021512211	-0.013645803	0.0082128664	0.064072481
guide_028	sgZNF122_28	ZNF122	50	0.023348761	0.051676842	-0.038502088	0.092313385	0.016093718	0.048457677	0.0016033681	0.44827586	-0.0050098666	0.0066132348	0.008881245	0.024867989
guide_035	sgCCL8_35	CCL8	50	0.027142501	0.028499328	-0.052604162	0.10721724	0.032676374	-0.0082993448	0.011545156	0.37931034	-0.0075783207	0.019123477	0.0093823257	-0.059752829
guide_032	sgTRIM20_32	TRIM20	50	0.027867281	0.018672623	-0.040171118	0.10228075	0.010486757	0.049609158	0.029043925	0.44827586	-0.020743082	0.049787007	-0.0052201453	0.063361438
guide_040	sgATP9_40	ATP9	50	0.0282098	-0.006233819	-0.040487806	0.094114895	0.008091284	0.049717259	0.0013400535	0.48275862	-0.01978567	0.021125723	-0.00050435066	-0.057619629
guide_030	sgZNF361_30	ZNF361	50	0.034548747	0.038874402	-0.023904921	0.087992836	0.027277471	0.016707541	0.0069939438	0.48275862	0.0047144116	0.0022795322	0.0052013252	-0.08450347
guide_044	sgCD69_44	CD69	50	0.03864469	0.069451614	-0.01712031	0.1011686	0.020550869	0.03933757	0.018194031	0.42857143	-0.0066856614	0.024879693	-0.001681855	0.073552059
guide_018	sgZNF20_18	ZNF20	50	0.038689772	0.075077562	-0.015127156	0.089863007	0.0094509119	0.047909802	-0.0072953002	0.51724138	-0.017414631	0.010119331	0.0062058709	0.055587001
guide_033	sgCD83_33	CD83	50	0.038884217	0.051953501	-0.015429413	0.090400518	0.0038974814	0.05302244	-0.0012145779	0.51724138	-0.042190685	0.040976107	0.00033613585	0.059192506
guide_041	sgZNF359_41	ZNF359	50	0.04581391	0.086028862	-0.020528581	0.11610894	-0.0018950717	0.0086067623	0.0081779189	0.44827586	-0.01814695	0.026324868	0.0016798966	-0.1011116
guide_025	sgZNF205_25	ZNF205	50	0.049966641	0.042810387	-0.012903132	0.1098709	0.032326534	0.03404451	0.012614161	0.44827586	-0.0076061911	0.020220352	0.0031901329	0.059064528
guide_036	sgZNF324_36	ZNF324	50	0.055708687	0.08888562	-0.011483161	0.12086991	0.041261343	0.072499737	0.03509866	0.4137931	-0.0050300414	0.040128701	0.00067219339	0.047889567
guide_019	sgIL6_19	IL6	50	0.07507057	0.066523176	0.0081158585	0.13868041	0.049342258	0.025319592	0.020541409	0.42857143	-0.011906005	0.032447414	0.0046987899	-0.11694577
guide_046	sgZNF90_46	ZNF90	50	0.083420755	0.10858223	0.015663255	0.14748302	0.067954318	0.060475175	0.040779569	0.34482759	-0.0049747985	0.045754367	0.0033578394	0.08185964
