#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
65	999593	4	40	34614566	34.628660	34.000000	36.000000	39.000000	5.000000	27	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	260218	237558	242973	258844	0		
66	999593	2	40	34419430	34.433444	33.000000	36.000000	39.000000	6.000000	24	40	2,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	258907	239851	240779	260056	0		
67	999593	4	40	34274290	34.288245	33.000000	36.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	259132	243185	243187	254089	0		
68	999593	4	40	34122156	34.136049	33.000000	36.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	260179	239769	243187	256458	0		
69	999593	4	40	33981906	33.995742	33.000000	35.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	259436	241193	238862	260102	0		
70	999593	4	40	33833300	33.847076	33.000000	35.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	257936	242907	242457	256293	0		
71	999593	4	40	33667067	33.680775	33.000000	35.000000	38.000000	5.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	260051	238308	243302	257932	0		
72	999593	4	40	33496809	33.510448	33.000000	35.000000	38.000000	5.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	260517	238464	240345	260267	0		
73	999593	4	40	33232077	33.245608	32.000000	35.000000	37.000000	5.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259081	241750	245139	253620	3		
74	999593	4	40	33083551	33.097021	32.000000	35.000000	37.000000	5.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	262453	237464	240999	258662	15		
75	999593	4	40	32914109	32.927510	32.000000	35.000000	37.000000	5.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259377	238927	242257	258966	66		
76	999593	4	40	31749293	31.762220	30.000000	34.000000	36.000000	6.000000	21	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	257800	241059	243422	257260	52		
77	999593	2	40	32195242	32.208351	31.000000	34.000000	36.000000	5.000000	24	40	2,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	259713	237173	243489	259148	70		
78	999593	4	40	32394171	32.407361	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	258167	239181	241749	260477	19		
79	999593	4	40	32421649	32.434850	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	256423	241224	243521	258425	0		
80	999593	4	40	32361167	32.374343	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	259050	238169	243248	259126	0		
81	999593	4	40	32258569	32.271704	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	258623	238623	241448	260899	0		
82	999593	4	40	32127846	32.140927	32.000000	35.000000	35.000000	3.000000	28	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40	257316	241194	243430	257653	0		
83	999593	4	40	31988642	32.001667	32.000000	35.000000	35.000000	3.000000	28	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40	260235	238214	242037	259107	0		
84	999593	4	40	31768366	31.781301	32.000000	35.000000	35.000000	3.000000	28	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40	259676	239036	240476	260405	0		
85	999593	4	40	31690682	31.703585	32.000000	35.000000	35.000000	3.000000	28	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40	258810	240626	242594	257563	0		
86	999593	4	40	31577914	31.590771	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	260497	237164	242936	258996	0		
87	999593	4	40	31460856	31.473666	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	258992	239509	240234	260858	0		
88	999593	4	40	31373777	31.386551	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	257600	242377	242266	257350	0		
89	999593	4	40	31281569	31.294306	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	260269	239621	242140	257563	0		
90	999593	4	40	31136608	31.149286	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259960	238395	240776	260462	0		
91	999593	4	40	31042883	31.055523	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	258162	241804	243278	256349	0		
92	999593	4	40	30911848	30.924434	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	260557	237601	242546	258889	0		
93	999593	4	40	30848485	30.861045	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259371	238382	240516	261324	0		
94	999593	4	40	30763656	30.776182	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	258722	241519	242739	256613	0		
95	999593	4	40	30681444	30.693936	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	260759	238003	243658	257173	0		
96	999593	4	40	30581214	30.593666	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	258460	239401	240947	260785	0		
97	999593	4	40	30482551	30.494962	31.000000	34.000000	35.000000	4.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	258154	241087	244415	255937	0		
98	999593	4	39	30377839	30.390208	31.000000	34.000000	35.000000	4.000000	25	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	260527	238532	242370	258164	0		
99	999593	4	39	30250031	30.262348	31.000000	34.000000	35.000000	4.000000	25	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	259006	239027	240849	260711	0		
100	999593	4	39	30150042	30.162318	30.000000	34.000000	35.000000	5.000000	23	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	257618	242905	242442	256627	1		
101	999593	4	39	30019701	30.031924	30.000000	34.000000	35.000000	5.000000	23	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	261446	237099	243227	257763	58		
102	999593	4	39	29889482	29.901652	30.000000	34.000000	35.000000	5.000000	23	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	258732	239569	240051	261198	43		
103	999593	4	39	29736408	29.748516	30.000000	34.000000	35.000000	5.000000	23	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	259634	241148	242512	256227	72		
104	999593	4	38	29559622	29.571658	30.000000	34.000000	35.000000	5.000000	23	38	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	261052	237250	242871	258355	65		
105	999593	4	39	29383198	29.395162	30.000000	34.000000	35.000000	5.000000	23	39	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	259672	239568	240699	259603	51		
106	999593	4	38	29189880	29.201765	30.000000	34.000000	35.000000	5.000000	23	38	4,13,14,15,16,17,18,19,20,21,22	257409	240872	244724	256517	71		
107	999593	4	38	28000916	28.012317	27.000000	33.000000	35.000000	8.000000	15	38	4,13,14	259146	238318	245621	256435	73		
