gene	iqtree_report	internal_branch_length_sum	treeness	above_0.06
1304061at2759	1304061at2759.faa.mafft.clipkit.iqtree	0.0561	0.026947	0
1309031at2759	1309031at2759.faa.mafft.clipkit.iqtree	0.2158	0.066865	1
1312453at2759	1312453at2759.faa.mafft.clipkit.iqtree	0.2226	0.054742	0
1314980at2759	1314980at2759.faa.mafft.clipkit.iqtree	0	0	0
1322299at2759	1322299at2759.faa.mafft.clipkit.iqtree	0.136	0.039636	0
1322642at2759	1322642at2759.faa.mafft.clipkit.iqtree	0	0	0
1323575at2759	1323575at2759.faa.mafft.clipkit.iqtree	0.1619	0.058153	0
1324510at2759	1324510at2759.faa.mafft.clipkit.iqtree	0.2506	0.067261	1
1338131at2759	1338131at2759.faa.mafft.clipkit.iqtree	0.0712	0.04056	0
1339553at2759	1339553at2759.faa.mafft.clipkit.iqtree	0.2316	0.030597	0
1342242at2759	1342242at2759.faa.mafft.clipkit.iqtree	0.226	0.051133	0
1346165at2759	1346165at2759.faa.mafft.clipkit.iqtree	0.1647	0.054498	0
1346432at2759	1346432at2759.faa.mafft.clipkit.iqtree	0.4382	0.125104	1
1348942at2759	1348942at2759.faa.mafft.clipkit.iqtree	0.2843	0.075391	1
1355894at2759	1355894at2759.faa.mafft.clipkit.iqtree	0.2603	0.091519	1
1358374at2759	1358374at2759.faa.mafft.clipkit.iqtree	0.0631	0.0309	0
1364586at2759	1364586at2759.faa.mafft.clipkit.iqtree	0	0	0
1370285at2759	1370285at2759.faa.mafft.clipkit.iqtree	0.2559	0.04431	0
1370304at2759	1370304at2759.faa.mafft.clipkit.iqtree	0.2362	0.059427	0
1377237at2759	1377237at2759.faa.mafft.clipkit.iqtree	0	0	0
1379600at2759	1379600at2759.faa.mafft.clipkit.iqtree	0.1657	0.033211	0
1380409at2759	1380409at2759.faa.mafft.clipkit.iqtree	0	0	0
1382842at2759	1382842at2759.faa.mafft.clipkit.iqtree	0	0	0
1395649at2759	1395649at2759.faa.mafft.clipkit.iqtree	0	0	0
1398309at2759	1398309at2759.faa.mafft.clipkit.iqtree	0.1946	0.075813	1
1404162at2759	1404162at2759.faa.mafft.clipkit.iqtree	0.2076	0.045918	0
1405073at2759	1405073at2759.faa.mafft.clipkit.iqtree	0.1218	0.111365	1
1405146at2759	1405146at2759.faa.mafft.clipkit.iqtree	0.4219	0.084962	1
1407446at2759	1407446at2759.faa.mafft.clipkit.iqtree	0.0283	0.005544	0
1421503at2759	1421503at2759.faa.mafft.clipkit.iqtree	0.0879	0.042821	0
1423847at2759	1423847at2759.faa.mafft.clipkit.iqtree	0.2135	0.078261	1
142542at2759	142542at2759.faa.mafft.clipkit.iqtree	0	0	0
1426075at2759	1426075at2759.faa.mafft.clipkit.iqtree	0.1436	0.053977	0
1428265at2759	1428265at2759.faa.mafft.clipkit.iqtree	0.8243	0.177911	1
1428854at2759	1428854at2759.faa.mafft.clipkit.iqtree	0.2449	0.069253	1
1430056at2759	1430056at2759.faa.mafft.clipkit.iqtree	0.2534	0.08184	1
1432328at2759	1432328at2759.faa.mafft.clipkit.iqtree	0.2415	0.077109	1
1434266at2759	1434266at2759.faa.mafft.clipkit.iqtree	0.2238	0.054995	0
1440961at2759	1440961at2759.faa.mafft.clipkit.iqtree	0.1907	0.048641	0
1441854at2759	1441854at2759.faa.mafft.clipkit.iqtree	0.2029	0.077097	1
1442062at2759	1442062at2759.faa.mafft.clipkit.iqtree	0.4591	0.122733	1
1445102at2759	1445102at2759.faa.mafft.clipkit.iqtree	1.5755	0.549521	1
1450538at2759	1450538at2759.faa.mafft.clipkit.iqtree	0.2188	0.067878	1
1454155at2759	1454155at2759.faa.mafft.clipkit.iqtree	0.2354	0.056573	0
1455730at2759	1455730at2759.faa.mafft.clipkit.iqtree	0	0	0
1459797at2759	1459797at2759.faa.mafft.clipkit.iqtree	0.2246	0.064688	1
1474000at2759	1474000at2759.faa.mafft.clipkit.iqtree	0.1171	0.044161	0
1488235at2759	1488235at2759.faa.mafft.clipkit.iqtree	0.24	0.09069	1
1488436at2759	1488436at2759.faa.mafft.clipkit.iqtree	0.3019	0.081054	1
1490022at2759	1490022at2759.faa.mafft.clipkit.iqtree	0.1641	0.060499	1
1504863at2759	1504863at2759.faa.mafft.clipkit.iqtree	0.0795	0.029242	0
1513531at2759	1513531at2759.faa.mafft.clipkit.iqtree	0.0004	8.5e-05	0
1525971at2759	1525971at2759.faa.mafft.clipkit.iqtree	0.3933	0.108066	1
1530008at2759	1530008at2759.faa.mafft.clipkit.iqtree	0.0744	0.061124	1
1538526at2759	1538526at2759.faa.mafft.clipkit.iqtree	0.1735	0.082088	1
1552706at2759	1552706at2759.faa.mafft.clipkit.iqtree	0.3338	0.101274	1
1558822at2759	1558822at2759.faa.mafft.clipkit.iqtree	0	0	0
156083at2759	156083at2759.faa.mafft.clipkit.iqtree	0	0	0
1567796at2759	1567796at2759.faa.mafft.clipkit.iqtree	0.1828	0.080952	1
1575179at2759	1575179at2759.faa.mafft.clipkit.iqtree	0.5232	0.129233	1
1576404at2759	1576404at2759.faa.mafft.clipkit.iqtree	0.3797	0.128464	1
1588798at2759	1588798at2759.faa.mafft.clipkit.iqtree	0.2359	0.06888	1
1593937at2759	1593937at2759.faa.mafft.clipkit.iqtree	0.106	0.022105	0
160593at2759	160593at2759.faa.mafft.clipkit.iqtree	0.1814	0.044404	0
1617752at2759	1617752at2759.faa.mafft.clipkit.iqtree	0.3526	0.092606	1
1620056at2759	1620056at2759.faa.mafft.clipkit.iqtree	0.1906	0.057747	0
1623701at2759	1623701at2759.faa.mafft.clipkit.iqtree	0.4995	0.12052	1
1626636at2759	1626636at2759.faa.mafft.clipkit.iqtree	0	0	0
1633672at2759	1633672at2759.faa.mafft.clipkit.iqtree	0.1181	0.082197	1
1645187at2759	1645187at2759.faa.mafft.clipkit.iqtree	0.1162	0.049701	0
166920at2759	166920at2759.faa.mafft.clipkit.iqtree	0.1156	0.037408	0
176625at2759	176625at2759.faa.mafft.clipkit.iqtree	0.1172	0.027941	0
179362at2759	179362at2759.faa.mafft.clipkit.iqtree	0.2685	0.052118	0
245208at2759	245208at2759.faa.mafft.clipkit.iqtree	0.0642	0.030717	0
257318at2759	257318at2759.faa.mafft.clipkit.iqtree	0.1223	0.031608	0
261328at2759	261328at2759.faa.mafft.clipkit.iqtree	0	0	0
261419at2759	261419at2759.faa.mafft.clipkit.iqtree	0	0	0
270107at2759	270107at2759.faa.mafft.clipkit.iqtree	0.1334	0.039554	0
271586at2759	271586at2759.faa.mafft.clipkit.iqtree	0.2337	0.047439	0
290630at2759	290630at2759.faa.mafft.clipkit.iqtree	0.0731	0.037826	0
293315at2759	293315at2759.faa.mafft.clipkit.iqtree	0.1144	0.033899	0
296129at2759	296129at2759.faa.mafft.clipkit.iqtree	0.0856	0.050779	0
299766at2759	299766at2759.faa.mafft.clipkit.iqtree	0.1544	0.032388	0
306227at2759	306227at2759.faa.mafft.clipkit.iqtree	0	0	0
320059at2759	320059at2759.faa.mafft.clipkit.iqtree	0.0344	0.040441	0
324863at2759	324863at2759.faa.mafft.clipkit.iqtree	0.138	0.038664	0
325552at2759	325552at2759.faa.mafft.clipkit.iqtree	0.1334	0.05014	0
330169at2759	330169at2759.faa.mafft.clipkit.iqtree	0.2969	0.061272	1
331411at2759	331411at2759.faa.mafft.clipkit.iqtree	0.1511	0.038276	0
341721at2759	341721at2759.faa.mafft.clipkit.iqtree	0.2002	0.047257	0
345441at2759	345441at2759.faa.mafft.clipkit.iqtree	0	0	0
355408at2759	355408at2759.faa.mafft.clipkit.iqtree	0.1306	0.049909	0
369837at2759	369837at2759.faa.mafft.clipkit.iqtree	0.1415	0.047565	0
375960at2759	375960at2759.faa.mafft.clipkit.iqtree	0.1267	0.040034	0
383503at2759	383503at2759.faa.mafft.clipkit.iqtree	0.2489	0.060375	1
388820at2759	388820at2759.faa.mafft.clipkit.iqtree	0.1424	0.046282	0
390348at2759	390348at2759.faa.mafft.clipkit.iqtree	0.1305	0.056556	0
392369at2759	392369at2759.faa.mafft.clipkit.iqtree	0.0706	0.048895	0
39650at2759	39650at2759.faa.mafft.clipkit.iqtree	0.1343	0.04618	0
396755at2759	396755at2759.faa.mafft.clipkit.iqtree	0.2145	0.054059	0
418107at2759	418107at2759.faa.mafft.clipkit.iqtree	0.1702	0.077082	1
426305at2759	426305at2759.faa.mafft.clipkit.iqtree	0.1082	0.046352	0
450058at2759	450058at2759.faa.mafft.clipkit.iqtree	0.4628	0.076005	1
453044at2759	453044at2759.faa.mafft.clipkit.iqtree	0.1884	0.072931	1
457861at2759	457861at2759.faa.mafft.clipkit.iqtree	0.2135	0.06343	1
464990at2759	464990at2759.faa.mafft.clipkit.iqtree	0.0927	0.037759	0
513979at2759	513979at2759.faa.mafft.clipkit.iqtree	0.1867	0.049168	0
543764at2759	543764at2759.faa.mafft.clipkit.iqtree	0.2059	0.054837	0
549762at2759	549762at2759.faa.mafft.clipkit.iqtree	0	0	0
551907at2759	551907at2759.faa.mafft.clipkit.iqtree	0.1717	0.045922	0
570797at2759	570797at2759.faa.mafft.clipkit.iqtree	0.3114	0.05883	0
582756at2759	582756at2759.faa.mafft.clipkit.iqtree	0.4092	0.078577	1
598949at2759	598949at2759.faa.mafft.clipkit.iqtree	0.227	0.049502	0
604979at2759	604979at2759.faa.mafft.clipkit.iqtree	0	0	0
621827at2759	621827at2759.faa.mafft.clipkit.iqtree	0.1155	0.042259	0
625387at2759	625387at2759.faa.mafft.clipkit.iqtree	0	0	0
655400at2759	655400at2759.faa.mafft.clipkit.iqtree	0.276	0.072948	1
664730at2759	664730at2759.faa.mafft.clipkit.iqtree	0.0735	0.043635	0
671536at2759	671536at2759.faa.mafft.clipkit.iqtree	0.1364	0.050719	0
671846at2759	671846at2759.faa.mafft.clipkit.iqtree	0.3182	0.058205	0
673132at2759	673132at2759.faa.mafft.clipkit.iqtree	0.0939	0.048835	0
674160at2759	674160at2759.faa.mafft.clipkit.iqtree	0.1052	0.023301	0
674169at2759	674169at2759.faa.mafft.clipkit.iqtree	0.2457	0.04885	0
679187at2759	679187at2759.faa.mafft.clipkit.iqtree	0	0	0
679771at2759	679771at2759.faa.mafft.clipkit.iqtree	0	0	0
687505at2759	687505at2759.faa.mafft.clipkit.iqtree	0.2189	0.080524	1
692986at2759	692986at2759.faa.mafft.clipkit.iqtree	0.4585	0.089096	1
708105at2759	708105at2759.faa.mafft.clipkit.iqtree	0.3221	0.068451	1
719531at2759	719531at2759.faa.mafft.clipkit.iqtree	0.0975	0.045562	0
720340at2759	720340at2759.faa.mafft.clipkit.iqtree	0.1417	0.042216	0
722805at2759	722805at2759.faa.mafft.clipkit.iqtree	0.1841	0.044598	0
734341at2759	734341at2759.faa.mafft.clipkit.iqtree	0.1881	0.050659	0
734666at2759	734666at2759.faa.mafft.clipkit.iqtree	0.0889	0.049639	0
736068at2759	736068at2759.faa.mafft.clipkit.iqtree	0.1173	0.02963	0
751335at2759	751335at2759.faa.mafft.clipkit.iqtree	0.2313	0.047874	0
759498at2759	759498at2759.faa.mafft.clipkit.iqtree	0.1783	0.067827	1
761109at2759	761109at2759.faa.mafft.clipkit.iqtree	0.1297	0.038207	0
768809at2759	768809at2759.faa.mafft.clipkit.iqtree	0.1151	0.048252	0
774318at2759	774318at2759.faa.mafft.clipkit.iqtree	0.1703	0.038606	0
777920at2759	777920at2759.faa.mafft.clipkit.iqtree	0.0954	0.03895	0
779909at2759	779909at2759.faa.mafft.clipkit.iqtree	0.1372	0.123012	1
801857at2759	801857at2759.faa.mafft.clipkit.iqtree	0.2148	0.069061	1
814241at2759	814241at2759.faa.mafft.clipkit.iqtree	0.1789	0.04952	0
817008at2759	817008at2759.faa.mafft.clipkit.iqtree	0.0548	0.038066	0
834694at2759	834694at2759.faa.mafft.clipkit.iqtree	0.2642	0.078242	1
836599at2759	836599at2759.faa.mafft.clipkit.iqtree	0.1884	0.058855	0
83779at2759	83779at2759.faa.mafft.clipkit.iqtree	0.1921	0.05344	0
844748at2759	844748at2759.faa.mafft.clipkit.iqtree	0	0	0
855834at2759	855834at2759.faa.mafft.clipkit.iqtree	0.2527	0.05047	0
858842at2759	858842at2759.faa.mafft.clipkit.iqtree	0	0	0
865202at2759	865202at2759.faa.mafft.clipkit.iqtree	0.09	0.026259	0
866359at2759	866359at2759.faa.mafft.clipkit.iqtree	0.0416	0.024507	0
869548at2759	869548at2759.faa.mafft.clipkit.iqtree	0.2179	0.061306	1
878143at2759	878143at2759.faa.mafft.clipkit.iqtree	0.2461	0.083024	1
87842at2759	87842at2759.faa.mafft.clipkit.iqtree	0.0882	0.023913	0
887370at2759	887370at2759.faa.mafft.clipkit.iqtree	0.1463	0.041349	0
891751at2759	891751at2759.faa.mafft.clipkit.iqtree	0.2421	0.053396	0
898782at2759	898782at2759.faa.mafft.clipkit.iqtree	0.2279	0.052202	0
901894at2759	901894at2759.faa.mafft.clipkit.iqtree	0.1192	0.034786	0
905026at2759	905026at2759.faa.mafft.clipkit.iqtree	0.209	0.060267	1
911863at2759	911863at2759.faa.mafft.clipkit.iqtree	0.2353	0.058929	0
917326at2759	917326at2759.faa.mafft.clipkit.iqtree	0.0462	0.016901	0
918816at2759	918816at2759.faa.mafft.clipkit.iqtree	0.1299	0.034488	0
919955at2759	919955at2759.faa.mafft.clipkit.iqtree	0.1167	0.03921	0
923657at2759	923657at2759.faa.mafft.clipkit.iqtree	0.3684	0.086902	1
924753at2759	924753at2759.faa.mafft.clipkit.iqtree	0.1675	0.046517	0
931188at2759	931188at2759.faa.mafft.clipkit.iqtree	0.2957	0.070878	1
937275at2759	937275at2759.faa.mafft.clipkit.iqtree	0	0	0
937686at2759	937686at2759.faa.mafft.clipkit.iqtree	0	0	0
939345at2759	939345at2759.faa.mafft.clipkit.iqtree	0.3812	0.092629	1
944899at2759	944899at2759.faa.mafft.clipkit.iqtree	0.0462	0.038229	0
946128at2759	946128at2759.faa.mafft.clipkit.iqtree	0.1392	0.037714	0
956854at2759	956854at2759.faa.mafft.clipkit.iqtree	0	0	0
97116at2759	97116at2759.faa.mafft.clipkit.iqtree	0.0872	0.028829	0
973442at2759	973442at2759.faa.mafft.clipkit.iqtree	0.0791	0.021614	0
974865at2759	974865at2759.faa.mafft.clipkit.iqtree	0.1357	0.054168	0
975158at2759	975158at2759.faa.mafft.clipkit.iqtree	0.1994	0.061186	1
975557at2759	975557at2759.faa.mafft.clipkit.iqtree	0.1952	0.047012	0
976469at2759	976469at2759.faa.mafft.clipkit.iqtree	0	0	0
981902at2759	981902at2759.faa.mafft.clipkit.iqtree	0.6127	0.11704	1
996662at2759	996662at2759.faa.mafft.clipkit.iqtree	0.1387	0.053858	0
